Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 07:45:55
File Name; D:\Mahlo\TR\171010074555FP 4583_432 GSM0_XMF2.txt

162.6; 07:46:24; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.008820; 0.012035; 0.014842; 0.017557; 0.019939; 0.025960; 0.029872; 0.029822; 0.028588; 0.027094; 0.024511; 0.020865; 0.016017; 0.010037; 0.004542; -0.000100; -0.004105; -0.007745; -0.011045; -0.014304; -0.016938; -0.018380; -0.018790; -0.018677; -0.018157; -0.016820; -0.014069; -0.010911; -0.006668; -0.001399; 0.003488; 0.007778; 0.011824; 0.015064; 0.018010; 0.019722; 0.020943; 0.022272; 0.023448; 0.025040; 0.027585; 0.030309; 0.032610; 0.034785; 0.036492; 0.037909; 0.038486; 0.038361; 0.037676; 0.036450; 0.035234; 0.033714; 0.032916; 0.029596; 0.023684; 0.018319; 0.013203; 0.008615; 0.004149; 0.000163; -0.004553; -0.009877; -0.014387; -0.015101; -0.013752; -0.010742; -0.006881; -0.002866; 0.000949; 0.005287; 0.010390; 0.015986; 0.023064; 0.030548; 0.037778; 0.044183; 0.050151; 0.055574; 0.059625; 0.062497; 0.064100; 0.064360; 0.063383; 0.061738; 0.058892; 0.054203; 0.049499; 0.045835; 0.042715; 0.040183; 0.038993; 0.038235; 0.037005; 0.035428; 0.033988; 0.032713; 0.031623; 0.031019; 0.030733; 0.030272; 0.029101; 0.027961; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
165.7; 07:46:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.001712; 0.003143; 0.003945; 0.004203; 0.004038; 0.002976; 0.001844; 0.002336; 0.004905; 0.005611; 0.004466; 0.003560; -0.001800; -0.006185; -0.009195; -0.012064; -0.014494; -0.017757; -0.019533; -0.022032; -0.023316; -0.024033; -0.024733; -0.024218; -0.024082; -0.023272; -0.022541; -0.021765; -0.021376; -0.020711; -0.020120; -0.019362; -0.017670; -0.014989; -0.011484; -0.008191; -0.004954; -0.000651; 0.003230; 0.007416; 0.010912; 0.013652; 0.016601; 0.019197; 0.021634; 0.023855; 0.024758; 0.024827; 0.023923; 0.022345; 0.020614; 0.018471; 0.015092; 0.011380; 0.007173; 0.004158; 0.001099; -0.002143; -0.004879; -0.007129; -0.009174; -0.009836; -0.010650; -0.010528; -0.010706; -0.009905; -0.008946; -0.007455; -0.005999; -0.003710; -0.001136; 0.002856; 0.007083; 0.011919; 0.017167; 0.022115; 0.026295; 0.030719; 0.033664; 0.036634; 0.038182; 0.039763; 0.040716; 0.041422; 0.041675; 0.054538; 0.073903; 0.092386; 0.108186; 0.124372; 0.142166; 0.160773; 0.176988; 0.193856; 0.212863; 0.232246; 0.249200; 0.266414; 0.285982; 0.301000; 0.300714; 0.299521; 0.297626; 0.295581; 0.293317; 0.291071; 0.287698; 0.283286; 0.279623; 0.278253; 0.276900; 0.275272; 0.273020; 0.270096; 0.267117; (); (); (); (); (); (); 
177.8; 07:47:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.473395; 0.475530; 0.477610; 0.478691; 0.479608; 0.480228; 0.480343; 0.479661; 0.481599; 0.485040; 0.484067; 0.481547; 0.479156; 0.476511; 0.473781; 0.471251; 0.468459; 0.465388; 0.462288; 0.459360; 0.456593; 0.454325; 0.453095; 0.452608; 0.452727; 0.453521; 0.454895; 0.456436; 0.457740; 0.458567; 0.459187; 0.459689; 0.460204; 0.461031; 0.462737; 0.465713; 0.468356; 0.471617; 0.475106; 0.477915; 0.480097; 0.482197; 0.483955; 0.485843; 0.487475; 0.489365; 0.491527; 0.493516; 0.495436; 0.496425; 0.496670; 0.496352; 0.495384; 0.493899; 0.492162; 0.490350; 0.488584; 0.486800; 0.485356; 0.484470; 0.483882; 0.483318; 0.482741; 0.482080; 0.481743; 0.481514; 0.481650; 0.481970; 0.482809; 0.483662; 0.485126; 0.487031; 0.489466; 0.492731; 0.497965; 0.503309; 0.508277; 0.512670; 0.517621; 0.521872; 0.524575; 0.526593; 0.528194; 0.528193; 0.527565; 0.526172; 0.523994; 0.520935; 0.517239; 0.512722; 0.507625; 0.502932; 0.498672; 0.493652; 0.488993; 0.485148; 0.482293; 0.480185; 0.478557; 0.477420; 0.476527; 0.475244; 0.473806; 0.472311; 0.470717; 0.468117; 0.464949; 0.461406; 0.456704; 0.449900; 0.447621; 0.445659; 0.443766; 0.441180; 0.437277; 0.433392; (); (); (); (); (); (); 
179.9; 07:47:29; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.478733; 0.482246; 0.484573; 0.485560; 0.485697; 0.485419; 0.484639; 0.486913; 0.487794; 0.487116; 0.486038; 0.486052; 0.486139; 0.485740; 0.484479; 0.482758; 0.480176; 0.478443; 0.477278; 0.477209; 0.477523; 0.479025; 0.480055; 0.482624; 0.485462; 0.488182; 0.489872; 0.491351; 0.492696; 0.494009; 0.494978; 0.496909; 0.497803; 0.498969; 0.499050; 0.499037; 0.498275; 0.498448; 0.497868; 0.497442; 0.496548; 0.495630; 0.494127; 0.492955; 0.491621; 0.490869; 0.489403; 0.487528; 0.484575; 0.481591; 0.479080; 0.476218; 0.472476; 0.467894; 0.463271; 0.460338; 0.456986; 0.453643; 0.450638; 0.448269; 0.446171; 0.444989; 0.445216; 0.446890; 0.448550; 0.450529; 0.453233; 0.455977; 0.459252; 0.463716; 0.468414; 0.473394; 0.478836; 0.485778; 0.491635; 0.496652; 0.500032; 0.502593; 0.504706; 0.506225; 0.507336; 0.507878; 0.507173; 0.506013; 0.504023; 0.501399; 0.498479; 0.494973; 0.491115; 0.487348; 0.484240; 0.481816; 0.479443; 0.477028; 0.474580; 0.473156; 0.471639; 0.471414; 0.469762; 0.469215; 0.469001; 0.467768; 0.467019; 0.465050; 0.464054; 0.460968; 0.455980; 0.445848; 0.442430; 0.440962; 0.438378; 0.436369; 0.432717; 0.430035; 0.425795; (); (); (); (); (); (); 
182.0; 07:47:37; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.452661; 0.455643; 0.457012; 0.457142; 0.458733; 0.458056; 0.458028; 0.458911; 0.462009; 0.462842; 0.460797; 0.459666; 0.455744; 0.454326; 0.452525; 0.450437; 0.448546; 0.445748; 0.444553; 0.442345; 0.442411; 0.442285; 0.443067; 0.444732; 0.446714; 0.449688; 0.452824; 0.455808; 0.458264; 0.459466; 0.460421; 0.460733; 0.461146; 0.461626; 0.462262; 0.464027; 0.466309; 0.468709; 0.471231; 0.472879; 0.473566; 0.473610; 0.473297; 0.472969; 0.472799; 0.472551; 0.472409; 0.472213; 0.471532; 0.470087; 0.468461; 0.465392; 0.461537; 0.457723; 0.453638; 0.450649; 0.448363; 0.446419; 0.445330; 0.445295; 0.446151; 0.447406; 0.448757; 0.450250; 0.451284; 0.452095; 0.452997; 0.454797; 0.456675; 0.458506; 0.461129; 0.463896; 0.466874; 0.470264; 0.474062; 0.477986; 0.481355; 0.484536; 0.486462; 0.488662; 0.490552; 0.492017; 0.492747; 0.493522; 0.493770; 0.493602; 0.493086; 0.492176; 0.491641; 0.491621; 0.491794; 0.492094; 0.492388; 0.493025; 0.493757; 0.494800; 0.495304; 0.496435; 0.497100; 0.497722; 0.498145; 0.498311; 0.497478; 0.495269; 0.492093; 0.486993; 0.480681; 0.473518; 0.465279; 0.461826; 0.458480; 0.455620; 0.451393; 0.445482; 0.438954; (); (); (); (); (); (); 
184.2; 07:47:46; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.486659; 0.489420; 0.490855; 0.491760; 0.492191; 0.492012; 0.491577; 0.493339; 0.493415; 0.491747; 0.488954; 0.486625; 0.484644; 0.482882; 0.480243; 0.476479; 0.472243; 0.468131; 0.464485; 0.461476; 0.459174; 0.458136; 0.457696; 0.457478; 0.458923; 0.460966; 0.462475; 0.463787; 0.464759; 0.465629; 0.467012; 0.468300; 0.469426; 0.471205; 0.473320; 0.475336; 0.476813; 0.478471; 0.479562; 0.479649; 0.479561; 0.479004; 0.478769; 0.479087; 0.480490; 0.482784; 0.484818; 0.487078; 0.488664; 0.489874; 0.491001; 0.490735; 0.487679; 0.484486; 0.481467; 0.479613; 0.477634; 0.475416; 0.473018; 0.470213; 0.466913; 0.464076; 0.461565; 0.459984; 0.458859; 0.457854; 0.458852; 0.461679; 0.465761; 0.470595; 0.474906; 0.480071; 0.485872; 0.492760; 0.499382; 0.505567; 0.509798; 0.512407; 0.514288; 0.515784; 0.516873; 0.517299; 0.516609; 0.515285; 0.512950; 0.510726; 0.507121; 0.503625; 0.500100; 0.496449; 0.493111; 0.490360; 0.488457; 0.485768; 0.483229; 0.481610; 0.480163; 0.479479; 0.478624; 0.477954; 0.476683; 0.474294; 0.472738; 0.470071; 0.467659; 0.462319; 0.456880; 0.447166; 0.443557; 0.441602; 0.438901; 0.436353; 0.432347; 0.427659; 0.423404; (); (); (); (); (); (); 
186.3; 07:47:54; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.467266; 0.469139; 0.470158; 0.471459; 0.471647; 0.472212; 0.471689; 0.471069; 0.473358; 0.476760; 0.478011; 0.476561; 0.475794; 0.471356; 0.466641; 0.464118; 0.462430; 0.459976; 0.456697; 0.454526; 0.452669; 0.451369; 0.450836; 0.450617; 0.451024; 0.451474; 0.452885; 0.453993; 0.455484; 0.456536; 0.457706; 0.458716; 0.460269; 0.461969; 0.464170; 0.467065; 0.470471; 0.473618; 0.476396; 0.479323; 0.482624; 0.485355; 0.487091; 0.488425; 0.489932; 0.491099; 0.492277; 0.492830; 0.492520; 0.491508; 0.490023; 0.488044; 0.486338; 0.483844; 0.480575; 0.476564; 0.473864; 0.471742; 0.469949; 0.467991; 0.466449; 0.465125; 0.464416; 0.464186; 0.464020; 0.464469; 0.464583; 0.464985; 0.466102; 0.467254; 0.468674; 0.470800; 0.473214; 0.476257; 0.480250; 0.484640; 0.488641; 0.492106; 0.495676; 0.499086; 0.502110; 0.503797; 0.504993; 0.505846; 0.506644; 0.507079; 0.507086; 0.506168; 0.504379; 0.502406; 0.500685; 0.498569; 0.496514; 0.494233; 0.491764; 0.489418; 0.487733; 0.486429; 0.485158; 0.483596; 0.481662; 0.479868; 0.477968; 0.475526; 0.472681; 0.469513; 0.465963; 0.461735; 0.455000; 0.449047; 0.447331; 0.445448; 0.443053; 0.440210; 0.436558; 0.432522; (); (); (); (); (); (); 
188.5; 07:48:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.467266; 0.480332; 0.483307; 0.485556; 0.486614; 0.486867; 0.486678; 0.486213; 0.488636; 0.489351; 0.487693; 0.485193; 0.483088; 0.481328; 0.479199; 0.476825; 0.473929; 0.470338; 0.466830; 0.463912; 0.461788; 0.460087; 0.459616; 0.459956; 0.461316; 0.463320; 0.466248; 0.468341; 0.470133; 0.472194; 0.474233; 0.476218; 0.478263; 0.480840; 0.483354; 0.485436; 0.487916; 0.489592; 0.491428; 0.493180; 0.494304; 0.495526; 0.496697; 0.497221; 0.498014; 0.498627; 0.499194; 0.499283; 0.499502; 0.500316; 0.499960; 0.496837; 0.493555; 0.489492; 0.484493; 0.479911; 0.476260; 0.472954; 0.469329; 0.465714; 0.462988; 0.460881; 0.458943; 0.457741; 0.456725; 0.456965; 0.459655; 0.463046; 0.466150; 0.469829; 0.474536; 0.479486; 0.484540; 0.490424; 0.497660; 0.504093; 0.509283; 0.513219; 0.515740; 0.517292; 0.518473; 0.519482; 0.519525; 0.519322; 0.518203; 0.515697; 0.512732; 0.509425; 0.505662; 0.501483; 0.497846; 0.494799; 0.491701; 0.489300; 0.487596; 0.485905; 0.484428; 0.482867; 0.482090; 0.481412; 0.480968; 0.481508; 0.479429; 0.478675; 0.476033; 0.473743; 0.468934; 0.461607; 0.453334; 0.450231; 0.448161; 0.445320; 0.442212; 0.438431; 0.434108; 0.430125; (); (); (); (); (); (); 
190.7; 07:48:11; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.464934; 0.466684; 0.467886; 0.468292; 0.468296; 0.467480; 0.467079; 0.467244; 0.470630; 0.471176; 0.469041; 0.467625; 0.462338; 0.459657; 0.456545; 0.453919; 0.451950; 0.448559; 0.446294; 0.444284; 0.442452; 0.441680; 0.441199; 0.441870; 0.442549; 0.444224; 0.445572; 0.446704; 0.447743; 0.449371; 0.451098; 0.452976; 0.455454; 0.458732; 0.462139; 0.465577; 0.469705; 0.473425; 0.477522; 0.481556; 0.484333; 0.486824; 0.489061; 0.491212; 0.492785; 0.494439; 0.495042; 0.495587; 0.494858; 0.493814; 0.492497; 0.490378; 0.487069; 0.483862; 0.480073; 0.476286; 0.473300; 0.470702; 0.467704; 0.465060; 0.462783; 0.461452; 0.459488; 0.458506; 0.457738; 0.457621; 0.457702; 0.458491; 0.459540; 0.461126; 0.462939; 0.466196; 0.469402; 0.473298; 0.477690; 0.481613; 0.485010; 0.489411; 0.493254; 0.496330; 0.498160; 0.499499; 0.500580; 0.501275; 0.501492; 0.501335; 0.500224; 0.498586; 0.496711; 0.494778; 0.492566; 0.490467; 0.488094; 0.485189; 0.482539; 0.480989; 0.479494; 0.477994; 0.476580; 0.474960; 0.472455; 0.469919; 0.467458; 0.464788; 0.461969; 0.457965; 0.454098; 0.448399; 0.442802; 0.441061; 0.438776; 0.436395; 0.433884; 0.429983; 0.426461; (); (); (); (); (); (); 
192.8; 07:48:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.479492; 0.483005; 0.485865; 0.487719; 0.488319; 0.488297; 0.488385; 0.491041; 0.490908; 0.489016; 0.486740; 0.484686; 0.482250; 0.479645; 0.476773; 0.472833; 0.468950; 0.464791; 0.460493; 0.457690; 0.455052; 0.453088; 0.452369; 0.453363; 0.454948; 0.457011; 0.459150; 0.461276; 0.462702; 0.464119; 0.465809; 0.467691; 0.469412; 0.471345; 0.473481; 0.476264; 0.478361; 0.480535; 0.482889; 0.485011; 0.486630; 0.487536; 0.488579; 0.489799; 0.491281; 0.493013; 0.494442; 0.496144; 0.497868; 0.499402; 0.500150; 0.500352; 0.499304; 0.497081; 0.492650; 0.488006; 0.484509; 0.480322; 0.476280; 0.473100; 0.469660; 0.466949; 0.464184; 0.462463; 0.460277; 0.458574; 0.457630; 0.457088; 0.459020; 0.463428; 0.467821; 0.473308; 0.478723; 0.484600; 0.490896; 0.496051; 0.499978; 0.503133; 0.505253; 0.506855; 0.507928; 0.508208; 0.507875; 0.507179; 0.505789; 0.503587; 0.500495; 0.497246; 0.494454; 0.490986; 0.488154; 0.486008; 0.483836; 0.481722; 0.479921; 0.478454; 0.476383; 0.474756; 0.472516; 0.470458; 0.469543; 0.467534; 0.467163; 0.464397; 0.461592; 0.456802; 0.448125; 0.441080; 0.437807; 0.435352; 0.433045; 0.430605; 0.428641; 0.425800; 0.423619; (); (); (); (); (); (); 
195.0; 07:48:28; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.457565; 0.460025; 0.460717; 0.461465; 0.461976; 0.461312; 0.460674; 0.461912; 0.465214; 0.465962; 0.463670; 0.461340; 0.457288; 0.455263; 0.452531; 0.450556; 0.448464; 0.445592; 0.443698; 0.441232; 0.439807; 0.438828; 0.438421; 0.439208; 0.439937; 0.441623; 0.443285; 0.445695; 0.446833; 0.447760; 0.448354; 0.449146; 0.450295; 0.452123; 0.454147; 0.456576; 0.459349; 0.462868; 0.466702; 0.469929; 0.472698; 0.475045; 0.477273; 0.479532; 0.481733; 0.484652; 0.487427; 0.489658; 0.490744; 0.491315; 0.490840; 0.490096; 0.487838; 0.484675; 0.481472; 0.478573; 0.475468; 0.472650; 0.470077; 0.468087; 0.466070; 0.464098; 0.462084; 0.461466; 0.460790; 0.460796; 0.460866; 0.461870; 0.462944; 0.464612; 0.467054; 0.469538; 0.472713; 0.477385; 0.482284; 0.487666; 0.493831; 0.500240; 0.505696; 0.510329; 0.513873; 0.516807; 0.518192; 0.518892; 0.518662; 0.517612; 0.515782; 0.513265; 0.510644; 0.506506; 0.501120; 0.496695; 0.492882; 0.488765; 0.483842; 0.480200; 0.477020; 0.474621; 0.472905; 0.471534; 0.470296; 0.468959; 0.467245; 0.465026; 0.462579; 0.459877; 0.457005; 0.452615; 0.447894; 0.446297; 0.444810; 0.443337; 0.440875; 0.437705; 0.435026; (); (); (); (); (); (); 
