Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 07:45:55
File Name; D:\Mahlo\TR\171010074555FP 4583_432 GSM0_THICKNESS2.txt

162.6; 07:46:24; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.079925; 0.076868; 0.076340; 0.076463; 0.075533; 0.074227; 0.072892; 0.073077; 0.071949; 0.073807; 0.077220; 0.078880; 0.079122; 0.079033; 0.079792; 0.080875; 0.081870; 0.080771; 0.080621; 0.078414; 0.076361; 0.076584; 0.078447; 0.079939; 0.082459; 0.084214; 0.084612; 0.085370; 0.085404; 0.086430; 0.087902; 0.088446; 0.087415; 0.086652; 0.086046; 0.084136; 0.084629; 0.085989; 0.088167; 0.087538; 0.084784; 0.083335; 0.082931; 0.083415; 0.085203; 0.085624; 0.083888; 0.083657; 0.085305; 0.088183; 0.092199; 0.097277; 0.101010; 0.102253; 0.101275; 0.102949; 0.106939; 0.107212; 0.104343; 0.103383; 0.102300; 0.100185; 0.098442; 0.096810; 0.099131; 0.099574; 0.097389; 0.095582; 0.098304; 0.100053; 0.100842; 0.099564; 0.099708; 0.100238; 0.099256; 0.098906; 0.099099; 0.101089; 0.101520; 0.100926; 0.101453; 0.105479; 0.109830; 0.111314; 0.111816; 0.112699; 0.114922; 0.117662; 0.119701; 0.121403; 0.120605; 0.117762; 0.115290; 0.114633; 0.113889; 0.113654; 0.112161; 0.108660; 0.106962; 0.105332; 0.105030; 0.105745; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
165.7; 07:46:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.077749; 0.077555; 0.077603; 0.077026; 0.076642; 0.077258; 0.077171; 0.076519; 0.074894; 0.072304; 0.070206; 0.068698; 0.069734; 0.070568; 0.071294; 0.072113; 0.071861; 0.071175; 0.070835; 0.071262; 0.072208; 0.073394; 0.074875; 0.076056; 0.076390; 0.075975; 0.075713; 0.076228; 0.078040; 0.080634; 0.082356; 0.084017; 0.086122; 0.088551; 0.088792; 0.089001; 0.089906; 0.088997; 0.088869; 0.089516; 0.090341; 0.091103; 0.092040; 0.091828; 0.090616; 0.088569; 0.088005; 0.089218; 0.089618; 0.091556; 0.092000; 0.093112; 0.095799; 0.096701; 0.098328; 0.099593; 0.099842; 0.099967; 0.099903; 0.101517; 0.103280; 0.103073; 0.101889; 0.101064; 0.100441; 0.099932; 0.099154; 0.098836; 0.098508; 0.098330; 0.098454; 0.098734; 0.099765; 0.102195; 0.104615; 0.105687; 0.106657; 0.108357; 0.110112; 0.111114; 0.112512; 0.113077; 0.113804; 0.114683; 0.115155; 0.116088; 0.117414; 0.117558; 0.116439; 0.115251; 0.115144; 0.116226; 0.116033; 0.115119; 0.113949; 0.112679; 0.111561; 0.110815; 0.109497; 0.107946; 0.106832; 0.106243; 0.105878; 0.106796; 0.107180; 0.106477; 0.105209; 0.104806; 0.104956; 0.104776; 0.105115; 0.106029; 0.106932; 0.109920; 0.112629; (); (); (); (); (); (); 
177.8; 07:47:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.080665; 0.080920; 0.083181; 0.082364; 0.081281; 0.081246; 0.081429; 0.080639; 0.079419; 0.077951; 0.076916; 0.076804; 0.077011; 0.078226; 0.078185; 0.077250; 0.075858; 0.073775; 0.073236; 0.073525; 0.074811; 0.076957; 0.079447; 0.080637; 0.080693; 0.080809; 0.080560; 0.079839; 0.080416; 0.082309; 0.084059; 0.085484; 0.087346; 0.089475; 0.090110; 0.088350; 0.087956; 0.088560; 0.088779; 0.089643; 0.089928; 0.090541; 0.092269; 0.092947; 0.091759; 0.091232; 0.091160; 0.091875; 0.093162; 0.095020; 0.097478; 0.096418; 0.096476; 0.097234; 0.098407; 0.100005; 0.100858; 0.100920; 0.101619; 0.102870; 0.104606; 0.105047; 0.104260; 0.102908; 0.101584; 0.100439; 0.099759; 0.099826; 0.099552; 0.098753; 0.098629; 0.099089; 0.098602; 0.100071; 0.101804; 0.102577; 0.103195; 0.104869; 0.106490; 0.108486; 0.109884; 0.110624; 0.111485; 0.112062; 0.112452; 0.113216; 0.114995; 0.115792; 0.113802; 0.112505; 0.111621; 0.111209; 0.111095; 0.112062; 0.110216; 0.109627; 0.108828; 0.107428; 0.105487; 0.103746; 0.101886; 0.101098; 0.101428; 0.101351; 0.102304; 0.103488; 0.103347; 0.102219; 0.101273; 0.101685; 0.102087; 0.102631; 0.103914; 0.106663; 0.109516; 0.109275; (); (); (); (); (); (); 
179.9; 07:47:29; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.069828; 0.070869; 0.070146; 0.071329; 0.071549; 0.071354; 0.071946; 0.072799; 0.073206; 0.073499; 0.073159; 0.072692; 0.073415; 0.075666; 0.076662; 0.076712; 0.078438; 0.079668; 0.079384; 0.080113; 0.081708; 0.081332; 0.081034; 0.081724; 0.082661; 0.083691; 0.085098; 0.086191; 0.086971; 0.087149; 0.086391; 0.086657; 0.087037; 0.086969; 0.085986; 0.087243; 0.088563; 0.086842; 0.085313; 0.084294; 0.082906; 0.084077; 0.084485; 0.085818; 0.088752; 0.091565; 0.091600; 0.091954; 0.092819; 0.093179; 0.092054; 0.093573; 0.096808; 0.099146; 0.101434; 0.102779; 0.102594; 0.102426; 0.102112; 0.101108; 0.099442; 0.098678; 0.099311; 0.100146; 0.101372; 0.101909; 0.100620; 0.098598; 0.097896; 0.097177; 0.096708; 0.097294; 0.099426; 0.100626; 0.101661; 0.103615; 0.104755; 0.105619; 0.107992; 0.108572; 0.109273; 0.111119; 0.113430; 0.114510; 0.116588; 0.118980; 0.119273; 0.118815; 0.119413; 0.118927; 0.118159; 0.118019; 0.117061; 0.114973; 0.115223; 0.114971; 0.112941; 0.109966; 0.107381; 0.105042; 0.103689; 0.100928; 0.098654; 0.098570; 0.100534; 0.101557; 0.102401; 0.104117; 0.104348; 0.103162; 0.103242; 0.105021; 0.108924; 0.111378; 0.112557; (); (); (); (); (); (); 
182.0; 07:47:37; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.072315; 0.071572; 0.068936; 0.068153; 0.068556; 0.069000; 0.068990; 0.069032; 0.070233; 0.071667; 0.072122; 0.071342; 0.071686; 0.071777; 0.071426; 0.071402; 0.071667; 0.072925; 0.073675; 0.075130; 0.077285; 0.079608; 0.081048; 0.080928; 0.080262; 0.079820; 0.079204; 0.079036; 0.081294; 0.083114; 0.084579; 0.086676; 0.088772; 0.089337; 0.087824; 0.087759; 0.088274; 0.087393; 0.087813; 0.089099; 0.089181; 0.090344; 0.091895; 0.090500; 0.090198; 0.090828; 0.091798; 0.092585; 0.093961; 0.096862; 0.096358; 0.096485; 0.097921; 0.098686; 0.099798; 0.100974; 0.100655; 0.100623; 0.101952; 0.102817; 0.103712; 0.102624; 0.101800; 0.100788; 0.099179; 0.099133; 0.099595; 0.100741; 0.101624; 0.101824; 0.102443; 0.102491; 0.103071; 0.103638; 0.103702; 0.103445; 0.105330; 0.107158; 0.108851; 0.110849; 0.112967; 0.112792; 0.112708; 0.112936; 0.113617; 0.114570; 0.115459; 0.115740; 0.115393; 0.115337; 0.115828; 0.115795; 0.115560; 0.114719; 0.113268; 0.111740; 0.110564; 0.108793; 0.107834; 0.106459; 0.106133; 0.107164; 0.106671; 0.107461; 0.106968; 0.105932; 0.105681; 0.105788; 0.105582; 0.105275; 0.105643; 0.106865; 0.108615; 0.110491; 0.111388; (); (); (); (); (); (); 
184.2; 07:47:46; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.064558; 0.065434; 0.065570; 0.065630; 0.065823; 0.066372; 0.068603; 0.072171; 0.073223; 0.072396; 0.072196; 0.073710; 0.075196; 0.076026; 0.076353; 0.077236; 0.078381; 0.079256; 0.080548; 0.082554; 0.083426; 0.082059; 0.080846; 0.081875; 0.083090; 0.083860; 0.083903; 0.085154; 0.086579; 0.086671; 0.085806; 0.085688; 0.085636; 0.084592; 0.084124; 0.085267; 0.086376; 0.085087; 0.084704; 0.084040; 0.082413; 0.081312; 0.080129; 0.080178; 0.081676; 0.084349; 0.086440; 0.087873; 0.088984; 0.088377; 0.087496; 0.088373; 0.090234; 0.091289; 0.094957; 0.097392; 0.098658; 0.099678; 0.100125; 0.099620; 0.097889; 0.096156; 0.095775; 0.095169; 0.096739; 0.096889; 0.096503; 0.097289; 0.098673; 0.097202; 0.096589; 0.097521; 0.098382; 0.098597; 0.099271; 0.101049; 0.102839; 0.105470; 0.108018; 0.107885; 0.109341; 0.111287; 0.110637; 0.110485; 0.113278; 0.116133; 0.116747; 0.117542; 0.117816; 0.117486; 0.118342; 0.117932; 0.115996; 0.114379; 0.115180; 0.114032; 0.112310; 0.112548; 0.111616; 0.109286; 0.106853; 0.104386; 0.102839; 0.102950; 0.103321; 0.102907; 0.103614; 0.104979; 0.104880; 0.103779; 0.103591; 0.104569; 0.104890; 0.104779; 0.105139; (); (); (); (); (); (); 
186.3; 07:47:54; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.064520; 0.064942; 0.065579; 0.065141; 0.064865; 0.065000; 0.066337; 0.068289; 0.070912; 0.074065; 0.076522; 0.077359; 0.078086; 0.079283; 0.080281; 0.079949; 0.080454; 0.081852; 0.084058; 0.085780; 0.087223; 0.087712; 0.086396; 0.084933; 0.085012; 0.085071; 0.085271; 0.084944; 0.084497; 0.085205; 0.086650; 0.087125; 0.087868; 0.087712; 0.086230; 0.083502; 0.083531; 0.085224; 0.085004; 0.083945; 0.084263; 0.084434; 0.086215; 0.086415; 0.086221; 0.087173; 0.088686; 0.089202; 0.091407; 0.095306; 0.099016; 0.099499; 0.100478; 0.102137; 0.102844; 0.102893; 0.102971; 0.102769; 0.103384; 0.104634; 0.104958; 0.104639; 0.103407; 0.101202; 0.099157; 0.097659; 0.096719; 0.096988; 0.096945; 0.097620; 0.098410; 0.099069; 0.099220; 0.100727; 0.102241; 0.102957; 0.104227; 0.105820; 0.106594; 0.108645; 0.109938; 0.110329; 0.110617; 0.111601; 0.112638; 0.113703; 0.114797; 0.115101; 0.113836; 0.111706; 0.111241; 0.110849; 0.111328; 0.111035; 0.109016; 0.109276; 0.108834; 0.107002; 0.104036; 0.101676; 0.099828; 0.099201; 0.099088; 0.099795; 0.101197; 0.100871; 0.099778; 0.099808; 0.101215; 0.101962; 0.101931; 0.101942; 0.104202; 0.107613; 0.110230; 0.111079; (); (); (); (); (); (); 
188.5; 07:48:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.064520; 0.068258; 0.068571; 0.068373; 0.067775; 0.068064; 0.069120; 0.071363; 0.074112; 0.074712; 0.074152; 0.075434; 0.076589; 0.077367; 0.077778; 0.077978; 0.078980; 0.079815; 0.081038; 0.082638; 0.083909; 0.083963; 0.082329; 0.082822; 0.084507; 0.085332; 0.085037; 0.084019; 0.084389; 0.085671; 0.086241; 0.086163; 0.086073; 0.085302; 0.084646; 0.085073; 0.086185; 0.087170; 0.085535; 0.085471; 0.084797; 0.083862; 0.083656; 0.082895; 0.082317; 0.082757; 0.084356; 0.086512; 0.089373; 0.091111; 0.090890; 0.091094; 0.091483; 0.092128; 0.092256; 0.095091; 0.096958; 0.097976; 0.099333; 0.100124; 0.100423; 0.099927; 0.098297; 0.096267; 0.094776; 0.095097; 0.094810; 0.095792; 0.097642; 0.099139; 0.098208; 0.098679; 0.099737; 0.100097; 0.100085; 0.099738; 0.100496; 0.102313; 0.105513; 0.107432; 0.107382; 0.109310; 0.109796; 0.108115; 0.107355; 0.109757; 0.112037; 0.112564; 0.113870; 0.114154; 0.114579; 0.116333; 0.115736; 0.112182; 0.111900; 0.113508; 0.111603; 0.110189; 0.112382; 0.113277; 0.111326; 0.108841; 0.108295; 0.109125; 0.110008; 0.109472; 0.108040; 0.109471; 0.112201; 0.111604; 0.110378; 0.111676; 0.113512; 0.112486; 0.111139; 0.112634; (); (); (); (); (); (); 
190.7; 07:48:11; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.075498; 0.074056; 0.071326; 0.070563; 0.071099; 0.071754; 0.071999; 0.072046; 0.072950; 0.073475; 0.072357; 0.071811; 0.072642; 0.072797; 0.072579; 0.072675; 0.073297; 0.074754; 0.075321; 0.076313; 0.078040; 0.079957; 0.080685; 0.080673; 0.080534; 0.080264; 0.079340; 0.079146; 0.080649; 0.082297; 0.083865; 0.086054; 0.087971; 0.088445; 0.087497; 0.087651; 0.088027; 0.088081; 0.088333; 0.088344; 0.088443; 0.090037; 0.091314; 0.089917; 0.089745; 0.090252; 0.090806; 0.091594; 0.093379; 0.095502; 0.094302; 0.094845; 0.096188; 0.097073; 0.098944; 0.100594; 0.100050; 0.100202; 0.101984; 0.103200; 0.102697; 0.101537; 0.100611; 0.099655; 0.098901; 0.098938; 0.098493; 0.098444; 0.098323; 0.098099; 0.098201; 0.098918; 0.100130; 0.101388; 0.102684; 0.103324; 0.104668; 0.106728; 0.109775; 0.112108; 0.112476; 0.113494; 0.114287; 0.114755; 0.115507; 0.116420; 0.116310; 0.115922; 0.114964; 0.114332; 0.115174; 0.115406; 0.114619; 0.111364; 0.110597; 0.110315; 0.108782; 0.107064; 0.106022; 0.104385; 0.103581; 0.104262; 0.103962; 0.105132; 0.104487; 0.102994; 0.102344; 0.102746; 0.103313; 0.103019; 0.103390; 0.104915; 0.106706; 0.109347; 0.111738; (); (); (); (); (); (); 
192.8; 07:48:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.073334; 0.074504; 0.073903; 0.074478; 0.075611; 0.075903; 0.075282; 0.074406; 0.074851; 0.074309; 0.073489; 0.073401; 0.074630; 0.075680; 0.075966; 0.075928; 0.076164; 0.076145; 0.074867; 0.074743; 0.076316; 0.078537; 0.080193; 0.080762; 0.081370; 0.081868; 0.081971; 0.082618; 0.083765; 0.084631; 0.084544; 0.085860; 0.088021; 0.089296; 0.088180; 0.088026; 0.087495; 0.086458; 0.085757; 0.085735; 0.086169; 0.087850; 0.088696; 0.087410; 0.086729; 0.087977; 0.087068; 0.087284; 0.089447; 0.091974; 0.092140; 0.094510; 0.097198; 0.098425; 0.099298; 0.099633; 0.097770; 0.097867; 0.100397; 0.101758; 0.101410; 0.103685; 0.103424; 0.102465; 0.101884; 0.100438; 0.097949; 0.096682; 0.096796; 0.096860; 0.097966; 0.101339; 0.102423; 0.101556; 0.101541; 0.100930; 0.099251; 0.100397; 0.101362; 0.102917; 0.105791; 0.108951; 0.109955; 0.110059; 0.112233; 0.113238; 0.111697; 0.111680; 0.111901; 0.111631; 0.112837; 0.113549; 0.112665; 0.111776; 0.111476; 0.110509; 0.108777; 0.108284; 0.108286; 0.106836; 0.108479; 0.110700; 0.110854; 0.112260; 0.114141; 0.115730; 0.116592; 0.117447; 0.117864; 0.117414; 0.118448; 0.119828; 0.121493; 0.123316; 0.124624; (); (); (); (); (); (); 
195.0; 07:48:28; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.064390; 0.065864; 0.066322; 0.066962; 0.066469; 0.066425; 0.067254; 0.067979; 0.068229; 0.068903; 0.069198; 0.070079; 0.073015; 0.075957; 0.075885; 0.076118; 0.076544; 0.077158; 0.077950; 0.080543; 0.083115; 0.083530; 0.083308; 0.083858; 0.083539; 0.083571; 0.083942; 0.084309; 0.084541; 0.085602; 0.085891; 0.086659; 0.087412; 0.086932; 0.084808; 0.083759; 0.084895; 0.085849; 0.085069; 0.085501; 0.086255; 0.087591; 0.087566; 0.086350; 0.086732; 0.088761; 0.089986; 0.091562; 0.094215; 0.097721; 0.098455; 0.098692; 0.099647; 0.100531; 0.101195; 0.102403; 0.101754; 0.102502; 0.104777; 0.106012; 0.104590; 0.103222; 0.101353; 0.099326; 0.097674; 0.096516; 0.096546; 0.096352; 0.097149; 0.097246; 0.096834; 0.097431; 0.099870; 0.101052; 0.101931; 0.103504; 0.105749; 0.106690; 0.109431; 0.111056; 0.112098; 0.113074; 0.114154; 0.114961; 0.116384; 0.118382; 0.119598; 0.116906; 0.114611; 0.113017; 0.112040; 0.112900; 0.114126; 0.111709; 0.110800; 0.109382; 0.107256; 0.104821; 0.102498; 0.100297; 0.099159; 0.098746; 0.099194; 0.100434; 0.101497; 0.101123; 0.100168; 0.099548; 0.099979; 0.100180; 0.101098; 0.103056; 0.105681; 0.108394; 0.108719; (); (); (); (); (); (); 
