Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 07:45:55
File Name; D:\Mahlo\TR\171010074555FP 4583_432 GSM0_FMI2.txt

162.6; 07:46:24; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 102.230936; 102.659330; 102.998868; 102.962889; 102.973275; 103.160992; 103.173770; 103.243545; 103.540435; 103.611864; 103.290044; 102.825023; 102.407418; 102.410652; 102.478713; 102.621555; 102.761447; 102.614865; 102.206171; 102.065757; 102.087788; 102.367453; 102.700129; 102.722459; 102.642447; 102.412596; 102.423355; 102.469593; 102.462210; 102.408573; 102.502868; 102.432884; 102.365576; 102.548987; 102.642722; 102.579772; 102.691688; 103.122547; 103.616901; 104.070127; 104.332134; 104.495138; 104.494676; 104.071632; 103.961535; 104.429185; 104.715228; 104.899473; 104.968756; 104.869045; 104.793638; 104.759336; 104.709677; 104.924418; 104.713887; 104.180507; 103.460230; 102.773197; 102.487154; 102.580324; 102.611996; 102.679171; 102.955416; 103.237025; 103.698015; 104.374930; 105.057105; 105.567254; 105.570257; 105.469227; 105.594404; 105.683349; 105.653442; 105.574042; 105.540700; 105.524912; 105.482183; 105.526924; 105.743490; 105.795778; 105.771519; 105.978355; 106.065869; 106.124952; 106.029369; 105.878823; 106.178582; 106.403761; 106.590763; 106.817134; 106.799781; 106.689915; 106.853791; 107.041582; 107.337117; 107.551023; 107.531592; 107.417040; 107.437193; 107.537694; 107.829250; 108.016945; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
165.7; 07:46:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 103.632674; 103.402987; 103.126340; 102.779441; 102.951795; 103.210166; 103.194483; 103.109419; 103.076823; 103.037030; 103.049107; 103.028439; 102.771930; 102.514334; 102.523506; 102.536708; 102.576725; 102.656566; 102.852367; 102.676928; 102.571562; 102.622055; 102.742270; 102.850623; 102.882147; 102.757864; 102.629565; 102.668531; 102.687798; 102.845632; 103.067398; 103.048071; 103.081673; 103.203297; 103.474341; 103.654876; 103.784233; 103.871167; 103.868097; 103.893287; 103.921644; 103.975803; 104.188189; 104.510762; 104.584716; 104.594424; 104.805455; 104.838863; 104.583807; 104.189657; 103.841208; 103.559121; 103.299893; 103.064992; 103.149623; 103.265487; 103.294149; 103.128724; 102.950111; 102.965601; 103.126816; 103.320442; 103.595980; 103.993900; 104.385495; 104.696766; 104.997776; 105.332829; 105.646364; 105.839260; 105.917387; 106.009960; 106.203802; 106.292486; 106.319323; 106.246151; 106.105655; 105.984017; 105.914570; 105.818674; 105.892040; 105.876498; 105.859824; 105.886504; 105.955243; 106.041089; 106.121473; 106.108256; 106.167942; 106.284045; 106.420882; 106.572606; 106.683291; 106.955677; 107.399702; 107.762106; 108.120799; 108.325548; 108.393274; 108.383782; 108.415812; 108.441748; 108.436011; 108.336993; 108.263649; 108.261809; 108.281769; 108.188123; 107.904293; 107.637174; 107.432418; 107.254408; 107.119456; 107.070036; 107.021548; (); (); (); (); (); (); 
177.8; 07:47:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 103.513233; 103.374392; 103.138082; 102.753229; 102.581680; 102.805853; 103.013992; 102.999672; 103.005238; 102.927320; 102.813818; 102.683835; 102.652639; 102.454714; 102.109917; 102.042712; 102.051996; 102.046579; 102.264799; 102.410376; 102.193326; 102.119006; 102.122076; 102.231249; 102.416478; 102.491766; 102.437072; 102.332577; 102.319397; 102.425314; 102.622397; 102.896534; 103.015773; 102.954410; 102.938995; 103.090748; 103.209034; 103.328183; 103.371851; 103.302538; 103.335187; 103.388481; 103.624985; 103.872702; 104.096971; 104.213357; 104.227446; 104.330242; 104.389109; 104.221486; 103.953086; 103.739686; 103.450455; 103.228033; 102.999665; 103.005037; 103.041492; 102.929085; 102.805644; 102.608062; 102.549605; 102.806076; 103.138916; 103.348836; 103.770040; 104.115017; 104.372591; 104.731627; 105.108880; 105.481200; 105.732501; 105.768211; 105.933279; 106.104940; 106.278844; 106.245957; 106.083721; 105.882108; 105.724528; 105.646670; 105.690874; 105.836697; 105.801769; 105.791084; 105.961777; 106.059663; 106.104352; 106.078669; 106.041729; 105.993301; 106.144309; 106.272526; 106.441967; 106.605016; 106.850661; 107.161656; 107.467182; 107.864998; 108.039737; 108.014569; 108.104058; 108.182803; 108.175397; 108.198076; 108.174942; 108.061992; 108.183518; 108.264349; 108.133562; 107.800357; 107.589222; 107.332036; 107.137151; 107.048646; 106.909245; 106.808886; (); (); (); (); (); (); 
179.9; 07:47:29; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 103.488617; 103.474200; 103.410311; 103.187539; 102.943644; 102.898568; 103.030197; 103.059217; 103.026286; 103.019960; 102.965876; 102.909006; 102.878943; 102.755524; 102.438033; 102.218412; 102.184519; 102.100864; 102.139607; 102.275796; 102.317162; 102.216288; 102.298558; 102.412574; 102.491125; 102.446400; 102.334671; 102.199182; 102.102064; 102.175422; 102.374263; 102.589935; 102.654122; 102.642164; 102.605030; 102.714896; 102.936573; 103.167586; 103.335775; 103.470497; 103.474580; 103.441060; 103.600182; 103.841238; 104.178190; 104.528032; 104.605436; 104.758166; 104.888745; 104.941569; 104.696624; 104.366861; 104.120083; 103.778228; 103.489310; 103.518046; 103.683226; 103.722975; 103.591301; 103.386499; 103.016108; 102.941260; 103.109457; 103.270590; 103.420131; 103.705019; 103.898965; 104.089960; 104.476996; 104.901701; 105.150186; 105.180331; 105.180323; 105.332561; 105.472952; 105.626442; 105.659284; 105.532035; 105.470859; 105.519526; 105.539232; 105.617553; 105.594069; 105.653346; 105.833620; 106.060594; 106.197298; 106.195919; 106.170036; 106.216237; 106.272422; 106.468022; 106.743336; 107.013561; 107.327878; 107.774526; 108.195685; 108.604774; 108.641639; 108.464420; 108.480230; 108.697489; 108.743697; 108.655505; 108.613737; 108.649179; 108.680308; 108.658612; 108.575873; 108.292803; 108.011290; 107.723489; 107.530832; 107.485041; 107.582219; (); (); (); (); (); (); 
182.0; 07:47:37; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 103.148498; 102.964364; 102.576189; 102.415115; 102.759063; 102.993540; 102.926314; 102.878451; 102.879681; 102.793984; 102.836542; 102.922685; 102.729291; 102.372140; 102.331780; 102.298148; 102.299057; 102.405138; 102.493674; 102.164008; 102.045171; 102.013931; 102.041133; 102.178276; 102.172539; 102.065265; 101.873964; 101.852894; 101.930000; 102.118455; 102.331959; 102.450229; 102.532178; 102.611423; 102.901399; 103.128336; 103.322431; 103.394516; 103.397511; 103.382282; 103.366815; 103.573479; 103.847966; 104.161061; 104.279041; 104.247279; 104.381479; 104.374245; 104.158431; 103.891261; 103.630170; 103.310101; 103.004225; 102.859847; 102.963626; 103.218846; 103.183448; 102.965251; 102.857552; 102.930039; 103.157327; 103.458427; 103.680275; 104.020819; 104.438253; 104.673855; 105.018392; 105.406493; 105.725013; 105.954394; 105.947487; 106.083401; 106.312029; 106.377132; 106.327310; 106.136918; 105.871327; 105.745763; 105.727009; 105.653599; 105.692588; 105.609059; 105.555505; 105.634488; 105.671495; 105.745442; 105.791830; 105.758145; 105.734728; 105.885491; 106.097259; 106.322490; 106.499314; 106.636435; 107.033543; 107.382484; 107.855462; 108.221591; 108.337134; 108.385563; 108.522564; 108.463153; 108.441137; 108.454168; 108.408056; 108.409554; 108.357839; 108.269848; 108.092971; 107.836775; 107.604645; 107.368961; 107.196733; 107.050046; 106.838621; (); (); (); (); (); (); 
184.2; 07:47:46; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 103.186935; 103.262529; 103.096455; 102.911204; 102.705874; 102.656752; 102.804944; 102.899633; 102.975354; 103.019446; 102.877021; 102.784321; 102.778271; 102.754533; 102.428570; 102.100253; 102.020346; 102.047749; 102.094330; 102.202751; 102.214254; 102.121435; 102.196917; 102.236465; 102.362193; 102.396019; 102.359027; 102.173537; 102.115497; 102.171533; 102.305099; 102.532417; 102.615424; 102.610245; 102.686971; 102.824524; 103.015155; 103.166781; 103.354037; 103.442006; 103.527509; 103.390887; 103.438497; 103.623614; 103.958182; 104.236484; 104.258843; 104.366720; 104.472712; 104.446121; 104.186155; 103.929780; 103.748970; 103.433743; 103.148408; 103.209287; 103.393592; 103.459984; 103.305176; 103.057154; 102.878459; 102.948427; 103.181981; 103.357434; 103.587151; 103.872433; 104.071595; 104.303025; 104.710981; 105.112873; 105.267093; 105.340175; 105.362520; 105.591886; 105.750330; 105.783775; 105.742969; 105.554074; 105.499178; 105.469599; 105.455212; 105.448425; 105.267510; 105.235308; 105.484195; 105.666369; 105.825812; 105.925873; 105.957255; 106.090024; 106.186695; 106.328122; 106.576912; 106.752641; 107.069112; 107.556209; 108.034126; 108.542658; 108.710900; 108.619824; 108.582221; 108.632341; 108.528785; 108.366877; 108.306594; 108.349949; 108.434297; 108.443879; 108.415321; 108.142368; 107.763052; 107.496038; 107.206777; 107.063435; 107.029811; (); (); (); (); (); (); 
186.3; 07:47:54; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 103.114098; 102.984011; 102.682412; 102.361210; 102.192707; 102.416672; 102.639847; 102.589674; 102.533258; 102.532431; 102.480911; 102.485590; 102.473743; 102.263615; 101.944961; 101.886593; 101.948954; 102.014273; 102.236360; 102.300048; 102.098212; 101.997890; 102.028891; 102.098174; 102.252416; 102.354579; 102.283143; 102.240548; 102.368534; 102.570340; 102.790676; 103.001431; 103.057340; 103.160523; 103.329115; 103.615589; 103.885867; 104.049727; 104.122847; 104.108922; 104.004987; 103.966624; 104.023211; 104.150780; 104.385220; 104.427308; 104.378954; 104.380891; 104.281507; 104.029819; 103.707328; 103.369966; 103.080563; 102.841660; 102.662936; 102.815412; 102.984868; 102.963053; 102.843121; 102.638245; 102.610141; 102.793798; 103.108831; 103.423208; 103.812367; 104.128480; 104.357071; 104.637302; 105.039388; 105.457306; 105.660044; 105.735496; 105.826840; 105.968468; 106.094241; 106.159069; 106.134348; 105.940074; 105.836630; 105.800800; 105.836347; 105.888128; 105.813116; 105.779007; 105.848365; 105.908774; 105.947457; 105.964832; 105.886452; 105.785668; 105.928600; 106.120631; 106.266081; 106.349342; 106.551871; 106.917940; 107.315004; 107.673287; 107.882991; 107.892968; 107.970953; 108.040877; 108.038068; 108.058482; 108.027257; 107.851788; 107.857041; 107.911721; 107.832171; 107.520752; 107.273899; 107.076719; 106.846809; 106.693305; 106.537655; 106.348872; (); (); (); (); (); (); 
188.5; 07:48:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 103.114098; 103.180818; 103.346661; 103.278346; 103.148781; 102.933548; 102.967106; 103.097573; 103.175581; 103.279419; 103.208281; 103.097402; 103.020832; 103.034250; 102.889270; 102.591522; 102.361560; 102.252692; 102.189504; 102.222688; 102.332816; 102.261543; 102.139436; 102.202520; 102.205858; 102.336220; 102.409862; 102.401532; 102.234751; 102.231853; 102.247395; 102.398776; 102.644019; 102.746531; 102.718994; 102.778472; 102.986529; 103.182130; 103.311896; 103.509344; 103.555098; 103.555195; 103.454143; 103.483729; 103.716314; 104.027428; 104.340352; 104.404174; 104.505517; 104.660407; 104.588829; 104.263663; 104.050815; 103.928752; 103.721634; 103.472777; 103.465803; 103.641488; 103.778355; 103.657626; 103.466362; 103.255607; 103.251606; 103.420474; 103.551202; 103.722170; 104.037978; 104.166225; 104.314335; 104.648605; 104.976572; 105.153754; 105.227470; 105.229400; 105.469309; 105.581388; 105.659038; 105.642885; 105.492219; 105.430230; 105.461434; 105.487123; 105.565131; 105.485611; 105.497643; 105.801947; 106.117018; 106.307812; 106.381565; 106.307790; 106.337480; 106.296562; 106.406190; 106.660634; 106.869251; 107.119240; 107.567184; 108.057715; 108.515754; 108.626232; 108.520977; 108.430408; 108.496398; 108.505599; 108.443074; 108.411454; 108.413056; 108.507521; 108.552657; 108.508632; 108.344898; 108.021550; 107.699253; 107.432418; 107.318610; 107.222922; (); (); (); (); (); (); 
190.7; 07:48:11; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 103.189431; 102.940239; 102.480605; 102.219701; 102.455355; 102.722503; 102.704041; 102.644511; 102.608643; 102.528296; 102.477103; 102.513306; 102.281660; 102.019615; 101.942681; 101.969197; 102.007955; 102.265552; 102.468759; 102.342218; 102.185160; 102.129549; 102.218017; 102.400534; 102.473348; 102.400750; 102.227360; 102.266215; 102.321230; 102.475762; 102.652438; 102.682970; 102.706738; 102.755040; 102.883421; 103.107452; 103.326738; 103.383355; 103.353433; 103.314519; 103.282109; 103.487529; 103.720069; 104.024127; 104.174100; 104.213238; 104.336128; 104.404524; 104.262486; 103.966452; 103.681773; 103.428364; 103.220485; 103.065297; 103.193335; 103.391387; 103.426218; 103.260033; 103.145100; 103.096105; 103.291802; 103.503577; 103.710845; 104.087695; 104.520984; 104.744464; 104.989052; 105.326734; 105.600551; 105.798371; 105.739757; 105.829820; 106.089525; 106.083550; 106.124915; 105.946533; 105.785556; 105.626062; 105.520777; 105.423413; 105.460152; 105.425388; 105.437465; 105.536386; 105.602093; 105.613507; 105.609253; 105.560392; 105.546676; 105.687886; 105.924584; 106.090583; 106.195681; 106.431596; 106.891714; 107.237957; 107.587971; 107.743904; 107.827522; 107.918389; 108.046427; 107.957207; 107.910387; 107.890263; 107.800499; 107.806429; 107.827224; 107.767813; 107.488066; 107.225701; 106.971204; 106.831916; 106.734939; 106.515750; 106.387965; (); (); (); (); (); (); 
192.8; 07:48:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 103.139289; 103.340715; 103.223257; 103.010699; 102.791280; 102.783963; 102.907918; 102.967545; 103.003010; 102.957062; 102.900974; 102.856241; 102.879897; 102.783538; 102.449268; 102.187715; 102.125555; 102.103360; 102.184013; 102.348968; 102.305405; 102.235891; 102.276996; 102.329768; 102.441847; 102.516942; 102.460861; 102.335870; 102.310941; 102.386177; 102.524802; 102.760307; 102.868125; 102.857627; 102.930039; 103.128344; 103.312515; 103.447147; 103.636362; 103.732444; 103.631228; 103.549302; 103.597037; 103.787929; 104.038611; 104.323678; 104.463227; 104.536310; 104.595043; 104.439676; 104.112349; 103.811808; 103.482015; 103.183463; 103.010371; 102.996692; 103.149854; 103.226624; 103.182673; 103.015073; 102.843359; 102.811165; 103.028007; 103.230678; 103.555113; 103.976391; 104.176767; 104.446374; 104.837313; 105.183542; 105.325416; 105.417468; 105.413891; 105.573110; 105.731323; 105.882555; 105.828896; 105.663233; 105.608732; 105.677284; 105.724730; 105.912223; 105.923347; 105.957046; 106.233850; 106.486745; 106.554419; 106.592037; 106.516898; 106.505893; 106.513314; 106.647320; 106.913581; 107.075989; 107.212976; 107.484214; 107.768908; 108.072773; 108.160973; 108.034626; 108.171865; 108.368576; 108.416460; 108.423240; 108.333252; 108.234681; 108.273521; 108.292855; 108.231485; 108.010411; 107.747845; 107.571170; 107.431322; 107.388601; 107.373230; (); (); (); (); (); (); 
195.0; 07:48:28; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 102.835923; 102.686144; 102.414824; 102.283932; 102.602087; 102.819242; 102.804810; 102.730848; 102.733865; 102.722734; 102.788642; 102.830812; 102.622688; 102.288149; 102.261066; 102.280729; 102.326050; 102.531277; 102.750793; 102.580369; 102.478668; 102.466665; 102.556638; 102.678224; 102.671757; 102.558292; 102.443293; 102.506362; 102.657065; 102.878623; 103.060119; 103.105761; 103.014953; 102.947116; 103.113778; 103.276595; 103.423119; 103.512533; 103.479356; 103.447497; 103.414901; 103.564516; 103.859052; 104.067139; 104.135923; 104.139931; 104.250841; 104.257748; 104.068033; 103.747800; 103.360005; 103.121012; 102.902211; 102.753930; 102.864228; 103.037141; 103.028968; 102.834269; 102.691308; 102.704175; 102.850452; 103.188522; 103.538573; 103.895709; 104.287773; 104.646966; 104.920097; 105.244651; 105.636276; 105.806127; 105.805226; 105.895162; 106.135547; 106.248826; 106.273316; 106.180049; 105.940655; 105.888568; 105.830915; 105.792105; 105.852820; 105.824247; 105.801582; 105.957970; 106.080823; 106.245525; 106.313102; 106.254339; 106.289200; 106.434800; 106.578887; 106.770091; 106.853843; 107.094519; 107.514404; 107.873000; 108.257815; 108.494744; 108.503334; 108.459741; 108.462609; 108.400539; 108.327799; 108.193442; 108.079255; 108.144507; 108.106524; 107.927173; 107.641734; 107.349448; 107.095152; 106.869847; 106.629491; 106.437340; 106.314838; (); (); (); (); (); (); 
