Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 11:43:44
File Name; D:\Mahlo\TR\171010114344FP 4583_432 GSM0_XMF2.txt

3760.4; 11:43:55; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.795840; 1.778133; 1.656519; 1.530450; 1.439382; 1.362183; 1.286059; 1.221345; 1.136949; 1.048911; 0.960236; 0.859588; 0.773345; 0.689332; 0.595463; 0.502445; 0.444789; 0.446238; 0.448487; 0.451014; 0.454127; 0.457686; 0.460471; 0.462341; 0.463754; 0.464976; 0.466798; 0.468486; 0.468985; 0.468427; 0.466708; 0.464606; 0.463009; 0.461173; 0.459193; 0.457814; 0.457436; 0.457468; 0.457472; 0.456714; 0.455648; 0.455071; 0.454995; 0.455385; 0.456175; 0.457743; 0.460102; 0.461925; 0.463025; 0.463272; 0.463103; 0.462732; 0.462683; 0.463453; 0.464947; 0.466354; 0.466657; 0.466239; 0.465775; 0.465579; 0.465283; 0.464835; 0.464651; 0.465051; 0.465840; 0.466350; 0.466553; 0.466478; 0.466180; 0.466003; 0.466539; 0.467978; 0.469412; 0.470452; 0.470798; 0.470712; 0.470537; 0.470700; 0.470756; 0.471068; 0.471901; 0.473073; 0.474362; 0.474939; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3763.1; 11:44:03; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.429421; 0.431422; 0.433399; 0.434071; 0.434521; 0.435676; 0.437477; 0.442132; 0.445667; 0.447598; 0.449348; 0.451270; 0.452613; 0.456703; 0.458448; 0.459347; 0.459799; 0.460516; 0.461858; 0.463003; 0.463211; 0.463526; 0.463339; 0.462806; 0.463105; 0.463700; 0.463079; 0.461065; 0.458711; 0.456798; 0.455407; 0.454438; 0.453952; 0.454088; 0.454231; 0.453724; 0.452935; 0.453260; 0.454621; 0.455588; 0.456400; 0.457539; 0.458900; 0.461310; 0.465094; 0.468161; 0.469207; 0.468965; 0.468337; 0.467968; 0.467984; 0.467844; 0.467353; 0.466703; 0.465991; 0.465166; 0.464466; 0.463789; 0.462279; 0.460339; 0.459428; 0.460054; 0.461541; 0.463439; 0.465073; 0.466180; 0.467087; 0.467758; 0.467725; 0.466998; 0.466027; 0.465986; 0.467152; 0.468731; 0.470176; 0.471654; 0.472657; 0.473057; 0.473399; 0.473683; 0.474283; 0.475205; 0.476108; 0.477448; 0.478981; 0.480214; 0.480503; 0.479524; 0.478488; 0.478241; 0.478133; 0.477774; 0.477141; 0.476778; 0.476518; 0.476171; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3765.1; 11:44:11; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.455529; 0.457049; 0.457129; 0.456839; 0.456051; 0.455278; 0.455041; 0.454957; 0.456930; 0.458314; 0.458596; 0.458602; 0.458463; 0.458013; 0.456555; 0.455041; 0.453509; 0.453277; 0.453446; 0.453550; 0.453282; 0.452730; 0.452532; 0.451823; 0.450393; 0.448862; 0.447575; 0.444822; 0.436347; 0.427744; 0.418049; 0.408037; 0.397798; 0.389057; 0.380970; 0.372235; 0.364274; 0.356134; 0.347201; 0.339936; 0.333054; 0.325086; 0.320258; 0.321440; 0.322816; 0.324022; 0.325266; 0.326414; 0.327257; 0.327911; 0.328394; 0.328735; 0.328825; 0.328964; 0.329067; 0.329099; 0.329066; 0.328671; 0.327940; 0.327030; 0.325887; 0.324971; 0.324856; 0.325326; 0.325535; 0.325541; 0.325703; 0.326124; 0.326614; 0.327211; 0.328022; 0.329441; 0.331781; 0.334116; 0.335811; 0.337142; 0.338325; 0.339350; 0.340452; 0.341748; 0.343596; 0.345231; 0.346209; 0.346863; 0.347377; 0.348033; 0.348580; 0.348937; 0.349617; 0.350606; 0.351681; 0.352431; 0.352555; 0.352849; 0.353503; 0.354146; 0.354742; 0.355822; 0.356973; 0.357520; 0.356596; 0.354105; 0.353507; 0.353214; 0.353274; 0.353570; 0.354131; 0.354096; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3767.2; 11:44:19; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.308840; 0.310475; 0.311420; 0.311651; 0.311866; 0.312381; 0.313416; 0.315449; 0.317959; 0.319069; 0.320278; 0.322437; 0.324335; 0.325718; 0.326926; 0.327880; 0.328692; 0.329974; 0.332060; 0.334100; 0.335297; 0.335481; 0.334866; 0.333367; 0.331936; 0.331211; 0.330976; 0.330746; 0.329973; 0.328573; 0.326784; 0.325164; 0.323342; 0.321531; 0.320926; 0.321174; 0.322002; 0.323507; 0.326200; 0.328952; 0.330466; 0.330859; 0.330421; 0.329821; 0.329719; 0.330000; 0.330403; 0.330384; 0.329372; 0.326330; 0.322602; 0.320190; 0.318460; 0.316591; 0.314498; 0.312873; 0.311681; 0.311326; 0.311898; 0.312569; 0.312968; 0.313209; 0.313689; 0.314688; 0.316154; 0.317546; 0.317934; 0.317930; 0.318199; 0.318895; 0.319576; 0.320456; 0.321462; 0.322473; 0.323878; 0.325870; 0.328407; 0.331129; 0.333755; 0.336101; 0.338542; 0.341600; 0.343875; 0.345470; 0.346299; 0.347221; 0.347955; 0.348509; 0.348847; 0.348679; 0.348190; 0.347204; 0.346556; 0.345412; 0.343994; 0.342589; 0.340274; 0.338820; 0.337397; 0.335776; 0.331616; 0.329772; 0.328627; 0.326769; 0.324977; 0.323232; 0.321299; 0.318904; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3769.2; 11:44:28; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.323372; 0.326480; 0.327917; 0.329374; 0.330729; 0.332508; 0.334327; 0.336019; 0.339371; 0.341781; 0.343472; 0.344047; 0.345070; 0.344958; 0.343384; 0.341878; 0.340342; 0.340341; 0.339733; 0.338394; 0.336515; 0.334252; 0.332338; 0.330931; 0.330608; 0.330529; 0.330255; 0.329991; 0.330197; 0.331311; 0.332339; 0.333156; 0.333603; 0.333941; 0.334613; 0.335796; 0.336541; 0.336701; 0.336411; 0.335430; 0.334213; 0.333326; 0.332632; 0.331465; 0.330111; 0.328869; 0.327353; 0.325937; 0.324288; 0.322091; 0.320173; 0.319030; 0.318314; 0.318250; 0.319050; 0.320342; 0.321808; 0.323032; 0.323745; 0.324183; 0.324468; 0.324622; 0.324510; 0.324538; 0.324788; 0.325202; 0.326257; 0.328093; 0.329389; 0.329693; 0.329404; 0.329296; 0.329963; 0.331053; 0.332159; 0.333115; 0.334474; 0.336285; 0.337857; 0.339426; 0.340142; 0.340411; 0.341093; 0.342437; 0.344327; 0.346394; 0.347814; 0.348391; 0.347999; 0.347082; 0.346375; 0.345899; 0.345735; 0.346261; 0.347189; 0.348613; 0.350163; 0.350755; 0.350625; 0.349888; 0.347641; 0.342972; 0.340741; 0.341185; 0.342197; 0.343344; 0.344414; 0.344755; 0.344241; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3771.2; 11:44:36; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.316960; 0.317817; 0.319105; 0.319752; 0.320583; 0.322073; 0.323864; 0.327437; 0.329599; 0.329857; 0.329750; 0.329675; 0.329117; 0.328498; 0.328542; 0.328859; 0.328892; 0.328405; 0.327068; 0.324302; 0.320535; 0.316796; 0.312579; 0.309939; 0.308250; 0.306521; 0.304937; 0.304205; 0.303958; 0.303209; 0.301548; 0.300203; 0.299787; 0.300522; 0.301972; 0.304483; 0.307066; 0.309542; 0.311745; 0.313461; 0.314406; 0.314755; 0.315156; 0.315593; 0.316038; 0.316808; 0.317669; 0.318378; 0.318553; 0.318543; 0.318271; 0.317810; 0.317257; 0.317198; 0.318020; 0.319896; 0.322194; 0.324349; 0.326274; 0.327818; 0.329008; 0.330249; 0.331540; 0.332894; 0.334030; 0.335372; 0.336476; 0.337399; 0.337985; 0.337791; 0.337151; 0.336584; 0.336032; 0.335777; 0.335957; 0.336588; 0.337525; 0.338349; 0.338900; 0.339116; 0.338989; 0.338732; 0.338754; 0.338971; 0.339031; 0.339480; 0.340174; 0.341052; 0.341210; 0.341245; 0.340897; 0.340170; 0.339209; 0.338477; 0.338398; 0.338010; 0.337978; 0.337596; 0.337455; 0.336939; 0.333250; 0.329063; 0.327379; 0.325877; 0.324395; 0.322877; 0.321365; 0.319103; 0.317753; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3773.2; 11:44:44; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.305344; 0.308687; 0.309967; 0.311186; 0.312222; 0.313081; 0.313452; 0.313817; 0.318201; 0.320919; 0.323229; 0.324427; 0.325575; 0.326257; 0.325221; 0.323134; 0.320896; 0.320756; 0.320896; 0.321050; 0.321316; 0.321849; 0.323248; 0.324241; 0.324356; 0.323580; 0.321969; 0.319785; 0.318290; 0.318178; 0.319606; 0.321769; 0.323068; 0.323519; 0.323257; 0.322674; 0.321684; 0.320141; 0.319080; 0.318838; 0.319223; 0.319820; 0.320139; 0.319702; 0.318832; 0.317043; 0.314669; 0.312388; 0.310293; 0.308667; 0.307514; 0.307240; 0.307703; 0.308675; 0.309997; 0.310829; 0.311255; 0.311964; 0.313506; 0.315294; 0.316506; 0.317461; 0.318582; 0.320076; 0.322125; 0.323700; 0.324176; 0.323533; 0.322139; 0.320312; 0.319160; 0.318695; 0.318452; 0.318119; 0.318302; 0.319338; 0.320662; 0.321465; 0.321950; 0.322201; 0.322876; 0.324652; 0.326671; 0.328592; 0.330620; 0.332766; 0.334556; 0.335916; 0.336703; 0.337003; 0.337078; 0.337137; 0.337179; 0.336994; 0.336898; 0.336970; 0.336915; 0.336891; 0.336954; 0.336373; 0.334194; 0.329984; 0.328416; 0.327992; 0.327372; 0.326287; 0.325137; 0.324382; 0.323880; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3775.3; 11:44:52; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.311183; 0.310964; 0.310694; 0.310492; 0.310684; 0.311453; 0.312478; 0.316004; 0.319120; 0.320602; 0.321287; 0.321042; 0.319942; 0.318943; 0.318296; 0.318734; 0.319641; 0.320283; 0.319938; 0.318631; 0.317118; 0.316004; 0.314548; 0.312863; 0.311454; 0.310057; 0.308766; 0.308566; 0.309802; 0.311201; 0.311915; 0.312009; 0.311963; 0.313050; 0.314855; 0.316263; 0.317068; 0.317943; 0.318623; 0.318675; 0.318873; 0.319524; 0.320427; 0.321577; 0.322528; 0.323146; 0.323670; 0.324006; 0.323937; 0.324066; 0.324496; 0.325256; 0.326129; 0.326864; 0.327765; 0.329349; 0.330707; 0.331354; 0.331159; 0.330735; 0.330518; 0.330915; 0.331332; 0.331695; 0.331963; 0.332547; 0.332978; 0.333370; 0.333965; 0.334218; 0.333916; 0.333931; 0.334166; 0.334341; 0.334515; 0.334783; 0.335445; 0.336176; 0.336349; 0.335794; 0.335305; 0.335334; 0.335409; 0.335507; 0.335109; 0.334178; 0.332182; 0.330210; 0.328625; 0.327201; 0.326244; 0.325083; 0.323821; 0.323208; 0.323366; 0.323528; 0.322750; 0.321702; 0.320440; 0.320082; 0.317541; 0.315205; 0.315456; 0.315415; 0.315259; 0.314387; 0.313734; 0.313638; 0.312799; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3777.3; 11:45:00; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.307427; 0.309137; 0.309181; 0.309085; 0.308558; 0.308852; 0.310054; 0.311044; 0.314906; 0.318758; 0.320782; 0.320816; 0.319994; 0.319115; 0.317297; 0.315776; 0.314067; 0.313380; 0.312850; 0.312574; 0.311775; 0.309935; 0.308408; 0.306906; 0.305518; 0.303457; 0.301614; 0.300381; 0.299119; 0.298479; 0.298335; 0.299012; 0.300194; 0.301314; 0.302489; 0.303990; 0.305270; 0.306040; 0.306876; 0.308237; 0.310343; 0.312744; 0.314860; 0.316933; 0.318581; 0.319860; 0.320584; 0.320996; 0.321037; 0.321126; 0.321116; 0.320950; 0.321151; 0.321333; 0.320826; 0.319101; 0.317271; 0.316212; 0.315749; 0.315566; 0.314966; 0.313777; 0.312799; 0.311940; 0.311181; 0.310644; 0.310676; 0.311079; 0.311531; 0.312344; 0.313730; 0.315363; 0.316399; 0.317057; 0.317886; 0.319198; 0.320609; 0.322218; 0.324315; 0.326134; 0.327374; 0.328469; 0.329454; 0.330541; 0.331936; 0.333056; 0.333610; 0.334081; 0.334718; 0.335089; 0.335215; 0.335852; 0.336660; 0.337038; 0.337080; 0.337269; 0.337100; 0.336651; 0.336099; 0.335375; 0.333810; 0.332304; 0.332140; 0.331848; 0.331709; 0.331734; 0.330791; 0.328961; 0.312799; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3779.3; 11:45:08; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.304501; 0.304100; 0.303126; 0.302367; 0.302206; 0.302588; 0.303356; 0.305645; 0.308602; 0.309929; 0.310347; 0.310673; 0.310781; 0.310533; 0.310051; 0.310275; 0.311724; 0.314097; 0.316659; 0.318533; 0.319580; 0.319894; 0.319594; 0.318849; 0.317753; 0.316607; 0.316217; 0.316721; 0.317786; 0.319359; 0.320470; 0.320747; 0.320161; 0.319287; 0.318951; 0.319695; 0.321235; 0.322803; 0.324838; 0.327111; 0.328830; 0.330337; 0.331649; 0.332281; 0.332226; 0.331612; 0.330971; 0.331370; 0.331907; 0.331478; 0.329608; 0.327779; 0.326842; 0.326426; 0.326205; 0.326281; 0.326298; 0.326486; 0.327138; 0.328249; 0.328952; 0.328922; 0.328514; 0.328266; 0.328187; 0.327900; 0.326758; 0.325214; 0.323555; 0.321838; 0.320582; 0.319337; 0.317670; 0.316268; 0.315146; 0.314472; 0.314099; 0.313672; 0.313231; 0.313240; 0.314217; 0.316290; 0.318532; 0.320513; 0.321297; 0.321767; 0.322335; 0.323037; 0.323775; 0.324653; 0.326505; 0.327986; 0.329470; 0.330600; 0.331495; 0.332534; 0.332499; 0.332596; 0.331938; 0.331265; 0.328224; 0.327414; 0.327483; 0.327468; 0.327101; 0.325803; 0.324476; 0.323040; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3781.3; 11:45:16; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.323066; 0.326367; 0.327486; 0.328435; 0.328517; 0.328827; 0.329414; 0.329730; 0.334201; 0.337475; 0.338840; 0.338015; 0.336085; 0.333857; 0.331356; 0.328970; 0.326532; 0.325875; 0.325596; 0.325935; 0.326034; 0.325792; 0.325763; 0.325833; 0.326042; 0.325874; 0.325678; 0.326318; 0.327040; 0.327626; 0.328034; 0.328408; 0.328029; 0.326846; 0.325048; 0.323394; 0.322284; 0.321590; 0.321061; 0.321058; 0.321682; 0.322774; 0.323718; 0.324086; 0.323764; 0.322691; 0.320964; 0.319606; 0.318887; 0.318963; 0.319617; 0.320069; 0.320023; 0.319753; 0.319215; 0.318422; 0.317659; 0.317309; 0.317861; 0.319579; 0.321507; 0.323602; 0.325385; 0.325616; 0.324276; 0.322238; 0.321027; 0.321064; 0.322119; 0.324088; 0.326250; 0.327840; 0.328923; 0.329586; 0.329607; 0.329292; 0.329492; 0.330753; 0.333192; 0.336181; 0.338974; 0.340234; 0.340193; 0.339437; 0.338404; 0.337964; 0.338058; 0.337964; 0.337101; 0.335095; 0.333003; 0.330637; 0.327822; 0.325894; 0.325017; 0.324911; 0.325294; 0.325897; 0.325973; 0.324848; 0.321630; 0.316311; 0.314017; 0.312898; 0.313077; 0.314373; 0.316078; 0.316925; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
