Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 11:43:44
File Name; D:\Mahlo\TR\171010114344FP 4583_432 GSM0_THICKNESS2.txt

3760.4; 11:43:55; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.736482; 0.736893; 0.736565; 0.739295; 0.739827; 0.741876; 0.743679; 0.742829; 0.740844; 0.734199; 0.731086; 0.731004; 0.729054; 0.726047; 0.725404; 0.721150; 0.717050; 0.714195; 0.713283; 0.714080; 0.712021; 0.712311; 0.715797; 0.722325; 0.730332; 0.730274; 0.729014; 0.730020; 0.732232; 0.735152; 0.740568; 0.746078; 0.746415; 0.743067; 0.741608; 0.739630; 0.735099; 0.729841; 0.724739; 0.721485; 0.722752; 0.725683; 0.727236; 0.728160; 0.729111; 0.729901; 0.728991; 0.728873; 0.726786; 0.724918; 0.727084; 0.728615; 0.728650; 0.730088; 0.732979; 0.737339; 0.734839; 0.733120; 0.731064; 0.730390; 0.730719; 0.731196; 0.736572; 0.743952; 0.750502; 0.755020; 0.757918; 0.763983; 0.768636; 0.768341; 0.766445; 0.772411; 0.778002; 0.781336; 0.783603; 0.786114; 0.788548; 0.788305; 0.787660; 0.784807; 0.785709; 0.789378; 0.789067; 0.789059; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3763.1; 11:44:03; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.715071; 0.722643; 0.728572; 0.728562; 0.725667; 0.722185; 0.719671; 0.723514; 0.728307; 0.729317; 0.728756; 0.727593; 0.726798; 0.724144; 0.719777; 0.712999; 0.703317; 0.698323; 0.699914; 0.703490; 0.706657; 0.708342; 0.707595; 0.703968; 0.699010; 0.696517; 0.694164; 0.687226; 0.683382; 0.683196; 0.684747; 0.684753; 0.680397; 0.677517; 0.676438; 0.674851; 0.673036; 0.672801; 0.676233; 0.677309; 0.674240; 0.671776; 0.672093; 0.669956; 0.669237; 0.672039; 0.678298; 0.681032; 0.677601; 0.673982; 0.671361; 0.669604; 0.668197; 0.667198; 0.673081; 0.682060; 0.688583; 0.694629; 0.701503; 0.705308; 0.707884; 0.708433; 0.710523; 0.715915; 0.720594; 0.724255; 0.727316; 0.729261; 0.730587; 0.732511; 0.735534; 0.741448; 0.745430; 0.747734; 0.749405; 0.747879; 0.743406; 0.741555; 0.743244; 0.747698; 0.753086; 0.757924; 0.763474; 0.766861; 0.765704; 0.766368; 0.763601; 0.762778; 0.763418; 0.763421; 0.766442; 0.774958; 0.781922; 0.783749; 0.783793; 0.783117; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3765.1; 11:44:11; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.679126; 0.688211; 0.694237; 0.698199; 0.701762; 0.702810; 0.701837; 0.703861; 0.709314; 0.712598; 0.714288; 0.716454; 0.720701; 0.725959; 0.729853; 0.731926; 0.729701; 0.729717; 0.727891; 0.724504; 0.722119; 0.722100; 0.718867; 0.719704; 0.725072; 0.727551; 0.725953; 0.723604; 0.721018; 0.718875; 0.717239; 0.715027; 0.715169; 0.721502; 0.729514; 0.736514; 0.739494; 0.743928; 0.748219; 0.749150; 0.749989; 0.752020; 0.752735; 0.754846; 0.759758; 0.766633; 0.773240; 0.773430; 0.767969; 0.761649; 0.755636; 0.750895; 0.749637; 0.746549; 0.744594; 0.745717; 0.748053; 0.750074; 0.750531; 0.747841; 0.745458; 0.746904; 0.750194; 0.755234; 0.757265; 0.761751; 0.765062; 0.764763; 0.766449; 0.767645; 0.766750; 0.766532; 0.767652; 0.765363; 0.763071; 0.760280; 0.760628; 0.759538; 0.755003; 0.753646; 0.756543; 0.760852; 0.764088; 0.765013; 0.765187; 0.767716; 0.769429; 0.770446; 0.771844; 0.774153; 0.776282; 0.777673; 0.782029; 0.788362; 0.793737; 0.791553; 0.792417; 0.792994; 0.793727; 0.794961; 0.795223; 0.796791; 0.800159; 0.804642; 0.806688; 0.807359; 0.807304; 0.807054; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3767.2; 11:44:19; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.715731; 0.711629; 0.712446; 0.717073; 0.720008; 0.719851; 0.716132; 0.714458; 0.714139; 0.710397; 0.702922; 0.702431; 0.703599; 0.702324; 0.698619; 0.698027; 0.697714; 0.693889; 0.688332; 0.683906; 0.681144; 0.683640; 0.687280; 0.689260; 0.691052; 0.693160; 0.692989; 0.687719; 0.689825; 0.693578; 0.697226; 0.701403; 0.707721; 0.711613; 0.712944; 0.712307; 0.710736; 0.708424; 0.708687; 0.713080; 0.716328; 0.714320; 0.717871; 0.716200; 0.716198; 0.715483; 0.710511; 0.707877; 0.710977; 0.716666; 0.720687; 0.723275; 0.728052; 0.728404; 0.724922; 0.721757; 0.719633; 0.720230; 0.732311; 0.738348; 0.745556; 0.752363; 0.754376; 0.754230; 0.754777; 0.755079; 0.754244; 0.753631; 0.759687; 0.764578; 0.769191; 0.774350; 0.774980; 0.768770; 0.766709; 0.766836; 0.767009; 0.764242; 0.759179; 0.759511; 0.762458; 0.767524; 0.771707; 0.770983; 0.771645; 0.774283; 0.776247; 0.778124; 0.780947; 0.780063; 0.777647; 0.779870; 0.785977; 0.792631; 0.795957; 0.799710; 0.799972; 0.796631; 0.794321; 0.795310; 0.798222; 0.799493; 0.800155; 0.801603; 0.804443; 0.805839; 0.804903; 0.802491; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3769.2; 11:44:28; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.725040; 0.728995; 0.734628; 0.736729; 0.735497; 0.734629; 0.734184; 0.734888; 0.736919; 0.738416; 0.736882; 0.736873; 0.740135; 0.743560; 0.742095; 0.736971; 0.732999; 0.729547; 0.729418; 0.730682; 0.730818; 0.730868; 0.725850; 0.723008; 0.724982; 0.730478; 0.730955; 0.728094; 0.725030; 0.725252; 0.726897; 0.727408; 0.727221; 0.726835; 0.725604; 0.723708; 0.723155; 0.727933; 0.733140; 0.734997; 0.732839; 0.728815; 0.723368; 0.722985; 0.724312; 0.725577; 0.724645; 0.719106; 0.717697; 0.718229; 0.717795; 0.715986; 0.713357; 0.707330; 0.705406; 0.709634; 0.720641; 0.732623; 0.737360; 0.736544; 0.735336; 0.737066; 0.742679; 0.747322; 0.750032; 0.750622; 0.750456; 0.753036; 0.755443; 0.753458; 0.750320; 0.746115; 0.743868; 0.747979; 0.754195; 0.761435; 0.769287; 0.773076; 0.771773; 0.774402; 0.784155; 0.791477; 0.795355; 0.798083; 0.801069; 0.805890; 0.808700; 0.808914; 0.805727; 0.802936; 0.797938; 0.791070; 0.784556; 0.781011; 0.777021; 0.774683; 0.772885; 0.776360; 0.781289; 0.782833; 0.777889; 0.776589; 0.776106; 0.776050; 0.777485; 0.779619; 0.786306; 0.796902; 0.809563; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3771.2; 11:44:36; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.709817; 0.705664; 0.708557; 0.713007; 0.716118; 0.717553; 0.718130; 0.719316; 0.724110; 0.730477; 0.733598; 0.731432; 0.728069; 0.728035; 0.731627; 0.737183; 0.739226; 0.740159; 0.738404; 0.732309; 0.727511; 0.725556; 0.725426; 0.723694; 0.723116; 0.726186; 0.731548; 0.731145; 0.729221; 0.726058; 0.723754; 0.724258; 0.720314; 0.722272; 0.728026; 0.733384; 0.734449; 0.733668; 0.731743; 0.729482; 0.727657; 0.727387; 0.731254; 0.732897; 0.737258; 0.739664; 0.736819; 0.737062; 0.735735; 0.735533; 0.736816; 0.738333; 0.737723; 0.736142; 0.735659; 0.735191; 0.733108; 0.729508; 0.727039; 0.723770; 0.726687; 0.733062; 0.737426; 0.737901; 0.735722; 0.733541; 0.733294; 0.736074; 0.741010; 0.744993; 0.747156; 0.751675; 0.757838; 0.763981; 0.765517; 0.760773; 0.755895; 0.754744; 0.755169; 0.757905; 0.759494; 0.760555; 0.761681; 0.760651; 0.757268; 0.757608; 0.755092; 0.751750; 0.750385; 0.752843; 0.755458; 0.758170; 0.761492; 0.764832; 0.767608; 0.770879; 0.775142; 0.774862; 0.774179; 0.776158; 0.777982; 0.781500; 0.783775; 0.784597; 0.785966; 0.789851; 0.790014; 0.789637; 0.788269; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3773.2; 11:44:44; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.738642; 0.734991; 0.732075; 0.728052; 0.726203; 0.725355; 0.722475; 0.720833; 0.718976; 0.719024; 0.721802; 0.720438; 0.715352; 0.712620; 0.710595; 0.708808; 0.708637; 0.707413; 0.708355; 0.705815; 0.704424; 0.710701; 0.708224; 0.710241; 0.711830; 0.710495; 0.708108; 0.710019; 0.709931; 0.706914; 0.704317; 0.704842; 0.704351; 0.704228; 0.707970; 0.708443; 0.707364; 0.709163; 0.706048; 0.701611; 0.697698; 0.695899; 0.694244; 0.696948; 0.702550; 0.708271; 0.711391; 0.712915; 0.708752; 0.709205; 0.708394; 0.707787; 0.711357; 0.715915; 0.721191; 0.727642; 0.735079; 0.742057; 0.744902; 0.741483; 0.738098; 0.735940; 0.738010; 0.746785; 0.745312; 0.744679; 0.745700; 0.746483; 0.745451; 0.743512; 0.738739; 0.733906; 0.731725; 0.732940; 0.737713; 0.743330; 0.748070; 0.747831; 0.743498; 0.739985; 0.742980; 0.745118; 0.746363; 0.747748; 0.746722; 0.742184; 0.740220; 0.738322; 0.736470; 0.736941; 0.739549; 0.741618; 0.743891; 0.750002; 0.757040; 0.759971; 0.766005; 0.771168; 0.777254; 0.785451; 0.794923; 0.798176; 0.801150; 0.803012; 0.803570; 0.802057; 0.802378; 0.807269; 0.814753; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3775.3; 11:44:52; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.700753; 0.702875; 0.707617; 0.708187; 0.710194; 0.712223; 0.713081; 0.712450; 0.713089; 0.712538; 0.713774; 0.715599; 0.715885; 0.713836; 0.716307; 0.719062; 0.718919; 0.717725; 0.716291; 0.715199; 0.714866; 0.715036; 0.716958; 0.722053; 0.726734; 0.728268; 0.725303; 0.720716; 0.716608; 0.712928; 0.713558; 0.714645; 0.716309; 0.719066; 0.720818; 0.723069; 0.725092; 0.723957; 0.722466; 0.726898; 0.732912; 0.735811; 0.737777; 0.738744; 0.737875; 0.737353; 0.735585; 0.731477; 0.723844; 0.715883; 0.709097; 0.703211; 0.702612; 0.701914; 0.699046; 0.696025; 0.695930; 0.694247; 0.692624; 0.691733; 0.691622; 0.694100; 0.700058; 0.706803; 0.713242; 0.721886; 0.733701; 0.740824; 0.740948; 0.739401; 0.738396; 0.740495; 0.741585; 0.744848; 0.748611; 0.753043; 0.758125; 0.760753; 0.762603; 0.765091; 0.764688; 0.763335; 0.765508; 0.771949; 0.782608; 0.791879; 0.798183; 0.804526; 0.804734; 0.804901; 0.804548; 0.802933; 0.801458; 0.802341; 0.799349; 0.798609; 0.798182; 0.797762; 0.797972; 0.795260; 0.794454; 0.795032; 0.794187; 0.797397; 0.798189; 0.796767; 0.798670; 0.803399; 0.806908; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3777.3; 11:45:00; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.734534; 0.738575; 0.740298; 0.735598; 0.731267; 0.728663; 0.727080; 0.726902; 0.733700; 0.741545; 0.744635; 0.744759; 0.745342; 0.747161; 0.744942; 0.742802; 0.739147; 0.734789; 0.738660; 0.742843; 0.745206; 0.747384; 0.747736; 0.745587; 0.739907; 0.736011; 0.735875; 0.736651; 0.736052; 0.732455; 0.731063; 0.733996; 0.736803; 0.733856; 0.730081; 0.724385; 0.720422; 0.718710; 0.718464; 0.719690; 0.719064; 0.713813; 0.709084; 0.706988; 0.710159; 0.709122; 0.703317; 0.699441; 0.700711; 0.701378; 0.704659; 0.707653; 0.708891; 0.709784; 0.711621; 0.716336; 0.723177; 0.726602; 0.728204; 0.731513; 0.737285; 0.741627; 0.741177; 0.740732; 0.741284; 0.741318; 0.741736; 0.741968; 0.741326; 0.740852; 0.742876; 0.744441; 0.749033; 0.752082; 0.751399; 0.751096; 0.753460; 0.755661; 0.761032; 0.767612; 0.772619; 0.776778; 0.780581; 0.783076; 0.785213; 0.787266; 0.790053; 0.792590; 0.794145; 0.794782; 0.793582; 0.794680; 0.797839; 0.797229; 0.797043; 0.798741; 0.799002; 0.797643; 0.800650; 0.803782; 0.805530; 0.805572; 0.803130; 0.802858; 0.805811; 0.812395; 0.818134; 0.824608; 0.806908; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3779.3; 11:45:08; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.751655; 0.751853; 0.753997; 0.755162; 0.758112; 0.758061; 0.757208; 0.758789; 0.760773; 0.761442; 0.761744; 0.758501; 0.749246; 0.740213; 0.737288; 0.734058; 0.729470; 0.725052; 0.723388; 0.718373; 0.713090; 0.706742; 0.700124; 0.695014; 0.691561; 0.687295; 0.686045; 0.686849; 0.689446; 0.689814; 0.691450; 0.692862; 0.691281; 0.687227; 0.688132; 0.691677; 0.691474; 0.689117; 0.687809; 0.684777; 0.683333; 0.684482; 0.687862; 0.688360; 0.682550; 0.678102; 0.675105; 0.676740; 0.678876; 0.678158; 0.675599; 0.680435; 0.685352; 0.688500; 0.691909; 0.693758; 0.694664; 0.697257; 0.703411; 0.714065; 0.723030; 0.730601; 0.734281; 0.736773; 0.740480; 0.747880; 0.756190; 0.762954; 0.769777; 0.776695; 0.781441; 0.785599; 0.789114; 0.790402; 0.789578; 0.788907; 0.794995; 0.796478; 0.798028; 0.799789; 0.799941; 0.799175; 0.797545; 0.797556; 0.799870; 0.803116; 0.804659; 0.804516; 0.805247; 0.805607; 0.803253; 0.798563; 0.800291; 0.799714; 0.800683; 0.803287; 0.806765; 0.810556; 0.812440; 0.810554; 0.807544; 0.806790; 0.807281; 0.808987; 0.813195; 0.816967; 0.819840; 0.820582; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3781.3; 11:45:16; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.724388; 0.723556; 0.722845; 0.725716; 0.731601; 0.732158; 0.730988; 0.729499; 0.729195; 0.726446; 0.726263; 0.726025; 0.726053; 0.727261; 0.728146; 0.727868; 0.726072; 0.726234; 0.726159; 0.718928; 0.714070; 0.711782; 0.709800; 0.708076; 0.707444; 0.707004; 0.707140; 0.708596; 0.709306; 0.707814; 0.705655; 0.709624; 0.708829; 0.707039; 0.707550; 0.710729; 0.712227; 0.715661; 0.720974; 0.725865; 0.729008; 0.729845; 0.725882; 0.721267; 0.721742; 0.725900; 0.725583; 0.726125; 0.728391; 0.729698; 0.724519; 0.718278; 0.713528; 0.710126; 0.709294; 0.708090; 0.702627; 0.702465; 0.704059; 0.706476; 0.709074; 0.712998; 0.718282; 0.719804; 0.719978; 0.722000; 0.730740; 0.732690; 0.731841; 0.726564; 0.724513; 0.726153; 0.728548; 0.728498; 0.726374; 0.725159; 0.723172; 0.720538; 0.724343; 0.732835; 0.738879; 0.739121; 0.746197; 0.751775; 0.758592; 0.764845; 0.769986; 0.775147; 0.778826; 0.780743; 0.780776; 0.780096; 0.778661; 0.777504; 0.778937; 0.783394; 0.787778; 0.789551; 0.791505; 0.794534; 0.795815; 0.796220; 0.796056; 0.797258; 0.797991; 0.800715; 0.807055; 0.811644; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
