Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 11:43:44
File Name; D:\Mahlo\TR\171010114344FP 4583_432 GSM0_FMI2.txt

3760.4; 11:43:55; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 411.603957; 412.022501; 411.792070; 410.657376; 409.402847; 408.294946; 407.454073; 406.293988; 405.217886; 403.602272; 401.318073; 398.726523; 396.566212; 395.695269; 394.647092; 393.314093; 393.135458; 393.442392; 394.413412; 396.121711; 397.847772; 398.784816; 399.237901; 399.531692; 401.752979; 403.975040; 406.202942; 407.835692; 408.692777; 409.119964; 408.276111; 406.630903; 406.080961; 405.643970; 404.602557; 402.758777; 400.756419; 399.653137; 398.938090; 397.815645; 397.721410; 397.314966; 396.551520; 395.692497; 395.253837; 395.043761; 395.707875; 396.201104; 396.001905; 395.952672; 396.705657; 398.254573; 399.113923; 399.978757; 399.621755; 398.849934; 399.089336; 399.475902; 399.800748; 400.447279; 400.273949; 399.059594; 397.290051; 395.801693; 394.517422; 393.236428; 391.824961; 391.410738; 391.612023; 392.249435; 393.216044; 394.522876; 396.270186; 397.544295; 398.865670; 400.745541; 402.218252; 403.717279; 405.585408; 407.257944; 409.778148; 413.168281; 415.953994; 417.741388; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3763.1; 11:44:03; (); (); (); (); (); (); (); (); (); (); (); (); (); 389.933497; 391.072333; 389.012337; 387.406737; 388.223559; 389.451057; 390.484273; 390.806347; 391.093463; 390.687257; 390.407920; 390.407324; 390.220910; 389.336258; 388.055831; 385.379791; 382.067710; 380.899489; 379.799753; 376.966983; 373.755127; 371.119648; 369.617134; 368.402660; 367.443442; 365.434945; 362.604827; 360.837549; 360.433102; 361.113310; 362.828821; 365.044624; 367.686510; 369.493783; 371.107996; 373.055071; 373.385072; 373.731703; 375.699610; 377.307504; 379.476428; 382.752180; 385.173857; 385.808975; 385.525465; 385.996580; 386.307240; 385.962307; 385.349184; 384.791285; 384.171367; 384.143054; 383.660197; 382.088542; 380.742848; 380.353361; 380.751550; 382.138312; 384.054840; 385.798335; 387.092352; 388.292760; 389.493436; 391.501248; 393.758923; 395.657480; 398.857594; 402.319163; 404.980659; 407.449782; 409.759998; 410.343170; 410.498977; 411.113888; 411.595911; 413.418293; 415.464371; 416.969210; 418.510139; 418.705642; 418.729156; 418.310583; 418.328077; 419.083208; 419.991523; 421.406478; 422.517568; 422.846913; 423.271030; 423.436970; 423.095882; 422.509909; 422.014803; 421.748847; 423.274249; 424.823940; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3765.1; 11:44:11; (); (); (); (); (); (); (); (); (); (); (); (); (); 390.650272; 390.004605; 388.990432; 388.279468; 388.048619; 388.173997; 388.758898; 388.556808; 390.643835; 391.789973; 390.808880; 389.459014; 388.072610; 387.740403; 388.572603; 389.965624; 391.147196; 392.267644; 393.214524; 392.618537; 390.932411; 390.335113; 391.757041; 393.852323; 396.350265; 397.361010; 398.217261; 399.291515; 399.412751; 399.361223; 399.878412; 400.581330; 401.908785; 402.690530; 403.708994; 404.467255; 404.204667; 404.325753; 403.238416; 402.228981; 402.580380; 403.173000; 404.339999; 406.079978; 407.493055; 408.237755; 408.824444; 408.152372; 407.136798; 407.010168; 408.700705; 409.661412; 408.782989; 407.776207; 406.229764; 404.919386; 403.697163; 402.359992; 400.804371; 399.935216; 399.240077; 399.129689; 399.688840; 401.346356; 403.269708; 403.344840; 403.581858; 404.399604; 405.812144; 406.995445; 408.298910; 410.400748; 410.870671; 411.023945; 410.973400; 410.985589; 411.213547; 411.858797; 412.462980; 412.700534; 413.397759; 414.172918; 414.122194; 413.850963; 414.136857; 413.505703; 413.152307; 413.982451; 413.971901; 413.507819; 412.426233; 411.193073; 411.352873; 412.154824; 413.171530; 414.283663; 415.711075; 417.594194; 419.938803; 421.988755; 424.112111; 425.286233; 425.623536; 426.834553; 428.984165; 432.163149; 435.372353; 437.097430; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3767.2; 11:44:19; (); (); (); (); (); (); (); (); (); (); (); (); (); 387.820840; 389.593542; 389.826715; 388.875037; 389.649302; 391.117096; 390.943319; 390.536278; 390.678108; 391.216695; 392.627925; 392.800301; 391.996324; 389.840126; 387.001216; 384.278238; 382.969558; 381.745219; 380.976528; 379.269540; 378.635734; 379.450202; 380.651355; 381.307870; 381.610960; 380.395591; 379.436702; 379.480243; 380.475342; 382.606864; 384.402096; 385.310978; 386.510164; 387.652934; 388.724118; 389.636040; 389.980316; 390.873492; 392.644972; 394.051224; 395.844668; 398.406565; 401.873499; 405.590892; 407.437980; 408.588856; 410.870612; 412.500411; 413.895011; 415.113032; 415.135533; 414.360076; 413.242996; 411.607146; 410.223782; 409.028620; 408.490956; 408.250213; 407.941908; 407.897890; 407.689422; 407.367110; 407.941639; 408.129513; 408.262402; 409.129471; 409.579486; 409.574419; 410.441965; 410.982668; 410.634369; 409.687191; 408.428848; 408.660263; 409.577549; 410.517633; 410.770625; 409.931839; 408.070683; 406.583339; 406.053782; 405.514002; 405.090988; 404.777974; 405.551970; 407.333642; 408.727527; 408.953995; 408.050746; 406.902343; 405.992508; 404.801339; 404.492825; 404.978842; 406.612813; 408.475935; 410.537392; 412.156940; 413.245589; 413.621485; 413.829356; 413.773447; 414.128989; 414.024115; 414.077908; 414.710075; 416.892201; 419.430286; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3769.2; 11:44:28; (); (); (); (); (); (); (); (); (); (); (); (); (); 409.782261; 409.922928; 410.597086; 411.327720; 411.708146; 413.129061; 413.667977; 414.620310; 415.500104; 414.369404; 412.063450; 410.537392; 409.742266; 409.143031; 408.826470; 408.496857; 407.496601; 406.946391; 407.471448; 406.809509; 404.456705; 402.035773; 397.959948; 395.917684; 396.716684; 397.746474; 398.592025; 400.093555; 402.027875; 403.775513; 404.956788; 405.967325; 406.556010; 406.348914; 406.359762; 406.518012; 406.452864; 408.186018; 408.768594; 407.649130; 405.964613; 404.781491; 402.844191; 401.109278; 400.174171; 399.309605; 398.567021; 397.284865; 395.541012; 393.859088; 393.809170; 394.237608; 393.104047; 391.758919; 391.552478; 393.004596; 395.469576; 397.921056; 399.076194; 399.506032; 398.910731; 397.633404; 397.837400; 399.466157; 400.600225; 401.272148; 402.045757; 403.539687; 404.630274; 405.424088; 404.436350; 402.344644; 401.494592; 401.594400; 402.699411; 404.631972; 406.344265; 405.974954; 406.067461; 407.202423; 408.288628; 409.403443; 410.242260; 411.202729; 412.255794; 413.975835; 415.268570; 415.666997; 415.017307; 414.512902; 414.448261; 414.530128; 415.775895; 417.453140; 418.853164; 419.978023; 420.603782; 421.277970; 422.554165; 423.856437; 425.227433; 425.716013; 426.369131; 427.382171; 428.301632; 429.501414; 431.310654; 431.693643; 431.170672; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3771.2; 11:44:36; (); (); (); (); (); (); (); (); (); (); (); (); (); 378.219098; 381.585270; 385.808051; 388.672799; 390.026271; 391.277760; 393.140584; 397.693932; 402.157873; 405.955881; 408.501148; 410.078347; 410.981476; 411.079019; 411.093265; 411.172181; 410.852313; 409.720808; 408.341944; 406.723857; 405.762553; 405.200273; 403.639346; 402.215898; 401.780874; 400.786102; 400.012642; 400.190741; 400.951296; 401.844203; 401.246578; 400.512457; 400.554121; 401.901126; 403.573990; 403.953433; 403.306723; 403.383821; 404.211134; 404.818833; 405.600160; 406.120926; 406.287700; 405.901045; 405.458748; 405.305803; 404.829085; 404.096782; 403.323293; 402.545363; 400.877357; 398.828506; 395.841688; 392.977029; 391.437232; 390.657723; 389.797866; 389.248133; 389.488041; 390.279353; 391.802758; 392.783880; 393.197656; 392.938107; 393.593043; 396.107614; 398.670554; 401.447356; 404.041648; 405.242652; 405.752629; 405.719459; 404.445022; 403.375566; 402.657121; 402.727157; 404.563665; 406.061590; 406.311512; 405.859411; 406.093478; 406.978488; 407.653213; 407.060802; 406.694114; 406.878114; 408.348143; 410.127908; 410.638988; 409.788966; 408.939570; 407.859087; 407.214075; 408.315569; 410.250485; 411.828518; 412.581980; 413.020492; 413.521022; 415.097952; 416.283518; 416.538954; 416.965723; 418.414593; 420.560926; 421.981692; 423.747092; 425.380468; 425.906956; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3773.2; 11:44:44; (); (); (); (); (); (); (); (); (); (); (); (); (); 394.777894; 394.303471; 393.710345; 393.004835; 392.740697; 392.900318; 392.841280; 391.037166; 389.062464; 387.605280; 384.273022; 381.543756; 381.180912; 381.519318; 382.128209; 381.757706; 380.633384; 380.159318; 379.564404; 378.141552; 375.788182; 373.902291; 374.552399; 377.074063; 379.236519; 380.790353; 381.490856; 381.209761; 379.968256; 378.613740; 378.294736; 379.679650; 380.459815; 381.387711; 383.604795; 386.854082; 390.065193; 392.877758; 393.857300; 394.302696; 393.887937; 393.483669; 394.424319; 396.220326; 397.011459; 397.013515; 396.007657; 395.305932; 394.316316; 391.863137; 389.362961; 386.654377; 384.336948; 382.925868; 382.973820; 384.104371; 384.945929; 384.808749; 384.840041; 386.265010; 387.905449; 389.431298; 391.164243; 393.021673; 395.770013; 397.967041; 400.044024; 401.143879; 400.839239; 400.137722; 399.695069; 400.139660; 402.253091; 404.282153; 404.981047; 404.902607; 404.100776; 401.907265; 401.181638; 401.465297; 402.354538; 403.370976; 404.621094; 405.743808; 406.461567; 406.799495; 406.654119; 405.439943; 403.713763; 402.515292; 402.518898; 402.420044; 403.451800; 404.832125; 404.703498; 403.981030; 402.958333; 403.214872; 403.970659; 405.181050; 406.857848; 407.942444; 408.483297; 409.306228; 410.111219; 411.015868; 413.149923; 415.326923; 415.940672; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3775.3; 11:44:52; (); (); (); (); (); (); (); (); (); (); (); (); (); 395.917058; 398.025930; 399.013013; 398.612678; 398.334295; 398.853213; 399.728745; 401.093751; 403.751612; 406.556040; 407.057256; 406.245261; 405.416578; 405.783117; 406.544417; 407.398164; 407.567859; 406.553924; 404.790580; 402.294934; 400.342107; 398.772418; 397.477806; 395.663887; 393.484443; 391.747892; 390.736490; 389.762372; 388.243645; 386.557609; 384.744614; 383.528471; 384.183437; 385.362267; 386.490196; 385.658115; 384.837836; 384.994864; 386.338264; 387.081981; 386.899561; 386.682004; 386.259675; 385.843962; 385.285735; 384.888858; 384.610027; 384.382129; 384.570092; 385.913759; 387.833327; 388.081372; 385.467201; 383.060396; 381.889611; 382.460445; 383.047670; 383.325458; 384.192407; 386.212736; 387.933016; 388.776213; 390.202790; 391.088575; 390.733272; 391.391218; 394.354999; 399.068922; 403.207630; 405.225098; 405.586213; 406.512707; 407.408804; 407.347113; 407.254249; 407.660902; 407.713473; 407.473385; 407.104552; 404.742092; 401.636034; 399.884820; 399.373353; 399.533123; 399.328232; 398.822397; 396.711320; 395.055532; 394.433111; 394.415051; 394.952357; 395.478308; 396.002740; 398.611963; 403.268456; 407.348603; 408.953130; 409.379631; 410.161525; 411.774755; 413.725168; 416.082710; 418.860972; 420.357645; 420.715243; 420.609385; 421.523064; 422.371656; 422.474951; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3777.3; 11:45:00; (); (); (); (); (); (); (); (); (); (); (); (); (); 409.233361; 407.071620; 404.683232; 403.767347; 404.157698; 404.736906; 404.844165; 404.869378; 405.271858; 406.643063; 408.010602; 409.001619; 410.081863; 410.427511; 410.479516; 410.846800; 412.287891; 414.952308; 417.079300; 417.990446; 418.497235; 418.757051; 419.042647; 419.156313; 418.624938; 417.007178; 414.578766; 412.286341; 411.078095; 410.425663; 410.223961; 410.192072; 409.567446; 408.645868; 407.041520; 405.089974; 403.758317; 402.414411; 400.875181; 399.746716; 400.270790; 401.677072; 402.457744; 402.262777; 401.062638; 399.314046; 397.838026; 397.004575; 396.319747; 395.152092; 393.915713; 392.795295; 392.813921; 393.312007; 393.390208; 391.679853; 389.261007; 387.784034; 387.078404; 386.964440; 387.469858; 387.613416; 386.985630; 386.275947; 386.458129; 387.995750; 390.250206; 391.447961; 391.854256; 392.663896; 393.878609; 395.418525; 396.711916; 397.383481; 398.167133; 398.513049; 398.224294; 398.304939; 399.236798; 400.541812; 401.308805; 401.252568; 401.196212; 401.214600; 401.134908; 401.842147; 401.685685; 400.941551; 400.470614; 399.897575; 399.880826; 401.039362; 402.944654; 405.008763; 406.894743; 408.627182; 411.070496; 413.127661; 415.052742; 416.808099; 418.059021; 419.983327; 422.154397; 424.086511; 426.258415; 428.566396; 430.739492; 431.921661; 422.474951; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3779.3; 11:45:08; (); (); (); (); (); (); (); (); (); (); (); (); (); 388.742864; 387.227178; 386.589557; 386.469007; 386.773139; 386.532366; 386.415631; 387.264669; 389.529377; 389.802754; 388.782173; 387.303442; 386.050016; 385.922641; 387.088418; 387.768984; 388.563782; 389.057100; 387.877077; 385.864794; 385.576665; 386.271268; 386.188149; 385.010928; 384.977371; 384.213716; 383.737773; 383.865684; 384.495020; 384.762019; 384.052724; 383.040577; 382.800013; 383.846998; 385.463148; 386.525154; 387.157112; 388.176620; 389.861763; 391.004890; 392.367363; 392.319471; 391.513437; 391.279697; 392.310888; 395.352125; 398.243397; 400.147110; 402.176410; 403.370380; 402.626395; 400.692344; 399.254441; 399.012744; 399.400324; 400.290072; 401.613414; 403.581202; 405.244887; 406.620800; 406.586617; 406.583488; 406.415820; 406.213135; 406.910121; 408.578843; 410.541028; 412.711471; 413.794130; 414.458692; 415.590674; 416.262776; 416.058302; 415.396512; 415.447295; 416.535109; 417.256325; 417.823046; 417.757571; 417.378813; 418.357223; 418.906450; 418.695867; 418.973297; 419.816941; 420.085162; 420.221269; 420.700341; 420.816183; 419.126064; 417.235553; 416.314363; 415.643662; 415.137768; 414.787054; 414.633960; 414.887667; 415.077746; 415.428549; 415.818363; 417.115301; 417.512685; 417.005748; 416.700751; 417.883873; 419.095367; 420.306116; 422.447920; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3781.3; 11:45:16; (); (); (); (); (); (); (); (); (); (); (); (); (); 408.362329; 409.172446; 409.711003; 410.307616; 410.923272; 411.794513; 412.281990; 410.794616; 408.672720; 407.763541; 407.294005; 406.669855; 405.758560; 405.098438; 405.307651; 405.120492; 404.017419; 402.618349; 401.443571; 400.984675; 400.310218; 399.965048; 401.842296; 404.955000; 406.626910; 407.694727; 408.634782; 409.326822; 409.412175; 410.015225; 411.045849; 411.728114; 412.909210; 413.445503; 413.065732; 412.625760; 411.823034; 409.485906; 406.967312; 404.079407; 402.187258; 401.418746; 400.542319; 399.939269; 398.703337; 396.682322; 394.356400; 392.838955; 392.088950; 390.812635; 388.226569; 387.374222; 388.402671; 389.607638; 389.897376; 387.481064; 384.134084; 381.703943; 379.440069; 377.393365; 377.449065; 378.656864; 379.143804; 378.188461; 378.587335; 380.298227; 381.166607; 381.407708; 381.292939; 383.672744; 387.373000; 389.534414; 390.325904; 391.408503; 392.505348; 392.656595; 391.146809; 389.368862; 388.798535; 388.368011; 388.136238; 387.692988; 387.764812; 388.229549; 387.889773; 386.999309; 387.167335; 386.870682; 386.278152; 386.020094; 387.043715; 388.918549; 391.727358; 394.320816; 396.347940; 398.150682; 400.049955; 401.921481; 403.949380; 406.043082; 407.974333; 409.343779; 411.585659; 414.010853; 416.124105; 417.361170; 419.261426; 421.083510; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
