Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 12:13:05
File Name; D:\Mahlo\TR\171010121305FP 4583_432 GSM0_XMF2.txt

4202.4; 12:13:16; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.394064; 1.388439; 1.314655; 1.235926; 1.161756; 1.100179; 1.048447; 1.009790; 0.974287; 0.910635; 0.844740; 0.785192; 0.715415; 0.645360; 0.575587; 0.514572; 0.467977; 0.461363; 0.459794; 0.458124; 0.456300; 0.454529; 0.453102; 0.452096; 0.451262; 0.449934; 0.448488; 0.447883; 0.447494; 0.446914; 0.446396; 0.446358; 0.446850; 0.447987; 0.449462; 0.451004; 0.452617; 0.453553; 0.453602; 0.454028; 0.455361; 0.457047; 0.458005; 0.458367; 0.458406; 0.458703; 0.459549; 0.460599; 0.461029; 0.461450; 0.462339; 0.463295; 0.464092; 0.464761; 0.465626; 0.466370; 0.466639; 0.466436; 0.466360; 0.466767; 0.467467; 0.467951; 0.468476; 0.469486; 0.470324; 0.470181; 0.469728; 0.469728; 0.470360; 0.471104; 0.471650; 0.472199; 0.472960; 0.473941; 0.474435; 0.474290; 0.474075; 0.474025; 0.474017; 0.473789; 0.473798; 0.474293; 0.474598; 0.474364; 0.473772; 0.473631; 0.473956; 0.474381; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4205.1; 12:13:25; (); (); (); (); (); (); (); (); (); (); 0.450218; 0.452296; 0.454352; 0.455379; 0.455806; 0.456165; 0.456312; 0.457377; 0.460007; 0.461294; 0.461995; 0.463280; 0.465054; 0.466722; 0.468039; 0.469724; 0.471342; 0.472513; 0.473759; 0.475405; 0.477409; 0.479532; 0.481159; 0.482353; 0.482882; 0.482896; 0.482125; 0.480656; 0.478749; 0.475841; 0.473073; 0.470659; 0.468358; 0.466434; 0.464821; 0.463149; 0.461692; 0.461287; 0.461035; 0.460456; 0.459672; 0.459102; 0.458809; 0.458761; 0.458883; 0.459199; 0.459939; 0.461322; 0.462420; 0.463031; 0.462886; 0.461621; 0.459211; 0.457478; 0.456322; 0.455098; 0.453914; 0.453191; 0.453048; 0.453697; 0.454435; 0.454361; 0.453107; 0.451739; 0.451160; 0.451542; 0.453394; 0.455945; 0.457561; 0.458949; 0.460217; 0.461293; 0.462162; 0.463061; 0.464036; 0.464552; 0.465315; 0.467141; 0.468943; 0.469691; 0.469540; 0.469334; 0.469245; 0.469713; 0.471152; 0.473532; 0.476161; 0.478348; 0.479814; 0.480234; 0.480336; 0.480322; 0.480141; 0.480412; 0.481125; 0.482216; 0.483150; 0.484135; 0.484964; 0.484695; 0.484137; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4207.2; 12:13:33; (); (); (); (); (); (); (); (); (); (); 0.447760; 0.449358; 0.449388; 0.449567; 0.449234; 0.449059; 0.448954; 0.449284; 0.452334; 0.457104; 0.459139; 0.459545; 0.460495; 0.460414; 0.460364; 0.460132; 0.459983; 0.460735; 0.461137; 0.461551; 0.462157; 0.463316; 0.464469; 0.465037; 0.465064; 0.464708; 0.464624; 0.464440; 0.464298; 0.464142; 0.464006; 0.463994; 0.463957; 0.463970; 0.463999; 0.463858; 0.463363; 0.462168; 0.460383; 0.458896; 0.457477; 0.455808; 0.454291; 0.453192; 0.452617; 0.452642; 0.452754; 0.452868; 0.453190; 0.453583; 0.453932; 0.453740; 0.453144; 0.452526; 0.452059; 0.452100; 0.452826; 0.453997; 0.454816; 0.455226; 0.455317; 0.455644; 0.456175; 0.456836; 0.452958; 0.444523; 0.438788; 0.432981; 0.426810; 0.421206; 0.414882; 0.408197; 0.401401; 0.393928; 0.386332; 0.379479; 0.372276; 0.363785; 0.355323; 0.352612; 0.353155; 0.353691; 0.354250; 0.354680; 0.355099; 0.356042; 0.356489; 0.356006; 0.354434; 0.353286; 0.352975; 0.353533; 0.354373; 0.354934; 0.355360; 0.356077; 0.356815; 0.357331; 0.357887; 0.358576; 0.359236; 0.360208; 0.361865; 0.364295; 0.366018; 0.365359; 0.363183; 0.362958; 0.363070; 0.363313; 0.363286; 0.362845; 0.362181; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4209.3; 12:13:41; (); (); (); (); (); (); (); (); (); (); 0.302855; 0.306134; 0.311191; 0.314882; 0.317395; 0.319041; 0.319921; 0.321744; 0.326896; 0.330715; 0.333132; 0.334628; 0.335816; 0.336497; 0.336976; 0.336928; 0.336634; 0.336082; 0.335741; 0.335926; 0.336574; 0.337339; 0.338188; 0.339087; 0.339867; 0.340424; 0.340332; 0.339877; 0.338896; 0.337514; 0.335739; 0.333932; 0.332175; 0.330364; 0.329007; 0.327612; 0.325905; 0.324446; 0.322623; 0.320394; 0.318551; 0.317585; 0.317720; 0.318670; 0.320273; 0.322344; 0.324863; 0.326867; 0.327592; 0.327576; 0.327493; 0.327762; 0.328367; 0.329004; 0.329667; 0.330807; 0.331635; 0.331801; 0.331437; 0.330836; 0.330432; 0.330173; 0.330546; 0.331559; 0.333099; 0.334808; 0.336069; 0.336766; 0.337357; 0.337924; 0.338298; 0.338406; 0.338289; 0.338259; 0.338560; 0.338945; 0.339028; 0.338943; 0.338592; 0.338378; 0.338570; 0.338988; 0.339413; 0.339558; 0.339846; 0.340210; 0.341362; 0.343122; 0.344563; 0.345000; 0.344239; 0.344061; 0.344057; 0.344030; 0.343695; 0.342711; 0.341833; 0.341149; 0.341390; 0.341564; 0.341746; 0.341881; 0.341851; 0.342556; 0.341746; 0.340311; 0.340412; 0.340357; 0.340420; 0.340557; 0.341302; 0.342030; 0.343206; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4211.4; 12:13:49; (); (); (); (); (); (); (); (); (); (); 0.302855; 0.328236; 0.330096; 0.331184; 0.331904; 0.332641; 0.333397; 0.334137; 0.336008; 0.340079; 0.342183; 0.342105; 0.342510; 0.342416; 0.342501; 0.341577; 0.340190; 0.338693; 0.337761; 0.337436; 0.337372; 0.337078; 0.336534; 0.335588; 0.334917; 0.333508; 0.332392; 0.331356; 0.330822; 0.330143; 0.329943; 0.330421; 0.331510; 0.332566; 0.333592; 0.334047; 0.334782; 0.335900; 0.337167; 0.338483; 0.339797; 0.340785; 0.341513; 0.341902; 0.341988; 0.341718; 0.341289; 0.340715; 0.340185; 0.339883; 0.339829; 0.339770; 0.339590; 0.339390; 0.339179; 0.339081; 0.339209; 0.340138; 0.341776; 0.343253; 0.344560; 0.345523; 0.345674; 0.344841; 0.343470; 0.341841; 0.340083; 0.339320; 0.338996; 0.338956; 0.339031; 0.338711; 0.337470; 0.335638; 0.334583; 0.334384; 0.335167; 0.336953; 0.339277; 0.342262; 0.344983; 0.347177; 0.348613; 0.349526; 0.350588; 0.351693; 0.353210; 0.354998; 0.356632; 0.358118; 0.359102; 0.359898; 0.360514; 0.361397; 0.362625; 0.364277; 0.366880; 0.369622; 0.372735; 0.376376; 0.379678; 0.382771; 0.385582; 0.387119; 0.387167; 0.385548; 0.385178; 0.386143; 0.386840; 0.387153; 0.386884; 0.385389; 0.383245; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4213.4; 12:13:58; (); (); (); (); (); (); (); (); (); (); 0.302855; 0.327718; 0.330437; 0.332023; 0.332721; 0.332916; 0.333236; 0.334297; 0.338053; 0.340631; 0.341638; 0.342271; 0.342982; 0.343238; 0.343101; 0.343076; 0.343161; 0.342954; 0.342462; 0.342193; 0.342240; 0.342215; 0.341973; 0.341873; 0.342010; 0.342226; 0.342332; 0.341931; 0.341288; 0.340720; 0.340023; 0.339382; 0.339243; 0.339422; 0.339584; 0.339941; 0.340460; 0.340860; 0.341292; 0.341631; 0.341761; 0.341530; 0.341499; 0.341508; 0.341398; 0.341552; 0.341764; 0.341559; 0.341243; 0.341183; 0.340939; 0.340210; 0.339514; 0.339044; 0.338384; 0.337859; 0.337567; 0.337135; 0.336503; 0.336071; 0.335622; 0.335207; 0.335109; 0.335173; 0.335216; 0.335450; 0.335998; 0.336448; 0.336712; 0.337282; 0.337792; 0.338034; 0.338106; 0.338393; 0.339011; 0.340172; 0.341181; 0.342239; 0.343457; 0.344414; 0.344784; 0.344630; 0.344613; 0.344726; 0.345120; 0.345673; 0.346355; 0.347718; 0.348942; 0.349092; 0.347891; 0.346625; 0.345441; 0.344511; 0.343915; 0.343290; 0.343437; 0.343460; 0.344392; 0.345296; 0.345880; 0.346021; 0.345110; 0.345298; 0.344035; 0.343529; 0.344346; 0.344840; 0.345361; 0.345590; 0.346421; 0.346844; 0.347580; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4215.5; 12:14:06; (); (); (); (); (); (); (); (); (); (); (); 0.329545; 0.330750; 0.331246; 0.332000; 0.332725; 0.333254; 0.334079; 0.335906; 0.340137; 0.341278; 0.340324; 0.339835; 0.338542; 0.337521; 0.336109; 0.335013; 0.334747; 0.334590; 0.334431; 0.333815; 0.333190; 0.332370; 0.331423; 0.330645; 0.330776; 0.331613; 0.332418; 0.333065; 0.333533; 0.333933; 0.334192; 0.334252; 0.334051; 0.333919; 0.334346; 0.334987; 0.335972; 0.336745; 0.337004; 0.336759; 0.336577; 0.336398; 0.336404; 0.336298; 0.336201; 0.336072; 0.335573; 0.334808; 0.333940; 0.332994; 0.331782; 0.330286; 0.329009; 0.327786; 0.327172; 0.326872; 0.326781; 0.326938; 0.327407; 0.327799; 0.328188; 0.329042; 0.330340; 0.331537; 0.332335; 0.332795; 0.333784; 0.335102; 0.336530; 0.337550; 0.337973; 0.338506; 0.339495; 0.340282; 0.340848; 0.341554; 0.342905; 0.344389; 0.345677; 0.346725; 0.347669; 0.348267; 0.348913; 0.350266; 0.352434; 0.354310; 0.355217; 0.355533; 0.355912; 0.356740; 0.357684; 0.358514; 0.359179; 0.360805; 0.363600; 0.366827; 0.371023; 0.375066; 0.380590; 0.387597; 0.394446; 0.404462; 0.418162; 0.430570; 0.439902; 0.444690; 0.450356; 0.456819; 0.463542; 0.470940; 0.479052; 0.489039; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4217.6; 12:14:14; (); (); (); (); (); (); (); (); (); (); (); 0.308904; 0.312286; 0.314474; 0.315718; 0.315979; 0.316091; 0.316646; 0.319494; 0.322267; 0.323822; 0.324843; 0.326239; 0.327984; 0.329397; 0.329723; 0.329474; 0.329058; 0.329028; 0.329399; 0.330493; 0.331371; 0.331568; 0.331450; 0.331001; 0.329894; 0.329108; 0.328654; 0.328209; 0.327489; 0.326579; 0.325994; 0.325785; 0.325813; 0.325969; 0.325799; 0.325401; 0.325259; 0.325173; 0.324978; 0.325097; 0.325372; 0.325670; 0.325749; 0.325555; 0.325453; 0.325636; 0.325841; 0.325208; 0.323922; 0.323465; 0.323690; 0.323831; 0.323807; 0.323633; 0.323062; 0.322049; 0.321514; 0.321239; 0.321551; 0.322068; 0.322325; 0.322315; 0.322559; 0.323014; 0.323305; 0.323590; 0.323624; 0.323341; 0.323342; 0.323673; 0.324251; 0.324603; 0.325210; 0.326150; 0.327513; 0.328544; 0.329832; 0.331232; 0.332287; 0.332779; 0.333185; 0.334233; 0.336567; 0.338921; 0.341031; 0.342678; 0.343690; 0.344194; 0.344232; 0.343683; 0.343297; 0.343099; 0.344183; 0.346939; 0.351421; 0.355480; 0.360450; 0.365503; 0.370000; 0.373972; 0.376962; 0.379446; 0.381563; 0.381748; 0.380889; 0.383845; 0.386800; 0.388387; 0.389385; 0.388547; 0.385437; 0.381196; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4219.7; 12:14:23; (); (); (); (); (); (); (); (); (); (); (); 0.302669; 0.303105; 0.302772; 0.302025; 0.301009; 0.300438; 0.300241; 0.300516; 0.303535; 0.304943; 0.305295; 0.305317; 0.305031; 0.305245; 0.305862; 0.307386; 0.308635; 0.310541; 0.312844; 0.315138; 0.317472; 0.319063; 0.320059; 0.320437; 0.320559; 0.320189; 0.319592; 0.319717; 0.320119; 0.320763; 0.321196; 0.321778; 0.322710; 0.323881; 0.324860; 0.325477; 0.326350; 0.327677; 0.329506; 0.331444; 0.332706; 0.333982; 0.334871; 0.335082; 0.334725; 0.334191; 0.333574; 0.332705; 0.331476; 0.330321; 0.329521; 0.328853; 0.328122; 0.327678; 0.327722; 0.328422; 0.329034; 0.329565; 0.330304; 0.330764; 0.331071; 0.331051; 0.330980; 0.331417; 0.331966; 0.332666; 0.333372; 0.333351; 0.332986; 0.332695; 0.332672; 0.332840; 0.333044; 0.333841; 0.334886; 0.336346; 0.338209; 0.339657; 0.341023; 0.342669; 0.344447; 0.346334; 0.348158; 0.349865; 0.351581; 0.353141; 0.354361; 0.355404; 0.356663; 0.358737; 0.361121; 0.364122; 0.367896; 0.371046; 0.373961; 0.377122; 0.379759; 0.382505; 0.384750; 0.386047; 0.386957; 0.387452; 0.387692; 0.387108; 0.384953; 0.382053; 0.380556; 0.378856; 0.376686; 0.373694; 0.370081; 0.366027; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4221.8; 12:14:31; (); (); (); (); (); (); (); (); (); (); (); 0.968493; 0.974306; 0.979012; 0.981726; 0.983583; 0.985394; 0.987728; 0.998173; 1.007124; 1.010570; 1.011644; 1.011865; 1.012089; 1.012601; 1.012512; 1.012067; 1.011023; 1.010313; 1.011169; 1.013226; 1.014549; 1.013930; 1.011226; 1.007910; 1.005716; 1.004013; 1.001701; 0.999546; 0.997573; 0.996420; 0.995051; 0.992697; 0.990144; 0.987566; 0.985395; 0.983517; 0.982105; 0.982206; 0.982742; 0.984068; 0.985249; 0.987265; 0.989579; 0.993275; 0.996739; 0.998920; 0.999524; 0.999214; 0.998486; 0.997841; 0.996687; 0.996100; 0.996532; 0.997685; 0.996806; 0.996934; 0.998283; 1.000617; 1.002544; 1.003856; 0.990212; 0.946336; 0.906087; 0.859150; 0.810999; 0.769945; 0.729164; 0.687613; 0.645347; 0.597894; 0.555670; 0.512195; 0.460922; 0.409227; 0.365417; 0.342071; 0.343921; 0.345452; 0.346939; 0.348689; 0.350003; 0.350971; 0.351708; 0.352185; 0.352165; 0.352094; 0.351519; 0.350780; 0.350789; 0.351522; 0.351949; 0.351394; 0.351346; 0.351978; 0.353771; 0.356421; 0.360246; 0.365184; 0.371751; 0.378753; 0.383954; 0.389732; 0.395868; 0.398714; 0.398088; 0.400088; 0.404190; 0.407777; 0.411362; 0.414231; 0.415613; 0.415694; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4223.8; 12:14:39; (); (); (); (); (); (); (); (); (); (); (); 0.970034; 0.972668; 0.972462; 0.970159; 0.968244; 0.965730; 0.963719; 0.963065; 0.969913; 0.972256; 0.970150; 0.969656; 0.969041; 0.969770; 0.965899; 0.961579; 0.959008; 0.960135; 0.964165; 0.969159; 0.974710; 0.979923; 0.985657; 0.989395; 0.992605; 0.994298; 0.994162; 0.994929; 0.996440; 1.000706; 1.005719; 1.010149; 1.012817; 1.014840; 1.017128; 1.018616; 1.018265; 1.017457; 1.016883; 1.017589; 1.018685; 1.018325; 1.015006; 1.009573; 1.004435; 1.001983; 0.999996; 0.998051; 0.995525; 0.991541; 0.986627; 0.981963; 0.977070; 0.973607; 0.971303; 0.969943; 0.969540; 0.971656; 0.974965; 0.977156; 0.976642; 0.975551; 0.974204; 0.973003; 0.972673; 0.973575; 0.975278; 0.978071; 0.980493; 0.981461; 0.981405; 0.982042; 0.983234; 0.985339; 0.987950; 0.992321; 0.997112; 1.002036; 1.007457; 1.011453; 1.014501; 1.016753; 1.018253; 1.019136; 1.020418; 1.023136; 1.026946; 1.032483; 1.037952; 1.042787; 1.046972; 1.049069; 1.050052; 1.050190; 1.050901; 1.053629; 1.057725; 1.063569; 1.074042; 1.087880; 1.106303; 1.127465; 1.141770; 1.150572; 1.151361; 1.151030; 1.155952; 1.163389; 1.171861; 1.183994; 1.202502; 1.220201; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
