Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 12:13:05
File Name; D:\Mahlo\TR\171010121305FP 4583_432 GSM0_THICKNESS2.txt

4202.4; 12:13:16; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.805390; 0.804138; 0.801400; 0.799127; 0.795792; 0.789571; 0.785001; 0.784138; 0.784190; 0.781573; 0.774557; 0.770034; 0.765533; 0.764136; 0.765410; 0.767610; 0.771177; 0.775644; 0.778681; 0.777095; 0.777494; 0.782662; 0.789605; 0.797191; 0.803559; 0.807918; 0.810071; 0.813268; 0.815830; 0.814582; 0.811690; 0.808651; 0.806032; 0.806449; 0.812610; 0.817277; 0.817594; 0.814577; 0.809028; 0.803311; 0.801417; 0.800849; 0.802639; 0.804675; 0.805426; 0.804928; 0.807393; 0.812620; 0.817078; 0.817673; 0.817823; 0.818081; 0.817861; 0.819447; 0.823428; 0.823753; 0.827679; 0.825110; 0.822611; 0.823452; 0.824728; 0.822841; 0.818944; 0.815394; 0.813598; 0.818568; 0.822091; 0.825545; 0.828483; 0.831057; 0.834769; 0.836443; 0.840769; 0.847732; 0.853712; 0.858394; 0.861301; 0.866433; 0.870530; 0.874112; 0.875327; 0.874116; 0.873806; 0.873788; 0.875418; 0.878147; 0.879296; 0.882580; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4205.1; 12:13:25; (); (); (); (); (); (); (); (); (); (); 0.804796; 0.807099; 0.810064; 0.815703; 0.817004; 0.816523; 0.813367; 0.810182; 0.808601; 0.809774; 0.814215; 0.818729; 0.820877; 0.820346; 0.817801; 0.815739; 0.815653; 0.815042; 0.810968; 0.810432; 0.809677; 0.812444; 0.816118; 0.818503; 0.822407; 0.824159; 0.825482; 0.825044; 0.823204; 0.822798; 0.821083; 0.819212; 0.817413; 0.815281; 0.815913; 0.818861; 0.818089; 0.816721; 0.815826; 0.813446; 0.813655; 0.813715; 0.817411; 0.822841; 0.824408; 0.827016; 0.829161; 0.832573; 0.838350; 0.840156; 0.840337; 0.842277; 0.841273; 0.838713; 0.837580; 0.834493; 0.833588; 0.831900; 0.829458; 0.830531; 0.833303; 0.835455; 0.837485; 0.838539; 0.838284; 0.838322; 0.837518; 0.839691; 0.841427; 0.839985; 0.841101; 0.843043; 0.844657; 0.844482; 0.838979; 0.835535; 0.833838; 0.830754; 0.827143; 0.827265; 0.830059; 0.833447; 0.835701; 0.838417; 0.842854; 0.843528; 0.843821; 0.843147; 0.843968; 0.848633; 0.850017; 0.849608; 0.850256; 0.851776; 0.851424; 0.849588; 0.848177; 0.847707; 0.846678; 0.846045; 0.847721; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4207.2; 12:13:33; (); (); (); (); (); (); (); (); (); (); 0.836371; 0.836994; 0.835279; 0.828655; 0.823408; 0.818246; 0.813044; 0.808985; 0.806665; 0.802261; 0.800333; 0.799095; 0.798907; 0.797056; 0.792227; 0.786721; 0.784862; 0.785350; 0.788398; 0.791081; 0.796458; 0.803437; 0.809078; 0.810818; 0.809449; 0.808902; 0.810532; 0.810529; 0.814662; 0.817474; 0.818224; 0.817957; 0.820193; 0.820271; 0.818580; 0.817612; 0.818099; 0.816843; 0.816100; 0.821958; 0.827476; 0.829803; 0.831648; 0.830167; 0.831992; 0.836528; 0.838495; 0.835254; 0.838056; 0.843745; 0.845457; 0.841494; 0.840670; 0.842121; 0.840758; 0.840948; 0.842018; 0.841815; 0.841604; 0.841900; 0.839570; 0.838504; 0.841226; 0.839752; 0.836523; 0.839577; 0.843868; 0.847228; 0.847884; 0.844129; 0.841335; 0.839245; 0.838117; 0.840715; 0.839089; 0.843087; 0.847563; 0.848269; 0.852775; 0.856267; 0.855220; 0.851195; 0.846261; 0.843215; 0.846143; 0.848409; 0.851491; 0.854721; 0.857826; 0.863907; 0.863636; 0.862993; 0.863582; 0.863502; 0.861650; 0.863298; 0.868116; 0.874059; 0.882789; 0.887094; 0.889527; 0.891126; 0.891800; 0.892321; 0.890966; 0.893371; 0.896510; 0.898441; 0.898939; 0.901303; 0.904236; 0.907580; 0.904170; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4209.3; 12:13:41; (); (); (); (); (); (); (); (); (); (); 0.789308; 0.792020; 0.795336; 0.797579; 0.796681; 0.794543; 0.795338; 0.795387; 0.799392; 0.799602; 0.800466; 0.805656; 0.806351; 0.808687; 0.810062; 0.811836; 0.813050; 0.811777; 0.811028; 0.810495; 0.809531; 0.808269; 0.808078; 0.806648; 0.804297; 0.800466; 0.797641; 0.796617; 0.789944; 0.785682; 0.782454; 0.782668; 0.787423; 0.788415; 0.791662; 0.793006; 0.791543; 0.791328; 0.791882; 0.795883; 0.799635; 0.803389; 0.808215; 0.811632; 0.813823; 0.813196; 0.809327; 0.804141; 0.803463; 0.802265; 0.802576; 0.804517; 0.806343; 0.803466; 0.799709; 0.798422; 0.797629; 0.796621; 0.798347; 0.800718; 0.805147; 0.808522; 0.810725; 0.813855; 0.817399; 0.822530; 0.825157; 0.826960; 0.834119; 0.840196; 0.847104; 0.854065; 0.860607; 0.866083; 0.866668; 0.867349; 0.871523; 0.877296; 0.882397; 0.886059; 0.889020; 0.890859; 0.890609; 0.889295; 0.889674; 0.888482; 0.885662; 0.883725; 0.883703; 0.886730; 0.889260; 0.889447; 0.887618; 0.884118; 0.881959; 0.881350; 0.883793; 0.888716; 0.893068; 0.894555; 0.893524; 0.896435; 0.899726; 0.902408; 0.906305; 0.907274; 0.906974; 0.908047; 0.911925; 0.915789; 0.918326; 0.922219; 0.923789; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4211.4; 12:13:49; (); (); (); (); (); (); (); (); (); (); 0.789308; 0.829259; 0.827940; 0.828550; 0.827104; 0.822508; 0.818644; 0.817532; 0.817957; 0.823358; 0.823715; 0.820041; 0.815047; 0.811862; 0.809685; 0.805620; 0.804165; 0.806410; 0.808665; 0.811323; 0.815893; 0.820247; 0.821973; 0.822751; 0.822892; 0.822653; 0.823601; 0.826219; 0.827398; 0.825406; 0.828453; 0.826549; 0.821259; 0.815658; 0.811909; 0.808321; 0.806367; 0.806995; 0.807473; 0.805524; 0.803922; 0.801345; 0.797356; 0.792562; 0.792062; 0.793977; 0.799301; 0.805829; 0.810588; 0.812766; 0.814823; 0.815326; 0.815179; 0.814912; 0.812934; 0.814957; 0.822459; 0.832041; 0.840062; 0.844835; 0.847968; 0.850187; 0.850082; 0.847778; 0.849339; 0.854652; 0.860934; 0.864823; 0.869316; 0.877748; 0.880014; 0.876610; 0.873661; 0.873264; 0.873749; 0.872964; 0.871077; 0.871861; 0.874492; 0.875951; 0.874876; 0.874151; 0.873912; 0.869719; 0.861817; 0.858494; 0.859762; 0.861469; 0.862366; 0.862703; 0.865947; 0.870433; 0.872749; 0.873278; 0.873127; 0.872902; 0.872513; 0.873798; 0.878501; 0.887606; 0.897202; 0.903383; 0.906082; 0.906525; 0.905889; 0.904726; 0.903414; 0.904840; 0.906996; 0.909073; 0.912107; 0.914325; 0.914013; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4213.4; 12:13:58; (); (); (); (); (); (); (); (); (); (); 0.789308; 0.827899; 0.832757; 0.832893; 0.834908; 0.837831; 0.837695; 0.835575; 0.837912; 0.839800; 0.840994; 0.840883; 0.838358; 0.838954; 0.836930; 0.835577; 0.834499; 0.830504; 0.828182; 0.823801; 0.818746; 0.816246; 0.817456; 0.817337; 0.815677; 0.813451; 0.812049; 0.809986; 0.806283; 0.806605; 0.807896; 0.809227; 0.811057; 0.813614; 0.814979; 0.818889; 0.822215; 0.824889; 0.829665; 0.834715; 0.839520; 0.844485; 0.849248; 0.850941; 0.849720; 0.847678; 0.844925; 0.842661; 0.844274; 0.846374; 0.848316; 0.849443; 0.847515; 0.842768; 0.839585; 0.837804; 0.837949; 0.838537; 0.839280; 0.841561; 0.843780; 0.847846; 0.851705; 0.853071; 0.851521; 0.847459; 0.845014; 0.845699; 0.847348; 0.849647; 0.850960; 0.848132; 0.842986; 0.839750; 0.840118; 0.838288; 0.838589; 0.839679; 0.840580; 0.844681; 0.850633; 0.853106; 0.852285; 0.851570; 0.852686; 0.850685; 0.852563; 0.858145; 0.865314; 0.870591; 0.874379; 0.873944; 0.872276; 0.871812; 0.872684; 0.873231; 0.875859; 0.882167; 0.885457; 0.882523; 0.881982; 0.882849; 0.885091; 0.886066; 0.884440; 0.884892; 0.887141; 0.889290; 0.890041; 0.888752; 0.886994; 0.882856; 0.880269; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4215.5; 12:14:06; (); (); (); (); (); (); (); (); (); (); (); 0.810689; 0.812994; 0.814068; 0.815082; 0.817159; 0.821286; 0.824250; 0.826115; 0.825761; 0.826833; 0.830017; 0.835938; 0.838795; 0.837803; 0.834902; 0.835326; 0.835547; 0.835477; 0.835006; 0.832640; 0.827835; 0.825180; 0.823057; 0.820181; 0.816069; 0.816273; 0.815829; 0.816754; 0.819011; 0.819089; 0.814989; 0.813416; 0.814623; 0.817303; 0.819683; 0.821664; 0.823027; 0.823196; 0.825568; 0.830233; 0.834797; 0.837272; 0.838690; 0.840107; 0.844014; 0.850389; 0.852714; 0.851912; 0.849360; 0.846292; 0.843575; 0.840967; 0.838455; 0.836321; 0.835316; 0.834234; 0.828976; 0.824518; 0.823032; 0.822346; 0.820093; 0.820498; 0.822729; 0.827187; 0.832565; 0.835687; 0.836497; 0.837658; 0.840060; 0.841788; 0.842294; 0.844129; 0.846707; 0.848828; 0.850427; 0.850943; 0.849878; 0.849137; 0.848073; 0.846814; 0.846325; 0.847719; 0.851023; 0.854370; 0.855830; 0.856839; 0.858024; 0.856616; 0.855906; 0.856931; 0.861019; 0.865363; 0.867657; 0.868544; 0.866976; 0.865351; 0.868735; 0.871663; 0.874015; 0.877037; 0.879912; 0.883599; 0.889606; 0.892018; 0.890727; 0.886361; 0.884440; 0.883296; 0.885230; 0.893507; 0.898733; 0.897479; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4217.6; 12:14:14; (); (); (); (); (); (); (); (); (); (); (); 0.781983; 0.787859; 0.792290; 0.794137; 0.795120; 0.797025; 0.799529; 0.802471; 0.805766; 0.807807; 0.806631; 0.806297; 0.807822; 0.810968; 0.813620; 0.815002; 0.811345; 0.810171; 0.812581; 0.817388; 0.817688; 0.814852; 0.813038; 0.810749; 0.807546; 0.810001; 0.809879; 0.808376; 0.805950; 0.805790; 0.800103; 0.799372; 0.797854; 0.795584; 0.795148; 0.796813; 0.800692; 0.802842; 0.804363; 0.808637; 0.806152; 0.807700; 0.813730; 0.818478; 0.819502; 0.825798; 0.826507; 0.827252; 0.825341; 0.818961; 0.817138; 0.815315; 0.815845; 0.814102; 0.807978; 0.808734; 0.809601; 0.810124; 0.808689; 0.804940; 0.803398; 0.806252; 0.804593; 0.806254; 0.810328; 0.811008; 0.808390; 0.810346; 0.817785; 0.826244; 0.831833; 0.832929; 0.834497; 0.840404; 0.851589; 0.857975; 0.865244; 0.874594; 0.878221; 0.879085; 0.879423; 0.882709; 0.883025; 0.880113; 0.877535; 0.876863; 0.875078; 0.872218; 0.868293; 0.864976; 0.863889; 0.861350; 0.862064; 0.864391; 0.867335; 0.869479; 0.871743; 0.873926; 0.878069; 0.879375; 0.880044; 0.882734; 0.883983; 0.887525; 0.890550; 0.890365; 0.891129; 0.888535; 0.886597; 0.886153; 0.888132; 0.890178; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4219.7; 12:14:23; (); (); (); (); (); (); (); (); (); (); (); 0.826119; 0.829332; 0.832513; 0.835386; 0.836698; 0.836754; 0.831872; 0.826233; 0.824681; 0.827035; 0.828722; 0.829335; 0.829095; 0.825827; 0.821072; 0.820364; 0.819422; 0.818038; 0.819206; 0.822828; 0.826695; 0.835481; 0.840475; 0.842177; 0.841619; 0.837210; 0.835659; 0.836108; 0.839783; 0.845263; 0.843428; 0.843473; 0.843683; 0.841331; 0.835937; 0.829842; 0.822938; 0.821550; 0.823259; 0.825376; 0.832793; 0.836018; 0.837026; 0.836939; 0.834334; 0.835028; 0.836308; 0.836275; 0.833683; 0.831382; 0.832724; 0.836082; 0.836792; 0.835937; 0.836752; 0.835792; 0.836530; 0.838700; 0.840980; 0.841347; 0.843859; 0.845788; 0.849629; 0.857876; 0.868022; 0.874229; 0.876734; 0.878879; 0.879611; 0.877711; 0.874452; 0.873007; 0.870808; 0.869171; 0.869739; 0.870134; 0.867392; 0.865107; 0.861279; 0.855975; 0.851542; 0.849670; 0.850126; 0.853275; 0.857681; 0.862013; 0.864684; 0.866621; 0.868305; 0.869651; 0.869828; 0.870761; 0.871389; 0.872232; 0.873259; 0.875145; 0.874864; 0.875025; 0.875274; 0.876699; 0.879724; 0.884725; 0.890461; 0.896328; 0.900649; 0.902958; 0.906191; 0.908617; 0.911274; 0.915086; 0.923011; 0.933443; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4221.8; 12:14:31; (); (); (); (); (); (); (); (); (); (); (); 0.821560; 0.823446; 0.820945; 0.818648; 0.816686; 0.813562; 0.813053; 0.810329; 0.806425; 0.802942; 0.801738; 0.803725; 0.809900; 0.813757; 0.814217; 0.813984; 0.814697; 0.816400; 0.818797; 0.822677; 0.824063; 0.821388; 0.821760; 0.825297; 0.828213; 0.828291; 0.822164; 0.815087; 0.808866; 0.807584; 0.809331; 0.808767; 0.810123; 0.808830; 0.806506; 0.808518; 0.815817; 0.820794; 0.823494; 0.825691; 0.828058; 0.831192; 0.831272; 0.833920; 0.834493; 0.833392; 0.833073; 0.834849; 0.836947; 0.836354; 0.833116; 0.830310; 0.820964; 0.811152; 0.806315; 0.804606; 0.806903; 0.809257; 0.813619; 0.817481; 0.820310; 0.821901; 0.821656; 0.822374; 0.827295; 0.829534; 0.830586; 0.836603; 0.844210; 0.851920; 0.856654; 0.858074; 0.859130; 0.861439; 0.861958; 0.862733; 0.864937; 0.867792; 0.867302; 0.865131; 0.864159; 0.865009; 0.869386; 0.869149; 0.867226; 0.866416; 0.868511; 0.872192; 0.872850; 0.872374; 0.872258; 0.873748; 0.874349; 0.879195; 0.883846; 0.888953; 0.893252; 0.892271; 0.894549; 0.897674; 0.900550; 0.902126; 0.900078; 0.901251; 0.902151; 0.903122; 0.902292; 0.902109; 0.902250; 0.902401; 0.900781; 0.899134; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4223.8; 12:14:39; (); (); (); (); (); (); (); (); (); (); (); 0.819311; 0.822139; 0.821567; 0.821198; 0.822127; 0.822627; 0.821913; 0.821729; 0.822529; 0.824241; 0.826515; 0.825370; 0.823183; 0.821715; 0.820284; 0.816729; 0.816768; 0.819099; 0.820839; 0.821225; 0.822004; 0.824209; 0.825679; 0.825542; 0.823480; 0.822691; 0.824975; 0.826337; 0.827276; 0.828303; 0.828117; 0.825423; 0.823214; 0.821042; 0.818681; 0.816701; 0.814984; 0.813723; 0.814140; 0.816923; 0.818781; 0.821619; 0.821411; 0.819922; 0.819276; 0.823827; 0.826435; 0.825828; 0.829621; 0.834316; 0.835009; 0.835127; 0.837330; 0.839126; 0.839978; 0.838581; 0.835476; 0.836748; 0.836347; 0.835348; 0.834480; 0.835510; 0.835909; 0.833312; 0.831290; 0.830548; 0.830382; 0.831495; 0.829939; 0.827614; 0.827939; 0.829300; 0.831624; 0.833428; 0.833971; 0.831915; 0.826683; 0.826183; 0.826902; 0.827345; 0.827379; 0.827732; 0.824120; 0.826443; 0.831354; 0.838456; 0.844425; 0.845001; 0.847555; 0.851476; 0.856711; 0.866759; 0.873941; 0.877639; 0.880725; 0.884686; 0.888173; 0.893547; 0.899298; 0.901992; 0.902740; 0.905985; 0.912101; 0.912491; 0.914613; 0.917881; 0.916807; 0.916384; 0.918199; 0.922970; 0.930040; 0.935214; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
