Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 12:13:05
File Name; D:\Mahlo\TR\171010121305FP 4583_432 GSM0_FMI2.txt

4202.4; 12:13:16; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 419.155717; 417.445302; 416.406482; 416.712731; 417.165965; 417.306632; 418.209970; 419.180989; 419.836670; 420.433193; 420.679450; 420.374393; 420.047641; 420.660198; 423.847884; 426.940024; 429.039568; 430.417001; 431.378305; 432.019055; 432.125568; 431.816071; 430.502534; 428.958207; 428.449303; 428.890884; 430.266500; 431.300491; 432.064116; 432.480991; 432.463557; 432.553560; 433.106661; 433.388084; 433.877587; 434.559405; 435.219109; 436.532378; 438.178629; 438.630402; 437.113374; 434.211463; 432.582498; 431.668222; 430.929214; 429.526091; 429.102033; 428.974956; 428.655088; 428.630739; 428.532273; 429.006666; 428.921878; 427.928686; 426.653653; 426.794589; 427.996248; 428.803831; 428.407669; 428.526849; 429.509640; 429.385394; 428.978056; 428.943247; 429.005861; 428.918242; 427.618057; 426.525980; 424.750626; 423.560798; 423.503965; 423.553616; 423.245251; 423.739016; 424.176037; 423.940450; 423.365444; 423.128277; 423.432261; 423.799634; 423.798144; 424.293548; 425.614059; 428.141385; 431.027293; 432.110250; 433.207780; 434.083879; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4205.1; 12:13:25; (); (); (); (); (); (); (); (); (); (); 427.550673; 429.802328; 431.267142; 431.418419; 431.249052; 431.061685; 429.729164; 428.608745; 427.595973; 426.550090; 427.212447; 429.111779; 431.800216; 433.237761; 434.125870; 434.304923; 433.803409; 433.770061; 434.108347; 434.280872; 434.540421; 435.935825; 436.345041; 435.761929; 435.627669; 435.117781; 434.166759; 433.099002; 431.344509; 429.345846; 428.312778; 428.151935; 427.657127; 427.548856; 428.174317; 428.563625; 428.494722; 428.372055; 428.949594; 429.531306; 430.127472; 431.276321; 432.697713; 434.506953; 436.149001; 436.226159; 434.807837; 433.910280; 433.560044; 433.096796; 432.850540; 432.235926; 431.154519; 430.510014; 429.510355; 427.661508; 425.613284; 423.694819; 422.236800; 420.336872; 420.775980; 422.189534; 423.292696; 423.055500; 421.711326; 421.300769; 421.592623; 422.449827; 422.210872; 421.899587; 422.106355; 422.675073; 422.747374; 421.921462; 421.950758; 421.660900; 421.401650; 421.569109; 423.076391; 424.418300; 424.668580; 425.668538; 426.378936; 425.982416; 426.666170; 429.006904; 430.583835; 431.722015; 432.387710; 432.775348; 433.440089; 433.162302; 431.931436; 431.030691; 430.808544; 430.607259; 430.224746; 430.563211; 432.701856; 432.838440; 431.490123; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4207.2; 12:13:33; (); (); (); (); (); (); (); (); (); (); 430.582732; 431.348979; 431.814164; 431.271613; 430.303216; 429.996878; 429.698378; 429.404765; 428.814322; 428.674370; 429.489017; 430.150241; 430.397809; 429.276407; 426.527560; 423.979610; 422.197461; 421.178550; 421.454340; 421.972066; 422.314644; 422.224879; 421.977878; 422.259539; 422.068954; 422.104359; 421.952665; 421.737790; 422.636420; 424.548775; 426.255703; 428.416491; 429.257154; 429.000705; 428.582430; 428.166181; 428.994030; 430.685312; 431.466758; 431.330174; 431.564420; 432.854563; 434.353173; 435.500681; 435.910255; 436.127961; 435.446292; 435.111493; 435.228586; 435.467720; 435.973763; 436.063170; 435.048640; 434.528947; 434.843093; 433.866352; 431.758553; 429.831833; 428.592086; 428.205192; 427.377552; 426.340312; 425.861418; 425.787747; 426.822662; 427.168459; 426.841468; 426.897585; 427.591234; 427.632958; 427.846968; 427.825332; 427.087754; 426.650405; 426.848769; 427.112639; 428.046227; 428.325653; 427.841783; 426.455796; 424.970299; 424.045622; 422.661245; 420.815706; 420.690447; 421.555787; 423.279107; 425.000131; 424.660146; 424.270123; 424.745798; 425.279230; 426.655352; 428.042740; 428.535461; 428.474307; 428.956389; 430.553615; 432.639331; 434.029818; 434.721857; 435.419828; 436.641097; 439.057201; 440.656662; 441.246271; 441.719353; 441.447049; 441.489607; 442.760080; 445.389092; 447.462142; 448.058009; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4209.3; 12:13:41; (); (); (); (); (); (); (); (); (); (); 422.443867; 422.113121; 422.717422; 423.646301; 425.472766; 426.380396; 425.639749; 424.625129; 423.814058; 423.347324; 423.057824; 423.945427; 425.880015; 428.402573; 430.546254; 430.758685; 430.398881; 430.526853; 430.665582; 430.478871; 431.143582; 432.997286; 435.046256; 436.395437; 435.671300; 432.770401; 429.705322; 427.110910; 425.073445; 424.488902; 425.441772; 426.149249; 425.514191; 424.156785; 422.854394; 422.099560; 420.754045; 419.673383; 419.715524; 420.750052; 422.476441; 424.967378; 427.670479; 429.373920; 430.506080; 431.399494; 432.500541; 433.547616; 434.200346; 434.029073; 433.191121; 432.743818; 432.586700; 431.937844; 430.745989; 429.292649; 427.995980; 426.468790; 425.509453; 424.884677; 424.342066; 423.929125; 424.061477; 424.804598; 426.389158; 427.988619; 429.206938; 429.509193; 430.138588; 431.358695; 433.540583; 435.207903; 435.865492; 434.871078; 434.353292; 435.189813; 435.582221; 436.091632; 436.595142; 437.074363; 437.680900; 437.734753; 437.059909; 436.684191; 436.672300; 435.575336; 435.511857; 436.363220; 437.722951; 438.444853; 437.875897; 437.982023; 438.024968; 437.470675; 436.738431; 436.140597; 435.702145; 435.979962; 436.609417; 437.805802; 439.131975; 440.040439; 440.645665; 441.952497; 443.262637; 444.041610; 444.072962; 443.866849; 444.151193; 444.630891; 445.391059; 447.831035; 450.147361; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4211.4; 12:13:49; (); (); (); (); (); (); (); (); (); (); 422.443867; 428.796917; 428.911418; 428.698927; 428.664446; 428.539217; 427.879214; 427.682608; 427.873075; 429.327667; 431.053191; 432.769179; 433.082908; 432.477951; 432.239622; 431.987137; 431.686282; 432.207763; 433.503270; 434.927613; 436.715066; 438.505888; 439.969093; 441.298515; 441.792816; 442.331880; 441.854358; 441.062450; 440.725684; 440.803856; 441.265047; 441.354841; 440.862060; 439.947426; 438.464195; 436.770380; 435.941875; 434.862733; 433.256805; 432.327539; 431.920171; 431.510329; 432.176948; 432.982117; 432.908773; 432.691127; 432.064593; 431.765169; 431.939393; 431.889474; 431.697786; 430.907130; 429.822654; 428.488433; 427.125603; 425.698459; 424.977839; 423.436493; 421.801656; 420.211166; 418.940455; 419.075906; 419.500202; 420.113176; 421.183735; 422.204018; 423.002660; 424.399883; 426.653773; 428.888202; 431.041062; 432.557404; 433.760881; 434.735000; 435.954690; 437.650055; 439.317822; 440.421313; 441.343039; 441.411883; 441.331565; 441.634089; 441.679180; 441.263884; 440.788656; 440.067351; 438.972503; 438.583672; 439.519763; 440.365553; 440.184683; 438.641787; 437.569976; 436.340213; 435.869932; 435.870439; 436.500579; 437.458336; 438.674301; 439.455062; 439.949453; 440.839618; 442.098975; 442.568630; 442.821503; 443.390995; 444.337726; 444.659531; 445.279807; 445.890725; 446.627855; 446.769714; 445.812553; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4213.4; 12:13:58; (); (); (); (); (); (); (); (); (); (); 422.443867; 436.230183; 435.916096; 435.524434; 435.678989; 436.210304; 436.291635; 435.872078; 435.087889; 434.253573; 433.483988; 433.175981; 433.420271; 433.925033; 434.003413; 434.784502; 435.790986; 436.066031; 435.665220; 435.258269; 435.276270; 435.638964; 435.905427; 435.407281; 435.574025; 436.499655; 436.690420; 436.015755; 436.141431; 437.174529; 436.027229; 434.403270; 433.353633; 433.536679; 433.873087; 433.819085; 433.715254; 434.099674; 434.768200; 434.226573; 433.382928; 433.118016; 433.973521; 434.187084; 433.718115; 434.394181; 435.573041; 437.181711; 438.342839; 438.371480; 438.029498; 437.243700; 436.404288; 435.548455; 434.587479; 433.239073; 432.569951; 432.411760; 432.216763; 432.340354; 431.730956; 430.184066; 428.711593; 428.234309; 427.949488; 427.803487; 428.628504; 429.380506; 429.787070; 430.213630; 430.766135; 430.730253; 431.440949; 432.167172; 432.895571; 433.623880; 434.760779; 436.047256; 436.395854; 436.919540; 437.744588; 437.732011; 437.172711; 436.945349; 437.141806; 437.829643; 438.485891; 437.848955; 436.950386; 436.026573; 436.261386; 437.654674; 437.896758; 437.772751; 437.232763; 435.584396; 434.465647; 433.835328; 434.031695; 434.321374; 434.576184; 435.750514; 437.067956; 437.589437; 438.995332; 439.371198; 437.916547; 437.245518; 437.160134; 437.436670; 438.692600; 440.766364; 443.441600; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4215.5; 12:14:06; (); (); (); (); (); (); (); (); (); (); (); 437.227488; 437.790811; 438.418925; 438.940316; 439.390898; 439.101696; 438.538015; 437.969387; 437.296212; 436.399400; 436.036944; 435.972184; 436.293721; 437.058151; 436.681837; 435.659677; 433.718801; 431.952149; 430.719018; 429.381371; 428.936273; 429.045469; 429.523826; 429.007739; 428.130239; 427.373558; 426.917076; 426.921695; 426.586866; 426.597923; 426.744580; 427.093893; 427.186280; 427.316815; 427.491188; 427.278191; 426.526725; 424.858987; 424.000323; 423.674971; 424.172401; 424.540579; 423.990428; 424.013078; 424.603194; 424.933314; 425.450653; 425.988793; 426.259935; 425.933540; 425.303847; 425.262272; 426.120341; 427.006721; 427.188903; 426.344007; 425.290465; 424.948364; 424.289316; 424.162030; 424.523056; 424.467742; 424.575299; 424.587697; 425.039440; 426.102400; 427.030087; 427.599311; 428.421289; 429.040313; 429.293215; 430.050045; 431.465089; 432.974637; 433.312416; 433.949232; 435.800791; 437.450022; 438.091189; 438.607603; 438.302279; 437.792659; 437.196940; 436.509520; 436.393231; 436.115623; 435.596615; 434.760660; 434.219033; 434.076399; 433.238447; 431.930870; 431.238979; 431.225359; 431.307495; 432.299018; 434.626251; 436.834782; 439.086825; 441.450566; 443.286479; 445.520550; 447.471619; 448.445320; 449.145824; 449.744403; 450.832397; 451.775491; 453.080028; 454.815447; 455.030054; 454.024643; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4217.6; 12:14:14; (); (); (); (); (); (); (); (); (); (); (); 429.791331; 431.851357; 433.516532; 433.898479; 433.693171; 432.943612; 432.454586; 432.036400; 431.246370; 430.801600; 430.395424; 430.031419; 429.116726; 427.392662; 426.380098; 425.961047; 424.846560; 423.458576; 422.400117; 421.551436; 421.618015; 421.402544; 421.096206; 421.687722; 422.782987; 422.885537; 423.099130; 423.806936; 424.811900; 425.050914; 424.082100; 423.188239; 422.619909; 421.789527; 421.358407; 421.371520; 422.103792; 423.054546; 423.660487; 422.892481; 423.068017; 422.908872; 422.631264; 421.861351; 421.906292; 423.221678; 423.861891; 424.600333; 425.597131; 426.530480; 427.406222; 427.526087; 427.213579; 426.461816; 424.890161; 424.082011; 424.352050; 424.091160; 423.889339; 423.862457; 423.603475; 424.203724; 424.875706; 425.394356; 425.054550; 424.255580; 424.082607; 424.377948; 424.835533; 426.380932; 427.215755; 428.056717; 428.839952; 429.764152; 430.717796; 431.254715; 431.025147; 431.364000; 432.288736; 433.107048; 433.446586; 433.359981; 433.527768; 434.537143; 434.877068; 435.099542; 434.975833; 434.793800; 434.153765; 433.763683; 433.918774; 433.759928; 433.630645; 433.319569; 433.444977; 432.960242; 432.024240; 432.147235; 433.052391; 434.183478; 435.345829; 436.198324; 436.398774; 437.343031; 437.590420; 437.397718; 437.759787; 437.731981; 437.833071; 437.804371; 439.305812; 441.971987; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4219.7; 12:14:23; (); (); (); (); (); (); (); (); (); (); (); 424.482822; 426.473141; 427.448213; 427.574456; 426.993072; 426.536471; 427.045673; 428.039700; 428.494781; 429.372519; 430.813313; 432.014346; 432.984382; 434.007138; 434.171170; 433.787525; 432.758063; 432.060689; 432.139277; 433.417559; 434.805870; 434.211165; 433.127612; 432.364404; 431.483895; 430.983067; 430.500180; 430.597991; 430.943251; 431.723386; 432.334512; 432.844043; 433.480650; 432.371527; 430.973291; 430.705696; 431.651443; 432.815820; 433.855206; 435.815185; 436.609387; 437.848419; 438.466132; 438.966453; 439.775348; 440.237343; 440.074354; 439.725071; 440.550059; 441.526204; 441.634685; 440.026253; 437.604785; 437.324375; 436.832815; 435.879141; 434.638143; 433.286428; 432.285190; 431.946188; 431.515455; 431.742013; 431.900382; 432.713956; 431.980848; 430.842549; 431.934595; 433.624625; 433.841527; 434.434861; 436.737955; 438.783407; 440.131098; 439.798802; 438.782901; 438.803524; 439.134389; 439.903110; 439.508080; 439.442247; 440.383613; 441.283822; 440.789938; 440.830886; 440.366626; 438.345909; 436.254352; 435.272515; 435.582995; 436.448157; 437.038511; 437.533140; 437.233090; 437.361151; 438.039690; 438.314468; 438.912958; 440.284550; 440.860927; 442.203701; 443.815947; 445.345670; 446.571529; 447.945058; 448.544651; 448.357135; 448.453873; 449.224710; 450.575322; 451.992512; 453.598857; 454.285860; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4221.8; 12:14:31; (); (); (); (); (); (); (); (); (); (); (); 431.110501; 432.988703; 434.477061; 434.069574; 433.442861; 433.385730; 432.782054; 432.272464; 432.023287; 432.124645; 431.713372; 432.126790; 432.764828; 433.624893; 433.249533; 432.531744; 431.258500; 429.730475; 430.666119; 431.086868; 431.012392; 431.563675; 432.461560; 433.202058; 433.121055; 432.942569; 432.333082; 432.221919; 432.268143; 432.593673; 432.926625; 433.424652; 434.154958; 433.654815; 433.266789; 432.759792; 432.949364; 433.395445; 433.280498; 432.994425; 432.444423; 432.167351; 431.885928; 432.264417; 432.876170; 433.344990; 434.120923; 434.702128; 435.191244; 435.325742; 434.696913; 433.505028; 432.085246; 431.322455; 430.770844; 429.562211; 428.077757; 426.906347; 424.253702; 421.158850; 419.288069; 417.552561; 416.167855; 414.476752; 414.719999; 416.008949; 416.827261; 417.524546; 418.275505; 419.887364; 422.007173; 424.182892; 426.701277; 429.590791; 431.250066; 432.108074; 433.751106; 435.318768; 436.635941; 437.712550; 438.412338; 439.122111; 439.612329; 439.590901; 438.831508; 438.605100; 438.720375; 438.447654; 438.610017; 438.952267; 438.525349; 437.471509; 436.554492; 435.911328; 435.540497; 434.565455; 433.783740; 433.982879; 435.245574; 437.451094; 439.045072; 440.030128; 440.571338; 440.806538; 441.643268; 442.666799; 443.708450; 444.855154; 446.250588; 447.149456; 449.219465; 451.119363; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4223.8; 12:14:39; (); (); (); (); (); (); (); (); (); (); (); 436.247051; 437.763661; 438.367963; 438.976765; 439.551353; 439.838946; 440.347463; 440.640301; 441.618919; 442.626804; 442.554533; 442.601532; 441.711307; 440.971404; 439.377755; 437.376201; 435.259938; 433.807969; 431.878597; 428.790540; 426.447839; 423.926532; 421.334356; 419.778466; 419.283122; 418.717563; 417.874396; 418.233842; 418.899804; 419.368804; 419.809580; 420.810461; 421.853602; 421.810389; 421.999365; 421.619713; 422.137350; 422.715217; 422.840118; 423.338592; 424.492806; 425.065041; 424.539119; 422.898740; 421.948582; 421.949148; 421.177268; 420.515329; 421.357691; 422.183067; 423.738509; 424.603760; 424.138486; 423.604697; 423.309296; 423.703939; 425.255954; 426.356286; 428.213209; 429.702759; 430.391401; 431.452602; 433.199376; 434.820175; 436.631203; 437.290192; 436.388195; 436.142176; 437.522769; 438.044637; 437.235862; 435.845166; 435.086638; 434.186757; 432.996213; 432.469308; 432.201713; 431.641042; 431.556284; 430.569291; 429.597884; 431.432366; 432.933897; 433.102250; 433.011115; 433.135182; 433.373719; 433.902204; 434.286803; 434.499770; 433.935136; 433.274567; 432.993919; 432.503045; 432.222396; 433.105171; 433.213443; 434.005499; 435.067952; 436.187774; 436.934710; 438.087642; 439.617515; 441.797763; 444.784403; 446.931422; 448.297948; 449.170142; 450.197697; 453.106999; 455.985069; 457.547814; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
