Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 12:33:00
File Name; D:\Mahlo\TR\171010123300FP 4583_432 GSM0_XMF2.txt

4502.5; 12:33:12; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 111.448157; 110.553408; 100.309181; 89.979881; 82.532871; 76.283932; 70.889252; 65.648711; 59.349769; 52.490312; 45.565033; 38.550881; 30.422205; 23.279326; 16.154298; 8.071308; 1.732653; 1.069757; 1.070193; 1.070711; 1.071328; 1.071845; 1.072007; 1.072225; 1.072415; 1.072261; 1.071805; 1.072130; 1.074142; 1.077491; 1.080982; 1.082408; 1.082983; 1.083311; 1.083386; 1.082669; 1.081557; 1.080953; 1.081673; 1.083560; 1.086463; 1.090493; 1.095050; 1.100669; 1.108937; 1.121428; 1.138224; 1.162217; 1.190067; 1.222363; 1.256429; 1.285813; 1.323670; 1.367483; 1.406101; 1.447548; 1.496154; 1.542303; 1.579785; 1.618083; 1.669836; 1.724880; 1.788116; 1.867568; 1.950725; 2.030725; 2.089995; 2.131496; 2.178941; 2.220320; 2.253293; 2.290005; 2.335131; 2.393232; 2.442320; 2.484998; 2.529223; 2.576300; 2.621848; 2.668115; 2.690448; 2.702845; 2.724877; 2.757524; 2.807773; 2.867400; 2.920903; 2.951237; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4505.2; 12:33:20; (); (); (); (); (); (); (); (); (); (); (); (); 1.119074; 1.135003; 1.145918; 1.149135; 1.149196; 1.149192; 1.150674; 1.159311; 1.169730; 1.177650; 1.185470; 1.192606; 1.198210; 1.201931; 1.203450; 1.201330; 1.197662; 1.194626; 1.195315; 1.199816; 1.203886; 1.205410; 1.203374; 1.197938; 1.191232; 1.184643; 1.179253; 1.178135; 1.181810; 1.186633; 1.191195; 1.194488; 1.198443; 1.205736; 1.216805; 1.230679; 1.249503; 1.273269; 1.295135; 1.317927; 1.345681; 1.373120; 1.402839; 1.433392; 1.454605; 1.469994; 1.481653; 1.487450; 1.488619; 1.488929; 1.492698; 1.500385; 1.511174; 1.526775; 1.545415; 1.568672; 1.597659; 1.625463; 1.660395; 1.715593; 1.779897; 1.871157; 1.969374; 2.040288; 2.113238; 2.184517; 2.238465; 2.291631; 2.362439; 2.451479; 2.554986; 2.647869; 2.732798; 2.805670; 2.868258; 2.933850; 2.993852; 3.047517; 3.093608; 3.138030; 3.179673; 3.210730; 3.234203; 3.247473; 3.245101; 3.235949; 3.229704; 3.229735; 3.236960; 3.251909; 3.272052; 3.289482; 3.283467; 3.280674; 3.286762; 3.311977; 3.348047; 3.396153; 3.450078; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4507.3; 12:33:28; (); (); (); (); (); (); (); (); (); (); (); (); 1.042894; 1.043101; 1.044108; 1.044599; 1.044240; 1.043434; 1.044087; 1.045370; 1.052882; 1.058254; 1.058188; 1.058308; 1.058132; 1.060502; 1.062386; 1.064567; 1.064204; 1.063121; 1.062204; 1.061574; 1.061545; 1.051195; 1.025296; 0.999534; 0.977603; 0.957560; 0.935541; 0.916286; 0.896667; 0.878533; 0.862572; 0.847941; 0.837695; 0.829818; 0.820681; 0.809101; 0.817035; 0.839502; 0.868691; 0.908474; 0.947620; 0.989281; 1.037361; 1.076418; 1.110769; 1.147177; 1.177492; 1.204474; 1.234239; 1.267886; 1.305621; 1.330831; 1.348811; 1.366404; 1.384490; 1.405668; 1.431013; 1.466205; 1.519705; 1.584361; 1.662147; 1.762894; 1.855338; 1.944082; 2.037171; 2.123865; 2.198027; 2.267543; 2.330712; 2.390661; 2.464583; 2.535002; 2.599851; 2.644303; 2.649626; 2.627381; 2.583889; 2.527327; 2.488062; 2.463546; 2.444164; 2.430003; 2.418371; 2.407882; 2.399146; 2.383092; 2.367724; 2.369425; 2.400750; 2.452376; 2.523392; 2.624045; 2.722696; 2.814103; 2.893490; 2.972614; 3.075889; 3.176792; 3.259828; 3.333871; 3.404876; 3.461680; 3.498295; 3.502806; 3.523745; 3.541093; 3.550649; 3.550712; 3.553727; 3.556181; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4509.3; 12:33:36; (); (); (); (); (); (); (); (); (); (); (); (); 0.706496; 0.723732; 0.740906; 0.753800; 0.766028; 0.774937; 0.781175; 0.799267; 0.825310; 0.849173; 0.873003; 0.900947; 0.928914; 0.951393; 0.971443; 0.992381; 1.008016; 1.020118; 1.029564; 1.035798; 1.040391; 1.044207; 1.048844; 1.055507; 1.061822; 1.065594; 1.064741; 1.056583; 1.044928; 1.034120; 1.025719; 1.023771; 1.032067; 1.048264; 1.072431; 1.097566; 1.124575; 1.154846; 1.183391; 1.207962; 1.236329; 1.267841; 1.299287; 1.330492; 1.350991; 1.361755; 1.362476; 1.354041; 1.343089; 1.330578; 1.317044; 1.305483; 1.299805; 1.303724; 1.323788; 1.352049; 1.388737; 1.441851; 1.508713; 1.577498; 1.654826; 1.748865; 1.831994; 1.918265; 2.019286; 2.114818; 2.191620; 2.250781; 2.310949; 2.370455; 2.417918; 2.467253; 2.510053; 2.540684; 2.572174; 2.600337; 2.630762; 2.662928; 2.695396; 2.733787; 2.777822; 2.820349; 2.861267; 2.897898; 2.920085; 2.937583; 2.957887; 2.993194; 3.046703; 3.109150; 3.164472; 3.218143; 3.273726; 3.315530; 3.344747; 3.371783; 3.398876; 3.427834; 3.458359; 3.493889; 3.534295; 3.553915; 3.539809; 3.538519; 3.534959; 3.525821; 3.511440; 3.496322; 3.488104; 3.484263; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4511.4; 12:33:44; (); (); (); (); (); (); (); (); (); (); (); (); 0.776828; 0.788696; 0.800321; 0.812609; 0.824296; 0.837547; 0.852574; 0.867045; 0.886317; 0.898373; 0.909229; 0.924457; 0.942992; 0.965965; 0.983686; 0.999025; 1.012307; 1.022474; 1.031264; 1.036738; 1.038576; 1.041024; 1.045926; 1.050672; 1.054043; 1.056439; 1.057016; 1.053994; 1.048790; 1.043440; 1.039149; 1.038686; 1.047730; 1.063651; 1.086198; 1.114486; 1.139982; 1.162484; 1.190793; 1.226352; 1.273323; 1.340431; 1.405716; 1.468779; 1.532990; 1.587719; 1.628478; 1.650190; 1.661390; 1.668605; 1.676900; 1.693095; 1.713116; 1.737094; 1.766476; 1.792542; 1.812569; 1.833790; 1.868370; 1.911867; 1.966976; 2.041800; 2.114636; 2.188153; 2.268862; 2.350592; 2.421933; 2.490638; 2.556110; 2.629060; 2.699628; 2.749768; 2.817050; 2.883996; 2.933166; 2.967004; 2.982903; 2.977726; 2.953525; 2.925619; 2.894896; 2.859992; 2.832760; 2.806979; 2.774468; 2.747371; 2.726041; 2.702577; 2.683189; 2.674553; 2.687053; 2.733354; 2.825056; 2.929103; 3.025528; 3.131638; 3.229692; 3.306227; 3.376756; 3.440803; 3.502732; 3.547822; 3.594845; 3.634299; 3.663315; 3.682410; 3.677465; 3.657817; 3.649863; 3.642422; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4513.4; 12:33:53; (); (); (); (); (); (); (); (); (); (); (); 1.456078; 1.478289; 1.511390; 1.528567; 1.525761; 1.513637; 1.501099; 1.495902; 1.511503; 1.521076; 1.523704; 1.520431; 1.515714; 1.508414; 1.494922; 1.471430; 1.434087; 1.395517; 1.361762; 1.342024; 1.339970; 1.344446; 1.353876; 1.362799; 1.366863; 1.364734; 1.357161; 1.348897; 1.348440; 1.364572; 1.392518; 1.430844; 1.472293; 1.507708; 1.533256; 1.541148; 1.539596; 1.530541; 1.521614; 1.520300; 1.534717; 1.563539; 1.591124; 1.611846; 1.622051; 1.619254; 1.607632; 1.595219; 1.586991; 1.590240; 1.609897; 1.637336; 1.672721; 1.721393; 1.765630; 1.805983; 1.848078; 1.887874; 1.925319; 1.969991; 2.035258; 2.109256; 2.196933; 2.304075; 2.411382; 2.513744; 2.598241; 2.676499; 2.756171; 2.816111; 2.864947; 2.904005; 2.936010; 2.967902; 2.993207; 3.015537; 3.033796; 3.046917; 3.058868; 3.060833; 3.048406; 3.025799; 3.005508; 2.989398; 2.978506; 2.978416; 2.991568; 3.011724; 3.023979; 3.025248; 3.018266; 3.006058; 2.995173; 2.993160; 3.005348; 3.048965; 3.118004; 3.170278; 3.216628; 3.271786; 3.311142; 3.329214; 3.321160; 3.302845; 3.327496; 3.361996; 3.403569; 3.438911; 3.465855; 3.482182; 3.456847; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4515.5; 12:34:01; (); (); (); (); (); (); (); (); (); (); (); 1.456078; 1.099145; 1.115039; 1.136499; 1.167027; 1.193029; 1.213336; 1.231322; 1.255625; 1.305340; 1.349011; 1.385492; 1.420655; 1.446145; 1.460291; 1.466526; 1.470272; 1.471255; 1.465394; 1.455420; 1.446142; 1.436318; 1.419131; 1.400178; 1.377605; 1.346629; 1.314982; 1.291762; 1.278280; 1.273581; 1.276556; 1.283299; 1.286824; 1.286292; 1.281310; 1.276986; 1.278586; 1.291385; 1.310459; 1.336902; 1.376921; 1.421498; 1.455677; 1.472464; 1.483624; 1.495570; 1.512919; 1.548496; 1.593017; 1.646335; 1.714036; 1.777932; 1.843921; 1.922061; 2.010407; 2.113079; 2.208557; 2.308974; 2.427611; 2.528476; 2.623979; 2.725280; 2.808353; 2.865671; 2.912099; 2.947610; 2.959516; 2.960836; 2.957798; 2.943543; 2.919533; 2.900253; 2.895135; 2.909522; 2.941461; 2.982937; 3.040157; 3.097569; 3.158847; 3.233632; 3.304216; 3.364735; 3.420325; 3.472267; 3.506517; 3.531199; 3.550196; 3.564198; 3.574285; 3.582188; 3.586670; 3.577783; 3.569011; 3.555920; 3.539462; 3.533104; 3.539225; 3.554253; 3.572396; 3.590411; 3.606796; 3.623168; 3.630975; 3.626264; 3.614472; 3.600201; 3.587383; 3.576165; 3.568646; 3.563911; 3.558777; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4517.5; 12:34:09; (); (); (); (); (); (); (); (); (); (); (); 1.456078; 1.242488; 1.251293; 1.252562; 1.250467; 1.243171; 1.229483; 1.216757; 1.222889; 1.232786; 1.240383; 1.249193; 1.260680; 1.271277; 1.278578; 1.284771; 1.289687; 1.292827; 1.293029; 1.291784; 1.298017; 1.310061; 1.322597; 1.335397; 1.339058; 1.332532; 1.319354; 1.307500; 1.304811; 1.311379; 1.320488; 1.325897; 1.327908; 1.336754; 1.360604; 1.395820; 1.433269; 1.472010; 1.527481; 1.608634; 1.706232; 1.794525; 1.871651; 1.939635; 1.983703; 2.024844; 2.066980; 2.098131; 2.129349; 2.149584; 2.161304; 2.170007; 2.170250; 2.161963; 2.143438; 2.126664; 2.119307; 2.128663; 2.170289; 2.236544; 2.308359; 2.404912; 2.515940; 2.618989; 2.721793; 2.825626; 2.940535; 3.029735; 3.106409; 3.182160; 3.249211; 3.306829; 3.354238; 3.402572; 3.449499; 3.486237; 3.515465; 3.530005; 3.541370; 3.550515; 3.555160; 3.558434; 3.559256; 3.556787; 3.554134; 3.548671; 3.536757; 3.521245; 3.509039; 3.502740; 3.497985; 3.487412; 3.474256; 3.466285; 3.456507; 3.441598; 3.429475; 3.426572; 3.432446; 3.441159; 3.451974; 3.460811; 3.459181; 3.449756; 3.435750; 3.419267; 3.405227; 3.397892; 3.391579; 3.385961; 3.384594; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4519.5; 12:34:17; (); (); (); (); (); (); (); (); (); (); (); (); 1.037872; 1.107193; 1.170644; 1.214243; 1.237260; 1.246535; 1.247594; 1.253618; 1.278851; 1.298808; 1.312162; 1.321109; 1.324620; 1.328437; 1.330950; 1.329558; 1.319830; 1.305179; 1.294194; 1.291302; 1.299143; 1.318884; 1.344000; 1.375553; 1.413992; 1.444484; 1.472840; 1.497401; 1.517586; 1.536384; 1.550556; 1.559595; 1.566455; 1.578962; 1.597195; 1.615582; 1.636473; 1.660794; 1.682187; 1.710644; 1.754210; 1.796848; 1.841618; 1.889664; 1.942168; 1.989062; 2.020991; 2.058904; 2.091224; 2.114909; 2.136073; 2.154570; 2.171947; 2.182348; 2.186045; 2.190937; 2.207821; 2.239875; 2.284382; 2.337051; 2.399750; 2.484219; 2.591710; 2.682163; 2.768344; 2.863955; 2.940170; 3.007570; 3.081353; 3.148871; 3.225918; 3.292674; 3.343888; 3.399327; 3.450924; 3.484185; 3.494211; 3.498576; 3.506615; 3.517510; 3.529867; 3.555476; 3.598655; 3.645987; 3.682558; 3.710955; 3.731750; 3.742786; 3.745966; 3.737873; 3.733606; 3.735954; 3.740613; 3.747162; 3.758578; 3.769109; 3.766704; 3.754431; 3.738213; 3.722939; 3.707070; 3.690751; 3.680203; 3.672324; 3.671025; 3.668428; 3.662765; 3.656248; 3.646495; 3.627818; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4521.6; 12:34:25; (); (); (); (); (); (); (); (); (); (); (); 1.277808; 1.327448; 1.395924; 1.436535; 1.460224; 1.478187; 1.499643; 1.522206; 1.569054; 1.631360; 1.687722; 1.742492; 1.804053; 1.859624; 1.893942; 1.907308; 1.903967; 1.894534; 1.886801; 1.881560; 1.877279; 1.864755; 1.835752; 1.798957; 1.751717; 1.698026; 1.656502; 1.619592; 1.589121; 1.571475; 1.571088; 1.579199; 1.588124; 1.598825; 1.612619; 1.629699; 1.661023; 1.721429; 1.804042; 1.892129; 2.011242; 2.129869; 2.207184; 2.272764; 2.333558; 2.376289; 2.420169; 2.476268; 2.522655; 2.569922; 2.617714; 2.657453; 2.686793; 2.702790; 2.710854; 2.714406; 2.712978; 2.706766; 2.703624; 2.715603; 2.747611; 2.797411; 2.845825; 2.898545; 2.961889; 3.017643; 3.065726; 3.105471; 3.135597; 3.164537; 3.208396; 3.266277; 3.328705; 3.396641; 3.452796; 3.486687; 3.509158; 3.531973; 3.557178; 3.579606; 3.593589; 3.607275; 3.627397; 3.647110; 3.653943; 3.649661; 3.637960; 3.626422; 3.615560; 3.602139; 3.586939; 3.569182; 3.546254; 3.515266; 3.482687; 3.462126; 3.447897; 3.431011; 3.415580; 3.401774; 3.387545; 3.379947; 3.380745; 3.386572; 3.389125; 3.391835; 3.395742; 3.401330; 3.409822; 3.422740; 3.428783; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4523.6; 12:34:33; (); (); (); (); (); (); (); (); (); (); (); 1.770606; 1.828132; 1.920342; 1.991773; 2.046898; 2.092348; 2.121125; 2.146726; 2.185765; 2.233206; 2.277048; 2.326347; 2.381819; 2.443917; 2.493004; 2.526963; 2.539301; 2.524858; 2.499749; 2.472868; 2.445560; 2.426699; 2.409797; 2.399265; 2.400522; 2.401835; 2.398096; 2.395357; 2.394726; 2.391583; 2.387493; 2.384548; 2.378175; 2.370527; 2.363823; 2.360125; 2.359960; 2.367372; 2.380764; 2.394105; 2.406327; 2.421871; 2.447288; 2.479114; 2.508777; 2.537718; 2.562494; 2.591192; 2.626522; 2.659723; 2.692709; 2.727428; 2.753880; 2.781637; 2.830957; 2.890892; 2.950365; 3.006866; 3.057202; 3.104347; 3.156806; 3.221619; 3.295872; 3.375022; 3.456770; 3.545948; 3.617983; 3.675966; 3.718844; 3.740094; 3.745516; 3.743155; 3.736944; 3.720316; 3.700491; 3.682889; 3.668716; 3.654408; 3.627782; 3.602783; 3.579231; 3.556123; 3.540576; 3.528110; 3.516184; 3.504176; 3.494315; 3.487131; 3.480554; 3.473905; 3.467167; 3.459918; 3.452497; 3.445431; 3.441044; 3.438577; 3.436631; 3.435726; 3.436668; 3.438490; 3.440078; 3.441092; 3.441218; 3.441113; 3.441375; 3.442314; 3.443193; 3.444166; 3.443893; 3.441545; 3.438981; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
