Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 12:33:00
File Name; D:\Mahlo\TR\171010123300FP 4583_432 GSM0_THICKNESS2.txt

4502.5; 12:33:12; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.810217; 0.811522; 0.812336; 0.811609; 0.808860; 0.805888; 0.804836; 0.807301; 0.811305; 0.814398; 0.814495; 0.810674; 0.802997; 0.798859; 0.797739; 0.798866; 0.797290; 0.796780; 0.796698; 0.799494; 0.803577; 0.805986; 0.806082; 0.806111; 0.807073; 0.809482; 0.812746; 0.815544; 0.819329; 0.823585; 0.826780; 0.833186; 0.837439; 0.840314; 0.838179; 0.836021; 0.837245; 0.837020; 0.834943; 0.832921; 0.833336; 0.838252; 0.845860; 0.848702; 0.852262; 0.854920; 0.854628; 0.857894; 0.860887; 0.867653; 0.875219; 0.881477; 0.891052; 0.898883; 0.904033; 0.907939; 0.911303; 0.913563; 0.918506; 0.920497; 0.921967; 0.923963; 0.924133; 0.928189; 0.934400; 0.935413; 0.932350; 0.929535; 0.931623; 0.942139; 0.951414; 0.956788; 0.963088; 0.963328; 0.961012; 0.959125; 0.959342; 0.963295; 0.961611; 0.959768; 0.961236; 0.964291; 0.966564; 0.967467; 0.957644; 0.950526; 0.944937; 0.940062; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4505.2; 12:33:20; (); (); (); (); (); (); (); (); (); (); (); (); 0.790533; 0.787849; 0.785755; 0.783859; 0.782933; 0.785499; 0.788977; 0.793235; 0.797623; 0.798792; 0.799836; 0.806032; 0.807770; 0.807788; 0.809789; 0.817335; 0.823362; 0.829657; 0.837466; 0.842436; 0.845079; 0.844230; 0.843388; 0.847202; 0.850231; 0.849524; 0.843905; 0.843607; 0.846863; 0.849150; 0.847702; 0.849207; 0.850796; 0.851638; 0.852213; 0.853805; 0.857569; 0.861200; 0.865546; 0.872575; 0.880883; 0.883955; 0.887909; 0.889064; 0.892244; 0.898625; 0.906206; 0.910825; 0.915221; 0.919671; 0.922324; 0.920852; 0.918437; 0.915540; 0.914935; 0.917001; 0.924688; 0.925866; 0.928723; 0.930022; 0.929302; 0.927002; 0.926328; 0.927888; 0.930229; 0.933638; 0.940696; 0.950269; 0.960119; 0.963538; 0.964277; 0.967847; 0.975424; 0.976757; 0.976516; 0.976066; 0.976455; 0.978418; 0.975186; 0.970563; 0.968649; 0.970204; 0.968327; 0.963042; 0.962021; 0.961169; 0.958456; 0.954563; 0.957449; 0.960474; 0.962634; 0.964030; 0.962883; 0.966184; 0.971700; 0.974839; 0.972087; 0.970400; 0.971697; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4507.3; 12:33:28; (); (); (); (); (); (); (); (); (); (); (); (); 0.830865; 0.833607; 0.833470; 0.831242; 0.829036; 0.826827; 0.824587; 0.823143; 0.823374; 0.824743; 0.823975; 0.822623; 0.823038; 0.825921; 0.827607; 0.828589; 0.828148; 0.828426; 0.830595; 0.833888; 0.836450; 0.838952; 0.840976; 0.841158; 0.842178; 0.843782; 0.846971; 0.849190; 0.850267; 0.851346; 0.852316; 0.852091; 0.852849; 0.855458; 0.856442; 0.857237; 0.858072; 0.863880; 0.872874; 0.879304; 0.881954; 0.883748; 0.884507; 0.883871; 0.880922; 0.877630; 0.878373; 0.879682; 0.880794; 0.885391; 0.887872; 0.887015; 0.881097; 0.870257; 0.867651; 0.868893; 0.869422; 0.871171; 0.875811; 0.880864; 0.888122; 0.896372; 0.900367; 0.902233; 0.903997; 0.908702; 0.917979; 0.929571; 0.938593; 0.940140; 0.946640; 0.951307; 0.956176; 0.963629; 0.971729; 0.976885; 0.982471; 0.990778; 0.998752; 1.005709; 1.012017; 1.013989; 1.015939; 1.020103; 1.024417; 1.024700; 1.028129; 1.024324; 1.020560; 1.019085; 1.017035; 1.014711; 1.013352; 1.012450; 1.012030; 1.015905; 1.024140; 1.028188; 1.033299; 1.040924; 1.049436; 1.057207; 1.066524; 1.072170; 1.077130; 1.082369; 1.087158; 1.093251; 1.099404; 1.102699; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4509.3; 12:33:36; (); (); (); (); (); (); (); (); (); (); (); (); 0.820907; 0.832780; 0.841192; 0.847789; 0.853516; 0.856500; 0.860599; 0.862173; 0.862951; 0.865905; 0.870803; 0.876237; 0.882912; 0.886442; 0.886191; 0.883536; 0.881602; 0.875658; 0.870111; 0.867104; 0.865365; 0.862997; 0.861322; 0.862820; 0.865979; 0.868649; 0.868969; 0.868925; 0.869141; 0.869620; 0.869492; 0.869977; 0.872106; 0.871959; 0.872556; 0.875927; 0.876485; 0.882677; 0.887001; 0.888291; 0.889795; 0.892249; 0.892849; 0.890527; 0.889639; 0.895355; 0.901049; 0.906441; 0.912077; 0.914602; 0.911231; 0.907163; 0.901666; 0.900128; 0.899995; 0.900587; 0.903581; 0.907069; 0.915887; 0.920020; 0.919702; 0.920530; 0.928810; 0.931653; 0.936406; 0.945521; 0.955905; 0.963051; 0.969842; 0.976585; 0.979219; 0.976023; 0.974144; 0.969812; 0.967458; 0.968530; 0.967683; 0.958082; 0.950409; 0.945364; 0.943244; 0.943727; 0.944149; 0.942042; 0.939293; 0.940106; 0.944257; 0.949403; 0.956860; 0.959695; 0.960832; 0.966610; 0.978440; 0.992254; 1.001461; 1.006794; 1.010105; 1.018563; 1.024233; 1.030732; 1.040342; 1.046973; 1.049172; 1.051686; 1.057183; 1.062311; 1.064752; 1.065355; 1.065724; 1.067227; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4511.4; 12:33:44; (); (); (); (); (); (); (); (); (); (); (); (); 0.884108; 0.886051; 0.886888; 0.886257; 0.885823; 0.883183; 0.879289; 0.877535; 0.875260; 0.877243; 0.881961; 0.886753; 0.890004; 0.890545; 0.891918; 0.891240; 0.891591; 0.893002; 0.895055; 0.897713; 0.901226; 0.907071; 0.908500; 0.906502; 0.905949; 0.906261; 0.903299; 0.900131; 0.897793; 0.894359; 0.894605; 0.893057; 0.889560; 0.885752; 0.884776; 0.885032; 0.882911; 0.880747; 0.879013; 0.876949; 0.873057; 0.870933; 0.868628; 0.866657; 0.865453; 0.863697; 0.863597; 0.865160; 0.867495; 0.868685; 0.869598; 0.871594; 0.872992; 0.874886; 0.879000; 0.883730; 0.889051; 0.895485; 0.904360; 0.912533; 0.919009; 0.925876; 0.931100; 0.935666; 0.940289; 0.941840; 0.943664; 0.949330; 0.954985; 0.962783; 0.974835; 0.979596; 0.985031; 0.990605; 0.993866; 0.994544; 0.994276; 0.992329; 0.988136; 0.986310; 0.989712; 0.991679; 0.994642; 0.997068; 0.995740; 0.992049; 0.996933; 1.001781; 1.003392; 1.005555; 1.009974; 1.016099; 1.022778; 1.029731; 1.035153; 1.037163; 1.045209; 1.049466; 1.054236; 1.058605; 1.058217; 1.054279; 1.051034; 1.050101; 1.050276; 1.050115; 1.048628; 1.052264; 1.055474; 1.062893; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4513.4; 12:33:53; (); (); (); (); (); (); (); (); (); (); (); 0.878530; 0.881495; 0.886660; 0.885223; 0.879021; 0.876292; 0.875527; 0.879218; 0.884968; 0.888171; 0.894377; 0.900147; 0.909434; 0.916400; 0.915739; 0.915431; 0.922947; 0.929776; 0.941824; 0.962295; 0.969030; 0.971806; 0.970366; 0.968731; 0.970189; 0.972508; 0.974573; 0.975768; 0.975229; 0.983051; 1.019802; 1.013526; 1.023777; 1.041939; 1.040445; 1.052431; 1.068138; 1.083861; 1.091328; 1.094839; 1.105204; 1.112979; 1.117240; 1.130802; 1.151944; 1.123444; 1.122704; 1.104952; 1.085334; 1.083093; 1.075431; 1.063316; 1.049625; 1.038160; 1.032239; 1.024419; 1.014020; 1.008136; 0.995780; 0.979897; 0.978321; 0.980052; 0.979380; 0.976918; 0.972254; 0.966445; 0.965273; 0.969437; 0.972401; 0.970723; 0.964670; 0.961893; 0.960053; 0.960701; 0.962258; 0.962523; 0.961815; 0.964028; 0.965383; 0.966096; 0.968495; 0.974445; 0.979864; 0.985534; 0.993382; 1.002797; 1.008994; 1.008628; 1.006811; 1.004567; 1.002631; 1.004039; 1.003380; 1.005638; 1.013104; 1.022199; 1.026136; 1.025423; 1.024508; 1.024266; 1.024714; 1.026925; 1.033434; 1.035983; 1.039429; 1.044006; 1.048281; 1.052149; 1.056548; 1.052232; 1.043865; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4515.5; 12:34:01; (); (); (); (); (); (); (); (); (); (); (); 0.878530; 0.881859; 0.881213; 0.883209; 0.879205; 0.873429; 0.868343; 0.865531; 0.866245; 0.867013; 0.865790; 0.865293; 0.866122; 0.866834; 0.867675; 0.868012; 0.871331; 0.874332; 0.874228; 0.876698; 0.880776; 0.885046; 0.886826; 0.884427; 0.883716; 0.887017; 0.893170; 0.898864; 0.903175; 0.904189; 0.901297; 0.896720; 0.894484; 0.897006; 0.899935; 0.901846; 0.904600; 0.909377; 0.913738; 0.916258; 0.917829; 0.915664; 0.911626; 0.909592; 0.908813; 0.912619; 0.915491; 0.915748; 0.914514; 0.917988; 0.924129; 0.923076; 0.919393; 0.919407; 0.922967; 0.928412; 0.933972; 0.935866; 0.937621; 0.946823; 0.956387; 0.968690; 0.978842; 0.983005; 0.980034; 0.982649; 0.992055; 0.999915; 1.008525; 1.014552; 1.015425; 1.013823; 1.014756; 1.016867; 1.014138; 1.013417; 1.012399; 1.013911; 1.017778; 1.023980; 1.027086; 1.031424; 1.037384; 1.043554; 1.045370; 1.047664; 1.053363; 1.058591; 1.062535; 1.063863; 1.060382; 1.059158; 1.059548; 1.063485; 1.070411; 1.071830; 1.072493; 1.068745; 1.068082; 1.073128; 1.079792; 1.084159; 1.092018; 1.105017; 1.117401; 1.124330; 1.131197; 1.134738; 1.136318; 1.139348; 1.147499; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4517.5; 12:34:09; (); (); (); (); (); (); (); (); (); (); (); 0.878530; 5.815783; 5.808509; 5.785669; 5.763442; 5.745805; 5.729856; 5.722099; 5.739335; 5.737808; 5.717054; 5.684323; 5.648980; 5.613192; 5.577862; 5.544540; 5.527604; 5.518953; 5.514697; 5.512019; 5.510028; 5.508689; 5.500013; 5.488537; 5.479697; 5.470221; 5.465935; 5.455278; 5.445184; 5.439661; 5.434154; 5.410800; 5.383865; 5.355076; 5.324017; 5.295875; 5.264792; 5.238856; 5.204319; 5.163585; 5.130432; 5.096285; 5.067111; 5.036294; 5.008300; 4.974742; 4.948898; 4.930079; 4.902990; 4.869306; 4.836047; 4.799645; 4.761805; 4.736149; 4.702765; 4.662266; 4.633499; 4.590571; 4.534527; 4.480451; 4.434085; 4.366693; 4.299529; 4.209346; 4.101736; 3.980918; 3.821540; 3.679857; 3.542455; 3.373053; 3.178536; 3.010103; 2.850637; 2.680030; 2.498359; 2.297465; 2.094461; 1.924350; 1.771594; 1.637816; 1.535150; 1.456374; 1.385882; 1.305221; 1.239414; 1.201881; 1.168874; 1.152281; 1.107839; 1.080505; 1.067860; 1.067924; 1.067755; 1.075448; 1.088183; 1.100271; 1.111160; 1.118945; 1.125414; 1.130902; 1.133734; 1.132966; 1.137644; 1.139780; 1.143120; 1.146866; 1.148727; 1.144995; 1.134209; 1.133134; 1.129598; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4519.5; 12:34:17; (); (); (); (); (); (); (); (); (); (); (); (); 0.864358; 0.870906; 0.872238; 0.872380; 0.871605; 0.871112; 0.871740; 0.874195; 0.881323; 0.886650; 0.888951; 0.888247; 0.884573; 0.885858; 0.884265; 0.881664; 0.880158; 0.883527; 0.886894; 0.888268; 0.888278; 0.887680; 0.886492; 0.882800; 0.881968; 0.884258; 0.886888; 0.887741; 0.886505; 0.886688; 0.887174; 0.887067; 0.883678; 0.881565; 0.883018; 0.886102; 0.889920; 0.894885; 0.902475; 0.908173; 0.915394; 0.923306; 0.930769; 0.931865; 0.937026; 0.944289; 0.949116; 0.954059; 0.957517; 0.959371; 0.960892; 0.963306; 0.965522; 0.967377; 0.972307; 0.978649; 0.981520; 0.980456; 0.984806; 0.987789; 0.988097; 0.987924; 0.988121; 0.994075; 1.000444; 1.004123; 1.004441; 1.008822; 1.017035; 1.018812; 1.018113; 1.018521; 1.018967; 1.019832; 1.018938; 1.017255; 1.017048; 1.018639; 1.014325; 1.012502; 1.016219; 1.021475; 1.023851; 1.021410; 1.024727; 1.029330; 1.034460; 1.042088; 1.052712; 1.071648; 1.096676; 1.113679; 1.117812; 1.128331; 1.147608; 1.166674; 1.183002; 1.197961; 1.211387; 1.229164; 1.286709; 1.378855; 1.479070; 1.524722; 1.539350; 1.559854; 1.594301; 1.643534; 1.705758; 1.768822; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4521.6; 12:34:25; (); (); (); (); (); (); (); (); (); (); (); 5.900024; 5.900067; 5.863768; 5.825175; 5.784894; 5.749403; 5.718987; 5.702822; 5.690616; 5.655924; 5.617978; 5.571080; 5.488876; 5.410985; 5.341904; 5.283923; 5.235388; 5.212703; 5.202522; 5.200686; 5.202366; 5.202817; 5.200641; 5.206887; 5.217114; 5.221118; 5.226665; 5.248657; 5.268315; 5.274781; 5.273238; 5.268972; 5.260781; 5.245104; 5.230969; 5.211839; 5.182697; 5.146075; 5.111365; 5.085757; 5.049024; 4.998242; 4.951198; 4.900026; 4.855056; 4.813785; 4.767429; 4.712824; 4.666680; 4.614209; 4.565516; 4.527265; 4.494491; 4.467485; 4.434782; 4.402647; 4.377556; 4.362018; 4.344691; 4.323967; 4.298968; 4.261056; 4.221867; 4.177499; 4.120012; 4.065835; 4.009719; 3.942425; 3.870990; 3.806782; 3.734420; 3.655013; 3.571910; 3.481230; 3.384131; 3.263287; 3.141919; 3.001123; 2.849258; 2.713019; 2.610146; 2.487814; 2.341307; 2.194055; 2.058181; 1.927095; 1.787512; 1.668997; 1.547134; 1.421330; 1.349914; 1.298353; 1.257883; 1.234876; 1.232116; 1.215501; 1.197831; 1.177403; 1.162564; 1.156809; 1.151959; 1.147980; 1.148901; 1.152847; 1.158718; 1.163473; 1.171468; 1.175537; 1.170679; 1.144765; 1.120923; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4523.6; 12:34:33; (); (); (); (); (); (); (); (); (); (); (); 0.928507; 0.934775; 0.942700; 0.944811; 0.942879; 0.935750; 0.927965; 0.922980; 0.913918; 0.902936; 0.904162; 0.910019; 0.915674; 0.920396; 0.922070; 0.921919; 0.918366; 0.913354; 0.908218; 0.904914; 0.908730; 0.915626; 0.920554; 0.921785; 0.919446; 0.918258; 0.919924; 0.920890; 0.922395; 0.924676; 0.926324; 0.928409; 0.933166; 0.943400; 0.952839; 0.957659; 0.960374; 0.961678; 0.965127; 0.971732; 0.981280; 0.985927; 0.991047; 0.994585; 0.995734; 0.993682; 0.993118; 0.992306; 0.990619; 0.988923; 0.990871; 1.023174; 1.045285; 1.055442; 1.062726; 1.071357; 1.145935; 1.211776; 1.252666; 1.288712; 1.356852; 1.441311; 1.524316; 1.635236; 1.764450; 1.863057; 1.925198; 2.016999; 2.110677; 2.190351; 2.243035; 2.233617; 2.234841; 2.245997; 2.245713; 2.226845; 2.188955; 2.132972; 2.033081; 1.960129; 1.956335; 1.913211; 1.938043; 2.027521; 2.126721; 2.219285; 2.271394; 2.333629; 2.504427; 2.890141; 3.405359; 3.928182; 4.513115; 5.139544; 5.701832; 6.169877; 6.766506; 7.303975; 7.731634; 8.201076; 8.711718; 9.324666; 9.873678; 10.330530; 10.557599; 10.608125; 10.665282; 10.688068; 10.771168; 10.930706; 11.082144; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
