Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-10; 12:33:00
File Name; D:\Mahlo\TR\171010123300FP 4583_432 GSM0_FMI2.txt

4502.5; 12:33:12; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 433.870882; 432.994962; 431.547552; 429.982811; 429.425895; 429.455668; 429.417282; 430.241436; 430.667579; 430.709660; 430.688888; 430.323899; 429.642439; 428.760082; 427.469820; 426.360935; 425.974131; 425.828815; 426.498085; 426.797688; 426.558435; 426.490456; 425.289273; 424.748003; 424.940377; 425.045282; 425.616741; 426.491082; 427.037448; 428.047091; 429.684281; 430.639029; 431.702971; 432.943702; 433.261871; 433.049232; 432.515919; 431.932807; 431.023747; 430.228084; 429.897726; 429.714501; 429.490775; 430.001855; 431.115985; 431.405902; 431.733608; 432.350636; 433.405787; 436.741322; 441.543430; 444.748431; 447.255790; 449.347794; 451.141298; 453.735501; 457.136631; 460.113585; 461.864233; 463.208407; 466.398418; 470.776439; 474.678248; 477.858990; 479.099154; 479.342997; 480.712920; 482.149988; 483.602405; 484.615117; 484.143287; 483.232766; 481.860936; 480.449319; 479.435503; 478.829443; 477.851272; 476.786703; 476.263493; 477.212191; 477.273107; 476.096690; 476.159751; 477.071643; 478.472620; 480.385929; 482.788473; 484.730631; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4505.2; 12:33:20; (); (); (); (); (); (); (); (); (); (); (); (); 418.960899; 419.229686; 418.306500; 416.428298; 415.119886; 415.659487; 416.563451; 416.734457; 418.079674; 419.141769; 419.540703; 420.451373; 421.681136; 423.202068; 423.961222; 424.711257; 425.704479; 428.394079; 432.246268; 434.884965; 435.525149; 435.358793; 435.599983; 435.189754; 434.848160; 435.153186; 435.375541; 434.703916; 434.193522; 434.163064; 434.617609; 435.155660; 435.817361; 436.065376; 435.998440; 436.607093; 437.610865; 439.210773; 440.938830; 442.805678; 444.960684; 447.475463; 449.782580; 451.325953; 451.847821; 451.933235; 452.488482; 452.125996; 452.936620; 455.533296; 458.260149; 459.960729; 460.189432; 460.155159; 460.671902; 461.728096; 463.474244; 464.869440; 466.935366; 470.717579; 474.430025; 479.199290; 483.262748; 485.457212; 487.380713; 489.113033; 490.801334; 492.213309; 493.748069; 494.414866; 493.473858; 491.983473; 491.488010; 491.139919; 491.054416; 491.278648; 490.397364; 489.513785; 489.297062; 489.305943; 488.470733; 488.409251; 489.176869; 489.124835; 489.838004; 491.799086; 493.703336; 495.054394; 495.906979; 494.966686; 493.964702; 493.919820; 493.948400; 493.090898; 491.754264; 491.718143; 492.312759; 493.059039; 494.622231; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4507.3; 12:33:28; (); (); (); (); (); (); (); (); (); (); (); (); 406.715482; 407.010764; 407.458514; 408.190459; 409.520268; 411.052316; 412.392288; 413.020998; 414.278537; 416.324168; 418.095618; 419.270933; 420.247883; 421.379447; 422.283649; 422.980964; 423.899770; 424.054772; 424.102485; 424.087614; 424.091101; 423.782200; 422.649086; 420.932651; 419.763863; 419.159442; 419.091135; 419.344813; 420.068204; 421.398312; 422.874659; 424.249619; 425.329894; 426.378876; 427.499145; 428.771138; 430.307925; 432.357728; 434.234470; 436.839104; 438.695550; 440.676033; 442.913771; 443.628192; 443.717301; 444.006532; 444.917679; 446.572959; 448.218226; 448.218614; 447.428912; 447.101772; 446.572572; 447.368801; 448.785722; 450.033128; 450.273961; 449.998319; 449.258298; 448.179990; 447.304070; 446.353793; 446.363300; 446.831524; 447.959393; 450.226933; 453.018427; 455.883831; 456.909925; 456.714571; 456.584245; 458.127588; 462.107927; 467.833668; 474.450618; 479.941249; 483.929127; 486.815751; 488.741428; 491.106272; 493.089527; 493.798971; 495.245486; 498.144835; 501.280785; 505.746007; 508.974373; 510.124028; 511.543036; 512.015104; 511.783004; 511.610866; 511.997998; 513.124883; 514.957190; 517.049789; 519.963026; 522.736311; 524.854660; 525.949895; 526.562274; 527.378738; 528.111935; 528.099537; 527.669907; 528.533995; 531.122625; 533.872604; 535.954595; 537.834644; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4509.3; 12:33:36; (); (); (); (); (); (); (); (); (); (); (); (); 429.681152; 429.967493; 429.368019; 427.508831; 426.269442; 426.005214; 425.821424; 424.613535; 424.419165; 425.034314; 425.697088; 426.483244; 427.783072; 428.613484; 428.592861; 428.648472; 428.976238; 430.043429; 432.467878; 434.406549; 435.057491; 435.263395; 435.040027; 433.447599; 433.515042; 434.042603; 434.450537; 433.576524; 432.081878; 430.736393; 430.055916; 430.217743; 430.981249; 431.509763; 433.205515; 435.053259; 436.815381; 437.317342; 438.070059; 438.233793; 438.945502; 440.411180; 442.221224; 444.833785; 448.394239; 451.652527; 453.299284; 453.762949; 454.348832; 453.603894; 452.620447; 452.448398; 453.439593; 455.081135; 457.357973; 458.703786; 458.822459; 457.735121; 457.237452; 456.531584; 456.709623; 457.607746; 458.054841; 457.744092; 457.467109; 458.369404; 458.787471; 459.008425; 459.216207; 459.708393; 460.432798; 461.953044; 464.851648; 466.839999; 469.036698; 471.619427; 474.192977; 476.022810; 477.908939; 480.554432; 482.157171; 484.191000; 487.275422; 489.816040; 490.883142; 491.770834; 493.590683; 495.220393; 497.459531; 499.811620; 501.034200; 502.238452; 504.881501; 507.341146; 509.159684; 512.295961; 515.951276; 519.565105; 523.536205; 527.486503; 530.916631; 533.136666; 534.884036; 535.522640; 535.728455; 536.111951; 536.538482; 537.335277; 539.754629; 542.959929; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4511.4; 12:33:44; (); (); (); (); (); (); (); (); (); (); (); (); 425.051928; 425.671369; 425.614744; 426.198095; 426.620334; 426.713228; 427.240044; 428.108215; 429.843068; 431.512117; 432.170987; 432.119727; 432.168901; 432.669222; 433.181256; 433.621943; 434.955955; 436.675251; 437.685966; 438.866556; 439.634174; 439.146698; 438.215971; 437.430322; 437.833816; 438.807935; 438.993305; 438.475370; 438.975751; 440.418810; 440.951914; 440.100193; 438.716263; 437.463641; 436.159790; 434.892446; 434.575021; 435.714304; 437.127084; 437.951684; 438.504905; 439.934433; 441.430002; 441.736221; 441.057384; 441.023082; 441.119581; 439.976275; 439.321607; 439.238429; 439.405978; 441.072911; 442.448080; 443.147331; 443.955570; 445.633620; 447.477758; 447.867483; 447.272032; 446.086586; 445.606232; 446.528405; 449.655414; 452.819914; 456.302494; 459.420323; 461.214125; 462.111712; 462.735713; 464.090258; 465.428323; 466.337025; 469.287515; 474.277794; 479.245126; 482.769996; 484.385610; 485.531509; 486.843944; 487.999529; 490.383446; 493.350089; 495.260090; 496.532738; 496.832788; 497.059107; 497.150362; 498.204947; 499.344915; 500.281990; 501.460671; 503.865004; 506.365836; 508.260608; 510.567129; 512.900949; 515.058637; 518.084884; 521.418333; 523.429275; 523.519158; 522.702336; 520.717442; 517.894268; 517.462492; 517.938435; 518.249035; 518.841803; 519.061625; 516.246438; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4513.4; 12:33:53; (); (); (); (); (); (); (); (); (); (); (); 452.216268; 456.050873; 463.113517; 465.688258; 465.302736; 464.317977; 463.448972; 463.464171; 464.316070; 464.953840; 465.886950; 467.936546; 470.474094; 472.224325; 473.046124; 472.279668; 469.070703; 465.212911; 462.760836; 462.395221; 462.913603; 462.746918; 461.665183; 461.015254; 460.086584; 458.840609; 457.135409; 454.564452; 451.635718; 448.106974; 444.950432; 442.964196; 441.968679; 441.574961; 440.742344; 440.646410; 442.239910; 444.132656; 445.191056; 446.543694; 449.835360; 454.864442; 459.511936; 463.224232; 467.282563; 472.111225; 475.880831; 478.412867; 480.248481; 481.492937; 481.368214; 480.379522; 478.955299; 476.354629; 473.136842; 469.460994; 464.906693; 461.091906; 459.099412; 457.619578; 457.158446; 457.727700; 458.186805; 458.778948; 460.318416; 461.083710; 460.736424; 462.322623; 467.083544; 472.346187; 475.732923; 478.565395; 481.520236; 483.392984; 485.172510; 486.564457; 487.132579; 488.462776; 491.357267; 494.499952; 498.365045; 504.591942; 509.496272; 512.531996; 514.001608; 515.924931; 517.277896; 518.367887; 519.717753; 519.285381; 519.394219; 520.499945; 520.751238; 520.022690; 519.788563; 520.284534; 521.178961; 521.531343; 521.659195; 522.472203; 523.726165; 525.890887; 528.712094; 531.261921; 533.856869; 536.272347; 538.771451; 541.945815; 545.114815; 547.775328; 548.952043; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4515.5; 12:34:01; (); (); (); (); (); (); (); (); (); (); (); 452.216268; 452.873409; 451.939940; 450.217992; 448.522806; 448.558122; 448.731542; 449.019015; 449.771166; 451.591522; 453.295410; 455.309361; 456.603229; 455.010384; 452.393889; 450.579733; 449.944615; 450.157553; 450.911790; 452.303767; 452.681065; 452.759355; 451.776624; 449.614614; 447.164416; 444.861472; 442.337245; 441.717863; 442.607880; 444.091111; 444.087595; 441.836357; 440.246105; 438.780636; 437.693030; 438.125819; 439.702749; 444.129109; 449.944168; 455.384791; 460.190624; 464.490622; 467.594892; 469.628036; 470.365554; 472.129732; 475.781590; 479.689300; 482.467443; 484.003812; 484.417796; 484.715343; 484.470785; 482.821673; 481.591821; 481.545061; 482.221246; 483.372480; 484.981596; 486.809105; 488.348722; 490.229398; 492.335379; 494.511157; 496.064603; 497.579187; 498.577744; 499.041498; 499.382585; 498.341799; 496.885896; 496.409655; 497.050315; 499.016821; 502.007008; 504.965484; 506.404221; 506.792009; 507.097244; 508.302271; 510.204434; 511.409402; 512.274861; 513.678014; 516.251445; 519.740343; 521.992087; 522.507966; 521.864295; 520.961344; 521.261215; 522.709846; 524.028599; 525.407016; 526.821911; 527.798593; 527.608395; 527.405441; 529.449403; 532.699585; 535.200119; 538.528502; 542.387962; 545.476377; 546.646595; 547.097981; 548.090160; 549.860477; 552.436531; 554.678798; 558.780968; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4517.5; 12:34:09; (); (); (); (); (); (); (); (); (); (); (); 452.216268; 437.523991; 438.859791; 441.182464; 442.498028; 442.452073; 442.603916; 442.892492; 445.345551; 446.347445; 447.031915; 448.170304; 449.878126; 451.051772; 451.451927; 450.298905; 449.125379; 448.772371; 448.436648; 448.946118; 450.318485; 451.826274; 453.200638; 453.098357; 451.677412; 450.318307; 448.688567; 446.682096; 444.853365; 444.327474; 443.633765; 443.303585; 442.843169; 441.698700; 439.448267; 436.328828; 433.552861; 432.231754; 432.032615; 433.537543; 436.777294; 440.389752; 443.864465; 447.527885; 450.386733; 453.495800; 456.174016; 457.749188; 459.014684; 461.861491; 465.768456; 469.103426; 471.317261; 473.378062; 474.998295; 475.436687; 475.725561; 475.888491; 476.152420; 477.732688; 480.363816; 482.559472; 484.260380; 486.172646; 486.653596; 487.138510; 488.847286; 490.156919; 491.631210; 493.669033; 495.364934; 496.665388; 499.374390; 503.647089; 506.888807; 509.024203; 511.713564; 514.680982; 518.199742; 522.219181; 524.093390; 524.501979; 524.565041; 524.797976; 525.623679; 527.512908; 529.377043; 529.215395; 527.723074; 526.872754; 526.715398; 527.409554; 527.832568; 527.753651; 527.009606; 527.240276; 530.247688; 534.809411; 538.436294; 540.169895; 540.353954; 540.176213; 540.593863; 541.761339; 542.944729; 543.630660; 543.893516; 544.445515; 545.742929; 548.232317; 551.456988; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4519.5; 12:34:17; (); (); (); (); (); (); (); (); (); (); (); (); 421.907246; 424.399525; 426.945150; 428.779006; 429.363757; 430.006802; 431.295246; 433.262289; 436.514825; 439.920217; 442.570210; 444.920003; 446.963906; 449.039102; 450.153857; 450.559288; 450.624645; 450.922936; 452.645898; 455.699533; 459.066719; 461.439073; 462.051809; 461.988449; 460.845351; 458.967179; 457.523406; 456.531674; 455.081373; 455.085576; 455.839634; 456.534117; 456.257790; 454.600573; 450.865149; 446.752489; 444.473594; 445.849717; 448.525041; 451.626271; 455.230653; 457.800746; 459.244102; 460.856676; 461.485147; 461.544216; 461.811274; 464.638412; 469.332516; 474.117756; 478.256583; 481.391132; 482.225209; 481.791526; 481.947601; 483.618349; 485.942572; 488.900900; 492.463797; 495.869756; 498.833537; 501.709402; 502.412617; 501.760781; 502.110243; 504.342496; 505.997598; 506.976187; 508.283615; 509.565413; 510.047078; 511.278570; 513.484180; 515.785754; 518.881798; 521.746337; 522.441447; 523.251712; 524.281979; 523.892343; 521.734953; 520.532370; 519.953251; 519.491434; 518.794954; 517.713249; 515.931666; 513.913035; 511.585176; 509.385347; 508.375525; 509.699583; 510.405898; 510.946691; 512.851894; 517.197549; 520.135522; 522.674561; 525.291562; 527.534664; 531.024456; 535.506845; 539.142013; 541.573644; 543.323219; 544.352531; 545.282245; 547.314823; 549.704492; 550.761282; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4521.6; 12:34:25; (); (); (); (); (); (); (); (); (); (); (); 482.355982; 481.187075; 479.688555; 480.268866; 480.409205; 479.273021; 477.180123; 475.065857; 471.945405; 469.382226; 468.321353; 467.835039; 466.991514; 465.632439; 464.413911; 463.076025; 461.425006; 460.239738; 459.139377; 458.333880; 458.646119; 459.858745; 462.167263; 463.211030; 461.758852; 459.299803; 457.206368; 456.532866; 457.030863; 457.302988; 457.705259; 458.526522; 459.119946; 460.038304; 460.991532; 460.470498; 459.657967; 458.899319; 459.473044; 461.835057; 466.571689; 472.341657; 476.432830; 480.137229; 484.510243; 488.050073; 490.902811; 492.922872; 492.000312; 490.974396; 492.083609; 493.149310; 494.348705; 494.719386; 495.270848; 495.747060; 496.268243; 496.113241; 496.208459; 496.060967; 495.114774; 494.880825; 495.899677; 499.210835; 504.506230; 507.872999; 510.008633; 512.225688; 513.913453; 514.765561; 515.365541; 516.000628; 516.247809; 515.813231; 516.136646; 518.204927; 521.451175; 524.650633; 525.871098; 525.297105; 525.046647; 525.639296; 526.753902; 527.571142; 527.474046; 528.183997; 528.876126; 529.425085; 529.809773; 530.072629; 529.699028; 528.791070; 528.548479; 528.160393; 529.253721; 532.236040; 536.189377; 539.825141; 542.473972; 545.453966; 548.087120; 550.478518; 552.960396; 555.890262; 558.742106; 561.021566; 562.732816; 564.159691; 567.073166; 569.778502; 569.941223; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4523.6; 12:34:33; (); (); (); (); (); (); (); (); (); (); (); 472.894758; 474.268705; 474.974453; 474.925965; 474.378556; 473.840386; 474.270225; 475.284755; 477.301419; 480.389833; 482.520521; 484.108746; 484.910309; 483.735442; 481.970608; 479.516864; 476.374418; 474.697441; 474.400908; 474.216491; 473.714828; 472.428083; 470.739037; 467.669308; 464.215785; 461.766094; 460.834980; 461.098313; 462.258279; 463.151038; 464.393497; 465.181410; 465.415269; 464.517444; 463.673741; 463.457495; 463.719457; 465.630502; 468.696982; 471.912980; 475.130647; 477.427006; 480.140865; 483.911276; 489.094138; 494.008541; 497.659475; 500.685930; 503.556907; 505.426586; 506.730735; 507.196665; 506.090760; 504.640400; 503.473520; 502.939105; 502.067327; 501.130044; 500.331938; 500.090718; 501.052678; 502.882957; 504.831135; 507.037818; 509.727299; 512.784064; 515.768945; 518.774807; 522.032261; 525.899053; 529.805183; 532.562554; 534.427464; 534.195423; 532.309532; 530.920267; 531.139612; 533.380151; 536.370933; 539.180398; 541.943371; 545.585036; 549.165606; 550.631583; 550.674558; 549.958766; 550.044239; 550.876260; 550.401211; 549.211502; 549.106836; 548.661530; 546.164393; 544.063389; 544.546008; 546.171248; 546.245992; 545.398235; 545.997083; 547.278643; 548.706949; 550.108671; 551.327646; 553.775609; 556.707382; 558.743536; 560.477853; 563.410521; 565.095961; 563.030243; 560.678482; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
