Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-25; 13:10:01
File Name; D:\Mahlo\TR\171025131001FP 4583_432 GSM0_XMF2.txt

6629.0; 13:14:17; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -395.722628; -385.246944; -333.413100; -290.247703; -254.185820; -227.497983; -195.375025; -156.665814; -114.404023; -74.501050; -33.426297; -0.768531; 0.489350; 0.494480; 0.500851; 0.507072; 0.512112; 0.515675; 0.517123; 0.517007; 0.514455; 0.509677; 0.504849; 0.500230; 0.496757; 0.495634; 0.494071; 0.492101; 0.491593; 0.492059; 0.494417; 0.498914; 0.503822; 0.507936; 0.510387; 0.512419; 0.517155; 0.524303; 0.529603; 0.531778; 0.530443; 0.525194; 0.517323; 0.512262; 0.508877; 0.504114; 0.498180; 0.491639; 0.485341; 0.481937; 0.482537; 0.485345; 0.488209; 0.489573; 0.489203; 0.489119; 0.490392; 0.493661; 0.498478; 0.501961; 0.503259; 0.504180; 0.505731; 0.508408; 0.512771; 0.517308; 0.520139; 0.519636; 0.517274; 0.513786; 0.510110; 0.507383; 0.503522; 0.497768; 0.492458; 0.488344; 0.485213; 0.485155; 0.487713; 0.490773; 0.493240; 0.496561; 0.501164; 0.504468; 0.506494; 0.507577; 0.509379; 0.510272; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6632.1; 13:14:29; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.505394; 0.508585; 0.513254; 0.516214; 0.516556; 0.516425; 0.518359; 0.517981; 0.516721; 0.515314; 0.513843; 0.510843; 0.507735; 0.502391; 0.500625; 0.501309; 0.504084; 0.506499; 0.507578; 0.507969; 0.510740; 0.516770; 0.522775; 0.527803; 0.531654; 0.532866; 0.532298; 0.532151; 0.532627; 0.533032; 0.531219; 0.527346; 0.521541; 0.514048; 0.507801; 0.504609; 0.503213; 0.502364; 0.501135; 0.499789; 0.497863; 0.494522; 0.492414; 0.494662; 0.499724; 0.505891; 0.510153; 0.511070; 0.510747; 0.511397; 0.513274; 0.514657; 0.513203; 0.508621; 0.501630; 0.493737; 0.486499; 0.480662; 0.477264; 0.474658; 0.472566; 0.473245; 0.475661; 0.475913; 0.473622; 0.471324; 0.471818; 0.475068; 0.476812; 0.476963; 0.476882; 0.476152; 0.476331; 0.478814; 0.483380; 0.488934; 0.491772; 0.492430; 0.495717; 0.501008; 0.505869; 0.510683; 0.513451; 0.514074; 0.513458; 0.511996; 0.510690; 0.509000; 0.504844; 0.499545; 0.495131; 0.491505; 0.489307; 0.488891; 0.488733; 0.489129; 0.489505; 0.489952; 0.491202; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6634.5; 13:14:37; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.527546; 0.527613; 0.523893; 0.520371; 0.516757; 0.513184; 0.510200; 0.507852; 0.507528; 0.505222; 0.502329; 0.493944; 0.478443; 0.465275; 0.452379; 0.438844; 0.426725; 0.418446; 0.410893; 0.403439; 0.394309; 0.382446; 0.370774; 0.361221; 0.352045; 0.340118; 0.336901; 0.338046; 0.338278; 0.337214; 0.334251; 0.330989; 0.327733; 0.324073; 0.321074; 0.318777; 0.317445; 0.316940; 0.316928; 0.316695; 0.315898; 0.314473; 0.312422; 0.310177; 0.308054; 0.306293; 0.304844; 0.303238; 0.301551; 0.299695; 0.298755; 0.298002; 0.296612; 0.294426; 0.292049; 0.290259; 0.289361; 0.289934; 0.292047; 0.294069; 0.295608; 0.297006; 0.298750; 0.300403; 0.301230; 0.301334; 0.302008; 0.304051; 0.307258; 0.310907; 0.313107; 0.314124; 0.314486; 0.315584; 0.318181; 0.322154; 0.325900; 0.328517; 0.330653; 0.333349; 0.335313; 0.336383; 0.336840; 0.336601; 0.336350; 0.336719; 0.337119; 0.337015; 0.335702; 0.333338; 0.330684; 0.328376; 0.326891; 0.325758; 0.324215; 0.322433; 0.321395; 0.321496; 0.322601; 0.324759; 0.326741; 0.328077; 0.328455; 0.326980; 0.324822; 0.325322; 0.325587; 0.325590; 0.326329; 0.328662; 0.331299; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6636.1; 13:14:46; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.344215; 0.344964; 0.344893; 0.343076; 0.341105; 0.339492; 0.338341; 0.338612; 0.340786; 0.341735; 0.341585; 0.340584; 0.338519; 0.336008; 0.333687; 0.332506; 0.332204; 0.332136; 0.332427; 0.333047; 0.334018; 0.335035; 0.335378; 0.335037; 0.333514; 0.331776; 0.330017; 0.328702; 0.327905; 0.326851; 0.325189; 0.323272; 0.322150; 0.322074; 0.322256; 0.322084; 0.321404; 0.320620; 0.320304; 0.321048; 0.322406; 0.324392; 0.326971; 0.329299; 0.330836; 0.331532; 0.331668; 0.330975; 0.329556; 0.327384; 0.324767; 0.322586; 0.320729; 0.319247; 0.318475; 0.318138; 0.317796; 0.317036; 0.315755; 0.314535; 0.313351; 0.312150; 0.311442; 0.311542; 0.312669; 0.313949; 0.315359; 0.316477; 0.316957; 0.317421; 0.318482; 0.319978; 0.321470; 0.323373; 0.326070; 0.329108; 0.332501; 0.335460; 0.336822; 0.337045; 0.336731; 0.336590; 0.337037; 0.337953; 0.338128; 0.337396; 0.335780; 0.333607; 0.330630; 0.327205; 0.324005; 0.320671; 0.318362; 0.317373; 0.317332; 0.317973; 0.318992; 0.320243; 0.320564; 0.321031; 0.321579; 0.322744; 0.323467; 0.322639; 0.322205; 0.323538; 0.324792; 0.326380; 0.328127; 0.329551; 0.330110; 0.329459; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6637.8; 13:14:54; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.332914; 0.335875; 0.335204; 0.334407; 0.332949; 0.332276; 0.331701; 0.331370; 0.334439; 0.336755; 0.338720; 0.339583; 0.340220; 0.339107; 0.336710; 0.334482; 0.332396; 0.332871; 0.333612; 0.334868; 0.335463; 0.335953; 0.336454; 0.336936; 0.337904; 0.338328; 0.338996; 0.339864; 0.340922; 0.341708; 0.341465; 0.340967; 0.340200; 0.339323; 0.338155; 0.336661; 0.334747; 0.332304; 0.329561; 0.327328; 0.325805; 0.324419; 0.322901; 0.321615; 0.320270; 0.319205; 0.318031; 0.317099; 0.316579; 0.316916; 0.317845; 0.318943; 0.319057; 0.318001; 0.315904; 0.313989; 0.312728; 0.312413; 0.312706; 0.314453; 0.318077; 0.321816; 0.324549; 0.326508; 0.327775; 0.328943; 0.331021; 0.334764; 0.339884; 0.345991; 0.350588; 0.352952; 0.353603; 0.353015; 0.351600; 0.349769; 0.347771; 0.346935; 0.346976; 0.347068; 0.346262; 0.344428; 0.342237; 0.339736; 0.336812; 0.333923; 0.331442; 0.329718; 0.328779; 0.328112; 0.327527; 0.327304; 0.327236; 0.327447; 0.328084; 0.329478; 0.331057; 0.331719; 0.331833; 0.331674; 0.331701; 0.331896; 0.331626; 0.329973; 0.324830; 0.321593; 0.320553; 0.319117; 0.316554; 0.312841; 0.307926; 0.304777; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6639.4; 13:15:02; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.347308; 0.351080; 0.353251; 0.353820; 0.353618; 0.353063; 0.353184; 0.355949; 0.355679; 0.352880; 0.350234; 0.348605; 0.347944; 0.346852; 0.344165; 0.340819; 0.337285; 0.335187; 0.335140; 0.335908; 0.336455; 0.335975; 0.334741; 0.333310; 0.331553; 0.329535; 0.327896; 0.326909; 0.326213; 0.325953; 0.326224; 0.325950; 0.324655; 0.322996; 0.321047; 0.319365; 0.319139; 0.319863; 0.321150; 0.322149; 0.322060; 0.320954; 0.318702; 0.315021; 0.310728; 0.307471; 0.305119; 0.303155; 0.301298; 0.298920; 0.295353; 0.291106; 0.287590; 0.285203; 0.283642; 0.283111; 0.283130; 0.283856; 0.286424; 0.289829; 0.292843; 0.294332; 0.294048; 0.293309; 0.293542; 0.295508; 0.297853; 0.299202; 0.300083; 0.301274; 0.302905; 0.305130; 0.307583; 0.308606; 0.308584; 0.308654; 0.309453; 0.311149; 0.313615; 0.315768; 0.315813; 0.314613; 0.313463; 0.312632; 0.310843; 0.307722; 0.304187; 0.300880; 0.299560; 0.299137; 0.299244; 0.298649; 0.297661; 0.296646; 0.295994; 0.296491; 0.298255; 0.301047; 0.303641; 0.307485; 0.311287; 0.313600; 0.315416; 0.312408; 0.310577; 0.310297; 0.310275; 0.310538; 0.309927; 0.309767; 0.309354; 0.308966; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6641.1; 13:15:10; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.329702; 0.328482; 0.327476; 0.326722; 0.326752; 0.326610; 0.327201; 0.329206; 0.334308; 0.337297; 0.338376; 0.338734; 0.337421; 0.335756; 0.334292; 0.334204; 0.334176; 0.333724; 0.333531; 0.333401; 0.333760; 0.332761; 0.331041; 0.328780; 0.325395; 0.321583; 0.318325; 0.316374; 0.315566; 0.315695; 0.316055; 0.316518; 0.317269; 0.317942; 0.317975; 0.317538; 0.317424; 0.317857; 0.318470; 0.318712; 0.318200; 0.317121; 0.315596; 0.312978; 0.309726; 0.305243; 0.299729; 0.294892; 0.290866; 0.286317; 0.281225; 0.277494; 0.274416; 0.271424; 0.269442; 0.269013; 0.270056; 0.271678; 0.273431; 0.275128; 0.277283; 0.278787; 0.279509; 0.280312; 0.282675; 0.286344; 0.289494; 0.292016; 0.293491; 0.293715; 0.293055; 0.292020; 0.290473; 0.289342; 0.289760; 0.292081; 0.295054; 0.298268; 0.301475; 0.303375; 0.304283; 0.304504; 0.304371; 0.305305; 0.307706; 0.310199; 0.312778; 0.315882; 0.319052; 0.321788; 0.323561; 0.324885; 0.326108; 0.327857; 0.330327; 0.332737; 0.335580; 0.339367; 0.343126; 0.346286; 0.348539; 0.350321; 0.350724; 0.349243; 0.346548; 0.346689; 0.347489; 0.348087; 0.348055; 0.347254; 0.345239; 0.308966; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6642.7; 13:15:19; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.266679; 0.274894; 0.280353; 0.282635; 0.283278; 0.283455; 0.284836; 0.291094; 0.295892; 0.298125; 0.300379; 0.303460; 0.306863; 0.309249; 0.310113; 0.310423; 0.310536; 0.310647; 0.311922; 0.314892; 0.318485; 0.321486; 0.323826; 0.325607; 0.327056; 0.327820; 0.328269; 0.328670; 0.328947; 0.328475; 0.327599; 0.327329; 0.327983; 0.328972; 0.329704; 0.329393; 0.328427; 0.327039; 0.325337; 0.324180; 0.324090; 0.324106; 0.323776; 0.323736; 0.324001; 0.323225; 0.319155; 0.312408; 0.306369; 0.301926; 0.299376; 0.298343; 0.298002; 0.297911; 0.297720; 0.297460; 0.296991; 0.296163; 0.295098; 0.294642; 0.296148; 0.299875; 0.305177; 0.308860; 0.309645; 0.309332; 0.309398; 0.311390; 0.315034; 0.318446; 0.320967; 0.322743; 0.324441; 0.326362; 0.327683; 0.328199; 0.328769; 0.330356; 0.332541; 0.335253; 0.337835; 0.339500; 0.339825; 0.339298; 0.337771; 0.336001; 0.334163; 0.331955; 0.329902; 0.328194; 0.326726; 0.324853; 0.322153; 0.320349; 0.318455; 0.316809; 0.314818; 0.312633; 0.310082; 0.307941; 0.307982; 0.308803; 0.309650; 0.308193; 0.308013; 0.308524; 0.309103; 0.310356; 0.310482; 0.310524; 0.310128; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6644.3; 13:15:27; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.316332; 0.319979; 0.322422; 0.322684; 0.322450; 0.322278; 0.323750; 0.326498; 0.333211; 0.338023; 0.338765; 0.338916; 0.337847; 0.335689; 0.331565; 0.328609; 0.326373; 0.324341; 0.323855; 0.324328; 0.325950; 0.327272; 0.327875; 0.327708; 0.327687; 0.327752; 0.327619; 0.327663; 0.327799; 0.328206; 0.328294; 0.328021; 0.327393; 0.326322; 0.324875; 0.322334; 0.318773; 0.315425; 0.312245; 0.309257; 0.307399; 0.305849; 0.304588; 0.303895; 0.303619; 0.303220; 0.302844; 0.302685; 0.302441; 0.301848; 0.301595; 0.301993; 0.302404; 0.302466; 0.301663; 0.300334; 0.299443; 0.299044; 0.298701; 0.298603; 0.299501; 0.301188; 0.303611; 0.306300; 0.308317; 0.309121; 0.309287; 0.309520; 0.310756; 0.313488; 0.317617; 0.321712; 0.325342; 0.327741; 0.329003; 0.329274; 0.328851; 0.327766; 0.326619; 0.325844; 0.325481; 0.324492; 0.322920; 0.321336; 0.319942; 0.318838; 0.317980; 0.317139; 0.316562; 0.316267; 0.315744; 0.314836; 0.314038; 0.313617; 0.313330; 0.313739; 0.314680; 0.316099; 0.317680; 0.318807; 0.319049; 0.318480; 0.317582; 0.316464; 0.314824; 0.314937; 0.315355; 0.315958; 0.316455; 0.316736; 0.316032; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6646.0; 13:15:35; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.320949; 0.323180; 0.325873; 0.327479; 0.327843; 0.327547; 0.327463; 0.328909; 0.330977; 0.331262; 0.331342; 0.332081; 0.332936; 0.333582; 0.334018; 0.334374; 0.333948; 0.332886; 0.332156; 0.333204; 0.334889; 0.336390; 0.337475; 0.338378; 0.339753; 0.340938; 0.341301; 0.341045; 0.340651; 0.339994; 0.339413; 0.339094; 0.338367; 0.336894; 0.334641; 0.332593; 0.331017; 0.329793; 0.328006; 0.325047; 0.322058; 0.319465; 0.317664; 0.316240; 0.314662; 0.313142; 0.311834; 0.311109; 0.310545; 0.309422; 0.307635; 0.305797; 0.304237; 0.303693; 0.304295; 0.304598; 0.304042; 0.302901; 0.301689; 0.300491; 0.299852; 0.299884; 0.300427; 0.301083; 0.302166; 0.303300; 0.304153; 0.304323; 0.303168; 0.301721; 0.300515; 0.299959; 0.300475; 0.301434; 0.302800; 0.303738; 0.303782; 0.303128; 0.302186; 0.300560; 0.298068; 0.295642; 0.293826; 0.292026; 0.290331; 0.289266; 0.288503; 0.287582; 0.286714; 0.284989; 0.283178; 0.282067; 0.281358; 0.281814; 0.282901; 0.285370; 0.288978; 0.293087; 0.297638; 0.300864; 0.302608; 0.302855; 0.303050; 0.300847; 0.301066; 0.302324; 0.303076; 0.304103; 0.304449; 0.304007; 0.302013; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6647.6; 13:15:43; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.307236; 0.309337; 0.309500; 0.310101; 0.310897; 0.311373; 0.312533; 0.313286; 0.318533; 0.322738; 0.324722; 0.326130; 0.327777; 0.329107; 0.328617; 0.327888; 0.327163; 0.327403; 0.327460; 0.327327; 0.327934; 0.327948; 0.327777; 0.326248; 0.323780; 0.320420; 0.317167; 0.313792; 0.309847; 0.306361; 0.303430; 0.302018; 0.301690; 0.302090; 0.302958; 0.302869; 0.301938; 0.301403; 0.302463; 0.304088; 0.305794; 0.307128; 0.307833; 0.308484; 0.309313; 0.309650; 0.307769; 0.304539; 0.300418; 0.295431; 0.291740; 0.288804; 0.286064; 0.283740; 0.281558; 0.280055; 0.279138; 0.279029; 0.279666; 0.279621; 0.278106; 0.276992; 0.277730; 0.279956; 0.283137; 0.287394; 0.291534; 0.295390; 0.298810; 0.301340; 0.303232; 0.304872; 0.306639; 0.307591; 0.308854; 0.312158; 0.316159; 0.319609; 0.322090; 0.323768; 0.325412; 0.327782; 0.330463; 0.332767; 0.334307; 0.335543; 0.337177; 0.338717; 0.340433; 0.342840; 0.344606; 0.345567; 0.345984; 0.346093; 0.345649; 0.344349; 0.342595; 0.341096; 0.339914; 0.339215; 0.338728; 0.337970; 0.336622; 0.334161; 0.330779; 0.329814; 0.329305; 0.328921; 0.328378; 0.327570; 0.326077; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
