Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-25; 13:10:01
File Name; D:\Mahlo\TR\171025131001FP 4583_432 GSM0_THICKNESS2.txt

6629.0; 13:14:17; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.616194; 0.608625; 0.599284; 0.588429; 0.581970; 0.586452; 0.592323; 0.600820; 0.599409; 0.597277; 0.598129; 0.607043; 0.620039; 0.636879; 0.654276; 0.658034; 0.650058; 0.643275; 0.648783; 0.652828; 0.656961; 0.655413; 0.644592; 0.637078; 0.629004; 0.617637; 0.624005; 0.627985; 0.622897; 0.619116; 0.619398; 0.623779; 0.637124; 0.645724; 0.646470; 0.653729; 0.651393; 0.647454; 0.644638; 0.645369; 0.645319; 0.640668; 0.628142; 0.621821; 0.632044; 0.643228; 0.650531; 0.656486; 0.660464; 0.663261; 0.666201; 0.670832; 0.668394; 0.661636; 0.655967; 0.651567; 0.649089; 0.644479; 0.647867; 0.652987; 0.656135; 0.663411; 0.678821; 0.689050; 0.691671; 0.693288; 0.700992; 0.715004; 0.723506; 0.724669; 0.727798; 0.730100; 0.731907; 0.734954; 0.734447; 0.729756; 0.722451; 0.715997; 0.709696; 0.708284; 0.704139; 0.699781; 0.697229; 0.695624; 0.695682; 0.701214; 0.706152; 0.706597; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6632.1; 13:14:29; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.632270; 0.638881; 0.643676; 0.644050; 0.640901; 0.637968; 0.637567; 0.638636; 0.643881; 0.650665; 0.653178; 0.653901; 0.656858; 0.668868; 0.677791; 0.686074; 0.687917; 0.683927; 0.683671; 0.679841; 0.675911; 0.664475; 0.644560; 0.627958; 0.623590; 0.615287; 0.609448; 0.604703; 0.600161; 0.599962; 0.599378; 0.610185; 0.622189; 0.622444; 0.617628; 0.616200; 0.618170; 0.624526; 0.628963; 0.628843; 0.629256; 0.624521; 0.626780; 0.633965; 0.639551; 0.640057; 0.634982; 0.630030; 0.628066; 0.625671; 0.621613; 0.621810; 0.623796; 0.626761; 0.620871; 0.620165; 0.623936; 0.631894; 0.639026; 0.643270; 0.643634; 0.644456; 0.643217; 0.640946; 0.647164; 0.650817; 0.655489; 0.653095; 0.650971; 0.648987; 0.651092; 0.649601; 0.648998; 0.652486; 0.649897; 0.648234; 0.648854; 0.655997; 0.657785; 0.662201; 0.663363; 0.669514; 0.675631; 0.676473; 0.680961; 0.684993; 0.686042; 0.683780; 0.681973; 0.675591; 0.668991; 0.665381; 0.662863; 0.654613; 0.647534; 0.645309; 0.639185; 0.632793; 0.631183; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6634.5; 13:14:37; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.650692; 0.652292; 0.653661; 0.651869; 0.648571; 0.642586; 0.637709; 0.638982; 0.638207; 0.636997; 0.637656; 0.640532; 0.639152; 0.632349; 0.626530; 0.624026; 0.624847; 0.625704; 0.624931; 0.626758; 0.633513; 0.638803; 0.635742; 0.633551; 0.634424; 0.634861; 0.632659; 0.631459; 0.639402; 0.643191; 0.639725; 0.634433; 0.631505; 0.630328; 0.628266; 0.625108; 0.624378; 0.627680; 0.631055; 0.631454; 0.632564; 0.637937; 0.644082; 0.639868; 0.635985; 0.633965; 0.635028; 0.637463; 0.638767; 0.637658; 0.633106; 0.624609; 0.611674; 0.600266; 0.593304; 0.591216; 0.590204; 0.589695; 0.592843; 0.601113; 0.605670; 0.601564; 0.592623; 0.592947; 0.595742; 0.601073; 0.613387; 0.627324; 0.641929; 0.648872; 0.650517; 0.651011; 0.653835; 0.656757; 0.655195; 0.659108; 0.671728; 0.683690; 0.689407; 0.690234; 0.691646; 0.691730; 0.691850; 0.693921; 0.701232; 0.706669; 0.705488; 0.702895; 0.700842; 0.696900; 0.690462; 0.684789; 0.680868; 0.679714; 0.682200; 0.686079; 0.687540; 0.686384; 0.685499; 0.682845; 0.681095; 0.683989; 0.688769; 0.697610; 0.708405; 0.716541; 0.722667; 0.727252; 0.731989; 0.736499; 0.739955; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6636.1; 13:14:46; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.696503; 0.691297; 0.683568; 0.683240; 0.684512; 0.685656; 0.686994; 0.686276; 0.680602; 0.674670; 0.670983; 0.672969; 0.663208; 0.655015; 0.648689; 0.646539; 0.648091; 0.646523; 0.643711; 0.638477; 0.630811; 0.622977; 0.623031; 0.627018; 0.629345; 0.629904; 0.633201; 0.640879; 0.645419; 0.645884; 0.644262; 0.647933; 0.648038; 0.646802; 0.647187; 0.651544; 0.657403; 0.657470; 0.656476; 0.655688; 0.655199; 0.655688; 0.657502; 0.655973; 0.660159; 0.662440; 0.656741; 0.658056; 0.660652; 0.660978; 0.660717; 0.659577; 0.655770; 0.653182; 0.653476; 0.654323; 0.653574; 0.655084; 0.663874; 0.666650; 0.672012; 0.678298; 0.681835; 0.685216; 0.687444; 0.684848; 0.681212; 0.679190; 0.674697; 0.672054; 0.672528; 0.675015; 0.676474; 0.676735; 0.678548; 0.678545; 0.677845; 0.677511; 0.674536; 0.677211; 0.683611; 0.688480; 0.692997; 0.700412; 0.703583; 0.703615; 0.704441; 0.705268; 0.704738; 0.700974; 0.699520; 0.697688; 0.697424; 0.698410; 0.692971; 0.691648; 0.692174; 0.694451; 0.700710; 0.703661; 0.707863; 0.709752; 0.710234; 0.711929; 0.715339; 0.717061; 0.719329; 0.721783; 0.727257; 0.737518; 0.744704; 0.751200; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6637.8; 13:14:54; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.630690; 0.626949; 0.624404; 0.623375; 0.624714; 0.624124; 0.622933; 0.622862; 0.618843; 0.620490; 0.623572; 0.625004; 0.623233; 0.620917; 0.617779; 0.615287; 0.612941; 0.612626; 0.618809; 0.618154; 0.617752; 0.620137; 0.626819; 0.635563; 0.635677; 0.632019; 0.627845; 0.623361; 0.620889; 0.622015; 0.626512; 0.633041; 0.633968; 0.624889; 0.622284; 0.616054; 0.610604; 0.607086; 0.602577; 0.600252; 0.600566; 0.598000; 0.598543; 0.602114; 0.604664; 0.607666; 0.605753; 0.603344; 0.604892; 0.604903; 0.608992; 0.607083; 0.599051; 0.594173; 0.592118; 0.594551; 0.599848; 0.597094; 0.591687; 0.588332; 0.584962; 0.585178; 0.587893; 0.594405; 0.600976; 0.601947; 0.603002; 0.603504; 0.605911; 0.612512; 0.619347; 0.625354; 0.632733; 0.640672; 0.644416; 0.649018; 0.654769; 0.660812; 0.664452; 0.660940; 0.662036; 0.664328; 0.667772; 0.670214; 0.668564; 0.662769; 0.654883; 0.645878; 0.642779; 0.642285; 0.634938; 0.627530; 0.624236; 0.622969; 0.624166; 0.629710; 0.634343; 0.643357; 0.650636; 0.655248; 0.657364; 0.659760; 0.667001; 0.669011; 0.666926; 0.670889; 0.674673; 0.671081; 0.672151; 0.673513; 0.673488; 0.666915; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6639.4; 13:15:02; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.637259; 0.634084; 0.627278; 0.619633; 0.613579; 0.609914; 0.607705; 0.606986; 0.610382; 0.615141; 0.620217; 0.623392; 0.618984; 0.606426; 0.599452; 0.598316; 0.600852; 0.605008; 0.608366; 0.612547; 0.619033; 0.624668; 0.631800; 0.637140; 0.637844; 0.633227; 0.631595; 0.637024; 0.646375; 0.656624; 0.659096; 0.660964; 0.664953; 0.668923; 0.672936; 0.671977; 0.672040; 0.669905; 0.664111; 0.659931; 0.658479; 0.659920; 0.661294; 0.658551; 0.652910; 0.653990; 0.653980; 0.653115; 0.649470; 0.643346; 0.639921; 0.632968; 0.628316; 0.627174; 0.626677; 0.632279; 0.634785; 0.638130; 0.642309; 0.644174; 0.647168; 0.647908; 0.641523; 0.637273; 0.637726; 0.642661; 0.649173; 0.649776; 0.648955; 0.644552; 0.626837; 0.616000; 0.606494; 0.600547; 0.594646; 0.588373; 0.593138; 0.601881; 0.610276; 0.617412; 0.617944; 0.616324; 0.622959; 0.633624; 0.645031; 0.655160; 0.661492; 0.669228; 0.674809; 0.678175; 0.678656; 0.677315; 0.680821; 0.681978; 0.682256; 0.686737; 0.696280; 0.701444; 0.699881; 0.698645; 0.701308; 0.701971; 0.703022; 0.704581; 0.709279; 0.711843; 0.712044; 0.710983; 0.712896; 0.712994; 0.709590; 0.703849; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6641.1; 13:15:10; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.662518; 0.659543; 0.655084; 0.651985; 0.648864; 0.647707; 0.648672; 0.647351; 0.646848; 0.650411; 0.648477; 0.644213; 0.642856; 0.636160; 0.620789; 0.612459; 0.609862; 0.609254; 0.612287; 0.614646; 0.609436; 0.602633; 0.601199; 0.600701; 0.598735; 0.604165; 0.605984; 0.605530; 0.607203; 0.616716; 0.620545; 0.618698; 0.614231; 0.610742; 0.610473; 0.612740; 0.616213; 0.618789; 0.616718; 0.608033; 0.597976; 0.594922; 0.596075; 0.596496; 0.593129; 0.590521; 0.589461; 0.588259; 0.584640; 0.583884; 0.589830; 0.594375; 0.596512; 0.598178; 0.602360; 0.614532; 0.620467; 0.622529; 0.625495; 0.632406; 0.634059; 0.633917; 0.636558; 0.643395; 0.647508; 0.647172; 0.645085; 0.643945; 0.643848; 0.641776; 0.636824; 0.635957; 0.638134; 0.641406; 0.643712; 0.649784; 0.660577; 0.666509; 0.666847; 0.663172; 0.659803; 0.657152; 0.655143; 0.656283; 0.661234; 0.665601; 0.672212; 0.674601; 0.676144; 0.680205; 0.684955; 0.682302; 0.681410; 0.684785; 0.690618; 0.693694; 0.697680; 0.706025; 0.714128; 0.719112; 0.720214; 0.718291; 0.716985; 0.717244; 0.718484; 0.719138; 0.723737; 0.725077; 0.725289; 0.728006; 0.736675; 0.703849; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6642.7; 13:15:19; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.579321; 0.596669; 0.604949; 0.607600; 0.610333; 0.610540; 0.607949; 0.614870; 0.623939; 0.629823; 0.635418; 0.641320; 0.647536; 0.651671; 0.654022; 0.646879; 0.637234; 0.635390; 0.634810; 0.631647; 0.631576; 0.635420; 0.636950; 0.635619; 0.633199; 0.630685; 0.628629; 0.630674; 0.634282; 0.634992; 0.635055; 0.641105; 0.643647; 0.647373; 0.648853; 0.649792; 0.649375; 0.648585; 0.646405; 0.643683; 0.644189; 0.648031; 0.650617; 0.648186; 0.649774; 0.650500; 0.645021; 0.636124; 0.629205; 0.627978; 0.629754; 0.632919; 0.635503; 0.635554; 0.634143; 0.627257; 0.619284; 0.615318; 0.615179; 0.614193; 0.615666; 0.619402; 0.622965; 0.624321; 0.624325; 0.621014; 0.616718; 0.617423; 0.621127; 0.624655; 0.624910; 0.621213; 0.616930; 0.616229; 0.620307; 0.626593; 0.638777; 0.651659; 0.659538; 0.665376; 0.673909; 0.676635; 0.675070; 0.674760; 0.680895; 0.692903; 0.701548; 0.707381; 0.708867; 0.707233; 0.702823; 0.696095; 0.692921; 0.692121; 0.691627; 0.691016; 0.692753; 0.696817; 0.701129; 0.702608; 0.702541; 0.701773; 0.708359; 0.716121; 0.718495; 0.721987; 0.723604; 0.725521; 0.729220; 0.733205; 0.735736; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6644.3; 13:15:27; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.664439; 0.672803; 0.677680; 0.679067; 0.673395; 0.666021; 0.661964; 0.662265; 0.662833; 0.660119; 0.661563; 0.665903; 0.667216; 0.663764; 0.660447; 0.656544; 0.654014; 0.651510; 0.644675; 0.645726; 0.651399; 0.654915; 0.655613; 0.659015; 0.659673; 0.656408; 0.652918; 0.651915; 0.650778; 0.648867; 0.643875; 0.637244; 0.638856; 0.643965; 0.641985; 0.638698; 0.639370; 0.639294; 0.635827; 0.639590; 0.639301; 0.637761; 0.636144; 0.634721; 0.631767; 0.637967; 0.638006; 0.627551; 0.614109; 0.613609; 0.613065; 0.608760; 0.608434; 0.608918; 0.601620; 0.597745; 0.595329; 0.592360; 0.590783; 0.593050; 0.588634; 0.585972; 0.595164; 0.609630; 0.614792; 0.616846; 0.622325; 0.628072; 0.632114; 0.636707; 0.643367; 0.652028; 0.660398; 0.665303; 0.668176; 0.671169; 0.678941; 0.685081; 0.688578; 0.691466; 0.693956; 0.692610; 0.689852; 0.692782; 0.697646; 0.701284; 0.698296; 0.694700; 0.693653; 0.697267; 0.700532; 0.695450; 0.685619; 0.681770; 0.681461; 0.683425; 0.687987; 0.690767; 0.692335; 0.694010; 0.697431; 0.706477; 0.715095; 0.721293; 0.724994; 0.726806; 0.734631; 0.746617; 0.753065; 0.759242; 0.764499; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6646.0; 13:15:35; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.637880; 0.649821; 0.651791; 0.646366; 0.640764; 0.638718; 0.638113; 0.639485; 0.647908; 0.652008; 0.650405; 0.645957; 0.643693; 0.640890; 0.637185; 0.631344; 0.623886; 0.622483; 0.624188; 0.626490; 0.627847; 0.629178; 0.632943; 0.635526; 0.638014; 0.640672; 0.643751; 0.649531; 0.652906; 0.652855; 0.651632; 0.652788; 0.656770; 0.661702; 0.664392; 0.663854; 0.661419; 0.660168; 0.658438; 0.658031; 0.658492; 0.658833; 0.656840; 0.654801; 0.653340; 0.654120; 0.654224; 0.647773; 0.646292; 0.647415; 0.646884; 0.644505; 0.644619; 0.640932; 0.639327; 0.640383; 0.643121; 0.647216; 0.648188; 0.645502; 0.644767; 0.648779; 0.655535; 0.658629; 0.659827; 0.664118; 0.665360; 0.663608; 0.664477; 0.665379; 0.667255; 0.669146; 0.668883; 0.671632; 0.680146; 0.686188; 0.688245; 0.686069; 0.682297; 0.683903; 0.688386; 0.693229; 0.698288; 0.703880; 0.706446; 0.704621; 0.700986; 0.698336; 0.697582; 0.698524; 0.700576; 0.702237; 0.703973; 0.703079; 0.699243; 0.695626; 0.692288; 0.689094; 0.688503; 0.691456; 0.694330; 0.697600; 0.700093; 0.699594; 0.697370; 0.691991; 0.688773; 0.689487; 0.695302; 0.698982; 0.703499; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6647.6; 13:15:43; (); (); (); (); (); (); (); (); (); (); (); (); (); 0.641530; 0.646350; 0.646966; 0.643329; 0.634378; 0.627962; 0.623413; 0.620700; 0.620231; 0.625220; 0.626632; 0.623503; 0.619124; 0.614111; 0.607732; 0.598554; 0.589973; 0.585081; 0.582109; 0.585943; 0.588762; 0.591011; 0.593368; 0.594345; 0.596508; 0.598295; 0.597801; 0.597624; 0.603103; 0.607520; 0.611186; 0.614232; 0.617065; 0.626876; 0.635124; 0.636868; 0.635578; 0.638636; 0.642004; 0.640861; 0.636794; 0.634401; 0.638464; 0.637504; 0.636646; 0.637588; 0.640428; 0.638554; 0.628839; 0.621130; 0.618627; 0.616086; 0.613012; 0.614801; 0.619540; 0.627482; 0.632202; 0.629778; 0.631494; 0.636386; 0.640277; 0.643387; 0.647433; 0.650933; 0.655021; 0.663077; 0.671883; 0.679811; 0.682095; 0.676438; 0.674376; 0.675170; 0.672916; 0.666745; 0.661480; 0.659059; 0.660301; 0.666329; 0.675791; 0.679506; 0.685990; 0.687467; 0.681571; 0.675212; 0.677226; 0.679983; 0.688384; 0.699093; 0.707241; 0.713567; 0.713546; 0.710541; 0.702379; 0.694334; 0.692051; 0.687500; 0.685929; 0.690303; 0.701828; 0.710091; 0.708711; 0.707191; 0.709151; 0.712074; 0.715307; 0.720167; 0.724785; 0.733403; 0.742213; 0.748669; 0.754952; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
