Roll Number; 0
Recipe Name; FP 4583_432 GSM
Start Time; 2017-10-25; 13:10:01
File Name; D:\Mahlo\TR\171025131001FP 4583_432 GSM0_FMI2.txt

6629.0; 13:14:17; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 381.639928; 383.150160; 383.640915; 383.711308; 381.977439; 379.999012; 378.375590; 377.493918; 376.932889; 373.600572; 369.343281; 365.048528; 362.489969; 361.166328; 361.103117; 361.979961; 364.729583; 366.590440; 365.846992; 365.743458; 365.334660; 363.280654; 359.958053; 356.787384; 355.170727; 354.145497; 352.210611; 348.929435; 345.067471; 341.348857; 337.584972; 334.489256; 333.854854; 334.436834; 333.810836; 331.298202; 329.205632; 329.222679; 329.524010; 330.490768; 332.548350; 336.207896; 338.427007; 338.011295; 337.655008; 337.672502; 337.007582; 334.288001; 332.555622; 331.360847; 332.493842; 334.163278; 336.508989; 336.911678; 335.490167; 335.750639; 335.301846; 339.547485; 344.671398; 347.298175; 347.320706; 345.888406; 344.150275; 344.919235; 347.707957; 350.258648; 355.805814; 358.022392; 358.801901; 359.203577; 359.894931; 363.568127; 365.692943; 366.132915; 365.324348; 363.132149; 361.266702; 359.569877; 355.850816; 355.804443; 356.143117; 355.175018; 355.029374; 355.029404; 356.337130; 357.522160; 355.776072; 354.952902; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6632.1; 13:14:29; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 349.471390; 352.870345; 357.680023; 361.681342; 362.692684; 361.190528; 360.435337; 360.528946; 359.962046; 358.481109; 358.239472; 357.321560; 355.526149; 351.795256; 351.825923; 351.220131; 348.922551; 347.196877; 348.102093; 350.093663; 352.579087; 352.226913; 351.653337; 350.292087; 348.813355; 350.622326; 353.313863; 354.600728; 354.113430; 353.776336; 349.828124; 346.701801; 346.400708; 346.500605; 348.032296; 349.334508; 348.138511; 346.049994; 346.021771; 344.520956; 343.214601; 340.742022; 339.097202; 338.474184; 336.437434; 335.232943; 336.459339; 338.438451; 341.369331; 345.659554; 349.414170; 352.500737; 350.810379; 346.962035; 342.008203; 339.219630; 336.916178; 334.710002; 331.163466; 329.276174; 331.369102; 335.648775; 339.121312; 341.278285; 347.531229; 349.924207; 352.012306; 353.526324; 354.945362; 353.692770; 349.438965; 342.953235; 341.380686; 341.151297; 338.004202; 337.328881; 336.797655; 337.480545; 339.181602; 341.545701; 342.961609; 345.925987; 347.193033; 348.593473; 346.481591; 343.520224; 342.716545; 340.694696; 337.798446; 334.726304; 332.754374; 333.020359; 334.342182; 337.666154; 342.559010; 344.729394; 345.840961; 347.950071; 349.222362; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6634.5; 13:14:37; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 367.401451; 368.811488; 368.973166; 368.677378; 369.427770; 369.615585; 369.185686; 368.645191; 366.885513; 365.170807; 363.833427; 358.719230; 351.702780; 345.612347; 340.032637; 336.206228; 334.813088; 334.564656; 334.240615; 332.814187; 331.352890; 329.993665; 328.653276; 328.311980; 329.068214; 333.316743; 339.823514; 344.342381; 348.545432; 352.362037; 352.565676; 351.373941; 350.100219; 349.538147; 349.905670; 349.857926; 348.575294; 348.013163; 348.815292; 348.157674; 346.191615; 343.652874; 342.103720; 340.531647; 338.593811; 337.557048; 337.230772; 336.892754; 335.520744; 333.484650; 332.794100; 333.449364; 334.462374; 334.785491; 335.502893; 334.403366; 333.156407; 333.397627; 334.130526; 334.356844; 334.540665; 334.758967; 335.656554; 336.082995; 335.305661; 333.504468; 332.639873; 332.233638; 332.117856; 333.138376; 336.051852; 338.204890; 338.164359; 338.479429; 339.366823; 340.162992; 340.773702; 340.098411; 339.002520; 338.626921; 339.122146; 339.594632; 341.046244; 341.749728; 341.642559; 342.560440; 344.398171; 345.147610; 344.166011; 343.322009; 342.810780; 342.904061; 345.039696; 348.965615; 353.671134; 357.869089; 360.642463; 361.833692; 363.376468; 364.416718; 363.863468; 363.082349; 363.852561; 367.362946; 370.223165; 372.135997; 374.019742; 374.128163; 372.747540; 371.458650; 370.270222; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6636.1; 13:14:46; (); (); (); (); (); (); (); (); (); (); (); (); (); 348.374367; 350.096047; 353.635460; 355.859995; 355.943501; 355.798125; 355.893940; 356.038213; 358.852953; 361.656696; 362.535924; 362.796456; 363.884449; 365.324467; 365.775645; 365.443259; 364.559680; 363.563091; 363.620698; 364.601701; 364.921808; 365.761369; 367.172688; 367.527425; 366.710782; 365.641475; 365.098983; 364.984870; 365.565181; 365.758628; 365.133584; 364.750326; 364.828557; 364.404380; 363.317817; 360.887051; 359.351367; 358.345568; 356.944591; 355.792910; 355.373681; 355.295211; 354.639083; 351.927727; 350.133985; 349.433035; 349.277914; 347.843021; 344.573855; 340.617865; 337.264866; 334.329218; 331.862450; 330.341250; 330.262095; 331.253201; 332.779139; 335.123956; 337.619334; 338.968486; 340.155840; 340.546757; 340.346962; 342.230499; 346.039653; 349.791497; 353.951007; 356.970668; 358.485699; 360.064417; 360.865682; 360.434622; 360.163271; 360.684454; 362.147778; 362.370431; 362.358958; 363.494098; 365.718037; 368.518144; 367.952615; 366.045177; 366.121411; 366.093397; 364.770889; 364.555538; 364.929646; 365.554959; 365.486205; 365.364045; 365.515143; 365.695328; 365.900874; 366.555303; 367.390037; 369.496793; 371.549845; 372.498631; 372.551590; 371.930450; 371.073574; 371.507496; 372.880578; 375.696659; 377.392471; 378.538519; 379.876435; 381.397277; 381.774247; 381.654322; 382.379949; 382.586449; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6637.8; 13:14:54; (); (); (); (); (); (); (); (); (); (); (); (); (); 376.676857; 374.642968; 374.157965; 372.432142; 369.014174; 363.945454; 359.612942; 359.013945; 359.788954; 359.175384; 358.211190; 355.817646; 352.940053; 350.476116; 348.346114; 346.995056; 345.804185; 344.002098; 343.589067; 344.648093; 348.133832; 351.393819; 351.199299; 347.698957; 342.164338; 339.557886; 339.080244; 338.168144; 337.345302; 337.899536; 338.459015; 338.067591; 336.776733; 335.246414; 334.085256; 334.559917; 335.840791; 336.432904; 337.796807; 339.873672; 339.568108; 338.567674; 338.394046; 339.140028; 339.659184; 339.101881; 336.998165; 334.818006; 333.685905; 333.481550; 332.521498; 329.929441; 326.850027; 323.260695; 320.274055; 318.823218; 319.069266; 319.967687; 320.148200; 319.965810; 319.869250; 321.593493; 324.559182; 327.032834; 326.782256; 325.465262; 324.019819; 324.469566; 327.356726; 330.214262; 332.115263; 332.602113; 332.632273; 332.089633; 332.129538; 332.900584; 334.338129; 335.160971; 335.659653; 335.749865; 336.111456; 338.789493; 341.945857; 343.954921; 345.625639; 347.305745; 348.885596; 349.832833; 350.450873; 350.064903; 349.832326; 349.255145; 348.394960; 347.594798; 347.239852; 347.191364; 347.258508; 347.628951; 347.947538; 348.422647; 347.784728; 346.168846; 345.129251; 343.997538; 342.846960; 342.335880; 342.113107; 342.225552; 343.155026; 345.267415; 345.679015; 342.552662; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6639.4; 13:15:02; (); (); (); (); (); (); (); (); (); (); (); (); (); 351.573020; 355.823278; 361.077756; 363.567114; 363.787442; 363.191217; 361.727059; 360.723287; 359.700173; 359.928638; 362.559021; 366.552532; 368.980080; 369.582325; 368.476599; 368.208230; 366.809905; 363.169223; 361.355931; 360.594571; 361.829728; 364.543051; 367.879301; 370.597631; 371.543229; 370.548308; 369.297802; 368.497044; 366.722703; 363.086253; 359.518528; 358.040750; 359.081596; 360.513985; 362.680107; 363.318264; 362.382352; 360.628068; 358.238906; 355.885535; 353.017151; 350.653380; 348.861784; 349.669993; 352.477700; 353.755325; 353.328347; 351.748466; 349.658519; 346.467853; 342.909068; 340.201050; 339.445472; 339.433163; 340.200871; 341.273963; 341.150910; 340.361893; 338.913620; 339.601576; 341.935307; 343.055874; 342.736751; 341.833860; 342.205733; 342.575014; 341.634959; 340.734005; 338.187516; 334.191352; 332.509756; 333.137721; 333.562791; 333.842635; 331.963867; 330.499679; 330.060273; 330.131441; 331.273943; 330.256432; 328.216016; 326.801360; 325.975120; 326.785356; 328.599602; 329.176277; 329.281986; 330.041647; 330.736995; 331.050694; 330.757618; 329.928398; 329.621851; 330.137402; 333.147109; 337.834299; 341.185421; 343.003392; 345.178217; 348.719060; 351.932645; 353.916049; 354.728401; 354.805976; 355.628073; 356.551230; 358.517766; 359.393150; 358.391196; 358.216941; 358.454853; 359.345794; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6641.1; 13:15:10; (); (); (); (); (); (); (); (); (); (); (); (); (); 339.537919; 338.451177; 335.613787; 333.698153; 332.479596; 331.903398; 333.168209; 334.304273; 335.202485; 335.525513; 336.499006; 337.325215; 336.722672; 336.342454; 335.637748; 334.829390; 334.629267; 335.708857; 336.110145; 336.362451; 336.269826; 335.346639; 335.052669; 334.975153; 335.081339; 335.571468; 336.594552; 337.415934; 337.336272; 337.625504; 338.909149; 340.501040; 341.540217; 342.192620; 342.423350; 342.822969; 342.840344; 342.343867; 341.989636; 342.537910; 343.396515; 342.682391; 341.898710; 340.477437; 338.753790; 336.242765; 333.477497; 331.227064; 329.726875; 330.181718; 331.305444; 331.269443; 330.438226; 328.976691; 327.037871; 324.374437; 322.741926; 322.378546; 324.240506; 326.208800; 327.316433; 328.933984; 331.026882; 333.755732; 333.967447; 333.342850; 334.037513; 335.296839; 336.812466; 339.081764; 342.693537; 346.220344; 348.663181; 349.411368; 352.072418; 356.280535; 358.554244; 360.039204; 361.028820; 362.347513; 363.936305; 365.368217; 366.437674; 367.360651; 367.597729; 368.056983; 368.688673; 368.651122; 368.085444; 367.430508; 366.066903; 363.790184; 362.867028; 362.252206; 361.632079; 362.243146; 363.197595; 365.349650; 368.322879; 370.264530; 371.789753; 373.629242; 375.681162; 376.522362; 376.795501; 377.837896; 380.806863; 383.884609; 387.160897; 390.317649; 392.287642; 359.345794; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6642.7; 13:15:19; (); (); (); (); (); (); (); (); (); (); (); (); (); 356.058359; 359.609723; 362.949044; 362.934589; 362.422079; 362.267911; 361.401886; 361.417443; 362.070203; 364.097029; 366.218209; 366.842777; 366.475552; 364.365190; 362.487495; 361.459076; 358.538777; 355.735421; 354.994863; 353.588253; 351.964623; 351.092219; 350.204229; 349.395603; 348.814964; 347.124606; 345.159799; 344.524205; 345.473826; 345.111489; 341.232747; 339.327872; 339.493364; 339.556158; 340.872973; 341.505021; 340.963572; 339.847803; 338.612229; 336.510748; 334.750801; 334.748626; 333.057463; 330.348045; 330.264986; 331.749469; 331.874371; 330.648571; 330.208033; 328.710586; 327.905536; 328.240037; 328.578174; 327.223629; 325.316280; 324.502826; 324.943483; 327.347904; 330.801845; 333.822668; 335.981309; 337.424397; 337.994814; 337.039649; 337.042421; 338.935316; 342.395693; 346.208662; 350.702107; 353.755921; 356.253147; 357.543617; 358.614147; 358.675331; 357.762098; 357.242376; 357.724518; 360.427290; 364.797145; 367.864043; 367.270708; 364.311814; 362.319678; 361.311972; 359.930307; 359.261692; 359.411418; 358.423561; 357.111126; 356.102705; 354.748487; 352.418602; 348.629504; 345.432281; 344.280571; 344.418079; 344.765007; 346.050799; 348.857582; 351.919562; 352.761626; 353.287995; 355.340302; 357.734054; 359.693110; 361.954123; 365.122646; 368.280470; 370.122373; 371.484309; 373.975366; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6644.3; 13:15:27; (); (); (); (); (); (); (); (); (); (); (); (); (); 351.542324; 352.624387; 353.579581; 354.532540; 355.095565; 356.460541; 356.633186; 355.880857; 357.326418; 360.502362; 361.187160; 360.205084; 356.735677; 353.687406; 351.787925; 349.948406; 349.104077; 347.997129; 346.694231; 345.752627; 344.788909; 345.073462; 346.416771; 346.701860; 346.765190; 347.821027; 350.536078; 353.047222; 354.421616; 354.177445; 353.401899; 353.848189; 354.146123; 354.251713; 353.839725; 352.264166; 351.343453; 350.527972; 349.358618; 348.241776; 347.128749; 345.712721; 344.101042; 342.897683; 343.642294; 345.563293; 345.020384; 342.796773; 339.856327; 338.205487; 339.344442; 338.641733; 337.581247; 337.195724; 337.404966; 336.419493; 335.356086; 335.931331; 336.641878; 336.024135; 333.767742; 332.354069; 333.523273; 336.092770; 337.083220; 337.666452; 340.796858; 343.486637; 344.497472; 345.645487; 347.604632; 347.566158; 346.383631; 346.802384; 348.985076; 352.474719; 356.625915; 359.046221; 360.046804; 361.664444; 361.496061; 360.949039; 361.040175; 361.956477; 362.115532; 363.070816; 365.482867; 367.707521; 367.964208; 367.306173; 366.222084; 364.337176; 364.772767; 366.027564; 367.017239; 369.257957; 370.250165; 371.307373; 372.650951; 373.151779; 373.057902; 373.293430; 372.581512; 370.967627; 369.389713; 369.462758; 370.315820; 370.475501; 370.128125; 368.900895; 364.930987; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6646.0; 13:15:35; (); (); (); (); (); (); (); (); (); (); (); (); (); 334.292561; 338.428289; 341.771781; 343.256533; 344.600350; 346.291929; 347.163588; 346.718609; 346.528202; 346.721232; 349.161595; 352.022558; 353.370160; 355.056107; 356.717557; 358.215421; 358.462900; 357.996672; 358.103901; 358.640045; 358.400404; 358.277857; 359.839827; 361.367702; 362.928987; 363.593936; 364.038706; 363.415599; 362.391889; 361.256480; 358.114481; 356.421202; 356.915265; 356.232911; 352.868855; 349.204451; 347.585022; 346.458048; 343.976647; 340.018958; 336.631119; 335.799307; 336.558372; 336.875409; 337.440521; 338.671118; 339.673102; 340.354621; 341.426551; 342.560470; 342.981696; 343.068689; 343.781352; 344.831973; 345.313370; 344.915360; 344.118595; 342.633456; 340.843141; 338.361651; 335.848868; 332.999676; 329.986602; 328.039080; 328.135878; 328.685313; 328.040391; 327.590108; 329.355478; 332.027227; 335.287988; 338.336259; 341.399252; 344.145864; 347.385824; 349.180609; 350.721568; 352.860898; 355.647773; 357.443452; 358.888179; 359.369755; 358.742505; 357.926250; 357.178241; 356.517315; 356.071353; 355.506033; 354.618043; 354.553372; 357.123256; 357.911110; 356.742591; 356.291234; 357.089043; 358.229637; 360.161275; 362.499774; 365.559429; 368.266851; 370.150834; 371.747077; 373.483777; 376.395077; 377.029628; 376.779079; 378.529340; 382.057160; 384.884328; 386.407793; 388.401449; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6647.6; 13:15:43; (); (); (); (); (); (); (); (); (); (); (); (); (); 361.983538; 362.238616; 357.483506; 350.329518; 345.918596; 343.548208; 341.031641; 340.824693; 341.721922; 342.082053; 339.995652; 336.811095; 333.369344; 330.439627; 327.355593; 324.804574; 324.216127; 326.769203; 329.965889; 329.858959; 330.360234; 333.333611; 333.835930; 332.758069; 332.261533; 333.061576; 333.543330; 332.091212; 329.167813; 327.394843; 325.580031; 323.211402; 321.581066; 321.711332; 323.676944; 324.799657; 323.283404; 322.603196; 323.986709; 324.695170; 323.915094; 324.978173; 328.478396; 332.185805; 335.043848; 338.326961; 340.998560; 342.556804; 344.527841; 345.253050; 343.008816; 341.478646; 340.455860; 338.703007; 338.679969; 340.307772; 341.053486; 341.159880; 341.302246; 340.624601; 338.924736; 337.317616; 336.254865; 334.510118; 334.548652; 337.034851; 337.785274; 338.435441; 339.360774; 338.691354; 338.133603; 337.979406; 338.903636; 340.978503; 342.381775; 343.456507; 345.291525; 346.063673; 346.895427; 347.130805; 347.996175; 349.699110; 350.804687; 351.328939; 351.413369; 352.364957; 354.100645; 354.286164; 354.598612; 355.675191; 356.365800; 356.270254; 356.234193; 356.883109; 358.907968; 361.245275; 362.425506; 364.167124; 366.543829; 368.592322; 369.122922; 370.091140; 371.694714; 372.321188; 372.755855; 373.676866; 375.784606; 378.301889; 379.761606; 379.750252; 380.440950; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
