Roll Number; 0
Recipe Name; FP 4548_513 GSM
Start Time; 2017-10-31; 23:26:45
File Name; D:\Mahlo\TR\171031232645FP 4548_513 GSM0_XMF2.txt

5.4; 23:27:00; -0.183949; -0.183963; -0.183954; -0.183958; -0.183997; -0.184020; -0.184035; -0.184025; -0.184045; -0.184058; -0.184054; -0.184066; -0.184061; -0.184054; -0.184058; -0.184068; -0.184072; -0.184056; -0.184064; -0.184066; -0.184076; -0.184040; -0.184012; -0.183995; -0.184020; -0.184018; -0.184017; -0.183987; -0.183972; -0.183961; -0.183946; -0.183961; -0.183971; -0.183960; -0.183942; -0.183927; -0.183964; -0.183958; -0.183935; -0.183914; -0.183903; -0.183892; -0.183880; -0.183880; -0.183888; -0.183892; -0.183883; -0.183900; -0.183895; -0.183888; -0.183875; -0.183845; -0.183868; -0.183873; -0.183864; -0.183872; -0.183873; -0.183899; -0.183912; -0.183934; -0.183929; -0.183912; -0.183887; -0.183899; -0.183917; -0.183908; -0.183917; -0.183892; -0.183905; -0.183910; -0.183922; -0.183911; -0.183900; -0.183874; -0.183868; -0.183865; -0.183874; -0.183920; -0.183928; -0.183934; -0.183962; -0.183959; -0.183976; -0.183982; -0.183989; -0.183994; -0.184012; -0.184031; -0.184058; -0.184079; -0.184108; -0.184105; -0.184064; -0.184082; -0.184090; -0.184076; -0.184077; -0.184074; -0.184049; -0.184054; -0.184046; -0.184041; -0.184028; -0.183981; -0.183970; -0.183947; -0.183950; -0.183924; -0.183903; -0.183918; -0.183925; -0.183934; -0.183946; -0.183992; -0.184008; -0.184000; -0.184025; -0.184043; -0.184076; -0.184060; -0.184069; -0.184090; -0.184120; -0.184111; -0.184102; -0.184083; -0.184084; -0.184057; -0.184015; -0.184021; -0.184026; -0.184007; -0.183991; -0.183977; -0.183999; -0.184002; -0.183983; -0.183987; -0.183989; -0.184065; 
7.1; 23:27:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -0.185254; -0.185378; -0.185565; -0.185708; -0.185849; -0.185994; -0.186192; -0.186356; -0.186531; -0.186684; -0.186833; -0.186972; -0.187126; -0.187274; -0.187310; -0.187304; -0.187234; -0.187138; -0.187028; -0.186849; -0.186628; -0.186300; -0.185977; -0.185744; -0.185526; -0.185284; -0.185065; -0.184832; -0.184657; -0.184542; -0.184411; -0.184314; -0.184228; -0.184135; -0.184090; -0.184070; -0.184039; -0.183999; -0.183993; -0.183980; -0.183989; -0.183990; -0.183970; -0.183964; -0.183953; -0.183944; -0.183949; -0.183929; -0.183942; -0.183922; -0.183896; -0.183891; -0.183887; -0.183888; -0.183885; -0.183919; -0.183915; -0.183939; -0.183927; -0.183925; -0.183930; -0.183938; -0.183953; -0.183953; -0.183980; -0.184004; -0.184025; -0.184041; -0.184047; -0.184050; -0.184012; -0.184020; -0.184025; 
7.8; 23:27:07; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -0.191663; -0.191577; -0.191081; -0.190546; -0.190143; -0.189836; -0.189574; -0.189283; -0.188974; -0.188615; -0.188233; -0.187944; -0.187706; -0.187454; -0.187268; -0.187007; -0.186731; -0.186758; -0.186835; -0.186895; -0.187004; -0.187147; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.1; 23:27:11; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -0.173854; -0.174066; -0.174354; -0.174750; -0.175065; -0.175447; -0.176017; -0.176704; -0.178042; -0.179520; -0.180817; -0.181950; -0.182910; -0.183562; -0.184284; -0.185324; -0.186390; -0.187291; -0.188168; -0.189127; -0.189849; -0.190172; -0.190520; -0.190765; -0.190943; -0.191165; -0.191447; -0.191806; -0.192204; -0.192540; -0.192558; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.6; 23:27:13; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -0.173724; -0.173772; -0.174165; -0.174562; -0.174886; -0.175147; -0.175415; -0.175646; -0.175873; -0.176151; -0.176488; -0.176782; -0.177082; -0.177422; -0.177698; -0.177975; -0.178227; -0.178207; -0.178156; -0.178145; -0.178132; -0.178106; -0.178087; -0.178036; -0.178010; -0.177974; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.9; 23:27:16; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -0.176546; -0.176784; -0.176957; -0.177113; -0.177279; -0.177369; -0.177454; -0.177609; -0.177754; -0.177839; -0.177923; -0.178020; -0.178071; -0.178090; -0.178150; -0.178163; -0.178169; -0.178182; -0.178160; -0.178100; -0.178073; -0.178040; -0.178021; -0.178010; -0.178043; -0.178080; -0.178105; -0.178208; -0.178274; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
9.3; 23:27:28; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -0.174787; -0.174905; -0.175144; -0.175301; -0.175436; -0.175545; -0.175676; -0.175805; -0.175967; -0.176162; -0.176398; -0.176648; -0.176962; -0.177266; -0.177506; -0.177766; -0.177930; -0.178057; -0.178217; -0.178388; -0.178557; -0.178710; -0.178822; -0.178918; -0.178991; -0.179030; -0.179067; -0.179092; -0.179144; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10.9; 23:27:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -0.183632; -0.183591; -0.183593; -0.183562; -0.183547; -0.183547; -0.183561; -0.183537; -0.183502; -0.183504; -0.183500; -0.183489; -0.183473; -0.183441; -0.183448; -0.183459; -0.183451; -0.183435; -0.183447; -0.183468; -0.183458; -0.183455; -0.183435; -0.183427; -0.183416; -0.183431; -0.183434; -0.183463; -0.183474; -0.183489; -0.183498; -0.183500; -0.183534; -0.183556; -0.183552; -0.183553; -0.183530; -0.183516; -0.183518; -0.183522; -0.183551; -0.183562; -0.183560; -0.183581; -0.183556; -0.183545; -0.183542; -0.183524; -0.183494; -0.183486; -0.183489; -0.183484; -0.183497; -0.183486; -0.183463; -0.183421; -0.183419; -0.183392; -0.183365; -0.183382; -0.183371; -0.183377; -0.183373; -0.183389; -0.183383; -0.183364; -0.183407; -0.183433; -0.183445; -0.183458; -0.183495; -0.183492; -0.183548; -0.183590; -0.183612; -0.183665; -0.183670; -0.183706; -0.183734; -0.183756; -0.183777; -0.183779; -0.183794; -0.183815; -0.183851; 
13.6; 23:28:00; -0.183952; -0.183983; -0.184036; -0.184072; -0.184064; -0.184074; -0.184084; -0.184087; -0.184082; -0.184104; -0.184109; -0.184124; -0.184154; -0.184180; -0.184200; -0.184213; -0.184201; -0.184172; -0.184155; -0.184147; -0.184133; -0.184112; -0.184098; -0.184109; -0.184095; -0.184096; -0.184056; -0.184010; -0.183984; -0.183957; -0.183953; -0.183933; -0.183909; -0.183917; -0.183900; -0.183890; -0.183899; -0.183896; -0.183872; -0.183862; -0.183857; -0.183872; -0.183880; -0.183882; -0.183882; -0.183858; -0.183895; -0.183925; -0.183914; -0.183913; -0.183899; -0.183870; -0.183888; -0.183902; -0.183905; -0.183900; -0.183882; -0.183868; -0.183891; -0.183895; -0.183899; -0.183870; -0.183837; -0.183822; -0.183829; -0.183840; -0.183830; -0.183778; -0.183746; -0.183714; -0.183745; -0.183768; -0.183764; -0.183724; -0.183718; -0.183700; -0.183693; -0.183696; -0.183691; -0.183680; -0.183694; -0.183735; -0.183752; -0.183740; -0.183739; -0.183681; -0.183701; -0.183725; -0.183757; -0.183771; -0.183800; -0.183838; -0.183848; -0.183863; -0.183879; -0.183863; -0.183844; -0.183841; -0.183855; -0.183874; -0.183927; -0.183927; -0.183931; -0.183905; -0.183881; -0.183874; -0.183844; -0.183828; -0.183821; -0.183833; -0.183838; -0.183853; -0.183850; -0.183839; -0.183844; -0.183795; -0.183766; -0.183743; -0.183758; -0.183789; -0.183799; -0.183838; -0.183858; -0.183872; -0.183840; -0.183835; -0.183845; -0.183862; -0.183884; -0.183864; -0.183869; -0.183884; -0.183918; -0.183927; -0.183923; -0.183902; -0.183874; -0.183881; -0.183879; -0.183873; 
15.2; 23:28:12; (); -0.183935; -0.183942; -0.183974; -0.183987; -0.183978; -0.183969; -0.183989; -0.184002; -0.183994; -0.183983; -0.183982; -0.183978; -0.183975; -0.183959; -0.183948; -0.183979; -0.183983; -0.183951; -0.183906; -0.183895; -0.183913; -0.183889; -0.183877; -0.183853; -0.183823; -0.183797; -0.183778; -0.183763; -0.183773; -0.183810; -0.183798; -0.183767; -0.183767; -0.183793; -0.183807; -0.183787; -0.183800; -0.183801; -0.183810; -0.183800; -0.183801; -0.183818; -0.183820; -0.183854; -0.183814; -0.183782; -0.183791; -0.183814; -0.183829; -0.183842; -0.183831; -0.183823; -0.183813; -0.183838; -0.183882; -0.183886; -0.183872; -0.183864; -0.183837; -0.183853; -0.183858; -0.183857; -0.183826; -0.183831; -0.183797; -0.183798; -0.183810; -0.183805; -0.183804; -0.183771; -0.183782; -0.183809; -0.183795; -0.183772; -0.183784; -0.183835; -0.183841; -0.183827; -0.183816; -0.183840; -0.183831; -0.183794; -0.183775; -0.183769; -0.183768; -0.183750; -0.183745; -0.183768; -0.183782; -0.183780; -0.183766; -0.183746; -0.183769; -0.183751; -0.183743; -0.183756; -0.183776; -0.183755; -0.183733; -0.183725; -0.183730; -0.183732; -0.183719; -0.183731; -0.183715; -0.183711; -0.183711; -0.183681; -0.183687; -0.183680; -0.183695; -0.183699; -0.183711; -0.183740; -0.183769; -0.183786; -0.183779; -0.183793; -0.183799; -0.183790; -0.183785; -0.183809; -0.183851; -0.183873; -0.183879; -0.183900; -0.183950; -0.183992; -0.184013; -0.184018; -0.184024; -0.184033; -0.184034; -0.184016; -0.184017; -0.184042; -0.184050; -0.184046; -0.184079; 
16.8; 23:28:24; -0.183903; -0.183908; -0.183913; -0.183918; -0.183916; -0.183909; -0.183904; -0.183910; -0.183935; -0.183935; -0.183933; -0.183941; -0.183957; -0.183981; -0.184000; -0.183969; -0.183956; -0.183961; -0.183966; -0.183967; -0.183974; -0.183960; -0.183947; -0.183955; -0.183944; -0.183937; -0.183906; -0.183902; -0.183896; -0.183873; -0.183868; -0.183865; -0.183863; -0.183860; -0.183857; -0.183840; -0.183840; -0.183838; -0.183814; -0.183805; -0.183788; -0.183803; -0.183783; -0.183779; -0.183781; -0.183802; -0.183801; -0.183780; -0.183761; -0.183736; -0.183719; -0.183697; -0.183689; -0.183689; -0.183695; -0.183695; -0.183707; -0.183721; -0.183723; -0.183730; -0.183711; -0.183725; -0.183753; -0.183795; -0.183844; -0.183845; -0.183843; -0.183857; -0.183875; -0.183891; -0.183894; -0.183877; -0.183868; -0.183858; -0.183862; -0.183874; -0.183835; -0.183798; -0.183776; -0.183772; -0.183792; -0.183791; -0.183768; -0.183778; -0.183755; -0.183774; -0.183773; -0.183759; -0.183763; -0.183791; -0.183789; -0.183825; -0.183865; -0.183884; -0.183891; -0.183881; -0.183891; -0.183889; -0.183876; -0.183864; -0.183837; -0.183831; -0.183827; -0.183834; -0.183829; -0.183838; -0.183823; -0.183785; -0.183733; -0.183704; -0.183720; -0.183751; -0.183749; -0.183724; -0.183744; -0.183758; -0.183794; -0.183806; -0.183769; -0.183736; -0.183725; -0.183720; -0.183735; -0.183731; -0.183726; -0.183702; -0.183688; -0.183677; -0.183669; -0.183658; -0.183648; -0.183620; -0.183619; -0.183668; -0.183689; -0.183679; -0.183670; -0.183669; -0.183696; (); 
