Roll Number; 0
Recipe Name; FP 4548_513 GSM
Start Time; 2017-10-31; 23:26:45
File Name; D:\Mahlo\TR\171031232645FP 4548_513 GSM0_THICKNESS2.txt

5.4; 23:27:00; -10.597791; -10.599547; -10.600977; -10.602249; -10.603901; -10.605296; -10.605603; -10.604960; -10.604580; -10.603521; -10.601558; -10.598755; -10.595414; -10.593114; -10.591538; -10.590134; -10.588985; -10.587756; -10.585932; -10.584498; -10.583660; -10.583022; -10.582138; -10.580995; -10.579615; -10.578752; -10.578217; -10.577699; -10.576738; -10.575590; -10.574737; -10.574291; -10.574066; -10.573853; -10.572406; -10.571341; -10.570935; -10.570658; -10.570149; -10.570061; -10.569792; -10.569421; -10.569669; -10.570244; -10.570409; -10.569868; -10.569020; -10.567937; -10.566759; -10.566390; -10.566026; -10.565914; -10.566314; -10.567389; -10.568470; -10.569117; -10.569222; -10.568812; -10.568246; -10.567478; -10.566955; -10.566539; -10.566568; -10.567172; -10.567661; -10.567116; -10.565846; -10.563469; -10.560544; -10.558160; -10.556790; -10.555729; -10.555008; -10.555206; -10.555877; -10.555981; -10.555749; -10.555415; -10.555142; -10.555377; -10.556202; -10.558040; -10.559872; -10.561084; -10.562437; -10.563024; -10.562888; -10.562004; -10.561287; -10.561278; -10.561714; -10.562139; -10.562445; -10.562342; -10.561351; -10.560676; -10.559862; -10.558899; -10.558369; -10.558401; -10.558465; -10.558632; -10.558930; -10.558678; -10.557542; -10.556572; -10.555752; -10.554522; -10.553413; -10.552069; -10.550421; -10.549671; -10.549745; -10.549543; -10.548859; -10.548763; -10.549157; -10.548932; -10.548445; -10.548103; -10.547730; -10.547320; -10.546866; -10.546446; -10.546669; -10.546848; -10.546428; -10.545497; -10.543726; -10.541607; -10.539874; -10.538585; -10.538447; -10.538598; -10.538510; -10.538296; -10.538159; -10.538097; -10.538180; -10.537990; 
7.1; 23:27:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.621449; -10.612628; -10.610197; -10.611139; -10.612862; -10.611135; -10.610712; -10.609401; -10.602967; -10.590859; -10.587515; -10.588956; -10.591721; -10.594142; -10.594334; -10.594167; -10.595256; -10.595578; -10.591917; -10.585698; -10.580296; -10.578328; -10.579023; -10.580738; -10.585241; -10.585594; -10.579669; -10.572977; -10.569607; -10.569170; -10.571332; -10.569104; -10.566183; -10.565662; -10.567693; -10.570396; -10.568036; -10.563501; -10.559619; -10.556355; -10.555710; -10.557181; -10.557062; -10.557111; -10.557006; -10.555746; -10.553840; -10.552497; -10.552480; -10.552500; -10.552184; -10.552084; -10.552479; -10.552824; -10.552588; -10.552169; -10.552157; -10.552636; -10.552552; -10.552051; -10.552519; -10.553779; -10.554617; -10.554041; -10.552526; -10.551415; -10.550870; -10.550818; -10.550731; -10.550854; -10.550990; -10.550350; -10.549008; 
7.8; 23:27:07; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.578217; -10.582127; -10.581189; -10.575523; -10.574651; -10.570169; -10.569890; -10.572868; -10.576248; -10.582072; -10.583016; -10.584895; -10.589731; -10.594439; -10.597054; -10.601103; -10.600357; -10.605344; -10.610899; -10.617499; -10.629151; -10.634742; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.1; 23:27:11; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.561884; -10.571028; -10.570653; -10.573235; -10.573680; -10.580103; -10.596979; -10.601820; -10.598412; -10.601697; -10.601548; -10.601219; -10.602008; -10.597878; -10.595983; -10.592667; -10.590986; -10.589588; -10.586012; -10.583461; -10.583585; -10.584612; -10.585764; -10.584496; -10.580233; -10.577973; -10.578007; -10.580846; -10.583855; -10.590715; -10.594388; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.6; 23:27:13; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.603759; -10.597777; -10.590622; -10.586789; -10.585818; -10.584624; -10.584799; -10.585557; -10.584772; -10.581864; -10.583102; -10.579067; -10.569647; -10.559776; -10.554575; -10.548844; -10.554529; -10.560838; -10.561208; -10.558640; -10.557706; -10.554818; -10.551540; -10.553434; -10.552003; -10.547551; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.9; 23:27:16; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.617740; -10.616874; -10.613329; -10.611281; -10.611174; -10.611031; -10.612024; -10.612482; -10.609241; -10.603748; -10.596761; -10.596119; -10.592635; -10.585167; -10.584356; -10.583131; -10.583633; -10.586630; -10.589192; -10.586449; -10.584154; -10.580312; -10.577625; -10.578328; -10.580704; -10.585040; -10.586853; -10.589600; -10.592927; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
9.3; 23:27:28; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.596029; -10.587798; -10.583893; -10.589707; -10.595134; -10.595007; -10.594173; -10.595290; -10.596767; -10.595867; -10.593845; -10.591866; -10.590388; -10.586278; -10.582546; -10.580497; -10.581403; -10.581247; -10.578430; -10.576637; -10.580245; -10.585299; -10.587819; -10.588310; -10.588677; -10.590137; -10.595100; -10.600222; -10.604877; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10.9; 23:27:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.659367; -10.661709; -10.663209; -10.663358; -10.662438; -10.660876; -10.659353; -10.657804; -10.657199; -10.657832; -10.658625; -10.658697; -10.657881; -10.656340; -10.654103; -10.650862; -10.647143; -10.645290; -10.644663; -10.644668; -10.645378; -10.646326; -10.646806; -10.646557; -10.645733; -10.644623; -10.643708; -10.643487; -10.643926; -10.645123; -10.647461; -10.649562; -10.650185; -10.649994; -10.649014; -10.647417; -10.646732; -10.646166; -10.645837; -10.645771; -10.645531; -10.644490; -10.643397; -10.642631; -10.641932; -10.640587; -10.639559; -10.638605; -10.637829; -10.637595; -10.638261; -10.637940; -10.637626; -10.637326; -10.636848; -10.636533; -10.636918; -10.637972; -10.638628; -10.638948; -10.639521; -10.640724; -10.641555; -10.642241; -10.642550; -10.642746; -10.643088; -10.643048; -10.642712; -10.642238; -10.641476; -10.640469; -10.637923; -10.634407; -10.631693; -10.629892; -10.627979; -10.626403; -10.625482; -10.625727; -10.625122; -10.623955; -10.623214; -10.622315; -10.621627; 
13.6; 23:28:00; -10.676760; -10.676740; -10.676572; -10.677676; -10.678928; -10.678409; -10.677683; -10.677572; -10.678106; -10.678227; -10.677062; -10.675881; -10.674397; -10.672527; -10.670226; -10.668905; -10.669620; -10.670483; -10.670839; -10.671448; -10.672577; -10.673346; -10.673781; -10.675656; -10.677239; -10.678523; -10.680033; -10.681883; -10.683523; -10.685084; -10.686730; -10.687968; -10.688975; -10.689768; -10.690778; -10.692869; -10.694896; -10.696902; -10.697572; -10.698015; -10.698464; -10.698769; -10.699457; -10.700242; -10.700877; -10.701705; -10.702340; -10.702515; -10.702192; -10.701471; -10.700244; -10.699255; -10.699392; -10.700306; -10.701784; -10.703394; -10.704949; -10.705556; -10.705607; -10.705186; -10.704471; -10.703485; -10.702764; -10.703207; -10.703904; -10.704295; -10.703692; -10.702049; -10.699301; -10.696597; -10.694025; -10.691665; -10.690405; -10.689578; -10.689285; -10.689030; -10.688848; -10.688607; -10.687774; -10.687422; -10.687722; -10.688670; -10.689278; -10.690447; -10.691826; -10.692358; -10.692029; -10.691637; -10.690846; -10.689702; -10.688530; -10.687046; -10.684866; -10.682719; -10.680330; -10.678096; -10.675658; -10.674378; -10.673528; -10.672442; -10.671316; -10.670335; -10.669390; -10.668904; -10.668486; -10.668254; -10.668669; -10.669637; -10.670623; -10.671510; -10.671801; -10.671701; -10.671695; -10.672179; -10.672611; -10.673384; -10.674990; -10.676828; -10.677213; -10.677635; -10.678268; -10.678733; -10.679268; -10.679117; -10.678726; -10.678910; -10.679624; -10.679493; -10.677924; -10.676323; -10.674848; -10.673261; -10.672276; -10.672587; -10.672999; -10.673000; -10.672592; -10.672090; -10.672204; -10.672836; 
15.2; 23:28:12; (); -10.685277; -10.686732; -10.687669; -10.687591; -10.686917; -10.686760; -10.686934; -10.686684; -10.686010; -10.685650; -10.685489; -10.685176; -10.684889; -10.684582; -10.684284; -10.684396; -10.685042; -10.685882; -10.686900; -10.687950; -10.688811; -10.689843; -10.691152; -10.692243; -10.693442; -10.694281; -10.694802; -10.695370; -10.696196; -10.696592; -10.696556; -10.696129; -10.695623; -10.695192; -10.695027; -10.694956; -10.695015; -10.695081; -10.694765; -10.694112; -10.693413; -10.692853; -10.692533; -10.692224; -10.692307; -10.692676; -10.692905; -10.693060; -10.692771; -10.692022; -10.691730; -10.692080; -10.693308; -10.694481; -10.695778; -10.696846; -10.697267; -10.697227; -10.696902; -10.696231; -10.695523; -10.695174; -10.695027; -10.695250; -10.695566; -10.694868; -10.692657; -10.689185; -10.685638; -10.682700; -10.680207; -10.678900; -10.678735; -10.679295; -10.679565; -10.679166; -10.678437; -10.677538; -10.676863; -10.676499; -10.676623; -10.677168; -10.678235; -10.679607; -10.680447; -10.680805; -10.679940; -10.677775; -10.675198; -10.672808; -10.670773; -10.668924; -10.667415; -10.666090; -10.664570; -10.662731; -10.661078; -10.659624; -10.658205; -10.656953; -10.656286; -10.655814; -10.655483; -10.655430; -10.655359; -10.654903; -10.654872; -10.654949; -10.655192; -10.655635; -10.656560; -10.657943; -10.658989; -10.659697; -10.659989; -10.660683; -10.661652; -10.662445; -10.663630; -10.665384; -10.666979; -10.667916; -10.668489; -10.668473; -10.668155; -10.667706; -10.666043; -10.664086; -10.662671; -10.662338; -10.661927; -10.661744; -10.662192; -10.663220; -10.662840; -10.662011; -10.661368; -10.660881; -10.661048; 
16.8; 23:28:24; -10.664082; -10.661473; -10.658273; -10.655443; -10.652014; -10.646874; -10.641583; -10.636613; -10.631794; -10.626677; -10.620863; -10.614841; -10.608277; -10.602701; -10.598128; -10.595777; -10.595497; -10.595473; -10.595219; -10.595045; -10.595183; -10.595711; -10.595838; -10.595715; -10.596142; -10.597895; -10.600390; -10.603428; -10.606136; -10.607653; -10.608285; -10.609146; -10.609965; -10.610819; -10.612075; -10.614351; -10.616464; -10.618076; -10.619808; -10.621275; -10.620829; -10.619699; -10.618890; -10.617645; -10.616625; -10.616126; -10.615556; -10.614479; -10.613444; -10.612458; -10.610916; -10.609915; -10.610225; -10.610986; -10.611857; -10.613092; -10.614479; -10.615067; -10.614980; -10.614268; -10.612791; -10.611635; -10.611204; -10.611523; -10.612167; -10.612309; -10.611559; -10.609879; -10.608030; -10.606022; -10.603171; -10.600572; -10.599156; -10.598498; -10.598316; -10.598435; -10.598233; -10.597631; -10.596946; -10.596066; -10.595705; -10.595831; -10.595715; -10.595851; -10.596710; -10.597697; -10.598309; -10.599272; -10.600216; -10.600678; -10.600960; -10.601207; -10.599839; -10.598160; -10.597049; -10.596290; -10.595701; -10.596163; -10.596689; -10.596997; -10.597088; -10.596703; -10.595536; -10.594850; -10.594329; -10.594034; -10.594438; -10.596266; -10.597796; -10.598355; -10.598243; -10.597299; -10.596338; -10.596057; -10.595971; -10.596212; -10.596928; -10.598121; -10.598090; -10.597438; -10.596571; -10.595432; -10.594304; -10.593072; -10.592290; -10.592083; -10.591930; -10.590939; -10.589396; -10.587408; -10.585553; -10.584016; -10.582615; -10.581648; -10.582005; -10.582777; -10.582657; -10.582648; -10.582959; (); 
