Roll Number; 0
Recipe Name; FP 4548_513 GSM
Start Time; 2017-10-31; 23:26:45
File Name; D:\Mahlo\TR\171031232645FP 4548_513 GSM0_FMI2.txt

5.4; 23:27:00; 570.593238; 570.586801; 570.551038; 570.542753; 570.595980; 570.584595; 570.652008; 570.677638; 570.674777; 570.676506; 570.646167; 570.646167; 570.613325; 570.574880; 570.572317; 570.636451; 570.659578; 570.657730; 570.595741; 570.610881; 570.672095; 570.675969; 570.795536; 570.823133; 570.837438; 570.828319; 570.837855; 570.909381; 570.919812; 570.908368; 570.856631; 570.856094; 570.920885; 570.924878; 570.933819; 570.958436; 570.896804; 570.799232; 570.809662; 570.838869; 570.862949; 570.882678; 570.881367; 570.921779; 570.935130; 570.921421; 570.944011; 570.918620; 571.007848; 570.972323; 570.939958; 570.935488; 570.920408; 570.913255; 570.942938; 570.990443; 570.984662; 571.017861; 570.973575; 570.977867; 571.027398; 571.001887; 571.002007; 570.968270; 570.990086; 571.044147; 571.079850; 571.103394; 571.143746; 571.026325; 570.998549; 570.938706; 570.914447; 570.845425; 570.788980; 570.762277; 570.727587; 570.729434; 570.694745; 570.663214; 570.639372; 570.663393; 570.688307; 570.662975; 570.665002; 570.596337; 570.630133; 570.659399; 570.778430; 570.785522; 570.764065; 570.818484; 570.920408; 571.023703; 571.093976; 571.045935; 571.077943; 571.090341; 571.090639; 571.194947; 571.249306; 571.263134; 571.241319; 571.184576; 571.174920; 571.177363; 571.123362; 571.013212; 570.946753; 570.876718; 570.838034; 570.780516; 570.721328; 570.684314; 570.604980; 570.611894; 570.531189; 570.509732; 570.507586; 570.534229; 570.604980; 570.643842; 570.662737; 570.674360; 570.659697; 570.700109; 570.703030; 570.729911; 570.751369; 570.789933; 570.761740; 570.811212; 570.823073; 570.813298; 570.813060; 570.759892; 570.725858; 570.705652; 570.706248; 570.717752; 
7.1; 23:27:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 548.513353; 552.342415; 555.888534; 557.966828; 559.480786; 560.820580; 561.972678; 563.152552; 564.606130; 565.153420; 566.105366; 567.898512; 568.933904; 568.556607; 566.626847; 564.825833; 563.622117; 562.292159; 561.693490; 560.467958; 559.122145; 557.737410; 556.788027; 557.150960; 558.339536; 559.703469; 560.535967; 561.299324; 562.221825; 563.704312; 565.015793; 565.680563; 566.365123; 566.647649; 567.573249; 568.434238; 569.612324; 570.217788; 570.546210; 570.940077; 571.115196; 571.064532; 570.996583; 571.024120; 570.981562; 570.966840; 570.979774; 570.976019; 570.911169; 570.896626; 570.829272; 570.762217; 570.766509; 570.661604; 570.705473; 570.696712; 570.725262; 570.805669; 570.835888; 570.867121; 570.913017; 570.933402; 570.960104; 571.015298; 570.963383; 571.001112; 571.039021; 571.029425; 571.101189; 571.077228; 571.061969; 571.095645; 571.037829; 
7.8; 23:27:07; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 564.567268; 564.331770; 563.795328; 563.649297; 563.732743; 565.041542; 565.452874; 564.295828; 563.323677; 562.404096; 560.486555; 559.252262; 557.477355; 556.266367; 555.219471; 554.573119; 554.016352; 553.404927; 552.560508; 550.857306; 546.862304; 545.320213; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.1; 23:27:11; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 576.937556; 577.571929; 577.807069; 577.836394; 577.575624; 577.871740; 577.991426; 577.846706; 576.923966; 575.489879; 572.424650; 570.375383; 569.115639; 567.195535; 565.744698; 565.004110; 563.172400; 561.673403; 561.586797; 561.288953; 561.129749; 560.484469; 558.156371; 557.368279; 557.851195; 558.095932; 557.707608; 557.710230; 558.583915; 558.699667; 558.122873; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.6; 23:27:13; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 561.191082; 561.296463; 561.780393; 562.203169; 562.183917; 562.454998; 562.550664; 562.413335; 562.475920; 561.702073; 561.686814; 561.998487; 562.082648; 563.466251; 564.413011; 564.171612; 563.961148; 563.339889; 562.550485; 562.048256; 561.784506; 561.727285; 561.787605; 561.069250; 560.882330; 561.846793; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.9; 23:27:16; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 573.692083; 574.162781; 574.819744; 574.908674; 574.057758; 573.696077; 573.518634; 572.185338; 571.376264; 569.539607; 568.205893; 568.042576; 567.435980; 566.129267; 565.254509; 564.407468; 563.499689; 562.355578; 560.922801; 560.526967; 560.892582; 561.619401; 562.131524; 562.040091; 563.350320; 564.177990; 564.064860; 565.060198; 566.182017; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
9.3; 23:27:28; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 565.655529; 567.634642; 567.410171; 566.469491; 565.650344; 564.942598; 564.357162; 563.972533; 562.620997; 561.441660; 560.944200; 561.283827; 561.656535; 561.252534; 561.081290; 560.275257; 558.732092; 558.547556; 558.646739; 558.849514; 559.028327; 559.178174; 559.187591; 559.246719; 559.305251; 559.308589; 559.324086; 559.285045; 559.282243; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10.9; 23:27:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 560.674071; 560.515046; 560.525954; 560.525119; 560.467780; 560.421288; 560.356021; 560.397983; 560.425401; 560.380518; 560.405433; 560.368061; 560.352862; 560.416758; 560.402453; 560.456336; 560.460985; 560.410142; 560.380995; 560.462534; 560.541749; 560.579479; 560.589612; 560.589790; 560.639858; 560.658991; 560.673714; 560.737431; 560.699821; 560.670674; 560.722411; 560.745239; 560.791969; 560.764492; 560.717046; 560.727835; 560.716629; 560.698450; 560.637414; 560.527265; 560.371816; 560.308397; 560.282648; 560.240805; 560.243309; 560.203850; 560.230017; 560.239851; 560.309708; 560.278296; 560.230494; 560.287774; 560.275078; 560.207307; 560.258865; 560.352266; 560.416281; 560.405314; 560.414970; 560.464680; 560.478866; 560.490966; 560.550332; 560.534894; 560.591340; 560.608923; 560.625255; 560.693562; 560.800970; 560.840607; 560.798049; 560.745656; 560.773492; 560.791910; 560.730994; 560.687780; 560.594857; 560.550809; 560.502470; 560.426772; 560.363352; 560.314238; 560.266614; 560.195088; 560.118914; 
13.6; 23:28:00; 560.005128; 559.998691; 559.977293; 559.983730; 559.945464; 559.957623; 559.953928; 559.953630; 559.973538; 559.979200; 559.840381; 559.816182; 559.810936; 559.940338; 559.919894; 559.929609; 560.005307; 560.073495; 560.084343; 560.115635; 560.168684; 560.240507; 560.261726; 560.270190; 560.315371; 560.469031; 560.536623; 560.634613; 560.586691; 560.611904; 560.630143; 560.614526; 560.735881; 560.783327; 560.872734; 560.805380; 560.761571; 560.813785; 560.850501; 560.891449; 560.823143; 560.776114; 560.742974; 560.702562; 560.737073; 560.736597; 560.720265; 560.656786; 560.656786; 560.651720; 560.707152; 560.721219; 560.703635; 560.734808; 560.777605; 560.815275; 560.843945; 560.838878; 560.868144; 560.903609; 560.905755; 560.867608; 560.880005; 560.911417; 560.938835; 560.975254; 560.975552; 561.021626; 561.041772; 560.967267; 560.971558; 560.993135; 561.035395; 561.093390; 561.068416; 561.074972; 561.067700; 561.031222; 560.923100; 560.902357; 560.907066; 560.873151; 560.804844; 560.787857; 560.819387; 560.818017; 560.784340; 560.747802; 560.754597; 560.721278; 560.704350; 560.686469; 560.717642; 560.795784; 560.784042; 560.793579; 560.879529; 560.894907; 560.894072; 560.915947; 560.962617; 560.964644; 560.924530; 560.861886; 560.882688; 560.900390; 560.925484; 560.874224; 560.849130; 560.903251; 560.895562; 560.885727; 560.870528; 560.832202; 560.811102; 560.729921; 560.716689; 560.767829; 560.793161; 560.771763; 560.789347; 560.772002; 560.755670; 560.727417; 560.643017; 560.632467; 560.580313; 560.489476; 560.427606; 560.416877; 560.436010; 560.379863; 560.292244; 560.328782; 560.355783; 560.375214; 560.350120; 560.333550; 560.327709; 560.500920; 
15.2; 23:28:12; (); 560.552239; 560.479403; 560.410082; 560.374439; 560.393155; 560.471117; 560.486317; 560.457110; 560.443759; 560.398459; 560.369968; 560.345173; 560.314596; 560.328364; 560.384810; 560.412049; 560.419321; 560.432136; 560.447574; 560.522437; 560.503423; 560.462296; 560.509682; 560.523093; 560.604453; 560.668766; 560.714066; 560.762107; 560.758829; 560.757935; 560.793817; 560.804665; 560.857356; 560.864866; 560.815394; 560.785055; 560.813963; 560.852945; 560.854852; 560.854018; 560.856938; 560.885429; 560.921133; 560.981512; 560.915411; 560.883105; 560.927987; 560.897648; 560.821891; 560.817420; 560.854375; 560.844719; 560.777068; 560.871005; 560.953736; 560.959637; 560.969114; 560.896516; 560.860991; 560.905695; 560.943663; 560.930490; 560.968757; 561.022758; 561.008751; 560.985863; 560.993671; 560.977578; 560.928345; 560.909927; 560.948908; 560.946524; 560.936511; 560.893893; 560.903311; 560.872912; 560.943186; 560.961664; 560.927808; 560.981631; 560.997725; 560.989022; 560.982168; 560.971975; 560.971975; 560.963154; 560.965955; 561.046064; 561.091065; 561.072886; 561.046064; 561.038971; 561.052382; 561.089337; 561.103344; 561.061323; 561.122894; 561.100125; 561.108589; 561.014354; 560.955167; 560.937822; 560.863435; 560.841203; 560.902059; 560.882151; 560.827017; 560.823202; 560.865104; 560.837924; 560.850680; 560.866594; 560.923815; 560.945749; 561.004996; 561.013579; 561.054766; 561.057925; 560.989499; 560.958326; 560.983896; 561.012745; 561.087549; 561.052740; 561.010897; 561.004281; 560.934484; 560.848773; 560.767114; 560.718715; 560.661674; 560.576022; 560.599744; 560.598671; 560.570240; 560.536027; 560.458183; 560.312569; 560.280442; 
16.8; 23:28:24; 560.395539; 560.385764; 560.361147; 560.258389; 560.205162; 560.222626; 560.252607; 560.195088; 560.146272; 560.183585; 560.162008; 560.134768; 560.151219; 560.153425; 560.162365; 560.153902; 560.185313; 560.142994; 560.232222; 560.294986; 560.338020; 560.352802; 560.421944; 560.536206; 560.542643; 560.560405; 560.638309; 560.729444; 560.757756; 560.685992; 560.586333; 560.566306; 560.652018; 560.668409; 560.637534; 560.656548; 560.712934; 560.711622; 560.790777; 560.819626; 560.859025; 560.886264; 560.827494; 560.861528; 560.969234; 560.975492; 561.023593; 560.996771; 560.979426; 560.965359; 560.922563; 560.879409; 560.897768; 560.764134; 560.822546; 560.780346; 560.733020; 560.707092; 560.687780; 560.668290; 560.691059; 560.730398; 560.748100; 560.735345; 560.719728; 560.750782; 560.745656; 560.720086; 560.748100; 560.637236; 560.709000; 560.727298; 560.755491; 560.776651; 560.810566; 560.864866; 560.817301; 560.734570; 560.757577; 560.813367; 560.797393; 560.814857; 560.792327; 560.774863; 560.777962; 560.720026; 560.704112; 560.700834; 560.685813; 560.603559; 560.547829; 560.517728; 560.572326; 560.593605; 560.665965; 560.661018; 560.629725; 560.630322; 560.721934; 560.759902; 560.778499; 560.708165; 560.710490; 560.757995; 560.762942; 560.766578; 560.767293; 560.718536; 560.674965; 560.612440; 560.610533; 560.645461; 560.652673; 560.568035; 560.610771; 560.626149; 560.784280; 560.785413; 560.703456; 560.784459; 560.800791; 560.829461; 560.935318; 560.906053; 560.921550; 560.890734; 560.919940; 560.915291; 560.992301; 560.985625; 560.972214; 560.855567; 560.858786; 560.844421; 560.773492; 560.740590; 560.745358; 560.672581; 560.679197; (); 
