Roll Number; 0
Recipe Name; FP 4548_513 GSM
Start Time; 2017-11-01; 12:24:34
File Name; D:\Mahlo\TR\171101122434FP 4548_513 GSM0_THICKNESS2.txt

539.0; 11:33:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.605077; -10.607193; -10.608854; -10.611856; -10.615860; -10.619236; -10.625069; -10.630248; -10.634944; -10.641533; -10.648374; -10.652025; -10.656265; -10.660919; -10.662470; -10.667388; -10.670940; -10.673896; -10.674650; -10.673454; -10.673510; -10.673987; -10.675129; -10.676556; -10.676615; -10.678235; -10.681622; -10.681137; -10.678804; -10.676787; -10.674680; -10.677370; -10.682928; -10.688244; -10.692858; -10.695828; -10.695710; -10.694282; -10.692629; -10.691387; -10.689329; -10.691762; -10.695372; -10.698692; -10.700880; -10.702022; -10.698670; -10.694293; -10.694245; -10.693770; -10.689835; -10.685995; -10.683487; -10.684907; -10.687814; -10.688955; -10.688340; -10.691199; -10.692931; -10.693015; -10.692489; -10.695942; -10.698792; -10.694718; -10.693062; -10.694372; -10.695935; -10.696045; -10.694626; -10.694155; -10.694440; -10.693545; -10.692538; -10.695792; -10.697132; -10.694905; -10.689849; -10.688405; -10.692887; -10.697013; -10.699919; -10.701248; -10.699399; -10.696261; -10.696698; -10.698620; -10.698907; -10.696860; -10.692663; -10.691605; -10.694168; -10.697635; -10.696691; -10.691515; -10.688960; -10.687954; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
540.5; 11:33:16; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.698488; -10.687692; -10.687743; -10.684391; -10.673078; -10.658042; -10.648118; -10.644442; -10.636144; -10.628543; -10.630991; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.716934; -10.720189; -10.719090; -10.714572; -10.712016; -10.708647; -10.706556; -10.706813; -10.706093; -10.703810; -10.702546; -10.700101; -10.694225; -10.687563; -10.680275; -10.677118; -10.678125; -10.679911; -10.681643; -10.681449; -10.683064; -10.683508; -10.684188; -10.685100; -10.686877; -10.688823; -10.692521; -10.698429; -10.703534; -10.704962; -10.702928; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
542.0; 11:33:23; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.639860; -10.641764; -10.643692; -10.645653; -10.647334; -10.648984; -10.650151; -10.651124; -10.651970; -10.653929; -10.659276; -10.661786; -10.664086; -10.665700; -10.664933; -10.663039; -10.661766; -10.661763; -10.662161; -10.664317; -10.668704; -10.671180; -10.670884; -10.669285; -10.668322; -10.669301; -10.673651; -10.680509; -10.686932; -10.691510; -10.694385; -10.696668; -10.697512; -10.697709; -10.696488; -10.694623; -10.693027; -10.693493; -10.695692; -10.696469; -10.695197; -10.697875; -10.696877; -10.693414; -10.691573; -10.690323; -10.691473; -10.695402; -10.698382; -10.700166; -10.702188; -10.706395; -10.709487; -10.710871; -10.711250; -10.709375; -10.705225; -10.703727; -10.707522; -10.712534; -10.714971; -10.712978; -10.709187; -10.707567; -10.705348; -10.702553; -10.700420; -10.698343; -10.696943; -10.697635; -10.700679; -10.702633; -10.705401; -10.703910; -10.702080; -10.703281; -10.706179; -10.708756; -10.710506; -10.712140; -10.712604; -10.712720; -10.716986; -10.717988; -10.718885; -10.718342; -10.717387; -10.715581; -10.715963; -10.716425; -10.714844; -10.714707; (); (); (); (); (); (); (); (); (); (); 
542.9; 11:33:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.605487; -10.607888; -10.604818; -10.609656; -10.612894; -10.613939; -10.619125; -10.619978; -10.626686; -10.629819; -10.627044; (); (); (); (); (); (); (); (); (); (); -10.674558; -10.675998; -10.678327; -10.680250; -10.676482; -10.675235; -10.677716; -10.680808; -10.682639; -10.682551; -10.682866; -10.680388; -10.679614; -10.684420; -10.692075; -10.697224; -10.703161; -10.709429; -10.714178; -10.717484; -10.717125; -10.712006; -10.708283; -10.708766; -10.712565; -10.714192; -10.715934; -10.715332; -10.712680; -10.707933; -10.703873; -10.698657; -10.693362; -10.688500; -10.687644; -10.690593; -10.696164; -10.698996; -10.698718; -10.696527; -10.697703; -10.700001; -10.702421; -10.704732; -10.705678; -10.704753; -10.705674; -10.705481; -10.706666; -10.708666; -10.705792; -10.705058; -10.708259; -10.707995; -10.706278; -10.705026; -10.702120; -10.700526; -10.698157; -10.696216; -10.695725; -10.693322; -10.693514; -10.694345; -10.696334; -10.696901; -10.693770; -10.690239; -10.690654; -10.690139; -10.687828; -10.688184; -10.687106; -10.687479; -10.690217; -10.694292; -10.699010; -10.702946; -10.702613; -10.700766; -10.700223; -10.699069; -10.699780; -10.700954; -10.703171; -10.705234; -10.705603; -10.705704; -10.706263; -10.703725; -10.697738; -10.714707; (); (); (); (); (); (); (); (); (); (); 
544.3; 11:33:42; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.596340; -10.600417; -10.600134; -10.596563; -10.596880; -10.596320; -10.599591; -10.606878; -10.614239; -10.616038; -10.618994; -10.620262; -10.622706; -10.625595; -10.627931; -10.629652; -10.628863; -10.634651; -10.642370; -10.646923; -10.650876; -10.648483; -10.646316; -10.647121; -10.649964; -10.651861; -10.652687; -10.653193; -10.654363; -10.656463; -10.660456; -10.666904; -10.668157; -10.668882; -10.670951; -10.674211; -10.679056; -10.680662; -10.680903; -10.681223; -10.682212; -10.685300; -10.687850; -10.688935; -10.689487; -10.689552; -10.685334; -10.682080; -10.679512; -10.677419; -10.676041; -10.676586; -10.675743; -10.674769; -10.674165; -10.674103; -10.674914; -10.675889; -10.677319; -10.679738; -10.682589; -10.685996; -10.693303; -10.695894; -10.698038; -10.701103; -10.703549; -10.705179; -10.706304; -10.706586; -10.705090; -10.702181; -10.700159; -10.699581; -10.695464; -10.689816; -10.684278; -10.675273; -10.669618; -10.664412; -10.658048; -10.651816; -10.649045; -10.646634; -10.642475; -10.639329; -10.637421; -10.634207; -10.632143; -10.635089; -10.639445; -10.643380; -10.646834; -10.650138; -10.652141; -10.653355; -10.655640; -10.658517; -10.659482; -10.663696; -10.667725; -10.671857; -10.675767; -10.674618; -10.672753; -10.673428; -10.675239; -10.676115; -10.677176; -10.681232; -10.685129; -10.686422; -10.687070; -10.688321; -10.689624; -10.689402; -10.689063; (); (); (); (); (); (); 
545.4; 11:33:50; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.596563; -10.624514; -10.621590; -10.620572; -10.620169; -10.621102; -10.622477; -10.621477; -10.627177; -10.634689; -10.636098; -10.634337; -10.632519; -10.632629; -10.631564; -10.632839; -10.638013; -10.644859; -10.648202; -10.653523; -10.657464; -10.663535; -10.674046; -10.680376; -10.681991; -10.683270; -10.686523; -10.690322; -10.691196; -10.691888; -10.691927; -10.690856; -10.690903; -10.694409; -10.695358; -10.696714; -10.695441; -10.693193; -10.692355; -10.691456; -10.694727; -10.695592; -10.696387; -10.699910; -10.700783; -10.697675; -10.694319; -10.692272; -10.690804; -10.688319; -10.685629; -10.683239; -10.681856; -10.681694; -10.683146; -10.683660; -10.685983; -10.687463; -10.687426; -10.690077; -10.697385; -10.702827; -10.705343; -10.707314; -10.710303; -10.710645; -10.711684; -10.710856; -10.707582; -10.706643; -10.707176; -10.705299; -10.701113; -10.698199; -10.699620; -10.701965; -10.704107; -10.704230; -10.700912; -10.697464; -10.695285; -10.693759; -10.698505; -10.704665; -10.706770; -10.703310; -10.702883; -10.705230; -10.704859; -10.700324; -10.695235; -10.693778; -10.694269; -10.696595; -10.700339; -10.705700; -10.709296; -10.708590; -10.708252; -10.709889; -10.712224; -10.710488; -10.708055; -10.706562; -10.705641; -10.704660; -10.702458; -10.701710; -10.701955; -10.700408; -10.696359; -10.691197; -10.686423; -10.682248; (); (); (); (); (); (); 
546.6; 11:33:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.646947; -10.644177; -10.643727; -10.644815; -10.641885; -10.639712; -10.637247; -10.634703; -10.633752; -10.632209; -10.626204; -10.617867; -10.612299; -10.608848; -10.610529; -10.613215; -10.613678; -10.612430; -10.610013; -10.609036; -10.608973; -10.611611; -10.615199; -10.615617; -10.616978; -10.619432; -10.620373; -10.622903; -10.629844; -10.634585; -10.636534; -10.640096; -10.644753; -10.650279; -10.657656; -10.663706; -10.669375; -10.674772; -10.679151; -10.682202; -10.685337; -10.691073; -10.695905; -10.696564; -10.693148; -10.690504; -10.686610; -10.682573; -10.677760; -10.673849; -10.674631; -10.674439; -10.674016; -10.675125; -10.674778; -10.675957; -10.674479; -10.671390; -10.668443; -10.668543; -10.670533; -10.676291; -10.680943; -10.684293; -10.687482; -10.683276; -10.678129; -10.674208; -10.673040; -10.673287; -10.672419; -10.671004; -10.666311; -10.661320; -10.657765; -10.657186; -10.650202; -10.643019; -10.637235; -10.631628; -10.628872; -10.626821; -10.625546; -10.623937; -10.620853; -10.619698; -10.622812; -10.630373; -10.637568; -10.641539; -10.644269; -10.650632; -10.657386; -10.664012; -10.670575; -10.674184; -10.675884; -10.676384; -10.677775; -10.678649; -10.676649; -10.674115; -10.670603; -10.668066; -10.665908; -10.663999; -10.663518; -10.663735; -10.663292; -10.662630; -10.663386; -10.664002; -10.664977; -10.665905; -10.670067; -10.673421; (); (); (); 
547.7; 11:34:07; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.602904; -10.608802; -10.610700; -10.608359; -10.608708; -10.613612; -10.617808; -10.619763; -10.622593; -10.625239; -10.624769; -10.628444; -10.629756; -10.630213; -10.628857; -10.629144; -10.628169; -10.631818; -10.636979; -10.639125; -10.636440; -10.634730; -10.635761; -10.637385; -10.639272; -10.642150; -10.645033; -10.644653; -10.646915; -10.649890; -10.652599; -10.658590; -10.662057; -10.665677; -10.669787; -10.672580; -10.675012; -10.677041; -10.676547; -10.676558; -10.677141; -10.676539; -10.673484; -10.673916; -10.674357; -10.671369; -10.666000; -10.662368; -10.658570; -10.655233; -10.654372; -10.656402; -10.661126; -10.665869; -10.666054; -10.665842; -10.671033; -10.677380; -10.678928; -10.682521; -10.687316; -10.690283; -10.691899; -10.695392; -10.698998; -10.698553; -10.694510; -10.687732; -10.682315; -10.679880; -10.678704; -10.677541; -10.676864; -10.675931; -10.670397; -10.662264; -10.655870; -10.650510; -10.644303; -10.642813; -10.644634; -10.647162; -10.649309; -10.649748; -10.652555; -10.649157; -10.644970; -10.643222; -10.645251; -10.647089; -10.650313; -10.656123; -10.661327; -10.662750; -10.662144; -10.661532; -10.663143; -10.665354; -10.666323; -10.665794; -10.666860; -10.667591; -10.665216; -10.660958; -10.660726; -10.660917; -10.662351; -10.663273; -10.663589; -10.663144; -10.661227; -10.657567; -10.654189; -10.653894; -10.654433; (); (); (); 
548.8; 11:34:15; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.613705; -10.610061; -10.608211; -10.607941; -10.608004; -10.607503; -10.606100; -10.605440; -10.605076; -10.603464; -10.603955; -10.607335; -10.606223; -10.603975; -10.603181; -10.606799; -10.609921; -10.613314; -10.617523; -10.622621; -10.627780; -10.636578; -10.642267; -10.645727; -10.641200; -10.624764; -10.625512; -10.625941; -10.628672; -10.632223; -10.633898; -10.634625; -10.631037; -10.626828; -10.625980; -10.626907; -10.625793; -10.624078; -10.623785; -10.630178; -10.646508; -10.647166; -10.649125; -10.651497; -10.651201; -10.649376; -10.649135; -10.652468; -10.655783; -10.658050; -10.658192; -10.656980; -10.659903; -10.664479; -10.669407; -10.673093; -10.674690; -10.675095; -10.675529; -10.679973; -10.686125; -10.692189; -10.695716; -10.695279; -10.692508; -10.691654; -10.693919; -10.693556; -10.692020; -10.688297; -10.685040; -10.682204; -10.679279; -10.675834; -10.672763; -10.668469; -10.661949; -10.658568; -10.659082; -10.658980; -10.656388; -10.653146; -10.649944; -10.650164; -10.650407; -10.652712; -10.656313; -10.660075; -10.663887; -10.666246; -10.670162; -10.672564; -10.674071; -10.676850; -10.682395; -10.687741; -10.690545; -10.690104; -10.686032; -10.685838; -10.684084; -10.683858; -10.685415; -10.684366; -10.682814; -10.683296; -10.685041; -10.685331; -10.682567; -10.677715; -10.674151; -10.672800; -10.678809; -10.683897; (); (); (); (); 
550.0; 11:34:24; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.663872; -10.662937; -10.663815; -10.667589; -10.666359; -10.660737; -10.656489; -10.654948; -10.657350; -10.657944; -10.655209; -10.650728; -10.649670; -10.654002; -10.659667; -10.662116; -10.659946; -10.657252; -10.657776; -10.664019; -10.671131; -10.677129; -10.679413; -10.678036; -10.676482; -10.676884; -10.679062; -10.679763; -10.677025; -10.671320; -10.671823; -10.676556; -10.677677; -10.675723; -10.670140; -10.665285; -10.663594; -10.665703; -10.671387; -10.678798; -10.680510; -10.682441; -10.679950; -10.677978; -10.677847; -10.676799; -10.681172; -10.685252; -10.686886; -10.686239; -10.687828; -10.688798; -10.688164; -10.685677; -10.681416; -10.681330; -10.685125; -10.693839; -10.701228; -10.702871; -10.701022; -10.696770; -10.691184; -10.689182; -10.690667; -10.693816; -10.693159; -10.691519; -10.685704; -10.679518; -10.676388; -10.669247; -10.662033; -10.659730; -10.660730; -10.662376; -10.663444; -10.666908; -10.671230; -10.674745; -10.676674; -10.679670; -10.684286; -10.688923; -10.692553; -10.695283; -10.697819; -10.697001; -10.696789; -10.696135; -10.695115; -10.693579; -10.689358; -10.686409; -10.684184; -10.683324; -10.683055; -10.681950; -10.683591; -10.686379; -10.688636; -10.689260; -10.691555; -10.688804; -10.686278; -10.686518; -10.689694; -10.691994; -10.692267; -10.691024; -10.688710; -10.687224; -10.686077; -10.683754; -10.679943; -10.677103; -10.677949; -10.677343; (); (); (); (); 
551.1; 11:34:32; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -10.658285; -10.661439; -10.658851; -10.659698; -10.660365; -10.658656; -10.655435; -10.654562; -10.657769; -10.662864; -10.668454; -10.671164; -10.672973; -10.673901; -10.670327; -10.664109; -10.663020; -10.667112; -10.672999; -10.676122; -10.678615; -10.681170; -10.681789; -10.678929; -10.675736; -10.675129; -10.677632; -10.681917; -10.685912; -10.688514; -10.686596; -10.685680; -10.684105; -10.681270; -10.680939; -10.682429; -10.682727; -10.683117; -10.689387; -10.695665; -10.699818; -10.696660; -10.691097; -10.687471; -10.685749; -10.687558; -10.688872; -10.687680; -10.685495; -10.684301; -10.683904; -10.685261; -10.685692; -10.683192; -10.681647; -10.681325; -10.682651; -10.682090; -10.680143; -10.678388; -10.677306; -10.677956; -10.680197; -10.681796; -10.683766; -10.687920; -10.688211; -10.686505; -10.683179; -10.679674; -10.677477; -10.677623; -10.678216; -10.677743; -10.675431; -10.672574; -10.668786; -10.665744; -10.662400; -10.656715; -10.652361; -10.652418; -10.652384; -10.650988; -10.650232; -10.650906; -10.650620; -10.654744; -10.660082; -10.665434; -10.670086; -10.671955; -10.673041; -10.673468; -10.673835; -10.675277; -10.679690; -10.682122; -10.688226; -10.695166; -10.696831; -10.703860; -10.709906; -10.711240; -10.710090; -10.709232; -10.710812; -10.714075; -10.719861; -10.726403; -10.728623; -10.730125; -10.735639; (); (); (); (); (); (); (); (); (); 
