Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-15; 11:19:30
File Name; D:\Mahlo\TR\171115111930FP 4577_360 GSM0_XMF2.txt

35295.7; 11:19:42; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 4.878480; 4.853363; 4.589210; 4.353072; 4.158805; 3.972004; 3.814431; 3.695694; 3.557716; 3.353259; 3.173298; 2.991472; 2.783910; 2.604287; 2.425290; 2.221367; 2.056947; 2.045315; 2.045606; 2.046207; 2.048629; 2.051916; 2.053921; 2.054715; 2.055006; 2.054146; 2.052041; 2.050244; 2.049480; 2.049472; 2.048893; 2.046961; 2.045306; 2.043958; 2.042271; 2.040292; 2.038842; 2.038422; 2.038893; 2.040062; 2.041864; 2.044094; 2.045508; 2.045658; 2.045526; 2.045606; 2.045448; 2.045572; 2.046919; 2.047747; 2.047023; 2.045849; 2.045130; 2.044394; 2.042358; 2.039666; 2.037730; 2.036045; 2.034109; 2.033309; 2.033647; 2.033577; 2.031885; 2.028489; 2.025560; 2.023703; 2.021071; 2.017330; 2.013207; 2.009973; 2.008471; 2.007871; 2.006565; 2.003398; 1.998826; 1.994549; 1.991365; 1.989442; 1.988295; 1.987196; 1.986670; 1.986828; 1.987275; 1.987980; 1.988497; 1.987851; 1.985358; 1.984026; 1.984832; 1.986852; 1.988276; 1.989799; 1.992061; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35309.1; 11:20:25; (); (); (); (); (); (); (); 1.839121; 1.845782; 1.851965; 1.857558; 1.864074; 1.869215; 1.872284; 1.875211; 1.895550; 1.911808; 1.916341; 1.919184; 1.922874; 1.925677; 1.927323; 1.928908; 1.930820; 1.933606; 1.935590; 1.936507; 1.937939; 1.941329; 1.945375; 1.946923; 1.947389; 1.948604; 1.950369; 1.951208; 1.951754; 1.953804; 1.955940; 1.957450; 1.958014; 1.957960; 1.957943; 1.957755; 1.956249; 1.953373; 1.951591; 1.951305; 1.950613; 1.948353; 1.946282; 1.944320; 1.942238; 1.939992; 1.937162; 1.934247; 1.933124; 1.933121; 1.933001; 1.932730; 1.932694; 1.933676; 1.934172; 1.934467; 1.936029; 1.938361; 1.940115; 1.941925; 1.944431; 1.946701; 1.948237; 1.948121; 1.946046; 1.943963; 1.942526; 1.941645; 1.940183; 1.938624; 1.936879; 1.933938; 1.930597; 1.927394; 1.925111; 1.923359; 1.921927; 1.921150; 1.921480; 1.922290; 1.922886; 1.924071; 1.924540; 1.924503; 1.924694; 1.925204; 1.926579; 1.928560; 1.928895; 1.927323; 1.926242; 1.925687; 1.924899; 1.924073; 1.924425; 1.924243; 1.922948; 1.922195; 1.921802; 1.920935; 1.919529; 1.918268; 1.916742; 1.915007; 1.914196; 1.914106; 1.912711; 1.910928; 1.908789; 1.905871; 1.900985; 1.891225; 1.881599; 1.879083; 1.876072; 1.873445; 1.869251; 1.863414; 1.858256; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35311.5; 11:20:34; (); (); (); (); (); (); (); 1.839121; 1.908861; 1.916958; 1.919002; 1.920159; 1.921960; 1.923593; 1.927421; 1.940658; 1.945982; 1.946725; 1.943876; 1.940854; 1.939115; 1.937553; 1.935090; 1.932601; 1.931065; 1.931188; 1.931460; 1.930520; 1.929450; 1.929955; 1.931552; 1.931782; 1.931958; 1.933476; 1.934491; 1.934647; 1.934344; 1.933694; 1.933468; 1.933282; 1.933004; 1.933193; 1.934152; 1.934420; 1.933512; 1.932550; 1.932613; 1.932051; 1.930156; 1.928646; 1.928308; 1.928823; 1.929245; 1.928876; 1.928406; 1.927365; 1.924865; 1.921919; 1.920558; 1.920561; 1.920363; 1.919845; 1.918975; 1.917452; 1.915952; 1.914237; 1.911408; 1.908374; 1.907320; 1.907761; 1.909032; 1.910799; 1.912438; 1.913783; 1.915203; 1.916484; 1.917669; 1.919997; 1.923111; 1.926934; 1.931289; 1.935702; 1.939375; 1.940790; 1.940949; 1.941187; 1.942829; 1.945072; 1.946139; 1.945916; 1.945592; 1.946617; 1.948101; 1.948590; 1.948757; 1.949361; 1.949681; 1.949591; 1.949055; 1.949038; 1.948547; 1.945909; 1.943385; 1.941605; 1.940591; 1.938929; 1.936036; 1.932813; 1.929823; 1.926395; 1.922882; 1.921053; 1.919675; 1.918758; 1.917549; 1.914935; 1.912203; 1.899160; 1.885112; 1.882690; 1.880357; 1.876581; 1.872602; 1.868578; 1.863768; 1.858881; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35314.0; 11:20:43; (); (); (); (); (); (); (); (); 1.890111; 1.895975; 1.899830; 1.903098; 1.905959; 1.907847; 1.909149; 1.914165; 1.929853; 1.934221; 1.932976; 1.932421; 1.932237; 1.932731; 1.932441; 1.932277; 1.932643; 1.932459; 1.932721; 1.932638; 1.931834; 1.930981; 1.932858; 1.935233; 1.936466; 1.937408; 1.938281; 1.938839; 1.939563; 1.940807; 1.941218; 1.940819; 1.939734; 1.937878; 1.936293; 1.936489; 1.936745; 1.934835; 1.932155; 1.929879; 1.929592; 1.930626; 1.931037; 1.930520; 1.929989; 1.929764; 1.930714; 1.933801; 1.937209; 1.939249; 1.940817; 1.943566; 1.946247; 1.947487; 1.949263; 1.950437; 1.949212; 1.948022; 1.946872; 1.945113; 1.943167; 1.939407; 1.935035; 1.932539; 1.930733; 1.927474; 1.923320; 1.920720; 1.919319; 1.917575; 1.916091; 1.915890; 1.915690; 1.915168; 1.913962; 1.912082; 1.911123; 1.911283; 1.911673; 1.912499; 1.913075; 1.912917; 1.911773; 1.910510; 1.909503; 1.908713; 1.908410; 1.908632; 1.909986; 1.911681; 1.913163; 1.914867; 1.916049; 1.916889; 1.918625; 1.920773; 1.922769; 1.924543; 1.924810; 1.924270; 1.923340; 1.922576; 1.921322; 1.919462; 1.918432; 1.917753; 1.916971; 1.916480; 1.915058; 1.910067; 1.899505; 1.885654; 1.881449; 1.879351; 1.877766; 1.875320; 1.870288; 1.864305; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35316.5; 11:20:51; (); (); (); (); (); (); (); (); 1.831339; 1.840542; 1.847124; 1.852908; 1.856988; 1.859922; 1.864106; 1.879661; 1.889351; 1.892246; 1.893261; 1.894653; 1.897241; 1.900500; 1.901506; 1.901089; 1.900195; 1.898582; 1.897123; 1.896043; 1.895325; 1.894683; 1.894287; 1.893733; 1.893079; 1.892183; 1.890687; 1.888181; 1.885227; 1.883358; 1.882764; 1.882596; 1.881982; 1.881145; 1.880371; 1.879619; 1.879186; 1.877565; 1.874792; 1.870486; 1.866504; 1.864255; 1.864365; 1.866646; 1.869361; 1.870312; 1.870987; 1.872237; 1.873599; 1.874687; 1.876252; 1.877651; 1.879621; 1.883569; 1.889221; 1.894001; 1.896942; 1.899044; 1.901289; 1.902919; 1.904249; 1.905851; 1.907352; 1.908931; 1.910203; 1.910823; 1.912053; 1.913978; 1.915089; 1.914918; 1.915380; 1.916625; 1.917670; 1.918446; 1.920052; 1.922340; 1.923880; 1.924869; 1.926138; 1.927284; 1.928734; 1.930668; 1.933182; 1.935275; 1.936411; 1.936685; 1.936117; 1.933900; 1.931809; 1.930201; 1.928215; 1.927198; 1.926472; 1.924562; 1.921718; 1.917046; 1.912595; 1.908032; 1.904514; 1.902797; 1.901902; 1.901205; 1.900699; 1.898574; 1.895244; 1.894169; 1.893088; 1.892528; 1.891812; 1.882057; 1.870487; 1.869643; 1.867920; 1.865340; 1.862762; 1.860091; 1.856496; 1.852673; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35319.0; 11:21:00; (); (); (); (); (); (); (); (); 1.836409; 1.837845; 1.843127; 1.848310; 1.853675; 1.857787; 1.860235; 1.863043; 1.877125; 1.883283; 1.884350; 1.885383; 1.884755; 1.884943; 1.884490; 1.886879; 1.888867; 1.887943; 1.886503; 1.883840; 1.881751; 1.880349; 1.879607; 1.879444; 1.878551; 1.878045; 1.878666; 1.880155; 1.881110; 1.881959; 1.882179; 1.881826; 1.881629; 1.882545; 1.884405; 1.887036; 1.890651; 1.893301; 1.893727; 1.893384; 1.892721; 1.892058; 1.891630; 1.891504; 1.890921; 1.890761; 1.891779; 1.892649; 1.892950; 1.893459; 1.892822; 1.891030; 1.889820; 1.889730; 1.889436; 1.888777; 1.887841; 1.886674; 1.886077; 1.886776; 1.887103; 1.886470; 1.886411; 1.886390; 1.885478; 1.885145; 1.884308; 1.882340; 1.880110; 1.879484; 1.879137; 1.878152; 1.876808; 1.875501; 1.873809; 1.872071; 1.870662; 1.868923; 1.867116; 1.865922; 1.865242; 1.865305; 1.866244; 1.867369; 1.867794; 1.869019; 1.871337; 1.873302; 1.874470; 1.876151; 1.878293; 1.879872; 1.880876; 1.881879; 1.882018; 1.881108; 1.880998; 1.881350; 1.880862; 1.880741; 1.880956; 1.880851; 1.881365; 1.882348; 1.882332; 1.882289; 1.884459; 1.886662; 1.886609; 1.883922; 1.874451; 1.863007; 1.861934; 1.861493; 1.860264; 1.857797; 1.853896; 1.847662; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35321.6; 11:21:09; (); (); (); (); (); (); (); (); 1.878105; 1.879252; 1.879256; 1.879309; 1.879016; 1.879087; 1.880282; 1.890821; 1.893929; 1.891430; 1.888009; 1.885018; 1.882265; 1.879809; 1.878609; 1.878135; 1.877879; 1.877176; 1.876078; 1.875313; 1.874289; 1.873135; 1.872214; 1.871823; 1.871566; 1.871187; 1.871204; 1.871753; 1.871657; 1.870971; 1.870075; 1.869462; 1.870808; 1.873136; 1.873963; 1.874361; 1.874598; 1.874100; 1.873477; 1.873474; 1.874181; 1.874523; 1.874379; 1.874818; 1.874344; 1.874413; 1.874710; 1.873216; 1.871682; 1.871947; 1.871834; 1.872301; 1.873035; 1.874067; 1.875457; 1.875983; 1.875048; 1.873757; 1.872323; 1.872128; 1.872382; 1.873222; 1.874271; 1.874537; 1.874661; 1.876721; 1.877814; 1.877911; 1.877674; 1.877456; 1.877601; 1.878979; 1.880492; 1.880693; 1.880394; 1.879809; 1.878042; 1.876009; 1.874172; 1.871599; 1.868472; 1.866773; 1.865942; 1.865410; 1.864327; 1.862944; 1.861379; 1.860452; 1.860724; 1.861017; 1.860303; 1.859635; 1.859248; 1.860305; 1.862116; 1.863563; 1.864637; 1.865479; 1.865589; 1.865588; 1.865827; 1.865969; 1.865879; 1.863455; 1.860572; 1.860052; 1.859661; 1.858869; 1.856609; 1.849142; 1.831313; 1.823369; 1.818697; 1.813422; 1.808368; 1.803002; 1.795284; 1.788758; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35324.1; 11:21:17; (); (); (); (); (); (); (); (); 1.842712; 1.847812; 1.855334; 1.860667; 1.864810; 1.867774; 1.869541; 1.873338; 1.884276; 1.886676; 1.886003; 1.886902; 1.887783; 1.888187; 1.888143; 1.889297; 1.889205; 1.888322; 1.889041; 1.889568; 1.891013; 1.893009; 1.894496; 1.896713; 1.898237; 1.898421; 1.897788; 1.897812; 1.898928; 1.900870; 1.901258; 1.899877; 1.897953; 1.896556; 1.894891; 1.891912; 1.889720; 1.889234; 1.890341; 1.892493; 1.894436; 1.894792; 1.893645; 1.893245; 1.894918; 1.896884; 1.897697; 1.898065; 1.898541; 1.899427; 1.900511; 1.901258; 1.901354; 1.899806; 1.896564; 1.893405; 1.891949; 1.891408; 1.890097; 1.887925; 1.886686; 1.886418; 1.885941; 1.885216; 1.884044; 1.882684; 1.880688; 1.879166; 1.879346; 1.880665; 1.880636; 1.879391; 1.878344; 1.878002; 1.877671; 1.878171; 1.879358; 1.879385; 1.878119; 1.877331; 1.877517; 1.879016; 1.880261; 1.879223; 1.878168; 1.879039; 1.881235; 1.883302; 1.884414; 1.884538; 1.884157; 1.883570; 1.883698; 1.885216; 1.886801; 1.886936; 1.886458; 1.886365; 1.887411; 1.888791; 1.889627; 1.889494; 1.888769; 1.888159; 1.887676; 1.887618; 1.888070; 1.887264; 1.885177; 1.881019; 1.873494; 1.867112; 1.865426; 1.863230; 1.861191; 1.858778; 1.855779; 1.852523; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35326.6; 11:21:26; (); (); (); (); (); (); (); (); 1.890123; 1.891188; 1.892118; 1.892249; 1.891916; 1.891652; 1.890678; 1.896746; 1.900699; 1.899498; 1.896028; 1.890869; 1.885931; 1.883763; 1.882632; 1.881691; 1.881982; 1.882454; 1.882445; 1.882467; 1.882626; 1.884284; 1.887154; 1.889019; 1.889901; 1.892082; 1.896111; 1.900026; 1.902257; 1.903299; 1.904288; 1.903910; 1.903393; 1.903780; 1.904152; 1.903156; 1.901019; 1.898813; 1.896980; 1.894412; 1.891312; 1.888290; 1.886098; 1.884880; 1.883517; 1.882037; 1.881108; 1.880827; 1.880884; 1.880214; 1.880486; 1.881368; 1.881480; 1.880590; 1.880402; 1.880397; 1.879766; 1.878268; 1.876749; 1.876640; 1.878029; 1.879590; 1.880756; 1.882185; 1.885005; 1.886202; 1.886387; 1.888631; 1.892106; 1.895968; 1.899076; 1.900455; 1.902195; 1.904614; 1.905414; 1.905024; 1.904491; 1.903384; 1.900306; 1.897666; 1.897231; 1.897175; 1.895979; 1.893599; 1.891211; 1.890315; 1.890422; 1.890495; 1.890809; 1.891410; 1.890883; 1.889629; 1.889219; 1.890703; 1.892469; 1.893974; 1.895371; 1.895673; 1.894863; 1.893600; 1.891714; 1.890141; 1.887841; 1.886618; 1.885615; 1.885570; 1.885363; 1.883511; 1.880708; 1.867356; 1.856123; 1.852708; 1.849199; 1.846600; 1.844285; 1.841879; 1.838766; 1.836774; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35329.1; 11:21:35; (); (); (); (); (); (); (); (); 1.843575; 1.846940; 1.850349; 1.852696; 1.855154; 1.857735; 1.860341; 1.865826; 1.879930; 1.882550; 1.880688; 1.880570; 1.881879; 1.884090; 1.886322; 1.889909; 1.893406; 1.894879; 1.896583; 1.898268; 1.900123; 1.901696; 1.902373; 1.902506; 1.902333; 1.902158; 1.901408; 1.899868; 1.897908; 1.895389; 1.892097; 1.890339; 1.889321; 1.886670; 1.883677; 1.881591; 1.879092; 1.877330; 1.878057; 1.880009; 1.881803; 1.883085; 1.885309; 1.888570; 1.891401; 1.893292; 1.893152; 1.893161; 1.894847; 1.895894; 1.895657; 1.896916; 1.898581; 1.898100; 1.896825; 1.896213; 1.894891; 1.891613; 1.888607; 1.886224; 1.884451; 1.883914; 1.883728; 1.883950; 1.884828; 1.885710; 1.884919; 1.883343; 1.882443; 1.882363; 1.881917; 1.882178; 1.883409; 1.885467; 1.886773; 1.887151; 1.887196; 1.886675; 1.885650; 1.884350; 1.883008; 1.881805; 1.880608; 1.879080; 1.877722; 1.876824; 1.876249; 1.875385; 1.873047; 1.868861; 1.864598; 1.861458; 1.859636; 1.859020; 1.858037; 1.856922; 1.857222; 1.858469; 1.859553; 1.859484; 1.858587; 1.856633; 1.854731; 1.855005; 1.858276; 1.862572; 1.864573; 1.864901; 1.863044; 1.859080; 1.850027; 1.845582; 1.843360; 1.841250; 1.839044; 1.837555; 1.836178; 1.834001; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35331.6; 11:21:43; (); (); (); (); (); (); (); 1.853629; 1.860369; 1.868732; 1.872342; 1.875565; 1.878937; 1.880562; 1.884739; 1.895865; 1.899777; 1.898799; 1.896386; 1.894653; 1.894224; 1.894076; 1.892928; 1.891583; 1.890630; 1.890053; 1.888134; 1.884409; 1.881502; 1.881687; 1.884414; 1.887055; 1.887604; 1.886863; 1.885242; 1.883643; 1.882896; 1.881780; 1.879827; 1.878060; 1.877533; 1.878682; 1.880992; 1.883387; 1.883782; 1.881598; 1.879020; 1.877232; 1.876584; 1.876569; 1.875188; 1.872589; 1.870205; 1.868744; 1.868171; 1.867678; 1.868231; 1.869526; 1.870163; 1.870509; 1.870616; 1.871217; 1.872069; 1.873103; 1.874590; 1.876758; 1.879485; 1.882101; 1.883944; 1.885219; 1.885082; 1.883627; 1.882009; 1.881855; 1.883912; 1.886282; 1.888387; 1.889887; 1.890010; 1.889725; 1.890187; 1.892162; 1.893594; 1.893884; 1.893823; 1.894162; 1.895045; 1.896284; 1.896660; 1.896587; 1.897052; 1.898277; 1.900125; 1.902020; 1.902190; 1.901596; 1.901545; 1.903030; 1.905347; 1.907001; 1.907738; 1.907416; 1.906111; 1.903846; 1.901168; 1.898274; 1.894725; 1.891857; 1.889284; 1.888803; 1.887884; 1.884299; 1.880920; 1.877755; 1.876012; 1.874325; 1.871163; 1.859015; 1.854493; 1.852751; 1.851014; 1.849844; 1.847394; 1.845794; 1.842225; 1.834001; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
