Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-15; 11:19:30
File Name; D:\Mahlo\TR\171115111930FP 4577_360 GSM0_THICKNESS2.txt

35295.7; 11:19:42; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.936381; 0.935653; 0.934712; 0.936013; 0.936600; 0.935779; 0.937861; 0.936733; 0.936665; 0.938212; 0.940471; 0.941987; 0.942525; 0.943236; 0.944007; 0.945518; 0.947481; 0.949111; 0.949039; 0.950710; 0.952798; 0.951849; 0.954782; 0.955315; 0.956488; 0.959734; 0.960105; 0.962347; 0.964894; 0.966117; 0.965424; 0.965171; 0.966704; 0.966887; 0.965784; 0.964972; 0.964780; 0.962094; 0.960385; 0.957800; 0.955488; 0.955484; 0.954777; 0.951054; 0.948918; 0.948914; 0.948917; 0.948091; 0.949924; 0.952203; 0.954658; 0.958726; 0.962508; 0.965479; 0.967756; 0.969410; 0.970208; 0.970829; 0.973730; 0.976902; 0.978787; 0.979886; 0.979653; 0.981040; 0.982170; 0.982027; 0.979838; 0.978482; 0.977015; 0.976119; 0.975142; 0.974198; 0.974062; 0.975115; 0.976376; 0.977455; 0.978643; 0.980170; 0.981099; 0.981344; 0.981395; 0.983894; 0.988979; 0.994153; 0.996120; 0.998562; 1.001149; 1.003085; 1.003839; 1.003927; 1.004863; 1.006968; 1.008969; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35309.1; 11:20:25; (); (); (); (); (); (); (); 0.951786; 0.952130; 0.954171; 0.955791; 0.956514; 0.955665; 0.954954; 0.954387; 0.954248; 0.952497; 0.950435; 0.948962; 0.948617; 0.949407; 0.946419; 0.945939; 0.945631; 0.943903; 0.942488; 0.942143; 0.944119; 0.946127; 0.947064; 0.948123; 0.951092; 0.955070; 0.957251; 0.957648; 0.955909; 0.956655; 0.958975; 0.959821; 0.959814; 0.961611; 0.963918; 0.964033; 0.964270; 0.965609; 0.966942; 0.968440; 0.970777; 0.973534; 0.976680; 0.980628; 0.982621; 0.982482; 0.983718; 0.985542; 0.984474; 0.982962; 0.982443; 0.981744; 0.981376; 0.981993; 0.982483; 0.981011; 0.979529; 0.976789; 0.975633; 0.977479; 0.977994; 0.978817; 0.979549; 0.980091; 0.980906; 0.982291; 0.981830; 0.980476; 0.978843; 0.977082; 0.976486; 0.976209; 0.977813; 0.978097; 0.976464; 0.976837; 0.976157; 0.975644; 0.976254; 0.976221; 0.974241; 0.976365; 0.978914; 0.979750; 0.979442; 0.977882; 0.978868; 0.978787; 0.978894; 0.979043; 0.977417; 0.976153; 0.976790; 0.977798; 0.978363; 0.980011; 0.978564; 0.978634; 0.978455; 0.979293; 0.981824; 0.981646; 0.981004; 0.980048; 0.979806; 0.981069; 0.981761; 0.979609; 0.977114; 0.975639; 0.974853; 0.975973; 0.975569; 0.975556; 0.975633; 0.974783; 0.973433; 0.972748; 0.972963; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35311.5; 11:20:34; (); (); (); (); (); (); (); 0.951786; 0.917550; 0.917515; 0.920078; 0.919539; 0.918696; 0.919692; 0.919779; 0.922410; 0.922027; 0.921137; 0.920671; 0.918003; 0.918026; 0.919266; 0.920363; 0.921009; 0.920409; 0.916777; 0.918066; 0.920598; 0.922075; 0.924425; 0.926910; 0.928759; 0.928753; 0.927063; 0.927047; 0.926432; 0.927854; 0.928672; 0.929275; 0.929649; 0.933285; 0.934811; 0.934191; 0.933199; 0.933202; 0.934426; 0.935557; 0.938235; 0.941952; 0.943168; 0.943713; 0.943212; 0.942982; 0.944325; 0.947754; 0.947493; 0.948046; 0.949463; 0.950514; 0.950473; 0.950591; 0.951332; 0.952482; 0.954457; 0.957683; 0.961282; 0.964886; 0.967606; 0.968702; 0.970033; 0.973000; 0.975886; 0.978364; 0.980718; 0.982792; 0.983607; 0.985925; 0.987244; 0.986805; 0.986732; 0.988575; 0.988508; 0.990757; 0.992322; 0.992349; 0.993724; 0.993651; 0.992839; 0.994185; 0.997304; 0.999358; 0.999266; 1.001394; 1.004575; 1.005347; 1.003312; 1.001660; 1.000569; 1.001316; 1.002826; 1.003274; 1.004711; 1.006063; 1.006112; 1.005442; 1.004786; 1.003716; 0.999418; 0.997050; 0.997780; 0.998918; 1.000462; 1.001516; 1.002047; 1.002023; 1.001680; 1.000670; 0.999540; 0.998090; 0.997435; 0.997196; 0.998309; 1.001686; 1.004024; 1.004764; 1.005938; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35314.0; 11:20:43; (); (); (); (); (); (); (); (); 0.923424; 0.923016; 0.925523; 0.931549; 0.934424; 0.934102; 0.934069; 0.934459; 0.937634; 0.938887; 0.938641; 0.940955; 0.943867; 0.945432; 0.945979; 0.947080; 0.949861; 0.949837; 0.947405; 0.946423; 0.948289; 0.950213; 0.953515; 0.956019; 0.958759; 0.963106; 0.965005; 0.964299; 0.964695; 0.966043; 0.967460; 0.968339; 0.969932; 0.971831; 0.973139; 0.974942; 0.976036; 0.976368; 0.976362; 0.977115; 0.977722; 0.976481; 0.978785; 0.980132; 0.980082; 0.979535; 0.978961; 0.977015; 0.977496; 0.978662; 0.977678; 0.976184; 0.975258; 0.975685; 0.976966; 0.979849; 0.983047; 0.984745; 0.984971; 0.987087; 0.990812; 0.995444; 1.000058; 1.002646; 1.004079; 1.005452; 1.008549; 1.012165; 1.014394; 1.015167; 1.015293; 1.016167; 1.014599; 1.014822; 1.014497; 1.013254; 1.012064; 1.011464; 1.011935; 1.012771; 1.014005; 1.014235; 1.011352; 1.009663; 1.009045; 1.007800; 1.005621; 1.005461; 1.006633; 1.006634; 1.006545; 1.007823; 1.009126; 1.007941; 1.006674; 1.006003; 1.006074; 1.008448; 1.008026; 1.006698; 1.006260; 1.007286; 1.007556; 1.005136; 1.005318; 1.004549; 1.002440; 1.001408; 1.002476; 1.002832; 1.002979; 1.003453; 1.002465; 1.001819; 1.002434; 1.003968; 1.004166; 1.007120; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35316.5; 11:20:51; (); (); (); (); (); (); (); (); 0.932870; 0.933982; 0.932410; 0.931956; 0.930908; 0.930497; 0.931153; 0.932807; 0.931479; 0.932531; 0.933806; 0.932913; 0.931546; 0.929172; 0.931007; 0.932595; 0.932141; 0.932301; 0.932742; 0.934200; 0.935311; 0.935451; 0.934259; 0.934806; 0.934224; 0.935390; 0.936733; 0.936255; 0.937885; 0.937981; 0.938146; 0.940090; 0.942275; 0.942177; 0.943786; 0.946209; 0.949022; 0.953414; 0.957855; 0.961844; 0.963748; 0.965131; 0.967516; 0.970019; 0.971078; 0.971415; 0.971767; 0.972305; 0.973913; 0.971783; 0.970376; 0.968979; 0.967067; 0.964700; 0.963438; 0.962934; 0.964306; 0.965881; 0.966478; 0.966262; 0.967268; 0.968230; 0.968579; 0.969056; 0.970447; 0.969885; 0.969717; 0.969701; 0.970028; 0.969660; 0.968652; 0.967113; 0.966602; 0.967055; 0.966416; 0.966038; 0.965938; 0.966194; 0.967767; 0.971808; 0.973779; 0.973355; 0.972606; 0.971892; 0.973150; 0.972881; 0.971866; 0.970664; 0.970773; 0.973283; 0.974076; 0.973031; 0.971985; 0.972057; 0.971652; 0.972181; 0.973885; 0.975541; 0.977065; 0.977001; 0.976411; 0.975936; 0.976384; 0.977444; 0.978548; 0.980657; 0.983796; 0.986645; 0.988268; 0.989179; 0.990682; 0.991126; 0.992361; 0.993708; 0.995379; 1.000099; 1.005182; 1.009376; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35319.0; 11:21:00; (); (); (); (); (); (); (); (); 0.894615; 0.897005; 0.900475; 0.904408; 0.907214; 0.910076; 0.912385; 0.914038; 0.916616; 0.916985; 0.920061; 0.924716; 0.929280; 0.934494; 0.937076; 0.937905; 0.939277; 0.940609; 0.940865; 0.942521; 0.943595; 0.943763; 0.944312; 0.947102; 0.953576; 0.955720; 0.955034; 0.952813; 0.949479; 0.948935; 0.949834; 0.949895; 0.948660; 0.948445; 0.948398; 0.948499; 0.950053; 0.951562; 0.951779; 0.950388; 0.950521; 0.952400; 0.954175; 0.954981; 0.953641; 0.951639; 0.950345; 0.950504; 0.951145; 0.949662; 0.949353; 0.950326; 0.951347; 0.950567; 0.949497; 0.946696; 0.945977; 0.947177; 0.949296; 0.954023; 0.959680; 0.965726; 0.969744; 0.972892; 0.977086; 0.979846; 0.981442; 0.983038; 0.986339; 0.990279; 0.994090; 0.996284; 0.998443; 0.999285; 0.997495; 0.996951; 0.996572; 0.995067; 0.993551; 0.994599; 0.993559; 0.992677; 0.992390; 0.991565; 0.989813; 0.989964; 0.991144; 0.992095; 0.992869; 0.993791; 0.992142; 0.991238; 0.991987; 0.993081; 0.993579; 0.993345; 0.992382; 0.991247; 0.990852; 0.990986; 0.990013; 0.987956; 0.986168; 0.984282; 0.982614; 0.983679; 0.982435; 0.982783; 0.982958; 0.980325; 0.978324; 0.977270; 0.977025; 0.976585; 0.976092; 0.975615; 0.974276; 0.973972; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35321.6; 11:21:09; (); (); (); (); (); (); (); (); 0.946011; 0.949123; 0.949398; 0.950170; 0.951244; 0.951769; 0.952338; 0.954302; 0.956821; 0.955937; 0.955099; 0.954795; 0.954851; 0.954457; 0.956937; 0.957531; 0.957860; 0.958321; 0.958284; 0.958658; 0.959089; 0.958882; 0.958722; 0.960907; 0.964163; 0.965876; 0.966689; 0.967959; 0.970319; 0.968089; 0.967143; 0.966145; 0.964595; 0.963402; 0.962932; 0.962891; 0.963125; 0.962204; 0.959523; 0.958263; 0.956669; 0.955478; 0.954987; 0.952849; 0.952013; 0.949566; 0.947764; 0.949636; 0.951618; 0.951875; 0.952157; 0.953171; 0.953271; 0.952574; 0.951062; 0.951050; 0.951827; 0.953628; 0.956924; 0.959148; 0.964553; 0.968343; 0.969291; 0.968717; 0.967037; 0.966681; 0.965776; 0.965926; 0.966934; 0.968542; 0.970106; 0.969443; 0.967465; 0.966014; 0.965237; 0.963714; 0.961234; 0.961499; 0.963280; 0.965303; 0.967133; 0.966590; 0.964039; 0.961590; 0.961266; 0.960466; 0.959736; 0.959489; 0.959728; 0.960082; 0.958194; 0.957111; 0.954608; 0.952655; 0.953172; 0.952438; 0.953383; 0.957015; 0.958081; 0.955687; 0.954095; 0.953133; 0.951532; 0.950425; 0.950666; 0.950188; 0.949775; 0.949035; 0.948067; 0.945731; 0.942557; 0.940739; 0.938370; 0.938064; 0.939628; 0.940993; 0.941430; 0.942032; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35324.1; 11:21:17; (); (); (); (); (); (); (); (); 0.921587; 0.922004; 0.922861; 0.924368; 0.926529; 0.926377; 0.926724; 0.927166; 0.927186; 0.926486; 0.926764; 0.928310; 0.929525; 0.930027; 0.931373; 0.932475; 0.931011; 0.929457; 0.928933; 0.928959; 0.931817; 0.934125; 0.934848; 0.936097; 0.938570; 0.940072; 0.940297; 0.939788; 0.938423; 0.937582; 0.938557; 0.941260; 0.943679; 0.944041; 0.943046; 0.941713; 0.942461; 0.944710; 0.947714; 0.950045; 0.950531; 0.951615; 0.953641; 0.956777; 0.959309; 0.959718; 0.960348; 0.962863; 0.966116; 0.968125; 0.968594; 0.965306; 0.962530; 0.962277; 0.963312; 0.965464; 0.966868; 0.967842; 0.967764; 0.967256; 0.968933; 0.968553; 0.966953; 0.966410; 0.967682; 0.971462; 0.978019; 0.982013; 0.983479; 0.984099; 0.985787; 0.986127; 0.983932; 0.983003; 0.983120; 0.981759; 0.981701; 0.981945; 0.982984; 0.985475; 0.986172; 0.983785; 0.982781; 0.983629; 0.984835; 0.985160; 0.987864; 0.991300; 0.994682; 0.998071; 1.002339; 1.007412; 1.011045; 1.012994; 1.012545; 1.010897; 1.010356; 1.010688; 1.009888; 1.008474; 1.009913; 1.010915; 1.010668; 1.009521; 1.008351; 1.006756; 1.002125; 1.000739; 1.000072; 1.002140; 1.005302; 1.006524; 1.007015; 1.008663; 1.010412; 1.009605; 1.006974; 1.007438; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35326.6; 11:21:26; (); (); (); (); (); (); (); (); 0.925787; 0.930914; 0.934813; 0.936817; 0.938396; 0.939941; 0.940083; 0.940845; 0.942588; 0.944822; 0.946581; 0.945664; 0.944668; 0.946963; 0.948813; 0.948772; 0.946804; 0.944820; 0.944603; 0.944021; 0.941494; 0.940734; 0.941573; 0.942100; 0.941807; 0.940029; 0.940202; 0.940987; 0.939253; 0.938677; 0.939523; 0.940113; 0.942002; 0.942912; 0.945347; 0.948240; 0.949640; 0.950396; 0.951708; 0.952506; 0.953042; 0.953800; 0.954767; 0.956661; 0.958634; 0.960531; 0.962119; 0.960896; 0.959684; 0.957358; 0.955386; 0.956056; 0.957188; 0.957147; 0.958834; 0.961306; 0.964848; 0.968878; 0.968448; 0.965654; 0.963336; 0.962730; 0.965196; 0.968109; 0.971867; 0.974927; 0.976498; 0.977984; 0.978623; 0.977515; 0.975924; 0.974135; 0.972103; 0.973092; 0.976547; 0.981503; 0.983912; 0.981301; 0.980676; 0.981178; 0.981214; 0.980970; 0.980799; 0.979919; 0.981409; 0.984522; 0.986390; 0.984606; 0.985052; 0.983697; 0.981088; 0.981789; 0.987332; 0.990039; 0.990979; 0.992370; 0.995419; 1.001070; 1.005423; 1.006182; 1.007369; 1.009366; 1.012973; 1.015026; 1.017510; 1.018171; 1.018245; 1.018943; 1.017874; 1.018819; 1.019653; 1.018853; 1.015360; 1.014482; 1.015349; 1.015558; 1.015629; 1.017785; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35329.1; 11:21:35; (); (); (); (); (); (); (); (); 0.944926; 0.943021; 0.945649; 0.947683; 0.947808; 0.946377; 0.945431; 0.944866; 0.944670; 0.944253; 0.943575; 0.940344; 0.939414; 0.940353; 0.942955; 0.946140; 0.948310; 0.947194; 0.946081; 0.945416; 0.945969; 0.945418; 0.945615; 0.946301; 0.947387; 0.948749; 0.951913; 0.954526; 0.955359; 0.955351; 0.954900; 0.956698; 0.957588; 0.958604; 0.960895; 0.964322; 0.967659; 0.969798; 0.971737; 0.973129; 0.973338; 0.972992; 0.973896; 0.973702; 0.972397; 0.970558; 0.965882; 0.962072; 0.961440; 0.961169; 0.958833; 0.957550; 0.956257; 0.954394; 0.951891; 0.949208; 0.946732; 0.946232; 0.947616; 0.949016; 0.949717; 0.952411; 0.957626; 0.958585; 0.957290; 0.957001; 0.957122; 0.957986; 0.959874; 0.961980; 0.963195; 0.962975; 0.961500; 0.960016; 0.959653; 0.959729; 0.958803; 0.956436; 0.955650; 0.954725; 0.953620; 0.952766; 0.953027; 0.952620; 0.952740; 0.954841; 0.958791; 0.959943; 0.960046; 0.960296; 0.961094; 0.962146; 0.962413; 0.963588; 0.965336; 0.967419; 0.969250; 0.969058; 0.968899; 0.970548; 0.972354; 0.973645; 0.976313; 0.977102; 0.978094; 0.980640; 0.982814; 0.986093; 0.989054; 0.989977; 0.989915; 0.991194; 0.993290; 0.995295; 0.995056; 0.993317; 0.990989; 0.990875; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35331.6; 11:21:43; (); (); (); (); (); (); (); 0.953442; 0.955532; 0.958988; 0.960122; 0.957878; 0.957937; 0.960204; 0.960974; 0.961039; 0.960547; 0.960180; 0.959350; 0.958979; 0.958938; 0.958942; 0.956916; 0.955122; 0.953852; 0.953187; 0.952363; 0.951603; 0.949269; 0.947788; 0.946786; 0.944273; 0.943704; 0.943112; 0.941974; 0.940281; 0.938024; 0.937608; 0.936214; 0.935405; 0.935884; 0.938590; 0.938615; 0.939281; 0.941198; 0.944256; 0.947735; 0.950412; 0.952327; 0.953226; 0.954127; 0.956129; 0.956680; 0.957169; 0.956910; 0.956328; 0.954536; 0.952359; 0.951539; 0.949711; 0.947338; 0.947824; 0.945588; 0.943940; 0.943912; 0.944822; 0.946165; 0.948473; 0.950380; 0.954265; 0.957799; 0.960441; 0.962157; 0.961364; 0.965780; 0.969447; 0.971159; 0.973949; 0.977182; 0.979621; 0.980115; 0.979466; 0.978994; 0.979142; 0.976257; 0.975652; 0.977352; 0.980015; 0.982390; 0.980982; 0.978758; 0.977881; 0.978344; 0.978589; 0.979801; 0.981813; 0.983829; 0.985337; 0.988005; 0.990492; 0.991871; 0.993530; 0.995366; 0.997461; 1.000664; 1.003548; 1.006092; 1.007256; 1.005976; 1.004057; 1.001576; 0.999819; 1.000108; 1.000503; 1.001133; 1.000872; 0.999857; 0.998018; 0.996633; 0.994915; 0.992773; 0.990688; 0.989822; 0.990587; 0.992488; 0.990875; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
