Roll Number; 1
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-15; 11:55:22
File Name; D:\Mahlo\TR\171115115522FP 4577_360 GSM1_XMF2.txt

35949.9; 11:57:23; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); -606.443214; -592.398834; -537.121391; -488.250589; -447.181368; -412.719202; -379.168749; -353.898573; -324.451923; -280.129957; -235.581708; -191.370618; -152.769196; -114.076304; -69.781262; -31.089392; -0.711398; 2.048408; 2.045232; 2.041764; 2.040850; 2.041676; 2.041745; 2.041150; 2.041372; 2.043397; 2.045977; 2.048001; 2.048786; 2.048779; 2.048761; 2.049313; 2.051011; 2.054236; 2.058669; 2.062731; 2.065108; 2.068661; 2.072849; 2.074559; 2.073915; 2.072361; 2.072202; 2.073849; 2.075392; 2.076632; 2.077413; 2.077017; 2.075649; 2.073479; 2.071267; 2.070791; 2.070197; 2.069236; 2.068304; 2.068161; 2.069883; 2.072287; 2.073961; 2.076307; 2.078196; 2.079762; 2.083532; 2.088147; 2.091309; 2.093960; 2.096009; 2.097273; 2.097790; 2.098767; 2.099121; 2.097219; 2.095127; 2.093427; 2.091188; 2.089923; 2.089302; 2.089038; 2.088876; 2.087518; 2.085472; 2.083103; 2.081852; 2.082304; 2.083262; 2.083650; 2.084463; 2.085500; 2.086650; 2.088710; 2.089083; 2.088043; 2.086189; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35953.1; 11:57:31; (); (); (); (); (); (); 1.885800; 1.886091; 1.885770; 1.886414; 1.886835; 1.887165; 1.888047; 1.891308; 1.898333; 1.896563; 1.891046; 1.886827; 1.884102; 1.879082; 1.873499; 1.868141; 1.863420; 1.859294; 1.854930; 1.851149; 1.847746; 1.842710; 1.837502; 1.835010; 1.834569; 1.835234; 1.835637; 1.835213; 1.833185; 1.830937; 1.829912; 1.830315; 1.831238; 1.830981; 1.830636; 1.830919; 1.830803; 1.831509; 1.832929; 1.834100; 1.834051; 1.833112; 1.831830; 1.831616; 1.833019; 1.835306; 1.837414; 1.839381; 1.841799; 1.843648; 1.844983; 1.846898; 1.848559; 1.850741; 1.852264; 1.853709; 1.855590; 1.858944; 1.863883; 1.867147; 1.868459; 1.869280; 1.870570; 1.872651; 1.875280; 1.878697; 1.881658; 1.883865; 1.884989; 1.885213; 1.885518; 1.886907; 1.897291; 1.912151; 1.925507; 1.939737; 1.957703; 1.973745; 1.988433; 2.002075; 2.016142; 2.032785; 2.046951; 2.060413; 2.073070; 2.085992; 2.097065; 2.097231; 2.096396; 2.096131; 2.096252; 2.095428; 2.097480; 2.101138; 2.105322; 2.107913; 2.110643; 2.113860; 2.117463; 2.125807; 2.131885; 2.136682; 2.142115; 2.147938; 2.154201; 2.160731; 2.167381; 2.168209; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35955.6; 11:57:40; (); (); (); (); (); (); 1.855795; 1.857436; 1.860636; 1.864417; 1.867759; 1.871062; 1.872390; 1.872759; 1.878343; 1.886345; 1.887754; 1.886962; 1.885199; 1.882519; 1.880739; 1.880083; 1.879547; 1.876412; 1.870355; 1.864857; 1.860762; 1.858824; 1.856942; 1.855456; 1.854118; 1.851162; 1.848558; 1.847816; 1.847701; 1.848088; 1.848886; 1.849824; 1.851749; 1.853753; 1.854387; 1.854787; 1.855727; 1.856947; 1.858305; 1.860183; 1.862783; 1.864969; 1.864285; 1.863888; 1.864046; 1.864524; 1.864520; 1.863777; 1.865165; 1.868337; 1.869304; 1.868103; 1.867338; 1.867334; 1.865725; 1.862498; 1.859634; 1.858542; 1.857183; 1.854563; 1.852070; 1.850693; 1.849513; 1.847583; 1.844397; 1.842004; 1.841437; 1.841087; 1.840673; 1.841651; 1.843886; 1.846376; 1.848092; 1.847772; 1.846910; 1.847002; 1.847675; 1.848330; 1.848265; 1.848844; 1.848762; 1.846736; 1.844586; 1.842374; 1.838953; 1.835706; 1.833521; 1.833916; 1.837719; 1.842335; 1.842872; 1.841697; 1.841883; 1.843361; 1.845155; 1.848021; 1.851405; 1.854303; 1.858121; 1.862895; 1.867365; 1.871086; 1.873007; 1.872667; 1.872012; 1.873066; 1.874295; 1.874953; 1.875464; 1.874120; 1.865760; 1.856459; 1.855132; 1.852987; 1.849843; 1.845597; 1.840330; 1.833207; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35958.1; 11:57:49; (); (); (); (); (); (); 1.898214; 1.900291; 1.901468; 1.902159; 1.902333; 1.901569; 1.901202; 1.905330; 1.914424; 1.916473; 1.914524; 1.913150; 1.911202; 1.908870; 1.906821; 1.904371; 1.903096; 1.902352; 1.901290; 1.900449; 1.900290; 1.899624; 1.898103; 1.897237; 1.898540; 1.899705; 1.899401; 1.899257; 1.900097; 1.901328; 1.901878; 1.901594; 1.901781; 1.902744; 1.903451; 1.903813; 1.905555; 1.908166; 1.908856; 1.906482; 1.903645; 1.901983; 1.900538; 1.898680; 1.897229; 1.897221; 1.897615; 1.896854; 1.895037; 1.893511; 1.891929; 1.889335; 1.886619; 1.885334; 1.885322; 1.885157; 1.884259; 1.884090; 1.883911; 1.883322; 1.882360; 1.882077; 1.882450; 1.883220; 1.884609; 1.886831; 1.887915; 1.888156; 1.888040; 1.887713; 1.885699; 1.883759; 1.883510; 1.884408; 1.885480; 1.885305; 1.883814; 1.882382; 1.881107; 1.880581; 1.879922; 1.879128; 1.878376; 1.877451; 1.877047; 1.878854; 1.878647; 1.876603; 1.873999; 1.870566; 1.866299; 1.862989; 1.861705; 1.860780; 1.858595; 1.854592; 1.851217; 1.848216; 1.846070; 1.844340; 1.843357; 1.843491; 1.844356; 1.845405; 1.847446; 1.851184; 1.853379; 1.854640; 1.855337; 1.852368; 1.843449; 1.843450; 1.844644; 1.844910; 1.844923; 1.843709; 1.841527; 1.839280; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35960.6; 11:57:57; (); (); (); (); (); (); 1.889673; 1.889692; 1.888097; 1.887267; 1.885572; 1.883771; 1.882089; 1.880389; 1.885834; 1.893455; 1.891241; 1.887943; 1.885959; 1.884966; 1.885296; 1.886450; 1.888176; 1.891375; 1.893923; 1.896279; 1.898867; 1.902197; 1.906183; 1.909676; 1.911738; 1.912633; 1.913303; 1.914466; 1.916823; 1.918825; 1.920432; 1.920679; 1.920166; 1.921068; 1.922782; 1.924783; 1.927332; 1.930394; 1.932990; 1.934799; 1.937048; 1.939468; 1.939309; 1.937063; 1.935435; 1.935603; 1.936368; 1.936942; 1.936522; 1.936343; 1.936382; 1.935289; 1.934080; 1.933650; 1.933650; 1.932434; 1.929659; 1.928133; 1.928961; 1.929487; 1.928865; 1.927264; 1.924971; 1.922928; 1.920998; 1.918973; 1.916813; 1.913288; 1.909644; 1.906504; 1.903951; 1.903057; 1.902066; 1.900400; 1.899282; 1.899191; 1.899630; 1.899805; 1.899824; 1.899048; 1.897213; 1.897020; 1.897687; 1.897787; 1.897133; 1.896188; 1.895009; 1.893784; 1.892855; 1.891725; 1.889402; 1.887091; 1.886386; 1.885915; 1.884801; 1.882683; 1.879202; 1.876333; 1.874539; 1.873083; 1.871626; 1.870541; 1.869252; 1.867669; 1.866489; 1.866741; 1.867940; 1.869229; 1.870147; 1.870585; 1.869404; 1.863218; 1.858456; 1.858122; 1.858042; 1.857425; 1.856712; 1.856243; 1.854795; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35963.1; 11:58:06; (); (); (); (); (); (); (); 1.950393; 1.946574; 1.940292; 1.937072; 1.934737; 1.932008; 1.929594; 1.930965; 1.935647; 1.932529; 1.924387; 1.915761; 1.910268; 1.907641; 1.906491; 1.905371; 1.905225; 1.904899; 1.903565; 1.902386; 1.902484; 1.902698; 1.901464; 1.899051; 1.897522; 1.896610; 1.895738; 1.894554; 1.892772; 1.890489; 1.888581; 1.887249; 1.886612; 1.886096; 1.884193; 1.882489; 1.882150; 1.883404; 1.885876; 1.888368; 1.890606; 1.893012; 1.894579; 1.894118; 1.893463; 1.895053; 1.897254; 1.898003; 1.899065; 1.901274; 1.903085; 1.903903; 1.904214; 1.904386; 1.904037; 1.903982; 1.903725; 1.904416; 1.906966; 1.908891; 1.909292; 1.909036; 1.910064; 1.910987; 1.910933; 1.910448; 1.910524; 1.909514; 1.907660; 1.906805; 1.906187; 1.904600; 1.902478; 1.901303; 1.900406; 1.899272; 1.898865; 1.898608; 1.898679; 1.898990; 1.899736; 1.901020; 1.903014; 1.904366; 1.903975; 1.903631; 1.904736; 1.906646; 1.907367; 1.907312; 1.907180; 1.905970; 1.904295; 1.903750; 1.904220; 1.903145; 1.901039; 1.899540; 1.898490; 1.896268; 1.894324; 1.892132; 1.890581; 1.890710; 1.890310; 1.890382; 1.891187; 1.892057; 1.891177; 1.885881; 1.874382; 1.871804; 1.870012; 1.868718; 1.868970; 1.868979; 1.868842; 1.865895; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35965.6; 11:58:14; (); (); (); (); (); (); (); 1.844844; 1.844629; 1.849262; 1.855095; 1.859372; 1.862452; 1.864268; 1.866197; 1.874938; 1.885382; 1.884874; 1.882560; 1.882694; 1.883359; 1.885316; 1.889688; 1.893540; 1.893486; 1.892061; 1.891164; 1.888978; 1.887405; 1.887481; 1.888431; 1.890476; 1.892917; 1.894854; 1.895300; 1.896130; 1.898106; 1.899394; 1.899700; 1.900871; 1.903440; 1.905410; 1.907983; 1.911934; 1.914247; 1.914262; 1.913975; 1.914812; 1.916379; 1.917732; 1.917221; 1.915218; 1.913970; 1.913642; 1.912185; 1.911127; 1.911332; 1.910484; 1.908453; 1.907657; 1.909004; 1.909941; 1.909664; 1.908877; 1.908233; 1.908663; 1.909771; 1.911230; 1.914149; 1.918196; 1.919887; 1.919121; 1.918531; 1.917868; 1.916531; 1.915640; 1.915220; 1.914471; 1.913144; 1.910408; 1.907996; 1.905842; 1.902320; 1.898563; 1.894295; 1.890753; 1.889387; 1.889291; 1.890095; 1.890279; 1.888955; 1.887699; 1.888321; 1.890261; 1.891868; 1.892233; 1.892655; 1.893351; 1.894283; 1.896570; 1.898549; 1.900080; 1.901447; 1.901713; 1.900698; 1.899290; 1.896473; 1.892886; 1.889610; 1.887019; 1.885861; 1.885043; 1.884385; 1.883111; 1.880874; 1.879210; 1.876989; 1.870798; 1.856225; 1.849971; 1.847745; 1.846933; 1.845969; 1.843805; 1.841549; 1.839163; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35968.1; 11:58:23; (); (); (); (); (); (); (); 1.844844; 1.889757; 1.893282; 1.895199; 1.897600; 1.898460; 1.898493; 1.902780; 1.914883; 1.920324; 1.919139; 1.915580; 1.912363; 1.910613; 1.909612; 1.908041; 1.906242; 1.905497; 1.904476; 1.903551; 1.903739; 1.905300; 1.905522; 1.903774; 1.902816; 1.903786; 1.906021; 1.909538; 1.913909; 1.918373; 1.921697; 1.923875; 1.925837; 1.929162; 1.932450; 1.934458; 1.935221; 1.936052; 1.936989; 1.937465; 1.937722; 1.937366; 1.936076; 1.933784; 1.930852; 1.928882; 1.927495; 1.925918; 1.922666; 1.919332; 1.918210; 1.918023; 1.917937; 1.917609; 1.916471; 1.913578; 1.910202; 1.909557; 1.909802; 1.909197; 1.908879; 1.910548; 1.913008; 1.915805; 1.918491; 1.920277; 1.920583; 1.918695; 1.916716; 1.916325; 1.917525; 1.919043; 1.918685; 1.916666; 1.914493; 1.912845; 1.911524; 1.908941; 1.904720; 1.900075; 1.895621; 1.892879; 1.892381; 1.892741; 1.893762; 1.894576; 1.894698; 1.894608; 1.895637; 1.896595; 1.896652; 1.896807; 1.898040; 1.901509; 1.905975; 1.908167; 1.909392; 1.910947; 1.912113; 1.909932; 1.908387; 1.907033; 1.904779; 1.902541; 1.901685; 1.901966; 1.900590; 1.898843; 1.894217; 1.885167; 1.868816; 1.860834; 1.856964; 1.852240; 1.849495; 1.846440; 1.843441; 1.840036; 1.837294; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35970.6; 11:58:32; (); (); (); (); (); (); (); 1.838046; 1.840393; 1.842609; 1.844485; 1.845064; 1.845991; 1.846655; 1.847559; 1.855920; 1.868641; 1.870291; 1.868501; 1.867187; 1.866407; 1.867347; 1.868968; 1.870376; 1.871612; 1.872568; 1.874543; 1.876575; 1.878457; 1.879938; 1.882655; 1.885976; 1.887899; 1.888676; 1.888667; 1.888438; 1.888021; 1.888155; 1.888351; 1.888938; 1.889930; 1.890595; 1.892216; 1.895372; 1.898304; 1.899914; 1.900320; 1.901087; 1.902736; 1.904761; 1.906016; 1.906103; 1.905371; 1.904867; 1.904821; 1.904826; 1.905220; 1.905815; 1.904541; 1.903060; 1.903318; 1.903905; 1.903052; 1.901143; 1.900019; 1.900643; 1.901249; 1.902624; 1.905340; 1.906975; 1.907566; 1.908970; 1.910555; 1.913089; 1.914908; 1.915005; 1.914652; 1.916152; 1.918909; 1.919646; 1.918328; 1.917564; 1.916568; 1.915114; 1.916112; 1.917063; 1.916135; 1.914633; 1.913181; 1.911335; 1.909382; 1.907260; 1.904489; 1.901509; 1.899087; 1.898569; 1.899046; 1.899329; 1.898597; 1.896653; 1.893953; 1.890946; 1.888278; 1.884956; 1.882680; 1.881734; 1.881132; 1.881224; 1.881564; 1.881863; 1.881817; 1.881234; 1.881226; 1.880728; 1.879993; 1.880240; 1.878773; 1.870383; 1.857459; 1.854098; 1.852480; 1.851253; 1.848469; 1.843856; 1.837792; 1.833104; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35973.1; 11:58:40; (); (); (); (); (); (); (); 1.901974; 1.901972; 1.901605; 1.900862; 1.899446; 1.896962; 1.895939; 1.897000; 1.904365; 1.905029; 1.900814; 1.896319; 1.891636; 1.888352; 1.886795; 1.885036; 1.882711; 1.881542; 1.881183; 1.881124; 1.882394; 1.883483; 1.883424; 1.883719; 1.886678; 1.889063; 1.889657; 1.890548; 1.893052; 1.896290; 1.899939; 1.902786; 1.904508; 1.906422; 1.908071; 1.908959; 1.909979; 1.912257; 1.915538; 1.917726; 1.918316; 1.919478; 1.920473; 1.919254; 1.917066; 1.917245; 1.918095; 1.918932; 1.919861; 1.920620; 1.920970; 1.920713; 1.918762; 1.916949; 1.916329; 1.916284; 1.915346; 1.914160; 1.914363; 1.914847; 1.913675; 1.911383; 1.909104; 1.907596; 1.908127; 1.908654; 1.908485; 1.908877; 1.908106; 1.906197; 1.905114; 1.904375; 1.903741; 1.901937; 1.899468; 1.898642; 1.899516; 1.900882; 1.900532; 1.899259; 1.898940; 1.899126; 1.898003; 1.897027; 1.896959; 1.896597; 1.896539; 1.896670; 1.896190; 1.895111; 1.893512; 1.890753; 1.887905; 1.886234; 1.884896; 1.884266; 1.884012; 1.885115; 1.886265; 1.885969; 1.885965; 1.884710; 1.883213; 1.882727; 1.883190; 1.884082; 1.885712; 1.887163; 1.885616; 1.880051; 1.862966; 1.851580; 1.846715; 1.842264; 1.838590; 1.833375; 1.829619; 1.825450; 1.822555; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
35975.6; 11:58:49; (); (); (); (); (); (); (); 1.813050; 1.817707; 1.826614; 1.834838; 1.840655; 1.844935; 1.848133; 1.851503; 1.860463; 1.877843; 1.885858; 1.887917; 1.890232; 1.892357; 1.896459; 1.901188; 1.903809; 1.902283; 1.898211; 1.895796; 1.894323; 1.894934; 1.896334; 1.895861; 1.893211; 1.889202; 1.886716; 1.885056; 1.883552; 1.881622; 1.880154; 1.879830; 1.881033; 1.883685; 1.885720; 1.885580; 1.883548; 1.880791; 1.880343; 1.880750; 1.881651; 1.882671; 1.883121; 1.883060; 1.883246; 1.883511; 1.883901; 1.883726; 1.883158; 1.884382; 1.886676; 1.887972; 1.887391; 1.886689; 1.887189; 1.886681; 1.884454; 1.882566; 1.882255; 1.882104; 1.882238; 1.882790; 1.883955; 1.886019; 1.886380; 1.885239; 1.884248; 1.883507; 1.883148; 1.882868; 1.883104; 1.884252; 1.885469; 1.885705; 1.885922; 1.885274; 1.883423; 1.881796; 1.881324; 1.882440; 1.884493; 1.887247; 1.890915; 1.894472; 1.896851; 1.899881; 1.904183; 1.908020; 1.911136; 1.913477; 1.915720; 1.917359; 1.918267; 1.919064; 1.919229; 1.918714; 1.917534; 1.916339; 1.915243; 1.913198; 1.909660; 1.905551; 1.901897; 1.899116; 1.895510; 1.892070; 1.891004; 1.889163; 1.886518; 1.883897; 1.875902; 1.866632; 1.864196; 1.861324; 1.859347; 1.858480; 1.856700; 1.852298; 1.822555; (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
