Roll Number; 2
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:26:41
File Name; D:\Mahlo\TR\171120072641FP 4577_360 GSM2_XMF2.txt

37930.2; 07:26:50; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.505877; 0.507899; 0.512237; 0.515585; 0.518596; 0.521291; 0.523505; 0.525226; 0.526767; 0.528907; 0.531569; 0.534102; 0.536495; 0.538850; 0.540577; 0.542625; 0.543378; 0.542837; 0.541856; 0.540361; 0.538359; 0.536245; 0.534250; 0.531989; 0.529277; 0.526325; 0.523688; 0.521621; 0.520030; 0.519034; 0.518276; 0.517787; 0.517465; 0.517498; 0.518252; 0.519400; 0.520467; 0.522243; 0.524129; 0.526381; 0.529099; 0.531674; 0.533670; 0.535131; 0.536187; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37931.6; 07:26:55; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.499196; 0.501636; 0.503845; 0.506133; 0.508323; 0.510287; 0.512265; 0.516740; 0.520502; 0.522996; 0.525064; 0.526765; 0.527869; 0.529063; 0.530447; 0.532524; 0.534548; 0.536046; 0.537322; 0.538593; 0.539365; 0.539971; 0.540774; 0.542059; 0.543296; 0.543196; 0.542930; 0.542439; 0.541401; 0.539657; 0.537403; 0.534825; 0.532019; 0.528630; 0.525970; 0.524059; 0.522084; 0.520318; 0.518400; 0.516644; 0.515806; 0.515586; 0.516057; 0.516365; 0.516917; 0.517783; 0.518855; 0.519757; 0.520748; 0.521890; 0.522565; 0.522679; 0.522513; 0.522232; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37932.6; 07:27:01; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.493396; 0.495642; 0.498188; 0.500449; 0.503054; 0.504460; 0.506242; 0.509257; 0.515748; 0.519371; 0.520890; 0.523598; 0.525171; 0.527589; 0.530454; 0.533392; 0.535364; 0.536110; 0.537049; 0.537133; 0.538038; 0.538815; 0.538806; 0.538631; 0.538759; 0.538886; 0.538762; 0.538678; 0.538573; 0.538148; 0.537562; 0.536534; 0.535694; 0.535297; 0.535063; 0.534777; 0.534659; 0.534847; 0.534943; 0.534212; 0.533166; 0.531683; 0.530247; 0.528386; 0.526828; 0.525902; 0.525321; 0.524848; 0.524403; 0.523922; 0.523289; 0.522355; 0.521180; 0.520138; 0.519163; 0.518302; 0.517967; 0.517848; 0.517464; 0.515881; 0.512155; 0.509739; 0.508855; 0.507599; 0.506109; 0.504177; 0.501671; 0.499984; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37933.6; 07:27:06; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.533266; 0.533774; 0.534013; 0.533502; 0.532844; 0.532199; 0.531635; 0.532847; 0.535048; 0.535116; 0.534370; 0.533996; 0.534145; 0.534769; 0.535776; 0.536893; 0.538052; 0.539058; 0.540104; 0.541012; 0.541729; 0.542070; 0.542242; 0.540850; 0.539373; 0.538312; 0.537766; 0.537355; 0.536676; 0.536009; 0.534891; 0.533609; 0.532127; 0.530484; 0.529001; 0.528265; 0.527207; 0.526711; 0.527074; 0.527196; 0.526782; 0.525211; 0.522940; 0.520259; 0.517571; 0.515500; 0.513621; 0.512716; 0.512045; 0.511609; 0.511371; 0.510860; 0.510532; 0.509733; 0.508905; 0.507274; 0.506200; 0.505753; 0.504625; 0.503804; 0.498685; 0.496230; 0.495405; 0.494330; 0.493030; 0.490646; 0.488000; 0.484948; 0.499984; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37934.6; 07:27:11; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.508146; 0.509624; 0.511065; 0.513006; 0.514390; 0.516001; 0.517129; 0.517892; 0.521689; 0.527090; 0.529072; 0.528342; 0.528676; 0.529582; 0.530904; 0.533034; 0.534950; 0.536740; 0.537585; 0.538590; 0.539694; 0.540420; 0.541286; 0.541513; 0.541973; 0.542120; 0.542491; 0.542354; 0.541769; 0.541465; 0.541110; 0.540411; 0.539192; 0.538289; 0.537322; 0.536271; 0.535369; 0.534992; 0.535241; 0.535741; 0.536353; 0.537161; 0.537848; 0.538317; 0.538533; 0.538808; 0.539416; 0.540536; 0.541642; 0.542462; 0.543704; 0.545174; 0.546510; 0.547172; 0.547171; 0.546859; 0.546127; 0.545109; 0.543686; 0.541768; 0.537847; 0.533353; 0.532357; 0.531376; 0.530160; 0.527922; 0.524556; 0.520766; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37935.5; 07:27:17; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.498253; 0.498216; 0.499470; 0.501299; 0.503076; 0.504337; 0.505469; 0.507629; 0.509781; 0.511143; 0.512800; 0.514738; 0.517563; 0.520642; 0.523770; 0.527903; 0.531127; 0.533605; 0.535952; 0.538087; 0.540124; 0.542202; 0.543935; 0.545800; 0.547448; 0.549339; 0.551332; 0.553213; 0.554656; 0.554889; 0.554112; 0.553055; 0.551606; 0.549779; 0.547968; 0.546504; 0.545028; 0.543586; 0.542272; 0.540546; 0.538628; 0.537133; 0.535473; 0.534545; 0.533994; 0.534333; 0.535312; 0.536809; 0.538694; 0.540947; 0.543384; 0.545624; 0.548299; 0.550866; 0.552354; 0.553747; 0.553769; 0.554243; 0.553787; 0.551603; 0.544628; 0.542475; 0.541875; 0.540496; 0.538627; 0.535855; 0.531953; 0.527231; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37936.5; 07:27:22; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.478620; 0.478995; 0.478292; 0.478320; 0.478382; 0.478185; 0.478320; 0.478751; 0.482351; 0.483677; 0.482953; 0.481484; 0.479934; 0.479346; 0.478495; 0.478981; 0.478960; 0.479335; 0.480353; 0.481857; 0.484247; 0.486503; 0.488439; 0.490639; 0.493797; 0.497323; 0.500281; 0.503498; 0.506973; 0.510581; 0.513555; 0.516207; 0.518648; 0.520518; 0.521165; 0.521462; 0.521887; 0.522127; 0.522142; 0.521792; 0.520949; 0.520126; 0.519376; 0.517975; 0.516212; 0.515150; 0.514332; 0.513560; 0.512512; 0.511600; 0.511079; 0.510718; 0.510275; 0.509563; 0.508438; 0.507172; 0.505489; 0.503899; 0.502501; 0.501015; 0.498208; 0.492980; 0.491141; 0.490317; 0.488992; 0.487286; 0.484702; 0.480636; 0.478099; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37937.5; 07:27:27; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.504867; 0.505888; 0.506674; 0.507110; 0.507493; 0.507739; 0.507906; 0.509379; 0.510376; 0.510562; 0.510469; 0.509933; 0.508945; 0.508068; 0.508048; 0.509152; 0.510447; 0.511690; 0.513600; 0.515958; 0.518004; 0.520070; 0.522465; 0.525152; 0.528282; 0.531590; 0.535060; 0.539230; 0.542515; 0.544296; 0.544930; 0.544998; 0.544413; 0.543160; 0.541145; 0.539165; 0.537365; 0.535335; 0.533129; 0.529956; 0.526784; 0.523803; 0.520875; 0.517737; 0.514897; 0.513516; 0.512102; 0.511851; 0.511616; 0.511865; 0.512784; 0.512772; 0.513935; 0.514785; 0.514568; 0.514380; 0.513090; 0.512556; 0.511084; 0.508664; 0.503485; 0.501403; 0.500236; 0.498629; 0.497022; 0.493786; 0.491029; 0.485960; 0.478099; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37938.5; 07:27:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.472146; 0.474338; 0.476267; 0.477969; 0.479585; 0.482102; 0.485463; 0.488538; 0.494950; 0.500330; 0.504243; 0.507554; 0.511191; 0.514951; 0.517185; 0.519618; 0.521302; 0.522828; 0.524386; 0.525270; 0.525164; 0.523072; 0.520496; 0.517455; 0.514967; 0.512236; 0.510048; 0.508681; 0.507380; 0.506658; 0.506175; 0.505722; 0.505166; 0.504249; 0.503355; 0.502674; 0.502247; 0.502216; 0.502522; 0.503317; 0.504393; 0.505098; 0.504581; 0.503603; 0.503056; 0.503268; 0.503958; 0.505282; 0.507289; 0.509748; 0.512400; 0.514686; 0.516872; 0.519879; 0.522367; 0.524256; 0.527194; 0.531555; 0.535105; 0.536848; 0.538643; 0.540516; 0.540160; 0.539052; 0.536902; 0.532756; 0.528061; 0.522549; 0.512754; 0.495375; 0.472637; 0.453026; 0.444827; 0.435349; 0.424373; 0.411282; 0.393457; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37939.6; 07:27:39; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.525073; 0.527437; 0.530189; 0.531801; 0.532893; 0.534000; 0.534883; 0.538124; 0.543013; 0.545129; 0.545142; 0.543770; 0.541914; 0.540540; 0.539024; 0.536963; 0.534634; 0.532232; 0.530559; 0.529639; 0.529311; 0.529124; 0.529202; 0.529703; 0.530434; 0.531764; 0.534235; 0.536258; 0.537373; 0.538706; 0.540041; 0.541343; 0.542272; 0.542102; 0.541383; 0.539843; 0.538171; 0.536119; 0.533972; 0.531616; 0.529370; 0.527549; 0.525609; 0.524224; 0.523822; 0.523824; 0.524343; 0.525577; 0.527129; 0.528737; 0.530317; 0.531766; 0.532703; 0.532522; 0.532756; 0.534104; 0.535111; 0.535730; 0.535624; 0.533654; 0.524575; 0.509410; 0.485391; 0.472573; 0.467403; 0.461362; 0.454919; 0.447579; 0.438798; 0.427328; 0.417445; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37940.6; 07:27:44; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.438155; 0.443638; 0.449372; 0.454736; 0.458483; 0.461731; 0.464319; 0.465940; 0.470927; 0.478118; 0.482370; 0.483078; 0.484143; 0.485723; 0.486353; 0.485966; 0.483263; 0.480111; 0.477255; 0.475792; 0.475186; 0.475185; 0.476226; 0.478034; 0.480872; 0.483302; 0.486451; 0.490388; 0.493640; 0.495722; 0.497623; 0.499195; 0.499971; 0.500798; 0.500584; 0.500262; 0.500305; 0.500371; 0.500652; 0.501025; 0.501424; 0.501918; 0.502697; 0.504647; 0.507944; 0.511939; 0.516866; 0.522276; 0.524961; 0.527378; 0.528949; 0.529037; 0.527901; 0.525719; 0.522977; 0.519143; 0.513942; 0.507861; 0.501809; 0.497580; 0.493761; 0.487873; 0.482513; 0.480024; 0.477299; 0.475022; 0.472771; 0.470735; 0.469572; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
