Roll Number; 2
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:26:41
File Name; D:\Mahlo\TR\171120072641FP 4577_360 GSM2_THICKNESS2.txt

37930.2; 07:26:50; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.305724; 0.306579; 0.308355; 0.309805; 0.309426; 0.310609; 0.310905; 0.309812; 0.308626; 0.309588; 0.312021; 0.312753; 0.313250; 0.314330; 0.315721; 0.318390; 0.321418; 0.323496; 0.324383; 0.324845; 0.325631; 0.328886; 0.334122; 0.338272; 0.341229; 0.342707; 0.345667; 0.346844; 0.346420; 0.343520; 0.339228; 0.336578; 0.334899; 0.336028; 0.337739; 0.338336; 0.338155; 0.336938; 0.335175; 0.333913; 0.332946; 0.331134; 0.330792; 0.331078; 0.333044; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37931.6; 07:26:55; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.328926; 0.326423; 0.324539; 0.323468; 0.322467; 0.321772; 0.322474; 0.324811; 0.327250; 0.328647; 0.329078; 0.329410; 0.330534; 0.329000; 0.327479; 0.327556; 0.329706; 0.330841; 0.332081; 0.333086; 0.333336; 0.332668; 0.330002; 0.328716; 0.329295; 0.328804; 0.327937; 0.327571; 0.330458; 0.332782; 0.334052; 0.334942; 0.336086; 0.338512; 0.341519; 0.343180; 0.344059; 0.344238; 0.343765; 0.342601; 0.340928; 0.338328; 0.334799; 0.331783; 0.329347; 0.329977; 0.329775; 0.328504; 0.325862; 0.321929; 0.319742; 0.318373; 0.317061; 0.315948; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37932.6; 07:27:01; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.344754; 0.342074; 0.338900; 0.336476; 0.335732; 0.333153; 0.331292; 0.330822; 0.330908; 0.329732; 0.326963; 0.326239; 0.325004; 0.323248; 0.321443; 0.322302; 0.322820; 0.323416; 0.323613; 0.323284; 0.324245; 0.325307; 0.325519; 0.324883; 0.325330; 0.327443; 0.327968; 0.326563; 0.327254; 0.328476; 0.328595; 0.328941; 0.331391; 0.334121; 0.338213; 0.341169; 0.342420; 0.343857; 0.344639; 0.344284; 0.343351; 0.342947; 0.342957; 0.342699; 0.342656; 0.342739; 0.342808; 0.343282; 0.342930; 0.342261; 0.342928; 0.343779; 0.344521; 0.348475; 0.351134; 0.352834; 0.353884; 0.355156; 0.356288; 0.357004; 0.359448; 0.361416; 0.361338; 0.361390; 0.361190; 0.360314; 0.360314; 0.357168; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37933.6; 07:27:06; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.330406; 0.328997; 0.328595; 0.327198; 0.327202; 0.325077; 0.322832; 0.322833; 0.323655; 0.323809; 0.322864; 0.322825; 0.322584; 0.321226; 0.319927; 0.321798; 0.323490; 0.323226; 0.323421; 0.325523; 0.327879; 0.330128; 0.329896; 0.329750; 0.331644; 0.333641; 0.334215; 0.332900; 0.332325; 0.331974; 0.331254; 0.331151; 0.333997; 0.334576; 0.334971; 0.337399; 0.337254; 0.336530; 0.335199; 0.334379; 0.334541; 0.335950; 0.336737; 0.337645; 0.338920; 0.339918; 0.340614; 0.339104; 0.337172; 0.336104; 0.336850; 0.340301; 0.346025; 0.350301; 0.352969; 0.354614; 0.356060; 0.357804; 0.357806; 0.357493; 0.358018; 0.359249; 0.361823; 0.364378; 0.365585; 0.365791; 0.363225; 0.359777; 0.357168; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37934.6; 07:27:11; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.328435; 0.327730; 0.324999; 0.324382; 0.324257; 0.323913; 0.321324; 0.321703; 0.323350; 0.325891; 0.327113; 0.327340; 0.327590; 0.326829; 0.325497; 0.324749; 0.325857; 0.327431; 0.327094; 0.327349; 0.328629; 0.331137; 0.331597; 0.332202; 0.332460; 0.333614; 0.335769; 0.335417; 0.334471; 0.336196; 0.337048; 0.337595; 0.339764; 0.341761; 0.343380; 0.345090; 0.346306; 0.346924; 0.346876; 0.344783; 0.342066; 0.340397; 0.340009; 0.340388; 0.339360; 0.340215; 0.339668; 0.337261; 0.334301; 0.331514; 0.330780; 0.330696; 0.331727; 0.334847; 0.338090; 0.340081; 0.341785; 0.343261; 0.344021; 0.344115; 0.343196; 0.344251; 0.346560; 0.349314; 0.351803; 0.352442; 0.351952; 0.346783; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37935.5; 07:27:17; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.332405; 0.331357; 0.330277; 0.327573; 0.325696; 0.325190; 0.326502; 0.329461; 0.330098; 0.330261; 0.329843; 0.328626; 0.328278; 0.327601; 0.327630; 0.328425; 0.329283; 0.329703; 0.332593; 0.334934; 0.335826; 0.334420; 0.333530; 0.334437; 0.335654; 0.336556; 0.338177; 0.341440; 0.342814; 0.342586; 0.342937; 0.344444; 0.345637; 0.344540; 0.342999; 0.343133; 0.343760; 0.344223; 0.345028; 0.342674; 0.340501; 0.334795; 0.328880; 0.327793; 0.327929; 0.326808; 0.327573; 0.328872; 0.329400; 0.329406; 0.329784; 0.328036; 0.327556; 0.330578; 0.333540; 0.335742; 0.342156; 0.345998; 0.347045; 0.347897; 0.348231; 0.346747; 0.346346; 0.348039; 0.349882; 0.350617; 0.354269; 0.352055; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37936.5; 07:27:22; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.331597; 0.327512; 0.325067; 0.324057; 0.321608; 0.318799; 0.318024; 0.318776; 0.321539; 0.323855; 0.324244; 0.323048; 0.321327; 0.319133; 0.318444; 0.319708; 0.321816; 0.322966; 0.324127; 0.326927; 0.329200; 0.331168; 0.332334; 0.330119; 0.329969; 0.331591; 0.332526; 0.332971; 0.334279; 0.335369; 0.335831; 0.336663; 0.338273; 0.339739; 0.340573; 0.341048; 0.341238; 0.341719; 0.343386; 0.342532; 0.340776; 0.339162; 0.337758; 0.337020; 0.337040; 0.338437; 0.338562; 0.338153; 0.338567; 0.338314; 0.339004; 0.340830; 0.342114; 0.343061; 0.346183; 0.349737; 0.352588; 0.354450; 0.355727; 0.356730; 0.354922; 0.355373; 0.355803; 0.356141; 0.357905; 0.358214; 0.356259; 0.354783; 0.352040; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37937.5; 07:27:27; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.338474; 0.336246; 0.333194; 0.331827; 0.331334; 0.330647; 0.330541; 0.332163; 0.332963; 0.332265; 0.331136; 0.330124; 0.328840; 0.328481; 0.328347; 0.328668; 0.329296; 0.329587; 0.329770; 0.330727; 0.331584; 0.331615; 0.330181; 0.329409; 0.329940; 0.330081; 0.331099; 0.333917; 0.335094; 0.335686; 0.335942; 0.338152; 0.342059; 0.343569; 0.344756; 0.345650; 0.346538; 0.347733; 0.348966; 0.348262; 0.346521; 0.342503; 0.338291; 0.335961; 0.335905; 0.337455; 0.337142; 0.335635; 0.335065; 0.333562; 0.333176; 0.332443; 0.332722; 0.335133; 0.338528; 0.340463; 0.345698; 0.351327; 0.353325; 0.353024; 0.352263; 0.351747; 0.351921; 0.352508; 0.354187; 0.355586; 0.357464; 0.357072; 0.352040; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37938.5; 07:27:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.325116; 0.324892; 0.323717; 0.322381; 0.320966; 0.320889; 0.322484; 0.322982; 0.324419; 0.325445; 0.326037; 0.324281; 0.320773; 0.319123; 0.318174; 0.317709; 0.318429; 0.321059; 0.322899; 0.324841; 0.326268; 0.325094; 0.324337; 0.325164; 0.326188; 0.327486; 0.328302; 0.329414; 0.331194; 0.332555; 0.333055; 0.332965; 0.331423; 0.332288; 0.333611; 0.334967; 0.335989; 0.336434; 0.335794; 0.334099; 0.332813; 0.333416; 0.337220; 0.339846; 0.344020; 0.346304; 0.347009; 0.347445; 0.346648; 0.345017; 0.344198; 0.344732; 0.346610; 0.348478; 0.351266; 0.353612; 0.353442; 0.351218; 0.352441; 0.352130; 0.353371; 0.355537; 0.357508; 0.358282; 0.358891; 0.357610; 0.355581; 0.353794; 0.352356; 0.351036; 0.325789; 0.286819; 0.278038; 0.268446; 0.258032; 0.244568; 0.225206; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37939.6; 07:27:39; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.334428; 0.331806; 0.329541; 0.329462; 0.330155; 0.328818; 0.327818; 0.326828; 0.325555; 0.323617; 0.322066; 0.322379; 0.322593; 0.321855; 0.323164; 0.323051; 0.324023; 0.326114; 0.327422; 0.327325; 0.329645; 0.331145; 0.332232; 0.332381; 0.331614; 0.331114; 0.330335; 0.331733; 0.333124; 0.334142; 0.336259; 0.336114; 0.333811; 0.333326; 0.333835; 0.332836; 0.332684; 0.332420; 0.334055; 0.337231; 0.340175; 0.340550; 0.339671; 0.339330; 0.339853; 0.341934; 0.346005; 0.348918; 0.350953; 0.353531; 0.356290; 0.358583; 0.359180; 0.359673; 0.358526; 0.357023; 0.356512; 0.356375; 0.356401; 0.357334; 0.357491; 0.348537; 0.327757; 0.317051; 0.312938; 0.308110; 0.303341; 0.299188; 0.292137; 0.285901; 0.281881; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37940.6; 07:27:44; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.332176; 0.328787; 0.326896; 0.327764; 0.329080; 0.329289; 0.327864; 0.327356; 0.325258; 0.322517; 0.320101; 0.318822; 0.318370; 0.318028; 0.318746; 0.320525; 0.322645; 0.323727; 0.323563; 0.323013; 0.324507; 0.326400; 0.326903; 0.328017; 0.329445; 0.330387; 0.333240; 0.337850; 0.340864; 0.342381; 0.343846; 0.343328; 0.342404; 0.342156; 0.342825; 0.341855; 0.341212; 0.343385; 0.345513; 0.345910; 0.345680; 0.343702; 0.341836; 0.341950; 0.342942; 0.344968; 0.347624; 0.349608; 0.351362; 0.352784; 0.354286; 0.356006; 0.355118; 0.353693; 0.353870; 0.357106; 0.358119; 0.357057; 0.355164; 0.353544; 0.351999; 0.350975; 0.350363; 0.348689; 0.347720; 0.347506; 0.347509; 0.347257; 0.346995; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
