Roll Number; 2
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:26:41
File Name; D:\Mahlo\TR\171120072641FP 4577_360 GSM2_FMI2.txt

37930.2; 07:26:50; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 256.548792; 256.224424; 255.638301; 254.994750; 255.078346; 255.445033; 256.027073; 256.803483; 257.330418; 258.060157; 258.489013; 258.442760; 258.422554; 258.354276; 258.190781; 257.665306; 257.611185; 258.263201; 259.018600; 258.996099; 258.506656; 257.678837; 256.980300; 256.495863; 255.769014; 254.913658; 254.357994; 254.157722; 254.182130; 254.612535; 255.368620; 255.571574; 255.439520; 255.406857; 256.057888; 256.573588; 256.845236; 257.243156; 257.360160; 257.772058; 258.461177; 259.284407; 260.046721; 260.729432; 260.983646; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37931.6; 07:26:55; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 265.569389; 264.773518; 264.268696; 264.107496; 264.143050; 263.924807; 263.415515; 262.689114; 261.999518; 261.391908; 260.703176; 259.886503; 259.152323; 258.483261; 257.779509; 257.013530; 256.322473; 255.701333; 254.921407; 253.404230; 252.135396; 251.559138; 251.115739; 250.554293; 250.022948; 249.897376; 249.877572; 249.632061; 249.430835; 249.524638; 249.863207; 250.475407; 250.847965; 250.967503; 251.704037; 252.641559; 253.010631; 252.775371; 252.288371; 251.980573; 251.950443; 252.767622; 253.995836; 254.811227; 255.277067; 255.780429; 255.721986; 255.763710; 256.072074; 256.284684; 256.380707; 256.936967; 258.061290; 258.938849; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37932.6; 07:27:01; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 262.380034; 262.217760; 262.239456; 262.250096; 261.932999; 261.466861; 261.187524; 261.086553; 260.460049; 259.665102; 258.948594; 258.462816; 257.974952; 257.377058; 256.984323; 256.571293; 256.142497; 255.538464; 254.731834; 254.383594; 254.399508; 254.379123; 254.148751; 253.898501; 253.964871; 254.043788; 253.682852; 253.420860; 253.334254; 253.672034; 254.039675; 254.126132; 254.297674; 254.783392; 254.876196; 254.659027; 254.156351; 253.532708; 253.150553; 252.963066; 253.489047; 254.491061; 255.044699; 255.240947; 255.316168; 255.725473; 256.147772; 256.222695; 256.505072; 257.035077; 257.861346; 258.753836; 259.504825; 260.089338; 260.300189; 259.411067; 258.439153; 258.006006; 257.650882; 257.220984; 256.471694; 256.151617; 256.110460; 255.601555; 254.660219; 253.639787; 252.561539; 251.854599; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37933.6; 07:27:06; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 264.952660; 264.375687; 263.782054; 263.464272; 263.440818; 263.500392; 263.243735; 262.624592; 261.883706; 261.334062; 260.927290; 260.527819; 259.801835; 259.045094; 258.596420; 258.102238; 257.662684; 257.273883; 256.944984; 256.401300; 255.501509; 254.891217; 254.727900; 254.683077; 254.414737; 254.047632; 254.167438; 254.351020; 254.205078; 253.927201; 253.673941; 253.734231; 254.158497; 254.343927; 254.352212; 254.605949; 255.104721; 255.285680; 255.107433; 254.714906; 254.238397; 254.048616; 254.157990; 254.897565; 255.885184; 256.300986; 256.219000; 256.161451; 256.832331; 257.143229; 257.190585; 257.489592; 258.161128; 258.956999; 259.552628; 259.919137; 260.203302; 260.244668; 259.145468; 258.158118; 257.852018; 257.702917; 257.340670; 256.776750; 256.707489; 256.582558; 255.586535; 254.275799; 251.854599; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37934.6; 07:27:11; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 262.046188; 261.847496; 261.726260; 261.700928; 261.635721; 261.286497; 260.915607; 260.746300; 260.482490; 259.997398; 259.402663; 258.822441; 258.427262; 258.049965; 257.726222; 257.455736; 257.123500; 256.782353; 256.171107; 255.557239; 255.250782; 255.188495; 255.017817; 254.731685; 254.475355; 254.546404; 254.485667; 254.208833; 254.028380; 254.027426; 254.084319; 253.572047; 253.041387; 253.469110; 254.180938; 254.393727; 254.145682; 253.773719; 253.407061; 253.251880; 253.335565; 253.415644; 253.854543; 254.509598; 255.314589; 256.068468; 256.689817; 257.344544; 257.727116; 257.748038; 258.120894; 258.546591; 258.611768; 258.551627; 258.158535; 257.498056; 256.854862; 256.341815; 255.739152; 254.976422; 254.033148; 253.084540; 252.437383; 251.644164; 250.755221; 249.650165; 248.979822; 248.714343; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37935.5; 07:27:17; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 263.347298; 262.833387; 262.373626; 262.192130; 262.122840; 261.778712; 261.253327; 260.635346; 259.898096; 259.486288; 259.050131; 258.521914; 258.114010; 257.995605; 257.894546; 257.752061; 257.536024; 257.266313; 256.957620; 256.742328; 256.755561; 256.925166; 256.885618; 256.355196; 255.804449; 255.775124; 255.838364; 255.314559; 254.686624; 254.007280; 253.361315; 253.203332; 253.218502; 252.706736; 252.140909; 252.060145; 252.349079; 252.463400; 252.544791; 252.358913; 252.077520; 252.075434; 252.429992; 252.913713; 253.420383; 254.397839; 255.422175; 255.992919; 256.456584; 257.073581; 257.369936; 257.349223; 257.827908; 258.058906; 257.866293; 257.689148; 257.411093; 256.760627; 256.228149; 256.008118; 255.375683; 254.389703; 253.979325; 253.800780; 253.161639; 252.341539; 251.273066; 249.916568; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37936.5; 07:27:22; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 260.949790; 260.769576; 260.682076; 260.694712; 260.385126; 259.880632; 259.530872; 259.471893; 259.245098; 258.800685; 258.263350; 257.959604; 257.906020; 257.838130; 257.641762; 257.479161; 257.473707; 257.346749; 257.012844; 256.818920; 256.723255; 256.129533; 255.296230; 254.552513; 254.551470; 254.166037; 253.323227; 252.659440; 251.687825; 250.922650; 250.560820; 249.615759; 248.445064; 247.844294; 248.189807; 248.642266; 249.001592; 249.096572; 248.940036; 248.601303; 248.877242; 249.169901; 249.494493; 250.485033; 252.083719; 253.173441; 254.347503; 255.333960; 256.208360; 256.440103; 256.678253; 257.349461; 257.573962; 257.694036; 257.798702; 257.455260; 256.962299; 256.458014; 255.949438; 255.174935; 254.218638; 253.095686; 252.560169; 251.790911; 250.893414; 249.965012; 249.046832; 248.729378; 248.369858; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37937.5; 07:27:27; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 263.662994; 263.106495; 262.620598; 262.342662; 262.196451; 261.871189; 261.453539; 260.750085; 259.895712; 259.461522; 259.051025; 258.467615; 258.114249; 258.144796; 258.145005; 258.125067; 258.188277; 258.120567; 258.000225; 257.778376; 257.564425; 257.562846; 257.530123; 257.124156; 256.559283; 256.519616; 256.556660; 256.033599; 255.321056; 254.554838; 253.673106; 253.183156; 253.037363; 252.362788; 251.682073; 251.486987; 251.851499; 251.963019; 251.946867; 251.657784; 251.152456; 251.114577; 251.298845; 251.601160; 252.147526; 253.022224; 253.785342; 254.543602; 255.270362; 256.006658; 256.559223; 256.578088; 257.051975; 257.413477; 257.449001; 257.547200; 257.350922; 256.868124; 256.299943; 255.767912; 255.318135; 254.570931; 253.702998; 253.558218; 253.169984; 252.210379; 251.138061; 249.724418; 248.369858; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37938.5; 07:27:33; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 260.667086; 260.674626; 260.443926; 259.902418; 259.430528; 259.201944; 258.986026; 259.063691; 258.949220; 259.208709; 259.593993; 259.899944; 260.101974; 260.010511; 259.880215; 259.739697; 259.401202; 259.293407; 259.421349; 259.769201; 260.165066; 260.683417; 261.047781; 261.176407; 260.968268; 260.540634; 259.876549; 259.179056; 258.823425; 258.960903; 259.285718; 259.579897; 259.887278; 259.932011; 259.283304; 258.681327; 257.827401; 257.015139; 256.438315; 255.873621; 255.436212; 255.400121; 255.498707; 255.260795; 254.599065; 253.780276; 252.882987; 252.049863; 251.617730; 251.779944; 251.741290; 251.378447; 250.881881; 250.762701; 251.125038; 251.727700; 252.069771; 252.221197; 252.613753; 253.300607; 253.807098; 253.747582; 253.548712; 253.230333; 252.910316; 252.809256; 253.392458; 253.752202; 252.403498; 248.999283; 243.416801; 236.801416; 234.871432; 232.450023; 230.966926; 229.053661; 225.526288; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37939.6; 07:27:39; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 261.429757; 261.105865; 260.879457; 260.707110; 260.545641; 260.450035; 260.235310; 259.786278; 259.291977; 258.992344; 258.861899; 258.421212; 257.963628; 257.783562; 257.615030; 257.508248; 257.368237; 257.189065; 257.140517; 256.865025; 256.536365; 256.419748; 256.303668; 256.242871; 255.973637; 255.314410; 254.849344; 254.255921; 253.783405; 253.353179; 252.825618; 252.572924; 252.255857; 251.498222; 251.013637; 250.871241; 251.010239; 250.793904; 250.207901; 249.738768; 249.473944; 249.444023; 249.570280; 249.716774; 249.974266; 250.560373; 251.111716; 251.554728; 252.157271; 252.788454; 253.021121; 253.476799; 254.322976; 254.654109; 254.948378; 255.272418; 255.496591; 255.691290; 255.751222; 255.479783; 255.068392; 254.202634; 250.417799; 246.999815; 246.177495; 245.187476; 243.894339; 242.535800; 241.331547; 240.023822; 238.980323; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37940.6; 07:27:44; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 254.455656; 255.083978; 255.726933; 255.897045; 256.021172; 256.157130; 256.271511; 256.288171; 256.244928; 256.420076; 256.897956; 257.110834; 257.290334; 257.369280; 257.295400; 257.063389; 256.597728; 256.303132; 256.264925; 256.312996; 256.415099; 256.439149; 256.308198; 256.011218; 255.727082; 255.262017; 254.750371; 254.384667; 254.058689; 253.464103; 252.595186; 252.271324; 252.228528; 251.469612; 250.016332; 249.385789; 249.453187; 249.312639; 249.056309; 248.634681; 248.182192; 247.884631; 247.787878; 247.883633; 248.461038; 249.659806; 250.797927; 251.317739; 251.955092; 253.120333; 253.985822; 254.332930; 255.114794; 255.499244; 255.594343; 255.920708; 256.134897; 255.819798; 255.503863; 255.203873; 254.627615; 253.817111; 253.609985; 253.520668; 252.818733; 252.077192; 251.051754; 250.119478; 250.189930; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
