Roll Number; 2
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:30:38
File Name; D:\Mahlo\TR\171120073038FP 4577_360 GSM2_XMF2.txt

37973.5; 07:30:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.520634; 0.519404; 0.518478; 0.517954; 0.517660; 0.517415; 0.517350; 0.517260; 0.516940; 0.517660; 0.518363; 0.518040; 0.517725; 0.517710; 0.518131; 0.518509; 0.518730; 0.518892; 0.519338; 0.519691; 0.520098; 0.520529; 0.520926; 0.520867; 0.520338; 0.519655; 0.519128; 0.518668; 0.518107; 0.517649; 0.517711; 0.518198; 0.518671; 0.519262; 0.520387; 0.521461; 0.521380; 0.521005; 0.520753; 0.520890; 0.521353; 0.522065; 0.523129; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37975.3; 07:30:53; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.504751; 0.506309; 0.507335; 0.507816; 0.507886; 0.507850; 0.507814; 0.510087; 0.513123; 0.513416; 0.511886; 0.509879; 0.508159; 0.506724; 0.505154; 0.503571; 0.502410; 0.501567; 0.500783; 0.500107; 0.499823; 0.499882; 0.500581; 0.501965; 0.503417; 0.504793; 0.506114; 0.506756; 0.506922; 0.506570; 0.506202; 0.505392; 0.505299; 0.506255; 0.506965; 0.507318; 0.507901; 0.508178; 0.508382; 0.508484; 0.509194; 0.510103; 0.511309; 0.513183; 0.515136; 0.517649; 0.520269; 0.522568; 0.523674; 0.524788; 0.525812; 0.526203; 0.526603; 0.526832; 0.527313; 0.527341; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37976.3; 07:30:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.475283; 0.479798; 0.482187; 0.484692; 0.485543; 0.486034; 0.487217; 0.489469; 0.498560; 0.505510; 0.509162; 0.509393; 0.507752; 0.506900; 0.504830; 0.503552; 0.501948; 0.501241; 0.501421; 0.502583; 0.504073; 0.504877; 0.505650; 0.506576; 0.507836; 0.509352; 0.510482; 0.512179; 0.513353; 0.514918; 0.516301; 0.517312; 0.517540; 0.516826; 0.516347; 0.515907; 0.515652; 0.515288; 0.514773; 0.514458; 0.513849; 0.513544; 0.513508; 0.513777; 0.514448; 0.515874; 0.517917; 0.521117; 0.523564; 0.525732; 0.527569; 0.528917; 0.529953; 0.530138; 0.529725; 0.529191; 0.528444; 0.527434; 0.526643; 0.525577; 0.522931; 0.518778; 0.516770; 0.514715; 0.512655; 0.510140; 0.507118; 0.504221; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37977.2; 07:31:04; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.476035; 0.479725; 0.483269; 0.485346; 0.486903; 0.488257; 0.489372; 0.494607; 0.499234; 0.501595; 0.501391; 0.500571; 0.499665; 0.498830; 0.498253; 0.498053; 0.498237; 0.498499; 0.499028; 0.499620; 0.500487; 0.501482; 0.502894; 0.504569; 0.506076; 0.507926; 0.509604; 0.510385; 0.510028; 0.508886; 0.507572; 0.506257; 0.505795; 0.505783; 0.506060; 0.506063; 0.505795; 0.505535; 0.505314; 0.504839; 0.504971; 0.505433; 0.506884; 0.509640; 0.512424; 0.515495; 0.518125; 0.520216; 0.521366; 0.522261; 0.523012; 0.523450; 0.524205; 0.524382; 0.525167; 0.525587; 0.525285; 0.525822; 0.524126; 0.520324; 0.512037; 0.509060; 0.507392; 0.505037; 0.503307; 0.501109; 0.498560; 0.495310; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37978.2; 07:31:09; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.417472; 0.423864; 0.429661; 0.434375; 0.438265; 0.441420; 0.444441; 0.446951; 0.457310; 0.469268; 0.477735; 0.483148; 0.486316; 0.488735; 0.488991; 0.490180; 0.490050; 0.489831; 0.489097; 0.487902; 0.487565; 0.487463; 0.488021; 0.487884; 0.488069; 0.488417; 0.488630; 0.489064; 0.489778; 0.491087; 0.492303; 0.494157; 0.496594; 0.499453; 0.502542; 0.504732; 0.506305; 0.508128; 0.509662; 0.510889; 0.511779; 0.512378; 0.513068; 0.513986; 0.514713; 0.515992; 0.518149; 0.520721; 0.522984; 0.525206; 0.527208; 0.528589; 0.529203; 0.529536; 0.529297; 0.528846; 0.528208; 0.527386; 0.526340; 0.524892; 0.522765; 0.518253; 0.514577; 0.512563; 0.510453; 0.508115; 0.504927; 0.501751; 0.499971; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37979.2; 07:31:15; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.468087; 0.472661; 0.476872; 0.479678; 0.481652; 0.483250; 0.484594; 0.491430; 0.497542; 0.499873; 0.500290; 0.500011; 0.499757; 0.499503; 0.499576; 0.499568; 0.499914; 0.499930; 0.500169; 0.500410; 0.500948; 0.501825; 0.503425; 0.505870; 0.509015; 0.512549; 0.515654; 0.517587; 0.518770; 0.519625; 0.520053; 0.520280; 0.520945; 0.521849; 0.522687; 0.523031; 0.523077; 0.522388; 0.521028; 0.519034; 0.517519; 0.516415; 0.515964; 0.516152; 0.516892; 0.518114; 0.519634; 0.521192; 0.521914; 0.522937; 0.523615; 0.523593; 0.524121; 0.524740; 0.525878; 0.526157; 0.526923; 0.527302; 0.526187; 0.522832; 0.515807; 0.509863; 0.507610; 0.505566; 0.503471; 0.500898; 0.499008; 0.495578; 0.493088; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37980.2; 07:31:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.415414; 0.423523; 0.428976; 0.433903; 0.438019; 0.441209; 0.444153; 0.447900; 0.461083; 0.471899; 0.478949; 0.483405; 0.486240; 0.488411; 0.488711; 0.489943; 0.489437; 0.489333; 0.488534; 0.488468; 0.488795; 0.490264; 0.492431; 0.494015; 0.495308; 0.496713; 0.496911; 0.497263; 0.497743; 0.499136; 0.500176; 0.501702; 0.503133; 0.505013; 0.506697; 0.508077; 0.508281; 0.508278; 0.508214; 0.508399; 0.508820; 0.510053; 0.511000; 0.511839; 0.512784; 0.514222; 0.516244; 0.518815; 0.521122; 0.523243; 0.525295; 0.526732; 0.527380; 0.527482; 0.527026; 0.526172; 0.525169; 0.524230; 0.523317; 0.522199; 0.519668; 0.515537; 0.513715; 0.511487; 0.509033; 0.506691; 0.503926; 0.501055; 0.493088; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37981.2; 07:31:25; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.467953; 0.472072; 0.475529; 0.477873; 0.479790; 0.481392; 0.482630; 0.487691; 0.493522; 0.496430; 0.496753; 0.496384; 0.495943; 0.495577; 0.495349; 0.495276; 0.495480; 0.495794; 0.496122; 0.496458; 0.497336; 0.498808; 0.500717; 0.503061; 0.505718; 0.509316; 0.512694; 0.514896; 0.516417; 0.517590; 0.518183; 0.518669; 0.519093; 0.519874; 0.520606; 0.520850; 0.520753; 0.519796; 0.518669; 0.517074; 0.515096; 0.513857; 0.513231; 0.513695; 0.514389; 0.515809; 0.517054; 0.518438; 0.519555; 0.520347; 0.521144; 0.521400; 0.521996; 0.522179; 0.522260; 0.522577; 0.522269; 0.522387; 0.519748; 0.514267; 0.507431; 0.505063; 0.502819; 0.500216; 0.498571; 0.495716; 0.491862; 0.488345; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37982.2; 07:31:31; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.412053; 0.418522; 0.425731; 0.431823; 0.435317; 0.438722; 0.441953; 0.444898; 0.455176; 0.465624; 0.474324; 0.481891; 0.486921; 0.490198; 0.491847; 0.494475; 0.495485; 0.497402; 0.498810; 0.501083; 0.502896; 0.504518; 0.506409; 0.507963; 0.509541; 0.509905; 0.509028; 0.508431; 0.507832; 0.507635; 0.507254; 0.507171; 0.506757; 0.506234; 0.505644; 0.505980; 0.506157; 0.506257; 0.506253; 0.506652; 0.507390; 0.508411; 0.509278; 0.510112; 0.511242; 0.512805; 0.514527; 0.516875; 0.519042; 0.521117; 0.523261; 0.524382; 0.524843; 0.524720; 0.524023; 0.523204; 0.522237; 0.521108; 0.520102; 0.518680; 0.515785; 0.511578; 0.509411; 0.507451; 0.505285; 0.502661; 0.499682; 0.496947; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37983.2; 07:31:36; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.471388; 0.475313; 0.479140; 0.481277; 0.483125; 0.484712; 0.485919; 0.489882; 0.496532; 0.499161; 0.499474; 0.499172; 0.498870; 0.498606; 0.498478; 0.498207; 0.498248; 0.498726; 0.499059; 0.498931; 0.499505; 0.500651; 0.502387; 0.504765; 0.507815; 0.511321; 0.514034; 0.515835; 0.517267; 0.518451; 0.519302; 0.519594; 0.520041; 0.520763; 0.521898; 0.522391; 0.522199; 0.521012; 0.519460; 0.517693; 0.515571; 0.514406; 0.513962; 0.514293; 0.515011; 0.516244; 0.517537; 0.518528; 0.519551; 0.519723; 0.520433; 0.520644; 0.521403; 0.521748; 0.521701; 0.522000; 0.521370; 0.521680; 0.519728; 0.514135; 0.506776; 0.504283; 0.502182; 0.499756; 0.497765; 0.494599; 0.491044; 0.487622; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37984.1; 07:31:42; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.407030; 0.415172; 0.423652; 0.430204; 0.434886; 0.439464; 0.443221; 0.445920; 0.456315; 0.467274; 0.476711; 0.484466; 0.489946; 0.493230; 0.495143; 0.497469; 0.498373; 0.499656; 0.500610; 0.501990; 0.502839; 0.503849; 0.505654; 0.507408; 0.509290; 0.510609; 0.510570; 0.510033; 0.509406; 0.509143; 0.508918; 0.508780; 0.508384; 0.507872; 0.507545; 0.507713; 0.507484; 0.507408; 0.507307; 0.507556; 0.507727; 0.508351; 0.509361; 0.510324; 0.511728; 0.513050; 0.514650; 0.516843; 0.519358; 0.521805; 0.523974; 0.525631; 0.526431; 0.526433; 0.525896; 0.524900; 0.524029; 0.523032; 0.521884; 0.520122; 0.517065; 0.511282; 0.506847; 0.504426; 0.502073; 0.499352; 0.495800; 0.492073; 0.489567; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
