Roll Number; 2
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:30:38
File Name; D:\Mahlo\TR\171120073038FP 4577_360 GSM2_THICKNESS2.txt

37973.5; 07:30:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.330179; 0.329928; 0.333317; 0.335862; 0.338011; 0.340524; 0.340588; 0.338609; 0.338454; 0.340174; 0.340885; 0.339335; 0.339502; 0.339951; 0.341150; 0.342468; 0.343437; 0.343218; 0.343990; 0.343712; 0.343028; 0.343256; 0.345802; 0.347030; 0.346582; 0.346619; 0.347815; 0.349097; 0.350818; 0.352060; 0.352541; 0.351344; 0.348905; 0.346717; 0.345507; 0.345420; 0.345608; 0.345175; 0.343138; 0.343147; 0.343577; 0.343203; 0.342066; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37975.3; 07:30:53; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.316050; 0.314057; 0.315692; 0.317141; 0.319179; 0.321604; 0.323774; 0.325589; 0.327494; 0.327905; 0.328721; 0.330663; 0.333025; 0.333723; 0.335205; 0.339335; 0.343272; 0.344677; 0.344524; 0.341711; 0.338858; 0.336524; 0.334386; 0.332418; 0.331542; 0.329911; 0.329923; 0.330459; 0.330972; 0.332150; 0.331748; 0.329545; 0.328790; 0.329317; 0.331781; 0.335147; 0.338105; 0.342321; 0.345835; 0.348612; 0.352248; 0.352841; 0.352060; 0.351028; 0.350214; 0.350080; 0.351218; 0.352145; 0.353303; 0.353484; 0.352116; 0.351336; 0.348085; 0.346117; 0.344839; 0.343011; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37976.3; 07:30:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.304669; 0.305479; 0.307671; 0.310099; 0.311015; 0.312290; 0.314239; 0.316289; 0.318366; 0.320730; 0.323651; 0.328035; 0.330940; 0.333644; 0.337090; 0.340071; 0.341502; 0.341507; 0.341162; 0.341688; 0.341842; 0.339106; 0.336815; 0.334828; 0.331452; 0.326885; 0.322577; 0.320280; 0.319288; 0.319935; 0.319160; 0.318667; 0.319724; 0.321506; 0.322644; 0.324749; 0.328694; 0.331488; 0.333549; 0.336009; 0.339228; 0.340899; 0.342411; 0.344017; 0.345418; 0.345833; 0.345378; 0.344184; 0.343037; 0.341426; 0.338964; 0.337230; 0.337168; 0.339473; 0.339516; 0.338279; 0.337906; 0.338861; 0.336809; 0.336224; 0.338150; 0.339783; 0.340225; 0.341376; 0.343012; 0.344877; 0.345709; 0.343108; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37977.2; 07:31:04; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.317872; 0.321354; 0.323133; 0.323010; 0.323187; 0.322957; 0.323588; 0.324442; 0.326150; 0.330469; 0.333510; 0.335597; 0.338113; 0.339851; 0.339366; 0.339482; 0.341402; 0.344385; 0.346210; 0.346388; 0.348546; 0.349946; 0.350599; 0.348624; 0.345671; 0.343192; 0.341758; 0.341727; 0.342529; 0.343014; 0.342822; 0.340331; 0.338075; 0.338365; 0.339007; 0.338528; 0.338178; 0.339310; 0.342538; 0.345543; 0.348100; 0.348666; 0.346753; 0.345872; 0.345331; 0.343791; 0.342907; 0.343053; 0.343107; 0.342849; 0.341803; 0.341209; 0.340057; 0.338575; 0.337668; 0.336767; 0.336267; 0.336693; 0.337490; 0.339199; 0.341400; 0.342181; 0.342510; 0.342633; 0.343299; 0.343887; 0.343904; 0.344643; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37978.2; 07:31:09; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.307852; 0.306849; 0.307130; 0.309708; 0.312461; 0.314236; 0.313878; 0.313452; 0.307915; 0.308189; 0.311355; 0.314907; 0.319743; 0.324216; 0.327826; 0.331907; 0.333515; 0.334275; 0.334107; 0.332308; 0.330791; 0.331454; 0.331464; 0.331313; 0.331704; 0.330937; 0.328669; 0.325530; 0.324010; 0.323553; 0.324218; 0.326181; 0.326891; 0.326977; 0.328443; 0.330856; 0.333367; 0.335922; 0.337326; 0.337482; 0.337418; 0.339755; 0.341955; 0.343453; 0.343500; 0.342138; 0.341689; 0.343765; 0.344377; 0.343910; 0.343283; 0.343447; 0.342895; 0.343217; 0.344188; 0.345271; 0.345550; 0.346780; 0.346123; 0.345806; 0.346336; 0.347109; 0.345251; 0.346425; 0.347301; 0.347462; 0.347476; 0.348303; 0.347685; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37979.2; 07:31:15; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.315786; 0.317656; 0.320001; 0.320771; 0.321693; 0.321695; 0.322609; 0.323730; 0.324710; 0.326733; 0.328419; 0.329229; 0.331580; 0.334611; 0.337349; 0.339339; 0.339512; 0.340170; 0.340129; 0.340143; 0.341390; 0.342373; 0.340953; 0.338236; 0.336930; 0.336026; 0.332497; 0.330393; 0.329989; 0.329624; 0.329310; 0.330451; 0.331767; 0.333332; 0.334815; 0.335570; 0.335310; 0.338337; 0.340370; 0.342027; 0.344199; 0.346750; 0.349125; 0.350325; 0.350658; 0.350009; 0.348229; 0.346139; 0.344764; 0.341786; 0.340308; 0.339458; 0.338636; 0.338786; 0.339480; 0.340513; 0.339616; 0.336288; 0.333509; 0.330713; 0.330444; 0.330864; 0.331372; 0.332059; 0.333356; 0.333030; 0.332838; 0.332888; 0.332543; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37980.2; 07:31:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.251908; 0.256317; 0.261151; 0.266016; 0.269976; 0.272671; 0.275517; 0.279577; 0.294737; 0.303742; 0.307482; 0.311201; 0.314360; 0.317368; 0.319959; 0.322506; 0.325745; 0.328582; 0.331483; 0.332171; 0.331767; 0.330870; 0.330032; 0.329324; 0.328726; 0.329153; 0.329748; 0.329488; 0.328068; 0.326683; 0.327338; 0.327819; 0.327373; 0.325493; 0.327193; 0.330938; 0.335564; 0.339516; 0.341881; 0.341749; 0.341288; 0.341343; 0.341544; 0.342358; 0.343194; 0.340979; 0.339884; 0.340379; 0.340554; 0.339630; 0.338424; 0.335287; 0.333608; 0.333258; 0.333460; 0.334860; 0.336143; 0.336387; 0.336191; 0.337225; 0.340010; 0.339981; 0.339560; 0.340471; 0.341382; 0.341586; 0.343242; 0.344079; 0.332543; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37981.2; 07:31:25; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.305246; 0.307773; 0.309153; 0.310369; 0.311872; 0.314252; 0.317583; 0.320102; 0.322824; 0.326313; 0.329115; 0.330367; 0.332178; 0.335495; 0.337591; 0.338953; 0.340872; 0.343274; 0.344018; 0.343703; 0.341590; 0.339377; 0.338581; 0.338339; 0.338322; 0.338394; 0.340555; 0.343108; 0.342654; 0.341810; 0.341870; 0.341139; 0.340218; 0.341258; 0.344632; 0.346795; 0.350040; 0.353254; 0.353790; 0.351019; 0.350599; 0.349108; 0.348601; 0.349261; 0.349297; 0.348386; 0.348803; 0.349104; 0.348180; 0.345312; 0.344379; 0.339851; 0.336433; 0.335681; 0.338447; 0.339575; 0.339466; 0.338780; 0.336459; 0.335469; 0.336631; 0.336169; 0.335877; 0.336295; 0.336666; 0.335977; 0.338793; 0.341715; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37982.2; 07:31:31; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.303281; 0.302466; 0.302869; 0.305694; 0.308473; 0.312282; 0.313237; 0.313902; 0.317187; 0.313789; 0.314717; 0.317392; 0.319647; 0.322810; 0.326608; 0.329593; 0.335224; 0.337416; 0.336504; 0.335411; 0.333138; 0.333596; 0.333632; 0.334597; 0.336524; 0.337024; 0.336941; 0.335857; 0.333652; 0.331082; 0.329345; 0.328095; 0.330830; 0.333380; 0.335562; 0.337534; 0.340340; 0.341753; 0.342123; 0.342726; 0.342472; 0.342177; 0.345296; 0.348247; 0.350232; 0.349889; 0.348257; 0.344227; 0.341967; 0.339728; 0.336328; 0.334086; 0.334958; 0.336242; 0.337294; 0.338707; 0.339301; 0.338153; 0.335303; 0.335532; 0.336716; 0.337730; 0.339933; 0.341706; 0.343697; 0.345776; 0.346855; 0.345524; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37983.2; 07:31:36; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.317926; 0.320284; 0.320648; 0.320806; 0.320962; 0.320171; 0.320279; 0.321776; 0.324118; 0.325631; 0.327854; 0.328846; 0.329599; 0.330524; 0.331348; 0.331329; 0.331854; 0.333526; 0.335273; 0.336330; 0.338954; 0.340972; 0.339963; 0.338449; 0.335743; 0.332187; 0.330523; 0.331136; 0.332212; 0.332541; 0.332770; 0.332701; 0.331850; 0.331952; 0.331921; 0.331276; 0.331891; 0.333517; 0.337170; 0.340877; 0.344626; 0.346752; 0.345818; 0.344755; 0.343234; 0.341589; 0.341115; 0.341321; 0.340593; 0.340717; 0.340476; 0.339290; 0.338612; 0.336486; 0.335354; 0.333711; 0.332534; 0.332761; 0.333445; 0.336875; 0.340729; 0.341698; 0.341759; 0.342885; 0.342788; 0.342129; 0.342792; 0.343965; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37984.1; 07:31:42; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.281474; 0.284580; 0.289611; 0.292607; 0.292716; 0.292921; 0.294578; 0.297324; 0.308301; 0.314034; 0.315904; 0.317671; 0.320722; 0.323864; 0.325340; 0.327959; 0.330520; 0.331977; 0.332796; 0.335978; 0.336918; 0.336397; 0.334610; 0.333545; 0.331681; 0.330051; 0.329749; 0.329704; 0.329272; 0.327151; 0.326079; 0.326190; 0.327349; 0.328292; 0.328866; 0.331784; 0.335156; 0.338130; 0.339860; 0.341384; 0.342793; 0.342541; 0.342045; 0.342336; 0.344427; 0.344246; 0.342543; 0.341809; 0.341533; 0.341005; 0.341326; 0.340488; 0.340283; 0.340460; 0.340625; 0.341259; 0.342799; 0.343659; 0.343630; 0.343673; 0.344870; 0.343727; 0.343285; 0.343792; 0.343551; 0.342478; 0.342301; 0.342474; 0.343235; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37985.1; 07:31:47; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.315978; 0.318722; 0.319272; 0.319563; 0.320508; 0.320536; 0.320545; 0.321620; 0.324231; 0.325917; 0.327878; 0.329544; 0.330390; 0.330034; 0.329525; 0.329961; 0.331897; 0.334157; 0.335688; 0.336785; 0.337383; 0.339081; 0.339039; 0.336555; 0.334554; 0.333328; 0.332496; 0.333203; 0.335454; 0.336647; 0.336099; 0.334498; 0.332832; 0.331796; 0.331979; 0.333207; 0.334414; 0.336771; 0.340715; 0.345086; 0.348641; 0.349621; 0.349406; 0.348576; 0.347851; 0.347550; 0.347708; 0.348697; 0.348365; 0.348128; 0.347358; 0.343966; 0.341564; 0.339690; 0.338246; 0.337166; 0.336023; 0.336123; 0.336443; 0.337009; 0.338164; 0.338457; 0.338090; 0.338722; 0.338531; 0.338521; 0.340251; 0.341887; 0.340982; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37986.1; 07:31:52; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.296225; 0.298807; 0.302630; 0.305864; 0.306851; 0.307644; 0.307788; 0.307300; 0.307548; 0.308994; 0.311036; 0.314097; 0.318279; 0.321915; 0.324555; 0.327882; 0.329994; 0.330048; 0.329813; 0.332437; 0.332602; 0.332970; 0.334402; 0.335803; 0.336204; 0.336803; 0.336419; 0.335763; 0.335050; 0.333044; 0.329395; 0.329596; 0.331095; 0.332423; 0.332664; 0.336307; 0.341304; 0.341997; 0.341880; 0.342496; 0.343545; 0.342866; 0.343350; 0.345159; 0.347746; 0.348575; 0.348494; 0.347080; 0.345798; 0.345048; 0.343573; 0.340836; 0.341068; 0.342038; 0.342425; 0.343496; 0.345380; 0.345250; 0.344636; 0.344951; 0.345696; 0.344848; 0.345778; 0.346338; 0.346360; 0.346349; 0.347394; 0.348065; 0.340982; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37987.1; 07:31:58; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.306268; 0.309742; 0.313281; 0.315525; 0.316788; 0.316596; 0.317441; 0.319075; 0.321279; 0.325142; 0.328199; 0.330469; 0.332968; 0.335793; 0.336836; 0.335995; 0.335633; 0.336151; 0.337713; 0.338932; 0.340776; 0.341394; 0.340216; 0.338100; 0.335602; 0.333207; 0.331395; 0.331814; 0.332851; 0.333373; 0.333781; 0.334121; 0.334066; 0.333647; 0.333253; 0.333428; 0.335240; 0.336700; 0.341965; 0.347384; 0.350060; 0.350346; 0.349764; 0.349184; 0.349079; 0.349071; 0.348596; 0.346695; 0.345226; 0.345306; 0.345180; 0.343464; 0.342218; 0.337833; 0.335157; 0.334419; 0.334598; 0.334880; 0.334944; 0.335216; 0.337647; 0.339252; 0.340468; 0.341475; 0.341013; 0.340782; 0.341455; 0.342417; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37988.1; 07:32:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.298390; 0.300949; 0.303227; 0.303161; 0.303018; 0.305374; 0.308624; 0.310982; 0.313067; 0.315873; 0.318788; 0.321359; 0.323951; 0.326326; 0.328774; 0.331005; 0.331723; 0.332597; 0.334445; 0.336773; 0.335388; 0.332300; 0.330125; 0.329506; 0.329744; 0.331283; 0.333104; 0.333220; 0.332446; 0.330314; 0.325838; 0.325477; 0.328647; 0.331109; 0.332844; 0.335824; 0.339292; 0.340695; 0.341491; 0.341910; 0.340799; 0.338811; 0.340561; 0.343845; 0.346271; 0.347961; 0.349169; 0.346143; 0.343168; 0.341483; 0.339851; 0.337110; 0.336231; 0.336019; 0.336778; 0.338856; 0.342174; 0.342550; 0.341920; 0.342521; 0.342183; 0.341764; 0.342437; 0.343754; 0.345495; 0.348266; 0.351686; 0.354767; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
