Roll Number; 2
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:30:38
File Name; D:\Mahlo\TR\171120073038FP 4577_360 GSM2_FMI2.txt

37973.5; 07:30:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 258.615047; 258.071303; 257.457495; 257.582039; 257.931978; 257.602274; 257.000506; 256.602615; 256.222695; 256.313294; 257.119238; 257.866710; 258.279383; 257.989317; 257.438958; 257.092178; 257.243901; 257.441193; 257.532567; 257.703096; 258.183688; 258.671403; 259.027302; 258.901656; 258.211434; 257.343233; 256.570995; 255.887508; 256.160021; 256.486446; 256.645203; 256.848365; 257.112652; 257.231474; 257.258415; 257.431328; 257.447273; 257.450104; 257.635415; 257.997602; 258.388311; 258.934945; 259.792775; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37975.3; 07:30:53; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 256.677598; 257.771999; 258.728415; 258.735448; 258.135140; 257.727832; 257.812113; 258.647144; 259.576768; 259.796798; 259.617329; 259.254843; 259.243757; 259.528399; 259.420604; 258.589089; 257.767826; 257.440627; 257.533193; 257.650048; 257.367671; 256.855279; 256.681651; 257.090360; 257.742465; 258.455455; 258.589208; 257.862806; 257.137120; 257.023007; 257.097006; 257.055491; 256.907105; 257.098287; 257.819831; 258.520603; 258.809745; 258.816272; 258.625567; 258.300036; 257.999420; 258.188367; 258.563548; 258.861721; 259.237021; 259.689242; 260.048389; 260.511398; 260.651737; 260.474622; 260.528207; 260.517806; 260.250509; 259.793371; 259.521514; 259.569734; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37976.3; 07:30:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 260.163099; 260.197848; 260.251343; 260.113955; 259.491652; 258.724183; 258.186817; 257.931501; 258.487701; 258.430064; 257.841796; 256.888092; 256.311655; 256.358922; 256.563246; 256.251127; 255.899936; 255.727947; 255.979836; 256.662071; 257.247955; 257.595837; 257.765293; 257.528216; 257.375330; 257.729083; 258.223146; 258.171529; 257.826686; 257.777065; 258.093774; 258.499771; 258.736402; 258.509010; 257.943064; 257.627636; 257.330000; 256.876856; 256.592363; 256.258249; 255.615503; 254.993975; 255.344182; 255.771518; 255.875856; 255.868852; 255.827814; 255.899310; 256.337672; 256.746948; 257.163107; 257.855088; 258.882999; 259.438813; 259.600252; 259.839177; 259.630144; 258.695513; 257.919192; 257.298261; 256.556928; 255.876958; 255.349398; 254.673570; 254.285872; 253.697664; 252.282888; 250.661224; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37977.2; 07:31:04; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 256.904364; 257.715076; 258.809209; 259.335816; 258.976638; 258.329749; 258.148134; 259.308517; 260.215789; 260.171771; 259.563237; 258.934557; 258.570552; 258.630872; 258.614957; 257.866710; 257.204354; 256.869435; 256.723940; 256.765097; 256.728292; 256.473631; 256.194204; 256.448746; 256.973714; 257.746905; 258.090168; 257.674873; 257.167876; 256.988615; 257.221401; 257.582664; 257.706732; 257.703155; 258.061111; 258.415163; 258.438885; 257.923037; 256.954372; 256.013125; 255.155563; 255.218357; 255.657673; 256.042570; 256.402522; 256.799608; 257.013679; 257.241130; 257.607162; 257.840037; 258.154541; 259.060860; 259.968430; 260.346651; 260.670632; 260.886490; 260.701209; 260.105401; 259.268582; 258.456379; 257.586688; 257.057965; 256.475091; 255.962968; 255.630255; 255.048782; 253.656834; 252.237767; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37978.2; 07:31:09; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 258.450627; 258.144647; 257.816672; 257.305324; 256.900460; 256.488889; 256.060898; 255.676985; 256.277621; 256.423771; 256.127894; 255.867183; 255.615890; 255.361974; 255.000442; 254.778594; 254.699618; 254.820734; 255.265087; 255.605936; 256.076127; 256.492406; 256.848127; 257.045150; 256.994337; 256.712645; 256.464243; 256.336004; 256.056815; 256.059349; 256.273091; 256.598324; 256.814539; 256.849021; 256.584257; 256.235689; 255.905479; 255.493551; 255.324095; 255.245119; 255.061686; 254.737258; 254.764020; 255.151123; 255.425334; 255.503058; 255.682290; 255.613565; 256.054074; 256.618738; 257.083654; 257.831514; 258.682549; 259.313583; 259.570271; 259.766281; 259.562373; 258.734673; 257.854909; 257.146358; 256.454974; 255.670965; 255.051225; 254.366100; 253.903747; 253.494412; 252.340674; 250.508159; 249.546736; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37979.2; 07:31:15; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 255.834430; 256.540835; 257.623017; 258.224159; 257.847995; 257.331014; 257.186085; 258.884847; 260.116190; 260.108173; 259.532392; 258.885771; 258.273602; 258.161068; 258.281261; 257.862329; 257.082939; 256.701350; 256.629109; 256.794631; 256.695032; 256.421328; 256.137013; 256.216854; 256.931394; 257.851869; 257.891625; 257.403255; 257.061899; 256.875038; 257.093012; 257.437080; 257.526815; 257.553101; 257.907033; 258.231372; 258.322597; 257.944256; 256.996959; 255.707800; 254.707783; 255.005509; 255.522132; 255.703211; 255.979627; 256.412774; 256.702304; 256.825417; 257.224232; 257.530719; 257.956445; 258.652896; 259.413660; 259.827197; 260.233521; 260.609388; 260.378271; 259.726703; 259.013802; 258.358091; 257.649362; 256.939143; 256.236136; 255.696684; 255.352616; 254.820555; 253.782302; 252.451479; 251.782000; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37980.2; 07:31:20; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 255.125523; 255.233765; 255.446762; 255.593687; 255.409241; 255.129933; 254.868448; 254.782706; 256.289750; 256.803542; 256.730944; 256.507814; 256.324589; 256.177545; 255.900681; 255.547792; 255.397230; 255.281717; 255.303323; 255.451262; 255.825132; 256.359518; 256.830454; 257.017523; 256.996900; 256.698281; 256.322950; 256.019443; 255.982757; 255.959898; 256.255686; 256.511033; 256.654948; 256.923229; 257.026583; 256.700128; 256.175816; 255.759120; 255.582988; 255.447835; 255.323499; 255.372822; 255.302936; 255.237520; 255.556643; 255.757064; 255.992472; 256.157607; 256.272286; 256.725162; 257.196307; 258.172542; 259.092778; 259.477168; 259.673297; 259.848893; 259.249449; 258.476138; 257.747471; 257.158697; 256.529719; 255.822659; 255.385548; 254.671156; 254.152715; 253.590137; 252.272069; 250.665903; 251.782000; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37981.2; 07:31:25; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 256.084740; 257.023335; 257.949054; 258.479148; 258.273125; 257.643163; 257.419020; 258.531481; 259.601325; 259.635448; 259.023696; 258.406043; 257.973164; 258.068770; 258.202910; 257.651210; 256.963134; 256.707281; 256.699800; 256.648272; 256.625205; 256.327957; 256.150037; 256.325871; 256.987095; 257.955790; 258.355707; 257.935941; 257.477880; 257.190287; 257.388502; 257.615119; 257.624954; 257.470101; 257.798254; 258.036643; 258.073270; 257.552385; 256.819159; 255.710840; 254.562676; 254.622310; 255.075097; 255.393595; 255.815297; 256.293237; 256.464809; 256.638020; 257.136017; 257.523209; 257.922918; 258.807063; 259.451926; 259.723961; 260.136694; 260.294974; 259.838015; 259.145141; 258.427799; 257.638067; 256.767213; 256.299853; 255.628169; 255.024552; 254.678607; 254.168838; 252.630234; 251.406968; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37982.2; 07:31:31; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 255.585074; 255.543709; 255.508184; 255.551398; 255.263180; 255.065054; 254.824996; 254.480034; 255.300671; 255.875558; 255.739838; 255.236715; 254.893243; 254.659712; 254.412234; 254.116118; 253.973633; 253.872454; 253.981262; 254.408151; 254.794687; 255.203813; 255.473614; 255.851626; 256.173611; 256.210685; 256.063610; 255.808562; 255.805790; 255.717099; 255.827785; 256.180882; 256.475359; 256.678134; 256.450444; 256.145835; 255.816281; 255.466193; 255.200088; 255.083919; 254.996449; 254.970223; 255.039662; 255.004287; 255.318642; 255.698293; 255.908072; 256.184369; 256.400496; 256.838709; 257.504523; 258.359939; 259.192288; 259.691149; 259.792000; 259.917766; 259.561807; 258.648753; 257.971793; 257.400841; 256.602317; 255.848020; 255.223215; 254.511625; 254.012913; 253.343105; 251.849264; 250.414908; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37983.2; 07:31:36; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 257.216126; 257.882893; 258.849084; 259.349912; 259.000808; 258.404583; 258.166611; 258.940607; 260.003775; 259.766340; 259.163529; 258.574367; 258.192688; 258.231401; 258.164078; 257.597685; 256.907791; 256.447703; 256.258488; 256.197363; 256.011337; 255.680710; 255.367190; 255.616218; 256.328017; 257.292867; 257.348210; 256.822497; 256.323010; 256.186187; 256.414086; 256.692141; 256.652772; 256.722748; 257.138401; 257.539183; 257.663280; 257.300138; 256.555021; 255.442739; 254.462600; 254.668891; 255.214006; 255.572349; 255.982369; 256.509751; 256.749421; 257.013619; 257.403284; 257.614136; 258.084595; 258.898914; 259.430856; 259.669840; 260.035038; 259.985745; 259.480178; 258.851141; 258.205235; 257.377595; 256.594658; 256.116986; 255.421340; 254.896075; 254.462749; 253.446400; 251.983732; 251.131684; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
37984.1; 07:31:42; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 253.831148; 254.321724; 254.896402; 255.376041; 255.768687; 255.731255; 255.477518; 255.186945; 256.549388; 257.305533; 257.356435; 257.075071; 256.814539; 256.643087; 256.529570; 256.099701; 255.652159; 255.292118; 254.978478; 254.874438; 254.922599; 255.249590; 255.845755; 256.085396; 256.410331; 256.513983; 256.324381; 256.060511; 256.020814; 255.844146; 255.811572; 256.061405; 256.372750; 256.558836; 256.700099; 256.557643; 256.123155; 255.540252; 255.338490; 255.202055; 254.961908; 254.966408; 255.084932; 255.023658; 255.278945; 255.868703; 256.271958; 256.567687; 256.832778; 257.150173; 257.602304; 258.417368; 259.443969; 259.894520; 260.032952; 260.257810; 259.884626; 259.036571; 258.246094; 257.527292; 256.670147; 255.757183; 254.891098; 254.133672; 253.645688; 253.052622; 251.615733; 250.007123; 249.187455; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
