Roll Number; 3
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:44:16
File Name; D:\Mahlo\TR\171120074416FP 4577_360 GSM3_XMF2.txt

38123.8; 07:44:27; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.471081; 0.470747; 0.470822; 0.470824; 0.470685; 0.470507; 0.470316; 0.470179; 0.470000; 0.469923; 0.470011; 0.470830; 0.472191; 0.473716; 0.475591; 0.477895; 0.479680; 0.480917; 0.481794; 0.482403; 0.482817; 0.483338; 0.483879; 0.484437; 0.485070; 0.485441; 0.485264; 0.484665; 0.483765; 0.482801; 0.481654; 0.480936; 0.480533; 0.480538; 0.481051; 0.481734; 0.482194; 0.482577; 0.483117; 0.483502; 0.483549; 0.483454; 0.483337; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38125.6; 07:44:32; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.478493; 0.480283; 0.481481; 0.482241; 0.482689; 0.482869; 0.483285; 0.486368; 0.487787; 0.487655; 0.487184; 0.486788; 0.486380; 0.485756; 0.485169; 0.484687; 0.483798; 0.482905; 0.482031; 0.481489; 0.481170; 0.480967; 0.481037; 0.481551; 0.482320; 0.483348; 0.484687; 0.486224; 0.487249; 0.488057; 0.488112; 0.487785; 0.487203; 0.486654; 0.485865; 0.485045; 0.483975; 0.483131; 0.481921; 0.480168; 0.477809; 0.475687; 0.473569; 0.471652; 0.470893; 0.471172; 0.472611; 0.474147; 0.474636; 0.475268; 0.475875; 0.476525; 0.476761; 0.477123; 0.477907; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38126.6; 07:44:38; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.451486; 0.455737; 0.459452; 0.461655; 0.463968; 0.465446; 0.466811; 0.468618; 0.473040; 0.475496; 0.476432; 0.478772; 0.480145; 0.481494; 0.481641; 0.481687; 0.480876; 0.479622; 0.478758; 0.477684; 0.477276; 0.476553; 0.476327; 0.476104; 0.476229; 0.477305; 0.478128; 0.479767; 0.481025; 0.481966; 0.482768; 0.483298; 0.483865; 0.484157; 0.484362; 0.484844; 0.485302; 0.485890; 0.486152; 0.485864; 0.485155; 0.484488; 0.483747; 0.483167; 0.482843; 0.482776; 0.483026; 0.483615; 0.484320; 0.484894; 0.485375; 0.486264; 0.487056; 0.487575; 0.488186; 0.488827; 0.489084; 0.488521; 0.487127; 0.483465; 0.476125; 0.473760; 0.472746; 0.471402; 0.469521; 0.467050; 0.462533; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38127.5; 07:44:43; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.469032; 0.471307; 0.472549; 0.473369; 0.473901; 0.474316; 0.474703; 0.478905; 0.482135; 0.481952; 0.481459; 0.481205; 0.480787; 0.480105; 0.479607; 0.479137; 0.478485; 0.477845; 0.477474; 0.477491; 0.477545; 0.477589; 0.477739; 0.478301; 0.479113; 0.480391; 0.481705; 0.483381; 0.484913; 0.485790; 0.486255; 0.486391; 0.486446; 0.486087; 0.484903; 0.483632; 0.482427; 0.481293; 0.480003; 0.478131; 0.476344; 0.474477; 0.472608; 0.471438; 0.471065; 0.471090; 0.471913; 0.473187; 0.475162; 0.478624; 0.482008; 0.484805; 0.486581; 0.487821; 0.488241; 0.487294; 0.486658; 0.484768; 0.481429; 0.473028; 0.468968; 0.467606; 0.465400; 0.461910; 0.456730; 0.451168; 0.444937; 0.440572; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38128.5; 07:44:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.420213; 0.424879; 0.429567; 0.433849; 0.438671; 0.442198; 0.445212; 0.448308; 0.454668; 0.459826; 0.462020; 0.465798; 0.469656; 0.473929; 0.476797; 0.478598; 0.478832; 0.478107; 0.477474; 0.476114; 0.475225; 0.474515; 0.474203; 0.473907; 0.473719; 0.474364; 0.474915; 0.475964; 0.476658; 0.477463; 0.477971; 0.478316; 0.478457; 0.478789; 0.479255; 0.479913; 0.480515; 0.480921; 0.481214; 0.481379; 0.481251; 0.481105; 0.480896; 0.481033; 0.481503; 0.481914; 0.482449; 0.483592; 0.484533; 0.485354; 0.486124; 0.487313; 0.488328; 0.489144; 0.489803; 0.490254; 0.490673; 0.490827; 0.490649; 0.488976; 0.485499; 0.485145; 0.484880; 0.484740; 0.484456; 0.483513; 0.481165; 0.479137; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38129.5; 07:44:54; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.482149; 0.482720; 0.483495; 0.483905; 0.484087; 0.484199; 0.484483; 0.486611; 0.487352; 0.486819; 0.486211; 0.485641; 0.485113; 0.484576; 0.484347; 0.483999; 0.483298; 0.482275; 0.481493; 0.481098; 0.480610; 0.480369; 0.480154; 0.480300; 0.480955; 0.482047; 0.483367; 0.484726; 0.485817; 0.486548; 0.486592; 0.486483; 0.486214; 0.485709; 0.484872; 0.484153; 0.483420; 0.482478; 0.481147; 0.479829; 0.478494; 0.476896; 0.475708; 0.474822; 0.474622; 0.475334; 0.476839; 0.478788; 0.480478; 0.483861; 0.487095; 0.489897; 0.491700; 0.493673; 0.494863; 0.494440; 0.494295; 0.493390; 0.492219; 0.487503; 0.485110; 0.484503; 0.482996; 0.480945; 0.477316; 0.473496; 0.469765; 0.467736; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38130.5; 07:44:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.424974; 0.429422; 0.433988; 0.438404; 0.442799; 0.446061; 0.448810; 0.452125; 0.458610; 0.463917; 0.466914; 0.471322; 0.474269; 0.476340; 0.477943; 0.479428; 0.480025; 0.479204; 0.478296; 0.477110; 0.476480; 0.475775; 0.475244; 0.475457; 0.475610; 0.476478; 0.477241; 0.478394; 0.479270; 0.479897; 0.480357; 0.480641; 0.480750; 0.480773; 0.481079; 0.481396; 0.481646; 0.481865; 0.481626; 0.481233; 0.480299; 0.479418; 0.478537; 0.478138; 0.478083; 0.478444; 0.479074; 0.480196; 0.481002; 0.481693; 0.482646; 0.483562; 0.484541; 0.485802; 0.486769; 0.487711; 0.488659; 0.489160; 0.489078; 0.488013; 0.485511; 0.485336; 0.485236; 0.485168; 0.484895; 0.484180; 0.482330; 0.467736; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38131.4; 07:45:04; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.470505; 0.472914; 0.474582; 0.475423; 0.475949; 0.476421; 0.477769; 0.481454; 0.482899; 0.483061; 0.483046; 0.482994; 0.482939; 0.482883; 0.482678; 0.482044; 0.480998; 0.480057; 0.479326; 0.478721; 0.478203; 0.477657; 0.477360; 0.477308; 0.477642; 0.478210; 0.478985; 0.479791; 0.480341; 0.480665; 0.480774; 0.480541; 0.480150; 0.479629; 0.478928; 0.478312; 0.477744; 0.476980; 0.475871; 0.474535; 0.473253; 0.472049; 0.471059; 0.470462; 0.470839; 0.471638; 0.473738; 0.475988; 0.478578; 0.482238; 0.485716; 0.488472; 0.490565; 0.492962; 0.494447; 0.494173; 0.493991; 0.492343; 0.490671; 0.484512; 0.481125; 0.479983; 0.478139; 0.475487; 0.471053; 0.466738; 0.461499; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38132.4; 07:45:10; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.427059; 0.431882; 0.436767; 0.441156; 0.445004; 0.447702; 0.450433; 0.454151; 0.459639; 0.464042; 0.466209; 0.470097; 0.472406; 0.475046; 0.476857; 0.477636; 0.477564; 0.476189; 0.474816; 0.473059; 0.471913; 0.470888; 0.469811; 0.469499; 0.469409; 0.470008; 0.470798; 0.471978; 0.472865; 0.473628; 0.474134; 0.474448; 0.474897; 0.475491; 0.476099; 0.476952; 0.477957; 0.478737; 0.479410; 0.479759; 0.479861; 0.479897; 0.479836; 0.480021; 0.480685; 0.481961; 0.483430; 0.484893; 0.486231; 0.487332; 0.488205; 0.489225; 0.490062; 0.490581; 0.491000; 0.491234; 0.491365; 0.491390; 0.490907; 0.489361; 0.486232; 0.484723; 0.484065; 0.483476; 0.482708; 0.481308; 0.478721; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38140.1; 07:45:51; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.460130; 0.461488; 0.462933; 0.464296; 0.465689; 0.466169; 0.465795; 0.466857; 0.470559; 0.471090; 0.470060; 0.468802; 0.467608; 0.466579; 0.465947; 0.465382; 0.465012; 0.464553; 0.463724; 0.462746; 0.462456; 0.462486; 0.462576; 0.462860; 0.463127; 0.463069; 0.462878; 0.462375; 0.461139; 0.459465; 0.456695; 0.453595; 0.450237; 0.446346; 0.441901; 0.438575; 0.436921; 0.435245; 0.433021; 0.431659; 0.430830; 0.430681; 0.431433; 0.432891; 0.435645; 0.439342; 0.444435; 0.450621; 0.456567; 0.463424; 0.468527; 0.472882; 0.477771; 0.481689; 0.484758; 0.487940; 0.490009; 0.491454; 0.492012; 0.491144; 0.487471; 0.484836; 0.483730; 0.482585; 0.481057; 0.478321; 0.474393; 0.471629; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38141.0; 07:45:56; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.459843; 0.462091; 0.463470; 0.464361; 0.465274; 0.466271; 0.467555; 0.472754; 0.475989; 0.477251; 0.477785; 0.478347; 0.478729; 0.479094; 0.479445; 0.480048; 0.480186; 0.480468; 0.480565; 0.480686; 0.480324; 0.480003; 0.479190; 0.478775; 0.478436; 0.478956; 0.479691; 0.480682; 0.481134; 0.481323; 0.481160; 0.480919; 0.480263; 0.479877; 0.479365; 0.479088; 0.478891; 0.478669; 0.477553; 0.476246; 0.474572; 0.473002; 0.471551; 0.470412; 0.469838; 0.469746; 0.470227; 0.471051; 0.471150; 0.472010; 0.472638; 0.474146; 0.475269; 0.476402; 0.476918; 0.477530; 0.477881; 0.477535; 0.477630; 0.474297; 0.471301; 0.470553; 0.469901; 0.469924; 0.468695; 0.467228; 0.464417; 0.463266; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
