Roll Number; 3
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:44:16
File Name; D:\Mahlo\TR\171120074416FP 4577_360 GSM3_THICKNESS2.txt

38123.8; 07:44:27; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.333676; 0.331188; 0.327814; 0.325047; 0.324565; 0.326024; 0.328693; 0.331043; 0.332824; 0.333469; 0.331468; 0.328206; 0.327394; 0.329305; 0.332308; 0.335781; 0.341126; 0.346172; 0.350157; 0.352505; 0.354314; 0.354883; 0.354364; 0.353938; 0.356486; 0.359886; 0.363653; 0.364268; 0.361958; 0.359850; 0.357139; 0.354067; 0.351390; 0.349463; 0.348797; 0.347640; 0.346113; 0.346347; 0.346482; 0.344206; 0.340849; 0.338319; 0.337630; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38125.6; 07:44:32; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.330609; 0.329907; 0.331761; 0.331417; 0.330587; 0.330005; 0.329370; 0.326935; 0.325712; 0.325747; 0.325792; 0.325474; 0.325970; 0.326344; 0.328528; 0.329638; 0.328133; 0.325368; 0.326059; 0.327085; 0.328293; 0.329653; 0.331114; 0.332580; 0.333338; 0.335053; 0.336579; 0.336697; 0.338069; 0.340890; 0.342795; 0.345209; 0.349603; 0.353477; 0.354497; 0.353818; 0.353287; 0.352916; 0.353120; 0.355135; 0.354329; 0.355061; 0.355534; 0.353638; 0.351545; 0.349932; 0.347653; 0.343948; 0.341031; 0.340531; 0.341616; 0.342132; 0.341607; 0.339673; 0.336243; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38126.6; 07:44:38; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.330359; 0.330093; 0.329601; 0.328919; 0.327500; 0.327772; 0.328574; 0.328821; 0.329070; 0.329611; 0.329275; 0.328331; 0.327482; 0.328276; 0.329791; 0.330064; 0.329496; 0.329485; 0.331399; 0.334038; 0.334385; 0.333687; 0.333162; 0.332410; 0.331938; 0.334548; 0.337758; 0.340880; 0.343934; 0.346844; 0.348040; 0.348859; 0.350116; 0.351580; 0.352442; 0.354013; 0.356037; 0.357898; 0.359672; 0.360205; 0.358517; 0.357147; 0.354312; 0.349772; 0.347654; 0.348272; 0.348766; 0.348977; 0.347730; 0.346281; 0.346197; 0.346021; 0.345212; 0.344705; 0.345433; 0.346346; 0.345412; 0.347680; 0.348807; 0.348477; 0.348864; 0.349215; 0.348651; 0.348263; 0.348776; 0.347870; 0.347327; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38127.5; 07:44:43; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.325991; 0.326234; 0.327554; 0.329615; 0.329562; 0.329139; 0.329171; 0.329801; 0.329944; 0.328224; 0.327612; 0.327255; 0.326995; 0.328120; 0.329327; 0.328724; 0.328861; 0.328073; 0.327536; 0.328304; 0.329295; 0.329590; 0.328272; 0.328018; 0.330807; 0.335878; 0.339889; 0.342271; 0.343604; 0.346290; 0.347997; 0.349340; 0.351154; 0.353471; 0.355700; 0.356676; 0.357097; 0.357815; 0.358025; 0.356448; 0.353987; 0.352038; 0.349896; 0.348206; 0.347997; 0.348463; 0.348580; 0.348411; 0.345747; 0.342629; 0.341889; 0.342588; 0.344413; 0.346773; 0.349062; 0.350309; 0.351288; 0.353197; 0.353518; 0.352664; 0.352323; 0.351567; 0.350774; 0.353220; 0.356217; 0.357934; 0.358166; 0.356591; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38128.5; 07:44:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.330840; 0.330915; 0.331774; 0.331554; 0.329943; 0.329720; 0.330228; 0.331433; 0.331123; 0.330389; 0.329614; 0.327995; 0.327289; 0.326385; 0.328770; 0.330834; 0.330470; 0.329391; 0.329911; 0.330697; 0.330656; 0.329664; 0.327941; 0.327385; 0.329030; 0.332801; 0.337539; 0.338854; 0.340025; 0.340239; 0.340588; 0.341239; 0.343679; 0.346561; 0.349637; 0.352095; 0.353489; 0.354515; 0.355576; 0.355389; 0.353063; 0.350136; 0.349307; 0.348462; 0.349023; 0.349892; 0.350037; 0.348367; 0.346541; 0.345017; 0.344038; 0.343902; 0.343812; 0.343988; 0.346969; 0.350212; 0.351568; 0.352080; 0.353329; 0.353326; 0.352823; 0.353438; 0.354374; 0.355133; 0.355695; 0.356974; 0.359015; 0.360095; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38129.5; 07:44:54; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.324808; 0.324023; 0.325974; 0.328894; 0.329206; 0.328028; 0.328828; 0.330804; 0.331536; 0.331103; 0.330690; 0.329682; 0.328513; 0.328026; 0.328468; 0.329894; 0.330597; 0.330071; 0.329528; 0.330760; 0.332165; 0.331617; 0.329026; 0.327945; 0.331115; 0.337414; 0.342506; 0.345052; 0.348572; 0.350894; 0.351278; 0.351827; 0.352698; 0.354022; 0.355154; 0.355999; 0.356325; 0.357163; 0.357248; 0.355456; 0.352930; 0.349948; 0.347846; 0.345648; 0.345039; 0.345467; 0.346466; 0.347028; 0.345858; 0.344691; 0.344687; 0.345401; 0.347146; 0.349442; 0.351030; 0.351843; 0.352911; 0.353681; 0.353399; 0.352567; 0.351940; 0.350631; 0.349503; 0.350492; 0.351294; 0.351746; 0.351195; 0.349606; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38130.5; 07:44:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.331778; 0.331872; 0.332887; 0.332634; 0.331673; 0.330948; 0.331234; 0.332021; 0.331626; 0.330646; 0.329161; 0.326699; 0.325405; 0.324433; 0.326219; 0.327770; 0.326568; 0.325206; 0.325878; 0.326274; 0.326207; 0.325406; 0.324190; 0.324065; 0.324676; 0.326941; 0.331152; 0.333042; 0.334049; 0.334570; 0.335545; 0.336883; 0.336537; 0.337286; 0.339381; 0.342860; 0.346221; 0.348089; 0.348914; 0.348558; 0.346238; 0.345654; 0.346754; 0.347949; 0.349488; 0.349744; 0.350617; 0.351625; 0.351202; 0.349186; 0.345532; 0.344616; 0.345325; 0.346638; 0.348830; 0.351245; 0.351506; 0.351172; 0.351769; 0.350615; 0.351279; 0.352381; 0.353058; 0.353751; 0.356707; 0.359493; 0.358907; 0.349606; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38131.4; 07:45:04; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.328794; 0.327998; 0.329307; 0.330347; 0.330126; 0.331085; 0.332206; 0.333871; 0.334504; 0.332683; 0.331998; 0.330158; 0.329146; 0.331448; 0.333782; 0.334608; 0.334230; 0.334097; 0.333835; 0.333591; 0.332860; 0.333395; 0.333691; 0.334576; 0.337173; 0.341909; 0.345861; 0.346916; 0.348060; 0.350259; 0.351633; 0.353014; 0.355170; 0.357675; 0.359767; 0.360266; 0.360551; 0.361185; 0.362232; 0.360698; 0.357128; 0.355719; 0.353263; 0.349098; 0.347290; 0.347231; 0.347814; 0.347890; 0.346310; 0.345001; 0.345155; 0.345827; 0.344968; 0.345692; 0.348208; 0.349762; 0.350752; 0.353030; 0.354701; 0.356358; 0.357259; 0.356590; 0.355037; 0.356796; 0.359089; 0.359059; 0.357555; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38132.4; 07:45:10; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.327869; 0.328203; 0.328937; 0.329667; 0.328682; 0.327882; 0.328133; 0.328945; 0.330046; 0.328760; 0.327857; 0.326217; 0.324847; 0.325156; 0.327834; 0.328782; 0.328796; 0.328287; 0.328519; 0.330145; 0.330568; 0.330535; 0.330946; 0.330483; 0.332762; 0.336954; 0.341420; 0.344256; 0.345476; 0.347964; 0.348728; 0.348617; 0.348981; 0.350344; 0.351668; 0.354392; 0.356050; 0.357394; 0.359751; 0.358720; 0.356179; 0.354107; 0.352390; 0.350949; 0.350338; 0.349977; 0.351362; 0.352146; 0.351615; 0.350915; 0.349868; 0.348641; 0.347110; 0.346133; 0.347107; 0.347843; 0.347896; 0.349459; 0.350785; 0.350737; 0.352968; 0.353396; 0.353225; 0.353144; 0.353569; 0.354646; 0.355997; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38140.1; 07:45:51; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.333759; 0.334237; 0.334934; 0.335534; 0.334843; 0.333672; 0.333242; 0.332908; 0.333015; 0.334450; 0.336052; 0.336517; 0.335077; 0.335313; 0.336196; 0.337445; 0.337915; 0.337299; 0.335982; 0.335274; 0.334149; 0.333083; 0.333292; 0.332240; 0.330440; 0.332205; 0.338349; 0.343688; 0.346267; 0.347895; 0.346265; 0.346031; 0.347588; 0.349510; 0.352531; 0.357069; 0.359535; 0.360109; 0.360475; 0.360891; 0.356323; 0.352575; 0.349451; 0.346948; 0.346802; 0.349682; 0.351733; 0.352515; 0.352422; 0.351737; 0.350017; 0.349145; 0.349093; 0.349800; 0.352127; 0.354255; 0.355639; 0.356596; 0.356265; 0.354996; 0.355160; 0.354379; 0.353924; 0.354257; 0.354844; 0.356442; 0.358003; 0.357958; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38141.0; 07:45:56; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.347214; 0.344545; 0.343821; 0.342782; 0.342980; 0.342201; 0.341162; 0.339722; 0.337925; 0.337108; 0.337993; 0.338506; 0.336784; 0.334738; 0.335211; 0.334847; 0.334443; 0.334555; 0.334569; 0.333891; 0.334875; 0.335921; 0.337488; 0.339037; 0.338770; 0.338617; 0.338646; 0.340034; 0.343218; 0.346927; 0.349486; 0.351272; 0.353085; 0.354540; 0.355729; 0.356736; 0.356009; 0.354423; 0.353649; 0.353649; 0.352011; 0.351913; 0.351187; 0.348265; 0.347218; 0.348033; 0.347984; 0.347106; 0.346759; 0.346315; 0.345801; 0.348142; 0.348360; 0.348935; 0.351329; 0.353071; 0.353532; 0.355385; 0.357522; 0.357801; 0.356917; 0.356821; 0.357353; 0.357696; 0.358570; 0.359598; 0.358637; 0.359591; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
