Roll Number; 3
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:44:16
File Name; D:\Mahlo\TR\171120074416FP 4577_360 GSM3_FMI2.txt

38123.8; 07:44:27; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 257.869899; 257.830769; 257.803530; 257.784098; 257.861316; 258.013576; 258.119822; 258.124888; 257.992417; 257.614672; 257.123142; 256.763905; 256.530374; 256.219000; 255.807281; 255.223066; 254.454345; 253.981739; 253.870577; 253.291011; 252.484679; 252.238423; 252.508700; 252.893686; 253.024876; 252.846211; 252.622783; 252.706498; 253.042042; 253.392637; 253.940076; 254.801869; 255.823195; 256.683201; 257.404804; 258.169860; 258.405447; 258.144766; 258.104801; 258.512229; 259.107858; 259.860933; 260.534078; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38125.6; 07:44:32; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 261.769354; 261.304557; 261.060327; 260.696620; 260.466754; 260.412276; 260.249972; 259.811789; 259.342611; 259.043157; 258.902520; 258.634120; 258.317322; 258.045018; 257.924050; 257.965386; 257.908225; 257.841736; 257.931650; 258.084595; 258.217573; 258.353978; 258.390456; 258.182853; 257.807076; 257.388353; 257.201165; 256.976008; 256.637990; 256.084681; 255.392939; 254.883140; 254.655689; 254.035383; 253.227800; 252.818674; 252.977580; 253.212094; 253.324032; 253.271043; 253.098041; 253.119379; 253.454566; 253.842086; 254.300416; 255.057126; 256.147116; 256.994277; 257.672071; 258.282781; 258.324087; 257.993907; 257.916331; 258.204341; 258.712262; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38126.6; 07:44:38; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 257.282495; 257.430136; 257.460833; 257.608503; 257.710040; 257.670790; 257.689863; 257.811725; 258.072972; 258.035630; 258.085638; 258.193135; 258.128792; 258.145899; 257.935166; 257.611245; 257.641733; 257.770896; 257.806599; 257.803082; 257.785976; 257.426977; 256.953835; 256.503284; 256.347924; 256.072849; 255.736321; 255.375981; 254.690737; 254.243135; 254.159182; 253.709853; 252.812058; 252.205670; 252.174795; 252.477109; 252.739877; 252.792120; 252.621084; 252.605498; 252.872169; 253.041953; 253.279716; 254.028976; 254.864126; 255.650610; 256.569356; 257.430434; 258.113533; 258.153796; 258.257240; 258.624882; 258.711666; 258.736193; 258.748889; 258.363098; 257.713199; 257.345051; 257.025868; 256.430417; 255.622834; 255.232751; 254.930288; 254.267275; 253.553838; 252.615452; 251.973778; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38127.5; 07:44:43; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 261.878103; 261.344284; 261.074722; 260.748386; 260.476023; 260.337889; 260.192335; 259.761155; 259.294599; 259.001464; 258.846492; 258.481801; 258.137345; 257.924318; 257.841706; 257.875621; 257.872820; 257.921189; 258.079618; 258.264750; 258.477241; 258.626878; 258.582294; 258.117676; 257.657170; 257.332504; 257.174730; 256.980658; 256.641835; 256.171376; 255.428016; 254.927248; 254.778296; 254.137486; 253.071010; 252.449036; 252.667964; 253.015459; 253.215164; 253.106087; 252.913952; 252.975076; 253.382862; 253.663957; 254.178822; 255.064309; 255.886793; 256.595403; 257.444829; 258.368611; 258.819252; 258.738130; 258.890569; 259.162039; 259.191364; 259.199381; 259.098768; 258.568197; 257.694155; 257.155836; 256.735146; 255.956173; 255.192488; 254.660845; 254.030138; 253.252059; 252.340496; 251.527727; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38128.5; 07:44:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 257.167429; 257.250160; 257.295758; 257.411599; 257.520288; 257.492572; 257.532209; 257.675171; 257.925391; 257.927597; 257.932097; 257.915795; 257.957071; 258.068979; 257.962704; 257.921129; 257.919163; 258.043140; 258.225352; 258.338511; 258.304477; 258.029312; 257.618457; 257.243156; 257.057011; 256.752849; 256.439149; 255.967736; 255.262315; 254.754841; 254.595101; 254.265875; 253.491074; 252.677143; 252.671629; 252.839327; 252.911806; 252.817720; 252.577335; 252.493799; 252.773851; 253.079981; 253.432333; 254.358351; 255.215675; 255.787313; 256.282777; 257.094055; 257.836461; 257.896423; 258.156180; 258.652896; 258.894205; 258.921832; 258.889943; 258.336067; 257.583410; 257.226884; 256.879032; 256.085515; 255.424738; 255.234897; 254.808098; 254.108846; 253.481507; 252.603322; 251.678258; 251.465589; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38129.5; 07:44:54; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 261.615276; 261.157215; 260.928512; 260.531962; 260.328114; 260.225087; 260.035634; 259.661406; 259.318322; 258.977890; 258.775473; 258.505344; 258.238345; 258.008122; 257.851601; 257.883072; 257.855028; 257.842988; 258.058608; 258.198678; 258.340985; 258.472681; 258.488595; 258.091539; 257.675618; 257.350534; 257.070631; 256.813228; 256.416112; 255.829275; 255.107492; 254.617482; 254.438698; 253.812194; 252.830535; 252.318650; 252.464116; 252.705097; 252.779365; 252.608895; 252.410054; 252.505779; 252.845824; 253.184736; 253.727645; 254.750162; 255.798817; 256.538987; 257.151157; 257.999867; 258.588821; 258.500099; 258.884847; 259.406179; 259.573668; 259.570658; 259.530008; 258.909672; 258.155733; 257.640660; 257.190585; 256.449401; 255.622506; 255.225569; 254.598379; 253.817171; 252.970576; 252.095342; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38130.5; 07:44:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 258.263618; 258.120269; 258.014292; 258.059680; 258.032054; 257.968187; 257.961959; 258.131206; 258.381158; 258.262902; 258.148134; 258.081973; 257.986665; 258.013725; 257.832825; 257.640392; 257.724464; 257.875741; 257.966995; 257.999808; 257.901669; 257.468224; 256.841987; 256.435692; 256.329268; 256.132126; 255.756348; 255.310237; 254.599363; 254.074007; 253.927767; 253.469437; 252.714247; 252.107769; 252.040952; 252.426535; 252.672225; 252.685070; 252.525866; 252.363503; 252.551436; 252.753139; 253.066421; 253.750354; 254.670054; 255.532533; 256.241292; 257.006019; 257.576317; 257.654071; 257.762849; 258.101791; 258.103162; 258.023322; 258.067578; 257.705241; 256.966501; 256.471962; 256.071836; 255.338997; 254.767329; 254.403174; 254.079133; 253.437608; 252.662808; 251.766801; 251.060665; 252.095342; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38131.4; 07:45:04; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 261.705905; 261.205614; 260.866046; 260.554850; 260.335594; 260.208398; 260.060400; 259.668291; 259.243578; 258.958638; 258.768618; 258.432269; 258.061260; 257.911623; 257.807642; 257.754356; 257.700086; 257.758260; 257.868290; 258.129537; 258.222431; 258.269876; 258.137345; 257.805914; 257.309049; 257.000446; 256.888449; 256.687045; 256.363302; 255.897373; 255.157113; 254.629463; 254.374176; 253.813922; 252.846569; 252.381086; 252.458364; 252.736300; 252.813518; 252.695650; 252.509832; 252.571046; 252.896458; 253.221095; 253.809899; 254.638970; 255.710900; 256.583244; 257.282317; 258.023769; 258.496672; 258.479655; 258.689672; 259.047210; 259.083182; 259.066015; 258.859456; 258.213699; 257.534623; 257.051498; 256.568432; 255.742788; 254.894733; 254.451901; 253.878921; 253.044426; 252.055317; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38132.4; 07:45:10; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 257.473797; 257.354110; 257.276565; 257.290304; 257.298529; 257.319957; 257.396251; 257.510364; 257.645160; 257.660121; 257.705420; 257.785052; 257.767469; 257.821947; 257.755637; 257.616401; 257.747054; 257.953584; 258.112550; 258.186847; 258.078843; 257.732809; 257.164747; 256.653845; 256.331652; 256.003976; 255.674213; 255.196303; 254.497528; 253.887087; 253.672510; 253.243923; 252.499402; 252.019048; 251.954556; 252.223700; 252.446383; 252.474874; 252.365977; 252.406120; 252.568483; 252.721965; 252.970964; 253.673732; 254.790783; 255.695939; 256.211638; 256.919682; 257.622451; 257.790655; 257.953197; 258.286148; 258.425176; 258.408576; 258.382142; 258.053511; 257.491052; 257.069796; 256.596714; 255.955577; 255.375952; 255.040735; 254.628569; 253.979623; 253.307402; 252.402395; 251.699775; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38140.1; 07:45:51; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 260.487854; 260.287225; 260.046273; 259.957045; 259.829670; 259.578556; 259.497046; 259.407550; 259.270936; 259.014845; 258.545756; 258.336365; 258.267820; 258.263826; 258.207053; 258.133709; 258.133501; 258.276165; 258.348763; 258.399427; 258.409083; 258.147418; 257.741719; 257.296801; 257.211596; 257.177681; 256.752074; 256.201684; 255.569547; 254.932612; 254.601538; 254.021913; 253.037483; 252.477854; 252.525538; 252.825320; 252.939135; 252.804816; 252.568007; 252.506465; 252.807170; 253.302723; 253.752261; 254.259497; 254.868716; 255.408943; 256.549269; 257.515848; 257.882476; 257.928193; 258.135855; 258.734465; 259.240806; 259.356469; 259.375811; 258.820236; 258.007199; 257.392913; 257.109940; 256.699026; 256.000817; 255.295813; 255.029052; 254.699588; 254.124552; 253.003210; 251.704872; 251.250505; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
38141.0; 07:45:56; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 262.449414; 261.952072; 261.753440; 261.491358; 261.263490; 261.150211; 260.891974; 260.357857; 259.826720; 259.422243; 259.119749; 258.713126; 258.356661; 258.256644; 258.286059; 258.352846; 258.311957; 258.262992; 258.337349; 258.297920; 258.141249; 258.169264; 258.121043; 257.794231; 257.252038; 256.884217; 256.897569; 256.615967; 256.163955; 255.632848; 255.050421; 254.803121; 254.671574; 254.233718; 253.653854; 253.499329; 253.928661; 254.315197; 254.453927; 254.385352; 254.219949; 254.319608; 254.783422; 255.087584; 255.449057; 255.797774; 256.333977; 257.145286; 257.991701; 258.730799; 259.025574; 258.701742; 259.109259; 259.695828; 259.812981; 259.883642; 259.719491; 258.906007; 257.911444; 257.554531; 257.194847; 256.486982; 255.684495; 255.233854; 254.539698; 253.764838; 252.912432; 251.936674; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
