Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:57:03
File Name; D:\Mahlo\TR\171120075703FP 4577_360 GSM0_XMF2.txt

-0.3; 08:00:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.418288; 0.422147; 0.428341; 0.431883; 0.434449; 0.436809; 0.438786; 0.441145; 0.446059; 0.449026; 0.451274; 0.453410; 0.455346; 0.456368; 0.456490; 0.455614; 0.454310; 0.453128; 0.452664; 0.452772; 0.452847; 0.452855; 0.453160; 0.453672; 0.454519; 0.456106; 0.459347; 0.463384; 0.466855; 0.469787; 0.472598; 0.474381; 0.475211; 0.475058; 0.474998; 0.475002; 0.475063; 0.474806; 0.474072; 0.473095; 0.471699; 0.470141; 0.468303; 0.467185; 0.467072; 0.467285; 0.468080; 0.468595; 0.469912; 0.470834; 0.472206; 0.473617; 0.474644; 0.475870; 0.476400; 0.476668; 0.476886; 0.476574; 0.476636; 0.473258; 0.468274; 0.467030; 0.466574; 0.465450; 0.463800; 0.461901; 0.458794; 0.456472; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
0.7; 08:01:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.395709; 0.399637; 0.403880; 0.408789; 0.413153; 0.417218; 0.420499; 0.422983; 0.427243; 0.432598; 0.436610; 0.439101; 0.443182; 0.445521; 0.447305; 0.447898; 0.447408; 0.446911; 0.445753; 0.445463; 0.445284; 0.445111; 0.445241; 0.445625; 0.446823; 0.448234; 0.450860; 0.453737; 0.457103; 0.460921; 0.463842; 0.466441; 0.468843; 0.470435; 0.471581; 0.472616; 0.473518; 0.474435; 0.474807; 0.474734; 0.474508; 0.474145; 0.473611; 0.473022; 0.472717; 0.472775; 0.473474; 0.474326; 0.474738; 0.475270; 0.476055; 0.476852; 0.477326; 0.477392; 0.476772; 0.475977; 0.475161; 0.474057; 0.473178; 0.471722; 0.468303; 0.466527; 0.465677; 0.464638; 0.463351; 0.461492; 0.458472; 0.456126; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1.6; 08:01:10; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.414770; 0.419562; 0.425281; 0.428912; 0.431395; 0.433893; 0.436132; 0.439500; 0.444071; 0.447298; 0.449746; 0.451636; 0.453345; 0.454466; 0.454492; 0.453325; 0.451953; 0.450936; 0.450635; 0.450969; 0.450975; 0.450921; 0.451137; 0.451722; 0.452924; 0.454875; 0.458141; 0.461745; 0.465188; 0.468858; 0.471352; 0.472946; 0.473926; 0.473808; 0.473450; 0.473428; 0.473446; 0.473366; 0.472665; 0.471462; 0.469679; 0.468013; 0.466526; 0.465377; 0.464904; 0.464846; 0.465566; 0.466098; 0.467399; 0.468738; 0.469652; 0.471375; 0.472287; 0.473354; 0.473520; 0.474200; 0.474631; 0.473780; 0.473545; 0.469346; 0.467488; 0.467092; 0.466691; 0.465889; 0.464230; 0.463083; 0.460127; 0.458664; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2.6; 08:01:15; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.391029; 0.395255; 0.400656; 0.406250; 0.409663; 0.413180; 0.416503; 0.419378; 0.424649; 0.429371; 0.433676; 0.436407; 0.440441; 0.443522; 0.444882; 0.445641; 0.444993; 0.444468; 0.443559; 0.443728; 0.443847; 0.443824; 0.444135; 0.444625; 0.445776; 0.447139; 0.449761; 0.453301; 0.456768; 0.460092; 0.463400; 0.465905; 0.468201; 0.469988; 0.470989; 0.471814; 0.472637; 0.473535; 0.474014; 0.474178; 0.473823; 0.473353; 0.472623; 0.472048; 0.472105; 0.472670; 0.473557; 0.474729; 0.475782; 0.476729; 0.477780; 0.478995; 0.479911; 0.480233; 0.479978; 0.479434; 0.478703; 0.478240; 0.477582; 0.476062; 0.472094; 0.469471; 0.468464; 0.467250; 0.465947; 0.464126; 0.460763; 0.457724; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3.6; 08:01:21; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.422968; 0.426206; 0.431692; 0.435561; 0.437930; 0.439994; 0.442169; 0.444598; 0.449097; 0.451942; 0.454183; 0.456359; 0.458116; 0.458942; 0.458738; 0.457756; 0.456394; 0.455187; 0.455151; 0.455518; 0.455501; 0.455620; 0.455949; 0.456479; 0.457523; 0.459427; 0.462301; 0.465739; 0.469848; 0.473127; 0.475816; 0.477669; 0.478723; 0.478732; 0.478560; 0.478640; 0.478672; 0.478426; 0.477748; 0.476570; 0.474882; 0.472996; 0.471597; 0.470664; 0.470268; 0.470387; 0.471182; 0.471466; 0.472692; 0.473751; 0.475213; 0.476587; 0.477702; 0.479028; 0.479689; 0.480521; 0.480923; 0.480633; 0.480276; 0.475881; 0.472189; 0.471702; 0.471306; 0.470300; 0.468539; 0.466972; 0.463954; 0.461918; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4.5; 08:01:26; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.397056; 0.400393; 0.405090; 0.411397; 0.415648; 0.419451; 0.422286; 0.424783; 0.429107; 0.433828; 0.437723; 0.440940; 0.445371; 0.448052; 0.449336; 0.449933; 0.449764; 0.449206; 0.448018; 0.448139; 0.447790; 0.447904; 0.448411; 0.449048; 0.450381; 0.451918; 0.454826; 0.458491; 0.461930; 0.465395; 0.468336; 0.471051; 0.473523; 0.475409; 0.476566; 0.477468; 0.478372; 0.479445; 0.479801; 0.479775; 0.479584; 0.479188; 0.478496; 0.477903; 0.477587; 0.477783; 0.478294; 0.478930; 0.479305; 0.479811; 0.480507; 0.481295; 0.481519; 0.481631; 0.481172; 0.480444; 0.479498; 0.478726; 0.477805; 0.476548; 0.473335; 0.471066; 0.470255; 0.469459; 0.468137; 0.466343; 0.463491; 0.461187; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5.5; 08:01:31; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.418283; 0.422228; 0.428307; 0.432148; 0.434864; 0.436992; 0.438983; 0.441660; 0.446319; 0.449546; 0.451832; 0.454137; 0.455997; 0.457124; 0.457145; 0.456037; 0.454761; 0.453752; 0.453766; 0.454015; 0.454050; 0.454059; 0.454406; 0.455046; 0.456089; 0.457888; 0.461224; 0.464629; 0.467948; 0.471060; 0.473687; 0.475593; 0.476395; 0.476212; 0.476039; 0.476041; 0.476034; 0.475773; 0.475090; 0.474090; 0.472774; 0.471285; 0.469535; 0.468437; 0.468078; 0.467984; 0.468777; 0.469458; 0.470484; 0.471702; 0.472933; 0.474473; 0.475527; 0.476968; 0.477547; 0.477935; 0.478148; 0.478117; 0.478230; 0.475301; 0.472991; 0.472569; 0.472252; 0.471936; 0.470500; 0.469486; 0.467001; 0.465325; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6.5; 08:01:36; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.418283; 0.399152; 0.404460; 0.410040; 0.414235; 0.417663; 0.420397; 0.422882; 0.426437; 0.432092; 0.437101; 0.439132; 0.442311; 0.445367; 0.447117; 0.448203; 0.447663; 0.447331; 0.446216; 0.446290; 0.446162; 0.446393; 0.446814; 0.447410; 0.448778; 0.450547; 0.453048; 0.456759; 0.460667; 0.463699; 0.466084; 0.469149; 0.471540; 0.473261; 0.474397; 0.475450; 0.476347; 0.477118; 0.477412; 0.477457; 0.477104; 0.476661; 0.475956; 0.475367; 0.474994; 0.475085; 0.475584; 0.476195; 0.476677; 0.477156; 0.477913; 0.478627; 0.479031; 0.479130; 0.478560; 0.477743; 0.476900; 0.476041; 0.474984; 0.473791; 0.471060; 0.469564; 0.468799; 0.467925; 0.466758; 0.464706; 0.461890; 0.460255; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
7.5; 08:01:42; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.418283; 0.424317; 0.430454; 0.434318; 0.436605; 0.438776; 0.441010; 0.442953; 0.446983; 0.450314; 0.452784; 0.454591; 0.456346; 0.457784; 0.457706; 0.456635; 0.455026; 0.453977; 0.453674; 0.453992; 0.453930; 0.453829; 0.453858; 0.454347; 0.455274; 0.457411; 0.460311; 0.463700; 0.467421; 0.470593; 0.473082; 0.474948; 0.475701; 0.475436; 0.475092; 0.475068; 0.475006; 0.474916; 0.474238; 0.473162; 0.471505; 0.470014; 0.468307; 0.467187; 0.466933; 0.467111; 0.467783; 0.468471; 0.469907; 0.471328; 0.472610; 0.474327; 0.475147; 0.476840; 0.477507; 0.478236; 0.478458; 0.478612; 0.478579; 0.475209; 0.472063; 0.471908; 0.471294; 0.470848; 0.469264; 0.468077; 0.465382; 0.463863; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.4; 08:01:47; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.400997; 0.406486; 0.411983; 0.415347; 0.418737; 0.421378; 0.424311; 0.428038; 0.432575; 0.436868; 0.439532; 0.443809; 0.446020; 0.447925; 0.448290; 0.447733; 0.447039; 0.446027; 0.446173; 0.446338; 0.446454; 0.446817; 0.447323; 0.448860; 0.450365; 0.452876; 0.456319; 0.459770; 0.463183; 0.466563; 0.469355; 0.471658; 0.473270; 0.474325; 0.475210; 0.475947; 0.476717; 0.477238; 0.477340; 0.477040; 0.476350; 0.475663; 0.475018; 0.474784; 0.475000; 0.475520; 0.476175; 0.476653; 0.477107; 0.477740; 0.478538; 0.478863; 0.478697; 0.478048; 0.477213; 0.476256; 0.475404; 0.474569; 0.472825; 0.469630; 0.467815; 0.466810; 0.465900; 0.464761; 0.462923; 0.459912; 0.457589; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
9.4; 08:01:52; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.422813; 0.425933; 0.431385; 0.435322; 0.437936; 0.439900; 0.441590; 0.444127; 0.448583; 0.451287; 0.452886; 0.454743; 0.456436; 0.457117; 0.456890; 0.455978; 0.454447; 0.453400; 0.453079; 0.453316; 0.453390; 0.453531; 0.453806; 0.454367; 0.455324; 0.456960; 0.459921; 0.463926; 0.467438; 0.470553; 0.473375; 0.475163; 0.475787; 0.475718; 0.475405; 0.475360; 0.475256; 0.475009; 0.474336; 0.473427; 0.471833; 0.470287; 0.468697; 0.467743; 0.467168; 0.467296; 0.467956; 0.468687; 0.469828; 0.470886; 0.471844; 0.473166; 0.474278; 0.475884; 0.476307; 0.477080; 0.477511; 0.477175; 0.477322; 0.473836; 0.470534; 0.470183; 0.469506; 0.469033; 0.467645; 0.466711; 0.464228; 0.462776; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
