Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:57:03
File Name; D:\Mahlo\TR\171120075703FP 4577_360 GSM0_THICKNESS2.txt

-0.3; 08:00:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.341211; 0.339138; 0.338242; 0.338938; 0.340037; 0.340162; 0.339354; 0.339752; 0.339390; 0.340034; 0.341167; 0.341661; 0.339172; 0.336503; 0.335219; 0.334216; 0.332974; 0.332329; 0.331264; 0.332414; 0.335029; 0.336379; 0.336203; 0.336925; 0.335119; 0.335044; 0.336537; 0.339593; 0.343315; 0.348158; 0.353663; 0.357608; 0.358390; 0.357619; 0.354954; 0.353420; 0.352637; 0.351391; 0.349416; 0.350293; 0.349863; 0.349238; 0.347080; 0.343527; 0.341447; 0.338010; 0.336333; 0.337033; 0.339293; 0.341312; 0.342847; 0.344422; 0.346539; 0.348814; 0.349732; 0.349527; 0.349898; 0.352371; 0.354580; 0.355405; 0.358178; 0.359582; 0.360231; 0.359895; 0.359124; 0.358112; 0.358204; 0.357140; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
0.7; 08:01:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.339008; 0.337688; 0.335995; 0.336393; 0.336970; 0.337463; 0.337399; 0.336966; 0.338329; 0.340825; 0.343116; 0.343336; 0.340814; 0.340382; 0.340393; 0.339568; 0.339021; 0.339139; 0.338492; 0.342270; 0.344913; 0.346969; 0.348838; 0.349426; 0.346165; 0.344145; 0.345381; 0.347697; 0.348941; 0.352297; 0.356628; 0.359420; 0.360813; 0.360589; 0.357275; 0.355803; 0.355371; 0.354091; 0.352484; 0.353088; 0.352715; 0.351461; 0.349715; 0.347834; 0.347211; 0.345673; 0.345610; 0.346547; 0.347329; 0.347272; 0.347137; 0.346745; 0.347239; 0.349436; 0.352296; 0.353688; 0.354644; 0.356998; 0.358920; 0.358813; 0.359050; 0.359526; 0.360185; 0.360996; 0.361760; 0.362132; 0.363617; 0.362675; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1.6; 08:01:10; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.339267; 0.337611; 0.337132; 0.338268; 0.339590; 0.340147; 0.339355; 0.340007; 0.340747; 0.341925; 0.343006; 0.343340; 0.341248; 0.337940; 0.335806; 0.334528; 0.333766; 0.333714; 0.332190; 0.332120; 0.334237; 0.336096; 0.335032; 0.333970; 0.331936; 0.332514; 0.334851; 0.338091; 0.342333; 0.347594; 0.352057; 0.354424; 0.354299; 0.354769; 0.353455; 0.351791; 0.350937; 0.350594; 0.349315; 0.349401; 0.348784; 0.347850; 0.345263; 0.341499; 0.339577; 0.336861; 0.336630; 0.338039; 0.340082; 0.341110; 0.342104; 0.343073; 0.343626; 0.345125; 0.346778; 0.346511; 0.347881; 0.351662; 0.354247; 0.354251; 0.356164; 0.356992; 0.356695; 0.355950; 0.355550; 0.354634; 0.354988; 0.356123; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2.6; 08:01:15; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.336334; 0.335995; 0.336248; 0.336667; 0.335385; 0.334989; 0.335431; 0.336268; 0.337568; 0.339547; 0.342487; 0.342982; 0.341427; 0.338779; 0.336691; 0.336112; 0.334499; 0.333720; 0.334591; 0.338477; 0.341907; 0.343158; 0.343577; 0.342991; 0.341011; 0.341059; 0.345360; 0.349126; 0.353123; 0.357665; 0.361002; 0.364393; 0.365552; 0.364162; 0.362381; 0.361099; 0.360008; 0.360051; 0.360133; 0.358846; 0.357175; 0.354814; 0.352791; 0.350237; 0.348526; 0.347823; 0.348233; 0.348748; 0.348480; 0.348264; 0.348919; 0.350629; 0.352810; 0.355653; 0.357793; 0.358785; 0.359829; 0.359963; 0.361066; 0.362527; 0.363775; 0.364214; 0.365822; 0.367966; 0.368866; 0.369095; 0.368359; 0.364873; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3.6; 08:01:21; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.343135; 0.340674; 0.338091; 0.339652; 0.340861; 0.340247; 0.339450; 0.338162; 0.334845; 0.336568; 0.337853; 0.337853; 0.336970; 0.337171; 0.338023; 0.337451; 0.337187; 0.335753; 0.334126; 0.336750; 0.339467; 0.342164; 0.346308; 0.349657; 0.346984; 0.345475; 0.344815; 0.344155; 0.343522; 0.345118; 0.349371; 0.353539; 0.355637; 0.355632; 0.353157; 0.351626; 0.347778; 0.343213; 0.341563; 0.342149; 0.343416; 0.344452; 0.345435; 0.346188; 0.346024; 0.344682; 0.343491; 0.342835; 0.342459; 0.341894; 0.342795; 0.346334; 0.350544; 0.354175; 0.357134; 0.358881; 0.359901; 0.359725; 0.359531; 0.359684; 0.360600; 0.361781; 0.364632; 0.366996; 0.368442; 0.369293; 0.368732; 0.365852; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4.5; 08:01:26; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.337816; 0.337665; 0.337945; 0.338225; 0.336084; 0.335092; 0.334734; 0.335282; 0.336890; 0.339400; 0.342137; 0.343496; 0.342263; 0.337995; 0.334367; 0.334026; 0.332253; 0.330769; 0.331179; 0.333742; 0.338238; 0.341508; 0.342013; 0.339836; 0.337507; 0.338045; 0.343522; 0.348025; 0.352675; 0.357308; 0.360412; 0.363651; 0.364497; 0.364833; 0.364265; 0.361204; 0.359375; 0.360226; 0.360494; 0.359521; 0.357978; 0.354662; 0.351953; 0.348470; 0.345417; 0.344516; 0.344743; 0.345580; 0.345497; 0.346228; 0.348092; 0.349037; 0.350162; 0.351982; 0.353251; 0.354586; 0.355611; 0.356061; 0.356721; 0.358549; 0.360583; 0.361424; 0.362219; 0.362924; 0.362702; 0.362631; 0.361283; 0.359397; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5.5; 08:01:31; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.345152; 0.342031; 0.338666; 0.339874; 0.340486; 0.339512; 0.339182; 0.338498; 0.335073; 0.336510; 0.337864; 0.337974; 0.337328; 0.337287; 0.337359; 0.336611; 0.336722; 0.336089; 0.334403; 0.337343; 0.340038; 0.342440; 0.347619; 0.350326; 0.348153; 0.347442; 0.346854; 0.346422; 0.346516; 0.348258; 0.352607; 0.356805; 0.358600; 0.358155; 0.355306; 0.353404; 0.349828; 0.345226; 0.344021; 0.344769; 0.345628; 0.346235; 0.346059; 0.346223; 0.346064; 0.344498; 0.342907; 0.342621; 0.343086; 0.343936; 0.345675; 0.348648; 0.352186; 0.354857; 0.356428; 0.356828; 0.357931; 0.358865; 0.358796; 0.359664; 0.360663; 0.361594; 0.364025; 0.366093; 0.366582; 0.366439; 0.365705; 0.363178; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6.5; 08:01:36; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.345152; 0.331568; 0.331860; 0.333335; 0.334784; 0.335857; 0.336052; 0.336869; 0.338748; 0.341585; 0.343471; 0.344269; 0.341937; 0.337066; 0.333548; 0.333301; 0.332086; 0.331042; 0.330141; 0.329379; 0.330899; 0.332546; 0.331768; 0.329480; 0.327507; 0.327980; 0.331879; 0.335654; 0.340684; 0.344275; 0.347702; 0.352488; 0.354234; 0.355237; 0.354991; 0.353122; 0.352969; 0.353813; 0.353976; 0.353421; 0.351620; 0.350373; 0.349486; 0.346041; 0.344159; 0.342609; 0.340884; 0.341369; 0.342207; 0.343048; 0.343199; 0.343032; 0.344031; 0.345172; 0.347864; 0.349935; 0.351366; 0.352635; 0.353455; 0.353750; 0.355509; 0.356222; 0.356437; 0.356432; 0.356890; 0.357614; 0.357205; 0.357331; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
7.5; 08:01:42; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.345152; 0.338542; 0.335511; 0.337363; 0.338123; 0.337481; 0.337476; 0.337254; 0.335134; 0.337128; 0.338920; 0.339338; 0.338986; 0.339058; 0.339476; 0.338609; 0.338921; 0.338899; 0.337295; 0.340241; 0.343616; 0.345845; 0.349245; 0.352759; 0.350024; 0.348884; 0.348832; 0.348533; 0.348345; 0.349800; 0.354067; 0.357594; 0.358981; 0.357172; 0.354897; 0.353039; 0.349393; 0.345407; 0.342602; 0.343239; 0.344419; 0.344829; 0.344792; 0.345205; 0.345481; 0.344319; 0.343265; 0.343260; 0.343224; 0.342954; 0.344891; 0.348247; 0.352305; 0.356067; 0.357392; 0.357813; 0.358942; 0.359433; 0.359225; 0.359379; 0.360300; 0.361098; 0.363347; 0.365664; 0.366620; 0.366543; 0.365030; 0.361432; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.4; 08:01:47; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.338697; 0.336494; 0.336128; 0.336119; 0.336393; 0.336426; 0.335953; 0.337389; 0.340091; 0.341929; 0.341576; 0.338795; 0.336878; 0.335774; 0.335323; 0.335326; 0.335798; 0.335490; 0.337899; 0.340135; 0.341136; 0.342066; 0.343830; 0.341775; 0.341123; 0.342646; 0.345701; 0.348358; 0.351363; 0.355889; 0.359001; 0.359345; 0.359619; 0.357839; 0.357731; 0.357998; 0.357342; 0.354221; 0.353278; 0.351948; 0.350103; 0.347994; 0.345038; 0.344436; 0.342471; 0.341029; 0.341542; 0.342504; 0.342361; 0.341516; 0.342170; 0.343524; 0.345001; 0.347811; 0.349628; 0.350609; 0.352881; 0.355377; 0.354664; 0.356004; 0.357427; 0.358452; 0.358595; 0.359078; 0.360200; 0.360027; 0.359871; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
9.4; 08:01:52; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.344873; 0.343638; 0.341967; 0.342033; 0.342813; 0.342173; 0.341444; 0.341229; 0.339711; 0.340612; 0.341530; 0.342002; 0.338651; 0.335648; 0.334941; 0.334285; 0.333309; 0.333076; 0.332610; 0.334165; 0.335868; 0.337080; 0.337457; 0.339716; 0.337856; 0.337215; 0.338511; 0.341323; 0.344595; 0.349595; 0.354979; 0.357131; 0.357725; 0.357227; 0.354486; 0.353354; 0.353185; 0.351647; 0.348372; 0.349067; 0.348345; 0.347011; 0.345586; 0.342943; 0.340005; 0.337072; 0.336785; 0.337741; 0.339893; 0.342116; 0.343050; 0.343650; 0.344834; 0.346168; 0.347352; 0.348400; 0.349285; 0.352522; 0.354405; 0.355444; 0.358090; 0.359267; 0.359104; 0.358281; 0.357563; 0.357664; 0.358620; 0.359202; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
10.4; 08:01:58; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.334978; 0.334263; 0.334234; 0.335336; 0.334276; 0.334171; 0.335089; 0.335960; 0.336804; 0.339332; 0.342750; 0.343384; 0.342262; 0.340850; 0.339456; 0.338410; 0.337503; 0.336112; 0.336500; 0.341690; 0.345023; 0.345635; 0.345833; 0.345143; 0.342384; 0.341827; 0.345010; 0.348011; 0.349686; 0.354176; 0.357622; 0.360560; 0.362348; 0.361012; 0.357854; 0.357011; 0.356849; 0.356686; 0.356410; 0.356190; 0.355466; 0.353380; 0.351635; 0.350568; 0.349097; 0.348339; 0.349437; 0.350386; 0.349617; 0.348630; 0.348446; 0.349362; 0.352446; 0.355993; 0.357840; 0.358586; 0.360792; 0.361407; 0.362065; 0.363186; 0.364610; 0.364962; 0.366631; 0.369732; 0.371304; 0.372009; 0.371910; 0.367585; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
11.4; 08:02:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.334978; 0.332477; 0.330933; 0.332993; 0.333263; 0.333347; 0.333793; 0.334553; 0.334849; 0.334171; 0.335440; 0.336341; 0.336694; 0.337005; 0.336588; 0.336399; 0.336584; 0.335223; 0.335630; 0.338964; 0.341784; 0.343297; 0.344990; 0.346646; 0.346823; 0.348639; 0.350378; 0.348928; 0.348970; 0.350809; 0.354106; 0.357612; 0.360046; 0.358937; 0.357212; 0.354747; 0.350541; 0.347975; 0.346160; 0.344266; 0.343291; 0.342692; 0.343017; 0.343666; 0.343934; 0.343450; 0.343028; 0.342688; 0.341648; 0.341058; 0.342876; 0.346704; 0.350087; 0.353230; 0.355704; 0.357195; 0.358617; 0.359076; 0.359133; 0.359004; 0.358458; 0.358612; 0.360747; 0.362990; 0.363289; 0.363414; 0.362439; 0.359750; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
