Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 07:57:03
File Name; D:\Mahlo\TR\171120075703FP 4577_360 GSM0_FMI2.txt

-0.3; 08:00:59; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 264.800727; 264.772356; 264.441699; 263.674557; 263.049453; 262.877852; 262.761027; 262.422204; 261.856169; 261.298895; 260.997176; 260.885477; 260.631353; 260.296971; 259.988070; 259.485304; 259.210140; 259.429336; 259.681523; 259.817570; 259.170055; 258.547217; 258.430392; 258.091211; 257.813811; 257.303536; 257.063240; 257.005125; 256.629884; 256.002605; 255.465060; 254.781693; 254.424363; 254.173517; 253.834009; 254.019648; 254.479021; 254.619271; 254.530013; 254.231155; 253.910750; 253.655642; 253.946006; 254.668206; 255.415112; 255.786598; 255.911112; 256.118357; 256.751180; 256.840140; 256.787211; 256.939918; 257.478654; 258.343995; 258.922398; 259.244204; 259.582996; 259.353459; 258.484215; 257.768273; 257.630169; 257.651180; 257.401288; 256.931663; 257.441550; 257.556379; 256.910682; 255.836725; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
0.7; 08:01:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 263.347507; 262.884587; 261.962742; 261.571169; 261.472225; 261.314303; 261.164635; 261.133581; 261.135519; 261.128366; 260.929435; 260.463983; 260.096461; 259.749055; 259.234607; 259.157956; 259.294301; 259.535015; 259.248108; 258.367062; 257.885963; 257.558912; 257.133961; 256.429702; 256.059349; 256.135464; 256.071001; 255.563170; 254.947573; 254.445851; 253.891051; 253.709495; 253.295392; 253.261745; 253.751069; 254.245400; 254.466951; 254.384488; 254.058838; 253.728151; 253.818750; 254.332930; 254.983485; 255.530328; 255.838543; 256.085485; 256.801367; 257.354736; 257.393986; 257.455438; 257.747173; 258.393764; 258.999825; 259.396672; 259.792745; 259.809285; 259.165466; 258.270651; 257.897973; 257.627666; 257.277042; 256.812394; 256.618559; 256.811619; 256.553233; 255.692780; 254.363716; 253.577024; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1.6; 08:01:10; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 264.801830; 264.821500; 264.564872; 263.774753; 263.132632; 262.901545; 262.721390; 262.335896; 261.911154; 261.374891; 261.109322; 260.911942; 260.591865; 260.177612; 259.880543; 259.303361; 259.042799; 259.311527; 259.597272; 259.651065; 258.990884; 258.408874; 258.129537; 257.684797; 257.198066; 256.687939; 256.593943; 256.600648; 256.188452; 255.483150; 255.017638; 254.444480; 253.964037; 253.711343; 253.342062; 253.487110; 253.879637; 254.177123; 254.262686; 254.022390; 253.716081; 253.615737; 254.001617; 254.744142; 255.444229; 255.776167; 255.835325; 256.063104; 256.832212; 257.089972; 257.110476; 257.334083; 257.886171; 258.557677; 259.043992; 259.393692; 259.757161; 259.461910; 258.545488; 257.914722; 257.939011; 258.058399; 257.804096; 257.265002; 257.508636; 257.811099; 257.333636; 256.471217; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2.6; 08:01:15; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 263.592571; 263.162494; 262.228727; 261.862129; 261.709929; 261.537969; 261.368662; 261.335850; 261.191428; 261.145681; 261.001021; 260.586888; 260.143161; 259.688377; 259.207219; 259.239882; 259.378970; 259.564072; 259.297252; 258.598566; 257.983088; 257.704705; 257.214755; 256.707132; 256.324708; 256.326228; 256.277174; 255.703092; 255.131066; 254.676789; 254.123330; 253.970504; 253.589302; 253.486723; 254.028141; 254.478157; 254.567832; 254.473716; 254.214287; 253.829956; 253.791809; 254.248023; 254.989415; 255.684763; 255.940974; 256.225228; 256.884813; 257.423460; 257.630438; 257.809639; 258.160979; 258.843839; 259.638876; 260.010540; 260.377944; 260.364383; 259.475857; 258.647352; 258.266687; 257.949471; 257.527292; 257.007569; 257.066101; 257.079095; 256.682277; 255.926192; 254.656762; 253.726065; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
3.6; 08:01:21; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 264.700979; 264.780015; 264.586180; 263.775975; 263.135582; 262.879431; 262.706310; 262.384772; 261.895567; 261.458993; 261.224419; 261.102378; 260.801226; 260.418713; 260.128975; 259.606749; 259.382516; 259.631634; 259.883612; 259.947538; 259.433925; 258.827150; 258.518726; 258.126974; 257.648081; 257.087499; 256.886542; 256.946236; 256.555885; 255.926996; 255.465686; 254.712194; 254.151434; 253.886938; 253.559291; 253.724039; 254.155755; 254.427791; 254.480809; 254.152238; 253.797442; 253.551662; 253.767103; 254.444391; 255.161047; 255.482972; 255.679250; 255.868495; 256.503314; 256.701678; 256.587923; 256.696671; 257.156193; 257.895350; 258.665711; 259.025723; 259.299695; 259.031862; 258.068651; 257.461041; 257.418096; 257.449895; 257.086515; 256.665945; 257.125556; 257.292330; 256.677628; 255.774379; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
4.5; 08:01:26; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 263.355464; 263.016522; 262.197226; 261.679471; 261.622488; 261.447579; 261.353433; 261.411458; 261.408806; 261.319250; 261.120170; 260.601133; 260.367513; 259.938478; 259.529442; 259.572178; 259.668171; 259.870619; 259.555012; 258.737981; 258.158237; 257.526129; 257.012874; 256.407291; 256.028146; 256.103784; 255.914003; 255.197287; 254.564583; 254.082948; 253.572732; 253.389686; 252.954662; 253.007144; 253.572881; 254.010201; 254.304558; 254.248172; 254.050046; 253.806084; 253.823847; 254.385412; 255.092263; 255.608767; 255.964041; 256.232351; 256.925046; 257.581025; 257.599771; 257.721275; 258.065999; 258.632600; 259.252876; 259.583026; 259.925783; 259.791493; 258.969009; 258.209199; 257.853061; 257.519603; 257.042289; 256.393224; 256.281257; 256.381184; 255.993128; 255.081445; 253.827721; 253.016770; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5.5; 08:01:31; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 264.877290; 264.886022; 264.703453; 263.891578; 263.109207; 262.840271; 262.748003; 262.419760; 261.843920; 261.382610; 261.239082; 261.129409; 260.929078; 260.447353; 260.213822; 259.750038; 259.416014; 259.647965; 259.957463; 259.986222; 259.487122; 258.787274; 258.335441; 257.891923; 257.412970; 256.855965; 256.703466; 256.715596; 256.390750; 255.699873; 255.177319; 254.538774; 254.028559; 253.784835; 253.509730; 253.655434; 254.122794; 254.424334; 254.458666; 254.220814; 253.917783; 253.656298; 253.910214; 254.642099; 255.337477; 255.629063; 255.731761; 255.935133; 256.535709; 256.797969; 256.746948; 256.903201; 257.304549; 257.944673; 258.555621; 258.841038; 259.180456; 258.958757; 258.118391; 257.539600; 257.553875; 257.656485; 257.412523; 256.855309; 257.326186; 257.617682; 257.128477; 256.366730; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6.5; 08:01:36; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 264.877290; 262.459248; 261.558563; 261.329263; 261.271924; 261.100978; 261.031210; 261.035800; 260.984123; 261.050522; 260.894716; 260.446817; 260.215670; 259.860545; 259.327978; 259.340167; 259.541661; 259.677023; 259.296924; 258.526534; 257.910728; 257.454723; 256.938905; 256.486624; 256.043643; 256.045312; 255.876362; 255.187064; 254.614741; 254.218310; 253.783822; 253.515750; 253.137052; 253.118038; 253.621519; 254.110426; 254.303277; 254.229426; 253.929645; 253.596961; 253.780991; 254.396111; 255.055666; 255.555123; 255.864263; 256.165355; 256.778091; 257.333368; 257.472813; 257.588893; 258.021683; 258.627534; 259.296745; 259.754866; 260.066330; 260.037690; 259.210676; 258.308858; 257.905275; 257.682085; 257.388920; 256.864816; 256.843537; 257.066548; 256.724000; 255.653739; 254.262805; 253.574431; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
7.5; 08:01:42; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 264.877290; 264.766783; 264.470994; 263.465166; 262.800783; 262.512058; 262.387455; 262.160927; 261.750370; 261.186391; 260.914266; 260.734707; 260.525346; 260.086507; 259.832710; 259.339929; 258.855700; 259.090513; 259.487748; 259.670645; 259.143353; 258.435100; 258.088946; 257.622451; 257.153332; 256.557673; 256.456226; 256.532252; 256.179452; 255.620718; 255.196840; 254.643202; 254.069924; 253.847390; 253.486425; 253.692567; 254.180461; 254.511058; 254.732579; 254.589647; 254.263312; 253.926843; 254.028201; 254.729211; 255.404830; 255.696595; 255.914360; 256.105810; 256.822169; 257.327944; 257.167310; 257.201135; 257.578880; 258.233875; 258.812964; 259.157360; 259.500176; 259.252429; 258.382171; 257.662863; 257.515550; 257.544726; 257.220358; 256.616712; 256.726235; 257.045656; 256.457329; 255.595326; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8.4; 08:01:47; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 262.431055; 261.560380; 261.215001; 261.171460; 261.048913; 260.907859; 260.966957; 261.078447; 261.022270; 260.778219; 260.242164; 259.893686; 259.416044; 258.900166; 258.963019; 259.186536; 259.357691; 258.917153; 258.177102; 257.725447; 257.233173; 256.788462; 256.226927; 255.899251; 256.075591; 255.929261; 255.370677; 254.918814; 254.492581; 253.961682; 253.730536; 253.283709; 253.432304; 254.008591; 254.387528; 254.542738; 254.338324; 254.017740; 253.710687; 253.792644; 254.468024; 255.006701; 255.422056; 255.705923; 256.025940; 256.750792; 257.381767; 257.433265; 257.479012; 257.829577; 258.512944; 259.238362; 259.640217; 260.023355; 259.919405; 258.934021; 258.132517; 257.768422; 257.451266; 256.986588; 256.401688; 256.368876; 256.480753; 256.118655; 255.230546; 253.827631; 253.001779; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
9.4; 08:01:52; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 264.568180; 264.582872; 264.400691; 263.563395; 262.835473; 262.633592; 262.549609; 262.253016; 261.845618; 261.364937; 261.140496; 261.051923; 260.841936; 260.324717; 260.043532; 259.650588; 259.302139; 259.457201; 259.748429; 259.802133; 259.379834; 258.671939; 258.235425; 257.788599; 257.403612; 256.911784; 256.543517; 256.558180; 256.286502; 255.631596; 255.027592; 254.266798; 253.736675; 253.537983; 253.301501; 253.289342; 253.659427; 254.015237; 254.095376; 253.984392; 253.697783; 253.458947; 253.602087; 254.173815; 254.987180; 255.408734; 255.574435; 255.709141; 256.292909; 256.542861; 256.512374; 256.751895; 257.250756; 257.913470; 258.558661; 258.982241; 259.295642; 259.158403; 258.391857; 257.724434; 257.704526; 257.873237; 257.699102; 257.281035; 257.693291; 258.053035; 257.485867; 256.653219; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
