Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 10:37:15
File Name; D:\Mahlo\TR\171120103715FP 4577_360 GSM0_XMF2.txt

226.1; 10:37:21; 0.682935; 0.684056; 0.685058; 0.686305; 0.687184; 0.688196; 0.688966; 0.689212; 0.689282; 0.689855; 0.690682; 0.691122; 0.690965; 0.690253; 0.688787; 0.687511; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
226.7; 10:37:25; (); 0.674592; 0.675152; 0.674469; 0.673052; 0.671949; 0.672021; 0.671300; 0.671627; 0.672410; 0.673950; 0.673519; 0.671740; 0.670829; 0.670070; 0.670200; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
227.4; 10:37:36; 0.718406; 0.709214; 0.702568; 0.697696; 0.694407; 0.692955; 0.692643; 0.693445; 0.694774; 0.696339; 0.697645; 0.697903; 0.697611; 0.697353; 0.697741; 0.698222; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.482035; 0.482967; 0.484176; 0.485145; 0.486359; 0.487815; 0.489982; 0.492540; 0.494527; 0.495855; 0.496705; 0.497765; 0.498441; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
229.5; 10:37:40; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.443984; 0.450762; 0.455437; 0.458936; 0.460809; 0.462485; 0.465125; 0.473318; 0.480520; 0.484429; 0.485970; 0.486166; 0.486123; 0.485993; 0.485474; 0.485092; 0.484619; 0.484111; 0.483340; 0.482382; 0.481443; 0.480708; 0.479417; 0.477723; 0.476554; 0.476327; 0.477792; 0.479364; 0.481137; 0.481540; 0.481094; 0.481415; 0.481537; 0.482279; 0.483219; 0.483804; 0.484927; 0.485644; 0.486995; 0.487315; 0.487747; 0.487815; 0.487784; 0.488548; 0.489126; 0.490075; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
230.2; 10:37:47; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.399004; 0.408074; 0.417337; 0.423729; 0.429414; 0.434176; 0.438981; 0.444070; 0.456975; 0.469913; 0.477995; 0.481204; 0.481663; 0.482498; 0.482972; 0.482869; 0.482260; 0.481105; 0.479852; 0.477849; 0.476324; 0.475677; 0.475310; 0.475166; 0.475399; 0.476444; 0.478163; 0.480128; 0.481293; 0.481285; 0.481086; 0.480033; 0.479558; 0.480759; 0.482744; 0.484489; 0.485522; 0.486465; 0.486968; 0.486850; 0.486222; 0.485768; 0.485720; 0.486697; 0.489493; 0.493641; (); (); (); (); (); 0.493125; 0.488339; 0.483550; 0.478215; 0.470636; 0.463612; 0.458736; 0.455992; 0.451075; 0.448227; 0.447977; 0.447907; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
231.4; 10:37:52; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.468697; 0.473113; 0.476511; 0.478337; 0.479735; 0.481074; 0.482694; 0.486286; 0.489432; 0.492210; 0.494516; 0.495472; 0.494963; 0.493154; 0.490865; 0.489137; 0.488238; 0.488432; 0.489341; 0.489977; 0.490233; 0.489981; 0.489255; 0.488590; 0.488478; 0.489231; 0.491152; 0.493970; 0.496268; 0.497975; 0.498932; 0.498832; 0.497886; 0.496339; 0.494878; 0.493503; 0.493049; 0.493221; 0.493274; 0.493000; 0.492867; 0.492935; 0.493332; 0.494014; 0.495178; 0.495977; 0.496988; 0.497677; 0.498126; 0.498429; 0.498054; 0.496830; 0.494636; 0.491900; 0.489081; 0.485429; 0.482591; 0.477959; 0.475272; 0.468964; 0.464286; 0.461574; 0.458471; 0.455889; 0.452665; 0.449263; 0.446578; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
232.4; 10:37:57; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.433388; 0.440008; 0.444060; 0.447567; 0.450506; 0.452690; 0.455637; 0.460034; 0.468150; 0.473806; 0.474895; 0.475537; 0.475259; 0.476628; 0.476340; 0.476006; 0.474862; 0.474530; 0.475550; 0.476233; 0.477348; 0.477729; 0.478128; 0.479364; 0.481321; 0.484366; 0.487529; 0.490468; 0.492227; 0.493812; 0.495408; 0.496768; 0.497993; 0.498950; 0.499568; 0.499895; 0.500053; 0.499972; 0.499844; 0.500202; 0.501070; 0.502312; 0.503393; 0.504543; 0.505427; 0.505768; 0.505565; 0.504083; 0.502412; 0.500420; 0.494214; 0.479821; 0.457722; 0.430230; 0.403859; 0.390817; 0.380966; 0.370965; 0.359154; 0.343368; 0.319010; 0.296048; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
233.3; 10:38:09; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.494073; 0.493753; 0.493525; 0.493298; 0.493145; 0.493057; 0.493058; 0.493234; 0.493312; 0.493061; 0.492860; 0.492686; 0.492401; 0.492115; 0.491789; 0.491482; 0.491058; 0.490713; 0.490476; 0.490233; 0.489834; 0.489210; 0.488267; 0.487506; 0.486740; 0.485984; 0.485352; 0.484864; 0.484367; 0.483963; 0.483785; 0.483580; 0.483295; 0.483333; 0.482874; 0.482162; 0.480985; 0.479812; 0.479574; 0.479324; 0.479971; 0.480523; 0.481704; 0.482924; 0.483940; 0.485282; 0.523006; 0.583912; 0.644593; 0.703325; 0.755360; 0.802701; 0.859763; 0.906433; 0.945627; 0.982403; 1.025354; 1.069463; 1.121463; 1.194121; 1.262881; 1.268205; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
235.5; 10:38:13; 0.504772; 0.504345; 0.503865; 0.503532; 0.503278; 0.503087; 0.502927; 0.502155; 0.501009; 0.500932; 0.500517; 0.499491; 0.497998; 0.496576; 0.495343; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
236.2; 10:38:16; (); 0.481480; 0.481331; 0.481656; 0.481993; 0.482256; 0.480926; 0.480745; 0.480753; 0.480940; 0.481262; 0.481407; 0.481023; 0.479680; 0.478150; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
236.8; 10:38:20; 0.494628; 0.491966; 0.488827; 0.482156; 0.471330; 0.456408; 0.441436; 0.425733; 0.415498; 0.409370; 0.401474; 0.392361; 0.381996; 0.369603; 0.356676; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
