Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 10:37:15
File Name; D:\Mahlo\TR\171120103715FP 4577_360 GSM0_THICKNESS2.txt

226.1; 10:37:21; 0.305237; 0.307663; 0.308378; 0.309802; 0.312032; 0.314288; 0.316570; 0.318019; 0.317437; 0.316732; 0.318173; 0.320050; 0.320276; 0.321548; 0.323730; 0.325222; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
226.7; 10:37:25; (); 0.321086; 0.319155; 0.317478; 0.316120; 0.313288; 0.310046; 0.309952; 0.309109; 0.306298; 0.304822; 0.305380; 0.307235; 0.307618; 0.307800; 0.307961; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
227.4; 10:37:36; 0.323877; 0.320878; 0.320041; 0.319567; 0.318813; 0.318431; 0.319964; 0.320923; 0.322491; 0.323044; 0.322942; 0.323733; 0.324556; 0.327283; 0.329119; 0.331840; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.315394; 0.316216; 0.315170; 0.314257; 0.311926; 0.313592; 0.314682; 0.314596; 0.314987; 0.317164; 0.318474; 0.320619; 0.319812; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
229.5; 10:37:40; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.317596; 0.317978; 0.317042; 0.316714; 0.317071; 0.317950; 0.320016; 0.320819; 0.321215; 0.321673; 0.322280; 0.321712; 0.321721; 0.322169; 0.322062; 0.322014; 0.326823; 0.330501; 0.333536; 0.335988; 0.336679; 0.334677; 0.333609; 0.333658; 0.333865; 0.334295; 0.336614; 0.337583; 0.340698; 0.343406; 0.343719; 0.339845; 0.338119; 0.336365; 0.336755; 0.339474; 0.343462; 0.346580; 0.350728; 0.353457; 0.355211; 0.356185; 0.357359; 0.355697; 0.356159; 0.358130; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
230.2; 10:37:47; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.327751; 0.328051; 0.328898; 0.330122; 0.331874; 0.332664; 0.332708; 0.332659; 0.332985; 0.331554; 0.328828; 0.327012; 0.325865; 0.326692; 0.328456; 0.330545; 0.332434; 0.333214; 0.333826; 0.335288; 0.337246; 0.339877; 0.341497; 0.343278; 0.344771; 0.346167; 0.347370; 0.348300; 0.346826; 0.345449; 0.344191; 0.343847; 0.345676; 0.345083; 0.343163; 0.340511; 0.336701; 0.334520; 0.334869; 0.335996; 0.336787; 0.337735; 0.338979; 0.341853; 0.343310; 0.342789; (); (); (); (); (); 0.365007; 0.366189; 0.364766; 0.365240; 0.362607; 0.361658; 0.358615; 0.357831; 0.357454; 0.355172; 0.352641; 0.352606; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
231.4; 10:37:52; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.319515; 0.323090; 0.324136; 0.323395; 0.323781; 0.324968; 0.326953; 0.326674; 0.327158; 0.326761; 0.325639; 0.325315; 0.325109; 0.326114; 0.326399; 0.326580; 0.327519; 0.331061; 0.332810; 0.334742; 0.335822; 0.335976; 0.337194; 0.340571; 0.343781; 0.346030; 0.348104; 0.350468; 0.350626; 0.348600; 0.346242; 0.342061; 0.336839; 0.333778; 0.330947; 0.329273; 0.329702; 0.330427; 0.329744; 0.328539; 0.327502; 0.326557; 0.326192; 0.329136; 0.334641; 0.338956; 0.346238; 0.352871; 0.357175; 0.359572; 0.359313; 0.358701; 0.357326; 0.356520; 0.358256; 0.359063; 0.359564; 0.359603; 0.359094; 0.358110; 0.355059; 0.352545; 0.350471; 0.348435; 0.346796; 0.347270; 0.347342; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
232.4; 10:37:57; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.325070; 0.326692; 0.325310; 0.325640; 0.327990; 0.328613; 0.327744; 0.325973; 0.325006; 0.323578; 0.323082; 0.323345; 0.324725; 0.326255; 0.325210; 0.324484; 0.326196; 0.330112; 0.331662; 0.331393; 0.333537; 0.336988; 0.338948; 0.340847; 0.343054; 0.343667; 0.342779; 0.341677; 0.340797; 0.340685; 0.341005; 0.339878; 0.338861; 0.339119; 0.340714; 0.339458; 0.339886; 0.340995; 0.341383; 0.341840; 0.342862; 0.343713; 0.345582; 0.348117; 0.350464; 0.350771; 0.351804; 0.351709; 0.349502; 0.346244; 0.334004; 0.314897; 0.296307; 0.278353; 0.262806; 0.255044; 0.248449; 0.239639; 0.228810; 0.214248; 0.190923; 0.168029; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
233.3; 10:38:09; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.316379; 0.316574; 0.316919; 0.317161; 0.317216; 0.317234; 0.317274; 0.317469; 0.317520; 0.317550; 0.317909; 0.318241; 0.318533; 0.319077; 0.319773; 0.320533; 0.320949; 0.321029; 0.321253; 0.321797; 0.322810; 0.323802; 0.324686; 0.325432; 0.326205; 0.326871; 0.327348; 0.327330; 0.326950; 0.326132; 0.325551; 0.325440; 0.325829; 0.326245; 0.326236; 0.325453; 0.324145; 0.322574; 0.321399; 0.320971; 0.320909; 0.321869; 0.325343; 0.328507; 0.331312; 0.333790; 0.335778; 0.336872; 0.337214; 0.339982; 0.345595; 0.350942; 0.354541; 0.355677; 0.356407; 0.358674; 0.358808; 0.357895; 0.358000; 0.358247; 0.358018; 0.358620; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
235.5; 10:38:13; 0.312681; 0.312852; 0.312928; 0.312504; 0.311623; 0.308807; 0.307815; 0.306843; 0.304787; 0.304003; 0.304867; 0.306565; 0.309498; 0.313197; 0.314345; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
236.2; 10:38:16; (); 0.325245; 0.324230; 0.324291; 0.325566; 0.326616; 0.325786; 0.324506; 0.323243; 0.322307; 0.323589; 0.323784; 0.323135; 0.323745; 0.328088; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
236.8; 10:38:20; 0.311889; 0.314309; 0.314692; 0.314729; 0.314786; 0.316840; 0.321286; 0.325812; 0.327335; 0.328739; 0.330820; 0.332706; 0.334502; 0.336135; 0.337186; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
237.5; 10:38:24; (); 0.358263; 0.354882; 0.352744; 0.352964; 0.353503; 0.353079; 0.353591; 0.352661; 0.354664; 0.357405; 0.357041; 0.355605; 0.353315; 0.350389; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
238.1; 10:38:27; 0.207712; 0.186947; 0.169189; 0.151334; 0.131078; 0.110848; 0.090293; 0.070268; 0.057418; 0.057824; 0.057896; 0.058624; 0.059841; 0.061850; 0.063943; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
238.8; 10:38:31; (); 0.058996; 0.059906; 0.060481; 0.060545; 0.060116; 0.060149; 0.060256; 0.060139; 0.060665; 0.061350; 0.062161; 0.062957; 0.063069; 0.063858; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
239.5; 10:38:56; 0.386689; 0.391520; 0.395870; 0.400486; 0.409290; 0.416764; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
