Roll Number; 0
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-20; 10:37:15
File Name; D:\Mahlo\TR\171120103715FP 4577_360 GSM0_FMI2.txt

226.1; 10:37:21; 260.447472; 260.770380; 261.163950; 261.649668; 261.805415; 261.665791; 261.578739; 261.723071; 261.749119; 261.477619; 261.403471; 261.455745; 261.817008; 262.336254; 263.270617; 263.894737; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
226.7; 10:37:25; (); 255.895644; 255.861104; 255.899996; 255.871952; 255.974919; 256.846428; 258.084387; 258.583248; 259.126425; 259.698629; 260.114789; 260.778844; 260.600865; 260.616601; 260.483623; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
227.4; 10:37:36; 253.800154; 255.325347; 256.373197; 257.455856; 258.381605; 259.045541; 259.683639; 260.227084; 260.774851; 261.294723; 261.808097; 262.348533; 262.942255; 263.175786; 263.064861; 263.146192; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 258.881569; 258.669525; 258.396357; 258.011341; 256.860167; 256.392568; 255.698770; 255.216151; 255.076617; 254.980594; 254.857659; 255.074859; 255.506068; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
229.5; 10:37:40; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 265.558600; 264.019877; 262.504727; 261.611462; 261.336535; 261.131495; 261.210531; 261.466205; 261.492878; 261.248410; 260.834306; 260.176897; 259.463787; 259.556323; 259.318113; 259.531200; 260.285318; 261.251241; 261.767000; 261.553824; 260.957658; 260.159582; 259.105206; 257.885963; 256.837547; 256.111234; 255.679220; 255.524397; 255.148441; 254.897058; 254.688859; 254.312307; 254.081458; 254.311353; 254.673541; 254.632473; 254.739761; 255.022883; 255.631447; 255.927414; 256.357789; 256.961823; 257.204980; 257.582903; 257.904947; 258.190423; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
230.2; 10:37:47; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 259.144902; 258.208901; 257.785678; 257.666439; 258.088857; 258.848637; 259.780794; 260.660738; 260.975182; 260.269552; 259.244889; 258.831322; 258.776337; 258.922547; 259.119540; 259.509087; 259.783477; 259.893715; 259.785146; 258.859724; 257.321179; 255.910605; 254.357845; 253.284156; 252.785504; 252.281159; 251.781702; 251.329839; 250.873089; 250.883430; 250.922143; 250.667602; 250.477642; 250.464648; 250.517696; 250.997424; 251.445949; 251.685053; 251.983255; 252.490789; 252.876192; 252.874643; 253.065318; 253.183991; 252.889335; 252.911717; (); (); (); (); (); 257.601976; 257.429481; 257.134557; 256.981373; 256.922364; 256.201774; 255.804896; 256.210893; 256.010801; 255.632281; 255.261600; 255.163997; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
231.4; 10:37:52; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 262.665898; 262.695044; 261.932582; 261.416644; 261.228859; 260.993123; 260.899842; 260.653585; 260.537386; 260.670334; 260.817826; 260.470420; 259.921044; 259.339124; 259.113669; 258.898884; 259.025276; 259.318799; 259.579271; 259.654582; 259.624004; 259.247452; 258.516818; 257.764190; 256.832302; 256.004304; 255.437821; 254.863858; 254.226118; 253.207266; 252.186239; 251.605541; 251.269549; 250.822455; 250.351280; 250.033677; 250.104487; 250.243247; 250.339717; 250.920206; 251.759261; 252.576023; 253.089726; 253.434688; 254.074395; 254.655927; 254.946709; 254.981786; 255.301267; 255.807728; 256.045491; 256.185859; 256.278396; 256.204426; 256.152362; 256.083697; 256.183058; 256.441474; 256.630778; 256.800115; 256.850451; 256.917626; 257.095903; 256.840676; 256.524175; 256.328076; 255.999058; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
232.4; 10:37:57; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 262.046039; 261.665761; 261.396855; 261.309177; 261.654198; 261.925280; 261.680186; 260.921568; 259.794503; 259.236336; 259.290487; 259.213150; 258.867174; 258.542418; 258.286148; 258.004129; 257.695317; 257.068187; 256.136686; 254.973561; 253.857791; 253.089011; 252.703309; 252.303779; 251.995265; 251.484156; 250.986010; 250.607073; 250.310749; 250.370502; 250.706822; 250.999779; 251.368552; 251.811713; 252.131671; 252.475023; 252.923518; 253.307402; 254.201084; 254.899502; 255.273879; 256.001472; 256.562740; 256.689608; 256.267995; 255.869359; 255.584896; 255.392641; 255.510986; 254.685163; 249.262020; 233.584136; 215.449423; 196.424216; 179.683119; 171.027228; 163.537890; 156.046569; 147.753954; 136.759728; 118.724287; 100.394197; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
233.3; 10:38:09; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 254.799753; 254.855484; 254.810840; 254.769176; 254.801482; 254.815191; 254.848510; 254.872888; 254.836291; 254.819930; 254.865497; 254.929692; 254.941970; 254.965335; 254.954189; 254.953235; 254.950434; 254.975438; 254.988074; 254.952192; 254.891247; 254.879117; 254.955947; 255.007684; 254.930466; 254.907370; 254.985094; 254.985005; 254.925907; 254.933417; 254.963100; 255.019158; 255.039245; 255.065471; 255.140573; 255.216002; 255.187452; 255.214006; 255.221277; 255.255938; 255.076706; 254.783034; 254.915476; 254.880309; 254.642457; 254.487336; 254.742324; 255.552500; 255.924404; 256.323129; 256.632566; 256.303996; 255.750507; 255.301833; 255.169630; 255.421847; 255.576134; 255.507797; 255.779862; 256.223083; 256.417125; 256.044924; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
235.5; 10:38:13; 256.784827; 256.965518; 256.872833; 256.570786; 256.517142; 256.245583; 255.880326; 256.216764; 256.712705; 256.811649; 256.808370; 257.059455; 256.934136; 256.548405; 256.523490; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
236.2; 10:38:16; (); 254.123002; 254.670054; 255.156279; 255.724460; 256.113619; 256.216466; 256.218553; 256.154776; 256.048054; 255.826145; 255.711466; 255.677015; 255.544871; 255.451441; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
236.8; 10:38:20; 259.756327; 259.168148; 258.649230; 258.034885; 257.679850; 257.522643; 257.471919; 257.493049; 257.218987; 256.746113; 256.259620; 255.918264; 255.758166; 255.173087; 255.092740; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
