Roll Number; 4
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-24; 08:43:39
File Name; D:\Mahlo\TR\171124084339FP 4577_360 GSM4_XMF2.txt

15458.5; 08:43:51; (); (); (); (); (); (); (); (); (); (); (); (); (); 2.512903; 2.493817; 2.416880; 2.350407; 2.302131; 2.261395; 2.221186; 2.184777; 2.138687; 2.088291; 2.038426; 1.989386; 1.934080; 1.879316; 1.831768; 1.784235; 1.749633; 1.747965; 1.747045; 1.746941; 1.747380; 1.748382; 1.749533; 1.751028; 1.752707; 1.754272; 1.755643; 1.756598; 1.757817; 1.759753; 1.762133; 1.764187; 1.765802; 1.767283; 1.768589; 1.769689; 1.771316; 1.773482; 1.776526; 1.779565; 1.782456; 1.785630; 1.788833; 1.791573; 1.793021; 1.794118; 1.795357; 1.796417; 1.797258; 1.797519; 1.797357; 1.796687; 1.795630; 1.794256; 1.792954; 1.791407; 1.789579; 1.787498; 1.785738; 1.784551; 1.783657; 1.782955; 1.782214; 1.781462; 1.780600; 1.779311; 1.777963; 1.776836; 1.775277; 1.773812; 1.773274; 1.773631; 1.774944; 1.776918; 1.779170; 1.781438; 1.784527; 1.788587; 1.792425; 1.796591; 1.801460; 1.805937; 1.809897; 1.813285; 1.816189; 1.818378; 1.820184; 1.822107; 1.823607; 1.824445; 1.825014; 1.825026; 1.824396; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15459.3; 08:44:00; (); 1.781918; 1.788626; 1.793277; 1.796579; 1.798833; 1.800602; 1.803258; 1.817743; 1.824913; 1.825464; 1.822406; 1.818713; 1.815077; 1.810255; 1.805072; 1.801276; 1.797386; 1.792554; 1.787351; 1.783339; 1.779374; 1.774243; 1.769354; 1.764892; 1.761395; 1.758517; 1.756172; 1.754747; 1.753454; 1.752246; 1.751522; 1.751274; 1.751710; 1.752828; 1.754637; 1.756731; 1.758963; 1.761090; 1.763696; 1.766236; 1.768425; 1.771052; 1.773386; 1.775602; 1.777376; 1.779235; 1.781449; 1.783569; 1.786154; 1.789515; 1.792573; 1.795715; 1.798915; 1.801522; 1.803095; 1.804090; 1.804569; 1.804768; 1.804700; 1.804522; 1.803792; 1.802805; 1.801424; 1.799346; 1.797568; 1.796115; 1.794805; 1.794289; 1.794260; 1.794767; 1.795416; 1.796265; 1.796959; 1.797308; 1.797512; 1.797815; 1.797858; 1.797443; 1.796476; 1.795073; 1.793615; 1.792208; 1.791162; 1.790598; 1.790942; 1.792061; 1.793876; 1.796981; 1.800549; 1.803567; 1.806012; 1.808995; 1.812284; 1.814937; 1.817029; 1.817997; 1.818315; 1.817920; 1.818263; 1.818451; 1.818019; 1.817193; 1.815622; 1.813371; 1.810980; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15460.1; 08:44:08; (); 1.789504; 1.794432; 1.797236; 1.800303; 1.803048; 1.805675; 1.808202; 1.825587; 1.837717; 1.840467; 1.836783; 1.831540; 1.825683; 1.819957; 1.813889; 1.809737; 1.806797; 1.803260; 1.799138; 1.794671; 1.789617; 1.783701; 1.778539; 1.775197; 1.772583; 1.768982; 1.764566; 1.761683; 1.760110; 1.758991; 1.758213; 1.758140; 1.758648; 1.759276; 1.760050; 1.760942; 1.761902; 1.763459; 1.765624; 1.767914; 1.770655; 1.774018; 1.776936; 1.779410; 1.781923; 1.784013; 1.785552; 1.786951; 1.788607; 1.790993; 1.793328; 1.795849; 1.798486; 1.800683; 1.802028; 1.802611; 1.802290; 1.801343; 1.799687; 1.797767; 1.795758; 1.793427; 1.791236; 1.789273; 1.787452; 1.785946; 1.785141; 1.784582; 1.783920; 1.783482; 1.783353; 1.783396; 1.783436; 1.783344; 1.783286; 1.783267; 1.783648; 1.784164; 1.784468; 1.784767; 1.785065; 1.785310; 1.785910; 1.787245; 1.789193; 1.791420; 1.793698; 1.797322; 1.802276; 1.806032; 1.809694; 1.814148; 1.818060; 1.821099; 1.822842; 1.823732; 1.823942; 1.823501; 1.822403; 1.820892; 1.818899; 1.817185; 1.815620; 1.814188; 1.813068; 1.812359; 1.811801; 1.811443; 1.810678; 1.808261; 1.800015; 1.794204; 1.793466; 1.792982; 1.792501; 1.791777; 1.790316; 1.787793; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15460.8; 08:44:17; 1.805121; 1.810445; 1.817120; 1.821194; 1.823610; 1.824866; 1.825740; 1.830415; 1.845504; 1.850503; 1.848955; 1.845096; 1.840078; 1.835513; 1.830816; 1.826008; 1.820828; 1.815639; 1.811294; 1.806910; 1.802602; 1.797402; 1.792764; 1.788132; 1.782669; 1.777942; 1.773607; 1.769517; 1.766530; 1.765009; 1.764553; 1.764455; 1.764908; 1.765421; 1.766330; 1.767365; 1.768549; 1.769850; 1.771532; 1.774412; 1.777801; 1.780920; 1.784137; 1.786313; 1.787908; 1.788726; 1.789170; 1.789353; 1.789723; 1.790348; 1.791531; 1.793114; 1.795080; 1.796658; 1.797878; 1.798679; 1.798570; 1.797721; 1.796575; 1.794628; 1.792566; 1.790631; 1.788778; 1.787066; 1.785559; 1.784434; 1.783871; 1.783646; 1.783756; 1.784318; 1.785138; 1.786243; 1.787662; 1.788805; 1.789960; 1.791007; 1.792077; 1.793346; 1.794738; 1.795909; 1.796342; 1.796131; 1.795671; 1.795144; 1.794572; 1.794123; 1.793872; 1.793988; 1.794977; 1.796985; 1.799382; 1.801471; 1.803693; 1.805240; 1.806118; 1.806557; 1.806283; 1.805617; 1.804458; 1.803230; 1.801588; 1.799882; 1.798647; 1.796944; 1.795143; 1.792796; 1.791754; 1.790727; 1.789186; 1.786326; 1.778192; 1.765494; 1.762721; 1.761223; 1.759295; 1.757305; 1.754658; 1.750963; 1.747842; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15461.5; 08:44:26; 1.805121; 1.812538; 1.817799; 1.821294; 1.824297; 1.827011; 1.829007; 1.830973; 1.839496; 1.856654; 1.861130; 1.860369; 1.859865; 1.859159; 1.858509; 1.857223; 1.855063; 1.853139; 1.851049; 1.848943; 1.846054; 1.842551; 1.838726; 1.834054; 1.829726; 1.824635; 1.818468; 1.811518; 1.805642; 1.800535; 1.795918; 1.793441; 1.792359; 1.791780; 1.792061; 1.793788; 1.796908; 1.801142; 1.805505; 1.810075; 1.815783; 1.821100; 1.826710; 1.833008; 1.838965; 1.843721; 1.847867; 1.851594; 1.853940; 1.855160; 1.855331; 1.854395; 1.853114; 1.851257; 1.848985; 1.847011; 1.845097; 1.842983; 1.840752; 1.837468; 1.833292; 1.828693; 1.822808; 1.817307; 1.811870; 1.805572; 1.800064; 1.794505; 1.788338; 1.782221; 1.776951; 1.771888; 1.766581; 1.762660; 1.759655; 1.757093; 1.755606; 1.755208; 1.755479; 1.756362; 1.757753; 1.759595; 1.761992; 1.764890; 1.768581; 1.772408; 1.776232; 1.779917; 1.783629; 1.787023; 1.790091; 1.793760; 1.798140; 1.801909; 1.805146; 1.808170; 1.810406; 1.811733; 1.812229; 1.811984; 1.810564; 1.808330; 1.806091; 1.802916; 1.799300; 1.795414; 1.791501; 1.787647; 1.782803; 1.776357; 1.768484; 1.754415; 1.738417; 1.733489; 1.729322; 1.725328; 1.720339; 1.712945; 1.705657; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15462.2; 08:44:34; 1.805121; 1.826027; 1.832767; 1.836465; 1.838762; 1.839947; 1.840813; 1.842776; 1.856031; 1.863594; 1.864105; 1.863101; 1.861155; 1.858745; 1.856249; 1.852906; 1.849527; 1.845804; 1.842086; 1.838332; 1.834277; 1.830437; 1.826223; 1.820624; 1.814000; 1.807802; 1.801646; 1.794873; 1.788556; 1.783778; 1.780272; 1.777806; 1.776879; 1.777295; 1.779034; 1.782110; 1.785960; 1.790701; 1.797218; 1.803557; 1.811365; 1.819279; 1.825153; 1.831580; 1.838103; 1.843468; 1.847711; 1.850153; 1.851495; 1.851414; 1.850324; 1.848464; 1.845709; 1.842208; 1.839000; 1.836058; 1.833816; 1.831636; 1.829043; 1.826196; 1.822677; 1.818090; 1.813405; 1.809189; 1.805299; 1.801029; 1.797674; 1.794021; 1.790235; 1.787048; 1.783347; 1.779138; 1.775358; 1.772447; 1.770990; 1.770283; 1.769982; 1.770147; 1.770709; 1.771527; 1.773314; 1.775817; 1.778284; 1.781232; 1.784644; 1.787596; 1.790210; 1.792720; 1.795074; 1.797554; 1.800087; 1.803014; 1.805961; 1.808093; 1.809600; 1.809923; 1.808828; 1.806610; 1.803460; 1.800100; 1.795566; 1.790956; 1.787280; 1.783413; 1.779812; 1.776825; 1.776253; 1.775158; 1.773799; 1.770092; 1.758594; 1.748745; 1.747012; 1.745875; 1.745308; 1.744784; 1.744425; 1.743238; 1.742410; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15463.0; 08:44:43; (); 1.802567; 1.804536; 1.805945; 1.807738; 1.809864; 1.810897; 1.811625; 1.817865; 1.831556; 1.836917; 1.837025; 1.837962; 1.839800; 1.841797; 1.844294; 1.847948; 1.850883; 1.852519; 1.853832; 1.854365; 1.855204; 1.856031; 1.855971; 1.854780; 1.851634; 1.847543; 1.842724; 1.837354; 1.831233; 1.826044; 1.821503; 1.817033; 1.813781; 1.811510; 1.810103; 1.809321; 1.809083; 1.809565; 1.811002; 1.813486; 1.816179; 1.818964; 1.823037; 1.827697; 1.830732; 1.833359; 1.835976; 1.838182; 1.839869; 1.841044; 1.841786; 1.841884; 1.840874; 1.839389; 1.837359; 1.834955; 1.832258; 1.828860; 1.824781; 1.820734; 1.817325; 1.813564; 1.808961; 1.804197; 1.799543; 1.796311; 1.793628; 1.790863; 1.788484; 1.786673; 1.785765; 1.785533; 1.785957; 1.787357; 1.788946; 1.790699; 1.793132; 1.795356; 1.797466; 1.799341; 1.800533; 1.801376; 1.802006; 1.802750; 1.803347; 1.803450; 1.803153; 1.802843; 1.802976; 1.803437; 1.804288; 1.805449; 1.806994; 1.808677; 1.811047; 1.813810; 1.816280; 1.818904; 1.820843; 1.822404; 1.824000; 1.825679; 1.827214; 1.828674; 1.829737; 1.830374; 1.830495; 1.830148; 1.828682; 1.824369; 1.813418; 1.800433; 1.797778; 1.795214; 1.792639; 1.789495; 1.783566; 1.776251; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15463.7; 08:44:52; 1.813502; 1.818154; 1.823522; 1.826122; 1.827246; 1.827934; 1.828701; 1.834499; 1.848381; 1.854153; 1.853355; 1.851499; 1.848720; 1.845589; 1.842605; 1.839332; 1.836372; 1.834167; 1.832538; 1.831557; 1.830999; 1.830526; 1.830506; 1.830624; 1.830543; 1.830379; 1.829911; 1.828966; 1.828235; 1.827297; 1.826172; 1.824643; 1.822953; 1.821279; 1.819351; 1.816975; 1.814445; 1.811827; 1.809357; 1.807087; 1.805380; 1.804191; 1.803783; 1.803745; 1.804106; 1.804649; 1.805628; 1.806632; 1.807931; 1.809426; 1.811069; 1.812490; 1.813883; 1.814943; 1.815686; 1.815897; 1.815565; 1.814796; 1.814106; 1.813291; 1.812600; 1.811874; 1.810977; 1.809812; 1.808321; 1.806631; 1.805073; 1.802793; 1.800707; 1.799289; 1.798470; 1.798161; 1.798229; 1.798356; 1.798553; 1.798591; 1.798265; 1.797574; 1.796884; 1.796180; 1.795445; 1.795130; 1.795243; 1.795512; 1.795485; 1.794968; 1.794466; 1.794277; 1.794667; 1.795841; 1.798154; 1.800899; 1.804487; 1.808893; 1.813262; 1.816739; 1.819295; 1.821776; 1.823391; 1.824944; 1.826581; 1.827606; 1.828484; 1.828504; 1.828159; 1.826868; 1.825853; 1.824586; 1.822716; 1.818613; 1.804600; 1.790485; 1.787883; 1.784862; 1.781977; 1.778473; 1.774161; 1.769292; 1.764762; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15464.4; 08:45:01; 1.813502; 1.796389; 1.798761; 1.800105; 1.800255; 1.799869; 1.798693; 1.797904; 1.802861; 1.814358; 1.814743; 1.811161; 1.808610; 1.805172; 1.802153; 1.800030; 1.798266; 1.796004; 1.793907; 1.792588; 1.791405; 1.790342; 1.789249; 1.787814; 1.785908; 1.783496; 1.780882; 1.777905; 1.775266; 1.773238; 1.771608; 1.770170; 1.769008; 1.767816; 1.766588; 1.765189; 1.764000; 1.762900; 1.761904; 1.761492; 1.761510; 1.761805; 1.762160; 1.762707; 1.763372; 1.763746; 1.764278; 1.765162; 1.766595; 1.768573; 1.771005; 1.774032; 1.776838; 1.779601; 1.781963; 1.783435; 1.784169; 1.784378; 1.784020; 1.783489; 1.782927; 1.781983; 1.780518; 1.778333; 1.775315; 1.771826; 1.768201; 1.764187; 1.759195; 1.754425; 1.750534; 1.747289; 1.744756; 1.743234; 1.742644; 1.742442; 1.743004; 1.744125; 1.745666; 1.747625; 1.750024; 1.752512; 1.755646; 1.759978; 1.764098; 1.768530; 1.773387; 1.777057; 1.780310; 1.783648; 1.786312; 1.788509; 1.790553; 1.791610; 1.792167; 1.792242; 1.791889; 1.790573; 1.788526; 1.785921; 1.782456; 1.778964; 1.775239; 1.770809; 1.766873; 1.762910; 1.758394; 1.754671; 1.751315; 1.747326; 1.742077; 1.731941; 1.726829; 1.724385; 1.722370; 1.720161; 1.717297; 1.713466; 1.710488; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15465.2; 08:45:09; 1.749822; 1.755050; 1.760981; 1.764571; 1.767153; 1.769004; 1.770334; 1.775131; 1.789404; 1.795512; 1.796672; 1.796649; 1.796758; 1.797033; 1.797101; 1.796815; 1.795961; 1.794726; 1.793570; 1.792520; 1.791640; 1.790679; 1.789271; 1.787191; 1.784514; 1.781879; 1.778616; 1.775813; 1.773576; 1.770839; 1.768246; 1.766138; 1.764579; 1.762987; 1.761012; 1.759175; 1.757090; 1.755209; 1.753824; 1.753071; 1.753118; 1.753567; 1.754354; 1.754982; 1.755459; 1.756104; 1.756859; 1.757871; 1.759566; 1.762016; 1.764759; 1.767953; 1.771185; 1.773766; 1.775999; 1.777362; 1.778160; 1.778364; 1.778497; 1.778687; 1.778871; 1.778978; 1.778807; 1.778118; 1.777009; 1.775532; 1.773422; 1.770901; 1.769201; 1.767801; 1.766105; 1.764763; 1.764200; 1.764118; 1.764435; 1.765019; 1.765923; 1.766990; 1.767825; 1.768571; 1.769495; 1.770476; 1.771855; 1.773552; 1.775885; 1.778394; 1.780610; 1.782746; 1.784380; 1.785542; 1.786407; 1.786691; 1.786473; 1.785899; 1.784876; 1.783703; 1.781788; 1.778997; 1.775838; 1.772517; 1.768860; 1.764435; 1.760162; 1.756478; 1.753588; 1.751021; 1.750852; 1.751295; 1.751499; 1.749188; 1.737949; 1.732988; 1.732244; 1.731772; 1.731326; 1.730835; 1.730687; 1.729970; 1.729283; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15465.9; 08:45:18; 1.749822; 1.811447; 1.813653; 1.813328; 1.811829; 1.809577; 1.806316; 1.802683; 1.802907; 1.812644; 1.811513; 1.804925; 1.796290; 1.788242; 1.780777; 1.772492; 1.765075; 1.760062; 1.756485; 1.753801; 1.752074; 1.751028; 1.750165; 1.749557; 1.749226; 1.748694; 1.748900; 1.749267; 1.750100; 1.751087; 1.752173; 1.753379; 1.754320; 1.755186; 1.756219; 1.757374; 1.758804; 1.760176; 1.761761; 1.763468; 1.765467; 1.767637; 1.769621; 1.771351; 1.773255; 1.775092; 1.776906; 1.779426; 1.782672; 1.786032; 1.789109; 1.792656; 1.796402; 1.798209; 1.799164; 1.799231; 1.798407; 1.797087; 1.795480; 1.793043; 1.790121; 1.786976; 1.783186; 1.778756; 1.773942; 1.767770; 1.761277; 1.754807; 1.749675; 1.745410; 1.741996; 1.739459; 1.737682; 1.736692; 1.736379; 1.736378; 1.736850; 1.737620; 1.738622; 1.739833; 1.741322; 1.742969; 1.744560; 1.746161; 1.748366; 1.750497; 1.752229; 1.754281; 1.756516; 1.758214; 1.759928; 1.761502; 1.763286; 1.765245; 1.767206; 1.769179; 1.770927; 1.772746; 1.774940; 1.776528; 1.777795; 1.778901; 1.779442; 1.779633; 1.779390; 1.778666; 1.777528; 1.775653; 1.773520; 1.770951; 1.765446; 1.753560; 1.749169; 1.746967; 1.743975; 1.740838; 1.736525; 1.729136; 1.723233; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
