Roll Number; 4
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-24; 08:43:39
File Name; D:\Mahlo\TR\171124084339FP 4577_360 GSM4_THICKNESS2.txt

15458.5; 08:43:51; (); (); (); (); (); (); (); (); (); (); (); (); (); 1.034796; 1.034027; 1.032179; 1.030894; 1.030427; 1.030565; 1.031668; 1.033040; 1.032076; 1.030593; 1.029436; 1.029711; 1.029453; 1.028704; 1.028670; 1.030100; 1.028369; 1.028210; 1.027947; 1.028184; 1.029710; 1.030514; 1.032088; 1.034631; 1.038206; 1.041560; 1.042555; 1.042955; 1.044608; 1.046521; 1.049220; 1.053336; 1.056990; 1.060939; 1.063248; 1.063687; 1.062037; 1.059430; 1.058848; 1.057620; 1.056070; 1.054634; 1.051764; 1.048845; 1.048220; 1.048591; 1.047832; 1.045013; 1.042752; 1.040364; 1.039698; 1.039926; 1.039823; 1.040252; 1.042881; 1.046172; 1.049591; 1.052780; 1.055993; 1.058061; 1.059863; 1.061303; 1.062210; 1.061936; 1.060003; 1.059686; 1.060853; 1.061615; 1.061800; 1.060207; 1.060377; 1.060255; 1.059484; 1.058995; 1.056076; 1.053574; 1.052103; 1.052655; 1.054888; 1.057645; 1.058221; 1.059964; 1.063764; 1.063544; 1.063245; 1.060740; 1.059557; 1.060031; 1.060249; 1.061767; 1.063295; 1.064677; 1.065450; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15459.3; 08:44:00; (); 1.012101; 1.010902; 1.014277; 1.017058; 1.018469; 1.019566; 1.018526; 1.019918; 1.022705; 1.025275; 1.025031; 1.026857; 1.027869; 1.028355; 1.029501; 1.030583; 1.029692; 1.028714; 1.028684; 1.029025; 1.029783; 1.031612; 1.033495; 1.033567; 1.032769; 1.033476; 1.033369; 1.031790; 1.030546; 1.029258; 1.029254; 1.031659; 1.033100; 1.034570; 1.036077; 1.037455; 1.040980; 1.044726; 1.046679; 1.047842; 1.048759; 1.049289; 1.052006; 1.055861; 1.059186; 1.061420; 1.061904; 1.060766; 1.058590; 1.056260; 1.054285; 1.050723; 1.045785; 1.043246; 1.041497; 1.040463; 1.041928; 1.045218; 1.045389; 1.043390; 1.041134; 1.041004; 1.041405; 1.041739; 1.041956; 1.043508; 1.046921; 1.049527; 1.050830; 1.051594; 1.052267; 1.053913; 1.054608; 1.053627; 1.055609; 1.057104; 1.054977; 1.054882; 1.056431; 1.058445; 1.059419; 1.060273; 1.060158; 1.061919; 1.063028; 1.062296; 1.059848; 1.056741; 1.057871; 1.057553; 1.058973; 1.061995; 1.064639; 1.066495; 1.069525; 1.072005; 1.072229; 1.070139; 1.069131; 1.069947; 1.071344; 1.073065; 1.075461; 1.078190; 1.082050; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15460.1; 08:44:08; (); 1.015269; 1.014374; 1.012870; 1.012395; 1.012598; 1.013204; 1.015859; 1.016828; 1.016668; 1.017075; 1.017934; 1.020071; 1.021137; 1.022513; 1.024706; 1.026165; 1.027226; 1.028220; 1.029761; 1.030246; 1.029567; 1.028078; 1.025468; 1.026165; 1.028308; 1.031282; 1.032609; 1.032926; 1.032411; 1.031665; 1.031247; 1.031066; 1.033394; 1.036052; 1.039939; 1.042472; 1.041814; 1.042535; 1.042297; 1.041141; 1.039398; 1.037790; 1.037442; 1.036296; 1.035933; 1.038218; 1.042785; 1.042901; 1.041744; 1.041405; 1.042963; 1.045500; 1.048539; 1.049281; 1.047167; 1.046380; 1.048412; 1.052336; 1.056443; 1.057858; 1.058101; 1.058097; 1.058886; 1.056500; 1.053799; 1.052960; 1.053326; 1.054215; 1.057418; 1.060977; 1.061275; 1.059825; 1.058266; 1.059607; 1.061351; 1.062320; 1.062650; 1.063506; 1.065714; 1.066236; 1.065348; 1.063394; 1.060418; 1.055568; 1.053906; 1.055445; 1.056621; 1.055900; 1.054108; 1.052770; 1.050831; 1.048497; 1.047851; 1.048800; 1.050426; 1.051996; 1.053547; 1.055748; 1.058706; 1.061895; 1.063692; 1.064485; 1.064487; 1.063406; 1.061692; 1.060751; 1.059892; 1.057857; 1.055039; 1.054079; 1.055958; 1.057095; 1.056565; 1.055124; 1.052217; 1.048890; 1.048647; 1.048763; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15460.8; 08:44:17; 1.021266; 1.022504; 1.025414; 1.026292; 1.027568; 1.028023; 1.027601; 1.027058; 1.026408; 1.029045; 1.029063; 1.029369; 1.030347; 1.029628; 1.030216; 1.031105; 1.031211; 1.030016; 1.030538; 1.029001; 1.028307; 1.027507; 1.025948; 1.025177; 1.025720; 1.027292; 1.028755; 1.029827; 1.028594; 1.026479; 1.025179; 1.023945; 1.022931; 1.023150; 1.026323; 1.030093; 1.032717; 1.034572; 1.035920; 1.037101; 1.037443; 1.037601; 1.037985; 1.038243; 1.037582; 1.039283; 1.042640; 1.046055; 1.046089; 1.045040; 1.045396; 1.047596; 1.050715; 1.051917; 1.049948; 1.047001; 1.044931; 1.045550; 1.048262; 1.051442; 1.052098; 1.051978; 1.053231; 1.053935; 1.051163; 1.047555; 1.044924; 1.044187; 1.045431; 1.048804; 1.051917; 1.052261; 1.053090; 1.054459; 1.056050; 1.056709; 1.057545; 1.057538; 1.057350; 1.059216; 1.060229; 1.061367; 1.060553; 1.058160; 1.055665; 1.053568; 1.054703; 1.054223; 1.053167; 1.052140; 1.051529; 1.050170; 1.048731; 1.049221; 1.051343; 1.053150; 1.054213; 1.056229; 1.058829; 1.062094; 1.066090; 1.067071; 1.066730; 1.063483; 1.059385; 1.057404; 1.055379; 1.054813; 1.052702; 1.049223; 1.048216; 1.048973; 1.048380; 1.046677; 1.043477; 1.039490; 1.035540; 1.034360; 1.037282; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15461.5; 08:44:26; 1.021266; 1.000361; 1.001070; 1.003770; 1.005565; 1.007115; 1.010552; 1.013342; 1.016283; 1.019424; 1.022323; 1.025672; 1.031429; 1.034659; 1.036754; 1.038168; 1.039311; 1.039937; 1.037302; 1.035351; 1.034898; 1.034990; 1.035142; 1.034935; 1.034381; 1.034523; 1.036469; 1.037997; 1.039026; 1.038499; 1.037561; 1.037744; 1.039223; 1.044668; 1.049093; 1.050153; 1.050118; 1.049968; 1.049329; 1.049932; 1.052701; 1.054437; 1.053509; 1.052960; 1.051792; 1.050430; 1.050245; 1.052618; 1.053171; 1.053004; 1.052923; 1.052279; 1.050951; 1.048389; 1.044981; 1.041001; 1.037686; 1.036441; 1.037474; 1.041323; 1.045079; 1.046304; 1.045118; 1.043967; 1.043970; 1.043270; 1.045421; 1.050235; 1.056896; 1.063553; 1.069872; 1.075506; 1.079636; 1.081293; 1.081437; 1.081770; 1.082932; 1.083854; 1.083561; 1.084928; 1.086343; 1.084266; 1.079881; 1.074930; 1.070001; 1.067292; 1.065811; 1.063552; 1.059397; 1.055111; 1.052932; 1.050008; 1.048159; 1.048965; 1.048733; 1.048597; 1.048077; 1.048153; 1.047917; 1.045732; 1.042786; 1.040953; 1.040355; 1.040337; 1.040948; 1.040949; 1.043619; 1.043552; 1.042146; 1.041769; 1.041623; 1.043397; 1.045556; 1.047487; 1.048716; 1.047881; 1.046251; 1.048160; 1.052757; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15462.2; 08:44:34; 1.021266; 1.008223; 1.009452; 1.011439; 1.013693; 1.015343; 1.016288; 1.017654; 1.020765; 1.024478; 1.026587; 1.027373; 1.029394; 1.032887; 1.033829; 1.035123; 1.036386; 1.035294; 1.032495; 1.029989; 1.029535; 1.031142; 1.031931; 1.031932; 1.031816; 1.032059; 1.033140; 1.035295; 1.035781; 1.035638; 1.035045; 1.035074; 1.037297; 1.042474; 1.046017; 1.046662; 1.046042; 1.046152; 1.046744; 1.048626; 1.051263; 1.052817; 1.052465; 1.050870; 1.050073; 1.049498; 1.050828; 1.052652; 1.053468; 1.053009; 1.052885; 1.052914; 1.052194; 1.048948; 1.044289; 1.039783; 1.036852; 1.035658; 1.038074; 1.041819; 1.044550; 1.045697; 1.044849; 1.042582; 1.041384; 1.041003; 1.043066; 1.048412; 1.055990; 1.062257; 1.067992; 1.073935; 1.077945; 1.078232; 1.076751; 1.075971; 1.076117; 1.076474; 1.076452; 1.078650; 1.081159; 1.078345; 1.072665; 1.066394; 1.061296; 1.059524; 1.057955; 1.055213; 1.052379; 1.049077; 1.046395; 1.043004; 1.040968; 1.039907; 1.038871; 1.038102; 1.037950; 1.039860; 1.041196; 1.039001; 1.035616; 1.033571; 1.032496; 1.031710; 1.032027; 1.033977; 1.038274; 1.041203; 1.042417; 1.041863; 1.040512; 1.040465; 1.040701; 1.041450; 1.042546; 1.042549; 1.041510; 1.044455; 1.048470; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15463.0; 08:44:43; (); 1.008811; 1.004729; 1.001977; 1.001847; 1.003481; 1.005587; 1.008874; 1.011558; 1.013482; 1.016215; 1.017234; 1.019729; 1.022413; 1.024703; 1.027008; 1.028901; 1.032075; 1.032989; 1.032701; 1.032100; 1.030899; 1.028554; 1.026698; 1.025688; 1.025291; 1.023427; 1.019983; 1.016821; 1.014429; 1.013943; 1.014910; 1.014224; 1.017061; 1.018654; 1.019373; 1.022053; 1.024668; 1.025460; 1.024728; 1.023458; 1.022271; 1.022511; 1.023174; 1.022737; 1.022019; 1.022066; 1.022314; 1.022369; 1.025685; 1.025475; 1.023103; 1.020591; 1.019497; 1.017591; 1.017423; 1.020410; 1.024021; 1.025425; 1.028059; 1.030070; 1.030643; 1.031893; 1.032864; 1.031246; 1.032500; 1.034336; 1.036175; 1.037733; 1.041369; 1.045020; 1.046931; 1.047168; 1.045314; 1.045742; 1.047232; 1.049427; 1.050253; 1.048496; 1.046067; 1.045663; 1.043051; 1.040803; 1.041596; 1.041139; 1.039668; 1.037286; 1.036796; 1.041011; 1.038176; 1.035662; 1.034165; 1.034238; 1.035312; 1.036527; 1.035821; 1.038930; 1.042026; 1.044180; 1.047722; 1.050850; 1.054334; 1.054330; 1.051914; 1.053760; 1.054086; 1.056776; 1.059407; 1.061739; 1.064065; 1.067311; 1.069369; 1.069953; 1.069055; 1.066588; 1.063684; 1.063148; 1.067100; 1.072416; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15463.7; 08:44:52; 1.027626; 1.026750; 1.024895; 1.025762; 1.025122; 1.021817; 1.020581; 1.021838; 1.022059; 1.022954; 1.023363; 1.023274; 1.023849; 1.023635; 1.024354; 1.025803; 1.026673; 1.027343; 1.026511; 1.028206; 1.031526; 1.033066; 1.032744; 1.031756; 1.032578; 1.033738; 1.033827; 1.033300; 1.031081; 1.028665; 1.026916; 1.025406; 1.023718; 1.022832; 1.021941; 1.021125; 1.020562; 1.020207; 1.021257; 1.020965; 1.020002; 1.019751; 1.020150; 1.019951; 1.019689; 1.020624; 1.023411; 1.025690; 1.028546; 1.031946; 1.034093; 1.034024; 1.032137; 1.030185; 1.028290; 1.028826; 1.031986; 1.035838; 1.038474; 1.040147; 1.039719; 1.038519; 1.037617; 1.037382; 1.035066; 1.034973; 1.036643; 1.040004; 1.042766; 1.045566; 1.046542; 1.046523; 1.045021; 1.042466; 1.042804; 1.045088; 1.047282; 1.047158; 1.045546; 1.043526; 1.042739; 1.040805; 1.038673; 1.037884; 1.035758; 1.034211; 1.032224; 1.033252; 1.037167; 1.034660; 1.030968; 1.029387; 1.029780; 1.030477; 1.030913; 1.030634; 1.033500; 1.036348; 1.039170; 1.043243; 1.046264; 1.047579; 1.046608; 1.045106; 1.046057; 1.047957; 1.052730; 1.056005; 1.058719; 1.062434; 1.063437; 1.062860; 1.062720; 1.061026; 1.058431; 1.056310; 1.057259; 1.059353; 1.062380; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15464.4; 08:45:01; 1.027626; 1.030010; 1.026061; 1.024542; 1.024292; 1.026511; 1.031402; 1.034095; 1.036041; 1.039259; 1.039450; 1.038302; 1.037247; 1.036126; 1.032744; 1.034017; 1.037076; 1.040332; 1.039924; 1.039950; 1.037932; 1.034263; 1.031247; 1.027650; 1.022135; 1.021706; 1.022649; 1.021525; 1.020091; 1.019009; 1.017787; 1.015121; 1.013828; 1.015485; 1.016189; 1.016671; 1.017595; 1.019547; 1.023368; 1.027526; 1.026879; 1.025493; 1.025270; 1.026846; 1.029043; 1.030854; 1.032698; 1.033643; 1.033851; 1.034722; 1.035048; 1.035439; 1.035428; 1.034783; 1.034710; 1.038743; 1.043860; 1.048617; 1.049385; 1.049048; 1.051817; 1.053495; 1.054214; 1.055048; 1.055363; 1.053876; 1.052408; 1.053262; 1.056813; 1.059563; 1.059214; 1.058559; 1.057605; 1.058449; 1.059567; 1.059308; 1.060587; 1.060961; 1.061667; 1.063121; 1.065145; 1.067038; 1.065746; 1.062461; 1.059500; 1.057118; 1.054501; 1.054101; 1.054385; 1.053742; 1.052440; 1.053798; 1.054269; 1.054506; 1.055114; 1.055808; 1.056124; 1.059463; 1.063394; 1.066575; 1.070087; 1.072971; 1.073683; 1.073118; 1.072890; 1.072370; 1.070163; 1.071731; 1.072624; 1.073479; 1.074914; 1.076870; 1.075774; 1.074768; 1.074070; 1.073222; 1.072154; 1.073934; 1.077139; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15465.2; 08:45:09; 1.037050; 1.035452; 1.034841; 1.035414; 1.035723; 1.036480; 1.037182; 1.036068; 1.035523; 1.035868; 1.036663; 1.036679; 1.035887; 1.034171; 1.031732; 1.030423; 1.030985; 1.030020; 1.027682; 1.027370; 1.027292; 1.024693; 1.022456; 1.017982; 1.015541; 1.014935; 1.014742; 1.014296; 1.013506; 1.013064; 1.012330; 1.011000; 1.010782; 1.011489; 1.010570; 1.010416; 1.012285; 1.015826; 1.020856; 1.024121; 1.024501; 1.024495; 1.025312; 1.025542; 1.026374; 1.027848; 1.029457; 1.029816; 1.030856; 1.033347; 1.034190; 1.033168; 1.030696; 1.030483; 1.031137; 1.034765; 1.039566; 1.043476; 1.046149; 1.047902; 1.049012; 1.050023; 1.050529; 1.049153; 1.048394; 1.047281; 1.046732; 1.050744; 1.054225; 1.054921; 1.054509; 1.051763; 1.049231; 1.048664; 1.050575; 1.053126; 1.053136; 1.052903; 1.054037; 1.053962; 1.059602; 1.062001; 1.060395; 1.058182; 1.057658; 1.056763; 1.057142; 1.057308; 1.056497; 1.054106; 1.052384; 1.054740; 1.056694; 1.057216; 1.057911; 1.055626; 1.058061; 1.062755; 1.066302; 1.068498; 1.070216; 1.071138; 1.071017; 1.070981; 1.071915; 1.071916; 1.069949; 1.072198; 1.074824; 1.077046; 1.078705; 1.077003; 1.074017; 1.071245; 1.069936; 1.069234; 1.069240; 1.070970; 1.073322; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15465.9; 08:45:18; 1.037050; 0.999924; 1.003925; 1.006474; 1.006923; 1.005921; 1.004055; 1.004195; 1.005771; 1.003946; 1.002182; 1.002701; 1.004304; 1.004346; 1.006473; 1.010097; 1.011189; 1.008213; 1.004633; 1.005283; 1.007821; 1.008843; 1.007193; 1.004096; 1.006608; 1.009263; 1.009457; 1.010326; 1.011085; 1.009855; 1.007996; 1.007215; 1.007854; 1.010526; 1.011890; 1.012707; 1.016224; 1.019819; 1.022372; 1.023581; 1.025793; 1.027740; 1.027524; 1.029488; 1.031545; 1.033329; 1.034794; 1.037216; 1.041571; 1.045591; 1.045909; 1.044269; 1.043393; 1.043853; 1.044729; 1.045960; 1.047738; 1.049374; 1.050108; 1.053620; 1.056859; 1.058717; 1.058524; 1.056617; 1.054235; 1.055842; 1.058612; 1.061538; 1.064096; 1.066848; 1.070147; 1.071865; 1.072438; 1.071359; 1.068943; 1.067632; 1.069151; 1.070976; 1.072497; 1.074444; 1.075885; 1.076574; 1.076024; 1.073651; 1.069469; 1.067676; 1.067136; 1.068343; 1.070737; 1.069031; 1.065859; 1.062229; 1.061626; 1.060735; 1.056948; 1.052202; 1.049972; 1.048838; 1.047259; 1.045578; 1.043866; 1.042150; 1.037789; 1.035901; 1.039654; 1.043449; 1.047076; 1.046448; 1.043874; 1.042251; 1.042611; 1.045168; 1.046173; 1.048330; 1.050016; 1.049262; 1.050792; 1.055566; 1.054047; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
