Roll Number; 4
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-24; 08:43:39
File Name; D:\Mahlo\TR\171124084339FP 4577_360 GSM4_FMI2.txt

15458.5; 08:43:51; (); (); (); (); (); (); (); (); (); (); (); (); (); 390.296102; 390.905827; 391.107142; 390.818685; 390.560716; 390.519977; 390.457094; 390.288442; 389.971375; 389.641464; 389.354616; 389.360040; 390.097201; 391.079187; 391.686469; 391.776115; 391.523421; 391.402423; 391.570628; 391.958952; 392.356217; 392.623872; 392.909735; 393.397272; 393.847674; 394.297272; 394.376218; 393.816739; 393.265635; 392.852575; 392.789334; 392.862201; 393.003941; 393.176585; 393.023103; 392.784446; 392.698437; 392.702460; 392.750800; 392.689705; 392.284930; 391.739786; 391.466081; 391.145885; 390.756369; 390.561432; 390.382886; 390.257329; 390.103102; 390.041947; 389.890522; 389.507413; 389.135957; 389.162272; 389.495134; 389.928311; 390.266031; 390.571058; 390.832305; 390.922487; 390.827835; 391.016603; 391.210288; 391.178519; 390.941978; 390.921235; 391.188234; 391.358137; 391.105741; 390.472740; 390.046656; 390.025824; 390.145570; 390.141934; 390.102684; 389.943600; 389.397532; 388.911366; 388.998866; 389.221191; 389.266223; 389.173180; 389.224023; 389.266849; 389.442831; 389.602691; 389.489383; 389.290839; 389.229327; 389.379740; 389.681548; 390.252262; 390.476406; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15459.3; 08:44:00; (); 392.174333; 392.536908; 392.923743; 393.055439; 392.932832; 392.655462; 392.442793; 392.624348; 392.451763; 392.414957; 392.232388; 391.871035; 391.490281; 391.222179; 391.448587; 391.553134; 391.204655; 390.728384; 390.468061; 390.482694; 390.546739; 390.505910; 390.265077; 389.853776; 389.519155; 389.652193; 390.490413; 391.361356; 391.913891; 391.970366; 391.748607; 391.644865; 391.847521; 392.193556; 392.472029; 392.796665; 393.172741; 393.614799; 394.252121; 394.787788; 394.860685; 394.259095; 393.443882; 393.130928; 393.044323; 393.168420; 393.358171; 393.389851; 393.208712; 392.959148; 392.869622; 392.908573; 392.924309; 392.726213; 392.284214; 391.773105; 391.486347; 391.383857; 391.070157; 390.852332; 390.639782; 390.485734; 390.394121; 390.389234; 390.284657; 389.895469; 389.424086; 389.402747; 389.671147; 389.995635; 390.338510; 390.585840; 390.771061; 390.675366; 390.668750; 390.889496; 391.130775; 391.008854; 390.725404; 390.696734; 391.003668; 391.254425; 391.053110; 390.484691; 390.121043; 390.250802; 390.413463; 390.462637; 390.488297; 390.163094; 389.675677; 389.265090; 389.292121; 389.425367; 389.434606; 389.358908; 389.398962; 389.486462; 389.620006; 389.645875; 389.293134; 389.045507; 388.954908; 388.994575; 389.443249; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15460.1; 08:44:08; (); 395.784110; 395.112008; 394.507229; 394.121796; 394.053847; 394.093335; 394.148499; 394.168526; 394.199997; 393.963486; 393.326312; 392.458320; 391.976446; 391.656995; 391.232789; 391.080052; 391.040891; 390.956551; 390.895993; 390.724719; 390.420169; 390.058249; 389.612675; 389.338404; 389.215618; 389.118135; 389.390707; 389.659852; 389.750063; 389.695525; 389.582783; 389.413416; 389.530569; 389.680177; 389.917195; 390.183121; 390.531331; 390.918732; 391.074836; 391.071856; 390.838265; 390.466154; 390.146375; 390.015274; 390.043914; 390.091926; 390.251189; 390.313178; 390.225351; 390.274256; 390.259206; 390.187383; 390.199870; 390.011996; 389.950275; 390.166163; 390.269101; 390.299201; 390.483975; 390.688300; 390.836388; 390.705377; 390.540957; 390.377998; 390.227318; 390.174687; 390.365690; 390.592277; 390.803397; 390.925378; 390.958488; 391.034454; 391.146660; 391.259998; 391.471237; 391.777933; 392.025113; 391.916931; 391.569853; 391.066194; 390.502095; 389.818102; 389.184803; 388.725936; 388.662398; 388.951272; 389.286906; 389.687568; 389.868677; 389.907598; 389.973700; 390.272737; 390.920967; 391.758621; 392.230332; 392.442793; 392.737746; 393.191606; 393.734962; 394.175410; 394.350410; 394.112736; 393.747509; 393.467426; 393.422604; 393.499076; 393.570691; 393.619537; 393.697888; 393.781006; 393.661171; 393.719792; 393.857688; 393.829823; 393.684119; 393.600732; 394.067466; 394.485027; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15460.8; 08:44:17; 393.341750; 393.153906; 392.677426; 392.151088; 391.421169; 390.842944; 390.489370; 390.727788; 391.498089; 392.008394; 392.069101; 391.816437; 391.251594; 390.666157; 390.114635; 389.707655; 389.504552; 389.517933; 389.704466; 389.987886; 390.277743; 390.517950; 390.395015; 390.005499; 389.516741; 389.210254; 388.997644; 388.869405; 388.951659; 389.306784; 389.736354; 389.927030; 389.854044; 389.760077; 389.856786; 390.110850; 390.351325; 390.552253; 390.788436; 391.175598; 391.438097; 391.473472; 391.395062; 391.110450; 390.738547; 390.374452; 390.337616; 390.341997; 390.282661; 390.306503; 390.280724; 390.135765; 390.154749; 390.176266; 390.194267; 390.185922; 390.021533; 389.932185; 390.104145; 390.212834; 390.295476; 390.422344; 390.751958; 390.967727; 390.750825; 390.536606; 390.375614; 390.172571; 390.203714; 390.389740; 390.574336; 390.788049; 390.956253; 391.017407; 391.023695; 391.112983; 391.222537; 391.367733; 391.680568; 391.889900; 391.675860; 391.260952; 390.649080; 389.982253; 389.331013; 388.795674; 388.360322; 388.333112; 388.632238; 389.160663; 389.483690; 389.695913; 389.753073; 389.858872; 390.248775; 390.973538; 391.843140; 392.447799; 392.674446; 392.968833; 393.461168; 394.114703; 394.482762; 394.602537; 394.364208; 394.032091; 393.794149; 393.714249; 393.872321; 394.035816; 394.161940; 394.135028; 394.246519; 394.526482; 394.881546; 395.099431; 395.220548; 395.115852; 395.082861; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15461.5; 08:44:26; 393.341750; 397.013515; 395.753831; 394.612312; 393.910468; 393.653601; 393.594384; 393.569708; 393.493474; 393.014878; 392.601222; 391.852617; 391.311675; 390.603602; 389.849275; 389.221907; 389.015108; 388.933957; 389.050215; 388.901353; 388.235927; 387.349248; 386.525601; 385.908067; 385.928154; 386.132717; 386.506617; 386.710942; 386.683643; 386.627287; 386.638433; 386.716455; 386.988461; 387.170672; 387.633175; 388.371438; 389.152229; 389.901936; 390.341103; 390.670985; 390.984833; 390.953958; 390.968591; 390.978247; 390.906036; 390.900880; 391.072601; 391.381592; 391.414732; 391.339213; 391.165376; 391.189396; 391.568065; 391.917408; 392.020047; 392.019391; 392.306596; 392.642617; 392.935961; 393.144399; 393.523365; 393.753797; 393.947333; 394.252300; 394.513816; 394.975364; 395.149291; 394.811094; 394.486457; 394.226193; 394.027084; 394.019157; 394.268960; 394.557476; 394.504935; 394.076645; 393.547058; 393.167824; 393.014431; 393.032253; 393.033177; 393.036664; 393.092573; 392.873585; 392.802924; 392.802775; 392.486513; 392.000616; 391.920567; 392.059892; 391.904414; 391.865939; 391.999930; 392.070234; 391.691178; 391.066730; 390.521348; 390.335768; 390.531033; 390.586406; 390.691370; 390.912771; 391.101360; 391.030610; 390.983224; 391.298056; 391.658902; 391.838044; 391.994655; 392.507046; 393.127888; 393.559903; 393.752396; 393.744916; 393.825769; 393.876791; 393.821627; 393.786460; 394.107968; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15462.2; 08:44:34; 393.341750; 395.204782; 395.658046; 395.533770; 395.106345; 394.670933; 394.383729; 394.334793; 394.627392; 394.825757; 394.746333; 394.303828; 393.567204; 392.956734; 392.535120; 392.146707; 391.618103; 391.015708; 390.538841; 390.174180; 389.998555; 389.570355; 388.802141; 387.802213; 386.654377; 386.069834; 386.118263; 386.254102; 386.321276; 386.367589; 386.331767; 386.368990; 386.407256; 386.653334; 386.820674; 387.059063; 387.554020; 388.306558; 389.234751; 390.078217; 390.628636; 390.992850; 391.181529; 391.214639; 391.253263; 391.157389; 391.063869; 391.110629; 391.220272; 391.469002; 391.422957; 391.361415; 391.237020; 391.273439; 391.679913; 391.939402; 391.963065; 392.077148; 392.403662; 392.696023; 393.014938; 393.278033; 393.711835; 394.082367; 394.240588; 394.565046; 394.913018; 395.295858; 395.285517; 394.845873; 394.503981; 394.285381; 394.025445; 394.045740; 394.332290; 394.608587; 394.476712; 394.120604; 393.751055; 393.368721; 393.116713; 393.054277; 393.020660; 393.114775; 393.160999; 393.064678; 393.099606; 393.107057; 392.883122; 392.349601; 392.254919; 392.486602; 392.344594; 392.317891; 392.573118; 392.495632; 391.952783; 391.348332; 390.917420; 390.791416; 390.991241; 391.116798; 391.216427; 391.382903; 391.571581; 391.381204; 391.155422; 391.314089; 391.738415; 392.005175; 392.422110; 392.843068; 393.273473; 393.663526; 393.854529; 393.821776; 393.772542; 393.804401; 393.723220; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15463.0; 08:44:43; (); 395.098299; 395.026714; 394.722432; 393.814713; 393.108577; 392.373800; 391.702443; 391.246796; 390.841633; 389.959753; 389.093608; 388.760507; 388.628155; 388.429374; 388.027340; 387.668580; 387.429506; 387.528092; 387.949735; 388.104171; 388.617426; 389.248669; 389.735460; 390.094072; 390.540659; 390.830517; 390.706122; 390.295714; 389.887214; 389.610738; 389.432400; 389.356345; 389.331430; 389.213592; 389.151484; 389.042318; 389.154673; 389.495730; 390.083879; 390.628099; 390.986472; 391.353190; 392.285436; 393.635392; 394.518793; 395.161569; 395.644665; 396.063030; 396.494836; 397.108048; 397.729307; 398.025423; 397.911251; 397.579908; 397.368491; 397.282183; 397.180766; 396.961093; 396.520317; 396.459341; 396.471351; 396.197110; 395.901829; 395.404965; 394.707590; 394.244939; 394.074917; 394.383818; 394.754976; 394.545525; 394.191474; 393.790483; 393.368632; 392.821014; 392.223835; 391.923994; 392.048895; 392.474443; 393.302739; 394.260585; 394.752234; 394.669890; 394.358039; 394.364595; 394.751132; 395.221144; 395.591795; 395.902902; 396.369129; 396.744639; 396.995693; 397.037745; 396.806300; 396.416068; 395.843416; 395.480126; 395.444840; 395.519674; 395.363450; 395.142972; 394.780785; 394.419581; 394.175500; 394.106239; 393.931299; 393.564850; 393.311560; 393.291771; 393.588394; 393.866539; 393.935144; 393.722206; 393.588692; 393.597305; 393.774241; 394.123495; 394.542396; 394.548684; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15463.7; 08:44:52; 394.171506; 394.062430; 393.881679; 393.280387; 392.339081; 391.534120; 391.030341; 390.971541; 391.103178; 390.631914; 389.998198; 389.534682; 389.073759; 388.626009; 388.225049; 388.056278; 387.908548; 387.892067; 388.163269; 388.622999; 389.022499; 389.265954; 389.367968; 389.499575; 389.707416; 389.904737; 389.830619; 389.745921; 389.701068; 389.631987; 389.365077; 389.108002; 388.855785; 388.746649; 388.842165; 389.039695; 389.151871; 389.135331; 388.969690; 388.964921; 389.221698; 389.682084; 390.040964; 390.312761; 390.770227; 391.668290; 392.748147; 393.550962; 394.100547; 394.541413; 394.892246; 395.212352; 395.660311; 396.296531; 396.715790; 396.745205; 396.673888; 396.644145; 396.700978; 396.813273; 396.614134; 396.356851; 396.354377; 396.344423; 396.126837; 395.799071; 395.423353; 394.939661; 394.464731; 394.401073; 394.711584; 395.029753; 394.873679; 394.488245; 394.119292; 393.784076; 393.107504; 392.492324; 392.236322; 392.254472; 392.670244; 393.669963; 394.538194; 395.013988; 394.978791; 394.672453; 394.634902; 395.054460; 395.485163; 395.683885; 396.030426; 396.516860; 396.874189; 397.182822; 397.268504; 397.041380; 396.531135; 395.964563; 395.663381; 395.634174; 395.650029; 395.612657; 395.295143; 394.785047; 394.517243; 394.365758; 394.277155; 394.122988; 393.871427; 393.618912; 393.733293; 394.029677; 394.082576; 393.982470; 393.832475; 393.697321; 393.627226; 393.830448; 394.288450; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15464.4; 08:45:01; 394.171506; 394.194424; 394.382715; 394.369096; 394.401014; 394.385755; 394.401461; 394.367695; 394.204140; 393.980682; 393.779069; 393.790066; 393.909335; 394.126922; 394.507021; 394.701928; 394.554168; 394.213736; 394.260883; 394.335181; 394.501597; 394.413918; 394.301593; 394.251704; 394.301593; 394.274801; 394.250840; 394.455910; 394.504279; 394.315511; 394.337088; 394.635588; 394.918889; 394.858718; 394.661337; 394.657493; 394.919038; 395.226955; 395.426542; 395.730346; 396.155000; 396.333992; 396.232724; 396.328747; 396.547288; 396.535307; 396.464169; 396.455169; 396.798283; 397.285730; 397.563875; 397.710264; 397.651166; 397.744328; 397.842228; 397.809178; 397.935629; 398.193061; 398.262292; 398.328394; 398.634583; 398.929805; 399.006933; 398.786604; 398.442626; 398.454189; 398.687720; 398.903936; 398.745209; 398.216486; 397.775471; 397.211462; 396.672368; 396.363825; 396.105558; 395.820707; 395.666510; 395.537019; 395.442247; 395.410657; 395.334184; 395.168990; 395.023465; 394.882828; 395.078212; 395.233989; 395.374089; 395.138353; 394.752651; 394.304544; 394.193798; 394.464791; 395.046115; 395.517409; 395.722657; 395.612329; 395.590961; 395.700634; 395.844698; 395.929277; 396.094024; 396.173179; 396.381795; 396.749347; 397.059768; 397.249162; 397.399515; 397.474617; 397.354603; 397.103578; 396.585673; 395.918161; 395.790964; 395.856202; 395.852298; 395.888925; 396.186054; 396.595687; 396.885216; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15465.2; 08:45:09; 393.352717; 393.440664; 393.650025; 394.021720; 394.184709; 394.205958; 394.268870; 394.383013; 394.685835; 394.685358; 394.541830; 394.337445; 394.140065; 394.166827; 394.275188; 394.474566; 394.846827; 394.855171; 394.491971; 394.273281; 394.339025; 394.448578; 394.706011; 394.725829; 394.587159; 394.643843; 394.715160; 394.764006; 394.759446; 394.883662; 394.888997; 394.681484; 394.724250; 394.981325; 395.214200; 395.073563; 394.841313; 394.755602; 395.057082; 395.442218; 395.579338; 395.875216; 396.207243; 396.362066; 396.292865; 396.356642; 396.536857; 396.492898; 396.325111; 396.338999; 396.674842; 397.033513; 397.277623; 397.445828; 397.448510; 397.492468; 397.470087; 397.529423; 397.817701; 398.121417; 398.138702; 398.285806; 398.682952; 399.089187; 399.213880; 399.067372; 398.820788; 398.754507; 398.913354; 398.974985; 398.677856; 398.164809; 397.665679; 397.015393; 396.613121; 396.295369; 395.967275; 395.609319; 395.494670; 395.335227; 395.253569; 395.283639; 395.364374; 395.348936; 395.352125; 395.422935; 395.683497; 395.951360; 395.972729; 395.642132; 395.166993; 394.858092; 394.870758; 395.176709; 395.813078; 396.301866; 396.421790; 396.153510; 396.021277; 396.116525; 396.239787; 396.267682; 396.291375; 396.374345; 396.548450; 396.883458; 397.108078; 397.276998; 397.475839; 397.509813; 397.214293; 397.060931; 396.974474; 396.934569; 397.010058; 397.157043; 397.344053; 397.620022; 398.003191; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15465.9; 08:45:18; 393.352717; 398.835748; 399.041682; 398.642361; 398.118079; 397.562236; 397.253722; 397.285968; 397.263527; 397.570848; 398.224950; 398.685008; 398.917377; 398.659974; 398.201376; 397.829175; 397.026747; 396.620363; 396.654487; 396.999955; 397.350222; 397.364676; 397.288442; 397.328109; 397.175848; 396.731108; 396.467388; 396.583050; 396.770775; 396.760106; 396.653801; 396.675706; 396.883905; 397.026926; 397.000134; 397.211194; 397.623003; 397.888452; 397.947937; 397.988200; 398.234099; 398.504615; 398.772478; 399.079740; 399.163932; 399.134189; 399.195701; 399.331689; 399.544507; 399.537861; 399.398744; 399.409562; 399.520040; 399.513543; 399.311811; 398.996085; 398.866326; 398.810983; 398.828804; 399.144113; 399.633318; 399.951488; 400.004506; 399.947733; 399.961561; 399.934590; 399.584979; 399.314672; 399.429142; 399.559498; 399.703085; 399.736166; 399.790734; 400.105089; 400.645733; 401.167125; 401.489884; 401.748687; 402.085692; 402.320206; 402.641922; 403.072953; 403.272688; 403.097481; 402.706206; 402.189523; 401.695877; 400.936872; 399.726987; 398.510009; 397.466987; 396.911442; 396.714658; 396.621674; 396.553516; 396.208614; 395.615816; 394.947141; 394.620895; 394.662946; 394.923240; 395.298839; 395.676523; 396.173507; 396.770388; 397.253990; 397.525460; 397.363067; 396.797508; 396.232575; 395.750374; 395.378619; 395.536512; 395.664781; 395.590395; 395.362347; 395.093620; 394.728392; 394.468486; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
