Roll Number; 4
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-24; 11:22:33
File Name; D:\Mahlo\TR\171124112233FP 4577_360 GSM4_XMF2.txt

15505.8; 11:22:45; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.654875; 1.658852; 1.672645; 1.684657; 1.691979; 1.698774; 1.705187; 1.709792; 1.715530; 1.723738; 1.733318; 1.740999; 1.747889; 1.756317; 1.765903; 1.775215; 1.780869; 1.780907; 1.780783; 1.780871; 1.780989; 1.780882; 1.780544; 1.780259; 1.779962; 1.779585; 1.779057; 1.778106; 1.777204; 1.775938; 1.773752; 1.770919; 1.768042; 1.765158; 1.761792; 1.759334; 1.757579; 1.756663; 1.756346; 1.756169; 1.756013; 1.755553; 1.754640; 1.752870; 1.751275; 1.749807; 1.748647; 1.747821; 1.747184; 1.746650; 1.745785; 1.744508; 1.743221; 1.741620; 1.739908; 1.738716; 1.737934; 1.737447; 1.737560; 1.737769; 1.737966; 1.738033; 1.738004; 1.737618; 1.736927; 1.735888; 1.734597; 1.733449; 1.732781; 1.732676; 1.733123; 1.734243; 1.736084; 1.738737; 1.741240; 1.744144; 1.748428; 1.752406; 1.756663; 1.761438; 1.765450; 1.769053; 1.771894; 1.773233; 1.773156; 1.772035; 1.772018; 1.772218; 1.771759; 1.770682; 1.768626; 1.765732; 1.761924; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15509.8; 11:23:30; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.704786; 1.707479; 1.709649; 1.711619; 1.713896; 1.716508; 1.718704; 1.720949; 1.735084; 1.743902; 1.745176; 1.746713; 1.749399; 1.753596; 1.757993; 1.763082; 1.769331; 1.775674; 1.781611; 1.786355; 1.789893; 1.794250; 1.799599; 1.805010; 1.809235; 1.814127; 1.819880; 1.823538; 1.826460; 1.829751; 1.832823; 1.835997; 1.839403; 1.843014; 1.848252; 1.854721; 1.860264; 1.866197; 1.872164; 1.877246; 1.880864; 1.883840; 1.885835; 1.887159; 1.887802; 1.887404; 1.886074; 1.884724; 1.883453; 1.881623; 1.879101; 1.876514; 1.873387; 1.869181; 1.865014; 1.861574; 1.859309; 1.857262; 1.855227; 1.853962; 1.852967; 1.851114; 1.848272; 1.844454; 1.840804; 1.836978; 1.833575; 1.830624; 1.828230; 1.825993; 1.823249; 1.820498; 1.818106; 1.816512; 1.815198; 1.814239; 1.814217; 1.815226; 1.817189; 1.819495; 1.821737; 1.823647; 1.825611; 1.827849; 1.830397; 1.833615; 1.837137; 1.840515; 1.843704; 1.846678; 1.849331; 1.851534; 1.852612; 1.853157; 1.852914; 1.851994; 1.850611; 1.848944; 1.846975; 1.844087; 1.840106; 1.835540; 1.830572; 1.825508; 1.820798; 1.815875; 1.810712; 1.806601; 1.802460; 1.795537; 1.782443; 1.773253; 1.769941; 1.766894; 1.763166; 1.758126; 1.751989; 1.746153; (); (); (); (); 
15510.5; 11:23:39; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.764238; 1.771530; 1.776477; 1.779677; 1.781826; 1.783752; 1.786859; 1.800820; 1.808867; 1.810345; 1.810038; 1.809397; 1.809191; 1.809199; 1.809699; 1.810665; 1.812190; 1.814079; 1.815857; 1.817369; 1.818714; 1.820045; 1.821242; 1.821881; 1.822408; 1.823135; 1.823746; 1.823689; 1.823418; 1.822746; 1.821721; 1.820662; 1.819868; 1.819403; 1.819588; 1.820217; 1.821376; 1.823181; 1.824903; 1.826279; 1.827501; 1.828557; 1.829426; 1.830127; 1.830842; 1.831180; 1.831603; 1.832317; 1.833054; 1.833622; 1.834096; 1.834273; 1.834088; 1.833662; 1.832745; 1.831084; 1.829283; 1.827048; 1.824549; 1.821447; 1.818187; 1.815060; 1.811092; 1.806753; 1.802331; 1.798389; 1.795326; 1.792556; 1.790763; 1.790447; 1.791565; 1.793730; 1.795797; 1.798219; 1.802022; 1.806386; 1.811279; 1.816811; 1.821992; 1.826476; 1.831878; 1.837888; 1.843370; 1.847735; 1.851282; 1.853618; 1.855761; 1.858557; 1.860882; 1.862459; 1.862730; 1.861735; 1.860136; 1.857181; 1.852400; 1.848044; 1.843549; 1.837847; 1.832235; 1.827026; 1.821302; 1.815489; 1.809414; 1.803364; 1.798034; 1.796148; 1.794840; 1.793981; 1.793109; 1.785401; 1.774545; 1.772716; 1.771334; 1.769864; 1.768603; 1.767886; 1.767048; 1.766687; (); (); (); (); 
15511.3; 11:23:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.742528; 1.753164; 1.761703; 1.768815; 1.775994; 1.783073; 1.790138; 1.801505; 1.826836; 1.841817; 1.850387; 1.858717; 1.864338; 1.869721; 1.875898; 1.881176; 1.883196; 1.883568; 1.882885; 1.880471; 1.877178; 1.872787; 1.867573; 1.862737; 1.857685; 1.852406; 1.845714; 1.838483; 1.831476; 1.824542; 1.817550; 1.812256; 1.808102; 1.804502; 1.801491; 1.799456; 1.798366; 1.797312; 1.796332; 1.795251; 1.794867; 1.794955; 1.795370; 1.796678; 1.798477; 1.800792; 1.803349; 1.805096; 1.806781; 1.808828; 1.810058; 1.810312; 1.810004; 1.809241; 1.808432; 1.807509; 1.806568; 1.805704; 1.804573; 1.803312; 1.802153; 1.801028; 1.800306; 1.799263; 1.797743; 1.796397; 1.795548; 1.795177; 1.795066; 1.794941; 1.794469; 1.793525; 1.792508; 1.791718; 1.791248; 1.790910; 1.790440; 1.789972; 1.789723; 1.789276; 1.788196; 1.786956; 1.785874; 1.785355; 1.785550; 1.786913; 1.789102; 1.791808; 1.795018; 1.797550; 1.799806; 1.802267; 1.804128; 1.805526; 1.806914; 1.808083; 1.808975; 1.809499; 1.809283; 1.808326; 1.806237; 1.802881; 1.798909; 1.794996; 1.790952; 1.786564; 1.783035; 1.779608; 1.775494; 1.769550; 1.756567; 1.742121; 1.738458; 1.734967; 1.731114; 1.726173; 1.719088; 1.711321; (); (); (); (); 
15512.0; 11:23:56; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.746391; 1.753449; 1.762733; 1.769010; 1.773205; 1.776577; 1.779159; 1.785134; 1.801681; 1.809940; 1.811873; 1.813418; 1.815129; 1.816723; 1.817926; 1.818548; 1.818202; 1.817192; 1.815029; 1.812190; 1.809697; 1.807726; 1.806165; 1.805341; 1.804752; 1.803937; 1.802555; 1.800595; 1.798370; 1.796420; 1.794193; 1.792779; 1.792245; 1.792748; 1.793945; 1.795658; 1.797699; 1.799316; 1.800480; 1.801537; 1.802457; 1.803494; 1.805149; 1.806983; 1.808710; 1.810535; 1.811931; 1.812881; 1.813355; 1.813663; 1.813682; 1.813233; 1.812023; 1.810426; 1.808263; 1.805676; 1.802390; 1.798677; 1.795300; 1.792127; 1.788533; 1.785794; 1.783191; 1.780649; 1.778002; 1.775284; 1.773132; 1.772568; 1.772962; 1.774617; 1.776815; 1.779138; 1.781753; 1.784772; 1.787512; 1.790359; 1.793416; 1.796026; 1.798408; 1.800814; 1.802493; 1.803475; 1.803606; 1.803387; 1.802794; 1.802894; 1.803474; 1.804731; 1.806724; 1.808587; 1.809954; 1.810949; 1.810917; 1.810671; 1.809869; 1.808641; 1.806473; 1.804085; 1.800849; 1.797008; 1.791445; 1.785422; 1.778777; 1.771473; 1.765309; 1.761181; 1.760129; 1.760160; 1.759501; 1.758423; 1.749489; 1.737281; 1.735786; 1.734976; 1.734647; 1.734773; 1.735965; 1.737113; 1.737509; (); (); (); (); 
15512.7; 11:24:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.759090; 1.765547; 1.772359; 1.777846; 1.781080; 1.784026; 1.786451; 1.788530; 1.799211; 1.817588; 1.823680; 1.825561; 1.827672; 1.829084; 1.829980; 1.830322; 1.829381; 1.829185; 1.828514; 1.828660; 1.828793; 1.829530; 1.830093; 1.830322; 1.828341; 1.826243; 1.823684; 1.821352; 1.819201; 1.817341; 1.816085; 1.815667; 1.815623; 1.816018; 1.816199; 1.816281; 1.816258; 1.815956; 1.815391; 1.814796; 1.814081; 1.813780; 1.813735; 1.813834; 1.813902; 1.814037; 1.814010; 1.813767; 1.813484; 1.813309; 1.813151; 1.812898; 1.812706; 1.812722; 1.812705; 1.812794; 1.812758; 1.812540; 1.811993; 1.810856; 1.809186; 1.807721; 1.806175; 1.804280; 1.802118; 1.800258; 1.798591; 1.797091; 1.795748; 1.794981; 1.794952; 1.795900; 1.797600; 1.800174; 1.804009; 1.807878; 1.811884; 1.816506; 1.820268; 1.823541; 1.826537; 1.829030; 1.831366; 1.833541; 1.836069; 1.838811; 1.841569; 1.844614; 1.847556; 1.849763; 1.851468; 1.852154; 1.851919; 1.851266; 1.850670; 1.850451; 1.850413; 1.850531; 1.850194; 1.849148; 1.847297; 1.844356; 1.841135; 1.837466; 1.833005; 1.828884; 1.825623; 1.823631; 1.822233; 1.819077; 1.811096; 1.803310; 1.801290; 1.799062; 1.796688; 1.794321; 1.790589; 1.785968; (); (); (); (); (); 
15513.4; 11:24:14; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.778843; 1.787635; 1.794334; 1.799101; 1.801885; 1.804476; 1.806794; 1.823500; 1.836843; 1.840519; 1.841305; 1.841642; 1.841930; 1.842033; 1.841602; 1.840953; 1.840160; 1.838984; 1.837597; 1.836208; 1.835109; 1.834515; 1.834071; 1.833177; 1.831631; 1.829663; 1.827091; 1.824041; 1.820241; 1.816881; 1.814382; 1.812765; 1.811960; 1.811879; 1.812313; 1.813282; 1.814384; 1.815424; 1.816658; 1.818150; 1.819525; 1.821165; 1.823415; 1.825754; 1.827698; 1.829595; 1.831499; 1.832819; 1.833463; 1.833805; 1.833394; 1.832390; 1.830747; 1.828532; 1.826480; 1.824147; 1.822108; 1.820697; 1.819090; 1.817209; 1.815162; 1.813406; 1.811886; 1.810332; 1.808976; 1.808328; 1.808470; 1.809602; 1.811696; 1.814957; 1.818686; 1.822148; 1.825152; 1.828643; 1.832754; 1.836828; 1.840498; 1.843620; 1.846564; 1.849741; 1.851576; 1.852670; 1.853415; 1.853587; 1.853683; 1.854021; 1.854705; 1.855862; 1.857072; 1.858091; 1.858540; 1.858017; 1.856083; 1.853506; 1.850301; 1.846531; 1.842008; 1.837576; 1.834522; 1.830458; 1.825684; 1.820485; 1.815607; 1.811161; 1.806715; 1.805618; 1.805517; 1.806466; 1.807290; 1.801659; 1.795030; 1.795734; 1.796592; 1.797234; 1.798169; 1.798870; 1.799077; 1.799067; (); (); (); (); (); 
15514.2; 11:24:22; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.784406; 1.788628; 1.792733; 1.795560; 1.797993; 1.800082; 1.801881; 1.804859; 1.822191; 1.830359; 1.829147; 1.827734; 1.826164; 1.825454; 1.824909; 1.824797; 1.824066; 1.823287; 1.823058; 1.822804; 1.823140; 1.823414; 1.823909; 1.824166; 1.823736; 1.823244; 1.822280; 1.820987; 1.819329; 1.817499; 1.815912; 1.814237; 1.812657; 1.810828; 1.808810; 1.806980; 1.805064; 1.803092; 1.801490; 1.800353; 1.799305; 1.798555; 1.798618; 1.799485; 1.800460; 1.801168; 1.801941; 1.803004; 1.804389; 1.805867; 1.806992; 1.808166; 1.809280; 1.810396; 1.811288; 1.812329; 1.813588; 1.814845; 1.816160; 1.817718; 1.819293; 1.820985; 1.822706; 1.824236; 1.825152; 1.825345; 1.824996; 1.824531; 1.824340; 1.824787; 1.825300; 1.825949; 1.826758; 1.827797; 1.828938; 1.830322; 1.831540; 1.832780; 1.834403; 1.836160; 1.837871; 1.839596; 1.841247; 1.842897; 1.843756; 1.844260; 1.845090; 1.846181; 1.847361; 1.848523; 1.849840; 1.851479; 1.852936; 1.854693; 1.857107; 1.859496; 1.861724; 1.864205; 1.866470; 1.868774; 1.870538; 1.871658; 1.872099; 1.871882; 1.871084; 1.870230; 1.869328; 1.868185; 1.866290; 1.862599; 1.854026; 1.843445; 1.841374; 1.839249; 1.836447; 1.833235; 1.829327; 1.824862; (); (); (); (); (); 
15514.9; 11:24:31; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.790849; 1.797947; 1.800974; 1.802950; 1.804519; 1.805799; 1.806659; 1.822466; 1.835529; 1.836731; 1.834543; 1.831350; 1.828300; 1.825226; 1.822555; 1.820364; 1.818829; 1.817990; 1.817333; 1.817195; 1.817092; 1.817061; 1.816994; 1.816679; 1.816065; 1.815427; 1.814928; 1.814703; 1.814860; 1.815069; 1.815237; 1.815250; 1.815039; 1.814697; 1.814325; 1.814350; 1.814774; 1.815529; 1.816729; 1.818243; 1.819553; 1.820805; 1.822065; 1.822661; 1.822852; 1.823057; 1.823609; 1.824382; 1.825291; 1.826238; 1.826644; 1.826719; 1.826529; 1.826137; 1.825327; 1.824364; 1.823583; 1.823352; 1.823725; 1.824701; 1.826325; 1.827765; 1.828938; 1.829792; 1.829803; 1.829099; 1.827659; 1.826409; 1.825316; 1.824852; 1.825063; 1.825579; 1.826557; 1.827965; 1.829067; 1.829633; 1.830160; 1.830994; 1.832809; 1.835785; 1.839186; 1.843143; 1.846945; 1.851119; 1.854789; 1.857463; 1.859634; 1.861642; 1.863319; 1.864942; 1.866290; 1.867957; 1.869218; 1.869513; 1.869084; 1.868045; 1.866557; 1.864693; 1.863133; 1.861279; 1.859505; 1.857650; 1.856123; 1.855121; 1.854203; 1.855589; 1.857209; 1.858788; 1.860112; 1.855611; 1.847260; 1.846084; 1.846316; 1.846724; 1.847414; 1.848342; 1.849194; 1.849421; (); (); (); (); (); 
15515.6; 11:24:40; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.767396; 1.775410; 1.780530; 1.785223; 1.789730; 1.793295; 1.797117; 1.802274; 1.821414; 1.832695; 1.835219; 1.837727; 1.839021; 1.839528; 1.837079; 1.833698; 1.832086; 1.830266; 1.827270; 1.822784; 1.818862; 1.815086; 1.810896; 1.807127; 1.804007; 1.801283; 1.798395; 1.795909; 1.793644; 1.792853; 1.792986; 1.794085; 1.795993; 1.797933; 1.799970; 1.802100; 1.803667; 1.805460; 1.807238; 1.808894; 1.810751; 1.812220; 1.813353; 1.814230; 1.814573; 1.814712; 1.814585; 1.814559; 1.814901; 1.815773; 1.816729; 1.817061; 1.816724; 1.815990; 1.814306; 1.812030; 1.809779; 1.807098; 1.804814; 1.802702; 1.800150; 1.797906; 1.795546; 1.792765; 1.789737; 1.787231; 1.785241; 1.783739; 1.782877; 1.782651; 1.782808; 1.783426; 1.784323; 1.785552; 1.786839; 1.788844; 1.791009; 1.793191; 1.795562; 1.798439; 1.801461; 1.804310; 1.807116; 1.809979; 1.813334; 1.816803; 1.819842; 1.822565; 1.824918; 1.826475; 1.827430; 1.827934; 1.827865; 1.827434; 1.826755; 1.826062; 1.825249; 1.824625; 1.823991; 1.823273; 1.822512; 1.821855; 1.821550; 1.821750; 1.822113; 1.822820; 1.823906; 1.824943; 1.825374; 1.823674; 1.817076; 1.814911; 1.814339; 1.813629; 1.812839; 1.811085; 1.807724; 1.804889; (); (); (); (); (); 
15516.4; 11:24:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.769629; 1.775543; 1.781846; 1.785535; 1.788101; 1.790837; 1.793554; 1.801076; 1.816888; 1.824897; 1.826847; 1.827025; 1.827478; 1.828431; 1.829701; 1.830798; 1.831612; 1.831893; 1.831806; 1.831010; 1.829461; 1.827490; 1.825319; 1.823427; 1.821747; 1.820149; 1.818082; 1.815419; 1.812503; 1.809614; 1.807564; 1.805883; 1.804654; 1.804180; 1.804169; 1.804494; 1.805283; 1.806225; 1.807197; 1.808035; 1.808892; 1.810042; 1.811130; 1.812129; 1.813350; 1.814725; 1.816387; 1.818231; 1.820526; 1.822882; 1.824634; 1.825865; 1.826476; 1.826107; 1.825211; 1.823824; 1.821862; 1.819866; 1.818237; 1.816821; 1.814877; 1.812076; 1.809112; 1.806512; 1.803754; 1.801428; 1.800068; 1.799040; 1.798728; 1.799053; 1.799709; 1.800333; 1.800811; 1.801158; 1.801278; 1.801557; 1.801940; 1.802451; 1.803131; 1.803988; 1.804925; 1.805688; 1.806478; 1.807273; 1.808288; 1.809417; 1.810862; 1.812873; 1.815233; 1.817173; 1.818788; 1.820122; 1.820712; 1.820603; 1.820048; 1.819390; 1.818438; 1.817781; 1.817008; 1.815742; 1.814219; 1.812635; 1.811214; 1.809520; 1.808264; 1.809147; 1.811249; 1.813804; 1.815888; 1.817336; 1.811268; 1.807465; 1.807565; 1.807763; 1.808413; 1.808737; 1.809333; 1.809648; 1.804889; (); (); (); (); (); 
