Roll Number; 4
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-24; 11:22:33
File Name; D:\Mahlo\TR\171124112233FP 4577_360 GSM4_THICKNESS2.txt

15505.8; 11:22:45; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.999213; 0.997885; 0.998032; 1.000479; 1.000467; 0.998853; 0.995809; 0.992845; 0.991641; 0.989879; 0.988421; 0.986735; 0.984767; 0.983923; 0.983686; 0.985224; 0.987118; 0.987386; 0.986309; 0.986585; 0.988030; 0.990234; 0.992629; 0.992405; 0.995542; 0.997610; 0.999322; 1.001089; 1.001376; 1.000923; 0.999172; 0.998019; 0.997906; 0.995769; 0.995799; 0.997008; 0.997895; 0.996399; 0.994827; 0.993428; 0.994854; 0.996907; 0.998640; 1.000402; 1.003416; 1.004606; 1.005477; 1.007467; 1.010283; 1.010502; 1.007888; 1.006841; 1.007373; 1.007827; 1.009082; 1.009235; 1.008977; 1.009380; 1.009651; 1.008104; 1.009464; 1.009440; 1.008495; 1.008435; 1.009191; 1.012236; 1.013651; 1.015231; 1.016552; 1.015714; 1.014453; 1.012494; 1.011159; 1.010773; 1.010626; 1.009091; 1.007135; 1.004089; 1.000923; 1.000129; 1.001477; 1.005379; 1.009745; 1.012093; 1.012782; 1.014802; 1.015545; 1.016162; 1.017570; 1.019497; 1.021463; 1.026344; 1.034849; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15509.8; 11:23:30; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.001510; 1.000301; 0.999937; 0.998835; 0.997709; 0.994922; 0.994723; 0.995278; 0.995944; 0.995538; 0.995220; 0.995684; 0.996080; 0.997654; 1.000566; 1.003753; 1.004416; 1.004724; 1.006037; 1.007928; 1.010083; 1.009159; 1.009161; 1.008761; 1.006566; 1.003753; 1.001355; 0.999485; 0.997535; 0.995212; 0.994126; 0.994227; 0.993454; 0.993175; 0.993225; 0.993323; 0.993526; 0.991504; 0.989746; 0.989123; 0.989841; 0.990619; 0.993022; 0.993697; 0.993452; 0.993588; 0.993957; 0.996674; 0.997287; 0.997398; 0.999158; 1.002142; 1.002241; 1.003056; 1.004905; 1.006966; 1.008267; 1.009570; 1.010815; 1.011190; 1.011139; 1.009320; 1.005684; 1.005219; 1.005527; 1.005886; 1.007211; 1.011282; 1.016231; 1.020038; 1.021718; 1.021553; 1.022346; 1.023754; 1.026035; 1.029480; 1.033035; 1.034739; 1.036585; 1.038922; 1.041322; 1.041673; 1.040705; 1.038753; 1.036464; 1.036291; 1.038221; 1.039243; 1.037988; 1.036135; 1.034222; 1.033404; 1.035073; 1.035613; 1.034750; 1.033631; 1.033550; 1.033059; 1.032148; 1.032971; 1.032444; 1.030705; 1.029835; 1.033116; 1.034023; 1.035378; 1.035724; 1.035452; 1.033655; 1.032971; 1.032252; 1.031868; 1.032540; 1.033385; 1.032855; 1.033073; 1.032796; 1.030576; (); (); (); (); 
15510.5; 11:23:39; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.997406; 0.996237; 0.995277; 0.994347; 0.992507; 0.990917; 0.991821; 0.993237; 0.995136; 0.996051; 0.994550; 0.991517; 0.987842; 0.985661; 0.984715; 0.984205; 0.985058; 0.983378; 0.982427; 0.982289; 0.981585; 0.979000; 0.978584; 0.978428; 0.978483; 0.980043; 0.982200; 0.982384; 0.982648; 0.982782; 0.982138; 0.981961; 0.986603; 0.989726; 0.992748; 0.994514; 0.995131; 0.993505; 0.990271; 0.987506; 0.985224; 0.982215; 0.983499; 0.985375; 0.988093; 0.990495; 0.990703; 0.989177; 0.988004; 0.986946; 0.986745; 0.988639; 0.990331; 0.994275; 1.000352; 1.006661; 1.011349; 1.012539; 1.009815; 1.005072; 1.003083; 1.004342; 1.005843; 1.007465; 1.012166; 1.014941; 1.016169; 1.017950; 1.018793; 1.017120; 1.016893; 1.018505; 1.019868; 1.023164; 1.028274; 1.031791; 1.032836; 1.032332; 1.032906; 1.034035; 1.034914; 1.035839; 1.036016; 1.034778; 1.033852; 1.032884; 1.031736; 1.031549; 1.030881; 1.028558; 1.024743; 1.023284; 1.024654; 1.026186; 1.024595; 1.025596; 1.027661; 1.029621; 1.030133; 1.030004; 1.029355; 1.029006; 1.028901; 1.029444; 1.030919; 1.033209; 1.034051; 1.032054; 1.029117; 1.029717; 1.028832; 1.026213; 1.025035; 1.025248; 1.026146; 1.027263; 1.028213; 1.028778; (); (); (); (); 
15511.3; 11:23:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.986859; 0.983387; 0.981638; 0.980886; 0.980363; 0.978657; 0.978398; 0.976737; 0.973830; 0.972085; 0.971174; 0.967087; 0.965021; 0.964294; 0.964721; 0.967135; 0.967727; 0.967883; 0.968091; 0.968358; 0.969195; 0.968694; 0.970017; 0.972688; 0.974449; 0.976022; 0.980542; 0.983422; 0.985250; 0.985104; 0.983844; 0.986854; 0.988871; 0.990522; 0.992421; 0.993970; 0.994785; 0.994929; 0.996249; 0.997025; 0.996375; 0.994867; 0.992970; 0.993100; 0.994492; 0.994471; 0.991672; 0.990512; 0.990480; 0.991000; 0.992331; 0.993651; 0.993648; 0.992900; 0.992245; 0.992413; 0.994273; 0.996631; 0.998879; 1.000980; 1.003434; 1.007439; 1.010375; 1.012557; 1.014223; 1.016232; 1.019522; 1.024065; 1.027060; 1.030662; 1.034995; 1.038127; 1.038752; 1.036812; 1.035772; 1.036743; 1.040188; 1.042756; 1.039742; 1.038185; 1.037409; 1.036167; 1.033399; 1.030371; 1.028499; 1.024495; 1.021264; 1.018617; 1.015972; 1.013285; 1.008890; 1.004530; 1.004102; 1.007374; 1.007041; 1.004703; 1.002642; 1.001817; 1.000661; 1.000092; 1.001433; 1.005435; 1.010811; 1.015652; 1.020399; 1.024121; 1.024049; 1.022084; 1.020789; 1.022605; 1.024356; 1.025798; 1.028174; 1.031270; 1.032281; 1.032321; 1.030029; 1.027814; (); (); (); (); 
15512.0; 11:23:56; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.985608; 0.982193; 0.981999; 0.982364; 0.981863; 0.980736; 0.979900; 0.979292; 0.976563; 0.972827; 0.972053; 0.972922; 0.973277; 0.972223; 0.972315; 0.974731; 0.975777; 0.973989; 0.973307; 0.972669; 0.973645; 0.973515; 0.971299; 0.970470; 0.974651; 0.978552; 0.981567; 0.984705; 0.986808; 0.988390; 0.988331; 0.989657; 0.991675; 0.992423; 0.993221; 0.993656; 0.995819; 0.998581; 1.000815; 1.001970; 1.000788; 0.998130; 0.994407; 0.991594; 0.989943; 0.990514; 0.990545; 0.990896; 0.992584; 0.995354; 0.996218; 0.997202; 0.997370; 0.995886; 0.993147; 0.995409; 1.000089; 1.003917; 1.005205; 1.005753; 1.006204; 1.006950; 1.007286; 1.008047; 1.010110; 1.014156; 1.016685; 1.019825; 1.024709; 1.029886; 1.030010; 1.031333; 1.033412; 1.034523; 1.033675; 1.034208; 1.037853; 1.041936; 1.044034; 1.040762; 1.037927; 1.038181; 1.035702; 1.031066; 1.028102; 1.027560; 1.024580; 1.021924; 1.021492; 1.021639; 1.020922; 1.017226; 1.014585; 1.013957; 1.014823; 1.015326; 1.013868; 1.015050; 1.016440; 1.016557; 1.015685; 1.015501; 1.017242; 1.019786; 1.021586; 1.022027; 1.021660; 1.018911; 1.017601; 1.017528; 1.018638; 1.021086; 1.021244; 1.021544; 1.023035; 1.024380; 1.025053; 1.024258; 1.023111; (); (); (); (); 
15512.7; 11:24:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.977806; 0.976190; 0.974312; 0.974524; 0.974225; 0.974132; 0.973485; 0.971701; 0.969793; 0.967983; 0.966969; 0.966547; 0.966713; 0.967250; 0.970526; 0.974420; 0.976878; 0.978760; 0.979384; 0.981129; 0.982644; 0.983509; 0.985789; 0.989909; 0.991859; 0.992879; 0.994581; 0.997552; 0.998638; 0.997029; 0.996877; 0.996930; 0.996894; 0.998342; 0.997592; 0.996656; 0.996641; 0.996859; 0.994853; 0.994163; 0.994022; 0.993038; 0.990514; 0.989345; 0.990056; 0.990049; 0.990043; 0.989898; 0.989842; 0.992658; 0.997096; 0.999528; 1.000984; 1.002576; 1.004362; 1.006602; 1.008025; 1.008878; 1.009807; 1.010284; 1.011277; 1.012481; 1.012722; 1.011643; 1.009987; 1.004879; 1.002617; 1.000595; 0.998733; 0.998716; 0.999074; 0.999382; 0.999236; 0.999242; 0.999497; 1.000148; 1.002420; 1.005781; 1.007568; 1.007640; 1.010404; 1.014067; 1.016617; 1.017207; 1.016590; 1.014790; 1.013254; 1.014045; 1.015212; 1.015283; 1.014669; 1.013646; 1.013010; 1.014305; 1.016799; 1.016886; 1.014194; 1.012844; 1.011331; 1.010819; 1.012078; 1.012607; 1.013448; 1.014210; 1.015020; 1.015742; 1.015599; 1.015872; 1.013360; 1.010010; 1.009899; 1.012169; 1.014065; 1.015492; 1.015846; 1.016642; 1.017243; 1.015386; (); (); (); (); (); 
15513.4; 11:24:14; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.989899; 0.985749; 0.981440; 0.981827; 0.980627; 0.978717; 0.977554; 0.974069; 0.970265; 0.969476; 0.968673; 0.968319; 0.968753; 0.968766; 0.968659; 0.968972; 0.969570; 0.970127; 0.969363; 0.970206; 0.972415; 0.975427; 0.979067; 0.981305; 0.980943; 0.980453; 0.981054; 0.983912; 0.985185; 0.987877; 0.990076; 0.991811; 0.992749; 0.993208; 0.994503; 0.993400; 0.991927; 0.991047; 0.990141; 0.989901; 0.991097; 0.990270; 0.987138; 0.986061; 0.983568; 0.984051; 0.987528; 0.991477; 0.993127; 0.995835; 0.997295; 0.997378; 0.997197; 0.997575; 1.000001; 1.002462; 1.005664; 1.007700; 1.010620; 1.015305; 1.016362; 1.012498; 1.009008; 1.006173; 1.004283; 1.002936; 1.001636; 1.001158; 1.001518; 1.001930; 1.000779; 1.000469; 0.999931; 0.998099; 0.996030; 0.995891; 0.999376; 1.002976; 1.005717; 1.007194; 1.010159; 1.012385; 1.014422; 1.014562; 1.013878; 1.012851; 1.011962; 1.012674; 1.013865; 1.014254; 1.014144; 1.013550; 1.012821; 1.013975; 1.015733; 1.016200; 1.014616; 1.013760; 1.013707; 1.014336; 1.015077; 1.015208; 1.015935; 1.015947; 1.015150; 1.014644; 1.014485; 1.015204; 1.012499; 1.009602; 1.009303; 1.010323; 1.011714; 1.012083; 1.011733; 1.011907; 1.013019; 1.011187; (); (); (); (); (); 
15514.2; 11:24:22; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.972979; 0.973260; 0.973299; 0.973605; 0.973850; 0.974306; 0.974925; 0.975762; 0.976307; 0.977620; 0.978972; 0.982191; 0.985996; 0.987340; 0.989281; 0.991273; 0.992635; 0.993787; 0.995278; 0.995155; 0.997092; 0.999919; 1.000933; 0.999903; 1.000665; 0.999517; 0.996789; 0.994502; 0.993618; 0.996142; 0.998912; 1.002225; 1.003602; 1.002920; 1.003420; 1.000702; 0.997743; 0.996473; 0.996207; 0.994554; 0.994103; 0.996824; 1.000176; 0.999658; 0.996241; 0.993688; 0.990706; 0.987537; 0.987119; 0.986156; 0.986915; 0.988654; 0.989220; 0.988590; 0.987625; 0.987804; 0.987329; 0.986578; 0.986179; 0.986830; 0.988325; 0.989900; 0.991220; 0.991839; 0.991716; 0.988442; 0.986367; 0.985926; 0.986475; 0.987218; 0.988438; 0.989496; 0.991865; 0.993625; 0.994429; 0.994954; 0.995389; 0.996743; 0.999765; 1.003670; 1.007865; 1.009849; 1.011314; 1.014377; 1.017798; 1.020198; 1.021914; 1.022647; 1.023049; 1.022828; 1.021667; 1.021859; 1.021298; 1.020718; 1.021744; 1.023380; 1.024060; 1.022946; 1.021394; 1.019228; 1.018665; 1.020215; 1.021029; 1.022202; 1.024646; 1.027430; 1.028598; 1.030331; 1.029784; 1.028439; 1.027706; 1.028669; 1.031270; 1.033791; 1.035596; 1.034531; 1.031455; 1.030452; (); (); (); (); (); 
15514.9; 11:24:31; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.985611; 0.986195; 0.986168; 0.985471; 0.983685; 0.982341; 0.982699; 0.984295; 0.985351; 0.985584; 0.987881; 0.990131; 0.989521; 0.989599; 0.989605; 0.989442; 0.989395; 0.988799; 0.989442; 0.991441; 0.993583; 0.994919; 0.993169; 0.989926; 0.987901; 0.985749; 0.985637; 0.986951; 0.988515; 0.992881; 0.996522; 0.998578; 0.999840; 0.999011; 1.000081; 0.999656; 0.998760; 1.000273; 1.001785; 1.000964; 1.000188; 0.999968; 0.999468; 0.995221; 0.990325; 0.987998; 0.987897; 0.989264; 0.991179; 0.989154; 0.986817; 0.984780; 0.983750; 0.982942; 0.981873; 0.983542; 0.985188; 0.985682; 0.985998; 0.986939; 0.985884; 0.984998; 0.984313; 0.983829; 0.984018; 0.983924; 0.984727; 0.985912; 0.987557; 0.988913; 0.988121; 0.988446; 0.990123; 0.992614; 0.992994; 0.995656; 0.996811; 0.998049; 1.000280; 1.002809; 1.004218; 1.004345; 1.005285; 1.008019; 1.012565; 1.016252; 1.016847; 1.018059; 1.019982; 1.021047; 1.019257; 1.018341; 1.017382; 1.017633; 1.019082; 1.021313; 1.023858; 1.023671; 1.022205; 1.020044; 1.018290; 1.021364; 1.022437; 1.023555; 1.026332; 1.028904; 1.029649; 1.030315; 1.029330; 1.028042; 1.028017; 1.028201; 1.030074; 1.031738; 1.033831; 1.033726; 1.029417; 1.026923; (); (); (); (); (); 
15515.6; 11:24:40; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.976264; 0.976885; 0.978642; 0.979218; 0.977343; 0.976232; 0.976411; 0.976787; 0.975171; 0.971974; 0.969738; 0.970931; 0.973608; 0.975271; 0.976805; 0.981871; 0.983174; 0.983420; 0.983259; 0.986273; 0.989525; 0.991020; 0.992843; 0.994814; 0.996702; 0.999578; 1.002647; 1.004396; 1.005633; 1.007929; 1.008933; 1.009413; 1.013043; 1.016980; 1.018830; 1.018354; 1.018889; 1.017285; 1.015424; 1.014928; 1.015810; 1.015885; 1.015053; 1.013064; 1.011538; 1.009209; 1.007748; 1.006775; 1.005886; 1.005927; 1.007899; 1.008198; 1.009619; 1.010739; 1.010590; 1.008990; 1.006569; 1.006112; 1.004705; 1.003715; 1.004413; 1.003963; 0.999877; 0.996223; 0.992279; 0.988748; 0.988933; 0.990252; 0.994220; 0.998447; 1.001396; 1.002160; 1.003138; 1.004157; 1.003351; 1.001276; 1.000557; 1.004716; 1.009151; 1.013739; 1.015636; 1.014889; 1.013071; 1.009756; 1.005629; 1.004474; 1.007278; 1.008710; 1.012154; 1.015201; 1.017754; 1.019244; 1.016113; 1.012600; 1.010071; 1.010206; 1.011210; 1.012222; 1.013821; 1.018314; 1.021710; 1.023066; 1.025451; 1.025123; 1.025473; 1.026031; 1.027632; 1.031865; 1.035342; 1.037615; 1.037161; 1.038208; 1.040661; 1.042188; 1.040462; 1.037377; 1.032998; 1.031733; (); (); (); (); (); 
15516.4; 11:24:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.986567; 0.984823; 0.981303; 0.980292; 0.980183; 0.979683; 0.979784; 0.979582; 0.978010; 0.976165; 0.973313; 0.971883; 0.970869; 0.972681; 0.976018; 0.978141; 0.982984; 0.985887; 0.987195; 0.986966; 0.987708; 0.988966; 0.990790; 0.993829; 0.995549; 0.995897; 0.996044; 0.999111; 0.999558; 1.000385; 1.001653; 1.002875; 1.004741; 1.008257; 1.011676; 1.014453; 1.015341; 1.014611; 1.011582; 1.010441; 1.011133; 1.013716; 1.016000; 1.017284; 1.016862; 1.014288; 1.010143; 1.006858; 1.005292; 1.005114; 1.005907; 1.008044; 1.010261; 1.013257; 1.013707; 1.012710; 1.009915; 1.006314; 1.004057; 1.002056; 1.000883; 1.002415; 1.003503; 1.001025; 0.997659; 0.992973; 0.989461; 0.988180; 0.988042; 0.992080; 0.997202; 0.999566; 1.000748; 1.002512; 1.004220; 1.003991; 1.002110; 1.000775; 1.003757; 1.007272; 1.011669; 1.014087; 1.014717; 1.013676; 1.010579; 1.006293; 1.004794; 1.006676; 1.009543; 1.012894; 1.016309; 1.020059; 1.020725; 1.017117; 1.013706; 1.010304; 1.009115; 1.009808; 1.011957; 1.014734; 1.020608; 1.025026; 1.027980; 1.030205; 1.029759; 1.030060; 1.030197; 1.031790; 1.035529; 1.039190; 1.041286; 1.042356; 1.043977; 1.045192; 1.045453; 1.043282; 1.039137; 1.032501; 1.031733; (); (); (); (); (); 
