Roll Number; 4
Recipe Name; FP 4577_360 GSM
Start Time; 2017-11-24; 11:22:33
File Name; D:\Mahlo\TR\171124112233FP 4577_360 GSM4_FMI2.txt

15505.8; 11:22:45; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 366.060942; 366.123259; 366.492420; 366.632879; 366.622806; 366.659135; 366.684854; 366.690129; 366.687179; 366.939247; 367.250383; 367.114156; 366.869271; 366.617441; 366.552323; 366.622955; 366.587639; 366.587043; 366.719276; 366.918951; 367.114365; 367.431104; 367.752224; 368.028939; 368.218452; 368.306011; 368.964612; 370.119393; 371.013433; 371.781826; 372.573048; 373.130262; 373.401612; 373.677284; 373.949081; 374.056756; 374.027759; 373.904884; 373.694599; 373.600543; 373.508662; 373.203874; 372.445822; 371.486902; 370.820343; 370.478332; 370.381981; 370.339006; 370.315254; 370.247513; 370.242596; 370.443374; 370.822638; 371.247828; 371.576190; 371.836692; 372.026920; 372.213989; 372.260004; 372.246563; 372.251958; 372.306496; 372.676641; 373.110473; 373.739123; 374.316722; 374.420524; 374.045849; 373.655945; 373.447537; 373.307735; 373.117656; 373.021960; 373.100549; 373.291075; 373.421997; 373.164445; 372.499466; 371.757537; 371.101081; 370.799392; 370.800167; 371.202946; 371.674180; 371.943325; 372.264057; 372.519374; 372.855693; 373.212308; 373.389781; 373.418838; 373.792112; 374.543965; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15509.8; 11:23:30; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 374.038011; 372.832656; 371.690869; 370.995283; 370.524019; 370.041698; 369.562626; 369.050264; 368.298411; 367.913902; 367.579490; 367.296427; 367.030174; 366.933227; 366.796762; 366.834939; 367.270947; 367.673397; 367.602170; 367.333084; 367.141545; 366.964370; 366.917372; 366.895348; 366.710842; 366.338164; 366.161466; 366.203189; 366.041869; 365.736097; 365.387201; 365.092754; 364.923239; 364.959478; 365.193188; 365.403593; 365.288168; 365.169138; 365.311593; 365.625978; 366.117924; 366.503865; 366.433620; 366.470277; 366.784811; 367.162287; 367.460221; 367.503881; 367.553174; 367.636085; 367.847800; 368.050396; 367.994905; 367.289156; 366.008908; 364.602506; 363.960862; 363.624781; 363.189161; 362.837881; 362.817019; 362.944424; 363.035709; 362.869978; 362.592369; 362.588912; 362.948179; 363.670319; 364.434242; 365.225464; 365.984321; 366.429836; 366.727054; 366.932601; 366.923720; 366.659343; 366.603881; 366.770029; 367.003381; 367.390960; 367.502540; 367.105395; 366.520971; 366.062909; 365.737319; 365.627795; 365.678579; 365.713984; 365.672380; 365.614891; 365.539074; 365.368754; 365.355253; 365.515262; 365.476906; 365.608841; 366.011441; 366.276443; 366.440445; 366.675436; 366.829276; 366.810322; 366.806656; 367.010623; 367.390156; 367.855906; 368.293166; 368.536592; 368.710339; 368.874758; 368.797779; 368.839502; 368.981689; 369.129121; 369.341999; 369.647026; 370.119989; 370.372087; (); (); (); (); 
15510.5; 11:23:39; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 373.155504; 372.519404; 372.114599; 371.806830; 371.488959; 371.275336; 371.268302; 371.327192; 370.873034; 370.200664; 369.451493; 368.846446; 368.142396; 367.610723; 367.468983; 367.660701; 367.653966; 367.484689; 367.073417; 366.667300; 366.250575; 365.858674; 365.706414; 365.584135; 365.494221; 365.540892; 365.605086; 365.602255; 365.651071; 365.467906; 365.027070; 364.756823; 364.539534; 364.717662; 364.969432; 365.149379; 365.247905; 365.243226; 365.301430; 365.475655; 365.744829; 366.127104; 366.567016; 367.058307; 367.608279; 367.951959; 368.107915; 368.444890; 368.610561; 368.559778; 368.556112; 368.682593; 368.771493; 368.706793; 368.261039; 367.380559; 366.374493; 365.440130; 364.644349; 364.014775; 363.816559; 363.933384; 364.165932; 364.385009; 364.498734; 364.216357; 363.968074; 364.041060; 364.535064; 365.394711; 366.356164; 367.153406; 367.704868; 368.146747; 368.449092; 368.491292; 368.423015; 368.210882; 368.229181; 368.266732; 368.579030; 369.140595; 369.199365; 368.684709; 367.831826; 367.332727; 367.242157; 367.167324; 367.125541; 367.198706; 367.275774; 367.244720; 367.216438; 366.969049; 366.919696; 366.743267; 366.489738; 366.468757; 366.747737; 367.007345; 367.133468; 367.156446; 367.111206; 367.013872; 366.954744; 367.150873; 367.692143; 368.278086; 368.735313; 369.132489; 369.447231; 369.724989; 370.004147; 370.326281; 370.712131; 371.115088; 371.566355; 371.957302; (); (); (); (); 
15511.3; 11:23:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 369.684964; 368.298948; 367.182374; 366.455406; 366.131157; 366.125613; 366.062880; 365.761578; 364.721537; 363.826603; 363.189161; 363.007635; 363.148510; 363.425195; 363.938123; 364.553571; 365.084320; 365.581453; 366.469920; 367.216080; 367.476910; 367.549300; 367.745787; 368.262708; 368.789524; 369.017363; 369.096577; 369.323999; 369.624645; 369.948566; 370.213240; 370.548129; 370.712727; 370.243967; 369.599670; 369.112611; 368.907392; 369.000167; 369.364887; 369.708002; 369.948566; 369.714707; 369.156152; 368.315011; 367.661625; 367.081851; 366.611481; 366.577297; 366.496146; 366.289765; 366.161495; 366.165519; 365.958333; 365.404963; 364.654094; 363.863260; 363.543779; 363.507897; 363.397866; 363.395810; 363.606006; 363.804638; 363.865793; 364.169121; 364.700288; 365.566880; 366.199553; 366.633564; 367.265224; 368.084788; 369.028211; 369.294226; 369.143188; 369.101256; 369.113535; 369.037390; 368.935078; 368.839771; 368.918926; 368.764699; 368.252933; 367.798239; 367.087692; 366.442472; 366.104990; 366.102129; 366.422355; 366.833448; 367.104292; 367.087424; 366.976559; 366.976827; 366.895884; 366.665810; 366.381854; 366.252750; 366.006106; 365.897864; 365.788907; 365.568757; 365.258723; 365.381360; 366.188198; 367.021710; 367.814898; 368.599802; 369.119883; 369.605780; 369.900048; 370.187581; 370.603681; 371.275514; 372.095317; 372.818172; 373.319685; 373.656720; 373.189598; 372.121334; (); (); (); (); 
15512.0; 11:23:56; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 372.594267; 372.564763; 372.386515; 371.818066; 371.430665; 371.121019; 370.803386; 370.699912; 371.029288; 370.711684; 370.259643; 369.844377; 369.334191; 368.751556; 368.325025; 368.190497; 368.170679; 368.274868; 368.458718; 368.369699; 368.363470; 368.684411; 369.000494; 368.991584; 368.949652; 368.938655; 368.833572; 368.889838; 368.993908; 369.067192; 369.313687; 369.621575; 369.810075; 370.026886; 370.357722; 370.348215; 369.854242; 369.425386; 368.949920; 368.702561; 368.881494; 369.343132; 369.645029; 369.746417; 369.457841; 368.688077; 367.808014; 367.132276; 366.625637; 366.356581; 366.320223; 366.130173; 365.942180; 365.903705; 365.853250; 365.613967; 364.996791; 364.101797; 363.500625; 363.410681; 363.414109; 363.338768; 363.433987; 363.634378; 363.757879; 363.819748; 364.231795; 364.942819; 365.696639; 366.318077; 366.921872; 367.696434; 368.621886; 369.434118; 369.593024; 369.573593; 369.524062; 369.464815; 369.376421; 369.188130; 369.177878; 369.212002; 368.840903; 368.324250; 367.772967; 366.913140; 366.249502; 365.972430; 366.097003; 366.465271; 366.877586; 367.130578; 367.069811; 367.067665; 367.057621; 366.816938; 366.539210; 366.346329; 366.125375; 365.959316; 365.918219; 365.876108; 365.589529; 365.280360; 365.554959; 366.271645; 367.118180; 368.057191; 368.804038; 369.342923; 369.793117; 370.222539; 370.837480; 371.561319; 372.435212; 373.511791; 374.340743; 375.112981; 375.661880; (); (); (); (); 
15512.7; 11:24:05; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 371.928960; 371.732026; 371.455014; 371.587992; 371.959925; 372.226745; 372.268647; 372.200668; 372.154117; 371.886551; 371.619374; 371.913075; 372.476161; 372.786909; 372.686952; 372.514039; 372.179389; 371.867448; 371.541649; 371.091217; 370.717287; 370.394796; 370.190024; 370.097041; 370.045930; 369.924903; 369.512975; 369.223148; 369.159639; 369.225979; 369.560212; 370.104730; 370.663345; 371.294796; 371.678591; 372.097999; 372.586668; 372.952044; 373.297036; 373.511642; 373.624414; 373.662263; 373.616964; 373.470157; 373.364180; 373.317242; 373.122275; 372.785181; 372.249037; 371.787339; 371.307760; 370.849371; 370.482236; 370.231301; 370.061249; 369.894207; 369.669825; 369.569689; 369.566143; 369.297296; 368.700922; 368.122250; 367.664307; 367.517173; 367.486656; 367.498398; 367.765337; 368.109465; 367.887199; 367.230862; 366.706282; 366.363674; 366.274774; 366.228461; 365.990549; 365.836054; 366.109699; 366.553307; 366.905868; 367.368549; 367.642224; 367.240041; 366.509587; 366.217315; 366.290361; 366.760969; 367.245376; 367.403686; 367.518276; 367.893457; 368.226469; 368.013740; 367.524028; 366.841227; 366.100103; 365.879327; 366.073221; 366.461247; 366.899371; 367.406666; 367.489070; 367.617637; 367.903203; 368.082821; 368.131667; 368.286848; 368.851542; 369.675875; 370.284677; 370.823264; 370.926619; 370.934725; 371.125132; 371.255755; 371.156722; 371.150345; 370.923996; 370.851785; (); (); (); (); (); 
15513.4; 11:24:14; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 372.989923; 372.729540; 372.488856; 372.426718; 372.384369; 372.406423; 372.542709; 373.187423; 372.949660; 372.422010; 372.009158; 371.794641; 371.874452; 372.275174; 372.662932; 372.606128; 372.475386; 372.227758; 371.697336; 371.121556; 370.640427; 370.168358; 369.908661; 369.725078; 369.689941; 369.620681; 369.659722; 369.456202; 369.097948; 369.058847; 369.301140; 369.469255; 369.945079; 370.743871; 371.524125; 372.278452; 372.691333; 372.869730; 373.049378; 373.236597; 373.469532; 373.525858; 373.615444; 373.672903; 373.521209; 373.349756; 373.249829; 372.920185; 372.513056; 372.014433; 371.220827; 370.508134; 370.018989; 369.509876; 369.272470; 369.267523; 369.389802; 369.336724; 369.164109; 369.112492; 368.961900; 368.748248; 368.412942; 368.047029; 367.835820; 367.901444; 368.133932; 368.358970; 368.807524; 368.936926; 368.451595; 367.714614; 367.125958; 366.756797; 366.543680; 366.413772; 365.974784; 365.782827; 365.927219; 366.353363; 366.779685; 367.112696; 367.302179; 366.750985; 366.115242; 365.766585; 365.920186; 366.469026; 366.842985; 367.003560; 367.181093; 367.636561; 367.923111; 367.621392; 367.033452; 366.430521; 365.857452; 365.802407; 366.112709; 366.556138; 367.045999; 367.495298; 367.613077; 367.791355; 368.060648; 368.128836; 368.182331; 368.366390; 369.075447; 370.000422; 370.606512; 370.898515; 370.973974; 371.008933; 371.208787; 371.363819; 371.307641; 371.198505; (); (); (); (); (); 
15514.2; 11:24:22; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 370.404780; 370.507389; 370.198011; 370.072424; 370.203584; 370.577902; 370.716333; 370.701134; 370.531023; 370.483458; 370.608598; 370.867968; 371.274054; 371.774644; 372.276604; 372.466922; 372.230023; 372.115642; 372.037530; 372.001886; 371.784627; 371.740907; 371.921301; 372.059941; 372.286886; 372.632146; 373.273313; 373.752862; 373.691499; 373.372465; 373.179525; 373.404920; 373.797864; 374.100000; 374.225736; 374.536276; 374.936491; 375.135213; 375.137717; 374.959469; 374.292076; 373.092949; 372.275174; 372.099817; 372.338325; 372.581989; 372.851104; 372.957528; 372.895420; 372.567594; 372.110039; 371.793181; 371.570528; 371.363878; 371.194392; 371.222496; 371.583343; 372.116596; 372.319013; 372.269332; 372.334540; 372.406453; 372.547507; 372.576118; 372.658223; 372.565508; 372.219622; 372.029722; 372.234285; 372.857630; 373.318076; 373.444110; 373.227805; 373.091727; 372.967333; 372.822076; 372.839928; 373.242080; 374.026358; 374.767333; 375.196040; 375.351608; 375.266820; 374.717623; 373.994529; 373.311162; 372.682273; 372.398227; 372.235537; 372.228265; 372.082561; 371.434331; 370.479345; 369.664699; 369.104058; 368.924707; 368.948489; 368.918419; 368.801504; 369.207829; 369.761467; 370.216697; 370.640695; 370.996654; 371.005744; 370.855600; 370.845467; 370.975912; 370.817214; 370.673895; 370.564222; 370.528340; 370.783418; 371.082485; 371.121109; 370.936781; 370.399326; 369.418472; (); (); (); (); (); 
15514.9; 11:24:31; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 370.656461; 370.387644; 370.471776; 370.470107; 370.280117; 370.237797; 370.455027; 371.484488; 371.752620; 371.386647; 371.024013; 370.843351; 370.971024; 371.153474; 371.576995; 372.144252; 372.588247; 372.686058; 372.526228; 372.369379; 372.218579; 371.889979; 371.667564; 371.681601; 371.925592; 372.256130; 372.650474; 373.165667; 373.801470; 374.115050; 373.968571; 373.654068; 373.492897; 373.607576; 374.022037; 374.334961; 374.655604; 374.931514; 375.285655; 375.525951; 375.456542; 375.158876; 374.179304; 373.083502; 372.530073; 372.484893; 372.733772; 373.076767; 373.379052; 373.514205; 373.483449; 373.050004; 372.490257; 372.165859; 371.827155; 371.534407; 371.334583; 371.410191; 371.736348; 372.207731; 372.440398; 372.403920; 372.391105; 372.402042; 372.515112; 372.416228; 372.456968; 372.480601; 372.233868; 372.296274; 372.741461; 373.255998; 373.731703; 373.796642; 373.595178; 373.297065; 373.087525; 372.987956; 373.306990; 373.998374; 374.827683; 375.449270; 375.655323; 375.573307; 375.262290; 374.736249; 373.965710; 373.076767; 372.667253; 372.493118; 372.466654; 372.436762; 372.143656; 371.216178; 370.295256; 369.513363; 369.026840; 369.081944; 369.248301; 369.167566; 369.243056; 369.711012; 370.283097; 370.720327; 371.140778; 371.365696; 371.258587; 371.153921; 371.208817; 371.257991; 371.130019; 370.996207; 370.924473; 370.979398; 371.285260; 371.416718; 371.398002; 371.197969; (); (); (); (); (); 
15515.6; 11:24:40; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 378.380477; 377.944231; 377.407849; 377.535343; 377.962768; 378.439903; 378.868312; 379.264832; 379.540592; 379.443198; 379.238814; 378.875881; 379.053593; 379.513264; 380.179465; 380.580127; 380.717218; 380.700529; 380.210429; 379.664570; 379.174799; 378.959477; 378.601193; 378.227293; 377.822399; 377.255321; 376.692981; 376.067519; 375.516474; 375.154853; 375.157386; 375.488639; 376.177400; 376.863062; 377.305269; 377.554268; 377.455801; 377.386898; 377.398580; 377.670467; 378.122419; 378.498226; 378.940761; 379.529566; 380.049139; 380.203992; 380.047441; 379.722744; 379.366130; 379.151225; 379.032344; 378.841251; 378.700823; 378.653854; 378.702611; 378.947377; 378.884703; 378.568619; 378.136545; 377.667606; 377.260983; 377.063751; 377.086878; 377.050430; 376.986951; 376.885325; 376.811296; 376.659900; 376.635849; 376.556933; 376.328945; 376.245081; 376.270384; 376.372069; 376.535505; 376.786143; 377.104819; 377.232671; 377.243876; 377.249926; 377.418101; 377.473563; 377.449542; 377.356768; 377.591878; 378.091842; 378.805637; 379.350185; 379.737198; 380.086601; 380.234867; 380.305827; 380.447090; 380.662680; 380.746901; 380.623996; 380.602241; 380.772173; 380.930662; 380.788445; 380.448461; 379.984677; 379.743338; 379.706442; 379.691124; 379.754543; 379.803985; 379.579037; 379.375279; 379.447252; 379.818022; 380.205214; 380.424142; 380.517602; 380.711645; 381.094396; 381.277531; 381.035179; (); (); (); (); (); 
15516.4; 11:24:48; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 383.962005; 383.620977; 383.589834; 383.590996; 383.494020; 383.282632; 383.092076; 383.214712; 383.158654; 382.612437; 382.265270; 382.052511; 381.895691; 381.657034; 381.590366; 381.736130; 381.650776; 381.383687; 381.130934; 380.610913; 380.064160; 379.589975; 379.072011; 378.687114; 378.534943; 378.369778; 378.150910; 377.692491; 377.010614; 376.199752; 375.623018; 375.181198; 374.856651; 374.884397; 375.114143; 375.618935; 376.291037; 376.806200; 376.997292; 376.961648; 376.854062; 376.961797; 377.295673; 377.697974; 378.225058; 378.695488; 379.276365; 379.795790; 379.975319; 379.821837; 379.533052; 379.220128; 378.942490; 378.660530; 378.388762; 378.302485; 378.370792; 378.609240; 378.820717; 378.760844; 378.402263; 377.846837; 377.342224; 377.065033; 377.008766; 377.014220; 377.036989; 377.088398; 377.160072; 377.137542; 377.065837; 377.026588; 376.865447; 376.683354; 376.635045; 376.787752; 376.927435; 377.084047; 377.351522; 377.556831; 377.614349; 377.583116; 377.555788; 377.642035; 377.524674; 377.412409; 377.321273; 377.601981; 378.195137; 378.933907; 379.370898; 379.779607; 380.106241; 380.197912; 380.203009; 380.446106; 380.665511; 380.684555; 380.567998; 380.519211; 380.591303; 380.631149; 380.442441; 379.973829; 379.477382; 379.470319; 379.530340; 379.606158; 379.777819; 379.801780; 379.657984; 379.527479; 379.558295; 380.011618; 380.610049; 380.997747; 381.266981; 381.803602; 381.035179; (); (); (); (); (); 
