Roll Number; 1
Recipe Name; FP 4582_244 GSM
Start Time; 2017-11-29; 12:04:06
File Name; D:\Mahlo\TR\171129120406FP 4582_244 GSM1_XMF2.txt

7870.6; 12:04:18; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3147.595406; 2956.665039; 2674.204063; 2409.846878; 2193.113518; 2032.641029; 1894.972992; 1738.652992; 1543.287277; 1342.283630; 1112.684631; 882.464409; 682.553816; 483.697939; 284.239912; 86.458319; 1.889197; 1.889762; 1.891253; 1.893440; 1.895080; 1.896516; 1.898088; 1.900258; 1.903852; 1.907845; 1.910608; 1.912437; 1.914990; 1.916436; 1.915809; 1.914749; 1.912933; 1.910233; 1.908394; 1.907768; 1.906695; 1.904579; 1.901710; 1.898779; 1.896840; 1.895663; 1.893486; 1.889353; 1.886047; 1.885443; 1.886880; 1.889922; 1.892645; 1.893831; 1.894878; 1.897029; 1.900010; 1.902945; 1.904373; 1.905372; 1.907148; 1.909361; 1.911784; 1.913591; 1.914422; 1.915082; 1.914574; 1.914400; 1.914948; 1.915461; 1.914909; 1.913697; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
7873.5; 12:04:26; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.585291; 1.585640; 1.585126; 1.584692; 1.584710; 1.584894; 1.585003; 1.584943; 1.585257; 1.584931; 1.583563; 1.580494; 1.576322; 1.572610; 1.567548; 1.562556; 1.558241; 1.556011; 1.554391; 1.551489; 1.547709; 1.544379; 1.542917; 1.541321; 1.540025; 1.540221; 1.542577; 1.544624; 1.547336; 1.549159; 1.550830; 1.551989; 1.551467; 1.549707; 1.549433; 1.549977; 1.551208; 1.551256; 1.550927; 1.550416; 1.550758; 1.551739; 1.553424; 1.554353; 1.555249; 1.555471; 1.555474; 1.556130; 1.557456; 1.558679; 1.560054; 1.561007; 1.562077; 1.561924; 1.560935; 1.558382; 1.562058; 1.582601; 1.607266; 1.632449; 1.653995; 1.675061; 1.699718; 1.722177; 1.741580; 1.763908; 1.787796; 1.811559; 1.835949; 1.858568; 1.885438; 1.899888; 1.901543; 1.904402; 1.907296; 1.911334; 1.916800; 1.921391; 1.924093; 1.925998; 1.927463; 1.929206; 1.930163; 1.931668; 1.933042; 1.932846; 1.931723; 1.927927; 1.923438; 1.919980; 1.917691; 1.915609; 1.911830; 1.909067; 1.906706; 1.904712; 1.903116; 1.902018; 1.901044; 1.898113; 1.897284; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
7875.6; 12:04:35; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.569291; 1.567200; 1.566514; 1.565848; 1.567532; 1.568983; 1.570986; 1.571150; 1.570147; 1.570855; 1.568802; 1.567757; 1.566663; 1.568341; 1.568229; 1.568937; 1.570171; 1.570483; 1.571236; 1.569812; 1.567509; 1.562158; 1.558049; 1.556118; 1.555203; 1.556277; 1.557037; 1.556322; 1.554733; 1.552916; 1.551765; 1.551714; 1.551212; 1.548582; 1.546478; 1.546818; 1.549993; 1.553238; 1.555504; 1.556990; 1.556369; 1.554489; 1.551981; 1.550275; 1.550079; 1.549563; 1.548093; 1.547028; 1.548094; 1.549398; 1.550288; 1.550433; 1.550706; 1.550635; 1.550033; 1.549942; 1.550678; 1.550872; 1.550010; 1.548449; 1.546591; 1.545775; 1.545420; 1.544170; 1.542561; 1.540461; 1.538188; 1.535801; 1.533083; 1.530971; 1.529954; 1.530714; 1.533294; 1.536368; 1.539758; 1.543348; 1.545470; 1.545960; 1.546198; 1.546723; 1.548229; 1.549135; 1.549827; 1.551890; 1.554480; 1.556739; 1.558100; 1.559154; 1.559187; 1.557686; 1.556554; 1.557008; 1.558860; 1.560344; 1.560722; 1.560554; 1.560757; 1.560280; 1.558256; 1.555264; 1.552917; 1.550553; 1.546380; 1.540626; 1.534268; 1.521668; 1.512055; 1.507789; 1.504085; 1.499906; 1.494560; 1.487871; 1.481879; (); (); (); (); (); (); (); (); (); 
7877.7; 12:04:44; (); (); (); (); (); (); 1.572281; 1.580595; 1.585448; 1.587858; 1.602960; 1.608891; 1.598735; 1.585988; 1.574104; 1.565369; 1.557282; 1.548969; 1.542778; 1.542313; 1.545136; 1.548104; 1.550872; 1.554104; 1.558184; 1.560952; 1.562244; 1.563113; 1.564488; 1.566799; 1.569527; 1.572298; 1.574494; 1.575695; 1.575738; 1.575200; 1.575154; 1.575395; 1.575036; 1.573542; 1.571901; 1.570950; 1.570212; 1.570045; 1.569276; 1.566801; 1.563827; 1.560141; 1.557516; 1.556070; 1.555334; 1.554393; 1.553137; 1.551100; 1.548868; 1.546315; 1.544330; 1.542504; 1.540469; 1.538316; 1.536791; 1.535280; 1.534150; 1.532796; 1.531352; 1.529884; 1.529686; 1.530364; 1.531562; 1.531659; 1.532412; 1.533601; 1.534485; 1.534512; 1.535060; 1.537214; 1.540360; 1.542908; 1.544164; 1.545081; 1.545510; 1.546147; 1.546796; 1.547606; 1.549388; 1.551083; 1.552734; 1.555508; 1.558803; 1.561355; 1.562416; 1.562187; 1.561168; 1.560436; 1.560161; 1.560074; 1.559395; 1.558670; 1.557748; 1.557155; 1.556851; 1.557291; 1.557352; 1.557306; 1.557729; 1.558294; 1.560721; 1.563795; 1.564827; 1.564952; 1.564971; 1.564516; 1.564310; 1.563390; 1.562915; 1.561034; 1.559431; 1.556095; 1.552845; 1.550777; 1.545045; 1.536590; 1.519456; 1.506260; 1.503256; 1.499373; 1.495338; 1.490260; 1.482523; 1.474442; 1.469949; (); (); (); (); (); (); (); (); (); 
7880.2; 12:04:54; (); (); (); (); (); (); 1.508291; 1.514924; 1.519237; 1.523372; 1.525863; 1.526567; 1.527653; 1.529779; 1.542155; 1.547716; 1.550709; 1.550040; 1.549812; 1.550839; 1.549753; 1.549404; 1.548142; 1.546335; 1.544674; 1.544006; 1.545493; 1.545146; 1.544704; 1.542751; 1.541251; 1.540260; 1.541766; 1.543470; 1.543223; 1.542205; 1.539655; 1.537761; 1.537176; 1.537214; 1.536819; 1.535653; 1.535067; 1.534966; 1.535563; 1.536091; 1.536059; 1.535529; 1.534765; 1.533630; 1.532611; 1.531559; 1.530910; 1.530487; 1.529033; 1.527410; 1.526742; 1.527104; 1.526932; 1.525696; 1.523937; 1.522357; 1.520391; 1.518566; 1.517914; 1.519313; 1.522678; 1.525343; 1.525455; 1.527043; 1.529792; 1.532020; 1.533161; 1.534779; 1.537025; 1.538665; 1.539662; 1.540665; 1.541363; 1.542326; 1.542810; 1.541814; 1.540090; 1.540766; 1.541985; 1.542027; 1.540249; 1.538480; 1.536105; 1.534171; 1.534513; 1.536309; 1.538786; 1.541377; 1.542779; 1.543459; 1.545248; 1.548101; 1.549393; 1.549028; 1.549332; 1.550820; 1.552730; 1.554472; 1.555681; 1.557244; 1.558402; 1.558172; 1.556494; 1.554731; 1.554387; 1.554269; 1.553698; 1.553891; 1.553050; 1.551226; 1.548903; 1.547137; 1.545220; 1.542427; 1.536588; 1.526107; 1.513537; 1.510658; 1.508770; 1.504698; 1.499377; 1.492833; 1.482941; 1.474442; (); (); (); (); (); (); (); (); (); (); 
7882.5; 12:05:03; (); (); (); (); (); 1.546730; 1.552124; 1.558420; 1.563797; 1.567072; 1.568973; 1.569534; 1.573207; 1.584381; 1.590529; 1.591748; 1.591081; 1.589423; 1.588279; 1.588256; 1.588861; 1.588644; 1.588007; 1.585559; 1.582649; 1.580011; 1.577769; 1.575845; 1.574559; 1.572792; 1.571035; 1.569260; 1.568205; 1.566669; 1.562902; 1.558144; 1.553420; 1.549022; 1.546265; 1.544091; 1.543442; 1.542976; 1.542647; 1.541678; 1.539993; 1.538234; 1.537111; 1.535672; 1.534283; 1.533501; 1.533569; 1.533290; 1.533286; 1.533171; 1.533841; 1.534034; 1.534880; 1.535728; 1.535145; 1.534981; 1.535798; 1.536230; 1.536610; 1.536343; 1.536119; 1.535942; 1.536122; 1.535665; 1.536585; 1.537698; 1.538408; 1.537593; 1.536452; 1.536720; 1.537751; 1.538854; 1.539901; 1.539743; 1.539452; 1.539400; 1.538850; 1.538523; 1.539537; 1.539859; 1.538394; 1.536292; 1.535565; 1.536327; 1.538052; 1.539228; 1.540343; 1.541643; 1.543785; 1.545867; 1.548852; 1.553068; 1.556559; 1.557799; 1.557499; 1.557357; 1.558400; 1.559586; 1.559551; 1.559388; 1.559816; 1.559297; 1.557703; 1.556587; 1.555046; 1.553247; 1.550034; 1.548132; 1.547806; 1.548796; 1.550690; 1.551127; 1.552626; 1.553045; 1.552512; 1.549594; 1.543676; 1.528831; 1.524156; 1.523042; 1.521098; 1.519409; 1.516211; 1.512032; 1.506454; (); (); (); (); (); (); (); (); (); (); (); 
7884.8; 12:05:12; (); (); (); (); (); 1.491877; 1.497503; 1.503116; 1.510770; 1.513782; 1.517438; 1.523121; 1.528426; 1.543875; 1.557266; 1.564422; 1.567717; 1.571436; 1.573327; 1.576179; 1.580272; 1.581794; 1.583876; 1.583309; 1.583648; 1.582991; 1.581719; 1.579222; 1.576377; 1.573913; 1.570775; 1.568831; 1.567741; 1.566874; 1.565579; 1.564553; 1.564077; 1.562047; 1.560544; 1.559797; 1.558095; 1.556097; 1.555287; 1.555067; 1.554683; 1.553894; 1.551558; 1.547198; 1.543102; 1.540356; 1.537855; 1.535060; 1.533955; 1.532678; 1.530633; 1.529929; 1.530059; 1.530506; 1.530631; 1.529456; 1.527204; 1.524550; 1.523170; 1.522116; 1.520294; 1.519056; 1.518391; 1.518390; 1.520304; 1.522678; 1.523704; 1.522766; 1.520853; 1.519678; 1.520360; 1.521243; 1.521984; 1.522574; 1.523739; 1.525603; 1.527060; 1.527798; 1.527833; 1.527125; 1.526441; 1.526801; 1.527168; 1.527452; 1.528193; 1.530249; 1.534322; 1.538049; 1.540305; 1.540439; 1.540051; 1.540317; 1.540144; 1.540243; 1.541280; 1.541259; 1.541067; 1.542208; 1.544206; 1.546323; 1.546089; 1.543261; 1.540248; 1.538492; 1.537985; 1.538462; 1.538814; 1.539078; 1.538189; 1.536803; 1.536091; 1.535865; 1.535814; 1.534946; 1.532803; 1.530890; 1.529157; 1.522469; 1.514418; 1.513872; 1.511404; 1.508744; 1.506478; 1.504041; 1.500191; (); (); (); (); (); (); (); (); (); (); (); 
7887.1; 12:05:21; (); (); (); (); (); 1.491877; 1.553089; 1.558723; 1.561626; 1.562954; 1.563826; 1.564919; 1.566819; 1.577270; 1.581271; 1.579482; 1.576448; 1.573951; 1.572370; 1.571591; 1.570155; 1.566836; 1.562275; 1.557830; 1.554237; 1.552089; 1.548431; 1.543763; 1.541100; 1.538696; 1.536806; 1.536372; 1.535373; 1.533154; 1.530798; 1.529774; 1.529938; 1.530270; 1.530530; 1.530520; 1.529776; 1.530167; 1.532141; 1.534860; 1.537041; 1.538211; 1.538974; 1.540352; 1.542204; 1.542633; 1.542471; 1.541900; 1.543343; 1.544751; 1.544752; 1.544310; 1.544995; 1.544452; 1.542528; 1.540180; 1.538224; 1.535995; 1.534574; 1.533858; 1.534303; 1.534866; 1.535810; 1.535548; 1.535828; 1.536900; 1.538631; 1.539640; 1.540253; 1.540802; 1.540960; 1.540559; 1.541024; 1.541492; 1.542481; 1.544019; 1.545094; 1.545416; 1.545414; 1.545648; 1.546112; 1.546454; 1.548052; 1.551193; 1.554762; 1.559072; 1.563072; 1.565879; 1.567731; 1.569282; 1.570349; 1.570179; 1.570005; 1.570441; 1.570802; 1.571467; 1.572778; 1.570843; 1.568428; 1.566038; 1.563910; 1.561524; 1.558869; 1.555738; 1.551288; 1.549419; 1.548585; 1.548046; 1.547101; 1.545504; 1.544647; 1.542104; 1.540793; 1.538063; 1.536421; 1.532016; 1.521070; 1.506107; 1.502954; 1.501453; 1.497607; 1.493306; 1.487981; 1.481206; 1.475163; (); (); (); (); (); (); (); (); (); (); (); 
7889.4; 12:05:30; (); (); (); (); (); (); 1.526283; 1.528663; 1.528696; 1.529525; 1.532626; 1.534598; 1.536744; 1.542383; 1.556191; 1.560006; 1.557790; 1.556672; 1.554367; 1.553654; 1.552664; 1.552075; 1.554499; 1.556876; 1.558421; 1.557896; 1.557204; 1.556457; 1.555730; 1.555933; 1.556369; 1.556190; 1.555031; 1.554472; 1.553811; 1.552753; 1.550968; 1.548775; 1.546592; 1.544370; 1.542450; 1.540762; 1.539375; 1.538762; 1.539134; 1.539337; 1.539751; 1.540953; 1.541872; 1.541810; 1.541048; 1.539689; 1.538709; 1.539164; 1.540929; 1.542980; 1.545349; 1.547844; 1.549548; 1.549977; 1.549694; 1.549657; 1.550508; 1.552332; 1.554419; 1.556811; 1.559456; 1.564074; 1.568216; 1.570019; 1.568390; 1.565395; 1.563584; 1.562142; 1.560115; 1.558169; 1.555622; 1.552454; 1.549489; 1.547060; 1.544174; 1.540063; 1.534253; 1.529187; 1.526588; 1.526253; 1.525581; 1.523369; 1.522111; 1.522506; 1.523643; 1.525021; 1.527044; 1.527979; 1.528274; 1.530677; 1.534380; 1.538422; 1.541510; 1.543081; 1.544720; 1.546323; 1.547695; 1.548505; 1.549107; 1.549429; 1.550546; 1.550971; 1.550780; 1.550819; 1.551184; 1.551427; 1.550049; 1.547443; 1.545983; 1.545447; 1.544465; 1.542427; 1.540603; 1.536966; 1.531715; 1.521384; 1.503379; 1.496149; 1.491903; 1.486286; 1.479673; 1.471750; 1.459683; (); (); (); (); (); (); (); (); (); (); (); 
7891.7; 12:05:39; (); (); (); (); (); (); 1.545377; 1.549875; 1.552118; 1.552827; 1.554449; 1.556756; 1.559069; 1.567969; 1.570017; 1.566685; 1.562567; 1.560292; 1.558211; 1.555975; 1.554268; 1.551857; 1.549202; 1.547455; 1.545801; 1.543097; 1.540975; 1.539882; 1.540163; 1.540659; 1.541240; 1.542326; 1.543795; 1.544840; 1.545197; 1.544911; 1.544060; 1.543073; 1.542320; 1.542618; 1.542145; 1.539213; 1.536043; 1.534327; 1.534049; 1.533366; 1.530499; 1.526756; 1.523853; 1.521412; 1.520050; 1.518869; 1.516403; 1.514454; 1.514711; 1.517532; 1.521523; 1.525045; 1.525863; 1.523916; 1.523318; 1.524333; 1.526202; 1.528475; 1.530164; 1.530467; 1.531848; 1.535534; 1.538013; 1.538322; 1.537775; 1.535893; 1.534517; 1.535311; 1.537241; 1.537734; 1.537324; 1.535884; 1.535294; 1.536195; 1.537958; 1.538698; 1.538481; 1.537414; 1.536213; 1.535794; 1.535870; 1.535263; 1.535116; 1.536069; 1.537116; 1.538470; 1.540813; 1.542016; 1.541908; 1.542101; 1.543978; 1.546027; 1.547207; 1.548183; 1.549164; 1.551496; 1.555199; 1.556562; 1.557470; 1.558526; 1.560486; 1.561612; 1.562209; 1.563009; 1.562535; 1.561846; 1.561534; 1.562609; 1.562409; 1.559934; 1.555750; 1.549393; 1.545532; 1.541310; 1.536323; 1.517695; 1.507609; 1.503808; 1.499591; 1.495668; 1.490433; 1.482590; 1.470346; (); (); (); (); (); (); (); (); (); (); (); 
7894.0; 12:05:48; (); (); (); (); (); (); 1.479197; 1.488289; 1.495770; 1.501861; 1.508605; 1.512967; 1.516125; 1.521302; 1.535240; 1.542597; 1.544215; 1.546768; 1.547610; 1.549066; 1.551046; 1.554634; 1.556337; 1.555118; 1.553318; 1.549882; 1.547021; 1.544226; 1.543528; 1.544228; 1.543951; 1.545227; 1.547271; 1.549964; 1.550210; 1.548430; 1.546567; 1.544253; 1.543215; 1.542304; 1.542630; 1.544575; 1.546479; 1.548261; 1.549910; 1.550170; 1.548682; 1.545673; 1.542909; 1.541713; 1.541181; 1.540283; 1.539524; 1.538840; 1.538513; 1.537745; 1.535674; 1.532610; 1.529626; 1.527399; 1.526507; 1.525869; 1.525918; 1.526551; 1.527547; 1.529097; 1.530178; 1.529877; 1.529707; 1.530626; 1.531431; 1.531799; 1.532065; 1.532344; 1.532484; 1.533071; 1.534754; 1.536072; 1.535391; 1.533813; 1.531778; 1.529984; 1.529348; 1.529424; 1.528850; 1.528309; 1.528043; 1.527391; 1.525576; 1.522653; 1.520962; 1.520164; 1.520424; 1.521612; 1.522368; 1.522597; 1.523536; 1.523987; 1.524210; 1.525328; 1.527902; 1.530933; 1.534428; 1.538393; 1.541117; 1.541970; 1.541261; 1.540326; 1.540133; 1.541432; 1.542570; 1.543063; 1.543594; 1.543804; 1.543384; 1.543049; 1.543430; 1.543083; 1.542348; 1.540880; 1.537295; 1.529859; 1.522979; 1.521398; 1.518684; 1.516637; 1.514272; 1.511688; 1.508977; (); (); (); (); (); (); (); (); (); (); (); 
