Roll Number; 1
Recipe Name; FP 4582_244 GSM
Start Time; 2017-11-29; 12:04:06
File Name; D:\Mahlo\TR\171129120406FP 4582_244 GSM1_THICKNESS2.txt

7870.6; 12:04:18; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.606780; 0.606353; 0.604671; 0.603566; 0.604702; 0.605023; 0.605051; 0.606178; 0.608920; 0.610346; 0.612151; 0.614496; 0.616794; 0.617671; 0.618344; 0.620213; 0.624079; 0.629005; 0.633931; 0.637664; 0.639249; 0.639434; 0.638576; 0.636625; 0.637061; 0.637008; 0.636711; 0.637295; 0.638629; 0.639732; 0.640352; 0.638240; 0.634406; 0.630330; 0.625635; 0.626940; 0.629296; 0.631429; 0.632887; 0.635247; 0.634804; 0.632548; 0.630884; 0.630737; 0.628916; 0.628433; 0.629603; 0.631195; 0.633787; 0.637134; 0.636671; 0.636025; 0.636012; 0.637377; 0.638656; 0.640160; 0.640829; 0.638785; 0.637526; 0.639535; 0.639530; 0.639814; 0.640211; 0.639764; 0.638768; 0.638355; 0.638712; 0.638607; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
7873.5; 12:04:26; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.612252; 0.607582; 0.604683; 0.603804; 0.603582; 0.604484; 0.604872; 0.604802; 0.605129; 0.605929; 0.606632; 0.605899; 0.604049; 0.603280; 0.604397; 0.608062; 0.613367; 0.615772; 0.616073; 0.615416; 0.613954; 0.613330; 0.613517; 0.614551; 0.616395; 0.618708; 0.619418; 0.619403; 0.617463; 0.615833; 0.615862; 0.612006; 0.610540; 0.611858; 0.612807; 0.612288; 0.611296; 0.609066; 0.607102; 0.605473; 0.603203; 0.601048; 0.602079; 0.604774; 0.605523; 0.604848; 0.606033; 0.606805; 0.606997; 0.608833; 0.611645; 0.614031; 0.617869; 0.621052; 0.623300; 0.625723; 0.629422; 0.630840; 0.630226; 0.631081; 0.633192; 0.635461; 0.636590; 0.637306; 0.636686; 0.636389; 0.637103; 0.635727; 0.634226; 0.633985; 0.634906; 0.636008; 0.637289; 0.639376; 0.639974; 0.639764; 0.639147; 0.638612; 0.638380; 0.639586; 0.640917; 0.642769; 0.644711; 0.643244; 0.642904; 0.642679; 0.642247; 0.642921; 0.643908; 0.645666; 0.647222; 0.648969; 0.649924; 0.649921; 0.650093; 0.650521; 0.650546; 0.651672; 0.654997; 0.656623; 0.657589; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
7875.6; 12:04:35; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.616854; 0.617178; 0.617740; 0.616788; 0.616733; 0.617821; 0.618777; 0.618366; 0.617224; 0.616348; 0.616002; 0.616310; 0.614594; 0.612279; 0.611141; 0.611838; 0.612174; 0.612307; 0.611571; 0.610762; 0.609700; 0.609581; 0.612328; 0.612494; 0.610721; 0.612198; 0.613606; 0.614514; 0.614946; 0.615485; 0.615961; 0.614855; 0.615500; 0.618028; 0.618886; 0.617638; 0.615194; 0.611566; 0.611758; 0.614721; 0.615466; 0.614976; 0.615891; 0.616021; 0.614901; 0.615365; 0.616091; 0.617689; 0.617981; 0.618176; 0.621726; 0.624368; 0.626222; 0.626988; 0.626441; 0.625221; 0.624677; 0.626644; 0.631165; 0.634682; 0.636314; 0.638307; 0.637800; 0.638226; 0.638719; 0.638703; 0.638066; 0.639981; 0.640940; 0.640106; 0.641421; 0.643502; 0.642781; 0.640950; 0.639549; 0.638851; 0.638765; 0.639336; 0.640715; 0.642456; 0.642546; 0.643634; 0.642199; 0.643728; 0.645602; 0.645304; 0.643940; 0.644680; 0.645921; 0.646443; 0.644796; 0.640460; 0.638325; 0.636330; 0.633461; 0.631586; 0.631218; 0.632220; 0.632645; 0.631604; 0.631318; 0.632100; 0.632519; 0.630333; 0.630139; 0.632472; 0.636826; 0.636787; 0.637698; 0.639701; 0.641689; 0.641360; 0.638903; (); (); (); (); (); (); (); (); (); 
7877.7; 12:04:44; (); (); (); (); (); (); 0.598164; 0.598688; 0.602327; 0.601121; 0.603563; 0.605808; 0.607851; 0.608889; 0.610885; 0.607240; 0.609966; 0.611492; 0.610630; 0.608864; 0.607693; 0.606846; 0.605301; 0.604554; 0.604316; 0.605295; 0.606004; 0.604635; 0.602863; 0.602948; 0.602642; 0.600343; 0.599619; 0.597995; 0.595209; 0.593585; 0.594261; 0.595901; 0.595119; 0.596197; 0.599052; 0.603019; 0.606159; 0.606400; 0.606649; 0.608867; 0.611783; 0.613262; 0.613896; 0.615390; 0.617678; 0.618842; 0.618720; 0.620294; 0.619801; 0.618481; 0.616920; 0.616244; 0.617558; 0.617429; 0.616668; 0.615943; 0.615287; 0.616675; 0.619047; 0.622689; 0.626802; 0.631266; 0.634210; 0.636189; 0.637177; 0.638353; 0.640168; 0.640506; 0.639532; 0.640916; 0.644580; 0.648706; 0.649556; 0.648642; 0.645653; 0.641724; 0.638505; 0.636206; 0.634431; 0.632987; 0.631563; 0.630918; 0.632413; 0.635773; 0.635064; 0.633647; 0.632729; 0.633558; 0.634312; 0.635226; 0.636597; 0.637244; 0.639078; 0.640908; 0.641664; 0.643039; 0.643414; 0.642799; 0.642539; 0.643505; 0.644094; 0.643789; 0.642857; 0.643754; 0.643325; 0.644376; 0.644976; 0.644557; 0.644871; 0.648111; 0.648394; 0.648688; 0.647713; 0.644256; 0.643473; 0.643999; 0.645094; 0.646014; 0.646076; 0.646275; 0.646038; 0.645863; 0.645651; 0.644051; 0.640964; (); (); (); (); (); (); (); (); (); 
7880.2; 12:04:54; (); (); (); (); (); (); 0.608364; 0.612133; 0.614809; 0.617767; 0.617873; 0.617678; 0.618298; 0.618747; 0.618466; 0.619508; 0.619318; 0.619043; 0.618675; 0.617300; 0.618868; 0.618714; 0.618199; 0.617263; 0.615017; 0.614143; 0.613641; 0.612362; 0.611647; 0.612838; 0.612843; 0.614458; 0.616832; 0.618592; 0.619102; 0.616053; 0.613066; 0.612056; 0.612960; 0.615402; 0.617448; 0.618533; 0.619509; 0.620460; 0.621359; 0.622626; 0.623838; 0.626188; 0.627319; 0.627609; 0.630525; 0.630592; 0.630774; 0.628767; 0.624672; 0.624472; 0.623883; 0.624216; 0.624840; 0.624730; 0.624023; 0.621099; 0.619661; 0.618640; 0.617887; 0.617602; 0.621149; 0.623842; 0.627011; 0.631123; 0.633416; 0.635725; 0.635969; 0.636502; 0.638103; 0.640932; 0.644970; 0.645789; 0.648907; 0.653202; 0.655805; 0.656007; 0.653760; 0.651278; 0.649169; 0.646636; 0.644023; 0.642764; 0.642794; 0.641286; 0.637404; 0.636044; 0.634449; 0.634656; 0.633478; 0.631396; 0.631760; 0.631068; 0.631728; 0.632653; 0.633336; 0.635843; 0.638957; 0.638795; 0.638894; 0.640608; 0.640720; 0.641799; 0.640913; 0.641498; 0.643192; 0.642550; 0.643323; 0.644161; 0.645069; 0.644981; 0.643204; 0.640924; 0.640253; 0.639649; 0.638600; 0.637210; 0.637021; 0.636110; 0.634610; 0.632838; 0.631768; 0.631426; 0.630022; 0.644051; (); (); (); (); (); (); (); (); (); (); 
7882.5; 12:05:03; (); (); (); (); (); 0.613844; 0.611754; 0.609241; 0.609972; 0.611905; 0.613815; 0.614078; 0.614041; 0.618144; 0.617002; 0.618530; 0.620209; 0.617740; 0.615772; 0.614838; 0.615843; 0.618322; 0.618388; 0.615939; 0.614550; 0.613875; 0.614262; 0.615276; 0.613639; 0.615369; 0.615095; 0.613875; 0.614239; 0.614282; 0.614355; 0.613764; 0.613453; 0.616049; 0.620408; 0.620604; 0.620776; 0.622105; 0.623716; 0.625183; 0.626426; 0.627489; 0.629719; 0.631712; 0.631511; 0.632730; 0.634908; 0.636149; 0.635049; 0.633413; 0.632921; 0.632007; 0.630893; 0.629933; 0.629017; 0.629374; 0.627482; 0.624456; 0.621636; 0.620025; 0.618278; 0.617197; 0.617975; 0.620880; 0.622486; 0.625384; 0.627166; 0.626632; 0.624514; 0.623005; 0.621230; 0.622162; 0.625648; 0.630241; 0.634309; 0.637281; 0.636713; 0.634734; 0.632705; 0.631327; 0.631025; 0.631091; 0.633147; 0.636306; 0.638970; 0.639592; 0.641622; 0.639726; 0.636962; 0.636193; 0.636313; 0.639285; 0.642051; 0.643213; 0.642184; 0.640917; 0.640673; 0.640200; 0.638295; 0.636712; 0.637274; 0.638991; 0.642066; 0.644735; 0.645488; 0.644868; 0.642367; 0.638236; 0.637418; 0.638591; 0.640174; 0.643085; 0.645578; 0.648798; 0.651177; 0.652610; 0.652729; 0.653231; 0.652349; 0.651843; 0.652501; 0.655294; 0.659201; 0.662597; 0.665278; (); (); (); (); (); (); (); (); (); (); (); 
7884.8; 12:05:12; (); (); (); (); (); 0.617049; 0.617290; 0.620458; 0.619882; 0.617539; 0.617256; 0.618841; 0.618984; 0.619345; 0.618690; 0.615156; 0.610828; 0.611252; 0.610570; 0.611593; 0.615002; 0.616040; 0.614133; 0.614736; 0.617768; 0.617811; 0.614883; 0.613804; 0.612668; 0.612664; 0.614942; 0.618121; 0.618968; 0.619491; 0.617377; 0.614937; 0.613982; 0.614721; 0.616757; 0.616945; 0.618576; 0.620727; 0.621507; 0.622474; 0.625193; 0.624854; 0.623487; 0.622272; 0.622646; 0.623496; 0.624140; 0.624173; 0.623605; 0.622661; 0.620525; 0.617556; 0.614362; 0.611448; 0.610161; 0.608267; 0.610077; 0.613209; 0.614539; 0.615186; 0.614490; 0.613526; 0.614080; 0.615269; 0.616172; 0.618326; 0.622016; 0.626288; 0.629671; 0.631141; 0.633073; 0.633167; 0.634100; 0.635419; 0.635250; 0.636701; 0.636365; 0.636552; 0.635935; 0.634166; 0.631428; 0.628573; 0.626654; 0.626705; 0.627508; 0.626735; 0.624996; 0.623712; 0.624529; 0.627739; 0.630049; 0.631625; 0.630441; 0.629907; 0.631980; 0.636413; 0.640853; 0.644224; 0.645972; 0.646567; 0.647911; 0.649290; 0.650033; 0.649015; 0.646450; 0.646573; 0.648701; 0.650496; 0.651428; 0.652270; 0.653296; 0.653626; 0.652412; 0.651764; 0.652169; 0.652062; 0.650426; 0.647704; 0.647092; 0.648207; 0.647036; 0.646048; 0.646298; 0.646290; 0.642960; (); (); (); (); (); (); (); (); (); (); (); 
7887.1; 12:05:21; (); (); (); (); (); 0.617049; 0.620164; 0.622237; 0.622532; 0.621839; 0.621136; 0.620147; 0.618243; 0.617533; 0.615313; 0.613293; 0.613881; 0.612699; 0.613215; 0.613921; 0.613843; 0.612428; 0.609848; 0.609080; 0.608799; 0.608762; 0.610158; 0.611876; 0.611410; 0.612018; 0.613132; 0.611377; 0.612385; 0.612029; 0.612168; 0.614013; 0.615974; 0.619093; 0.621348; 0.622756; 0.623439; 0.625517; 0.626434; 0.628812; 0.630451; 0.632184; 0.635384; 0.637573; 0.637863; 0.637111; 0.637652; 0.638037; 0.635823; 0.632615; 0.630942; 0.630921; 0.629796; 0.629573; 0.628283; 0.626127; 0.624375; 0.623314; 0.622713; 0.624790; 0.626786; 0.627060; 0.627577; 0.630193; 0.632155; 0.633661; 0.634198; 0.632048; 0.631470; 0.630251; 0.630637; 0.631427; 0.632308; 0.632572; 0.632878; 0.633753; 0.633770; 0.633369; 0.633807; 0.635331; 0.637783; 0.639502; 0.640817; 0.642388; 0.646441; 0.648908; 0.649101; 0.647738; 0.646312; 0.645064; 0.643912; 0.643217; 0.642051; 0.640429; 0.639812; 0.638290; 0.639203; 0.640744; 0.640659; 0.639870; 0.640364; 0.640177; 0.641129; 0.644511; 0.647734; 0.649227; 0.651726; 0.653013; 0.653622; 0.654588; 0.655065; 0.654125; 0.653503; 0.654092; 0.654465; 0.653302; 0.652370; 0.651583; 0.650793; 0.650094; 0.648899; 0.647552; 0.647690; 0.648054; 0.647256; (); (); (); (); (); (); (); (); (); (); (); 
7889.4; 12:05:30; (); (); (); (); (); (); 0.611628; 0.614799; 0.618111; 0.619637; 0.619416; 0.618752; 0.618605; 0.619179; 0.618662; 0.620055; 0.621402; 0.620845; 0.622323; 0.626947; 0.627926; 0.626994; 0.625506; 0.623655; 0.623778; 0.624860; 0.626215; 0.626174; 0.625059; 0.622844; 0.619484; 0.618629; 0.620224; 0.620944; 0.621662; 0.622342; 0.622424; 0.622425; 0.623427; 0.624027; 0.625786; 0.627425; 0.629088; 0.632285; 0.635431; 0.638090; 0.638292; 0.636887; 0.635244; 0.634854; 0.638253; 0.639887; 0.640374; 0.640739; 0.640586; 0.636591; 0.632386; 0.629516; 0.628492; 0.629432; 0.629713; 0.630036; 0.630344; 0.629963; 0.628842; 0.627805; 0.629463; 0.631403; 0.631956; 0.631460; 0.636432; 0.642324; 0.645761; 0.647299; 0.648515; 0.650884; 0.653464; 0.654061; 0.653264; 0.652522; 0.651918; 0.651347; 0.651211; 0.650849; 0.649473; 0.649375; 0.648971; 0.648471; 0.648673; 0.649067; 0.647749; 0.645623; 0.646697; 0.649669; 0.651415; 0.651505; 0.652033; 0.652557; 0.654507; 0.657118; 0.658480; 0.658774; 0.658577; 0.659056; 0.660192; 0.661487; 0.662072; 0.660145; 0.657661; 0.656153; 0.655545; 0.656404; 0.656378; 0.656438; 0.656777; 0.656378; 0.655712; 0.655529; 0.654729; 0.653086; 0.652818; 0.653129; 0.654622; 0.656900; 0.658960; 0.660379; 0.659822; 0.659339; 0.657554; (); (); (); (); (); (); (); (); (); (); (); 
7891.7; 12:05:39; (); (); (); (); (); (); 0.617962; 0.619355; 0.618470; 0.620702; 0.622070; 0.622244; 0.621926; 0.622974; 0.623428; 0.624069; 0.624810; 0.625106; 0.624537; 0.625714; 0.626214; 0.627249; 0.628528; 0.629893; 0.629469; 0.630693; 0.632312; 0.633922; 0.634237; 0.633888; 0.633067; 0.631981; 0.630788; 0.630259; 0.630333; 0.630873; 0.630834; 0.629400; 0.627132; 0.628054; 0.629401; 0.628618; 0.627831; 0.630452; 0.633057; 0.634358; 0.636095; 0.639455; 0.642150; 0.642496; 0.642839; 0.643665; 0.645075; 0.645467; 0.643334; 0.641858; 0.642447; 0.642123; 0.641102; 0.642709; 0.642622; 0.641414; 0.639531; 0.638754; 0.639581; 0.641007; 0.641610; 0.643913; 0.647155; 0.648343; 0.649654; 0.652230; 0.653664; 0.651216; 0.648054; 0.648281; 0.649555; 0.651011; 0.651699; 0.651166; 0.650538; 0.650770; 0.649786; 0.648040; 0.648542; 0.647443; 0.645572; 0.646923; 0.650848; 0.654862; 0.657077; 0.657621; 0.658267; 0.659439; 0.659978; 0.658387; 0.656524; 0.655943; 0.656122; 0.656133; 0.657132; 0.656715; 0.655090; 0.653229; 0.651991; 0.653048; 0.653699; 0.654663; 0.654379; 0.653569; 0.654217; 0.656613; 0.657823; 0.656738; 0.655273; 0.654330; 0.654221; 0.655625; 0.655280; 0.654296; 0.653184; 0.653351; 0.651740; 0.651603; 0.652358; 0.651977; 0.650536; 0.651299; 0.653170; (); (); (); (); (); (); (); (); (); (); (); 
7894.0; 12:05:48; (); (); (); (); (); (); 0.600787; 0.602106; 0.602351; 0.604271; 0.607755; 0.610496; 0.613349; 0.616835; 0.620799; 0.621395; 0.622159; 0.623530; 0.625136; 0.626795; 0.630051; 0.632080; 0.633653; 0.634161; 0.633876; 0.633063; 0.631172; 0.627700; 0.624718; 0.623780; 0.623434; 0.624241; 0.624148; 0.622578; 0.618980; 0.615025; 0.614535; 0.615146; 0.616985; 0.618521; 0.619422; 0.621532; 0.623462; 0.624017; 0.624547; 0.626937; 0.626747; 0.629639; 0.633360; 0.635724; 0.636821; 0.636029; 0.634241; 0.631973; 0.629971; 0.627657; 0.626550; 0.625302; 0.626027; 0.627353; 0.626473; 0.626393; 0.623965; 0.622064; 0.622231; 0.625039; 0.628197; 0.632852; 0.637388; 0.641819; 0.646995; 0.651249; 0.654374; 0.653535; 0.651023; 0.652594; 0.654409; 0.657683; 0.658785; 0.658687; 0.657587; 0.656626; 0.654547; 0.651524; 0.647997; 0.643910; 0.641326; 0.640126; 0.642020; 0.645256; 0.647541; 0.648733; 0.647940; 0.650534; 0.651828; 0.651741; 0.651430; 0.651398; 0.652998; 0.657063; 0.661151; 0.662294; 0.663233; 0.664118; 0.662403; 0.660177; 0.659663; 0.659572; 0.657994; 0.658378; 0.660176; 0.662368; 0.664980; 0.664836; 0.663269; 0.660585; 0.658358; 0.656654; 0.654767; 0.655398; 0.656654; 0.656412; 0.656710; 0.656732; 0.655923; 0.654640; 0.652117; 0.648388; 0.646813; (); (); (); (); (); (); (); (); (); (); (); 
7896.3; 12:05:57; (); (); (); (); (); 0.604035; 0.605286; 0.608098; 0.611887; 0.614616; 0.614230; 0.612910; 0.611229; 0.610985; 0.612983; 0.613514; 0.615603; 0.616347; 0.615506; 0.613073; 0.611362; 0.611304; 0.610993; 0.609936; 0.608380; 0.610809; 0.614945; 0.620006; 0.621361; 0.619826; 0.619388; 0.619893; 0.620617; 0.622567; 0.627203; 0.630557; 0.633589; 0.634370; 0.634167; 0.633618; 0.632142; 0.630392; 0.629619; 0.630598; 0.632717; 0.634820; 0.635718; 0.635668; 0.634644; 0.632705; 0.631757; 0.629778; 0.629382; 0.628748; 0.627617; 0.626207; 0.625209; 0.623588; 0.622408; 0.622084; 0.621868; 0.623569; 0.625260; 0.626345; 0.627061; 0.627153; 0.627931; 0.627899; 0.630598; 0.634992; 0.637674; 0.640780; 0.642447; 0.644438; 0.646340; 0.645464; 0.643899; 0.643382; 0.644744; 0.646436; 0.647119; 0.645981; 0.645273; 0.642460; 0.639584; 0.638050; 0.635774; 0.637569; 0.636735; 0.637706; 0.639851; 0.640905; 0.641916; 0.640341; 0.639556; 0.641526; 0.644007; 0.646860; 0.650482; 0.651798; 0.652283; 0.654368; 0.653852; 0.655442; 0.656355; 0.656278; 0.656614; 0.657346; 0.659650; 0.660902; 0.660608; 0.658951; 0.658342; 0.657048; 0.656616; 0.656300; 0.654201; 0.653159; 0.650201; 0.647357; 0.646126; 0.645828; 0.644178; 0.642964; 0.640973; 0.639795; 0.639703; 0.637261; 0.637380; (); (); (); (); (); (); (); (); (); (); (); 
7898.6; 12:06:06; (); (); (); (); (); 0.609742; 0.613304; 0.615938; 0.617146; 0.618548; 0.618299; 0.620198; 0.622640; 0.625772; 0.628953; 0.631069; 0.631328; 0.631815; 0.632181; 0.631586; 0.633172; 0.633220; 0.633536; 0.633453; 0.632622; 0.633266; 0.631346; 0.629999; 0.631021; 0.632655; 0.632765; 0.631790; 0.630095; 0.629528; 0.629552; 0.629741; 0.627683; 0.627167; 0.627839; 0.630040; 0.632146; 0.633364; 0.631287; 0.628256; 0.627148; 0.627093; 0.627385; 0.629694; 0.632094; 0.633818; 0.634904; 0.636766; 0.637728; 0.635458; 0.631289; 0.627249; 0.626014; 0.627062; 0.627911; 0.628578; 0.628813; 0.629173; 0.629789; 0.628564; 0.625773; 0.623204; 0.624303; 0.627194; 0.632787; 0.637701; 0.641618; 0.644100; 0.646467; 0.646421; 0.646068; 0.646300; 0.647318; 0.648540; 0.651252; 0.653756; 0.655161; 0.654030; 0.650948; 0.647377; 0.643089; 0.641581; 0.641577; 0.642433; 0.645073; 0.649019; 0.651686; 0.651730; 0.651159; 0.651316; 0.652129; 0.652894; 0.652015; 0.652225; 0.653658; 0.656360; 0.657659; 0.657723; 0.658148; 0.658364; 0.657202; 0.656811; 0.656850; 0.655333; 0.653422; 0.649616; 0.646162; 0.647799; 0.647917; 0.648622; 0.648669; 0.647621; 0.647609; 0.648716; 0.647671; 0.646491; 0.645496; 0.644912; 0.645324; 0.645379; 0.649094; 0.652514; 0.651839; 0.653255; 0.654370; (); (); (); (); (); (); (); (); (); (); (); 
7900.9; 12:06:15; (); (); (); (); (); 0.609742; 0.614643; 0.616902; 0.617728; 0.617401; 0.617879; 0.616737; 0.615993; 0.617750; 0.618630; 0.617917; 0.615545; 0.614701; 0.614929; 0.615594; 0.616073; 0.616072; 0.615081; 0.614032; 0.612999; 0.612122; 0.613434; 0.614606; 0.615461; 0.615344; 0.614411; 0.616284; 0.616798; 0.615488; 0.614362; 0.615925; 0.617687; 0.617015; 0.618728; 0.621107; 0.621736; 0.621453; 0.622494; 0.622181; 0.622557; 0.624931; 0.628515; 0.632434; 0.635113; 0.635490; 0.634654; 0.635046; 0.637500; 0.639523; 0.640780; 0.640883; 0.642129; 0.641505; 0.641250; 0.639976; 0.638813; 0.638832; 0.640328; 0.641250; 0.643336; 0.645996; 0.645332; 0.645881; 0.646411; 0.646640; 0.647580; 0.649857; 0.650455; 0.651803; 0.651999; 0.650767; 0.647417; 0.644817; 0.643593; 0.642346; 0.641127; 0.641325; 0.639277; 0.637279; 0.636405; 0.634714; 0.630550; 0.632574; 0.631978; 0.634021; 0.636534; 0.638394; 0.639511; 0.640815; 0.641179; 0.641424; 0.642207; 0.645330; 0.647971; 0.650523; 0.653212; 0.655965; 0.656787; 0.658446; 0.655920; 0.654752; 0.655527; 0.657682; 0.656198; 0.654470; 0.654089; 0.655094; 0.655310; 0.654837; 0.656121; 0.656707; 0.655101; 0.652891; 0.650171; 0.649874; 0.648158; 0.645036; 0.643085; 0.644854; 0.645678; 0.644757; 0.642349; 0.638059; 0.633619; (); (); (); (); (); (); (); (); (); (); (); 
