Roll Number; 1
Recipe Name; FP 4582_244 GSM
Start Time; 2017-11-29; 12:04:06
File Name; D:\Mahlo\TR\171129120406FP 4582_244 GSM1_FMI2.txt

7870.6; 12:04:18; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 237.589613; 237.560064; 237.887084; 237.699017; 237.753659; 238.027066; 238.190100; 238.011390; 238.016456; 238.263354; 238.477588; 238.573685; 238.571420; 238.696054; 238.703594; 238.922551; 239.207923; 239.335135; 239.599258; 239.687711; 239.475787; 239.345387; 239.629030; 239.846498; 239.868939; 239.719167; 239.872053; 240.079150; 240.162820; 240.341410; 240.505144; 240.630537; 240.632579; 240.707740; 240.490347; 240.411952; 240.590274; 240.613401; 240.330592; 240.208536; 240.156248; 240.173355; 239.764810; 239.430279; 239.388183; 239.180744; 238.659114; 238.406315; 238.640472; 238.955721; 238.939583; 238.759816; 238.764480; 238.883391; 239.050940; 239.304215; 239.475653; 240.105867; 240.719378; 241.187856; 241.364658; 241.733670; 242.131233; 242.010832; 242.124274; 242.586046; 243.173927; 243.425250; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
7873.5; 12:04:26; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 241.983905; 242.350027; 242.499456; 242.541447; 242.462769; 242.611498; 242.866129; 242.895097; 242.858812; 242.865518; 242.545575; 242.121503; 241.926566; 241.912991; 242.032155; 242.051542; 241.949201; 242.115259; 242.083594; 242.061675; 241.609901; 241.250679; 241.002008; 240.759224; 240.585148; 240.304261; 240.193769; 239.995733; 239.586666; 239.079908; 238.744855; 238.372445; 237.699822; 237.115979; 236.574486; 236.220449; 235.968933; 235.996351; 235.964075; 235.994712; 236.260727; 236.497447; 236.587033; 236.520588; 236.505672; 236.513332; 236.445412; 236.700296; 237.018988; 237.395972; 237.976983; 238.356024; 238.743275; 238.910839; 239.015222; 238.977209; 239.224702; 239.714980; 240.469992; 240.999341; 241.215259; 241.400123; 241.678476; 242.123276; 242.281049; 242.261335; 242.166668; 241.823718; 241.795942; 241.753161; 241.573796; 241.087198; 240.788043; 240.724564; 240.800291; 240.468621; 240.234911; 239.816874; 239.691854; 239.497513; 239.030570; 238.679290; 238.331079; 238.191441; 238.245964; 238.360345; 238.543868; 238.443106; 238.215163; 238.121763; 238.360450; 238.560438; 238.705486; 238.402233; 238.448322; 238.758489; 239.235878; 239.696607; 239.730626; 239.836439; 239.852473; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
7875.6; 12:04:35; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 244.005397; 244.354844; 244.521856; 244.713366; 244.704306; 244.541913; 244.425550; 244.474977; 244.351730; 244.536191; 244.529277; 244.158417; 243.516490; 242.874473; 242.648050; 242.548540; 242.223457; 241.926461; 241.609290; 241.507888; 241.613984; 241.741911; 241.624519; 241.733864; 241.506860; 241.441280; 241.737068; 242.192358; 242.615476; 242.990047; 242.746219; 242.676929; 242.705762; 242.931664; 242.830828; 242.712244; 242.843106; 242.883101; 243.057013; 243.104354; 243.117303; 243.241146; 243.512169; 243.492141; 243.525520; 243.911058; 243.948311; 243.619710; 243.464783; 243.408009; 243.244171; 243.033260; 243.076876; 243.096456; 243.388176; 243.668601; 243.591025; 243.098035; 242.800161; 242.406920; 241.958544; 241.967335; 242.350936; 242.725298; 243.159205; 242.967561; 242.797926; 242.651969; 242.339045; 242.124602; 241.804615; 241.748288; 241.810769; 241.659388; 241.553620; 241.777718; 241.922706; 241.767362; 241.374061; 240.891516; 240.780532; 240.635067; 240.600273; 240.499109; 240.163252; 239.863411; 239.593878; 239.578873; 239.779174; 239.608407; 239.405602; 238.973677; 238.237038; 237.832725; 237.856299; 237.921387; 237.831712; 237.471715; 237.597674; 237.981528; 237.893447; 237.721249; 237.357125; 236.890793; 237.020135; 237.109274; 237.281963; 237.623081; 237.803742; 237.690419; 237.532929; 237.735748; 237.737164; (); (); (); (); (); (); (); (); (); 
7877.7; 12:04:44; (); (); (); (); (); (); 240.808383; 240.064636; 239.457086; 239.233479; 238.592163; 238.270789; 237.907156; 237.534270; 237.529024; 237.679243; 237.202585; 236.780077; 236.223578; 235.708609; 235.764131; 235.809729; 235.919312; 236.071885; 236.540362; 236.527890; 236.230955; 236.236364; 236.184165; 235.949308; 236.006051; 236.228973; 236.493960; 236.715257; 236.714974; 236.582413; 236.605227; 236.431688; 236.359790; 236.286476; 236.646637; 237.189725; 237.749562; 238.187298; 238.791898; 239.088848; 239.293754; 239.630491; 239.884153; 240.347624; 240.923196; 241.167128; 241.445988; 241.469890; 241.478428; 241.332620; 241.469711; 241.652846; 241.846487; 241.959080; 242.150113; 242.011964; 241.736040; 241.879642; 242.219880; 242.549524; 242.466778; 242.454559; 242.507607; 242.184058; 241.994128; 242.138475; 241.975293; 241.586491; 241.384089; 241.044864; 241.095558; 241.153434; 240.966991; 240.760416; 240.736827; 240.799800; 240.772575; 240.888491; 241.348386; 241.503000; 241.274655; 241.132498; 241.405830; 241.465077; 241.656139; 241.993204; 242.292672; 242.211655; 241.893351; 241.731331; 241.408318; 241.052166; 240.814939; 240.771160; 240.573123; 240.627229; 240.639001; 240.550295; 240.871340; 241.199225; 240.847349; 240.676612; 240.564287; 240.291640; 240.441173; 240.889817; 241.305009; 241.293713; 241.316512; 241.374850; 241.159841; 241.189316; 241.206869; 240.902513; 240.708232; 240.445569; 240.387246; 240.543082; 240.809888; 240.688726; 240.515515; 240.417033; 240.354002; 240.105197; 240.087822; (); (); (); (); (); (); (); (); (); 
7880.2; 12:04:54; (); (); (); (); (); (); 239.283592; 238.982826; 238.884881; 238.870531; 238.906458; 238.991514; 239.348084; 239.514902; 239.472643; 239.099458; 238.995120; 238.963857; 239.039764; 239.330202; 239.417017; 239.700750; 240.030915; 240.310356; 240.861505; 241.364717; 241.206467; 240.900710; 240.777969; 240.707591; 240.874320; 241.000563; 240.688458; 240.438282; 240.488157; 240.444764; 240.271181; 240.016013; 239.341259; 238.743737; 238.257870; 238.187626; 237.885028; 238.264471; 238.690510; 238.950565; 239.665061; 240.567178; 240.882277; 240.899742; 241.224468; 241.426349; 241.794318; 242.492422; 242.832258; 243.411168; 243.902639; 244.220093; 244.124547; 244.216844; 244.217798; 244.110152; 243.979976; 243.928969; 243.582428; 243.020862; 242.847160; 242.868513; 242.697597; 242.512137; 242.046520; 241.935119; 241.938338; 242.111951; 242.075041; 242.046550; 241.966903; 241.600752; 241.293907; 241.528660; 241.837129; 242.201656; 242.345080; 242.321625; 242.695570; 242.980525; 243.352860; 243.519902; 243.127912; 242.769435; 242.427394; 242.128000; 242.248386; 242.271438; 242.254019; 242.097646; 241.447434; 240.931511; 240.677252; 240.063176; 239.622310; 239.371374; 239.256561; 239.115193; 238.834471; 238.778621; 238.842770; 238.865227; 238.851905; 238.624796; 238.851875; 239.213645; 239.412591; 239.662409; 239.802226; 239.659652; 239.084989; 238.526255; 238.670945; 238.760233; 238.705605; 238.541469; 238.065407; 237.946555; 237.980634; 237.592742; 237.337276; 237.114236; 236.288697; 240.105197; (); (); (); (); (); (); (); (); (); (); 
7882.5; 12:05:03; (); (); (); (); (); 243.688956; 243.076980; 242.196187; 241.829753; 241.659746; 241.456717; 241.268694; 241.207734; 240.833193; 240.680635; 240.154386; 239.736125; 239.586473; 239.685282; 239.627749; 240.024179; 240.554154; 240.890965; 241.213635; 241.554946; 241.823852; 242.043838; 242.042184; 242.018297; 241.840780; 242.093459; 242.369816; 242.821157; 243.197918; 243.590772; 243.643254; 244.070351; 244.415388; 244.562119; 244.473681; 244.330123; 244.062752; 243.867218; 243.785158; 243.908107; 243.933275; 243.726999; 243.158907; 242.844149; 242.713824; 242.441788; 242.087647; 241.821393; 241.586462; 241.431743; 241.347939; 241.556168; 242.257893; 242.479742; 242.330939; 242.010072; 241.477117; 241.006032; 240.713432; 240.270317; 239.883006; 239.784017; 239.643678; 239.529863; 239.506140; 239.387259; 239.191562; 238.883764; 239.185601; 239.608496; 240.051687; 240.199417; 240.422711; 240.455449; 240.642145; 241.255984; 241.534799; 241.762742; 242.095649; 242.606029; 242.827401; 242.924273; 243.059665; 243.046045; 242.888659; 242.914721; 243.355989; 243.796363; 244.217083; 244.396582; 244.060948; 243.481413; 243.212640; 242.772922; 242.296472; 242.331952; 242.481142; 242.630377; 242.370367; 242.127806; 241.921738; 241.710275; 241.176829; 240.691170; 240.414351; 240.593240; 241.053507; 241.101936; 241.101727; 241.024211; 240.953505; 240.543544; 240.065649; 239.967123; 239.809319; 239.886940; 240.079448; 240.313470; 240.660757; 240.745515; 240.361691; 240.124330; 239.898041; 239.920080; (); (); (); (); (); (); (); (); (); (); (); 
7884.8; 12:05:12; (); (); (); (); (); 243.572801; 243.485689; 243.385494; 243.016377; 242.436081; 241.788417; 241.092578; 240.639657; 240.372032; 240.245119; 240.152165; 240.008667; 239.717051; 239.424080; 239.438444; 239.652336; 239.523023; 239.347368; 239.398360; 239.523903; 239.915505; 240.420669; 240.829021; 240.927160; 240.902707; 240.896672; 240.632027; 240.575314; 240.564615; 240.410283; 240.113840; 240.179911; 240.169615; 240.098611; 240.599066; 240.775406; 240.699112; 240.801305; 240.957052; 241.031840; 241.090894; 241.576761; 241.998702; 242.135972; 242.316648; 242.711678; 243.075758; 243.381187; 243.905589; 244.114041; 244.302720; 244.536936; 244.640306; 244.645119; 244.777769; 244.788438; 244.536117; 244.363844; 244.461268; 244.387835; 244.343743; 244.251296; 244.098201; 243.963763; 243.992135; 243.976623; 243.711054; 243.469462; 243.372411; 243.316844; 243.103087; 243.132010; 243.177339; 243.373230; 243.419796; 243.076995; 243.056178; 243.101850; 242.731839; 242.100671; 241.300747; 240.996093; 240.847841; 240.788192; 241.154253; 241.447046; 241.427347; 241.356909; 240.999505; 240.833655; 240.780309; 240.618214; 240.455613; 240.792423; 241.264850; 241.992533; 242.295682; 242.511451; 242.382571; 241.618425; 241.337448; 241.010129; 240.877762; 240.801886; 240.523115; 240.396515; 240.426928; 239.864007; 239.456967; 239.342466; 239.202067; 239.381939; 239.026964; 238.842040; 238.955542; 238.984197; 239.115119; 239.110902; 239.117220; 239.268392; 239.182353; 239.031196; 239.594460; 239.662409; (); (); (); (); (); (); (); (); (); (); (); 
7887.1; 12:05:21; (); (); (); (); (); 243.572801; 240.402848; 240.651205; 240.412891; 240.387008; 240.397796; 240.354508; 240.345687; 240.516767; 240.447730; 240.613371; 240.677819; 241.058812; 241.373420; 241.638958; 241.701737; 241.721675; 241.893440; 242.469996; 242.740735; 243.066907; 243.437096; 243.822262; 244.243950; 244.460151; 244.407654; 244.434685; 244.449884; 244.710967; 244.776323; 244.895265; 245.127499; 245.100245; 244.866490; 244.788244; 244.594440; 244.588539; 244.656518; 244.532019; 244.435310; 244.200483; 244.032800; 243.787214; 243.139178; 242.593825; 242.338315; 242.331848; 242.338136; 242.322624; 242.361471; 242.368400; 242.186442; 241.867691; 241.695598; 241.810828; 242.011443; 242.229983; 242.446348; 243.309304; 243.961930; 243.786216; 243.778512; 243.638530; 243.607447; 243.411168; 243.399367; 243.759528; 244.061813; 244.302943; 244.102731; 243.995696; 243.796274; 243.504316; 243.256330; 243.226394; 243.185580; 242.840201; 242.655218; 242.595837; 242.544368; 242.657363; 242.365569; 241.911113; 241.394460; 241.053358; 240.760282; 240.478575; 239.975408; 239.825159; 239.593238; 239.790976; 240.130961; 240.384415; 240.563750; 240.583599; 240.511000; 240.791783; 240.973622; 241.106853; 241.623208; 242.224485; 242.579460; 242.882863; 243.044004; 243.215203; 243.349612; 243.644059; 243.777752; 244.137734; 244.572327; 244.613588; 244.571999; 244.474486; 244.616792; 244.502753; 243.822217; 243.446290; 243.489936; 243.567303; 243.613973; 243.351996; 242.852181; 242.504507; 241.852254; (); (); (); (); (); (); (); (); (); (); (); 
7889.4; 12:05:30; (); (); (); (); (); (); 244.645402; 244.768322; 244.766206; 244.935006; 245.091960; 244.967476; 244.877607; 245.067358; 244.806677; 244.659245; 244.645447; 244.654953; 244.609013; 244.613856; 244.784489; 245.119676; 245.004699; 244.974285; 244.942889; 244.821638; 244.540900; 244.218856; 243.860886; 243.875444; 243.772596; 243.715942; 244.109482; 244.469479; 244.570360; 244.184792; 243.823797; 244.050801; 244.136095; 243.939579; 243.843541; 244.385481; 244.662181; 244.731501; 245.005056; 245.317057; 245.108545; 244.682193; 244.484678; 244.716659; 244.868889; 244.870096; 244.770363; 244.647548; 244.603664; 244.547814; 244.248509; 243.968531; 243.849963; 243.477091; 243.156105; 243.373469; 243.328884; 242.947280; 242.583960; 242.457315; 242.129594; 241.982892; 241.887838; 241.922051; 241.892621; 241.902918; 242.237672; 242.250144; 242.302760; 242.569774; 242.905781; 243.353471; 243.748784; 244.171575; 244.675070; 244.943947; 245.092601; 245.579377; 245.791167; 246.345803; 246.827498; 246.837035; 246.804997; 246.764466; 246.211126; 245.681375; 245.736226; 245.987564; 245.667100; 245.339423; 245.318487; 245.327994; 245.005995; 244.788855; 244.401902; 244.061440; 244.114727; 244.385108; 244.485140; 244.992360; 245.571464; 245.063886; 245.435342; 245.712876; 245.757282; 245.622516; 245.252937; 245.458901; 245.864481; 246.078163; 246.384978; 246.455297; 246.321484; 246.091694; 245.894134; 245.876968; 245.881423; 245.344743; 245.253935; 245.242521; 245.469555; 245.745838; 245.295271; (); (); (); (); (); (); (); (); (); (); (); 
7891.7; 12:05:39; (); (); (); (); (); (); 249.367520; 249.125361; 249.027655; 248.854011; 248.589680; 248.302549; 248.119429; 247.568846; 247.053429; 246.661231; 246.206418; 245.558023; 245.085940; 244.764999; 244.547769; 244.450137; 244.291261; 244.168594; 244.344458; 244.169980; 244.014263; 244.100317; 244.237259; 244.486094; 244.581386; 244.838417; 245.179340; 245.238096; 245.304346; 245.442152; 245.443746; 245.675936; 245.803297; 245.763794; 246.088445; 246.070683; 245.908380; 246.080056; 246.202379; 245.921806; 245.616585; 245.247021; 245.174557; 244.897261; 244.537637; 244.100332; 243.658155; 243.290588; 242.602512; 242.082134; 241.969526; 241.943806; 241.769180; 241.807848; 241.846442; 241.850659; 241.896003; 241.668999; 241.383314; 241.238490; 241.495997; 241.559997; 241.587713; 241.774395; 241.901472; 242.251441; 242.525920; 242.648318; 242.609769; 242.739528; 243.018121; 243.396223; 243.761554; 244.419202; 244.995832; 245.333448; 245.362937; 245.352030; 245.919690; 246.458113; 246.520340; 246.531025; 246.597379; 246.918157; 247.183859; 246.947959; 246.566013; 246.285170; 245.855018; 245.726168; 245.572478; 245.694980; 245.847434; 245.417893; 245.287925; 245.284528; 245.078415; 244.926348; 244.454578; 244.027004; 243.917182; 243.785992; 243.813992; 244.022414; 244.017914; 243.783846; 243.633553; 243.567228; 243.423373; 243.238062; 243.186012; 242.972031; 242.432967; 242.210701; 242.371902; 242.467329; 242.673174; 242.652819; 242.410168; 242.094308; 242.027521; 241.823986; 241.615474; (); (); (); (); (); (); (); (); (); (); (); 
7894.0; 12:05:48; (); (); (); (); (); (); 240.606561; 240.519211; 240.354404; 240.436852; 240.439162; 240.358219; 240.205005; 240.226001; 240.450338; 240.891635; 241.191357; 241.624922; 241.916090; 241.943464; 242.209703; 242.735326; 243.647292; 243.952215; 244.035035; 244.288206; 244.530335; 244.862676; 245.333046; 245.617002; 245.792031; 245.861098; 245.883331; 246.099517; 246.375263; 246.158272; 245.592237; 245.107651; 245.005518; 244.802162; 244.651169; 244.764969; 244.631529; 244.662672; 244.506806; 244.373694; 244.497925; 244.468838; 243.837386; 243.180439; 242.795065; 242.803603; 242.897376; 242.740527; 242.621437; 242.279336; 241.924867; 241.976857; 241.723463; 241.436064; 241.323709; 241.005123; 240.947604; 241.264984; 241.444528; 241.868600; 242.128119; 241.920665; 242.140248; 242.502019; 242.914528; 243.128672; 242.910370; 242.611229; 242.848977; 243.182257; 243.313789; 243.340820; 243.611112; 244.070083; 244.359612; 244.461775; 244.873643; 245.259196; 245.528579; 245.733500; 246.066317; 246.394843; 246.819943; 247.006625; 246.888757; 247.064292; 246.838689; 246.600553; 246.211827; 246.061847; 246.140331; 246.052966; 245.897323; 245.887235; 245.921031; 245.879158; 245.840132; 245.737627; 245.840237; 245.920837; 245.610088; 245.459363; 245.329052; 245.117724; 244.697019; 244.499713; 244.536802; 244.647026; 244.996533; 245.287493; 245.364100; 244.995490; 244.540781; 244.220495; 243.915603; 244.036555; 244.057313; 244.278774; 244.494423; 244.629264; 244.523630; 244.123876; 243.159071; (); (); (); (); (); (); (); (); (); (); (); 
