Roll Number; 0
Recipe Name; FP 4556_184 GSM
Start Time; 2017-12-05; 11:21:29
File Name; D:\Mahlo\TR\171205112129FP 4556_184 GSM0_FMI2.txt

2050.8; 11:21:41; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 186.836362; 187.181562; 187.643692; 188.037142; 188.372165; 188.618302; 188.778788; 188.927740; 188.970208; 188.899130; 189.047575; 189.224347; 189.344391; 189.469799; 189.673901; 189.877570; 189.719707; 189.698592; 189.832836; 189.861402; 189.954206; 189.983472; 190.040216; 190.152362; 190.300316; 190.527409; 190.950111; 191.219866; 191.449329; 191.513360; 191.521585; 191.507578; 191.314906; 191.035792; 190.994009; 190.690592; 190.518692; 190.366283; 190.313980; 190.375745; 190.474272; 190.434888; 190.244496; 190.206438; 190.145135; 189.927801; 189.767703; 189.623311; 189.536557; 189.218268; 189.170226; 189.114958; 189.005539; 188.906357; 188.760847; 188.554406; 188.376755; 188.636079; 188.833535; 189.076111; 189.637184; 190.082267; 190.367833; 190.670237; 191.034138; 191.376984; 191.613331; 191.911593; 192.255929; 192.485660; 192.426994; 192.156687; 191.699818; 191.404447; 191.235617; 190.995216; 190.668836; 190.387189; 190.173686; 190.028965; 189.878359; 189.607441; 189.253971; 188.905448; 188.549891; 188.551664; 188.868359; 188.959688; 188.977003; 188.792303; 188.744038; 188.822061; 188.628554; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2056.2; 11:21:50; (); (); (); (); (); (); (); (); (); 185.881719; 186.178744; 186.390862; 186.664745; 187.171549; 187.569723; 187.987342; 188.436434; 188.832298; 189.397767; 189.745098; 190.223768; 190.626800; 191.068068; 191.737145; 192.022562; 192.184344; 192.257002; 192.056552; 191.671029; 191.265941; 190.854132; 190.424606; 190.019190; 189.881459; 189.955443; 189.934030; 189.796403; 189.595848; 189.353302; 189.301223; 189.187050; 189.233631; 189.345360; 189.615145; 189.834327; 189.942643; 190.032378; 190.102682; 190.061659; 189.755633; 189.498588; 189.228266; 188.994572; 188.847065; 188.633427; 188.501388; 188.385129; 188.281998; 188.072458; 188.052937; 188.046426; 188.085005; 188.132703; 188.229591; 188.297942; 188.491315; 188.507035; 188.405216; 188.327059; 188.499421; 188.620076; 188.621536; 188.856274; 189.209953; 189.573601; 189.858541; 190.134361; 190.281034; 190.466434; 190.829948; 191.098958; 191.643178; 192.006543; 192.380235; 192.626506; 192.675948; 192.603454; 192.601085; 192.513362; 192.266002; 191.941082; 191.553414; 191.416621; 191.289023; 190.959707; 190.572128; 190.106660; 189.726263; 189.433172; 189.348251; 189.508229; 189.650238; 189.536959; 189.320236; 189.110041; 189.057603; 189.075321; 189.026773; 188.937530; 188.988522; 189.172253; 189.332664; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2060.2; 11:21:59; (); (); (); (); (); (); (); (); (); 189.499050; 189.564005; 189.676940; 189.890668; 189.928085; 189.877391; 189.589515; 189.438075; 189.418346; 189.418599; 189.274818; 189.131632; 189.080492; 188.982233; 188.715994; 188.699141; 188.642472; 188.487858; 188.191161; 187.984198; 187.787518; 187.950194; 188.043863; 187.937111; 187.872320; 187.907860; 188.008487; 188.153863; 188.230395; 188.186899; 188.071072; 187.970325; 187.969208; 188.076749; 188.362509; 188.594162; 188.698411; 188.717678; 188.953549; 189.245716; 189.287961; 189.245522; 189.385086; 189.528540; 189.612761; 189.642355; 189.807907; 189.903304; 189.877078; 189.845413; 189.719707; 189.499557; 189.409956; 189.280987; 189.293191; 189.661175; 189.856291; 189.912125; 190.008596; 190.369055; 190.846741; 191.184461; 191.804051; 192.399427; 192.841575; 193.425074; 194.096059; 194.759279; 195.282027; 195.435658; 195.482999; 195.433676; 195.494443; 195.489511; 195.225000; 194.956630; 194.758773; 194.475994; 194.079891; 193.509683; 193.113074; 192.866430; 192.344889; 191.984251; 191.813007; 191.635892; 191.504776; 191.237554; 190.883443; 190.706819; 190.442696; 189.954877; 189.345926; 188.951463; 188.812867; 188.284472; 187.661245; 187.522262; 187.399030; 187.278971; 187.134713; 187.312722; 187.888861; 188.726261; 189.605132; 190.290719; 191.092804; 191.402599; 191.117033; 190.231472; 189.568430; 189.113826; 188.748837; 188.499466; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2064.5; 11:22:07; (); (); (); (); (); (); (); (); (); 189.912155; 189.734653; 189.595923; 189.421266; 189.272836; 189.245418; 189.312816; 189.145327; 189.109564; 189.100549; 189.151958; 189.188227; 189.246476; 189.444557; 189.580470; 189.817578; 189.724416; 189.619452; 189.595491; 189.660564; 189.706013; 189.572841; 189.503610; 189.476192; 189.612061; 189.624637; 189.536825; 189.259604; 188.974097; 188.899979; 189.092502; 189.323500; 189.648002; 189.907074; 190.074310; 190.142944; 190.303445; 190.558553; 190.703794; 190.566570; 190.359682; 190.121189; 189.915523; 189.782053; 189.468727; 188.905686; 188.458696; 188.020602; 187.747329; 187.523261; 187.198043; 187.039226; 186.875582; 186.678052; 186.515078; 186.609015; 186.759531; 186.992168; 187.117368; 187.244684; 187.546521; 188.016146; 188.520521; 188.969374; 189.542934; 190.171078; 190.644354; 191.023022; 191.507444; 191.867471; 191.921905; 192.041010; 192.204431; 192.380860; 192.538261; 192.577019; 192.462534; 192.282900; 191.860512; 191.283643; 190.756679; 190.423787; 190.087140; 189.621076; 189.329535; 189.422265; 189.382121; 189.305782; 189.383045; 189.662576; 189.716503; 189.879388; 190.123960; 190.362081; 190.535769; 190.601110; 190.627769; 190.767944; 190.977827; 191.235036; 191.306621; 191.411749; 191.412210; 191.225648; 190.512761; 189.993262; 189.652205; 189.471141; 189.404577; 189.348400; 189.288974; 189.176068; 189.011395; 188.499466; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2068.5; 11:22:16; (); (); (); (); (); (); (); (); (); 187.905267; 187.895283; 187.935472; 188.175261; 188.427836; 188.392431; 188.379481; 188.410193; 188.375786; 188.469306; 188.512534; 188.396946; 188.160315; 187.806100; 187.575281; 187.626854; 187.604830; 187.510356; 187.264234; 187.072992; 187.112838; 187.270477; 187.352091; 187.521100; 187.610194; 187.733307; 187.739164; 188.074186; 188.383579; 188.746959; 188.997313; 188.918009; 188.946962; 188.958183; 188.848957; 188.832805; 188.798755; 188.927785; 189.019725; 189.007118; 188.853130; 188.843668; 189.014524; 189.189762; 189.084217; 188.995779; 189.278454; 189.472452; 189.556569; 189.756095; 189.659655; 189.346001; 189.035863; 188.860029; 188.702628; 188.666239; 188.539594; 188.152447; 187.875390; 188.066319; 188.435152; 188.659832; 188.878149; 189.285278; 189.601064; 190.036654; 190.699741; 191.354975; 192.010313; 192.620739; 193.200096; 193.896770; 194.666773; 195.379779; 195.650637; 195.669845; 195.754245; 195.910856; 195.865989; 195.570871; 195.333317; 195.095018; 194.843367; 194.560543; 194.128588; 193.545431; 192.859128; 192.158535; 191.638023; 191.382810; 191.126436; 190.744162; 190.399513; 190.135360; 190.306246; 190.342799; 190.200180; 189.928949; 189.755529; 189.590260; 189.432129; 189.484686; 189.561576; 189.711004; 189.664930; 189.555153; 189.308763; 189.484149; 189.215332; 188.470796; 188.074440; 187.659934; 187.772557; 188.499466; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2072.9; 11:22:25; (); (); (); (); (); (); (); (); (); 187.974304; 187.891856; 187.817052; 187.779978; 187.653273; 187.557176; 187.574461; 187.695995; 187.596098; 187.456533; 187.526137; 187.730014; 187.915251; 188.156322; 188.641563; 188.988939; 189.114362; 189.121470; 189.237982; 189.371482; 189.381108; 189.343691; 189.328998; 189.410776; 189.471632; 189.572304; 189.552560; 189.367026; 189.262658; 188.966230; 188.731149; 188.842058; 189.088717; 189.184248; 189.436182; 189.812541; 190.141052; 190.377265; 190.587372; 190.668195; 190.586224; 190.550223; 190.644085; 190.564737; 190.299258; 189.930946; 189.583570; 189.246193; 189.024225; 188.773453; 188.417450; 188.019902; 187.492758; 187.251747; 187.150061; 187.110990; 187.125280; 187.187299; 187.482983; 188.023239; 188.815922; 189.382792; 189.959794; 190.648183; 191.119254; 191.770628; 192.361861; 192.977250; 193.591684; 194.107190; 194.758087; 195.210248; 195.404515; 195.617363; 195.724502; 195.755050; 195.844457; 195.904598; 195.833758; 195.857018; 195.939794; 196.016818; 195.850000; 195.430487; 195.041373; 194.706947; 194.370642; 193.923682; 193.395376; 192.915902; 192.279130; 191.799730; 191.432059; 191.149235; 190.827653; 190.375701; 189.971820; 189.802870; 189.793721; 189.788982; 189.651802; 189.592153; 189.748108; 189.961791; 190.284267; 190.702856; 191.003487; 191.000476; 190.896913; 190.879613; 190.953419; 191.075668; 191.173106; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2076.9; 11:22:34; (); (); (); (); (); (); (); (); (); 183.130398; 183.605269; 184.238747; 184.619799; 184.753940; 184.957504; 185.320050; 185.564801; 185.966551; 186.372533; 186.824411; 187.596992; 188.349277; 188.929170; 189.425111; 189.620003; 189.714745; 189.498663; 189.426675; 189.525709; 189.608395; 189.537823; 189.551368; 189.559728; 189.661056; 189.743727; 189.570934; 189.440697; 189.573914; 189.609155; 189.842850; 189.814836; 189.785346; 189.773202; 189.657971; 189.694092; 189.927444; 190.220982; 190.309376; 190.205693; 190.136090; 190.077424; 190.037474; 189.995304; 190.107718; 190.126106; 190.211564; 190.543294; 190.662801; 190.907419; 190.966636; 190.877199; 190.589815; 190.489322; 190.422654; 190.309703; 190.371737; 190.315768; 190.279171; 190.310642; 190.434262; 190.726057; 190.978125; 191.380098; 191.533759; 191.792205; 192.103282; 192.566738; 192.965016; 193.328753; 193.850979; 194.312066; 194.578439; 194.720656; 194.685236; 194.495529; 194.434285; 194.394693; 194.289356; 193.900093; 193.409562; 192.849085; 192.126572; 191.443652; 190.953836; 190.326869; 189.805314; 189.445466; 189.162895; 188.982800; 188.807935; 188.652918; 188.528359; 188.394591; 188.587338; 188.732788; 189.156368; 189.523816; 189.766914; 189.802527; 189.893588; 189.934283; 189.783290; 189.319834; 188.474104; 187.783644; 187.054664; 187.022373; 187.391549; 187.781543; 188.071087; 188.632235; 189.301461; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2081.2; 11:22:42; (); (); (); (); (); (); (); (); (); 187.841758; 187.175140; 186.938420; 186.924517; 186.983362; 187.075868; 187.243059; 187.326357; 187.419966; 187.703162; 187.887266; 187.781021; 187.887341; 188.402057; 189.118937; 189.696074; 190.130517; 190.314740; 190.370858; 190.573350; 190.914914; 191.116109; 191.289663; 191.269368; 191.015482; 190.796018; 190.935060; 191.057175; 190.792248; 190.644488; 190.646648; 190.777972; 191.119313; 191.560745; 191.628456; 191.531733; 191.399023; 191.179171; 191.042215; 191.005856; 190.956384; 190.807894; 190.840751; 190.903425; 190.825313; 190.600783; 190.635130; 190.543473; 190.363616; 190.300614; 190.216541; 190.258786; 190.384537; 190.455407; 190.537333; 190.626979; 190.683916; 190.630674; 190.360352; 190.219432; 190.133020; 189.859495; 189.684570; 189.556837; 189.505249; 189.710185; 189.916894; 190.112993; 190.224096; 190.313756; 190.475956; 190.607563; 190.952629; 191.503331; 191.873983; 192.236289; 192.486182; 192.609444; 192.916751; 193.305925; 193.506822; 193.513766; 193.424881; 193.288416; 193.232626; 193.289131; 193.128005; 192.453459; 192.350358; 192.092523; 191.748992; 191.718176; 191.919118; 191.765621; 191.505447; 191.207588; 190.960854; 190.959260; 190.915838; 190.720111; 190.619856; 190.902710; 191.381693; 191.251978; 191.673353; 192.097440; 192.061067; 191.867337; 191.807196; 191.748977; 191.760346; 191.933513; 191.879541; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2085.1; 11:22:52; (); (); (); (); (); (); (); (); (); 187.563002; 187.554523; 187.730953; 187.985480; 188.125893; 188.277900; 188.251019; 188.146874; 188.218132; 188.226297; 188.385367; 188.500389; 188.918740; 189.280048; 189.481750; 189.749628; 189.861402; 189.762086; 189.627603; 189.579174; 189.433411; 189.560592; 189.855874; 190.001309; 190.052733; 190.006629; 189.943239; 189.637899; 189.361885; 189.172164; 189.251661; 189.397901; 189.447314; 189.451501; 189.461172; 189.609140; 189.651251; 189.621747; 189.472243; 189.399466; 189.181238; 189.119130; 189.169183; 189.240381; 189.150274; 188.879862; 188.630253; 188.657299; 188.672587; 188.610882; 188.468888; 188.392922; 188.388959; 188.372120; 188.363567; 188.488647; 188.550428; 188.499883; 188.370183; 188.575044; 188.819870; 189.266860; 189.830050; 190.154403; 190.653071; 191.228837; 191.758230; 192.210004; 192.802161; 193.207517; 193.621770; 194.217235; 194.884226; 195.534989; 195.880592; 195.972055; 195.797399; 195.637584; 195.674479; 195.411578; 195.158452; 194.720671; 194.125026; 193.531260; 193.043739; 192.514941; 191.826373; 191.258460; 190.848485; 190.625340; 190.378726; 190.276846; 189.882636; 189.700514; 189.790010; 189.593598; 189.507499; 189.730167; 190.083638; 190.327257; 190.570965; 190.804467; 191.072226; 191.196635; 191.147029; 190.871477; 190.185115; 189.786658; 189.630404; 189.606532; 189.415783; 189.345419; 189.667553; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2089.5; 11:23:00; (); (); (); (); (); (); (); (); (); 189.169735; 189.282164; 189.123794; 188.916177; 188.787982; 188.702375; 188.590094; 188.569769; 188.620850; 188.621372; 188.506648; 188.533515; 188.642323; 188.676596; 188.852936; 188.880101; 189.058110; 189.175248; 189.204156; 189.276010; 189.376414; 189.453751; 189.412996; 189.478144; 189.857915; 190.099463; 190.202489; 190.200731; 190.430626; 190.495700; 190.391287; 190.371200; 190.452993; 190.582037; 190.560356; 190.599978; 190.696612; 190.707505; 190.427959; 189.937055; 189.451054; 189.163730; 188.918799; 188.554645; 188.338578; 188.078493; 187.779710; 187.486112; 187.609062; 187.841043; 188.012466; 188.021883; 188.176647; 188.555956; 188.978583; 189.481765; 189.839259; 190.047354; 190.470263; 190.773487; 191.122130; 191.332474; 191.500276; 191.554949; 191.579312; 191.768378; 192.066878; 192.007080; 192.020297; 192.001075; 192.082524; 192.514330; 192.849904; 192.925289; 193.144113; 193.231404; 193.365559; 193.260580; 193.079278; 192.968905; 192.821160; 192.854747; 193.047747; 192.959547; 192.800909; 192.660898; 192.276299; 191.922575; 191.592574; 191.362441; 191.473916; 191.519290; 191.742107; 191.918194; 192.221463; 192.287728; 192.166284; 192.084655; 192.199603; 192.354739; 192.431882; 192.673147; 192.782477; 192.869037; 192.754194; 192.431912; 192.413747; 192.509532; 192.532659; 192.318723; 192.184731; 192.037672; 191.931441; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2093.5; 11:23:09; (); (); (); (); (); (); (); (); (); 187.082931; 187.101737; 187.089831; 187.094212; 187.176734; 187.344462; 187.390938; 187.524304; 187.489435; 187.428683; 187.586188; 187.770888; 187.989950; 188.497022; 188.954711; 189.242586; 189.340249; 189.541608; 189.743936; 189.768553; 189.684913; 189.737096; 189.700007; 190.001324; 190.393776; 190.817341; 191.088706; 191.134453; 190.814257; 190.406054; 190.175593; 190.370560; 190.614715; 190.985128; 191.428229; 191.582710; 191.540703; 191.589460; 191.526070; 191.393107; 190.935031; 190.500408; 190.195516; 190.082207; 190.091401; 190.067738; 189.769313; 189.480275; 189.175323; 189.043522; 189.192995; 189.633146; 189.870402; 189.832613; 189.708859; 189.780325; 190.054968; 190.187246; 190.315500; 190.698981; 191.120252; 191.364795; 191.479325; 191.638917; 191.799924; 191.930577; 191.783890; 191.734657; 191.814482; 192.055926; 192.246944; 192.516148; 193.010569; 193.388000; 193.350554; 193.109021; 193.087116; 193.044052; 192.887515; 192.627653; 192.196816; 192.067683; 191.964567; 191.930816; 191.709608; 191.485167; 191.227049; 190.894336; 190.735608; 190.868556; 191.133797; 191.302210; 191.338837; 191.400677; 191.502497; 191.743881; 191.806853; 191.772476; 191.770732; 191.843212; 191.940919; 191.766471; 191.536650; 190.845832; 190.322980; 189.966649; 190.269098; 190.819710; 190.899402; 191.118658; 191.233188; 191.828787; 191.880181; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
