Roll Number; 0
Recipe Name; FP 4556_184 GSM
Start Time; 2017-12-05; 11:27:51
File Name; D:\Mahlo\TR\171205112751FP 4556_184 GSM0_XMF2.txt

2231.5; 11:28:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.839332; 1.839999; 1.840401; 1.841576; 1.840612; 1.836115; 1.830759; 1.825739; 1.818712; 1.812403; 1.807663; 1.805574; 1.804889; 1.801254; 1.798026; 1.789246; 1.777758; 1.768613; 1.759313; 1.750756; 1.747322; 1.744024; 1.741676; 1.743450; 1.744266; 1.744886; 1.742360; 1.739848; 1.736743; 1.729139; 1.723791; 1.720508; 1.716528; 1.711395; 1.702760; 1.690621; 1.680429; 1.669613; 1.656869; 1.646438; 1.635714; 1.626193; 1.619944; 1.617955; 1.620057; 1.623003; 1.629587; 1.636796; 1.647051; 1.660022; 1.673558; 1.685915; 1.700084; 1.711881; 1.720118; 1.729710; 1.736621; 1.740174; 1.743230; 1.748699; 1.754439; 1.757491; 1.758097; 1.756086; 1.753160; 1.752351; 1.755887; 1.754780; 1.752247; 1.755348; 1.759232; 1.763653; 1.769110; 1.774634; 1.777344; 1.778110; 1.777573; 1.780436; 1.785004; 1.789655; 1.793235; 1.792865; 1.793083; 1.796679; 1.798545; 1.799519; 1.801051; 1.801470; 1.799820; 1.796963; 1.799186; 1.798767; 1.796125; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2237.1; 11:28:11; (); (); (); (); (); (); (); (); (); 1.864830; 1.862507; 1.860075; 1.852721; 1.845033; 1.838383; 1.833230; 1.827834; 1.818867; 1.813498; 1.809774; 1.807898; 1.805133; 1.803398; 1.802991; 1.802512; 1.800654; 1.798964; 1.801151; 1.804622; 1.808425; 1.812415; 1.815708; 1.821128; 1.823231; 1.822085; 1.820001; 1.818857; 1.816736; 1.812958; 1.809437; 1.806195; 1.802292; 1.799241; 1.794143; 1.787441; 1.779099; 1.769018; 1.757435; 1.748011; 1.737370; 1.729960; 1.719752; 1.713900; 1.707682; 1.700703; 1.692395; 1.689737; 1.688087; 1.688611; 1.688740; 1.692348; 1.695731; 1.700629; 1.702918; 1.708565; 1.709659; 1.713680; 1.716817; 1.722285; 1.730250; 1.741359; 1.746087; 1.747577; 1.745416; 1.749432; 1.750569; 1.754268; 1.757466; 1.763610; 1.766996; 1.773971; 1.777892; 1.782832; 1.785850; 1.786142; 1.786077; 1.787868; 1.789231; 1.792711; 1.792855; 1.794853; 1.797855; 1.803032; 1.806186; 1.809700; 1.809404; 1.807863; 1.804681; 1.802281; 1.801928; 1.798705; 1.797366; 1.796213; 1.796222; 1.797258; 1.796963; 1.793907; 1.788099; 1.782335; 1.776115; 1.774706; 1.776254; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2241.0; 11:28:21; (); (); (); (); (); (); (); (); (); 1.864830; 1.801669; 1.807024; 1.810324; 1.807365; 1.809306; 1.805957; 1.805273; 1.804766; 1.803369; 1.810456; 1.813555; 1.821917; 1.819394; 1.822275; 1.821750; 1.821341; 1.818446; 1.817504; 1.819715; 1.817087; 1.820850; 1.826085; 1.828826; 1.833539; 1.834276; 1.832900; 1.829745; 1.826511; 1.821237; 1.818719; 1.816659; 1.815616; 1.813750; 1.812229; 1.812472; 1.811773; 1.807203; 1.802323; 1.794655; 1.785847; 1.774384; 1.763448; 1.750691; 1.739313; 1.726074; 1.714463; 1.704655; 1.696123; 1.687568; 1.677894; 1.667491; 1.658022; 1.648933; 1.645046; 1.641801; 1.646629; 1.655309; 1.669990; 1.687653; 1.701788; 1.712027; 1.721719; 1.730835; 1.742809; 1.753954; 1.760534; 1.766501; 1.772643; 1.776320; 1.781294; 1.780888; 1.776876; 1.769173; 1.763032; 1.754703; 1.748447; 1.742687; 1.739588; 1.736395; 1.734884; 1.735525; 1.738950; 1.743103; 1.747454; 1.752280; 1.758388; 1.763646; 1.769862; 1.775042; 1.781772; 1.788869; 1.793367; 1.792959; 1.793481; 1.793509; 1.794080; 1.792871; 1.793275; 1.791771; 1.790454; 1.790875; 1.789141; 1.785903; 1.789420; 1.791639; 1.789050; 1.781273; 1.773883; 1.764766; 1.753462; 1.745190; 1.736314; 1.731587; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2245.4; 11:28:29; (); (); (); (); (); (); (); (); (); (); 1.869092; 1.861375; 1.850291; 1.839591; 1.831953; 1.824862; 1.818648; 1.808264; 1.796400; 1.785521; 1.777237; 1.768966; 1.764788; 1.761040; 1.756856; 1.756049; 1.756938; 1.756283; 1.757942; 1.758038; 1.761116; 1.766381; 1.776460; 1.786942; 1.796684; 1.803129; 1.805197; 1.802777; 1.796903; 1.793888; 1.791982; 1.789922; 1.791492; 1.793063; 1.793600; 1.789513; 1.781572; 1.775015; 1.768236; 1.757370; 1.748235; 1.744277; 1.743108; 1.741273; 1.735413; 1.726216; 1.717697; 1.710351; 1.705761; 1.702453; 1.703130; 1.705397; 1.707045; 1.709570; 1.713569; 1.716205; 1.718005; 1.722131; 1.730879; 1.739169; 1.745567; 1.752546; 1.756551; 1.759219; 1.763796; 1.767380; 1.769396; 1.771865; 1.774262; 1.776898; 1.780069; 1.782060; 1.782040; 1.781465; 1.778154; 1.777202; 1.778967; 1.781752; 1.787342; 1.793301; 1.799138; 1.803896; 1.809442; 1.814667; 1.815972; 1.815277; 1.811781; 1.812977; 1.809711; 1.814844; 1.815554; 1.809997; 1.806439; 1.798044; 1.794153; 1.784145; 1.776061; 1.765222; 1.753480; 1.745159; 1.738474; 1.731447; 1.713570; 1.707878; 1.696492; 1.693171; 1.691009; 1.686496; 1.684671; 1.673862; 1.667476; 1.656267; 1.653169; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2249.4; 11:28:38; (); (); (); (); (); (); (); (); (); (); 1.772789; 1.783613; 1.788899; 1.791199; 1.796548; 1.795937; 1.797330; 1.796494; 1.796926; 1.801126; 1.814617; 1.826292; 1.828245; 1.835483; 1.831818; 1.832185; 1.828483; 1.826897; 1.826148; 1.821903; 1.824723; 1.827908; 1.835088; 1.839581; 1.843539; 1.842129; 1.840249; 1.838621; 1.831579; 1.823786; 1.817814; 1.810048; 1.801877; 1.797589; 1.792843; 1.788211; 1.781089; 1.773907; 1.761946; 1.749110; 1.738204; 1.725778; 1.713446; 1.705481; 1.699945; 1.693115; 1.687931; 1.681438; 1.675428; 1.671297; 1.666417; 1.665001; 1.663323; 1.665034; 1.668917; 1.675114; 1.681237; 1.688070; 1.696990; 1.702751; 1.706441; 1.712690; 1.717758; 1.721851; 1.726469; 1.729672; 1.731730; 1.733051; 1.735127; 1.735949; 1.738190; 1.738843; 1.740370; 1.741127; 1.745291; 1.749924; 1.752658; 1.755696; 1.757550; 1.761853; 1.768471; 1.772174; 1.776754; 1.780830; 1.784118; 1.784713; 1.785923; 1.790235; 1.793921; 1.795287; 1.796936; 1.799130; 1.802090; 1.805189; 1.806112; 1.804562; 1.804383; 1.800355; 1.794095; 1.788692; 1.783985; 1.779401; 1.776542; 1.769658; 1.758050; 1.747832; 1.751844; 1.755925; 1.759078; 1.758887; 1.764021; 1.772441; 1.778844; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2253.7; 11:28:46; (); (); (); (); (); (); (); (); (); (); 1.863193; 1.868179; 1.869584; 1.869842; 1.869066; 1.867370; 1.864676; 1.862819; 1.863004; 1.865447; 1.866013; 1.863991; 1.861438; 1.858979; 1.855795; 1.851104; 1.845098; 1.840103; 1.835869; 1.833289; 1.832392; 1.833684; 1.834062; 1.832701; 1.829011; 1.826694; 1.825167; 1.821351; 1.812904; 1.803175; 1.794520; 1.788146; 1.786035; 1.783712; 1.782309; 1.778385; 1.773708; 1.766315; 1.758703; 1.752822; 1.751237; 1.747852; 1.749080; 1.749259; 1.755085; 1.759094; 1.761189; 1.758994; 1.757954; 1.752084; 1.748854; 1.745576; 1.746904; 1.748815; 1.751639; 1.753066; 1.756665; 1.755753; 1.760314; 1.763034; 1.766559; 1.767715; 1.768933; 1.769797; 1.772119; 1.773276; 1.772160; 1.768534; 1.764975; 1.761078; 1.759353; 1.757800; 1.756345; 1.753087; 1.752781; 1.754490; 1.759016; 1.761985; 1.766589; 1.773955; 1.785417; 1.796784; 1.809022; 1.820494; 1.829926; 1.835560; 1.840069; 1.843623; 1.841217; 1.838483; 1.832036; 1.827009; 1.819568; 1.811016; 1.800618; 1.785071; 1.774789; 1.760656; 1.747518; 1.731400; 1.714330; 1.700986; 1.690484; 1.686461; 1.678241; 1.680113; 1.676050; 1.672149; 1.671060; 1.666882; 1.666475; 1.659636; 1.660777; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2257.7; 11:28:56; (); (); (); (); (); (); (); (); (); (); 1.774992; 1.783077; 1.791958; 1.790543; 1.794630; 1.789151; 1.789408; 1.789653; 1.789127; 1.792877; 1.798841; 1.808963; 1.810704; 1.814783; 1.809788; 1.805658; 1.800695; 1.792687; 1.791690; 1.784965; 1.787843; 1.785889; 1.783739; 1.783609; 1.780705; 1.778604; 1.771519; 1.765295; 1.759132; 1.757033; 1.756309; 1.762839; 1.769857; 1.774317; 1.776636; 1.777134; 1.777277; 1.778553; 1.777542; 1.773012; 1.767258; 1.761693; 1.756539; 1.750249; 1.744254; 1.737784; 1.729153; 1.722134; 1.716902; 1.715361; 1.710658; 1.705670; 1.698523; 1.694796; 1.695925; 1.700144; 1.704555; 1.710351; 1.721549; 1.729660; 1.737888; 1.742084; 1.746404; 1.751112; 1.755241; 1.762511; 1.772453; 1.781851; 1.787328; 1.791863; 1.795935; 1.801113; 1.805977; 1.806146; 1.806509; 1.804254; 1.800748; 1.796094; 1.794994; 1.794533; 1.793572; 1.795816; 1.799296; 1.804215; 1.804855; 1.801375; 1.797781; 1.791563; 1.788661; 1.788407; 1.786139; 1.784256; 1.781764; 1.773596; 1.765687; 1.759738; 1.753323; 1.744313; 1.740331; 1.740865; 1.744904; 1.752874; 1.754926; 1.757812; 1.759237; 1.753143; 1.747095; 1.738971; 1.727607; 1.716796; 1.715828; 1.719551; 1.723154; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2278.7; 11:29:40; (); (); (); (); (); (); (); (); (); (); 1.954472; 1.946441; 1.934234; 1.925901; 1.921523; 1.915724; 1.907795; 1.902142; 1.893938; 1.884644; 1.874475; 1.867018; 1.859800; 1.849795; 1.836324; 1.825912; 1.820155; 1.817544; 1.813215; 1.807385; 1.803355; 1.803645; 1.804360; 1.803167; 1.798730; 1.793916; 1.788153; 1.782853; 1.777840; 1.775882; 1.772971; 1.770083; 1.765479; 1.761487; 1.756738; 1.751054; 1.744323; 1.737344; 1.728403; 1.720433; 1.713114; 1.706633; 1.698286; 1.695708; 1.693330; 1.686626; 1.679280; 1.674251; 1.670347; 1.669474; 1.667619; 1.664149; 1.660744; 1.661935; 1.667416; 1.675137; 1.686931; 1.699390; 1.709322; 1.720373; 1.734259; 1.742165; 1.748447; 1.750437; 1.751108; 1.756220; 1.765390; 1.774579; 1.782273; 1.784898; 1.785389; 1.784511; 1.782648; 1.783185; 1.783838; 1.783518; 1.786919; 1.790678; 1.798927; 1.806894; 1.812457; 1.813533; 1.813827; 1.814560; 1.815700; 1.814280; 1.812449; 1.809891; 1.808900; 1.809592; 1.812582; 1.812227; 1.809406; 1.806469; 1.803955; 1.800608; 1.800254; 1.799582; 1.799659; 1.798644; 1.798865; 1.795950; 1.790170; 1.788528; 1.788437; 1.783589; 1.776479; 1.770709; 1.765798; 1.760150; 1.757311; 1.751865; 1.749843; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2282.9; 11:29:48; (); (); (); (); (); (); (); (); (); (); 1.850416; 1.847122; 1.844060; 1.843367; 1.841860; 1.839768; 1.838294; 1.836441; 1.835685; 1.833098; 1.829175; 1.828206; 1.826354; 1.821855; 1.819280; 1.812985; 1.806536; 1.803385; 1.797032; 1.792013; 1.787332; 1.786650; 1.787169; 1.787326; 1.786991; 1.785811; 1.782828; 1.779228; 1.775005; 1.766113; 1.760575; 1.756669; 1.752631; 1.747785; 1.746765; 1.746993; 1.742261; 1.730911; 1.721004; 1.710440; 1.705540; 1.701140; 1.699099; 1.699196; 1.703817; 1.707661; 1.711700; 1.711481; 1.711652; 1.707773; 1.704060; 1.698766; 1.697989; 1.695975; 1.698985; 1.696789; 1.698987; 1.699882; 1.705380; 1.710376; 1.714897; 1.720138; 1.728603; 1.734193; 1.738673; 1.741684; 1.748757; 1.755205; 1.760922; 1.763908; 1.770316; 1.771810; 1.772600; 1.770019; 1.769002; 1.770580; 1.773109; 1.775533; 1.781098; 1.788404; 1.797440; 1.803530; 1.812581; 1.821846; 1.829162; 1.833868; 1.838997; 1.843944; 1.849153; 1.853788; 1.852327; 1.851581; 1.847039; 1.840618; 1.837822; 1.824556; 1.814062; 1.789935; 1.769041; 1.753474; 1.732017; 1.717418; 1.700634; 1.688097; 1.670100; 1.666544; 1.655362; 1.643216; 1.637373; 1.622002; 1.614913; 1.607775; 1.612888; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2286.8; 11:29:57; (); (); (); (); (); (); (); (); (); (); 1.815415; 1.813764; 1.812424; 1.805717; 1.806551; 1.801815; 1.799404; 1.793688; 1.785804; 1.789457; 1.782748; 1.785853; 1.779477; 1.779644; 1.776076; 1.772252; 1.772108; 1.769293; 1.768092; 1.763061; 1.763681; 1.766343; 1.771655; 1.777337; 1.780000; 1.783055; 1.782672; 1.782706; 1.782161; 1.781927; 1.782159; 1.780525; 1.780440; 1.781694; 1.781492; 1.779308; 1.773021; 1.765424; 1.753633; 1.740419; 1.724035; 1.712075; 1.705544; 1.701045; 1.697005; 1.691684; 1.683367; 1.676982; 1.670933; 1.666105; 1.661792; 1.659969; 1.660230; 1.664234; 1.668851; 1.677928; 1.686497; 1.691713; 1.694269; 1.699587; 1.707692; 1.718520; 1.727743; 1.736110; 1.742382; 1.748176; 1.754800; 1.759627; 1.762545; 1.768353; 1.770123; 1.766475; 1.764110; 1.763317; 1.759063; 1.752625; 1.745746; 1.739961; 1.741039; 1.744182; 1.748059; 1.751348; 1.758198; 1.765749; 1.770092; 1.775975; 1.783927; 1.790738; 1.798968; 1.807601; 1.816466; 1.823192; 1.827219; 1.824886; 1.820616; 1.815210; 1.808590; 1.801484; 1.794747; 1.788847; 1.780707; 1.769962; 1.751546; 1.740175; 1.732448; 1.732932; 1.729398; 1.728482; 1.729507; 1.728547; 1.734560; 1.735389; 1.734863; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2291.2; 11:30:06; (); (); (); (); (); (); (); (); (); (); 1.800579; 1.791964; 1.790771; 1.788913; 1.786994; 1.786721; 1.786213; 1.785453; 1.786338; 1.785668; 1.782647; 1.781842; 1.781223; 1.782194; 1.783982; 1.787391; 1.789637; 1.788958; 1.788448; 1.789836; 1.791585; 1.794721; 1.797636; 1.797645; 1.798087; 1.799669; 1.799787; 1.799396; 1.796922; 1.792583; 1.790482; 1.786692; 1.785757; 1.784081; 1.780879; 1.775709; 1.765171; 1.750780; 1.740462; 1.729221; 1.717700; 1.705348; 1.697362; 1.691139; 1.689932; 1.689399; 1.689949; 1.689126; 1.689595; 1.687354; 1.687317; 1.689254; 1.695261; 1.700934; 1.707334; 1.714771; 1.724553; 1.731717; 1.739327; 1.743796; 1.746099; 1.746021; 1.746015; 1.745753; 1.748671; 1.748377; 1.749417; 1.750605; 1.750759; 1.751691; 1.753224; 1.753223; 1.751221; 1.749220; 1.748358; 1.747865; 1.749476; 1.753935; 1.758740; 1.763729; 1.771560; 1.780820; 1.789384; 1.795154; 1.798623; 1.799168; 1.801437; 1.805643; 1.804537; 1.806266; 1.803475; 1.798771; 1.791541; 1.782953; 1.779124; 1.766081; 1.756447; 1.741400; 1.732799; 1.716441; 1.699126; 1.684559; 1.660982; 1.649571; 1.630872; 1.627523; 1.623073; 1.613822; 1.609794; 1.595159; 1.588959; 1.575594; 1.569935; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
