Roll Number; 0
Recipe Name; FP 4556_184 GSM
Start Time; 2017-12-05; 11:27:51
File Name; D:\Mahlo\TR\171205112751FP 4556_184 GSM0_THICKNESS2.txt

2231.5; 11:28:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.471457; 0.472245; 0.473256; 0.474351; 0.475230; 0.476315; 0.476733; 0.476482; 0.475658; 0.476414; 0.477000; 0.478173; 0.480658; 0.483569; 0.486005; 0.488382; 0.491195; 0.492775; 0.494071; 0.496089; 0.497403; 0.498749; 0.498901; 0.497530; 0.495316; 0.495527; 0.496298; 0.496187; 0.494993; 0.494365; 0.494391; 0.493797; 0.493068; 0.492142; 0.491104; 0.489656; 0.489665; 0.492101; 0.495621; 0.498143; 0.498616; 0.498600; 0.499058; 0.500715; 0.501360; 0.502024; 0.503557; 0.506502; 0.509435; 0.511811; 0.514041; 0.515052; 0.516243; 0.517174; 0.517891; 0.520278; 0.523455; 0.526242; 0.528426; 0.530112; 0.531484; 0.532056; 0.531797; 0.531306; 0.529994; 0.529049; 0.530998; 0.531900; 0.532734; 0.533711; 0.534260; 0.534035; 0.534826; 0.536220; 0.537067; 0.537379; 0.537483; 0.537700; 0.537990; 0.539610; 0.542094; 0.543657; 0.543985; 0.545543; 0.546509; 0.545934; 0.544088; 0.541770; 0.541363; 0.540719; 0.540706; 0.541706; 0.542465; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2237.1; 11:28:11; (); (); (); (); (); (); (); (); (); 0.468806; 0.473219; 0.477147; 0.477092; 0.476473; 0.477818; 0.478190; 0.478515; 0.480342; 0.481855; 0.484730; 0.485066; 0.484618; 0.483914; 0.482828; 0.481861; 0.480557; 0.480413; 0.481193; 0.482062; 0.481350; 0.481212; 0.481938; 0.482956; 0.483373; 0.483771; 0.485391; 0.487805; 0.490568; 0.492785; 0.493352; 0.494034; 0.495193; 0.496486; 0.498333; 0.500943; 0.502981; 0.504929; 0.505842; 0.506392; 0.507945; 0.507782; 0.506960; 0.505937; 0.504905; 0.504274; 0.503276; 0.501687; 0.500788; 0.500223; 0.499327; 0.499308; 0.498943; 0.498767; 0.499211; 0.498864; 0.498525; 0.499167; 0.500745; 0.503324; 0.507921; 0.513404; 0.519183; 0.521867; 0.522838; 0.523609; 0.525355; 0.527210; 0.529472; 0.531977; 0.534858; 0.539187; 0.540676; 0.540642; 0.539661; 0.536599; 0.533578; 0.530507; 0.530107; 0.531596; 0.532756; 0.532478; 0.532328; 0.531889; 0.530572; 0.528531; 0.527743; 0.527523; 0.528064; 0.529333; 0.530590; 0.531965; 0.532439; 0.531760; 0.530378; 0.529299; 0.529159; 0.528836; 0.528822; 0.529260; 0.529499; 0.528386; 0.529734; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2241.0; 11:28:21; (); (); (); (); (); (); (); (); (); 0.468806; 0.489327; 0.492502; 0.493877; 0.494370; 0.495865; 0.496973; 0.496545; 0.496235; 0.498134; 0.499115; 0.499072; 0.497993; 0.498062; 0.496830; 0.496128; 0.495018; 0.492147; 0.489394; 0.488271; 0.487449; 0.488464; 0.490482; 0.491891; 0.493299; 0.494694; 0.496189; 0.498229; 0.499152; 0.500597; 0.501323; 0.502256; 0.504009; 0.505946; 0.506855; 0.506313; 0.504810; 0.503644; 0.502968; 0.502614; 0.503588; 0.504845; 0.504854; 0.504489; 0.502920; 0.501654; 0.500812; 0.500170; 0.500567; 0.500740; 0.501472; 0.502058; 0.502352; 0.503550; 0.504761; 0.504259; 0.504149; 0.505555; 0.509030; 0.513564; 0.515843; 0.518608; 0.521181; 0.521388; 0.522309; 0.522369; 0.522438; 0.523404; 0.525093; 0.526474; 0.527911; 0.527882; 0.527524; 0.527453; 0.526366; 0.526557; 0.526160; 0.526755; 0.528647; 0.529454; 0.530368; 0.531859; 0.532360; 0.531594; 0.532761; 0.535493; 0.537577; 0.538327; 0.538633; 0.539807; 0.539333; 0.540057; 0.541544; 0.542471; 0.543197; 0.544618; 0.545633; 0.546684; 0.547137; 0.546763; 0.543859; 0.541717; 0.539620; 0.537227; 0.534748; 0.537171; 0.539033; 0.538884; 0.540606; 0.542671; 0.542242; 0.538849; 0.534813; 0.536121; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2245.4; 11:28:29; (); (); (); (); (); (); (); (); (); (); 0.477432; 0.475142; 0.475358; 0.477113; 0.478636; 0.478327; 0.478160; 0.478871; 0.479806; 0.480351; 0.481210; 0.482046; 0.482337; 0.482186; 0.481590; 0.481960; 0.481621; 0.479544; 0.477398; 0.476474; 0.476216; 0.475991; 0.475504; 0.476179; 0.477521; 0.477632; 0.477436; 0.477662; 0.478896; 0.481237; 0.483597; 0.485856; 0.488271; 0.491930; 0.493367; 0.495746; 0.498951; 0.501894; 0.503878; 0.505321; 0.506184; 0.506079; 0.505425; 0.504155; 0.502038; 0.500882; 0.500889; 0.501434; 0.502087; 0.503993; 0.504404; 0.505454; 0.505869; 0.503831; 0.501092; 0.500770; 0.502000; 0.504623; 0.509062; 0.514250; 0.517524; 0.520407; 0.522569; 0.524186; 0.524771; 0.526630; 0.527754; 0.530446; 0.534811; 0.538835; 0.541959; 0.543455; 0.542882; 0.541417; 0.539273; 0.537941; 0.537085; 0.536514; 0.535893; 0.534111; 0.533091; 0.532077; 0.529790; 0.526997; 0.525314; 0.522555; 0.521500; 0.522605; 0.524337; 0.526632; 0.527527; 0.527427; 0.526904; 0.527264; 0.528807; 0.528947; 0.529313; 0.530044; 0.531627; 0.533303; 0.533222; 0.533518; 0.532752; 0.531730; 0.531096; 0.531193; 0.531115; 0.531587; 0.531455; 0.530898; 0.530249; 0.529843; 0.529220; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2249.4; 11:28:38; (); (); (); (); (); (); (); (); (); (); 0.479885; 0.481893; 0.484737; 0.486553; 0.487166; 0.487104; 0.486161; 0.485233; 0.486194; 0.488129; 0.489078; 0.490482; 0.491621; 0.492204; 0.491931; 0.493203; 0.492927; 0.491205; 0.490076; 0.491112; 0.490862; 0.491104; 0.491556; 0.492278; 0.491772; 0.490394; 0.489436; 0.488640; 0.488024; 0.488439; 0.488076; 0.488156; 0.488907; 0.489466; 0.488850; 0.490095; 0.491936; 0.493891; 0.495287; 0.497448; 0.499258; 0.498317; 0.497345; 0.497022; 0.496897; 0.496329; 0.495794; 0.495637; 0.495568; 0.495741; 0.495657; 0.495068; 0.494661; 0.494157; 0.491664; 0.491666; 0.496176; 0.500294; 0.503553; 0.505923; 0.508797; 0.511609; 0.513594; 0.514784; 0.515129; 0.518455; 0.522054; 0.525020; 0.527842; 0.529952; 0.530467; 0.529201; 0.528503; 0.529113; 0.530379; 0.530542; 0.531841; 0.533910; 0.535868; 0.537273; 0.536137; 0.535744; 0.535912; 0.536540; 0.537783; 0.539114; 0.540297; 0.540686; 0.540283; 0.540706; 0.541647; 0.541500; 0.541737; 0.542633; 0.543854; 0.544924; 0.544488; 0.543997; 0.543881; 0.543696; 0.543147; 0.543109; 0.542998; 0.543869; 0.544940; 0.546386; 0.548408; 0.548169; 0.547899; 0.547386; 0.545412; 0.542962; 0.540738; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2253.7; 11:28:46; (); (); (); (); (); (); (); (); (); (); 0.472148; 0.475326; 0.475967; 0.475681; 0.474928; 0.475046; 0.475433; 0.477289; 0.480115; 0.482039; 0.483318; 0.483174; 0.483244; 0.483728; 0.484007; 0.484121; 0.484390; 0.484612; 0.485715; 0.487519; 0.488476; 0.489057; 0.489866; 0.490496; 0.490755; 0.491325; 0.495394; 0.497800; 0.498141; 0.497333; 0.496790; 0.497939; 0.500753; 0.503072; 0.504411; 0.504886; 0.506189; 0.506257; 0.505931; 0.506036; 0.505825; 0.505327; 0.505369; 0.505710; 0.506872; 0.506474; 0.504788; 0.503665; 0.502752; 0.502451; 0.503192; 0.503135; 0.504624; 0.507906; 0.511984; 0.515190; 0.516236; 0.516300; 0.517095; 0.519547; 0.523623; 0.527083; 0.529247; 0.531732; 0.533520; 0.534327; 0.533891; 0.533697; 0.533180; 0.531823; 0.529540; 0.529251; 0.530532; 0.531772; 0.531786; 0.529486; 0.529766; 0.530116; 0.529547; 0.529077; 0.530651; 0.533423; 0.534058; 0.533260; 0.532694; 0.533188; 0.533498; 0.533253; 0.532842; 0.533385; 0.536671; 0.538147; 0.538282; 0.538826; 0.539514; 0.539756; 0.539931; 0.539659; 0.539491; 0.539342; 0.539424; 0.539618; 0.539481; 0.539611; 0.538161; 0.536454; 0.535054; 0.534078; 0.533408; 0.532160; 0.530252; 0.528924; 0.528977; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2257.7; 11:28:56; (); (); (); (); (); (); (); (); (); (); 0.484553; 0.487479; 0.489845; 0.491531; 0.492085; 0.492825; 0.490831; 0.489442; 0.490514; 0.490477; 0.491324; 0.491645; 0.489829; 0.489884; 0.490812; 0.488879; 0.487941; 0.486783; 0.485610; 0.485060; 0.484057; 0.486607; 0.489541; 0.492632; 0.495014; 0.494800; 0.496272; 0.498388; 0.499464; 0.499145; 0.501415; 0.502447; 0.502919; 0.502435; 0.501359; 0.501340; 0.501263; 0.502940; 0.504671; 0.506423; 0.507753; 0.507367; 0.504478; 0.502772; 0.501975; 0.500695; 0.500961; 0.501523; 0.502006; 0.503467; 0.505398; 0.505311; 0.502444; 0.499719; 0.497527; 0.497230; 0.497962; 0.502208; 0.505655; 0.508123; 0.510389; 0.512393; 0.515561; 0.519093; 0.520683; 0.521554; 0.524406; 0.528615; 0.533074; 0.536311; 0.537290; 0.538588; 0.539078; 0.539214; 0.538440; 0.537069; 0.535263; 0.533505; 0.532035; 0.530991; 0.530560; 0.529870; 0.527768; 0.525889; 0.525532; 0.525781; 0.524446; 0.524206; 0.522681; 0.523093; 0.524927; 0.526509; 0.527766; 0.529774; 0.530872; 0.531780; 0.532935; 0.533318; 0.534436; 0.534345; 0.535562; 0.535634; 0.535462; 0.533766; 0.533684; 0.534628; 0.536409; 0.538137; 0.540899; 0.542161; 0.543931; 0.545312; 0.544731; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2278.7; 11:29:40; (); (); (); (); (); (); (); (); (); (); 0.481817; 0.481413; 0.482053; 0.482714; 0.482360; 0.482845; 0.482113; 0.481681; 0.482409; 0.483147; 0.483675; 0.484684; 0.485412; 0.485975; 0.485887; 0.486748; 0.487742; 0.488270; 0.488586; 0.488714; 0.488760; 0.490786; 0.492276; 0.493085; 0.493696; 0.494038; 0.492694; 0.491446; 0.490765; 0.490845; 0.490836; 0.491846; 0.492355; 0.492650; 0.493986; 0.493820; 0.492402; 0.491943; 0.492698; 0.494016; 0.496039; 0.499077; 0.501129; 0.501882; 0.501885; 0.500145; 0.499301; 0.499126; 0.499072; 0.499689; 0.501389; 0.503733; 0.504145; 0.503272; 0.502091; 0.501294; 0.501759; 0.502494; 0.505552; 0.510598; 0.516048; 0.520185; 0.523383; 0.525328; 0.526637; 0.528469; 0.530240; 0.532858; 0.536475; 0.539210; 0.540434; 0.541206; 0.541893; 0.539997; 0.537158; 0.534261; 0.531063; 0.530006; 0.530270; 0.530379; 0.530067; 0.529848; 0.529115; 0.530557; 0.532826; 0.533849; 0.533607; 0.532376; 0.532707; 0.535086; 0.537642; 0.539288; 0.540724; 0.542433; 0.544042; 0.544867; 0.545307; 0.546180; 0.545034; 0.543535; 0.542324; 0.542787; 0.538727; 0.533718; 0.531081; 0.530375; 0.530369; 0.530917; 0.532013; 0.534729; 0.537793; 0.538910; 0.537771; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2282.9; 11:29:48; (); (); (); (); (); (); (); (); (); (); 0.463066; 0.467260; 0.467427; 0.467407; 0.467981; 0.468696; 0.469813; 0.471594; 0.472351; 0.473322; 0.475050; 0.475203; 0.476895; 0.478628; 0.479410; 0.479002; 0.478220; 0.479379; 0.480734; 0.481973; 0.483153; 0.483708; 0.485215; 0.488231; 0.491067; 0.492695; 0.493442; 0.494760; 0.494814; 0.495039; 0.496133; 0.497301; 0.498260; 0.499513; 0.499978; 0.500296; 0.501143; 0.500964; 0.499742; 0.498160; 0.497234; 0.496799; 0.496107; 0.496699; 0.496450; 0.494240; 0.493643; 0.492165; 0.490764; 0.489632; 0.490510; 0.491805; 0.494294; 0.497076; 0.499269; 0.500776; 0.502712; 0.503677; 0.503747; 0.504713; 0.508003; 0.512223; 0.516562; 0.520250; 0.523739; 0.524883; 0.524900; 0.524276; 0.523842; 0.524838; 0.527781; 0.529590; 0.531462; 0.533818; 0.534325; 0.533618; 0.532824; 0.531796; 0.530184; 0.529734; 0.530120; 0.530339; 0.532403; 0.533753; 0.532381; 0.529812; 0.528028; 0.525507; 0.524129; 0.526074; 0.529114; 0.530212; 0.530489; 0.533217; 0.534283; 0.534019; 0.535053; 0.535031; 0.534682; 0.535156; 0.535605; 0.534490; 0.534750; 0.538208; 0.536972; 0.534946; 0.533853; 0.533237; 0.531243; 0.530193; 0.530577; 0.528585; 0.526135; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2286.8; 11:29:57; (); (); (); (); (); (); (); (); (); (); 0.473444; 0.474697; 0.476874; 0.479211; 0.481144; 0.482219; 0.482022; 0.483004; 0.485132; 0.486800; 0.489592; 0.492469; 0.495008; 0.496641; 0.497675; 0.498444; 0.498913; 0.498215; 0.497599; 0.497391; 0.498184; 0.499163; 0.499298; 0.499608; 0.499513; 0.498069; 0.495209; 0.492959; 0.491538; 0.491666; 0.492452; 0.493196; 0.494377; 0.495068; 0.495540; 0.495751; 0.496864; 0.496704; 0.496656; 0.497070; 0.498109; 0.499051; 0.499621; 0.499356; 0.498409; 0.497053; 0.495990; 0.495942; 0.496556; 0.497447; 0.497896; 0.498583; 0.499087; 0.499414; 0.500160; 0.501599; 0.503287; 0.505269; 0.508540; 0.512750; 0.517644; 0.521993; 0.524037; 0.524606; 0.524893; 0.525953; 0.527725; 0.529719; 0.532119; 0.533920; 0.535254; 0.537897; 0.538911; 0.540122; 0.540774; 0.538633; 0.535840; 0.536565; 0.538591; 0.540444; 0.541596; 0.542351; 0.543325; 0.543524; 0.543690; 0.543071; 0.542018; 0.540097; 0.537551; 0.537258; 0.538727; 0.541322; 0.542806; 0.543473; 0.543741; 0.544626; 0.545376; 0.545259; 0.544334; 0.545451; 0.546748; 0.548627; 0.548163; 0.546443; 0.543337; 0.538518; 0.537888; 0.536949; 0.538190; 0.537731; 0.536649; 0.537919; 0.540719; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2291.2; 11:30:06; (); (); (); (); (); (); (); (); (); (); 0.479178; 0.480667; 0.482229; 0.483249; 0.482337; 0.480954; 0.480670; 0.481550; 0.482232; 0.481968; 0.481464; 0.478554; 0.476685; 0.476015; 0.474764; 0.473346; 0.473001; 0.472214; 0.471587; 0.472245; 0.473525; 0.473500; 0.474457; 0.476673; 0.480351; 0.483644; 0.487435; 0.489816; 0.491097; 0.492407; 0.493396; 0.494836; 0.496754; 0.498858; 0.501185; 0.503192; 0.504844; 0.505620; 0.506131; 0.505618; 0.503877; 0.504929; 0.506899; 0.507937; 0.507599; 0.507049; 0.504900; 0.503697; 0.503003; 0.502237; 0.501296; 0.502459; 0.503561; 0.503827; 0.503605; 0.506150; 0.506108; 0.505806; 0.506702; 0.509973; 0.514689; 0.519125; 0.521548; 0.523160; 0.524223; 0.524713; 0.524905; 0.525868; 0.527688; 0.530599; 0.532027; 0.532815; 0.534057; 0.534669; 0.533073; 0.530288; 0.528514; 0.528320; 0.529159; 0.531395; 0.533496; 0.534341; 0.533649; 0.531554; 0.529232; 0.527424; 0.527174; 0.527331; 0.528262; 0.530448; 0.533601; 0.534742; 0.534121; 0.533113; 0.531588; 0.529610; 0.529917; 0.530880; 0.531758; 0.531129; 0.530820; 0.530489; 0.529745; 0.530446; 0.530896; 0.529564; 0.529231; 0.529825; 0.529996; 0.531024; 0.532370; 0.531448; 0.531019; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
