Roll Number; 0
Recipe Name; FP 4556_184 GSM
Start Time; 2017-12-05; 11:27:51
File Name; D:\Mahlo\TR\171205112751FP 4556_184 GSM0_FMI2.txt

2231.5; 11:28:03; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 190.749452; 190.768808; 190.840438; 190.980405; 191.002205; 190.678716; 190.360427; 190.127388; 189.878926; 189.662188; 189.636245; 189.691231; 189.655557; 189.542219; 189.569190; 189.281389; 189.237550; 189.302608; 189.220071; 189.155623; 189.410195; 189.516678; 189.598635; 189.738497; 189.825699; 189.602435; 189.221025; 188.756302; 188.294739; 187.854856; 187.751591; 187.482759; 187.066883; 186.731130; 186.552465; 186.482951; 186.557636; 186.623976; 186.757028; 186.884686; 187.016591; 187.259540; 187.578976; 187.939227; 188.194066; 188.296482; 188.428104; 188.820988; 189.187899; 189.480901; 189.552546; 189.695016; 189.741328; 189.748168; 190.125436; 190.647513; 190.959021; 191.199318; 191.560492; 191.934988; 192.229062; 192.471325; 192.382365; 192.385152; 192.410290; 192.456186; 192.469776; 192.559183; 192.721695; 192.521200; 192.193583; 192.000538; 191.862881; 191.629902; 191.392705; 191.170797; 191.164747; 191.309586; 191.393897; 191.519484; 191.792980; 192.151308; 192.294478; 192.184344; 192.344353; 192.597076; 192.601696; 192.514181; 192.581087; 192.737073; 192.992553; 192.991763; 192.761600; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2237.1; 11:28:11; (); (); (); (); (); (); (); (); (); 186.643824; 186.807543; 187.025398; 186.918914; 186.871111; 186.761543; 186.716840; 186.641112; 186.555758; 186.426461; 186.444253; 186.434329; 186.441153; 186.625525; 186.823264; 186.992943; 187.142313; 187.285841; 187.553406; 187.651470; 187.855944; 187.954694; 188.192084; 188.657805; 189.117059; 189.675763; 190.208614; 190.696090; 190.916598; 190.906212; 190.977663; 191.000879; 190.932140; 190.846860; 190.773383; 190.782756; 190.904841; 191.077173; 191.089392; 191.148952; 190.915883; 190.515563; 190.029800; 189.530075; 189.277455; 189.093307; 188.936651; 188.909978; 189.091533; 189.317346; 189.499944; 189.559147; 189.518750; 189.494297; 189.627394; 189.860225; 190.091297; 190.481946; 191.000149; 191.510737; 191.878766; 192.438707; 193.070382; 193.453625; 193.748698; 194.132730; 194.590151; 194.990173; 195.371673; 195.585877; 195.762739; 195.896938; 196.009234; 195.983335; 195.949942; 195.950165; 195.850581; 195.471078; 195.140526; 194.895074; 194.511652; 194.217175; 193.890229; 193.561211; 193.400413; 193.066821; 192.633346; 192.067236; 191.547886; 191.059098; 190.638855; 190.202579; 189.803660; 189.579606; 189.388439; 189.260438; 188.939273; 188.700452; 188.477769; 187.987328; 187.698990; 187.745064; 187.894955; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2241.0; 11:28:21; (); (); (); (); (); (); (); (); (); 186.643824; 187.349677; 187.762722; 188.046664; 188.125357; 188.301682; 188.510075; 188.592985; 188.662410; 188.942239; 189.131081; 189.350784; 189.761087; 189.920649; 190.034300; 190.069169; 189.896137; 189.610764; 189.403981; 189.067796; 188.541472; 188.094065; 187.921599; 187.789023; 187.666446; 187.772140; 187.723890; 187.808603; 188.131765; 188.539043; 188.852057; 189.047456; 189.210638; 189.369813; 189.888373; 190.600440; 191.127822; 191.482842; 191.748396; 191.824824; 191.571608; 191.142544; 190.815657; 190.500930; 190.201521; 190.173864; 190.164998; 190.149397; 190.042734; 189.859495; 189.855948; 189.828083; 189.741179; 189.748392; 189.877883; 190.101668; 190.512523; 190.748528; 190.935627; 191.054523; 191.059828; 191.195145; 191.400781; 191.587418; 191.889793; 191.807002; 191.703081; 191.652343; 191.565901; 191.433579; 191.221103; 191.108122; 191.158220; 191.087812; 190.917045; 190.848216; 190.757871; 190.718055; 190.786660; 190.773442; 190.841153; 190.929785; 190.974921; 191.200674; 191.584572; 191.947907; 191.910356; 191.669211; 191.512942; 191.501617; 191.579565; 191.776499; 191.913620; 191.815019; 191.780791; 191.709951; 191.748738; 191.890985; 191.755027; 191.601396; 191.766068; 192.377985; 192.909792; 192.746401; 192.581519; 192.523882; 192.229941; 191.584572; 191.411674; 191.462874; 191.199347; 191.130579; 191.137239; 191.255838; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2245.4; 11:28:29; (); (); (); (); (); (); (); (); (); (); 188.958183; 188.978702; 188.854977; 188.906059; 189.049125; 189.087927; 188.895017; 188.893467; 189.146340; 188.984081; 188.944593; 188.625380; 188.533306; 188.629523; 188.500777; 188.431531; 188.504726; 188.721478; 188.568175; 188.391045; 188.429967; 188.702092; 188.958332; 188.942820; 189.219251; 189.286590; 189.628035; 189.687356; 189.524382; 189.681888; 189.730212; 189.565822; 189.502135; 189.721197; 190.095603; 190.221101; 190.233395; 190.353408; 190.527633; 190.656841; 190.757424; 190.671563; 190.690532; 190.886468; 191.039518; 191.169843; 191.379026; 191.589683; 191.673428; 191.550165; 191.438168; 191.258132; 191.018388; 190.796673; 190.682828; 190.634474; 190.615356; 190.495029; 190.442860; 190.514132; 190.771744; 190.993026; 191.021383; 191.080943; 191.314608; 191.527903; 191.858768; 192.259535; 192.645580; 192.958862; 193.280861; 193.642929; 194.126174; 194.362104; 194.519088; 194.445044; 194.387943; 194.430098; 194.249377; 194.034904; 193.895325; 193.707600; 193.572342; 193.428621; 193.266407; 193.158552; 192.904904; 192.663774; 192.492709; 192.300215; 192.263678; 192.177638; 192.061454; 191.845760; 191.610053; 191.419169; 191.271320; 190.977231; 190.702334; 190.529704; 190.122411; 189.844266; 189.662009; 189.359874; 189.025253; 188.807175; 188.520476; 188.358814; 188.394159; 188.420445; 188.368663; 188.295424; 188.391790; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2249.4; 11:28:38; (); (); (); (); (); (); (); (); (); (); 189.813271; 189.956933; 190.195858; 190.397084; 190.421015; 190.450475; 190.257177; 190.188453; 190.019965; 189.836398; 189.850852; 190.084800; 190.252572; 190.464363; 190.459386; 190.524891; 190.501913; 190.429419; 190.311909; 190.391988; 190.358207; 190.402970; 190.561980; 190.567121; 190.714017; 190.692216; 190.575570; 190.458283; 190.406442; 190.390438; 190.241218; 190.011546; 189.745188; 189.456269; 189.322412; 189.266264; 189.213246; 188.953429; 188.481465; 188.130364; 187.991306; 187.690109; 187.635615; 187.596530; 187.668920; 187.748477; 187.848508; 188.067868; 188.436851; 188.581258; 188.824102; 188.976839; 188.986987; 189.381406; 189.275309; 189.117417; 189.187467; 189.377859; 189.672947; 189.919308; 190.285131; 190.678239; 190.752879; 190.685242; 190.671131; 190.623149; 190.800652; 191.004798; 191.215232; 191.864029; 192.346200; 192.578763; 192.602471; 192.482486; 192.404792; 192.310661; 192.318276; 192.269146; 192.299142; 192.372888; 192.623287; 192.713708; 192.685127; 192.562908; 192.256287; 191.997826; 191.894591; 191.996560; 192.093834; 192.058712; 191.859439; 191.527739; 191.433609; 191.299632; 191.088274; 190.864518; 190.682828; 190.731242; 190.791711; 190.830469; 190.906510; 190.667734; 190.445408; 190.967247; 191.399097; 191.802382; 191.786930; 191.908717; 192.555428; 192.620397; 192.474991; 192.270100; 192.061588; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2253.7; 11:28:46; (); (); (); (); (); (); (); (); (); (); 188.040003; 187.928364; 187.742189; 187.685519; 187.639594; 187.671036; 187.760741; 187.858894; 187.884554; 187.827215; 187.851548; 188.039243; 188.303381; 188.591063; 188.761547; 188.960984; 189.298257; 189.484239; 189.646572; 189.720869; 189.868450; 190.044582; 190.293014; 190.629661; 190.982357; 191.124529; 191.199407; 191.252321; 191.426754; 191.574946; 191.634536; 191.461459; 191.348240; 191.209853; 191.328049; 191.349685; 191.393867; 191.396445; 191.336811; 191.069931; 190.915838; 190.991223; 191.008434; 190.936491; 190.821454; 190.827504; 191.011831; 191.395476; 191.942930; 192.304313; 192.564785; 192.571759; 192.433879; 192.405507; 192.540497; 192.540154; 192.462549; 192.393139; 192.258716; 192.138657; 192.094877; 192.334905; 192.527801; 192.538649; 192.562789; 192.526743; 192.690983; 192.891896; 192.959785; 193.029225; 193.137214; 193.245068; 193.366393; 193.395525; 193.426117; 193.269417; 192.983925; 192.840606; 192.763180; 192.624375; 192.398056; 192.108452; 191.937849; 191.799387; 191.622213; 191.616714; 191.491097; 191.379756; 191.467449; 191.735014; 191.841483; 191.822067; 191.697791; 191.547930; 191.456676; 191.428810; 191.297382; 191.101849; 190.995604; 190.814763; 190.543264; 190.035865; 189.629689; 189.194143; 188.754067; 188.544229; 188.336417; 188.037142; 187.785536; 187.352657; 187.033698; 186.886698; 186.722606; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2257.7; 11:28:56; (); (); (); (); (); (); (); (); (); (); 190.818697; 190.663189; 190.575540; 190.277964; 190.312117; 190.356880; 190.357208; 190.215513; 189.954594; 190.007553; 189.903006; 189.933658; 189.913899; 190.002322; 190.190226; 190.215304; 190.075919; 189.976752; 190.133616; 190.137416; 190.100387; 190.049455; 190.282613; 190.715924; 190.759018; 190.981850; 191.081077; 191.113397; 191.245720; 191.506445; 192.021385; 192.440286; 192.512110; 192.573115; 192.553148; 192.612499; 192.737162; 192.694634; 192.293525; 191.986695; 191.602826; 191.547275; 191.654176; 191.552877; 191.275254; 190.861449; 190.827534; 191.010550; 191.124678; 191.250786; 191.222847; 191.028908; 190.938964; 191.048756; 190.998316; 191.025436; 190.845683; 190.737456; 190.674528; 190.736994; 190.746948; 190.705508; 190.756813; 190.924868; 191.138789; 191.479594; 191.962689; 192.246884; 192.438617; 192.989081; 193.274260; 193.704471; 194.101080; 194.190070; 194.278449; 194.384024; 194.438562; 194.567859; 194.497883; 194.213405; 193.810388; 193.364769; 192.933649; 192.511439; 192.121685; 191.773266; 191.154271; 190.677196; 190.474838; 190.434173; 190.345451; 190.202713; 190.054119; 190.028712; 190.228462; 190.512374; 190.725386; 191.080764; 191.269398; 191.525638; 191.793770; 191.986352; 192.220464; 192.485720; 192.163840; 191.940501; 191.503972; 191.214219; 190.993279; 190.454483; 189.861536; 189.547211; 189.347550; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2278.7; 11:29:40; (); (); (); (); (); (); (); (); (); (); 187.623933; 188.055113; 188.304722; 188.310266; 188.254997; 188.254222; 188.419655; 188.536778; 188.806668; 189.021364; 189.121649; 189.392760; 189.736247; 189.866170; 189.768866; 189.645723; 189.432487; 189.268947; 189.236313; 189.314574; 189.364731; 189.368203; 189.261526; 189.170673; 189.145267; 189.297080; 189.243659; 189.176247; 189.367101; 189.480633; 189.402685; 189.290658; 189.076409; 188.944280; 188.800186; 188.709810; 188.585475; 188.364238; 188.160256; 188.286930; 188.230768; 187.914744; 187.600479; 187.267050; 187.035516; 186.945468; 187.170744; 187.698171; 188.250959; 188.870952; 189.273328; 189.582065; 190.016344; 190.275177; 190.181479; 190.289617; 190.545872; 190.781564; 191.232428; 191.719830; 192.301884; 192.661062; 192.768440; 192.700788; 192.689404; 192.853525; 192.956582; 193.125308; 193.404049; 193.838894; 194.245905; 194.565833; 194.632336; 194.543615; 194.500327; 194.336459; 194.125980; 193.861648; 193.507299; 192.967981; 192.577437; 192.069724; 191.505596; 191.032767; 190.608740; 190.162182; 189.857498; 189.640999; 189.515308; 189.374402; 189.456999; 189.495683; 189.615771; 189.807013; 190.033048; 190.086618; 190.448478; 190.803975; 191.061869; 191.218764; 191.257730; 191.288278; 191.168189; 190.907061; 190.756634; 190.316886; 189.844653; 189.671278; 189.592138; 189.370796; 188.999072; 188.738093; 188.918799; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2282.9; 11:29:48; (); (); (); (); (); (); (); (); (); (); 185.975730; 185.822383; 185.643509; 185.686231; 185.773179; 185.767204; 185.696021; 185.486555; 185.266495; 185.374647; 185.811624; 186.212748; 186.599836; 187.010661; 187.303409; 187.712044; 188.026533; 188.209817; 188.304722; 188.536853; 188.996017; 189.367399; 189.740852; 190.068886; 190.133005; 190.115064; 190.072805; 190.171421; 190.063804; 189.904422; 189.650416; 189.406440; 189.208716; 189.053848; 189.058661; 188.756213; 188.335374; 188.010052; 187.728107; 187.545791; 187.525332; 187.453419; 187.273309; 187.119886; 187.130675; 187.172323; 187.419161; 187.846228; 188.211948; 188.416794; 188.902751; 189.625964; 190.466747; 191.000909; 191.225842; 191.256702; 191.271976; 191.390187; 191.531286; 191.723615; 191.907838; 192.107275; 192.201614; 192.152247; 192.094669; 191.992134; 191.828102; 191.624030; 191.563904; 191.640601; 192.137465; 192.606732; 192.609817; 192.728221; 192.752242; 192.810029; 192.672774; 192.439154; 192.259803; 192.050546; 191.900715; 191.680521; 191.374689; 191.206902; 191.067711; 190.592095; 190.062180; 189.780444; 189.533010; 189.445689; 189.273238; 189.311162; 189.344674; 189.363584; 189.422384; 189.483166; 189.620629; 189.752221; 189.729109; 189.547539; 189.403534; 189.390898; 189.421311; 189.175606; 188.753575; 188.553169; 188.561678; 188.441172; 188.319847; 188.023046; 187.677935; 187.201664; 186.737761; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2286.8; 11:29:57; (); (); (); (); (); (); (); (); (); (); 187.245518; 187.053591; 186.921790; 187.187284; 187.241316; 187.266871; 187.273785; 187.299982; 187.382549; 187.485740; 187.557414; 187.665805; 187.890410; 188.163921; 188.436717; 188.529462; 188.682258; 189.062685; 189.427242; 189.930901; 190.212592; 190.479055; 190.750897; 191.149563; 191.549912; 191.708177; 191.793546; 191.773936; 191.666111; 191.441193; 191.405892; 191.361666; 191.112310; 190.622479; 190.030396; 189.855754; 189.923912; 189.919785; 189.768016; 189.330518; 189.002529; 188.736051; 188.579544; 188.632563; 188.822955; 188.890457; 188.991398; 189.102933; 189.149588; 189.202398; 189.147115; 189.047635; 188.930169; 188.980326; 189.013258; 189.004362; 189.167529; 189.286008; 189.180404; 189.210400; 189.357549; 189.623415; 189.842716; 190.212220; 190.401152; 190.435678; 190.581769; 190.754876; 190.958560; 191.336796; 191.650659; 191.806123; 191.880301; 192.019731; 192.190886; 192.368612; 192.388505; 192.437977; 192.384407; 192.571104; 192.822620; 192.951038; 192.912519; 192.692578; 192.604765; 192.462608; 192.264304; 192.255855; 192.295179; 192.275152; 192.277580; 192.319587; 192.353770; 192.532465; 192.644984; 192.598954; 192.592606; 192.653075; 192.796364; 193.055779; 193.363115; 193.539396; 193.438485; 193.157479; 192.920581; 192.807004; 192.347214; 191.886321; 191.697761; 191.553935; 191.167891; 190.814510; 190.345868; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2291.2; 11:30:06; (); (); (); (); (); (); (); (); (); (); 186.080530; 185.311496; 185.102478; 184.967816; 184.956804; 185.022324; 184.952855; 184.878662; 184.922591; 185.027808; 185.027406; 185.425431; 185.932308; 186.271250; 186.666161; 187.163189; 187.750801; 188.145295; 188.420966; 188.586816; 188.642278; 188.766807; 188.966095; 189.171582; 189.320818; 189.922214; 190.256536; 190.306976; 190.367088; 190.273032; 190.415174; 190.334693; 190.216869; 190.581143; 191.171125; 191.563144; 191.961020; 192.150086; 192.232028; 192.107916; 191.805348; 191.502854; 191.337213; 191.291779; 191.210821; 190.963879; 191.110402; 191.222310; 190.927133; 190.479621; 190.239549; 190.213114; 190.289080; 190.471962; 190.700501; 190.792143; 190.879866; 190.928549; 191.016391; 191.345751; 191.743135; 191.823736; 192.073599; 192.412198; 192.753583; 192.986429; 193.008244; 193.031698; 193.117201; 193.391427; 193.640143; 193.858236; 194.061741; 194.131047; 194.009319; 193.921119; 193.851873; 193.784401; 193.556368; 193.543613; 193.399489; 193.306565; 192.971915; 192.512259; 191.968709; 191.533655; 191.292688; 191.096157; 191.077784; 191.263512; 191.115215; 190.996990; 190.777063; 190.664381; 190.431982; 190.266073; 190.145418; 190.076932; 189.936385; 189.965531; 190.039739; 190.030977; 189.884290; 189.742923; 189.525172; 189.609781; 189.605594; 189.662471; 189.695731; 189.685076; 189.796999; 189.967871; 190.029278; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
