Roll Number; 0
Recipe Name; FP 4556_184 GSM
Start Time; 2017-12-05; 11:42:44
File Name; D:\Mahlo\TR\171205114244FP 4556_184 GSM0_XMF2.txt

2655.0; 11:42:55; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.450157; 3.446931; 3.342610; 3.244687; 3.161490; 3.080456; 3.013238; 2.960702; 2.910967; 2.830999; 2.736902; 2.655592; 2.577657; 2.491214; 2.414509; 2.331835; 2.237709; 2.210765; 2.201344; 2.194940; 2.189542; 2.182244; 2.177733; 2.176055; 2.177233; 2.179023; 2.177437; 2.173395; 2.168533; 2.162275; 2.155895; 2.148476; 2.142701; 2.137851; 2.133946; 2.131977; 2.131762; 2.133129; 2.133040; 2.130166; 2.127745; 2.124246; 2.122517; 2.123502; 2.127703; 2.134043; 2.141333; 2.149385; 2.159218; 2.169407; 2.178490; 2.184485; 2.187715; 2.186971; 2.186338; 2.187348; 2.194501; 2.202018; 2.205890; 2.210527; 2.213555; 2.216463; 2.218777; 2.218615; 2.214021; 2.208517; 2.204835; 2.201798; 2.206153; 2.213280; 2.217867; 2.218179; 2.220796; 2.225915; 2.228053; 2.228092; 2.227284; 2.225904; 2.227090; 2.228704; 2.229477; 2.230767; 2.230348; 2.228505; 2.225763; 2.222913; 2.221149; 2.216467; 2.211701; 2.208609; 2.207119; 2.205574; 2.204768; 2.203771; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2660.1; 11:43:04; (); (); (); (); (); (); (); (); (); 1.860874; 1.858535; 1.855512; 1.850280; 1.843897; 1.837619; 1.827435; 1.816794; 1.805874; 1.796356; 1.788064; 1.782150; 1.778028; 1.771984; 1.763020; 1.770752; 1.798803; 1.823323; 1.855335; 1.882813; 1.910629; 1.943344; 1.978411; 2.017550; 2.054389; 2.085367; 2.114278; 2.140401; 2.165874; 2.199843; 2.211437; 2.206781; 2.202890; 2.201507; 2.200362; 2.204360; 2.202692; 2.196941; 2.189652; 2.183624; 2.177359; 2.170355; 2.163288; 2.156885; 2.145391; 2.133964; 2.125557; 2.112965; 2.099382; 2.090447; 2.082201; 2.080156; 2.077007; 2.074003; 2.071858; 2.072207; 2.073488; 2.081496; 2.089949; 2.098081; 2.108008; 2.120349; 2.135681; 2.150646; 2.161524; 2.166276; 2.173181; 2.181461; 2.189750; 2.198603; 2.209516; 2.221059; 2.228847; 2.234897; 2.238990; 2.238666; 2.237375; 2.237640; 2.237654; 2.237529; 2.244584; 2.250199; 2.252392; 2.253709; 2.253690; 2.250864; 2.247415; 2.247352; 2.246611; 2.246683; 2.253397; 2.256067; 2.264957; 2.271517; 2.273557; 2.274572; 2.272587; 2.271948; 2.270616; 2.271841; 2.274211; 2.277445; 2.277622; 2.280648; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2664.1; 11:43:12; (); (); (); (); (); (); (); (); (); 1.792533; 1.799735; 1.800426; 1.797559; 1.795062; 1.789797; 1.786090; 1.781480; 1.778954; 1.774698; 1.777285; 1.778488; 1.771927; 1.767704; 1.758534; 1.752470; 1.745963; 1.740628; 1.737378; 1.733699; 1.733796; 1.734998; 1.740456; 1.743534; 1.745263; 1.743001; 1.739921; 1.738915; 1.739013; 1.736468; 1.732488; 1.730006; 1.727866; 1.728050; 1.729935; 1.731169; 1.728803; 1.723117; 1.719053; 1.714252; 1.706728; 1.699253; 1.690501; 1.677291; 1.670808; 1.666052; 1.661874; 1.662366; 1.664679; 1.666219; 1.666520; 1.667200; 1.669328; 1.672719; 1.676583; 1.682787; 1.690255; 1.698577; 1.706864; 1.714510; 1.721931; 1.729148; 1.730567; 1.727769; 1.727013; 1.726645; 1.728292; 1.730099; 1.729949; 1.730791; 1.733381; 1.737929; 1.739644; 1.742029; 1.741128; 1.739442; 1.738527; 1.740347; 1.741340; 1.741322; 1.742046; 1.744012; 1.745369; 1.748917; 1.754545; 1.760268; 1.761746; 1.765033; 1.767062; 1.768178; 1.768632; 1.769887; 1.771225; 1.773297; 1.770192; 1.767047; 1.765248; 1.763472; 1.759318; 1.748985; 1.739317; 1.733927; 1.726966; 1.717759; 1.707970; 1.702822; 1.697353; 1.692533; 1.686734; 1.685346; 1.682276; 1.670916; 1.656940; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2668.1; 11:43:20; (); (); (); (); (); (); (); (); 1.876219; 1.870657; 1.866659; 1.863305; 1.859618; 1.856832; 1.852675; 1.847130; 1.837391; 1.831091; 1.825918; 1.821495; 1.817112; 1.813938; 1.811693; 1.808530; 1.807324; 1.803323; 1.799990; 1.798403; 1.797750; 1.799930; 1.803670; 1.807097; 1.812031; 1.814806; 1.814299; 1.812063; 1.807886; 1.800485; 1.795769; 1.788176; 1.779620; 1.771587; 1.762886; 1.753878; 1.749003; 1.742703; 1.738272; 1.727611; 1.718772; 1.710857; 1.704259; 1.698020; 1.694270; 1.689741; 1.687306; 1.685745; 1.687298; 1.687964; 1.688048; 1.683990; 1.682716; 1.677398; 1.674580; 1.672404; 1.673077; 1.675390; 1.679511; 1.685243; 1.692812; 1.698725; 1.699759; 1.697782; 1.695288; 1.692604; 1.692338; 1.692927; 1.701065; 1.709811; 1.718814; 1.726015; 1.732753; 1.737264; 1.739803; 1.740257; 1.744560; 1.752719; 1.764342; 1.778242; 1.787522; 1.795403; 1.804087; 1.807852; 1.811520; 1.813230; 1.811248; 1.810526; 1.808893; 1.808137; 1.809858; 1.806274; 1.805850; 1.799835; 1.797017; 1.791952; 1.786957; 1.780942; 1.770790; 1.762826; 1.748152; 1.735747; 1.719886; 1.706568; 1.693396; 1.674603; 1.668797; 1.659583; 1.653724; 1.642732; 1.633287; 1.622996; 1.609675; 1.599319; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2672.0; 11:43:29; (); (); (); (); (); (); (); (); 1.772882; 1.782358; 1.784380; 1.792026; 1.790444; 1.791328; 1.789602; 1.787217; 1.787552; 1.784516; 1.788082; 1.784054; 1.791104; 1.792740; 1.796322; 1.791976; 1.784134; 1.776457; 1.765521; 1.759791; 1.748978; 1.742907; 1.740210; 1.742039; 1.744490; 1.743859; 1.745095; 1.741157; 1.736231; 1.731958; 1.731266; 1.731093; 1.733343; 1.734155; 1.737262; 1.742497; 1.745452; 1.743965; 1.740121; 1.732940; 1.723579; 1.715664; 1.707597; 1.696000; 1.686415; 1.679902; 1.674690; 1.670020; 1.668091; 1.665367; 1.663399; 1.661701; 1.659323; 1.656375; 1.653887; 1.652919; 1.653287; 1.655457; 1.659173; 1.665574; 1.672491; 1.680651; 1.686737; 1.690469; 1.693151; 1.695856; 1.696244; 1.699981; 1.704967; 1.711068; 1.720578; 1.727406; 1.732459; 1.738583; 1.742000; 1.740909; 1.739018; 1.737985; 1.736668; 1.733790; 1.732867; 1.733907; 1.733531; 1.734854; 1.734770; 1.734051; 1.735905; 1.738725; 1.741534; 1.743659; 1.745302; 1.748370; 1.751278; 1.753574; 1.756922; 1.757771; 1.757649; 1.758175; 1.756047; 1.752345; 1.745014; 1.733586; 1.723251; 1.711762; 1.696330; 1.681706; 1.669439; 1.659056; 1.651681; 1.644103; 1.638057; 1.631583; 1.619810; 1.603550; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2676.0; 11:43:37; (); (); (); (); (); (); (); (); 1.772882; 1.814830; 1.813719; 1.807351; 1.803336; 1.799620; 1.794728; 1.788757; 1.779719; 1.769399; 1.761514; 1.756473; 1.753441; 1.749473; 1.746405; 1.742877; 1.737205; 1.730692; 1.726663; 1.721602; 1.716936; 1.715574; 1.717754; 1.723076; 1.731674; 1.733530; 1.734741; 1.734975; 1.732995; 1.729070; 1.729007; 1.729246; 1.732380; 1.736158; 1.739639; 1.743899; 1.748349; 1.750782; 1.748952; 1.741565; 1.735695; 1.729630; 1.723813; 1.715649; 1.709335; 1.701806; 1.692557; 1.684331; 1.677067; 1.669140; 1.661495; 1.656171; 1.655505; 1.654452; 1.657705; 1.659889; 1.662183; 1.665515; 1.672243; 1.680049; 1.688842; 1.695979; 1.702569; 1.709314; 1.714372; 1.715107; 1.709985; 1.701405; 1.695566; 1.691713; 1.693364; 1.695806; 1.695228; 1.690451; 1.685078; 1.683834; 1.684641; 1.685557; 1.686813; 1.688323; 1.697815; 1.709952; 1.723542; 1.737324; 1.749211; 1.757270; 1.759004; 1.763893; 1.767228; 1.769911; 1.765300; 1.762798; 1.763698; 1.761984; 1.766784; 1.764825; 1.759028; 1.750729; 1.739134; 1.731327; 1.716124; 1.712545; 1.698288; 1.696604; 1.687765; 1.679102; 1.673245; 1.668039; 1.664449; 1.653245; 1.643875; 1.633789; 1.625918; 1.620856; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2679.9; 11:43:45; (); (); (); (); (); (); (); (); (); 1.801180; 1.800943; 1.806964; 1.804849; 1.806778; 1.805420; 1.803812; 1.799709; 1.788893; 1.787437; 1.779452; 1.780646; 1.772033; 1.772410; 1.765194; 1.759216; 1.752424; 1.741135; 1.735167; 1.727741; 1.722699; 1.720530; 1.723832; 1.729725; 1.736272; 1.742863; 1.745748; 1.749137; 1.751442; 1.754335; 1.756261; 1.758271; 1.761920; 1.765541; 1.767199; 1.768952; 1.768903; 1.761118; 1.749253; 1.734875; 1.721940; 1.712817; 1.704183; 1.692951; 1.684281; 1.678797; 1.672242; 1.665650; 1.663434; 1.662049; 1.659928; 1.657465; 1.657833; 1.657915; 1.658758; 1.658431; 1.661746; 1.664955; 1.671482; 1.678494; 1.685723; 1.688757; 1.689883; 1.686902; 1.684575; 1.683655; 1.684849; 1.686782; 1.692616; 1.700979; 1.710371; 1.717062; 1.726032; 1.731319; 1.732986; 1.735522; 1.737730; 1.743078; 1.752293; 1.759786; 1.768855; 1.775362; 1.782264; 1.786509; 1.787777; 1.789216; 1.787677; 1.783104; 1.775790; 1.769863; 1.765215; 1.763411; 1.761650; 1.759221; 1.759232; 1.757138; 1.750821; 1.745652; 1.741643; 1.739677; 1.737962; 1.738300; 1.737182; 1.738510; 1.738725; 1.737747; 1.735380; 1.734713; 1.731916; 1.724829; 1.719332; 1.717633; 1.712302; 1.706678; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2683.9; 11:43:54; (); (); (); (); (); (); (); (); (); 1.837835; 1.830747; 1.824687; 1.817616; 1.813043; 1.807144; 1.803015; 1.797416; 1.792086; 1.786182; 1.781862; 1.774186; 1.767718; 1.758300; 1.750268; 1.743912; 1.737540; 1.729564; 1.725057; 1.719950; 1.718092; 1.719349; 1.724819; 1.730810; 1.735243; 1.736892; 1.742025; 1.746244; 1.750714; 1.754091; 1.757441; 1.761624; 1.763636; 1.764941; 1.767955; 1.772818; 1.770956; 1.764273; 1.755555; 1.745797; 1.732960; 1.720911; 1.707091; 1.695196; 1.685718; 1.679470; 1.674167; 1.670588; 1.666356; 1.660401; 1.654134; 1.651267; 1.648286; 1.648054; 1.650617; 1.658673; 1.666953; 1.677812; 1.687612; 1.697111; 1.703259; 1.706323; 1.710970; 1.716587; 1.719154; 1.719792; 1.719234; 1.721463; 1.723289; 1.724330; 1.723599; 1.724286; 1.721650; 1.719392; 1.718918; 1.720022; 1.721079; 1.722332; 1.725007; 1.731514; 1.739173; 1.749446; 1.760885; 1.769711; 1.775309; 1.781616; 1.788684; 1.794373; 1.800409; 1.800022; 1.802192; 1.805422; 1.808397; 1.809336; 1.802304; 1.796558; 1.790440; 1.782367; 1.774201; 1.770692; 1.766571; 1.752427; 1.750272; 1.745645; 1.747121; 1.735063; 1.734167; 1.730364; 1.726235; 1.730551; 1.727664; 1.727990; 1.726022; 1.706678; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2687.9; 11:44:02; (); (); (); (); (); (); (); (); (); 1.790441; 1.794545; 1.789272; 1.783003; 1.774601; 1.768352; 1.764514; 1.759017; 1.760217; 1.749977; 1.749721; 1.739568; 1.736162; 1.730178; 1.726951; 1.721054; 1.715058; 1.715572; 1.717802; 1.723320; 1.727654; 1.728730; 1.735328; 1.740095; 1.745769; 1.747785; 1.750894; 1.753206; 1.749125; 1.745603; 1.742086; 1.737240; 1.733234; 1.728360; 1.725707; 1.722876; 1.717723; 1.711009; 1.703908; 1.694090; 1.686934; 1.680065; 1.670693; 1.662020; 1.654495; 1.648467; 1.647370; 1.648827; 1.648361; 1.643260; 1.637068; 1.635170; 1.634897; 1.635157; 1.637842; 1.639640; 1.642197; 1.648841; 1.663049; 1.679410; 1.692597; 1.700710; 1.704297; 1.707387; 1.713096; 1.719628; 1.725565; 1.729241; 1.730787; 1.732084; 1.733379; 1.732272; 1.727409; 1.717847; 1.707359; 1.696764; 1.686794; 1.680551; 1.679758; 1.680063; 1.678478; 1.679455; 1.684684; 1.690554; 1.696402; 1.704913; 1.712417; 1.718372; 1.723569; 1.730998; 1.737358; 1.743930; 1.746598; 1.746050; 1.742356; 1.740114; 1.735115; 1.727292; 1.717302; 1.710812; 1.703171; 1.692984; 1.685372; 1.677720; 1.665073; 1.658451; 1.653397; 1.649928; 1.646917; 1.644890; 1.640912; 1.636219; 1.632416; 1.706678; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2691.8; 11:44:10; (); (); (); (); (); (); (); (); (); 1.843876; 1.836184; 1.832647; 1.831421; 1.830869; 1.828354; 1.826948; 1.826271; 1.823623; 1.820036; 1.818733; 1.817827; 1.816093; 1.815503; 1.814947; 1.811820; 1.807808; 1.800843; 1.792806; 1.784442; 1.781202; 1.777873; 1.775864; 1.773672; 1.772035; 1.768789; 1.761553; 1.753355; 1.748103; 1.743508; 1.740548; 1.737317; 1.735463; 1.731655; 1.726971; 1.718183; 1.707679; 1.695876; 1.682052; 1.667973; 1.657938; 1.649783; 1.640867; 1.630482; 1.622345; 1.616622; 1.614452; 1.613356; 1.614126; 1.618669; 1.622988; 1.623523; 1.624187; 1.630727; 1.635566; 1.638876; 1.643743; 1.651705; 1.661503; 1.669444; 1.676265; 1.682257; 1.687332; 1.693139; 1.696526; 1.701713; 1.705957; 1.711075; 1.716231; 1.723816; 1.730230; 1.736894; 1.740217; 1.741477; 1.740917; 1.742111; 1.743678; 1.745759; 1.747669; 1.752904; 1.757971; 1.767673; 1.775764; 1.781969; 1.788002; 1.791616; 1.794244; 1.795869; 1.802317; 1.808452; 1.811099; 1.813879; 1.810058; 1.808282; 1.800182; 1.795165; 1.786599; 1.776087; 1.767710; 1.750979; 1.735558; 1.716208; 1.703207; 1.680305; 1.651926; 1.632821; 1.620868; 1.614608; 1.602822; 1.592982; 1.583130; 1.570194; 1.549944; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2695.8; 11:44:18; (); (); (); (); (); (); (); (); (); 1.792983; 1.795987; 1.792553; 1.791849; 1.794032; 1.794953; 1.795927; 1.792439; 1.791620; 1.789235; 1.796214; 1.799081; 1.797233; 1.792977; 1.782608; 1.779637; 1.772340; 1.764123; 1.749914; 1.735488; 1.728258; 1.721774; 1.723481; 1.723815; 1.729058; 1.729701; 1.726626; 1.725563; 1.725314; 1.724757; 1.719956; 1.717504; 1.719306; 1.724534; 1.730509; 1.731102; 1.728709; 1.721629; 1.708799; 1.693527; 1.677479; 1.662637; 1.651178; 1.638887; 1.632896; 1.630789; 1.631905; 1.634856; 1.637812; 1.637567; 1.636943; 1.635787; 1.635651; 1.637989; 1.643136; 1.651235; 1.662303; 1.669093; 1.679168; 1.687169; 1.695751; 1.703933; 1.710120; 1.716954; 1.721938; 1.725109; 1.729970; 1.735605; 1.741227; 1.744944; 1.747753; 1.751350; 1.751623; 1.746313; 1.741993; 1.734114; 1.722368; 1.711893; 1.702647; 1.698130; 1.698107; 1.698677; 1.700059; 1.704399; 1.707774; 1.708500; 1.709080; 1.713231; 1.717494; 1.721461; 1.727534; 1.731750; 1.736859; 1.742465; 1.742835; 1.739137; 1.735764; 1.731586; 1.727444; 1.723616; 1.718969; 1.713098; 1.706354; 1.698780; 1.691477; 1.680691; 1.674701; 1.671604; 1.666616; 1.662386; 1.660194; 1.655059; 1.644404; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
