Roll Number; 0
Recipe Name; FP 4556_184 GSM
Start Time; 2017-12-05; 11:42:44
File Name; D:\Mahlo\TR\171205114244FP 4556_184 GSM0_FMI2.txt

2655.0; 11:42:55; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 186.453998; 186.500013; 186.805889; 186.892480; 186.857626; 186.813489; 186.552092; 186.212823; 185.918957; 185.662374; 185.295999; 184.936658; 184.958383; 185.077757; 185.042322; 184.991196; 184.904307; 184.526995; 184.228495; 184.095412; 184.005380; 184.014276; 184.251338; 184.458300; 184.705451; 184.995711; 185.184553; 185.246468; 185.298502; 185.547739; 185.723141; 185.970217; 186.477453; 187.022716; 187.354386; 187.503427; 187.836736; 188.270852; 188.716412; 189.210281; 189.519674; 189.585119; 189.572498; 189.546183; 189.553201; 189.621374; 189.430401; 189.044103; 188.634112; 188.427821; 188.494399; 188.499659; 188.247904; 188.135073; 187.903374; 187.890232; 187.957928; 187.955901; 188.062444; 188.087389; 188.157752; 188.415751; 188.725889; 189.221665; 189.511240; 189.444616; 189.275622; 189.168260; 188.938856; 188.792557; 188.761935; 188.583970; 188.344225; 187.945917; 187.530965; 187.124744; 186.632812; 186.080426; 185.648844; 185.709000; 185.888827; 186.204910; 186.567813; 186.751112; 186.616287; 186.447188; 186.495215; 186.570153; 186.682403; 186.860055; 187.022582; 187.387392; 187.769115; 188.122660; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2660.1; 11:43:04; (); (); (); (); (); (); (); (); (); 184.506431; 184.791550; 184.946880; 185.119450; 185.275882; 185.387418; 185.513169; 185.631111; 185.672581; 185.606673; 185.655311; 185.764477; 186.133504; 186.637282; 187.095135; 187.348425; 187.516078; 187.540367; 187.282264; 186.986521; 186.982751; 187.064275; 187.071517; 187.243998; 187.530905; 187.786609; 187.974632; 187.932923; 187.961012; 187.973678; 188.035652; 187.985152; 188.191131; 188.507631; 188.797802; 188.998640; 189.138979; 189.553872; 189.699516; 189.498991; 189.341396; 189.319536; 189.427838; 189.311951; 188.971773; 188.707843; 188.659579; 188.490614; 188.217804; 188.037753; 187.830180; 187.526733; 186.985090; 186.240539; 185.875192; 185.554713; 185.404450; 185.136557; 185.031131; 185.152665; 185.298145; 185.353488; 185.667038; 186.147228; 186.448291; 186.712727; 187.064826; 187.645689; 188.256487; 188.889742; 189.530343; 189.898580; 190.270901; 190.579489; 190.884411; 191.063613; 191.138789; 191.255927; 191.355780; 191.445261; 191.428125; 191.235572; 191.085428; 190.881208; 190.497503; 190.232128; 189.993799; 189.629927; 188.873067; 188.095391; 187.495276; 187.019169; 186.484590; 186.023489; 185.668096; 185.292169; 185.195714; 184.940070; 184.602663; 184.295997; 183.848321; 183.559150; 183.515236; 183.593631; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2664.1; 11:43:12; (); (); (); (); (); (); (); (); (); 186.811313; 186.569631; 186.408013; 186.367303; 186.264232; 186.266229; 186.245009; 186.146125; 186.057881; 185.945690; 185.848489; 185.812116; 185.779393; 185.697779; 185.745120; 185.715184; 185.724661; 185.601667; 185.507834; 185.331285; 185.091063; 184.781060; 184.560686; 184.390917; 184.311539; 184.259683; 184.180170; 184.100464; 183.961228; 183.826357; 183.754206; 183.735624; 183.884785; 183.937073; 184.129506; 184.321001; 184.899032; 185.437068; 185.772926; 186.151296; 186.570242; 186.863109; 187.200680; 187.746346; 188.182950; 188.585177; 189.032152; 189.487919; 189.964548; 190.425843; 190.816253; 190.896153; 190.891951; 190.849766; 190.873697; 190.659046; 190.418735; 190.191969; 190.106690; 189.954281; 189.827815; 189.596593; 189.511821; 189.283818; 189.101696; 189.353958; 189.644083; 190.057710; 190.346673; 190.568626; 190.946147; 191.335782; 191.657603; 191.762269; 191.814750; 192.047566; 192.252293; 192.216575; 192.226931; 192.351878; 192.301303; 192.125008; 191.834778; 191.539645; 191.303030; 190.861687; 190.475062; 190.083146; 189.678833; 189.507350; 189.218625; 188.834146; 188.502908; 188.253790; 187.713638; 187.120348; 187.011212; 186.831921; 186.823562; 186.797142; 186.930150; 187.182844; 187.672630; 188.304797; 188.583985; 188.819110; 189.032063; 189.293146; 189.587325; 190.009058; 190.535113; 190.886527; 191.103667; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2668.1; 11:43:20; (); (); (); (); (); (); (); (); 186.526164; 186.511964; 186.317995; 186.453983; 186.715841; 187.132433; 187.325910; 187.326208; 187.475577; 187.493697; 187.504590; 187.673360; 187.462613; 187.612355; 187.543303; 187.489256; 187.736064; 188.028991; 188.062385; 187.875673; 187.588334; 187.511936; 187.530890; 187.476352; 187.568113; 187.799633; 187.928751; 188.334525; 188.682392; 188.732356; 188.708797; 188.635603; 188.663572; 188.675210; 188.883752; 188.939273; 188.835278; 188.830718; 188.686103; 188.489944; 188.273743; 188.120306; 187.744528; 187.248200; 187.089518; 186.883271; 186.831862; 186.899230; 186.964631; 186.964124; 187.107459; 187.360451; 187.598065; 187.946603; 188.271761; 188.378021; 188.569501; 188.592449; 188.551217; 188.507631; 188.652635; 188.801244; 188.871950; 188.971728; 189.084694; 189.149827; 189.114019; 189.184293; 189.194605; 189.164191; 189.169899; 189.174131; 189.418927; 190.047204; 190.534487; 190.896615; 190.935954; 190.985635; 191.131398; 191.311270; 191.500425; 191.770449; 191.983655; 192.226589; 192.522138; 192.781195; 192.974284; 193.189129; 192.925572; 192.448109; 192.156717; 192.003608; 191.814855; 191.501036; 191.204876; 190.742150; 190.417752; 189.847738; 189.266279; 188.703626; 188.268900; 188.005179; 187.733769; 187.692076; 187.703371; 187.712461; 187.696457; 187.544048; 187.421933; 187.210873; 187.131450; 186.928943; 187.048689; 187.271670; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2672.0; 11:43:29; (); (); (); (); (); (); (); (); 186.040640; 186.205029; 186.627328; 186.909392; 187.018961; 187.096789; 187.093809; 187.204137; 187.298596; 187.357038; 187.397331; 187.608838; 187.736899; 187.721908; 187.659368; 187.754184; 187.706977; 187.375784; 187.160552; 187.214032; 187.347174; 187.433407; 187.476069; 187.446997; 187.427148; 187.424406; 187.321335; 187.453344; 187.626854; 187.648892; 187.621161; 187.720686; 187.816933; 187.915459; 187.859327; 187.764406; 187.690631; 187.644839; 187.438041; 187.350377; 187.411413; 187.399656; 187.259257; 187.297866; 187.447503; 187.508017; 187.618211; 187.980607; 188.217863; 188.318118; 188.318640; 188.500807; 188.534468; 188.674569; 188.738629; 188.821703; 189.009786; 189.360633; 189.621463; 189.772472; 189.882174; 189.946562; 189.948544; 190.068021; 190.274134; 190.436602; 190.657035; 190.977395; 191.266015; 191.436619; 191.562667; 191.788211; 191.954985; 191.916764; 191.831395; 191.818878; 191.813186; 191.762894; 191.649079; 191.641286; 191.690966; 191.596210; 191.558272; 191.612884; 191.575631; 191.355154; 190.926954; 190.425709; 190.235212; 190.191880; 190.128058; 189.937949; 189.785168; 189.540610; 189.195633; 188.739508; 188.203782; 187.734410; 187.372744; 187.191948; 187.183142; 187.392592; 187.583834; 187.557444; 187.531039; 187.492132; 187.411681; 187.283650; 187.249586; 187.262729; 187.401906; 187.742546; 188.076511; 188.160449; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2676.0; 11:43:37; (); (); (); (); (); (); (); (); 186.040640; 186.254799; 185.897082; 185.788870; 185.662881; 185.494393; 185.443223; 185.412943; 185.156971; 185.033560; 185.061842; 184.958309; 184.809029; 185.009032; 185.159460; 185.237497; 185.559198; 185.787976; 185.772344; 185.745388; 185.831711; 185.857639; 185.903847; 186.001629; 186.060771; 186.106712; 186.050951; 186.041757; 185.893610; 185.965821; 186.074257; 186.044499; 185.940340; 185.952753; 186.314613; 186.684206; 187.176764; 187.612027; 188.130587; 188.478723; 188.893050; 189.404279; 189.773038; 190.047100; 190.048411; 190.162852; 190.154552; 190.243810; 190.464929; 190.342888; 190.091863; 189.565867; 189.017132; 188.618541; 188.201860; 187.863216; 187.481061; 187.147617; 187.103033; 187.199324; 187.313050; 187.551633; 187.909573; 188.152626; 188.517407; 188.982368; 189.630285; 190.109387; 190.442055; 190.772563; 191.196233; 191.887200; 192.426518; 192.830652; 193.033680; 193.057001; 192.990705; 192.749381; 192.637518; 192.649096; 192.441255; 191.994801; 191.687450; 191.561475; 191.393375; 191.027179; 190.657720; 190.411299; 189.982593; 189.634815; 189.535961; 189.539373; 189.517900; 189.412996; 189.118579; 188.940376; 189.047232; 189.206526; 189.227790; 189.245090; 189.239264; 189.287409; 189.514592; 189.666793; 189.686522; 189.737171; 189.774379; 189.830825; 189.917594; 190.008238; 190.204456; 190.306351; 190.362141; 190.518409; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2679.9; 11:43:45; (); (); (); (); (); (); (); (); (); 188.060373; 188.184917; 188.375771; 188.478634; 188.541502; 188.628152; 188.451126; 188.426688; 188.516766; 188.700929; 188.864440; 189.100668; 189.449400; 189.697489; 189.900756; 190.103009; 190.197974; 190.196365; 190.194666; 190.147221; 190.158099; 190.401345; 190.637842; 190.686285; 190.741345; 190.863535; 190.944314; 190.954626; 190.845162; 190.631732; 190.537035; 190.532804; 190.447107; 190.487802; 190.594122; 190.546662; 190.429151; 190.119699; 189.886242; 189.493477; 189.252093; 189.260155; 189.293340; 189.330325; 189.415306; 189.394251; 189.356863; 189.416751; 189.209357; 188.883543; 188.586533; 188.248962; 188.137680; 187.987953; 187.840804; 187.534720; 187.070176; 186.524704; 186.167806; 185.877383; 185.702205; 185.590237; 185.635686; 185.909957; 186.467379; 187.216073; 187.933818; 188.498646; 189.253688; 190.131024; 190.981597; 191.721454; 192.688927; 193.499789; 193.851605; 194.126591; 194.358751; 194.498032; 194.468796; 194.291010; 193.924174; 193.565115; 193.087220; 192.547530; 192.123950; 191.651553; 191.074103; 190.461636; 189.956620; 189.729378; 189.640820; 189.445883; 189.200699; 189.037129; 188.721046; 188.596353; 188.479424; 188.378438; 188.292250; 188.251540; 188.075617; 188.043803; 187.932998; 187.727243; 187.494263; 187.502995; 187.641516; 187.601760; 187.591746; 187.784791; 187.776744; 187.854111; 187.994272; 188.077137; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2683.9; 11:43:54; (); (); (); (); (); (); (); (); (); 184.653193; 185.382605; 185.772628; 185.980931; 186.465606; 186.724409; 186.844364; 187.121063; 187.515631; 187.700257; 187.969252; 188.443825; 188.852042; 189.169139; 189.560011; 189.501017; 189.296156; 189.264968; 189.316899; 188.848391; 188.599348; 188.393131; 188.062072; 187.718794; 187.717289; 187.679514; 187.528148; 187.687993; 187.802121; 188.009754; 188.315928; 188.790634; 189.175412; 189.395785; 189.999864; 190.403238; 190.818131; 191.491276; 191.980913; 192.235410; 192.346439; 192.348436; 191.972822; 191.646099; 191.408768; 191.058531; 190.634340; 190.129131; 189.722121; 189.270720; 189.044505; 188.639745; 188.014656; 187.497497; 187.181324; 186.973155; 186.878994; 186.884955; 186.945140; 186.902493; 187.028006; 187.114134; 187.209845; 187.626988; 188.127533; 188.504785; 188.915417; 189.394265; 190.047339; 190.461069; 190.884650; 191.245615; 191.655308; 192.024961; 192.291915; 192.414954; 192.507595; 192.549601; 192.373469; 192.085728; 191.903785; 191.770568; 191.514820; 191.259280; 191.053495; 190.859541; 190.607771; 190.130621; 189.851329; 189.570040; 189.395666; 189.276680; 189.091131; 188.906074; 188.627139; 188.440740; 188.407809; 188.580096; 188.677102; 188.606367; 188.572735; 188.612953; 188.775465; 188.838020; 188.956201; 189.020514; 189.076185; 189.234778; 189.382210; 189.596862; 189.626828; 189.630896; 189.388260; 188.077137; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2687.9; 11:44:02; (); (); (); (); (); (); (); (); (); 186.416224; 186.272860; 186.201036; 186.111212; 186.319262; 186.537921; 186.561912; 186.767161; 186.844870; 186.868072; 186.917439; 187.308788; 187.866688; 188.363358; 188.764200; 189.289019; 189.583778; 189.720988; 189.993501; 190.067202; 190.076247; 190.057471; 189.987421; 189.859673; 189.786002; 189.728260; 189.672306; 189.548388; 189.335749; 189.162597; 188.902363; 188.676327; 188.465312; 188.300133; 188.088849; 187.848866; 187.682196; 187.557057; 187.591434; 187.740549; 187.572777; 187.361315; 187.187821; 187.346026; 187.445596; 187.510982; 187.644586; 187.844589; 187.971935; 188.285530; 188.765854; 189.303622; 189.493984; 189.588606; 189.613983; 189.580888; 189.398274; 189.354748; 189.007550; 188.916072; 188.859656; 188.917816; 188.990027; 189.078107; 188.809946; 188.575551; 188.322738; 188.239768; 188.246340; 188.343585; 188.579962; 188.919440; 189.484268; 190.105483; 190.435097; 190.627933; 190.869972; 191.122040; 191.086829; 191.312999; 191.552863; 191.812143; 192.166299; 192.196131; 191.981420; 191.619784; 191.099554; 190.238401; 189.421147; 188.808322; 188.282609; 187.656194; 187.154219; 186.944246; 186.679602; 186.261967; 185.967594; 185.662895; 185.604826; 185.933858; 186.469615; 187.282518; 188.194007; 188.799530; 189.168468; 189.534232; 189.938292; 190.266088; 190.617591; 190.909401; 191.343144; 191.774234; 192.323118; 188.077137; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2691.8; 11:44:10; (); (); (); (); (); (); (); (); (); 184.652507; 184.792683; 184.950694; 185.051456; 185.365483; 185.487315; 185.540348; 185.557485; 185.569033; 185.687363; 185.905129; 186.317071; 186.742112; 187.103331; 187.487021; 187.852859; 188.274875; 188.613743; 188.984305; 189.196393; 189.478904; 189.690471; 189.771652; 189.981759; 190.228030; 190.447897; 190.535367; 190.618664; 190.424338; 190.197051; 190.025821; 189.656526; 189.271942; 189.106941; 188.715383; 188.340187; 188.211307; 188.296944; 188.335449; 188.319013; 188.207939; 187.823236; 187.339276; 187.124088; 187.040731; 186.855048; 186.711773; 186.509684; 186.201096; 186.046362; 185.993657; 185.837790; 185.679868; 185.503736; 185.421079; 185.540929; 185.950071; 186.434299; 186.586052; 186.592147; 186.740980; 187.081054; 187.598616; 188.116834; 188.570291; 188.885778; 189.354464; 189.547032; 189.924285; 190.346450; 190.561444; 190.716565; 190.890521; 191.256583; 191.580325; 191.813692; 191.951379; 191.988155; 192.079231; 192.106277; 192.073032; 192.028418; 192.110583; 191.939831; 191.699475; 191.612750; 191.375956; 191.017985; 190.941021; 190.949559; 190.950096; 190.821022; 190.651402; 190.517485; 190.500259; 190.375954; 190.265551; 190.278783; 190.422326; 190.514028; 190.508902; 190.432593; 190.292835; 190.137371; 190.057039; 190.041885; 190.061852; 190.139100; 190.165922; 190.180540; 190.386862; 190.388888; 190.318376; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
2695.8; 11:44:18; (); (); (); (); (); (); (); (); (); 186.796650; 186.748385; 186.779022; 186.843693; 186.767325; 186.793074; 186.898142; 186.894059; 186.957568; 187.115803; 187.389329; 187.344983; 187.143371; 187.066808; 187.115982; 187.160775; 187.262699; 187.390491; 187.511161; 187.770426; 187.820002; 187.990293; 188.402623; 188.635930; 188.727215; 188.811019; 188.912138; 189.075112; 189.167008; 189.189464; 189.235121; 189.231798; 189.093575; 188.715890; 188.490584; 188.595995; 188.589618; 188.321501; 188.420385; 188.628793; 188.599467; 188.638270; 188.607857; 188.576430; 188.484058; 188.340306; 188.443929; 188.626260; 188.905224; 188.821405; 188.492969; 188.357487; 188.290879; 188.007966; 187.880054; 187.908560; 187.861979; 187.681332; 187.556744; 187.655613; 187.951967; 188.067004; 188.126042; 188.215911; 188.405260; 188.425124; 188.349679; 188.511252; 188.839301; 188.994467; 189.140797; 189.480141; 189.749822; 189.901501; 189.924300; 189.923018; 189.887464; 189.922333; 190.019920; 190.307066; 190.638125; 190.885752; 191.038191; 191.103444; 190.862879; 190.518871; 190.258458; 190.407678; 190.426260; 190.560102; 190.363437; 190.025419; 190.039024; 190.012082; 189.889759; 189.716771; 189.377427; 189.137757; 189.022109; 189.127922; 189.186990; 189.076349; 188.829511; 188.515782; 188.225910; 188.293472; 188.447163; 188.257247; 188.134491; 187.969208; 187.899366; 187.977463; 187.603667; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
