Roll Number; 179
Recipe Name; B_R_B
Start Time; 2017-12-13; 14:52:05
File Name; D:\Mahlo\TR\171213145205B_R_B179_XMF2.txt

8435.1; 14:52:17; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.142898; 3.089601; 2.923639; 2.769407; 2.657929; 2.563979; 2.472271; 2.391396; 2.293371; 2.185537; 2.060807; 1.951396; 1.841997; 1.717243; 1.592497; 1.483578; 1.422283; 1.425620; 1.429093; 1.432086; 1.435371; 1.438782; 1.441665; 1.442480; 1.443167; 1.444777; 1.446404; 1.447826; 1.448775; 1.450244; 1.451539; 1.452049; 1.451818; 1.450370; 1.449114; 1.448032; 1.444905; 1.441271; 1.437772; 1.434269; 1.431184; 1.427757; 1.424629; 1.422470; 1.420592; 1.420684; 1.419498; 1.417600; 1.417179; 1.417312; 1.416355; 1.416349; 1.417019; 1.418181; 1.420499; 1.423269; 1.424520; 1.425728; 1.426770; 1.426645; 1.424075; 1.423176; 1.423400; 1.423529; 1.423206; 1.425019; 1.427771; 1.430753; 1.433087; 1.433420; 1.433221; 1.434771; 1.435395; 1.435536; 1.436070; 1.437160; 1.438114; 1.438536; 1.438090; 1.436481; 1.433420; 1.430881; 1.427491; 1.424572; 1.423287; 1.422135; 1.420665; 1.419857; 1.419383; 1.418490; 1.417016; 1.415315; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8438.3; 14:52:26; (); (); (); (); (); 1.421966; 1.424661; 1.426909; 1.427483; 1.427691; 1.427765; 1.428020; 1.428796; 1.430177; 1.431560; 1.432193; 1.433752; 1.435310; 1.436837; 1.437634; 1.438025; 1.438115; 1.438772; 1.440406; 1.443195; 1.445956; 1.448275; 1.450307; 1.451964; 1.453443; 1.455554; 1.457385; 1.458389; 1.458774; 1.459322; 1.459847; 1.460467; 1.460499; 1.459818; 1.458130; 1.456204; 1.454480; 1.453000; 1.451442; 1.450203; 1.449103; 1.447386; 1.445846; 1.444734; 1.443607; 1.442593; 1.441941; 1.442415; 1.443204; 1.443543; 1.443533; 1.443906; 1.444148; 1.444959; 1.446423; 1.447596; 1.449285; 1.450865; 1.453561; 1.456307; 1.458042; 1.460150; 1.461295; 1.463050; 1.465206; 1.465718; 1.465875; 1.466553; 1.466049; 1.464004; 1.462553; 1.461781; 1.460422; 1.458206; 1.456833; 1.456336; 1.455230; 1.454087; 1.452424; 1.451022; 1.450965; 1.450868; 1.450735; 1.453240; 1.457087; 1.460360; 1.463705; 1.466874; 1.467775; 1.467150; 1.467122; 1.467399; 1.467141; 1.466422; 1.465936; 1.466484; 1.466773; 1.465439; 1.462661; 1.458751; 1.454818; 1.450489; 1.446319; 1.444231; 1.443353; 1.442220; 1.440778; 1.439482; 1.438190; 1.436759; 1.434878; 1.432777; 1.432158; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8440.9; 14:52:35; (); (); (); (); (); 1.430580; 1.431117; 1.432728; 1.434427; 1.436188; 1.438112; 1.440312; 1.442248; 1.445877; 1.449372; 1.452243; 1.456414; 1.463330; 1.469342; 1.474938; 1.480988; 1.485824; 1.490078; 1.494589; 1.497990; 1.500891; 1.503641; 1.505708; 1.506479; 1.507913; 1.510033; 1.510724; 1.509362; 1.508524; 1.508292; 1.508480; 1.508818; 1.508990; 1.509512; 1.510157; 1.510947; 1.511888; 1.512578; 1.513210; 1.513580; 1.513583; 1.513588; 1.513771; 1.513393; 1.512255; 1.510854; 1.509022; 1.507528; 1.505684; 1.503256; 1.500961; 1.498763; 1.496549; 1.494263; 1.491941; 1.489693; 1.488155; 1.486159; 1.484568; 1.483976; 1.483776; 1.483610; 1.483001; 1.482450; 1.482358; 1.481858; 1.481307; 1.481033; 1.481000; 1.480917; 1.480568; 1.479776; 1.478966; 1.477539; 1.476379; 1.475121; 1.474187; 1.473845; 1.473613; 1.473117; 1.472693; 1.472650; 1.472818; 1.473438; 1.474549; 1.475972; 1.478361; 1.481176; 1.483161; 1.484384; 1.485719; 1.487053; 1.488656; 1.490337; 1.492667; 1.495968; 1.499072; 1.502230; 1.505686; 1.508158; 1.510535; 1.512664; 1.513934; 1.515960; 1.518772; 1.520983; 1.523301; 1.524785; 1.525704; 1.526239; 1.526356; 1.525665; 1.524630; 1.523941; 1.523845; 1.524360; 1.524426; 1.524298; 1.524036; 1.523368; 1.522496; 1.522171; 1.522474; (); (); (); (); (); (); (); (); (); (); (); (); 
8443.4; 14:52:44; (); (); (); (); (); 1.475939; 1.476043; 1.475938; 1.475688; 1.475808; 1.476377; 1.477108; 1.477440; 1.477502; 1.477785; 1.478321; 1.478830; 1.479489; 1.479598; 1.479312; 1.479200; 1.479141; 1.479277; 1.479328; 1.479159; 1.478534; 1.477901; 1.477459; 1.477498; 1.478053; 1.478774; 1.479549; 1.480389; 1.481451; 1.482488; 1.483169; 1.483908; 1.484908; 1.486465; 1.488171; 1.489821; 1.490894; 1.491432; 1.492008; 1.492157; 1.491911; 1.491894; 1.492969; 1.495835; 1.498299; 1.499648; 1.500184; 1.500198; 1.499581; 1.498520; 1.497494; 1.496585; 1.495838; 1.494621; 1.493659; 1.493204; 1.492340; 1.490491; 1.486869; 1.483474; 1.481601; 1.480066; 1.478614; 1.477239; 1.476266; 1.475440; 1.474599; 1.473781; 1.473213; 1.472217; 1.470722; 1.469878; 1.469464; 1.468668; 1.468146; 1.468340; 1.469608; 1.470423; 1.471121; 1.471880; 1.472907; 1.474348; 1.475927; 1.477411; 1.479802; 1.484035; 1.487566; 1.489168; 1.490507; 1.492073; 1.492771; 1.492545; 1.492584; 1.492939; 1.493024; 1.492633; 1.491546; 1.490497; 1.490560; 1.490564; 1.488890; 1.486694; 1.486409; 1.486858; 1.486937; 1.486910; 1.487311; 1.489822; 1.492775; 1.495808; 1.498994; 1.502896; 1.506357; 1.509004; 1.511436; 1.512947; 1.514940; 1.517230; 1.518797; 1.521281; 1.525043; 1.528993; 1.529965; (); (); (); (); (); (); (); (); (); (); (); (); 
8446.0; 14:52:53; (); (); (); (); (); 1.544839; 1.543063; 1.538990; 1.536038; 1.533796; 1.531802; 1.529733; 1.527921; 1.525656; 1.522362; 1.518900; 1.515833; 1.513010; 1.510504; 1.507688; 1.505391; 1.504339; 1.504907; 1.505816; 1.506756; 1.507273; 1.508200; 1.509768; 1.511387; 1.512812; 1.513701; 1.514504; 1.515955; 1.517417; 1.517711; 1.517663; 1.517263; 1.516627; 1.516353; 1.516484; 1.515675; 1.513484; 1.510235; 1.507747; 1.505420; 1.503343; 1.502242; 1.500012; 1.497256; 1.495505; 1.493726; 1.492352; 1.491199; 1.489582; 1.487407; 1.486586; 1.487013; 1.488022; 1.488980; 1.490240; 1.491925; 1.493118; 1.495068; 1.496646; 1.498325; 1.500021; 1.501853; 1.503565; 1.504507; 1.506217; 1.508180; 1.510197; 1.512268; 1.514793; 1.517853; 1.520423; 1.522332; 1.523362; 1.525282; 1.527598; 1.529285; 1.530342; 1.531164; 1.532119; 1.532541; 1.532418; 1.531960; 1.531446; 1.530194; 1.528310; 1.526628; 1.525607; 1.525124; 1.525044; 1.523835; 1.522953; 1.522704; 1.522248; 1.521242; 1.520682; 1.520036; 1.519179; 1.518203; 1.517175; 1.515707; 1.513986; 1.512672; 1.510864; 1.508297; 1.507755; 1.506732; 1.505155; 1.504068; 1.503385; 1.502500; 1.502557; 1.503354; 1.502831; 1.501971; 1.501964; 1.502287; 1.502508; 1.502507; 1.502517; 1.501566; 1.501367; 1.501895; 1.501912; (); (); (); (); (); (); (); (); (); (); (); (); 
8448.6; 14:53:02; (); (); (); (); (); 1.477543; 1.476585; 1.475711; 1.474896; 1.474594; 1.474712; 1.475139; 1.476705; 1.478257; 1.478018; 1.477307; 1.476645; 1.476472; 1.476973; 1.478137; 1.479822; 1.481975; 1.484355; 1.487088; 1.489991; 1.491888; 1.493257; 1.493907; 1.495252; 1.498079; 1.499902; 1.500889; 1.501409; 1.501148; 1.500124; 1.498447; 1.496373; 1.493885; 1.490449; 1.487582; 1.485011; 1.482614; 1.480080; 1.476171; 1.472346; 1.468810; 1.465839; 1.463793; 1.462251; 1.460878; 1.459637; 1.458863; 1.458720; 1.459226; 1.459863; 1.460511; 1.460980; 1.461425; 1.462267; 1.463532; 1.465325; 1.467393; 1.469172; 1.470480; 1.471827; 1.472953; 1.473744; 1.474128; 1.473883; 1.473030; 1.471907; 1.471072; 1.470927; 1.471727; 1.471603; 1.471136; 1.470513; 1.469879; 1.469174; 1.468338; 1.467527; 1.466641; 1.465939; 1.465644; 1.466029; 1.466556; 1.467075; 1.466680; 1.465494; 1.464929; 1.463975; 1.463175; 1.462773; 1.463079; 1.463717; 1.464517; 1.465749; 1.467320; 1.468714; 1.470019; 1.472083; 1.474405; 1.477382; 1.481144; 1.484581; 1.488652; 1.493696; 1.497892; 1.501718; 1.505641; 1.510214; 1.514876; 1.516388; 1.517406; 1.518325; 1.518927; 1.518896; 1.518391; 1.517550; 1.516651; 1.515789; 1.514838; 1.513723; 1.512318; 1.509907; 1.506475; 1.502419; 1.502068; (); (); (); (); (); (); (); (); (); (); (); (); 
8451.1; 14:53:11; (); (); (); (); (); 1.485123; 1.486523; 1.487916; 1.488578; 1.488727; 1.488779; 1.488882; 1.489003; 1.489461; 1.490162; 1.491296; 1.492445; 1.493702; 1.495354; 1.497280; 1.499703; 1.501160; 1.502693; 1.504990; 1.509185; 1.514758; 1.521121; 1.526403; 1.530384; 1.534185; 1.537234; 1.539250; 1.541523; 1.542909; 1.543390; 1.543552; 1.543889; 1.544792; 1.547223; 1.548483; 1.547124; 1.543041; 1.539086; 1.537736; 1.537861; 1.538049; 1.538691; 1.538410; 1.539033; 1.541912; 1.546462; 1.551454; 1.554048; 1.554733; 1.556135; 1.559857; 1.563471; 1.567189; 1.570581; 1.573518; 1.577131; 1.582134; 1.586737; 1.588318; 1.586988; 1.584854; 1.581172; 1.576226; 1.571455; 1.566542; 1.560767; 1.555549; 1.552019; 1.549250; 1.545988; 1.541654; 1.533352; 1.524253; 1.519800; 1.515283; 1.509536; 1.506628; 1.504263; 1.502668; 1.501875; 1.501094; 1.500296; 1.498821; 1.494948; 1.490605; 1.488995; 1.492662; 1.497779; 1.500540; 1.502456; 1.504026; 1.505226; 1.507192; 1.508368; 1.508376; 1.507994; 1.508586; 1.512041; 1.516330; 1.518210; 1.518692; 1.516668; 1.513477; 1.510677; 1.509484; 1.508618; 1.507734; 1.507210; 1.506384; 1.505565; 1.505317; 1.504030; 1.499790; 1.496592; 1.495976; 1.495535; 1.495265; 1.495319; 1.495404; 1.495897; 1.496943; 1.498001; 1.499151; (); (); (); (); (); (); (); (); (); (); (); (); 
8453.7; 14:53:20; (); (); (); (); (); 1.507104; 1.507930; 1.508035; 1.507551; 1.507181; 1.507092; 1.507001; 1.507348; 1.509528; 1.512645; 1.514279; 1.514545; 1.513447; 1.510987; 1.509157; 1.507641; 1.506324; 1.505541; 1.504969; 1.504299; 1.503224; 1.502250; 1.501681; 1.499754; 1.497003; 1.495683; 1.495312; 1.495145; 1.494479; 1.494322; 1.494091; 1.493373; 1.492610; 1.492018; 1.491662; 1.491824; 1.492994; 1.493897; 1.493742; 1.493604; 1.493801; 1.494009; 1.494035; 1.494765; 1.495981; 1.498423; 1.501936; 1.503804; 1.505408; 1.506690; 1.507105; 1.505881; 1.504929; 1.504393; 1.503557; 1.502559; 1.500952; 1.499097; 1.496348; 1.492330; 1.487419; 1.481618; 1.476415; 1.471968; 1.468031; 1.464399; 1.462146; 1.460362; 1.458788; 1.457469; 1.456147; 1.455915; 1.456617; 1.458261; 1.460637; 1.463926; 1.468919; 1.474234; 1.478738; 1.483292; 1.487840; 1.491364; 1.494139; 1.496741; 1.499754; 1.502111; 1.503860; 1.505177; 1.506080; 1.506324; 1.506171; 1.505408; 1.504430; 1.503644; 1.502118; 1.500898; 1.500524; 1.500357; 1.500090; 1.499580; 1.499003; 1.498551; 1.498409; 1.498424; 1.498481; 1.497968; 1.497463; 1.499248; 1.501854; 1.504918; 1.507260; 1.509196; 1.511445; 1.513582; 1.515789; 1.517649; 1.519301; 1.520876; 1.522720; 1.525486; 1.529103; 1.532868; 1.533236; (); (); (); (); (); (); (); (); (); (); (); (); 
8456.3; 14:53:29; (); (); (); (); (); 1.482398; 1.482844; 1.484431; 1.486028; 1.487413; 1.488563; 1.489363; 1.489711; 1.490450; 1.491611; 1.492690; 1.493564; 1.494778; 1.496956; 1.498816; 1.500496; 1.501919; 1.502492; 1.503198; 1.504748; 1.507146; 1.510323; 1.513987; 1.516927; 1.519242; 1.521466; 1.524202; 1.527338; 1.530416; 1.534198; 1.539760; 1.544730; 1.549126; 1.553970; 1.557352; 1.558865; 1.558814; 1.558202; 1.558912; 1.561555; 1.562931; 1.562600; 1.561640; 1.559379; 1.556750; 1.553026; 1.548536; 1.544591; 1.540061; 1.535016; 1.531972; 1.530550; 1.529443; 1.528636; 1.525794; 1.523179; 1.522130; 1.521698; 1.521198; 1.520041; 1.518873; 1.518269; 1.518246; 1.518732; 1.519076; 1.519024; 1.518288; 1.517826; 1.516232; 1.514848; 1.513703; 1.511702; 1.508526; 1.505717; 1.503420; 1.501095; 1.498040; 1.494603; 1.491607; 1.487802; 1.483687; 1.480191; 1.476189; 1.472042; 1.468498; 1.466035; 1.464290; 1.463320; 1.462528; 1.461833; 1.461435; 1.461464; 1.461975; 1.462937; 1.464321; 1.465757; 1.466590; 1.467131; 1.468210; 1.469315; 1.470075; 1.470640; 1.470838; 1.471035; 1.471185; 1.471105; 1.470500; 1.469647; 1.469197; 1.468667; 1.468395; 1.469089; 1.471469; 1.475351; 1.478019; 1.480485; 1.482324; 1.483231; 1.484262; 1.485724; 1.487734; 1.491227; 1.495108; (); (); (); (); (); (); (); (); (); (); (); (); 
8469.0; 14:54:12; (); (); (); (); (); 1.544328; 1.542805; 1.538206; 1.534123; 1.531207; 1.528755; 1.526649; 1.525998; 1.524811; 1.522350; 1.519975; 1.517500; 1.514503; 1.512068; 1.509741; 1.507210; 1.506222; 1.507309; 1.508078; 1.508619; 1.509271; 1.510014; 1.509644; 1.509072; 1.509092; 1.509479; 1.510054; 1.510446; 1.510751; 1.510790; 1.510664; 1.510099; 1.509641; 1.509580; 1.509567; 1.509314; 1.508919; 1.508590; 1.507816; 1.506771; 1.505572; 1.504318; 1.503300; 1.502198; 1.501409; 1.500371; 1.499042; 1.498144; 1.497102; 1.496055; 1.495306; 1.494720; 1.494044; 1.493713; 1.494026; 1.494550; 1.494622; 1.494385; 1.493844; 1.492988; 1.492643; 1.492578; 1.492159; 1.491752; 1.491254; 1.490389; 1.489127; 1.487552; 1.485465; 1.483442; 1.481311; 1.479480; 1.478584; 1.478315; 1.478225; 1.478196; 1.478425; 1.478958; 1.479265; 1.479544; 1.479706; 1.480338; 1.482045; 1.483719; 1.484971; 1.486289; 1.488089; 1.490389; 1.492339; 1.494963; 1.497810; 1.497731; 1.496457; 1.496762; 1.498112; 1.498720; 1.497978; 1.496394; 1.494873; 1.494029; 1.492960; 1.490926; 1.489083; 1.487553; 1.485144; 1.483824; 1.485195; 1.487391; 1.487743; 1.487063; 1.488137; 1.491736; 1.498085; 1.505811; 1.512517; 1.516244; 1.519282; 1.522432; 1.525027; 1.527688; 1.530891; 1.534403; 1.537927; (); (); (); (); (); (); (); (); (); (); (); (); 
8471.5; 14:54:21; (); (); (); (); (); 1.511662; 1.508348; 1.505374; 1.504050; 1.503053; 1.502000; 1.500614; 1.498715; 1.496396; 1.493871; 1.490949; 1.488621; 1.486600; 1.485252; 1.484409; 1.484142; 1.484811; 1.485756; 1.485996; 1.486285; 1.486905; 1.488217; 1.490676; 1.493006; 1.495098; 1.497216; 1.499840; 1.502102; 1.503426; 1.504734; 1.505892; 1.506549; 1.507230; 1.509155; 1.510449; 1.510576; 1.510004; 1.508941; 1.508681; 1.508260; 1.507306; 1.505124; 1.502632; 1.500781; 1.499313; 1.499145; 1.499649; 1.499961; 1.498324; 1.496439; 1.495086; 1.494693; 1.494235; 1.492820; 1.492495; 1.494741; 1.498240; 1.501426; 1.504754; 1.507727; 1.508296; 1.507756; 1.507238; 1.507306; 1.508196; 1.508722; 1.508455; 1.508423; 1.508274; 1.507889; 1.507599; 1.507412; 1.504839; 1.501759; 1.499566; 1.498797; 1.498406; 1.498209; 1.498643; 1.499317; 1.500541; 1.502453; 1.505005; 1.508782; 1.511631; 1.511229; 1.510212; 1.511134; 1.512517; 1.513398; 1.513976; 1.514746; 1.515317; 1.515158; 1.514565; 1.513964; 1.512957; 1.510359; 1.507945; 1.506504; 1.504842; 1.503891; 1.502881; 1.501562; 1.500467; 1.499301; 1.497989; 1.498589; 1.499734; 1.501257; 1.502781; 1.504226; 1.505771; 1.506835; 1.507611; 1.508639; 1.509759; 1.511010; 1.512645; 1.515056; 1.518271; 1.520831; 1.520831; (); (); (); (); (); (); (); (); (); (); (); (); 
