Roll Number; 179
Recipe Name; B_R_B
Start Time; 2017-12-13; 14:52:05
File Name; D:\Mahlo\TR\171213145205B_R_B179_THICKNESS2.txt

8435.1; 14:52:17; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.618512; 0.625340; 0.627203; 0.629722; 0.633455; 0.638356; 0.640169; 0.639937; 0.640219; 0.639911; 0.639183; 0.639928; 0.639288; 0.641079; 0.641943; 0.640540; 0.638185; 0.635646; 0.632568; 0.629286; 0.626629; 0.625861; 0.627365; 0.632698; 0.635520; 0.637027; 0.640650; 0.643562; 0.647015; 0.648469; 0.645877; 0.644196; 0.649537; 0.652929; 0.653022; 0.651576; 0.649258; 0.646672; 0.643142; 0.641514; 0.641606; 0.642994; 0.644424; 0.642250; 0.644336; 0.652393; 0.654515; 0.651120; 0.651789; 0.651381; 0.652317; 0.657173; 0.658061; 0.654080; 0.651028; 0.651211; 0.650628; 0.646034; 0.646382; 0.641713; 0.634428; 0.632732; 0.633647; 0.634317; 0.640166; 0.645806; 0.646149; 0.645620; 0.654449; 0.662244; 0.665090; 0.668387; 0.674874; 0.672756; 0.677851; 0.684843; 0.687650; 0.688332; 0.688080; 0.684196; 0.679726; 0.677429; 0.676303; 0.673711; 0.672949; 0.672181; 0.670374; 0.667059; 0.670364; 0.667863; 0.663416; 0.662515; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8438.3; 14:52:26; (); (); (); (); (); 0.626943; 0.634410; 0.636615; 0.636818; 0.635827; 0.636298; 0.636494; 0.636279; 0.636177; 0.635780; 0.636425; 0.638402; 0.641426; 0.641002; 0.633828; 0.629648; 0.629645; 0.627879; 0.625451; 0.621658; 0.617147; 0.610421; 0.604332; 0.604395; 0.607988; 0.610242; 0.614307; 0.612203; 0.609228; 0.611094; 0.611407; 0.609033; 0.609542; 0.614434; 0.622357; 0.628084; 0.638536; 0.648427; 0.650776; 0.648096; 0.646124; 0.646105; 0.648236; 0.651733; 0.653222; 0.653921; 0.655877; 0.657447; 0.659440; 0.663239; 0.659583; 0.657547; 0.656507; 0.655334; 0.659370; 0.658406; 0.659145; 0.658716; 0.658452; 0.660024; 0.661077; 0.664687; 0.665327; 0.660739; 0.653547; 0.652556; 0.651783; 0.652428; 0.654073; 0.649966; 0.656999; 0.659447; 0.663139; 0.666179; 0.666821; 0.663573; 0.659992; 0.661847; 0.667397; 0.671619; 0.675243; 0.674527; 0.672994; 0.673131; 0.674759; 0.669875; 0.664174; 0.659171; 0.653847; 0.648570; 0.649922; 0.653236; 0.650867; 0.645839; 0.640345; 0.641328; 0.638532; 0.639071; 0.641880; 0.641691; 0.644756; 0.651654; 0.655766; 0.659018; 0.664012; 0.664132; 0.662085; 0.659639; 0.661503; 0.668216; 0.668804; 0.675735; 0.677693; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8440.9; 14:52:35; (); (); (); (); (); 0.599238; 0.601864; 0.605217; 0.610061; 0.611929; 0.611948; 0.612727; 0.613868; 0.613129; 0.611894; 0.614549; 0.619119; 0.623419; 0.627243; 0.631978; 0.633380; 0.634449; 0.636690; 0.637945; 0.635886; 0.634667; 0.633650; 0.632931; 0.634970; 0.638702; 0.640290; 0.642024; 0.643300; 0.643421; 0.641446; 0.640454; 0.637320; 0.634956; 0.637022; 0.639495; 0.636618; 0.635607; 0.635762; 0.635349; 0.637151; 0.637877; 0.636943; 0.637214; 0.638873; 0.640600; 0.642753; 0.644971; 0.644741; 0.640787; 0.642486; 0.649038; 0.651581; 0.652434; 0.654486; 0.655092; 0.656728; 0.656130; 0.653237; 0.651173; 0.649729; 0.650390; 0.652706; 0.654979; 0.654678; 0.655190; 0.659180; 0.663722; 0.667385; 0.669302; 0.668579; 0.668943; 0.672292; 0.674505; 0.671474; 0.668940; 0.671443; 0.671849; 0.674989; 0.680676; 0.683027; 0.679877; 0.676742; 0.674172; 0.672358; 0.672376; 0.668829; 0.664617; 0.668601; 0.675601; 0.679975; 0.675959; 0.675000; 0.672402; 0.667383; 0.664847; 0.667428; 0.670575; 0.673275; 0.674541; 0.674480; 0.678899; 0.681934; 0.679542; 0.675891; 0.676400; 0.680002; 0.677863; 0.675372; 0.673899; 0.671036; 0.667513; 0.662753; 0.661238; 0.662268; 0.662913; 0.660383; 0.657647; 0.656056; 0.653409; 0.649855; 0.646326; 0.647867; 0.650104; (); (); (); (); (); (); (); (); (); (); (); (); 
8443.4; 14:52:44; (); (); (); (); (); 0.626095; 0.622102; 0.622485; 0.622723; 0.620429; 0.617635; 0.618494; 0.621878; 0.619331; 0.618095; 0.614419; 0.613388; 0.616832; 0.618708; 0.618653; 0.619667; 0.621652; 0.622049; 0.619766; 0.624226; 0.630126; 0.631933; 0.628087; 0.627891; 0.629445; 0.628351; 0.626984; 0.626623; 0.626725; 0.629221; 0.631425; 0.631160; 0.629600; 0.630901; 0.629677; 0.626350; 0.626505; 0.629677; 0.634023; 0.639550; 0.647161; 0.653288; 0.651568; 0.651522; 0.653781; 0.655616; 0.657645; 0.659673; 0.661338; 0.660368; 0.660050; 0.660910; 0.660789; 0.656598; 0.648712; 0.642472; 0.641744; 0.647610; 0.651513; 0.653499; 0.653381; 0.654303; 0.657649; 0.658764; 0.661317; 0.662901; 0.661805; 0.660706; 0.661758; 0.664176; 0.661322; 0.655905; 0.651127; 0.651250; 0.649509; 0.649495; 0.649878; 0.648862; 0.653044; 0.652227; 0.653455; 0.652853; 0.649390; 0.651927; 0.658656; 0.661093; 0.661647; 0.659640; 0.655457; 0.651413; 0.650061; 0.651116; 0.651421; 0.649082; 0.650987; 0.653118; 0.655093; 0.656940; 0.655714; 0.652882; 0.652755; 0.655729; 0.660063; 0.660451; 0.663058; 0.660838; 0.657518; 0.657564; 0.658808; 0.655978; 0.655533; 0.657682; 0.657893; 0.654695; 0.655026; 0.655789; 0.655802; 0.657039; 0.660421; 0.663570; 0.668215; 0.670535; 0.668736; (); (); (); (); (); (); (); (); (); (); (); (); 
8446.0; 14:52:53; (); (); (); (); (); 0.614965; 0.612988; 0.611435; 0.615640; 0.620729; 0.623200; 0.625273; 0.628762; 0.632967; 0.638770; 0.644432; 0.646348; 0.644890; 0.643553; 0.644879; 0.645702; 0.651717; 0.657085; 0.652913; 0.647010; 0.646818; 0.648558; 0.647738; 0.644212; 0.640756; 0.636571; 0.637894; 0.638013; 0.635476; 0.631982; 0.627417; 0.620179; 0.618628; 0.623654; 0.629224; 0.632306; 0.632755; 0.633023; 0.633228; 0.632629; 0.630902; 0.628492; 0.631523; 0.634283; 0.635133; 0.644563; 0.653534; 0.651947; 0.646523; 0.643654; 0.641098; 0.637156; 0.636574; 0.639135; 0.643675; 0.647304; 0.649479; 0.647197; 0.647098; 0.648756; 0.642295; 0.635773; 0.635039; 0.638491; 0.646498; 0.652937; 0.654529; 0.651405; 0.647008; 0.646081; 0.651213; 0.655995; 0.658330; 0.658809; 0.660936; 0.667297; 0.670002; 0.675594; 0.675848; 0.670216; 0.663044; 0.663079; 0.666627; 0.668467; 0.666104; 0.661400; 0.659240; 0.661236; 0.663412; 0.663495; 0.660919; 0.663529; 0.663721; 0.664026; 0.665743; 0.668335; 0.666075; 0.662303; 0.663465; 0.666930; 0.668920; 0.668007; 0.668118; 0.667796; 0.667187; 0.666492; 0.664513; 0.663898; 0.662384; 0.656552; 0.652440; 0.655176; 0.663769; 0.663918; 0.658808; 0.655347; 0.655883; 0.653120; 0.652338; 0.651926; 0.650442; 0.647196; 0.644992; (); (); (); (); (); (); (); (); (); (); (); (); 
8448.6; 14:53:02; (); (); (); (); (); 0.619367; 0.617989; 0.618954; 0.623829; 0.628215; 0.629917; 0.632818; 0.641247; 0.645531; 0.649539; 0.649201; 0.647074; 0.645217; 0.643062; 0.640114; 0.640245; 0.640321; 0.638435; 0.634871; 0.629176; 0.625843; 0.623682; 0.623444; 0.627036; 0.622638; 0.621949; 0.623127; 0.625833; 0.628642; 0.631448; 0.633838; 0.637186; 0.639764; 0.638370; 0.642958; 0.643815; 0.643622; 0.643697; 0.643599; 0.647880; 0.648019; 0.647479; 0.650097; 0.649492; 0.648022; 0.650451; 0.652934; 0.653593; 0.659072; 0.654788; 0.658617; 0.664781; 0.664986; 0.662730; 0.659290; 0.657850; 0.656997; 0.655549; 0.657105; 0.656946; 0.653923; 0.652613; 0.654409; 0.657342; 0.663998; 0.661457; 0.655696; 0.652549; 0.655964; 0.661630; 0.664483; 0.665469; 0.666611; 0.669731; 0.674282; 0.679122; 0.680695; 0.681051; 0.683123; 0.682225; 0.682502; 0.685378; 0.689579; 0.691426; 0.693479; 0.694399; 0.693118; 0.689612; 0.684976; 0.680180; 0.678634; 0.681995; 0.683259; 0.678586; 0.677327; 0.675428; 0.672750; 0.669339; 0.665149; 0.663707; 0.664636; 0.666986; 0.669653; 0.673328; 0.672948; 0.666563; 0.659248; 0.655758; 0.654797; 0.654511; 0.661997; 0.666137; 0.665972; 0.664087; 0.661210; 0.659214; 0.659040; 0.659347; 0.656633; 0.660299; 0.665894; 0.668664; 0.669803; (); (); (); (); (); (); (); (); (); (); (); (); 
8451.1; 14:53:11; (); (); (); (); (); 0.619943; 0.616518; 0.618874; 0.622791; 0.628391; 0.637259; 0.638658; 0.638363; 0.639398; 0.642176; 0.641170; 0.641537; 0.641097; 0.640119; 0.641923; 0.646804; 0.649525; 0.647932; 0.647390; 0.648077; 0.643592; 0.642577; 0.643080; 0.644261; 0.643539; 0.640511; 0.639922; 0.639535; 0.639677; 0.639902; 0.636080; 0.636678; 0.638430; 0.639423; 0.637519; 0.632250; 0.630851; 0.632676; 0.634445; 0.634902; 0.634396; 0.638472; 0.640574; 0.641476; 0.643177; 0.646982; 0.645905; 0.642468; 0.640071; 0.638529; 0.636795; 0.635840; 0.636450; 0.636703; 0.636258; 0.641092; 0.638362; 0.635493; 0.631630; 0.627213; 0.629226; 0.633270; 0.637625; 0.640491; 0.646027; 0.654002; 0.659288; 0.658389; 0.656356; 0.652589; 0.646064; 0.645932; 0.653495; 0.660706; 0.665436; 0.666026; 0.669245; 0.671318; 0.671965; 0.669867; 0.666629; 0.663840; 0.664524; 0.666552; 0.669943; 0.677259; 0.678791; 0.679181; 0.681113; 0.684757; 0.689371; 0.684545; 0.685224; 0.680688; 0.676917; 0.680829; 0.682002; 0.683977; 0.688877; 0.691030; 0.689938; 0.690243; 0.684939; 0.679226; 0.674728; 0.669916; 0.668194; 0.671561; 0.675329; 0.674857; 0.670007; 0.670704; 0.668166; 0.665070; 0.662907; 0.660024; 0.657879; 0.659961; 0.661127; 0.661279; 0.661860; 0.657898; 0.646427; (); (); (); (); (); (); (); (); (); (); (); (); 
8453.7; 14:53:20; (); (); (); (); (); 0.617254; 0.612979; 0.618681; 0.621754; 0.620839; 0.620671; 0.620343; 0.618839; 0.615942; 0.615795; 0.618557; 0.622704; 0.625165; 0.622462; 0.616834; 0.618732; 0.617490; 0.615160; 0.616557; 0.619993; 0.624038; 0.627419; 0.630587; 0.633410; 0.635153; 0.633147; 0.628613; 0.626341; 0.629410; 0.630442; 0.632937; 0.633314; 0.631945; 0.627727; 0.624050; 0.622404; 0.621440; 0.623008; 0.627268; 0.626688; 0.627666; 0.631648; 0.633328; 0.631108; 0.631204; 0.630494; 0.633736; 0.636903; 0.637412; 0.638945; 0.638010; 0.637538; 0.636827; 0.634951; 0.640198; 0.645915; 0.647904; 0.646380; 0.645988; 0.654930; 0.655075; 0.657701; 0.663796; 0.670493; 0.676326; 0.681876; 0.683769; 0.683671; 0.684194; 0.688343; 0.684572; 0.683764; 0.688720; 0.694375; 0.690786; 0.692246; 0.688733; 0.679515; 0.673054; 0.669665; 0.665470; 0.665453; 0.670742; 0.675200; 0.670223; 0.669545; 0.666517; 0.664187; 0.666306; 0.666640; 0.667610; 0.670730; 0.676154; 0.678858; 0.678928; 0.682236; 0.681390; 0.674790; 0.666786; 0.663982; 0.669838; 0.674954; 0.675931; 0.673153; 0.670039; 0.670357; 0.670650; 0.671016; 0.673246; 0.675752; 0.670287; 0.670943; 0.673380; 0.673641; 0.671450; 0.666923; 0.662955; 0.660231; 0.660466; 0.663020; 0.659394; 0.655802; 0.653244; (); (); (); (); (); (); (); (); (); (); (); (); 
8456.3; 14:53:29; (); (); (); (); (); 0.600329; 0.602104; 0.600628; 0.596029; 0.593895; 0.592008; 0.592396; 0.595757; 0.605509; 0.611086; 0.613857; 0.610531; 0.609264; 0.611882; 0.609968; 0.609950; 0.610798; 0.616057; 0.624665; 0.634173; 0.637701; 0.635381; 0.629678; 0.624956; 0.622622; 0.623124; 0.624643; 0.628090; 0.632248; 0.631884; 0.628844; 0.628022; 0.626689; 0.621444; 0.614389; 0.616578; 0.624406; 0.630885; 0.632010; 0.633622; 0.638958; 0.642573; 0.642115; 0.639193; 0.642774; 0.646745; 0.648743; 0.649463; 0.650377; 0.655527; 0.658087; 0.658192; 0.655641; 0.655660; 0.659729; 0.658004; 0.656781; 0.658048; 0.661402; 0.667370; 0.669609; 0.669939; 0.673235; 0.678387; 0.677730; 0.675894; 0.679808; 0.686019; 0.688978; 0.685330; 0.684870; 0.682159; 0.681252; 0.683732; 0.681250; 0.679823; 0.679055; 0.678228; 0.676651; 0.673200; 0.672862; 0.671016; 0.669089; 0.669469; 0.668901; 0.670108; 0.675993; 0.681053; 0.677647; 0.670894; 0.671581; 0.673767; 0.670667; 0.667655; 0.669851; 0.665165; 0.661889; 0.660818; 0.661127; 0.662687; 0.660766; 0.657982; 0.655931; 0.658512; 0.666611; 0.666850; 0.670336; 0.673813; 0.674414; 0.673790; 0.675225; 0.673939; 0.670574; 0.665929; 0.663096; 0.661036; 0.659218; 0.658524; 0.657623; 0.652325; 0.648837; 0.639325; 0.636631; (); (); (); (); (); (); (); (); (); (); (); (); 
8469.0; 14:54:12; (); (); (); (); (); 0.655549; 0.658213; 0.665326; 0.669509; 0.667053; 0.661282; 0.655015; 0.651576; 0.652944; 0.656668; 0.659619; 0.659588; 0.654299; 0.649979; 0.647203; 0.646138; 0.644150; 0.637686; 0.636461; 0.640187; 0.645044; 0.649040; 0.652113; 0.653261; 0.651016; 0.655097; 0.661660; 0.664207; 0.666255; 0.669173; 0.671003; 0.673562; 0.677280; 0.675164; 0.672124; 0.674003; 0.677418; 0.678730; 0.676288; 0.683820; 0.678847; 0.672771; 0.671028; 0.670979; 0.672328; 0.672890; 0.674265; 0.677318; 0.680235; 0.680828; 0.682207; 0.684675; 0.686999; 0.689742; 0.688756; 0.694029; 0.698580; 0.694436; 0.690740; 0.692585; 0.692264; 0.690775; 0.688405; 0.686529; 0.690447; 0.692370; 0.690273; 0.683013; 0.678445; 0.677667; 0.675566; 0.677564; 0.686159; 0.689888; 0.687566; 0.688634; 0.690822; 0.691354; 0.689615; 0.690345; 0.688812; 0.689715; 0.695120; 0.698061; 0.698266; 0.698888; 0.698386; 0.696819; 0.697910; 0.698316; 0.701066; 0.702700; 0.703871; 0.709527; 0.710210; 0.707739; 0.706067; 0.709377; 0.714306; 0.712209; 0.709246; 0.708664; 0.708806; 0.706772; 0.706640; 0.701905; 0.696918; 0.693614; 0.691033; 0.686464; 0.688934; 0.687950; 0.683075; 0.678845; 0.681292; 0.686110; 0.687533; 0.687397; 0.687453; 0.686873; 0.689652; 0.693967; 0.693533; (); (); (); (); (); (); (); (); (); (); (); (); 
8471.5; 14:54:21; (); (); (); (); (); 0.650780; 0.654211; 0.657642; 0.660335; 0.662916; 0.665908; 0.664854; 0.665260; 0.662696; 0.659986; 0.660935; 0.664351; 0.663274; 0.661938; 0.662516; 0.658148; 0.654519; 0.652063; 0.649301; 0.645265; 0.642397; 0.640570; 0.643005; 0.645587; 0.647831; 0.652805; 0.657065; 0.656065; 0.652951; 0.651128; 0.655711; 0.656390; 0.656560; 0.657752; 0.658657; 0.658859; 0.658374; 0.655536; 0.655112; 0.653628; 0.647000; 0.647928; 0.652375; 0.658294; 0.664206; 0.664611; 0.667977; 0.667929; 0.667550; 0.671468; 0.672135; 0.675407; 0.678300; 0.679879; 0.681150; 0.687128; 0.687280; 0.685156; 0.681859; 0.679284; 0.678696; 0.677132; 0.678661; 0.679257; 0.677203; 0.678592; 0.680522; 0.681904; 0.683260; 0.682815; 0.678343; 0.676094; 0.677146; 0.679610; 0.681646; 0.683698; 0.683911; 0.682448; 0.682013; 0.682179; 0.679364; 0.675783; 0.675094; 0.675687; 0.677397; 0.679765; 0.676143; 0.674503; 0.675834; 0.678341; 0.679313; 0.678102; 0.682789; 0.688390; 0.689981; 0.689767; 0.695463; 0.696863; 0.695455; 0.693492; 0.691717; 0.696957; 0.699634; 0.699347; 0.698156; 0.697901; 0.702618; 0.698466; 0.693500; 0.694020; 0.698307; 0.694812; 0.695338; 0.695114; 0.694625; 0.695858; 0.694731; 0.694743; 0.693148; 0.690815; 0.688768; 0.685326; 0.688044; (); (); (); (); (); (); (); (); (); (); (); (); 
