Roll Number; 179
Recipe Name; B_R_B
Start Time; 2017-12-13; 14:52:05
File Name; D:\Mahlo\TR\171213145205B_R_B179_FMI2.txt

8435.1; 14:52:17; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 590.860188; 591.077089; 589.478374; 588.587940; 588.944256; 587.750733; 585.643709; 584.605932; 582.800448; 581.371069; 582.080066; 580.743074; 579.928398; 579.803407; 577.088058; 573.449790; 571.459770; 570.194185; 568.830729; 567.106009; 567.025006; 567.772269; 567.704618; 569.338024; 571.383059; 571.713865; 573.884487; 576.603174; 577.298939; 578.872383; 581.399560; 584.186852; 587.090075; 587.733150; 586.984277; 587.915242; 589.090824; 590.720534; 590.378225; 590.457201; 590.879142; 590.323746; 587.880671; 585.956335; 584.735155; 585.805178; 585.826755; 585.617483; 585.448384; 586.448550; 584.853411; 583.616138; 582.798481; 582.664967; 582.783818; 583.297133; 582.547903; 581.783950; 583.378136; 585.209370; 585.097373; 582.673013; 579.352260; 578.055561; 578.810155; 580.892742; 581.262946; 581.401229; 581.141770; 581.299901; 581.797481; 581.800640; 579.996586; 579.695940; 579.390049; 580.292284; 582.161844; 584.558785; 587.307930; 587.573409; 586.930096; 585.732520; 584.147632; 583.349764; 582.171917; 581.613004; 581.612468; 584.162116; 584.147036; 582.653403; 579.438567; 578.530610; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8438.3; 14:52:26; (); (); (); (); (); 580.525398; 583.428383; 584.086835; 582.759917; 582.082987; 580.626786; 580.769002; 581.497371; 583.054602; 584.843516; 584.916353; 583.130956; 584.443450; 583.080709; 579.701543; 576.030016; 573.974013; 573.139906; 576.092720; 578.429222; 579.655886; 579.384327; 577.521503; 576.382339; 576.195300; 576.727986; 577.907026; 575.367749; 572.879016; 572.031617; 573.001027; 572.813392; 572.419345; 568.355501; 564.966798; 562.552631; 563.148737; 565.698087; 565.784991; 566.592991; 566.811979; 565.937579; 567.363322; 569.002450; 569.784164; 569.218040; 569.597542; 569.873095; 570.617020; 571.917653; 574.090481; 575.142503; 574.307561; 574.329734; 577.014863; 577.701986; 577.466667; 576.643527; 575.418115; 576.078057; 576.267838; 575.060964; 573.811054; 574.164867; 575.313449; 575.481117; 573.178947; 571.678519; 571.862042; 568.120003; 566.350937; 568.046749; 568.383276; 569.398701; 570.860267; 572.107613; 573.373556; 575.250804; 575.529635; 573.622644; 573.085368; 573.544860; 574.748218; 575.133681; 578.209162; 579.397559; 576.476634; 574.297845; 572.771609; 569.831669; 568.221509; 568.068862; 567.963660; 568.086028; 570.382297; 572.104752; 572.192788; 571.137369; 570.124924; 568.078697; 567.726970; 568.657398; 569.773853; 572.201014; 573.769152; 574.828804; 575.125456; 574.952424; 574.864686; 572.209477; 569.668651; 568.671167; 569.313645; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
8440.9; 14:52:35; (); (); (); (); (); 572.010279; 572.061002; 570.449710; 567.535162; 565.639853; 564.447880; 564.044237; 563.628733; 563.440382; 560.437143; 560.569823; 561.775267; 564.201891; 565.892041; 567.750514; 567.691267; 567.170203; 568.254173; 568.973303; 569.928527; 571.375906; 570.898116; 571.474373; 570.096195; 570.651889; 570.666373; 568.670034; 566.907644; 566.504836; 565.933585; 565.803409; 565.331101; 565.046132; 565.526426; 565.569580; 565.915167; 568.100154; 567.775548; 569.183111; 570.711136; 571.486294; 572.682559; 575.022101; 574.110448; 575.284064; 575.049818; 574.936271; 577.086687; 578.907907; 578.811705; 579.470873; 581.177115; 582.258224; 582.926989; 581.104279; 580.285966; 579.862297; 576.548994; 576.738596; 575.704396; 578.227341; 579.660237; 578.986585; 579.401314; 581.486583; 582.232177; 582.032442; 582.228482; 583.191216; 584.648073; 584.859788; 584.528625; 584.503651; 583.854616; 582.660794; 580.888391; 580.696464; 580.611110; 582.717776; 582.938075; 582.301319; 580.107152; 578.024924; 574.397564; 572.957754; 571.540177; 571.249962; 574.063599; 575.306833; 575.268507; 573.532939; 571.439743; 569.326818; 566.540301; 565.196455; 562.688589; 561.330259; 560.834229; 561.585128; 560.775876; 561.399698; 562.777460; 561.635613; 559.905231; 561.093986; 562.866211; 564.759910; 564.577937; 564.315796; 565.988660; 567.718506; 568.779469; 568.359792; 567.346096; 567.563891; 567.246675; 565.283597; 564.276457; 564.523101; 564.372122; 562.780619; 561.957181; 561.228156; (); (); (); (); (); (); (); (); (); (); (); (); 
8443.4; 14:52:44; (); (); (); (); (); 557.832003; 560.266078; 561.845720; 562.797189; 565.688312; 568.326175; 570.555270; 574.058533; 577.440321; 579.158366; 581.570506; 582.552433; 583.822846; 584.709764; 582.796097; 581.905603; 581.329584; 581.331074; 583.110988; 581.821024; 579.847157; 577.799499; 577.044129; 577.203751; 578.466117; 578.693748; 579.410136; 580.002725; 582.081497; 584.112167; 582.960010; 581.653893; 581.425309; 581.861496; 582.444072; 582.265556; 581.664562; 580.038190; 578.675151; 576.407611; 574.804485; 574.522018; 575.806022; 576.688886; 576.742768; 578.723431; 578.150928; 576.466262; 574.166834; 571.754634; 572.613060; 574.479640; 575.733781; 574.732721; 574.033558; 576.073766; 575.408995; 574.241638; 572.504997; 571.627200; 570.941567; 573.718905; 575.273037; 575.381815; 578.264117; 580.342770; 580.559969; 579.345226; 580.955267; 582.044601; 578.379691; 579.102099; 581.032813; 580.765069; 580.901027; 581.883609; 583.371520; 585.394859; 586.248696; 585.015297; 583.181739; 583.806515; 585.156322; 584.487021; 585.623741; 587.716281; 586.487234; 583.660066; 584.573686; 585.278332; 582.859576; 581.014156; 579.979777; 580.470026; 580.342174; 578.657508; 576.383054; 574.870706; 576.537907; 577.033043; 577.481031; 577.261925; 578.876495; 579.422772; 580.369174; 579.893351; 579.060316; 579.330742; 578.998208; 578.555763; 579.531431; 580.690086; 582.494974; 581.811070; 578.194857; 577.102542; 577.441335; 577.130556; 575.960100; 573.526800; 576.243341; 577.472687; 577.075899; (); (); (); (); (); (); (); (); (); (); (); (); 
8446.0; 14:52:53; (); (); (); (); (); 570.173979; 569.769144; 568.569481; 569.798648; 569.731653; 570.770681; 571.535051; 571.930289; 572.970569; 573.706746; 572.863877; 571.087539; 569.969356; 569.742441; 568.458021; 567.596734; 567.268789; 568.206489; 567.216575; 566.977561; 565.664351; 565.066755; 565.364659; 566.843212; 568.699718; 569.390059; 569.245756; 569.793522; 569.132566; 569.350958; 570.951939; 571.277678; 572.100878; 572.448969; 573.859274; 577.337265; 579.263568; 578.774810; 579.494894; 578.789234; 577.576816; 577.458084; 578.187346; 580.235124; 579.214871; 578.405797; 578.329980; 576.496065; 576.685488; 576.188684; 574.162841; 572.519541; 573.623359; 571.324587; 569.971204; 569.706559; 571.353614; 571.459293; 570.319712; 569.866598; 568.285942; 568.554580; 568.349063; 566.051662; 563.647866; 562.352836; 562.180042; 559.866309; 558.754325; 559.163153; 559.567451; 557.442069; 556.873977; 558.422446; 561.289370; 563.527763; 562.507451; 563.346207; 565.119028; 565.620780; 564.868748; 564.320207; 564.788401; 564.416230; 564.902663; 566.922069; 568.003714; 567.544639; 565.354586; 564.246833; 564.602494; 566.945136; 568.048179; 568.026662; 568.823993; 570.237279; 569.459736; 570.955515; 574.784040; 574.347913; 572.000563; 571.388602; 571.771324; 574.260652; 574.541032; 572.733641; 571.723402; 571.768343; 572.799981; 572.497904; 572.712481; 574.113667; 574.254572; 572.991014; 572.861969; 573.226213; 573.537230; 573.470592; 572.092414; 572.209001; 573.379517; 572.981775; 571.239054; (); (); (); (); (); (); (); (); (); (); (); (); 
8448.6; 14:53:02; (); (); (); (); (); 577.902436; 578.983366; 580.232143; 580.507994; 582.018912; 582.633972; 583.819628; 583.077431; 583.939552; 582.228601; 579.491854; 577.601135; 577.714503; 580.103397; 581.043065; 582.268715; 583.581209; 583.777249; 584.444106; 584.205925; 582.432032; 580.030262; 578.168571; 578.146636; 582.301199; 582.863986; 582.511663; 580.636263; 578.723073; 576.291382; 573.502660; 571.280122; 569.834590; 568.264067; 567.625582; 569.224119; 570.717335; 571.145236; 569.496095; 566.662312; 568.348765; 572.753608; 576.766312; 578.393519; 580.369890; 580.889165; 582.271695; 583.630204; 585.685194; 586.281300; 585.711479; 585.678756; 585.790932; 587.952495; 590.184927; 591.295779; 591.656208; 590.295613; 589.607239; 588.992834; 589.550197; 587.765276; 585.866213; 584.020972; 582.489908; 582.196236; 581.887960; 583.795905; 584.612489; 583.381474; 581.557512; 579.258919; 580.391407; 580.359519; 580.907524; 581.480384; 582.024217; 582.326472; 583.912432; 585.987747; 588.105142; 588.247478; 587.292135; 584.773183; 583.285272; 583.249450; 583.310068; 583.523929; 584.673345; 586.154759; 586.067915; 586.981654; 587.678194; 587.177992; 585.615814; 585.113823; 585.548103; 585.971892; 586.768508; 586.745501; 587.493300; 589.036584; 587.303579; 584.724069; 582.448721; 581.594944; 580.898821; 579.917371; 577.645242; 577.074707; 575.574219; 572.455645; 569.212437; 567.309737; 566.240311; 565.123677; 562.322021; 560.964644; 560.829759; 559.443653; 557.991803; 555.592418; 554.214060; (); (); (); (); (); (); (); (); (); (); (); (); 
8451.1; 14:53:11; (); (); (); (); (); 569.630384; 573.112965; 574.555576; 576.244771; 575.638950; 575.656950; 575.339913; 574.707508; 573.168099; 570.933461; 570.744872; 568.943322; 566.777229; 565.410376; 564.901769; 564.260662; 562.026203; 561.387062; 559.528530; 558.237135; 555.909038; 555.449128; 555.266678; 557.680309; 560.108840; 558.755517; 558.774710; 561.770201; 564.114690; 563.165188; 561.969995; 560.514867; 559.048295; 559.401751; 560.198426; 561.012745; 561.821699; 562.081635; 559.966445; 558.062613; 558.865786; 559.276640; 556.825578; 554.910719; 554.117858; 553.229332; 553.790450; 552.086413; 551.483035; 552.720487; 553.928256; 552.646518; 552.605987; 553.702354; 554.683685; 556.029081; 557.058513; 559.690475; 560.825229; 563.196659; 566.207945; 567.915082; 571.994662; 572.503507; 571.011007; 571.599364; 573.317766; 575.537205; 578.127861; 581.060231; 581.577182; 581.695080; 580.523789; 581.204653; 582.738161; 582.594812; 581.673384; 580.300808; 579.693615; 577.666402; 576.475024; 575.904250; 574.580967; 573.326766; 571.968555; 571.421027; 571.201563; 571.423173; 571.062267; 570.420444; 570.981205; 570.857048; 570.470750; 572.414219; 574.832857; 574.954987; 575.369477; 575.034142; 574.722171; 573.565900; 572.618186; 572.726011; 573.223174; 575.080514; 575.754404; 574.317098; 574.810445; 575.585723; 575.433969; 575.103223; 575.992584; 575.200856; 573.754311; 571.440518; 570.085227; 570.185363; 569.056273; 568.413019; 566.031396; 563.304782; 562.694252; 560.601890; 558.856726; (); (); (); (); (); (); (); (); (); (); (); (); 
8453.7; 14:53:20; (); (); (); (); (); 579.165697; 577.161849; 573.771894; 570.840657; 569.258749; 569.505155; 571.428061; 573.192477; 574.089825; 575.038433; 573.999226; 573.373854; 572.349370; 568.130255; 566.473126; 566.785514; 567.069411; 567.974150; 570.382476; 571.462691; 570.683897; 569.391251; 571.442008; 572.901368; 575.053155; 576.964676; 576.838017; 575.887859; 575.431526; 575.196385; 575.763404; 575.071216; 573.798001; 573.114038; 573.385179; 574.657977; 574.644864; 572.831452; 572.908580; 571.592689; 570.739746; 571.620941; 571.550429; 572.676003; 574.368477; 574.991584; 576.402843; 577.406108; 576.766431; 576.440334; 575.189590; 574.487865; 574.000478; 572.934508; 572.801530; 573.454499; 571.962833; 572.125852; 570.262909; 567.655861; 565.349340; 564.612687; 566.385686; 567.136407; 567.507446; 569.980919; 572.712362; 575.070441; 574.733198; 576.017976; 577.208042; 579.223931; 581.040323; 584.352195; 586.939871; 589.275777; 593.167067; 594.204903; 594.272256; 594.130754; 591.953576; 587.876856; 585.788608; 585.380137; 584.715247; 583.551109; 581.324816; 578.542352; 577.686071; 574.218154; 571.900129; 568.178356; 565.989792; 567.205191; 565.866828; 565.347075; 567.482710; 568.311512; 569.184661; 568.519235; 568.213165; 568.573952; 570.108056; 570.293546; 571.770668; 571.480274; 570.940316; 571.004272; 570.373178; 573.934972; 573.451757; 570.559621; 569.416583; 570.253909; 571.290076; 571.104765; 571.812034; 571.172118; 570.964396; 571.250498; 573.033929; 575.612068; 575.999856; (); (); (); (); (); (); (); (); (); (); (); (); 
8456.3; 14:53:29; (); (); (); (); (); 572.961628; 571.885943; 570.879042; 571.335971; 572.128892; 573.084354; 574.382365; 572.602808; 572.924614; 573.440552; 573.122859; 572.468340; 572.214544; 570.138395; 568.790555; 569.518328; 568.022132; 566.802919; 566.179574; 565.214276; 564.616263; 562.388539; 561.530113; 560.971558; 558.665872; 557.016790; 556.133807; 555.637062; 555.824101; 555.256546; 554.558635; 554.676294; 555.768967; 556.311607; 556.563199; 557.110727; 556.505203; 559.738159; 560.142457; 559.944749; 561.186135; 560.720444; 560.589612; 561.031401; 561.747611; 564.792633; 567.877948; 569.044352; 568.120897; 566.985369; 565.692842; 566.554129; 566.082120; 566.679478; 566.777468; 563.942671; 565.042794; 566.864491; 567.620754; 568.065345; 566.759348; 566.797018; 565.944493; 566.875279; 568.891168; 571.234524; 570.126832; 570.161521; 572.219014; 574.809849; 579.289496; 580.304205; 580.227315; 581.763327; 582.757354; 583.998740; 586.065292; 588.873148; 590.008676; 589.053452; 586.712658; 589.711428; 590.979755; 589.563966; 588.516891; 586.497366; 584.966779; 585.244417; 584.853411; 584.326327; 582.736790; 581.831694; 581.469595; 580.438375; 581.142545; 584.208190; 585.145056; 584.319115; 585.068583; 584.279537; 583.965421; 583.984196; 584.015548; 584.368289; 586.080730; 587.477922; 585.731387; 583.601236; 583.831489; 581.511497; 576.996982; 573.497117; 570.680559; 568.843186; 570.712328; 571.392953; 569.996774; 568.462014; 566.257119; 563.234746; 559.661090; 558.729529; 556.153238; (); (); (); (); (); (); (); (); (); (); (); (); 
8469.0; 14:54:12; (); (); (); (); (); 570.210874; 569.420397; 569.071651; 568.625271; 569.624722; 569.223046; 567.088068; 566.573262; 566.021740; 565.568686; 567.301929; 566.780508; 565.676808; 565.281928; 564.064503; 562.704861; 564.203084; 565.690756; 565.574408; 564.177930; 563.637853; 564.275146; 564.089477; 564.020991; 565.298259; 565.743625; 564.295471; 564.582527; 565.665483; 565.211713; 566.210032; 566.147804; 565.155625; 566.148818; 565.857232; 565.970600; 566.792667; 569.034457; 570.874631; 570.362210; 570.146799; 571.199775; 570.242703; 570.365131; 572.700500; 572.456062; 571.456015; 572.647870; 571.495891; 570.458412; 570.557415; 571.454585; 570.023954; 568.483829; 569.395483; 571.506500; 574.396193; 575.468302; 575.247884; 574.981451; 576.446891; 576.311648; 574.378669; 575.403452; 576.561213; 579.444051; 581.907094; 582.249284; 581.397057; 581.346393; 579.762697; 577.397704; 576.291323; 575.795949; 573.851705; 572.279334; 572.448909; 572.973967; 574.049056; 575.444996; 573.344409; 571.245611; 572.763681; 574.206471; 572.461426; 571.096182; 572.600722; 575.716913; 577.385426; 578.994751; 580.208182; 580.475807; 579.128861; 577.129543; 578.382432; 579.510689; 580.848396; 579.586983; 579.064727; 579.750299; 578.870773; 574.972510; 572.879851; 570.828974; 567.879796; 567.012846; 567.257285; 567.989886; 568.842888; 566.821218; 563.690007; 561.031401; 560.227513; 559.716702; 559.750855; 560.165405; 561.750889; 562.406123; 563.294947; 564.106762; 562.858403; 561.848640; 561.881065; (); (); (); (); (); (); (); (); (); (); (); (); 
8471.5; 14:54:21; (); (); (); (); (); 568.689525; 563.885212; 562.475979; 566.295326; 565.493941; 565.388322; 565.770030; 566.123784; 565.454602; 563.954353; 563.174844; 562.445998; 562.999010; 565.087378; 567.703962; 569.791853; 574.113071; 576.250494; 573.767662; 572.810888; 574.134052; 574.308336; 576.267779; 577.386022; 578.471422; 578.538001; 577.095091; 575.820446; 575.135827; 573.540688; 573.451400; 572.381318; 570.153475; 570.376575; 571.656585; 570.608735; 568.466485; 566.306233; 565.889776; 566.137969; 565.520167; 564.815581; 564.838052; 565.743208; 566.303670; 565.299690; 566.821575; 568.509698; 569.444776; 568.740189; 568.552256; 569.923759; 570.788741; 569.445133; 567.937851; 569.360733; 573.764980; 577.488720; 578.491926; 576.107562; 575.055718; 574.154198; 574.473023; 574.763358; 576.127946; 576.325774; 575.760543; 574.645221; 574.315965; 576.027274; 577.233255; 576.415420; 572.529674; 570.348024; 571.787238; 573.689997; 573.983014; 574.752510; 573.667765; 573.573768; 573.935688; 574.268699; 576.169074; 577.975810; 575.900555; 574.892998; 572.794616; 572.381735; 573.831022; 572.876155; 570.128202; 569.429457; 569.435656; 567.790031; 566.371560; 565.669775; 565.430224; 562.921226; 561.796606; 564.147234; 564.694107; 565.315068; 565.737307; 565.241039; 565.986216; 566.732943; 565.761387; 564.675093; 567.299485; 568.888307; 569.384515; 569.373310; 570.488870; 570.279419; 570.483983; 571.076512; 570.939720; 571.344256; 572.082520; 572.682917; 573.478103; 574.242353; 574.877083; (); (); (); (); (); (); (); (); (); (); (); (); 
