Roll Number; 182
Recipe Name; B_R_B
Start Time; 2017-12-14; 09:25:10
File Name; D:\Mahlo\TR\171214092510B_R_B182_THICKNESS2.txt

15492.3; 09:25:22; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.662269; 0.660258; 0.658886; 0.663300; 0.666287; 0.664863; 0.663893; 0.664099; 0.664975; 0.667053; 0.666108; 0.660955; 0.653941; 0.648794; 0.645316; 0.645768; 0.646384; 0.645005; 0.638876; 0.631977; 0.630536; 0.630687; 0.630098; 0.629696; 0.629463; 0.628215; 0.633026; 0.636709; 0.637245; 0.635767; 0.633093; 0.631679; 0.632896; 0.636347; 0.640540; 0.644869; 0.643217; 0.642071; 0.641883; 0.643666; 0.646121; 0.648571; 0.650300; 0.654663; 0.659306; 0.661837; 0.662705; 0.663756; 0.668835; 0.671258; 0.669556; 0.674783; 0.679486; 0.679739; 0.678215; 0.675935; 0.671582; 0.669952; 0.665761; 0.663194; 0.667501; 0.673062; 0.670640; 0.666442; 0.667393; 0.669700; 0.667575; 0.663591; 0.666282; 0.665662; 0.663556; 0.661512; 0.664739; 0.670376; 0.672594; 0.671164; 0.667551; 0.672786; 0.672241; 0.671603; 0.671361; 0.671886; 0.672409; 0.670599; 0.672896; 0.677033; 0.678713; 0.675817; 0.672801; 0.674937; 0.677397; 0.676031; 0.672677; 0.674623; 0.671617; 0.666986; 0.667444; 0.669742; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15505.6; 09:26:05; (); (); (); (); (); (); (); 0.619629; 0.623461; 0.626896; 0.629344; 0.634477; 0.638632; 0.641554; 0.643915; 0.644272; 0.642456; 0.639095; 0.636900; 0.641338; 0.646041; 0.653935; 0.658765; 0.657362; 0.656639; 0.656207; 0.651924; 0.649906; 0.648681; 0.646359; 0.648841; 0.646781; 0.649612; 0.652704; 0.650121; 0.647736; 0.642693; 0.641793; 0.643314; 0.644023; 0.646391; 0.647869; 0.644373; 0.644976; 0.648690; 0.650575; 0.656675; 0.656947; 0.656261; 0.656989; 0.659987; 0.664217; 0.664330; 0.662950; 0.660143; 0.657493; 0.660783; 0.664312; 0.665469; 0.665097; 0.665077; 0.667157; 0.668143; 0.671557; 0.675134; 0.675317; 0.673455; 0.680150; 0.686810; 0.690542; 0.692283; 0.693856; 0.699127; 0.698004; 0.696312; 0.695326; 0.691441; 0.688430; 0.686614; 0.685302; 0.684693; 0.687426; 0.682167; 0.680038; 0.681300; 0.683066; 0.679384; 0.673277; 0.671224; 0.668904; 0.666718; 0.669817; 0.673644; 0.675738; 0.681403; 0.683472; 0.678857; 0.678180; 0.680120; 0.677705; 0.680023; 0.684348; 0.684310; 0.688927; 0.694832; 0.698510; 0.698604; 0.695978; 0.691797; 0.685741; 0.685983; 0.688689; 0.689693; 0.691035; 0.691941; 0.689956; 0.689780; 0.693377; 0.690910; 0.689942; 0.687790; 0.687728; 0.692222; 0.696980; 0.698946; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15508.0; 09:26:14; (); (); (); (); (); (); (); 0.653260; 0.654093; 0.651942; 0.649027; 0.649828; 0.651966; 0.653190; 0.650158; 0.650772; 0.653146; 0.657247; 0.661089; 0.662453; 0.659183; 0.657454; 0.657762; 0.660593; 0.661908; 0.662185; 0.660574; 0.659874; 0.660351; 0.659416; 0.657144; 0.655436; 0.652077; 0.644896; 0.642651; 0.645808; 0.645246; 0.642360; 0.639320; 0.638676; 0.638630; 0.638619; 0.638103; 0.638380; 0.643309; 0.644539; 0.645043; 0.648888; 0.653063; 0.655651; 0.657999; 0.659548; 0.660645; 0.662137; 0.666976; 0.673284; 0.676020; 0.677801; 0.676332; 0.671008; 0.671457; 0.670310; 0.675243; 0.679903; 0.681342; 0.682399; 0.686108; 0.689132; 0.691289; 0.690663; 0.687687; 0.687395; 0.688235; 0.694152; 0.696606; 0.698226; 0.700364; 0.695233; 0.690603; 0.687954; 0.685389; 0.676035; 0.673592; 0.672453; 0.671824; 0.672586; 0.673298; 0.671945; 0.670250; 0.669044; 0.668913; 0.667009; 0.666794; 0.668852; 0.666131; 0.664157; 0.666977; 0.664078; 0.666342; 0.667878; 0.667300; 0.667182; 0.667222; 0.671972; 0.672752; 0.675716; 0.680860; 0.680548; 0.679443; 0.684700; 0.688486; 0.690771; 0.693728; 0.689956; 0.689134; 0.687249; 0.685878; 0.687111; 0.687561; 0.688656; 0.684888; 0.680282; 0.681126; 0.683239; 0.680739; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15510.5; 09:26:23; (); (); (); (); (); (); (); 0.648358; 0.648164; 0.651385; 0.651486; 0.645624; 0.645674; 0.644431; 0.642884; 0.644643; 0.651577; 0.650507; 0.648986; 0.644898; 0.639652; 0.639675; 0.640122; 0.641261; 0.637605; 0.640164; 0.647406; 0.648776; 0.653732; 0.655084; 0.652031; 0.648441; 0.653032; 0.653019; 0.652487; 0.651851; 0.652910; 0.654085; 0.655461; 0.661248; 0.663015; 0.660581; 0.658675; 0.657558; 0.661105; 0.663576; 0.663947; 0.664806; 0.663515; 0.664520; 0.664012; 0.659709; 0.657659; 0.656064; 0.653338; 0.649093; 0.650567; 0.654992; 0.653809; 0.651715; 0.657613; 0.664042; 0.664362; 0.665729; 0.666077; 0.668324; 0.671895; 0.675112; 0.676924; 0.677518; 0.675854; 0.671811; 0.669311; 0.671009; 0.673619; 0.672680; 0.672852; 0.675947; 0.678135; 0.680555; 0.686340; 0.687847; 0.685483; 0.682545; 0.683018; 0.688946; 0.692736; 0.695263; 0.696369; 0.693582; 0.687970; 0.682355; 0.679969; 0.685102; 0.688175; 0.687680; 0.690182; 0.691846; 0.691396; 0.690228; 0.689258; 0.689910; 0.689570; 0.688012; 0.688017; 0.691557; 0.694237; 0.694911; 0.692504; 0.689200; 0.687077; 0.689129; 0.693170; 0.694375; 0.689338; 0.686098; 0.678070; 0.673629; 0.672829; 0.672952; 0.672260; 0.670107; 0.664712; 0.659416; 0.656141; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15513.0; 09:26:31; (); (); (); (); (); (); (); 0.648329; 0.653372; 0.656439; 0.657034; 0.655835; 0.652221; 0.652518; 0.656944; 0.660738; 0.661482; 0.662592; 0.666425; 0.666234; 0.665166; 0.662208; 0.657324; 0.655643; 0.654071; 0.650983; 0.651205; 0.652730; 0.651550; 0.648500; 0.644747; 0.641545; 0.639687; 0.639106; 0.639048; 0.640352; 0.642715; 0.646431; 0.648997; 0.654412; 0.659238; 0.665724; 0.671837; 0.675641; 0.680463; 0.682721; 0.685529; 0.690038; 0.688832; 0.692605; 0.694011; 0.694206; 0.691035; 0.683693; 0.680796; 0.680600; 0.675432; 0.671564; 0.671273; 0.668903; 0.668544; 0.666636; 0.665749; 0.669434; 0.668499; 0.670021; 0.669908; 0.672629; 0.679533; 0.677396; 0.679378; 0.682482; 0.681111; 0.678162; 0.678198; 0.678228; 0.678895; 0.677555; 0.674350; 0.670530; 0.669230; 0.670159; 0.668925; 0.667919; 0.671987; 0.671130; 0.669496; 0.674471; 0.676892; 0.676317; 0.675829; 0.675980; 0.677106; 0.679589; 0.682359; 0.684337; 0.682526; 0.681572; 0.679639; 0.675453; 0.675461; 0.681043; 0.678406; 0.677708; 0.676808; 0.675809; 0.679757; 0.680997; 0.682857; 0.684469; 0.685905; 0.691696; 0.694076; 0.696532; 0.698255; 0.696357; 0.690090; 0.689210; 0.689780; 0.693266; 0.692523; 0.688393; 0.688187; 0.686379; 0.685216; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15515.5; 09:26:40; (); (); (); (); (); (); (); 0.634563; 0.639780; 0.643414; 0.645812; 0.646270; 0.644067; 0.643954; 0.646882; 0.650381; 0.654502; 0.659203; 0.657855; 0.655789; 0.658765; 0.662676; 0.663552; 0.661275; 0.659662; 0.660656; 0.663472; 0.666455; 0.667432; 0.665360; 0.665879; 0.668027; 0.668524; 0.670590; 0.671237; 0.668937; 0.666900; 0.665683; 0.666263; 0.670887; 0.673592; 0.675762; 0.677288; 0.678025; 0.679917; 0.680874; 0.681779; 0.681508; 0.680377; 0.685948; 0.689622; 0.692383; 0.694060; 0.695052; 0.692497; 0.687131; 0.682240; 0.680735; 0.681512; 0.677417; 0.674931; 0.677706; 0.682931; 0.685374; 0.680647; 0.672082; 0.667188; 0.664525; 0.663336; 0.664355; 0.669882; 0.674577; 0.675811; 0.673419; 0.673985; 0.672361; 0.665804; 0.660747; 0.661827; 0.664273; 0.671959; 0.675306; 0.675009; 0.674385; 0.673844; 0.669448; 0.666629; 0.665728; 0.666260; 0.667403; 0.667490; 0.672463; 0.675422; 0.676753; 0.678299; 0.677516; 0.677533; 0.679280; 0.682278; 0.683687; 0.686905; 0.687519; 0.689281; 0.691427; 0.693210; 0.695114; 0.693976; 0.693344; 0.691931; 0.690836; 0.694010; 0.696930; 0.696915; 0.694533; 0.691472; 0.688027; 0.685917; 0.683660; 0.682478; 0.682347; 0.681400; 0.679945; 0.678139; 0.676228; 0.669260; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15517.9; 09:26:49; (); (); (); (); (); (); (); 0.672584; 0.670269; 0.668561; 0.670608; 0.674479; 0.676593; 0.676029; 0.677711; 0.677507; 0.672917; 0.668152; 0.664491; 0.664482; 0.666060; 0.662898; 0.659371; 0.658369; 0.658720; 0.657788; 0.654285; 0.652185; 0.653615; 0.655699; 0.652275; 0.652294; 0.654024; 0.656257; 0.657004; 0.654918; 0.653133; 0.654475; 0.656792; 0.657631; 0.658835; 0.660990; 0.660713; 0.657874; 0.658888; 0.664123; 0.667682; 0.666824; 0.665058; 0.665751; 0.671341; 0.676807; 0.674256; 0.668842; 0.665607; 0.660291; 0.654107; 0.647894; 0.645609; 0.645525; 0.644936; 0.640343; 0.644100; 0.647608; 0.646908; 0.644771; 0.645638; 0.651443; 0.655449; 0.658690; 0.664793; 0.672187; 0.680306; 0.685304; 0.684435; 0.683681; 0.689070; 0.686284; 0.683830; 0.684394; 0.684099; 0.680766; 0.681677; 0.683361; 0.684861; 0.682932; 0.679129; 0.677799; 0.674564; 0.674558; 0.675219; 0.672960; 0.673429; 0.677002; 0.677033; 0.680273; 0.683254; 0.676409; 0.675902; 0.675537; 0.674379; 0.675095; 0.673990; 0.676812; 0.674984; 0.675591; 0.678032; 0.677307; 0.675219; 0.674623; 0.675441; 0.679205; 0.683766; 0.677484; 0.674024; 0.673497; 0.673440; 0.673041; 0.672324; 0.673618; 0.670387; 0.668506; 0.669361; 0.667424; 0.665288; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15520.4; 09:26:57; (); (); (); (); (); (); (); 0.667610; 0.669901; 0.669826; 0.669586; 0.672777; 0.670968; 0.669700; 0.670070; 0.670376; 0.666969; 0.666207; 0.666713; 0.668692; 0.670389; 0.669537; 0.667763; 0.664306; 0.662234; 0.659347; 0.650819; 0.653341; 0.654045; 0.652785; 0.652190; 0.653424; 0.653375; 0.656559; 0.659955; 0.661039; 0.660269; 0.665235; 0.670074; 0.668395; 0.669694; 0.676735; 0.676969; 0.680816; 0.683052; 0.684189; 0.685569; 0.685125; 0.684736; 0.682529; 0.681061; 0.681753; 0.678970; 0.679110; 0.681939; 0.683561; 0.680212; 0.676701; 0.674703; 0.671601; 0.664908; 0.659509; 0.663470; 0.662437; 0.662856; 0.665514; 0.668785; 0.672817; 0.675500; 0.680428; 0.683990; 0.687600; 0.693093; 0.694969; 0.697870; 0.705769; 0.708762; 0.707113; 0.706404; 0.708691; 0.706628; 0.702508; 0.700958; 0.696824; 0.692503; 0.688268; 0.686149; 0.685216; 0.681691; 0.677268; 0.673389; 0.670189; 0.668305; 0.669220; 0.670371; 0.673582; 0.674557; 0.673176; 0.674501; 0.676200; 0.678862; 0.680497; 0.681880; 0.684720; 0.685093; 0.686456; 0.685817; 0.688021; 0.691738; 0.690956; 0.692606; 0.691513; 0.689938; 0.688267; 0.683954; 0.681203; 0.675285; 0.672330; 0.673698; 0.677698; 0.677336; 0.679480; 0.677808; 0.673116; 0.666567; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15522.9; 09:27:06; (); (); (); (); (); (); (); 0.638523; 0.639799; 0.643324; 0.643147; 0.642680; 0.642511; 0.641888; 0.642506; 0.645836; 0.646026; 0.642815; 0.639803; 0.641519; 0.641382; 0.638966; 0.635657; 0.633174; 0.632432; 0.629239; 0.627085; 0.627589; 0.629523; 0.629534; 0.625433; 0.626206; 0.629337; 0.630992; 0.631292; 0.631258; 0.634309; 0.638139; 0.639707; 0.638804; 0.642268; 0.645146; 0.645846; 0.645496; 0.649398; 0.657317; 0.661004; 0.661778; 0.662439; 0.667244; 0.670351; 0.668402; 0.666286; 0.667463; 0.669966; 0.668349; 0.668122; 0.668392; 0.668219; 0.667640; 0.663559; 0.663617; 0.665815; 0.665451; 0.662195; 0.659420; 0.666183; 0.669584; 0.669430; 0.671165; 0.677257; 0.675536; 0.673403; 0.673984; 0.676040; 0.675076; 0.672564; 0.671332; 0.671381; 0.672740; 0.678281; 0.672844; 0.672185; 0.674263; 0.673890; 0.674293; 0.673294; 0.674785; 0.674039; 0.673154; 0.675012; 0.675210; 0.672928; 0.674649; 0.677029; 0.676875; 0.679914; 0.679719; 0.679853; 0.680616; 0.681328; 0.680450; 0.677782; 0.677032; 0.678137; 0.680132; 0.681165; 0.685767; 0.684754; 0.684932; 0.685703; 0.685604; 0.688269; 0.685940; 0.681891; 0.681644; 0.685258; 0.688817; 0.688585; 0.686843; 0.685322; 0.684997; 0.683200; 0.681609; 0.679246; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15525.4; 09:27:15; (); (); (); (); (); (); (); 0.629381; 0.630812; 0.633035; 0.634474; 0.633942; 0.635540; 0.635318; 0.633242; 0.633328; 0.634999; 0.633890; 0.634474; 0.634555; 0.634471; 0.636014; 0.637474; 0.636463; 0.635400; 0.636306; 0.638891; 0.641846; 0.647979; 0.655242; 0.658573; 0.659899; 0.662262; 0.664814; 0.667323; 0.669275; 0.670195; 0.671214; 0.674525; 0.677735; 0.679556; 0.680259; 0.680050; 0.676160; 0.673363; 0.673643; 0.676496; 0.681116; 0.683795; 0.686472; 0.689162; 0.689736; 0.684193; 0.685364; 0.681080; 0.676700; 0.675345; 0.675458; 0.673030; 0.670749; 0.664949; 0.657277; 0.650090; 0.643226; 0.637673; 0.632349; 0.631577; 0.639732; 0.635318; 0.638958; 0.639147; 0.638003; 0.640993; 0.644990; 0.648513; 0.656560; 0.663773; 0.667163; 0.669974; 0.671806; 0.674829; 0.673495; 0.672210; 0.675025; 0.676859; 0.681672; 0.681849; 0.680054; 0.679845; 0.675239; 0.673937; 0.672651; 0.674245; 0.679060; 0.683547; 0.684010; 0.683328; 0.682245; 0.683197; 0.682750; 0.686199; 0.684900; 0.684002; 0.689773; 0.696822; 0.698304; 0.697528; 0.692868; 0.686811; 0.680057; 0.679021; 0.680996; 0.683948; 0.685881; 0.686570; 0.681004; 0.680381; 0.675717; 0.668740; 0.663716; 0.659343; 0.659268; 0.663840; 0.668947; 0.670411; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
15527.9; 09:27:23; (); (); (); (); (); (); (); 0.641359; 0.642454; 0.652022; 0.653346; 0.648457; 0.644991; 0.645107; 0.644037; 0.642203; 0.635720; 0.632824; 0.634276; 0.638209; 0.639748; 0.636853; 0.633461; 0.631580; 0.624987; 0.625570; 0.632916; 0.635442; 0.634982; 0.638016; 0.638646; 0.639617; 0.640117; 0.639959; 0.638595; 0.639730; 0.643379; 0.646439; 0.647071; 0.650089; 0.646967; 0.643118; 0.644307; 0.647943; 0.651102; 0.654089; 0.656989; 0.658839; 0.661663; 0.665878; 0.663396; 0.663403; 0.666450; 0.669025; 0.666125; 0.668003; 0.671505; 0.674050; 0.671836; 0.665894; 0.662363; 0.659591; 0.658855; 0.656825; 0.654211; 0.658063; 0.658243; 0.656548; 0.655471; 0.657056; 0.659543; 0.662948; 0.660739; 0.662251; 0.666677; 0.672652; 0.676026; 0.677310; 0.677579; 0.676449; 0.673845; 0.674737; 0.675000; 0.676313; 0.678534; 0.677609; 0.675356; 0.678126; 0.681373; 0.680980; 0.677602; 0.677700; 0.676865; 0.680886; 0.686472; 0.691240; 0.693307; 0.694116; 0.693969; 0.692690; 0.690542; 0.688832; 0.689256; 0.683009; 0.679137; 0.679167; 0.678592; 0.675698; 0.671587; 0.671495; 0.673396; 0.672425; 0.669617; 0.669138; 0.670983; 0.671381; 0.665520; 0.658442; 0.663087; 0.665950; 0.665321; 0.665343; 0.669694; 0.671691; 0.665662; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
