Roll Number; 0
Recipe Name; B_R_B
Start Time; 2017-12-14; 09:53:50
File Name; D:\Mahlo\TR\171214095350B_R_B0_XMF2.txt

203.2; 09:54:23; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 1.751338; 1.752434; 1.752424; 1.751928; 1.752920; 1.755824; 1.757469; 1.757782; 1.760578; 1.764214; 1.767172; 1.769904; 1.773882; 1.778981; 1.783306; 1.786172; 1.788506; 1.791831; 1.794968; 1.795965; 1.794687; 1.795661; 1.799945; 1.803324; 1.806234; 1.811243; 1.814993; 1.816544; 1.819629; 1.824472; 1.828548; 1.832126; 1.835097; 1.839024; 1.845998; 1.855198; 1.862670; 1.866146; 1.868805; 1.871519; 1.873018; 1.875539; 1.877683; 1.878153; 1.879798; 1.883429; 1.888776; 1.894050; 1.896023; 1.895927; 1.895842; 1.894122; 1.892537; 1.893019; 1.895098; 1.895653; 1.894913; 1.893006; 1.890399; 1.888734; 1.887435; 1.887001; 1.888054; 1.890164; 1.890597; 1.889423; 1.890953; 1.894874; 1.895133; 1.894273; 1.894085; 1.895594; 1.899635; 1.903100; 1.905702; 1.909559; 1.911170; 1.910389; 1.910247; 1.911402; 1.913000; 1.913895; 1.913579; 1.914174; 1.916059; 1.919579; 1.922564; 1.923848; 1.924952; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
206.3; 09:54:32; (); (); (); (); (); (); (); 1.845847; 1.833689; 1.818704; 1.813851; 1.810153; 1.808062; 1.806506; 1.804230; 1.801248; 1.796847; 1.792631; 1.784036; 1.779441; 1.774589; 1.770586; 1.770449; 1.777209; 1.783164; 1.785408; 1.786348; 1.788966; 1.793966; 1.797599; 1.799955; 1.802015; 1.804270; 1.805594; 1.806235; 1.807680; 1.807946; 1.804441; 1.800788; 1.799848; 1.800706; 1.798423; 1.791561; 1.784950; 1.779075; 1.770869; 1.764098; 1.759584; 1.756324; 1.753186; 1.749589; 1.747686; 1.748138; 1.746942; 1.744897; 1.745325; 1.748902; 1.750985; 1.750977; 1.753229; 1.758035; 1.762304; 1.766125; 1.769289; 1.771462; 1.774010; 1.776289; 1.778600; 1.780778; 1.779552; 1.775169; 1.772469; 1.771778; 1.771466; 1.769939; 1.769378; 1.771751; 1.773272; 1.773483; 1.777123; 1.781856; 1.784384; 1.784737; 1.787597; 1.793411; 1.799909; 1.805964; 1.813721; 1.822266; 1.830238; 1.836200; 1.840430; 1.846980; 1.854154; 1.855084; 1.852901; 1.853258; 1.855086; 1.857571; 1.859727; 1.862114; 1.865162; 1.868521; 1.870334; 1.870471; 1.871444; 1.872550; 1.870874; 1.869370; 1.871931; 1.877897; 1.883020; 1.889446; 1.893771; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
208.8; 09:54:40; (); (); (); (); (); (); (); 1.855129; 1.855814; 1.855853; 1.854670; 1.854323; 1.854783; 1.856382; 1.859496; 1.862559; 1.864449; 1.867321; 1.870529; 1.872475; 1.874775; 1.877226; 1.878741; 1.881387; 1.886335; 1.892017; 1.894970; 1.897574; 1.900728; 1.901673; 1.903070; 1.906735; 1.908214; 1.907722; 1.905209; 1.900155; 1.894476; 1.890541; 1.888262; 1.886116; 1.883436; 1.879252; 1.872072; 1.861886; 1.852136; 1.847217; 1.845458; 1.845169; 1.843822; 1.844850; 1.847639; 1.849144; 1.851571; 1.853204; 1.851201; 1.847768; 1.847703; 1.852506; 1.860570; 1.866832; 1.869391; 1.868029; 1.865278; 1.863661; 1.863165; 1.864590; 1.866605; 1.864820; 1.861828; 1.862425; 1.864754; 1.866828; 1.864555; 1.859377; 1.855271; 1.850444; 1.848829; 1.848675; 1.847498; 1.844753; 1.842757; 1.841468; 1.841119; 1.841250; 1.840820; 1.838908; 1.836427; 1.836905; 1.840864; 1.844963; 1.848429; 1.850188; 1.849894; 1.848738; 1.850025; 1.851107; 1.852435; 1.853608; 1.854621; 1.856408; 1.858558; 1.860747; 1.861542; 1.859870; 1.858963; 1.858797; 1.858723; 1.861116; 1.861262; 1.859769; 1.858737; 1.855367; 1.852427; 1.850479; 1.845164; 1.842516; 1.840536; 1.838472; 1.837260; 1.835359; 1.832440; 1.830095; 1.827185; 1.825441; 1.822172; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
211.3; 09:54:49; (); (); (); (); (); (); (); 1.841319; 1.843475; 1.843539; 1.839914; 1.837064; 1.836487; 1.836143; 1.835865; 1.835642; 1.835679; 1.836614; 1.837861; 1.837530; 1.836522; 1.835048; 1.834425; 1.833021; 1.833276; 1.835981; 1.838489; 1.838023; 1.836988; 1.838441; 1.840882; 1.841222; 1.838123; 1.834846; 1.836423; 1.838435; 1.842028; 1.844796; 1.845697; 1.847233; 1.850374; 1.853235; 1.858760; 1.864108; 1.866400; 1.865328; 1.864309; 1.866545; 1.867398; 1.865083; 1.863323; 1.859912; 1.857241; 1.855600; 1.852205; 1.848313; 1.845151; 1.841419; 1.834080; 1.828276; 1.825985; 1.824619; 1.823874; 1.826046; 1.829991; 1.832490; 1.835027; 1.839934; 1.845986; 1.852426; 1.857090; 1.860199; 1.863487; 1.868268; 1.872950; 1.877758; 1.883638; 1.887938; 1.887110; 1.882662; 1.881559; 1.881828; 1.877708; 1.871995; 1.869128; 1.869423; 1.870798; 1.869296; 1.865719; 1.861520; 1.856276; 1.850774; 1.847555; 1.848904; 1.851376; 1.851616; 1.850775; 1.851619; 1.854240; 1.854765; 1.853891; 1.854540; 1.858939; 1.864474; 1.868962; 1.874175; 1.879879; 1.884128; 1.886313; 1.886217; 1.885598; 1.884097; 1.882682; 1.879939; 1.874669; 1.870947; 1.866744; 1.863164; 1.862177; 1.860427; 1.856809; 1.852447; 1.847646; 1.843004; 1.840983; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
213.8; 09:54:57; (); (); (); (); (); (); (); 1.805579; 1.808196; 1.813930; 1.819135; 1.824940; 1.828229; 1.830911; 1.834336; 1.838007; 1.841976; 1.847181; 1.851249; 1.855582; 1.860509; 1.865630; 1.870521; 1.875487; 1.879930; 1.882873; 1.883516; 1.886812; 1.890785; 1.892908; 1.896662; 1.901690; 1.907195; 1.913515; 1.915531; 1.916538; 1.914324; 1.910109; 1.905996; 1.901805; 1.897835; 1.895814; 1.891755; 1.888304; 1.886104; 1.882555; 1.878658; 1.874558; 1.872111; 1.868736; 1.861052; 1.858211; 1.860448; 1.860624; 1.859452; 1.857795; 1.856819; 1.856113; 1.852087; 1.848007; 1.844501; 1.841020; 1.836210; 1.830869; 1.828352; 1.828648; 1.828922; 1.826938; 1.825358; 1.823712; 1.820705; 1.816721; 1.814182; 1.813039; 1.809773; 1.807443; 1.807877; 1.812490; 1.816808; 1.819424; 1.821334; 1.823438; 1.824673; 1.823845; 1.824625; 1.830598; 1.840072; 1.846499; 1.851816; 1.859969; 1.864729; 1.862981; 1.858009; 1.853645; 1.851140; 1.847931; 1.843701; 1.843817; 1.846339; 1.847596; 1.846077; 1.841395; 1.840177; 1.842153; 1.842521; 1.845345; 1.848237; 1.850276; 1.853884; 1.860832; 1.866017; 1.869594; 1.871924; 1.873607; 1.874028; 1.873125; 1.872860; 1.869282; 1.865772; 1.863399; 1.860632; 1.861942; 1.863799; 1.860957; 1.857850; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
216.2; 09:55:06; (); (); (); (); (); (); (); 1.843876; 1.841175; 1.841011; 1.840116; 1.836422; 1.832157; 1.829840; 1.829142; 1.827343; 1.823330; 1.818062; 1.813636; 1.812086; 1.811909; 1.810253; 1.808228; 1.805947; 1.802208; 1.799989; 1.802722; 1.805992; 1.806527; 1.806901; 1.809525; 1.813260; 1.816827; 1.820627; 1.821021; 1.820754; 1.820628; 1.820089; 1.819703; 1.820313; 1.820637; 1.818310; 1.816525; 1.817116; 1.817526; 1.816866; 1.814308; 1.810371; 1.805585; 1.802752; 1.801236; 1.801267; 1.803119; 1.802854; 1.801348; 1.801516; 1.802012; 1.799976; 1.796952; 1.793896; 1.790557; 1.789175; 1.789502; 1.790247; 1.790855; 1.791158; 1.790721; 1.789508; 1.791207; 1.792925; 1.793006; 1.793277; 1.794684; 1.795656; 1.795355; 1.795551; 1.796247; 1.796743; 1.797338; 1.798276; 1.799960; 1.802018; 1.803342; 1.804466; 1.806693; 1.809540; 1.810839; 1.812844; 1.817518; 1.823908; 1.828877; 1.832770; 1.837532; 1.842831; 1.846086; 1.846629; 1.846692; 1.847930; 1.851098; 1.854587; 1.857447; 1.861273; 1.864609; 1.865837; 1.866723; 1.866450; 1.865729; 1.864878; 1.865327; 1.869996; 1.876889; 1.884541; 1.889971; 1.893376; 1.894425; 1.893067; 1.889069; 1.888047; 1.888518; 1.889458; 1.891258; 1.893834; 1.896742; 1.898350; 1.895811; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
218.7; 09:55:15; (); (); (); (); (); (); (); 1.805499; 1.808466; 1.812446; 1.816168; 1.820016; 1.823549; 1.826099; 1.827808; 1.831914; 1.836830; 1.837996; 1.837211; 1.837972; 1.839014; 1.839622; 1.840419; 1.841683; 1.841659; 1.840260; 1.837616; 1.836721; 1.837824; 1.838639; 1.839216; 1.841234; 1.844006; 1.847966; 1.852276; 1.853777; 1.853311; 1.850841; 1.848561; 1.846971; 1.846505; 1.845467; 1.842316; 1.838514; 1.832477; 1.825340; 1.819582; 1.814170; 1.806230; 1.801623; 1.800497; 1.800677; 1.801781; 1.801880; 1.800246; 1.797329; 1.794987; 1.794182; 1.793655; 1.794320; 1.793548; 1.792684; 1.792889; 1.793652; 1.793498; 1.790846; 1.786709; 1.781608; 1.777543; 1.777897; 1.779552; 1.781478; 1.780991; 1.778853; 1.777745; 1.778192; 1.778033; 1.777050; 1.775923; 1.775259; 1.776890; 1.780147; 1.783912; 1.785877; 1.785285; 1.782843; 1.781125; 1.781375; 1.783896; 1.788821; 1.792713; 1.797463; 1.803522; 1.809127; 1.812766; 1.813983; 1.814907; 1.818275; 1.822215; 1.826863; 1.832767; 1.838074; 1.842445; 1.845759; 1.846921; 1.847203; 1.846774; 1.847580; 1.849225; 1.850970; 1.854529; 1.857123; 1.858842; 1.859617; 1.860113; 1.858545; 1.857075; 1.857407; 1.857012; 1.857421; 1.858470; 1.859691; 1.859815; 1.860044; 1.858850; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
221.2; 09:55:23; (); (); (); (); (); (); (); 1.874436; 1.880194; 1.883682; 1.886097; 1.887775; 1.889342; 1.889801; 1.889307; 1.889739; 1.891112; 1.893056; 1.896450; 1.897893; 1.899945; 1.901566; 1.898695; 1.894113; 1.889779; 1.885299; 1.881154; 1.879560; 1.878611; 1.876905; 1.874398; 1.872231; 1.869188; 1.866246; 1.866211; 1.865168; 1.863282; 1.863112; 1.863162; 1.864044; 1.866601; 1.867702; 1.867061; 1.867229; 1.868188; 1.868740; 1.869660; 1.871405; 1.870975; 1.867281; 1.864767; 1.863138; 1.862536; 1.864697; 1.867137; 1.867384; 1.866182; 1.863525; 1.861775; 1.861560; 1.860619; 1.858809; 1.856348; 1.855370; 1.856720; 1.856815; 1.856197; 1.854785; 1.851060; 1.845238; 1.841433; 1.840591; 1.840783; 1.838281; 1.835936; 1.835511; 1.838469; 1.842293; 1.844337; 1.846063; 1.849354; 1.852697; 1.855976; 1.859072; 1.862551; 1.866448; 1.868873; 1.870910; 1.873783; 1.875822; 1.876782; 1.874609; 1.872789; 1.872480; 1.871706; 1.870186; 1.867976; 1.864890; 1.864209; 1.865011; 1.865028; 1.864047; 1.862454; 1.861911; 1.861668; 1.862709; 1.862924; 1.861035; 1.860025; 1.860874; 1.862735; 1.864496; 1.865934; 1.866238; 1.866098; 1.866841; 1.870430; 1.873312; 1.875179; 1.876552; 1.876630; 1.878225; 1.881761; 1.884340; 1.885088; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
223.7; 09:55:32; (); (); (); (); (); (); (); 1.890307; 1.891347; 1.890860; 1.889165; 1.886852; 1.885737; 1.886170; 1.886886; 1.887517; 1.888027; 1.887689; 1.885507; 1.884308; 1.883378; 1.881539; 1.880675; 1.881860; 1.882974; 1.883653; 1.885521; 1.886328; 1.886296; 1.886435; 1.888983; 1.890666; 1.889257; 1.889941; 1.892335; 1.896991; 1.903744; 1.906891; 1.906198; 1.906909; 1.910288; 1.912126; 1.913788; 1.914941; 1.914432; 1.910910; 1.908122; 1.907095; 1.907849; 1.907292; 1.901972; 1.892402; 1.885057; 1.881198; 1.875548; 1.866210; 1.860195; 1.855430; 1.851902; 1.849639; 1.848747; 1.848905; 1.849019; 1.847436; 1.845580; 1.844014; 1.843090; 1.841634; 1.842373; 1.845569; 1.847592; 1.846606; 1.843445; 1.839545; 1.838408; 1.837911; 1.834187; 1.830663; 1.830092; 1.830227; 1.831483; 1.835306; 1.838422; 1.838542; 1.837203; 1.837870; 1.839981; 1.842676; 1.846162; 1.847435; 1.847954; 1.848401; 1.846351; 1.841055; 1.838824; 1.838689; 1.838711; 1.839096; 1.839220; 1.839663; 1.839837; 1.839411; 1.838967; 1.835235; 1.830667; 1.831623; 1.838333; 1.845853; 1.851345; 1.853513; 1.852736; 1.847804; 1.843390; 1.842503; 1.843387; 1.842285; 1.841709; 1.843252; 1.846004; 1.848458; 1.847963; 1.843927; 1.838249; 1.833116; 1.831935; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
226.1; 09:55:41; (); (); (); (); (); (); (); 1.920013; 1.919262; 1.918350; 1.919774; 1.922146; 1.920974; 1.918854; 1.917062; 1.915988; 1.911884; 1.907729; 1.907019; 1.906412; 1.906551; 1.909485; 1.911469; 1.909831; 1.907785; 1.903541; 1.901297; 1.904150; 1.906647; 1.907458; 1.912671; 1.920579; 1.925663; 1.924947; 1.920440; 1.914697; 1.911735; 1.911986; 1.914518; 1.914716; 1.915166; 1.915131; 1.915157; 1.912710; 1.905449; 1.896719; 1.894256; 1.896159; 1.899529; 1.901273; 1.898609; 1.890622; 1.885372; 1.885651; 1.887576; 1.887720; 1.886692; 1.883745; 1.884466; 1.889399; 1.889327; 1.883409; 1.875655; 1.873346; 1.875254; 1.878047; 1.881655; 1.884365; 1.878940; 1.871522; 1.865488; 1.862108; 1.863132; 1.864843; 1.867241; 1.869427; 1.872639; 1.876108; 1.874182; 1.873204; 1.873944; 1.873173; 1.871357; 1.873741; 1.879339; 1.884195; 1.884350; 1.879678; 1.876658; 1.876334; 1.876088; 1.878070; 1.879751; 1.880324; 1.881051; 1.883831; 1.886768; 1.888001; 1.887108; 1.886857; 1.887680; 1.890716; 1.894586; 1.896441; 1.896703; 1.896725; 1.894688; 1.893266; 1.892143; 1.891931; 1.892229; 1.891983; 1.892574; 1.895308; 1.898342; 1.897820; 1.896097; 1.894881; 1.894016; 1.893295; 1.893379; 1.894605; 1.895592; 1.899382; 1.898801; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
228.6; 09:55:49; (); (); (); (); (); (); (); 1.888937; 1.888302; 1.888005; 1.887050; 1.886610; 1.887196; 1.885371; 1.883075; 1.881436; 1.881048; 1.881828; 1.882486; 1.884194; 1.887037; 1.890760; 1.895235; 1.896885; 1.896670; 1.899136; 1.900427; 1.899784; 1.903566; 1.909213; 1.913653; 1.912149; 1.910052; 1.911694; 1.911483; 1.902553; 1.892731; 1.888485; 1.887512; 1.885273; 1.881624; 1.881696; 1.882046; 1.879095; 1.877081; 1.877830; 1.880939; 1.881960; 1.880333; 1.881897; 1.884737; 1.883289; 1.884189; 1.886514; 1.888586; 1.888037; 1.886054; 1.882484; 1.878614; 1.872594; 1.868298; 1.868156; 1.868889; 1.869960; 1.870470; 1.871726; 1.872311; 1.869532; 1.866261; 1.867140; 1.870314; 1.872921; 1.874986; 1.878181; 1.882713; 1.883025; 1.879135; 1.875252; 1.872042; 1.872426; 1.876415; 1.878026; 1.875392; 1.874638; 1.874248; 1.873190; 1.873556; 1.873114; 1.867514; 1.863270; 1.864501; 1.867330; 1.869552; 1.872078; 1.873477; 1.871088; 1.869715; 1.871020; 1.869832; 1.863707; 1.858055; 1.853533; 1.852643; 1.856298; 1.856374; 1.853617; 1.849379; 1.845215; 1.840203; 1.833481; 1.830040; 1.829142; 1.829398; 1.830273; 1.831742; 1.832935; 1.835131; 1.837732; 1.837227; 1.836778; 1.836758; 1.836515; 1.837285; 1.839192; 1.843281; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
