Roll Number; 0
Recipe Name; FP 4576_570 GSM
Start Time; 2018-01-05; 08:38:29
File Name; D:\Mahlo\TR\180105083829FP 4576_570 GSM0_XMF2.txt

1116.4; 08:39:02; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.307167; 0.307719; 0.308347; 0.308848; 0.309311; 0.309853; 0.310439; 0.310932; 0.311290; 0.311742; 0.312382; 0.313052; 0.313499; 0.313785; 0.313807; 0.313587; 0.313007; 0.312373; 0.311825; 0.311297; 0.310590; 0.309558; 0.308057; 0.306546; 0.304945; 0.303384; 0.302196; 0.301530; 0.301300; 0.301260; 0.301302; 0.301477; 0.301477; 0.301372; 0.301225; 0.301181; 0.301468; 0.302105; 0.303069; 0.304162; 0.305278; 0.306329; 0.307345; 0.308244; 0.308875; 0.309397; 0.310007; 0.310717; 0.311452; 0.312162; 0.312724; 0.313250; 0.313606; 0.313829; 0.313769; 0.313311; 0.312776; 0.312407; 0.312340; 0.312198; 0.311700; 0.310953; 0.310106; 0.309814; 0.309838; 0.309996; 0.310036; 0.309928; 0.309649; 0.309312; 0.308981; 0.308652; 0.308157; 0.307588; 0.307335; 0.307513; 0.307852; 0.308164; 0.308373; 0.307983; 0.307380; 0.306926; 0.306690; 0.306752; 0.307150; 0.307622; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1118.4; 08:39:11; (); (); (); (); (); (); 0.222954; 0.223851; 0.224590; 0.225493; 0.226337; 0.227112; 0.227873; 0.230297; 0.233893; 0.235468; 0.235896; 0.236185; 0.236638; 0.237329; 0.238144; 0.238889; 0.239724; 0.240420; 0.240609; 0.240616; 0.240592; 0.240417; 0.239916; 0.239066; 0.238152; 0.237541; 0.237068; 0.236552; 0.235744; 0.234610; 0.233619; 0.232993; 0.232439; 0.231888; 0.231149; 0.230262; 0.229298; 0.228617; 0.228104; 0.227523; 0.226757; 0.226071; 0.225560; 0.225282; 0.225170; 0.225144; 0.225055; 0.225133; 0.225760; 0.226638; 0.227587; 0.228596; 0.229478; 0.230670; 0.234978; 0.240510; 0.246838; 0.253100; 0.259345; 0.265582; 0.271016; 0.276524; 0.282648; 0.288332; 0.293031; 0.297588; 0.302951; 0.308466; 0.311970; 0.311926; 0.311794; 0.311506; 0.311157; 0.310742; 0.310163; 0.309206; 0.308239; 0.307407; 0.306815; 0.306498; 0.306281; 0.306074; 0.305960; 0.305793; 0.305637; 0.305533; 0.305692; 0.305974; 0.306460; 0.306947; 0.307629; 0.308399; 0.308793; 0.308984; 0.309305; 0.309606; 0.310154; 0.310498; 0.311085; 0.311596; 0.312062; 0.312336; 0.312555; 0.312625; 0.312759; 0.312593; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1120.0; 08:39:20; (); (); (); (); (); (); 0.214685; 0.215988; 0.216750; 0.217786; 0.218660; 0.219984; 0.221360; 0.222768; 0.226665; 0.229741; 0.231465; 0.232676; 0.233835; 0.234840; 0.235668; 0.236688; 0.237371; 0.237878; 0.238110; 0.237954; 0.237905; 0.237692; 0.237486; 0.237074; 0.236527; 0.235968; 0.235403; 0.234829; 0.234359; 0.234199; 0.234329; 0.234615; 0.235086; 0.235529; 0.235755; 0.235544; 0.235176; 0.234920; 0.234545; 0.233997; 0.233336; 0.232668; 0.231928; 0.231101; 0.230072; 0.228620; 0.227107; 0.225863; 0.224600; 0.223438; 0.222693; 0.221994; 0.221147; 0.220300; 0.219704; 0.219401; 0.219359; 0.219464; 0.219549; 0.219765; 0.220002; 0.220226; 0.220326; 0.220284; 0.220254; 0.220316; 0.220639; 0.221245; 0.222078; 0.223018; 0.223939; 0.224436; 0.224725; 0.224815; 0.225026; 0.225440; 0.225951; 0.226507; 0.227046; 0.227242; 0.227117; 0.226784; 0.226355; 0.225707; 0.225392; 0.225382; 0.225566; 0.225745; 0.225704; 0.225572; 0.225418; 0.225302; 0.225274; 0.225299; 0.225466; 0.225587; 0.225575; 0.225564; 0.225524; 0.225160; 0.224630; 0.224156; 0.223864; 0.223703; 0.223466; 0.223324; 0.223589; 0.223993; 0.224447; 0.224431; 0.223550; 0.222199; 0.222156; 0.221997; 0.221842; 0.221756; 0.221717; 0.221690; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1121.6; 08:39:29; (); (); (); (); (); (); 0.229549; 0.229318; 0.229158; 0.229399; 0.229951; 0.230341; 0.230715; 0.232112; 0.234823; 0.236323; 0.236465; 0.236298; 0.236074; 0.236134; 0.236311; 0.236497; 0.236579; 0.236420; 0.235977; 0.235147; 0.234142; 0.233175; 0.232001; 0.230722; 0.229428; 0.228297; 0.227692; 0.227490; 0.227606; 0.227899; 0.228308; 0.228840; 0.229181; 0.229649; 0.230431; 0.231271; 0.232037; 0.232697; 0.233250; 0.233520; 0.233781; 0.234394; 0.235187; 0.235739; 0.235961; 0.235889; 0.235787; 0.235988; 0.236394; 0.236972; 0.237354; 0.237554; 0.237714; 0.238081; 0.238568; 0.238739; 0.238601; 0.238175; 0.238159; 0.238343; 0.238544; 0.238748; 0.238744; 0.238490; 0.238276; 0.238102; 0.238119; 0.238211; 0.238183; 0.237936; 0.237825; 0.237683; 0.237513; 0.237321; 0.237400; 0.237726; 0.238149; 0.238240; 0.238473; 0.238865; 0.239306; 0.239558; 0.239483; 0.239519; 0.239947; 0.240850; 0.242131; 0.243458; 0.244450; 0.245044; 0.245538; 0.245847; 0.246512; 0.247187; 0.247621; 0.248157; 0.248911; 0.249943; 0.250796; 0.250941; 0.250615; 0.249661; 0.248632; 0.247579; 0.247157; 0.246893; 0.246185; 0.245639; 0.244374; 0.242680; 0.239313; 0.237510; 0.236546; 0.235358; 0.234136; 0.232982; 0.231959; 0.231411; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1123.2; 08:39:37; (); (); (); (); (); (); 0.230153; 0.231961; 0.233327; 0.234437; 0.234574; 0.234976; 0.235957; 0.237105; 0.240139; 0.244192; 0.245745; 0.245858; 0.246128; 0.246181; 0.245992; 0.245690; 0.244859; 0.244369; 0.243781; 0.243643; 0.243120; 0.241937; 0.240659; 0.239464; 0.238913; 0.238839; 0.239217; 0.239680; 0.239977; 0.240042; 0.239853; 0.239700; 0.239445; 0.239221; 0.239050; 0.238900; 0.238734; 0.238575; 0.238358; 0.237726; 0.236489; 0.235035; 0.233454; 0.231833; 0.230766; 0.230195; 0.229826; 0.229559; 0.229257; 0.228875; 0.228389; 0.227601; 0.226585; 0.225433; 0.224583; 0.224159; 0.223876; 0.223620; 0.223416; 0.223259; 0.223122; 0.223024; 0.223126; 0.223562; 0.224208; 0.225053; 0.225810; 0.226313; 0.226774; 0.227074; 0.227402; 0.227765; 0.228154; 0.228669; 0.229351; 0.230022; 0.230492; 0.230740; 0.230914; 0.231033; 0.231364; 0.231967; 0.232792; 0.234024; 0.235285; 0.236607; 0.238247; 0.239509; 0.240218; 0.240622; 0.240949; 0.241212; 0.241606; 0.242046; 0.242699; 0.243319; 0.243918; 0.244261; 0.244234; 0.243755; 0.242956; 0.242220; 0.241877; 0.241813; 0.241927; 0.242216; 0.242411; 0.242244; 0.241715; 0.240657; 0.238487; 0.235405; 0.234428; 0.233899; 0.233463; 0.233054; 0.232381; 0.230946; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1124.8; 08:39:46; (); (); (); (); (); (); 0.222754; 0.223801; 0.225175; 0.226151; 0.226968; 0.227667; 0.228168; 0.229271; 0.232206; 0.233780; 0.234383; 0.234756; 0.235080; 0.235201; 0.235140; 0.235003; 0.234760; 0.234408; 0.233706; 0.232986; 0.232318; 0.231948; 0.231728; 0.231615; 0.231362; 0.231117; 0.230885; 0.230886; 0.231033; 0.231090; 0.231057; 0.230879; 0.230782; 0.230985; 0.231197; 0.231091; 0.230743; 0.230171; 0.229674; 0.229243; 0.228798; 0.228433; 0.228220; 0.228073; 0.228104; 0.228241; 0.228330; 0.228178; 0.227774; 0.227483; 0.227382; 0.227168; 0.227060; 0.226828; 0.226496; 0.225982; 0.225318; 0.224593; 0.224085; 0.223740; 0.223514; 0.223491; 0.223726; 0.224157; 0.224299; 0.224132; 0.223735; 0.223045; 0.222599; 0.222308; 0.222100; 0.221979; 0.221756; 0.221452; 0.221095; 0.220775; 0.220504; 0.220316; 0.220480; 0.221152; 0.222264; 0.223309; 0.224462; 0.225659; 0.227118; 0.229096; 0.231302; 0.233415; 0.235343; 0.236933; 0.238568; 0.240396; 0.241935; 0.243043; 0.243927; 0.245064; 0.246261; 0.247281; 0.248392; 0.249048; 0.249671; 0.249690; 0.249627; 0.249075; 0.248102; 0.247222; 0.245967; 0.245108; 0.243903; 0.242081; 0.238659; 0.237108; 0.236039; 0.234512; 0.232466; 0.230204; 0.228024; 0.226445; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1126.4; 08:39:55; (); (); (); (); (); (); 0.230859; 0.231744; 0.233187; 0.234946; 0.236554; 0.238312; 0.239650; 0.240466; 0.243024; 0.246705; 0.248557; 0.249113; 0.249828; 0.250191; 0.250323; 0.250405; 0.250063; 0.249612; 0.248523; 0.247295; 0.246260; 0.245099; 0.244351; 0.243268; 0.242019; 0.240744; 0.239887; 0.239146; 0.238501; 0.237997; 0.237762; 0.237644; 0.237660; 0.237691; 0.237835; 0.238167; 0.238450; 0.238725; 0.239069; 0.239305; 0.239197; 0.238907; 0.238744; 0.238978; 0.239279; 0.239920; 0.240699; 0.241313; 0.241559; 0.241488; 0.241306; 0.241090; 0.240753; 0.240286; 0.239785; 0.239505; 0.239384; 0.239218; 0.238933; 0.238337; 0.237589; 0.236987; 0.236771; 0.237140; 0.237738; 0.238091; 0.238236; 0.238286; 0.238296; 0.238430; 0.238613; 0.238742; 0.238744; 0.238818; 0.238874; 0.238614; 0.238025; 0.237101; 0.236185; 0.235652; 0.235616; 0.235786; 0.236252; 0.237065; 0.237973; 0.238690; 0.239319; 0.240040; 0.240704; 0.241328; 0.242165; 0.243124; 0.244177; 0.244709; 0.244882; 0.245003; 0.245186; 0.245309; 0.245211; 0.245086; 0.244983; 0.244759; 0.244507; 0.244380; 0.244338; 0.244037; 0.243398; 0.242673; 0.242031; 0.241021; 0.238770; 0.236277; 0.235562; 0.234833; 0.233854; 0.232883; 0.231775; 0.230347; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1128.0; 08:40:04; (); (); (); (); (); (); 0.219766; 0.220585; 0.221500; 0.222343; 0.223107; 0.223700; 0.224021; 0.225567; 0.228027; 0.228456; 0.228265; 0.228249; 0.228265; 0.228298; 0.228250; 0.228191; 0.228042; 0.227888; 0.227518; 0.227015; 0.226496; 0.225843; 0.225280; 0.224797; 0.224477; 0.224446; 0.224746; 0.225095; 0.225237; 0.225325; 0.225426; 0.225524; 0.225418; 0.225346; 0.225471; 0.225778; 0.226210; 0.226599; 0.226661; 0.226185; 0.225431; 0.224478; 0.223567; 0.223212; 0.222942; 0.222534; 0.222164; 0.221932; 0.221612; 0.221028; 0.220374; 0.219885; 0.219923; 0.220386; 0.221028; 0.221311; 0.221387; 0.221263; 0.221094; 0.221102; 0.221442; 0.221996; 0.222779; 0.223801; 0.225160; 0.226362; 0.227423; 0.228089; 0.228707; 0.229359; 0.230237; 0.231077; 0.232043; 0.233048; 0.234244; 0.235564; 0.236635; 0.237561; 0.238569; 0.239657; 0.240541; 0.241252; 0.241664; 0.242073; 0.242478; 0.242943; 0.243625; 0.241260; 0.241700; 0.241933; 0.242212; 0.242288; 0.241916; 0.241388; 0.240681; 0.240148; 0.239615; 0.239467; 0.239411; 0.239327; 0.239013; 0.239190; 0.240261; 0.239424; 0.238198; 0.237180; 0.235804; 0.235343; 0.234412; 0.232950; 0.229367; 0.227977; 0.227123; 0.225994; 0.224959; 0.223885; 0.223019; 0.221954; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1129.6; 08:40:12; (); (); (); (); (); (); 0.218630; 0.220150; 0.221756; 0.223613; 0.225027; 0.226650; 0.228243; 0.229637; 0.233398; 0.235810; 0.237231; 0.237665; 0.238200; 0.239151; 0.239737; 0.240735; 0.241117; 0.241510; 0.241135; 0.240331; 0.239671; 0.238918; 0.238460; 0.237940; 0.237303; 0.236828; 0.236070; 0.235360; 0.234456; 0.233593; 0.232535; 0.231458; 0.230491; 0.229932; 0.229441; 0.228947; 0.228495; 0.228498; 0.228787; 0.229446; 0.229589; 0.229522; 0.229090; 0.228648; 0.228278; 0.228313; 0.228725; 0.229269; 0.229553; 0.229624; 0.229474; 0.229246; 0.228925; 0.228985; 0.229191; 0.229861; 0.230602; 0.231340; 0.231893; 0.232237; 0.232363; 0.232570; 0.232994; 0.233486; 0.234071; 0.234430; 0.234305; 0.233902; 0.233312; 0.232704; 0.232245; 0.232174; 0.232488; 0.233119; 0.233738; 0.233988; 0.233912; 0.233627; 0.233600; 0.233835; 0.234427; 0.235048; 0.235342; 0.235544; 0.235692; 0.235846; 0.236010; 0.236095; 0.236020; 0.236167; 0.236527; 0.237037; 0.237405; 0.237532; 0.237709; 0.238020; 0.238458; 0.238994; 0.239747; 0.240449; 0.241100; 0.241716; 0.242157; 0.242363; 0.242436; 0.242452; 0.242481; 0.242514; 0.242597; 0.242196; 0.240394; 0.237355; 0.236680; 0.236025; 0.235008; 0.233684; 0.232225; 0.230546; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1131.2; 08:40:21; (); (); (); (); (); (); 0.220210; 0.221546; 0.223276; 0.224609; 0.225499; 0.226242; 0.227168; 0.230502; 0.234169; 0.236127; 0.236285; 0.235887; 0.235530; 0.235500; 0.235770; 0.236006; 0.235808; 0.235403; 0.234884; 0.234213; 0.233470; 0.232347; 0.231133; 0.230419; 0.230264; 0.230622; 0.231350; 0.231982; 0.232149; 0.232022; 0.231755; 0.231678; 0.231860; 0.232238; 0.232925; 0.233631; 0.234156; 0.234303; 0.233965; 0.233208; 0.232227; 0.231112; 0.230277; 0.229729; 0.229351; 0.229030; 0.228661; 0.228126; 0.227550; 0.226946; 0.226388; 0.225859; 0.225516; 0.225377; 0.225567; 0.225888; 0.226303; 0.226722; 0.227299; 0.227916; 0.228707; 0.229949; 0.231308; 0.232415; 0.233214; 0.233903; 0.234887; 0.236017; 0.236698; 0.237198; 0.237758; 0.238544; 0.239155; 0.239652; 0.239992; 0.240083; 0.239783; 0.239485; 0.239476; 0.239909; 0.240516; 0.241166; 0.241543; 0.242017; 0.242547; 0.242986; 0.243256; 0.243407; 0.243487; 0.243529; 0.243426; 0.243271; 0.243039; 0.242910; 0.242480; 0.242154; 0.241845; 0.241835; 0.241634; 0.241094; 0.240532; 0.239802; 0.239577; 0.239308; 0.239183; 0.239317; 0.239029; 0.239192; 0.238718; 0.237683; 0.233919; 0.232615; 0.231963; 0.231192; 0.230752; 0.229997; 0.229100; 0.227723; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1132.8; 08:40:30; (); (); (); (); (); (); 0.221309; 0.223261; 0.224721; 0.226022; 0.227173; 0.228388; 0.229486; 0.230147; 0.234007; 0.237523; 0.239260; 0.240733; 0.242150; 0.243191; 0.243191; 0.243503; 0.243499; 0.243753; 0.243703; 0.243180; 0.242481; 0.241766; 0.241221; 0.240643; 0.240071; 0.239551; 0.238808; 0.238266; 0.237433; 0.236757; 0.236205; 0.235629; 0.235130; 0.235193; 0.235515; 0.236065; 0.236529; 0.236957; 0.237140; 0.237002; 0.236257; 0.235443; 0.234662; 0.234206; 0.234038; 0.234057; 0.234252; 0.234404; 0.234390; 0.234216; 0.233969; 0.233751; 0.233601; 0.233597; 0.233727; 0.234305; 0.234902; 0.235611; 0.236309; 0.237159; 0.237989; 0.238766; 0.239421; 0.240017; 0.240656; 0.241126; 0.241472; 0.241834; 0.242342; 0.242878; 0.243260; 0.243567; 0.243782; 0.243855; 0.243682; 0.243253; 0.242637; 0.242045; 0.241709; 0.241498; 0.241472; 0.241499; 0.241538; 0.241469; 0.241404; 0.241417; 0.241543; 0.241540; 0.241490; 0.241697; 0.242098; 0.242898; 0.243678; 0.244167; 0.244410; 0.244245; 0.243843; 0.243436; 0.243013; 0.242406; 0.241864; 0.241374; 0.240931; 0.240414; 0.239874; 0.239107; 0.238351; 0.237628; 0.237049; 0.236682; 0.235764; 0.234107; 0.233819; 0.233532; 0.233210; 0.232707; 0.232157; 0.231703; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
