Roll Number; 0
Recipe Name; FP 4576_570 GSM
Start Time; 2018-01-05; 08:38:29
File Name; D:\Mahlo\TR\180105083829FP 4576_570 GSM0_THICKNESS2.txt

1116.4; 08:39:02; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.949170; 0.950992; 0.950700; 0.949498; 0.946707; 0.944690; 0.944870; 0.946536; 0.948664; 0.948895; 0.947730; 0.947429; 0.951217; 0.956470; 0.957301; 0.961548; 0.964226; 0.968597; 0.975613; 0.982668; 0.990037; 0.994020; 0.997913; 1.001496; 1.005557; 1.008215; 1.010171; 1.009449; 1.011337; 1.014235; 1.011725; 1.011708; 1.009830; 1.007434; 1.004077; 1.001467; 1.002072; 0.998389; 0.992898; 0.988440; 0.985458; 0.981427; 0.978231; 0.973737; 0.968434; 0.963751; 0.964298; 0.964154; 0.961951; 0.961408; 0.958317; 0.955693; 0.958700; 0.962912; 0.965070; 0.967015; 0.969482; 0.970296; 0.969892; 0.977025; 0.981767; 0.982565; 0.984447; 0.989600; 0.993261; 0.999842; 1.004274; 1.005839; 1.006818; 1.010885; 1.011887; 1.015305; 1.020179; 1.022366; 1.018952; 1.015988; 1.014822; 1.012374; 1.007839; 1.005256; 1.001338; 0.999756; 1.000724; 1.002647; 1.004293; 1.005655; 1.004370; 1.002428; 1.002833; 1.004425; 1.005832; 1.009429; 1.014133; 1.017922; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1118.4; 08:39:11; (); (); (); (); (); (); 0.909169; 0.916309; 0.923887; 0.923590; 0.926401; 0.929398; 0.932060; 0.937060; 0.943858; 0.947799; 0.950461; 0.953481; 0.956708; 0.963438; 0.968626; 0.964702; 0.960502; 0.961318; 0.962131; 0.959995; 0.956943; 0.952784; 0.947720; 0.941808; 0.937048; 0.933320; 0.930529; 0.930585; 0.930067; 0.930988; 0.935191; 0.937349; 0.940669; 0.943449; 0.946699; 0.950529; 0.955902; 0.961376; 0.966766; 0.974673; 0.986187; 0.991949; 0.992931; 0.996802; 1.000041; 1.003476; 1.006527; 1.004682; 1.005471; 1.005615; 1.005174; 1.004322; 1.002176; 1.000189; 0.996700; 0.993404; 0.992661; 0.992322; 0.990966; 0.990401; 0.990427; 0.991948; 0.992927; 0.990423; 0.992851; 0.994355; 0.995854; 0.997173; 0.996565; 0.996856; 0.994495; 0.992144; 0.992096; 0.993578; 0.996627; 0.998582; 1.000886; 1.006496; 1.010511; 1.009673; 1.010745; 1.013991; 1.016725; 1.018740; 1.022195; 1.024602; 1.028631; 1.031996; 1.030572; 1.026929; 1.024331; 1.021432; 1.017523; 1.015871; 1.018290; 1.019929; 1.016833; 1.018934; 1.019878; 1.020007; 1.021017; 1.019025; 1.016180; 1.017576; 1.020054; 1.020246; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1120.0; 08:39:20; (); (); (); (); (); (); 0.959324; 0.960882; 0.964198; 0.962942; 0.962357; 0.965262; 0.966578; 0.964615; 0.962883; 0.963690; 0.964926; 0.963961; 0.962052; 0.960825; 0.960272; 0.960713; 0.958261; 0.954886; 0.954506; 0.954236; 0.950062; 0.949527; 0.952129; 0.952704; 0.948269; 0.947836; 0.951071; 0.952306; 0.955425; 0.958517; 0.956419; 0.956454; 0.958552; 0.961750; 0.964180; 0.967022; 0.968552; 0.966137; 0.967360; 0.968064; 0.967988; 0.969400; 0.971328; 0.971579; 0.972395; 0.975740; 0.976736; 0.975170; 0.971666; 0.967458; 0.964028; 0.962344; 0.963604; 0.962836; 0.960922; 0.958736; 0.955198; 0.957100; 0.956652; 0.955740; 0.955992; 0.957735; 0.959651; 0.961852; 0.965110; 0.967941; 0.969521; 0.970084; 0.970275; 0.971627; 0.972917; 0.972129; 0.968612; 0.967160; 0.967457; 0.963540; 0.959074; 0.955006; 0.953273; 0.954301; 0.955722; 0.956696; 0.958132; 0.960986; 0.961723; 0.964763; 0.969103; 0.972935; 0.975537; 0.976727; 0.981041; 0.986115; 0.990831; 0.993146; 0.996017; 1.004272; 1.007430; 1.008997; 1.012105; 1.017011; 1.017476; 1.017827; 1.016717; 1.015958; 1.016014; 1.017082; 1.021803; 1.021727; 1.017434; 1.010718; 1.005137; 1.005818; 1.004911; 1.002561; 0.999301; 0.997692; 0.996860; 0.999668; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1121.6; 08:39:29; (); (); (); (); (); (); 0.932149; 0.929456; 0.929670; 0.929536; 0.931481; 0.934271; 0.936451; 0.937139; 0.936370; 0.939382; 0.941662; 0.945273; 0.948523; 0.952081; 0.955488; 0.958500; 0.961758; 0.962285; 0.961301; 0.959750; 0.956970; 0.956652; 0.954988; 0.952960; 0.950901; 0.948964; 0.949090; 0.949406; 0.950408; 0.951497; 0.951665; 0.951063; 0.954468; 0.954978; 0.958260; 0.962066; 0.963679; 0.967598; 0.971950; 0.971193; 0.968183; 0.965759; 0.965078; 0.967937; 0.969439; 0.969117; 0.968828; 0.968669; 0.968473; 0.965907; 0.962417; 0.958681; 0.954724; 0.954341; 0.956658; 0.956136; 0.953306; 0.948492; 0.947091; 0.948491; 0.951274; 0.953893; 0.957356; 0.959563; 0.959518; 0.962839; 0.968163; 0.971690; 0.972315; 0.974673; 0.979323; 0.982763; 0.982828; 0.981173; 0.980238; 0.977776; 0.976324; 0.975850; 0.978477; 0.983637; 0.986911; 0.985358; 0.988064; 0.989841; 0.989724; 0.988706; 0.990919; 0.996063; 0.999935; 1.004342; 1.010004; 1.013921; 1.019602; 1.018349; 1.014377; 1.010703; 1.009259; 1.006527; 1.005761; 1.008769; 1.012555; 1.012477; 1.009280; 1.007345; 1.004199; 1.000579; 0.996655; 0.992548; 0.992464; 0.994479; 0.995903; 0.997160; 0.998204; 0.999235; 0.996732; 0.995237; 0.996185; 0.996107; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1123.2; 08:39:37; (); (); (); (); (); (); 0.932582; 0.937208; 0.942938; 0.945394; 0.946989; 0.949299; 0.952077; 0.953579; 0.956152; 0.960328; 0.962640; 0.963922; 0.970640; 0.975818; 0.976902; 0.975765; 0.971572; 0.968759; 0.965498; 0.963358; 0.962872; 0.960165; 0.959200; 0.957221; 0.956388; 0.955172; 0.951224; 0.943943; 0.941101; 0.939203; 0.939137; 0.940122; 0.941127; 0.944489; 0.943489; 0.942207; 0.941799; 0.942388; 0.944094; 0.947691; 0.953193; 0.956934; 0.959428; 0.960988; 0.966034; 0.970471; 0.973043; 0.973137; 0.973330; 0.977414; 0.982363; 0.985701; 0.988255; 0.991881; 0.997283; 0.998683; 1.001317; 1.004837; 1.008006; 1.008666; 1.009525; 1.014088; 1.020440; 1.023252; 1.022191; 1.021538; 1.019570; 1.017819; 1.013033; 1.007588; 1.010632; 1.010882; 1.010840; 1.010995; 1.011066; 1.010550; 1.007933; 1.004631; 1.003769; 1.006424; 1.011170; 1.013387; 1.012767; 1.013564; 1.010617; 1.005681; 1.006205; 1.009747; 1.010222; 1.009422; 1.007686; 1.006714; 1.007963; 1.008128; 1.005069; 1.002636; 1.005204; 1.008372; 1.008757; 1.013498; 1.017978; 1.018249; 1.017936; 1.021196; 1.023455; 1.027271; 1.032648; 1.034461; 1.034624; 1.035622; 1.032734; 1.029192; 1.030333; 1.032843; 1.031260; 1.029768; 1.027132; 1.020087; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1124.8; 08:39:46; (); (); (); (); (); (); 0.928643; 0.934139; 0.937359; 0.943204; 0.945262; 0.944608; 0.944258; 0.944610; 0.947516; 0.952636; 0.956735; 0.957430; 0.956492; 0.956347; 0.955320; 0.950744; 0.948109; 0.945893; 0.946413; 0.950109; 0.953513; 0.955364; 0.957551; 0.961144; 0.964157; 0.963928; 0.966424; 0.969899; 0.971829; 0.973647; 0.977202; 0.982541; 0.982806; 0.978156; 0.974119; 0.974337; 0.973697; 0.971636; 0.968297; 0.965474; 0.965055; 0.966389; 0.962029; 0.959992; 0.960360; 0.959497; 0.957469; 0.958791; 0.959369; 0.956933; 0.953752; 0.952929; 0.953190; 0.953248; 0.954596; 0.955330; 0.955953; 0.957701; 0.959719; 0.961129; 0.960707; 0.959540; 0.962236; 0.964147; 0.966061; 0.969427; 0.973472; 0.979713; 0.985087; 0.986487; 0.984507; 0.984415; 0.986638; 0.985525; 0.986568; 0.990609; 0.991318; 0.990496; 0.990884; 0.990452; 0.988935; 0.985446; 0.981725; 0.978666; 0.978087; 0.980669; 0.981626; 0.981432; 0.981252; 0.981317; 0.978312; 0.975602; 0.973922; 0.972479; 0.970312; 0.967358; 0.963715; 0.962920; 0.960405; 0.957096; 0.953023; 0.948244; 0.945797; 0.941691; 0.939462; 0.940127; 0.942325; 0.944240; 0.946746; 0.948270; 0.948969; 0.949488; 0.947586; 0.949292; 0.950928; 0.952576; 0.954674; 0.957900; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1126.4; 08:39:55; (); (); (); (); (); (); 0.936852; 0.934915; 0.937490; 0.938476; 0.938971; 0.941384; 0.945834; 0.950049; 0.948795; 0.948112; 0.950666; 0.953457; 0.957625; 0.962673; 0.966524; 0.967657; 0.968070; 0.969251; 0.973549; 0.976401; 0.976539; 0.974553; 0.974528; 0.977914; 0.980139; 0.983192; 0.986022; 0.985410; 0.984516; 0.985604; 0.988718; 0.989806; 0.988205; 0.987175; 0.985282; 0.987523; 0.989250; 0.985245; 0.982673; 0.979532; 0.977351; 0.976796; 0.976856; 0.976854; 0.976262; 0.978199; 0.980556; 0.980698; 0.978668; 0.977926; 0.971685; 0.970025; 0.972106; 0.973514; 0.971954; 0.970841; 0.968017; 0.966465; 0.968069; 0.970779; 0.971470; 0.973947; 0.978440; 0.983510; 0.988140; 0.993764; 0.995551; 0.995318; 0.995812; 0.996678; 0.996717; 0.998783; 1.001157; 1.000272; 0.997770; 0.993953; 0.990743; 0.987661; 0.984739; 0.983594; 0.983099; 0.982872; 0.984312; 0.987278; 0.990437; 0.990888; 0.988466; 0.984639; 0.984236; 0.986905; 0.989506; 0.989577; 0.988104; 0.989645; 0.989812; 0.989952; 0.987913; 0.985053; 0.984341; 0.983350; 0.984696; 0.988365; 0.993308; 0.992669; 0.992813; 0.994758; 0.998839; 1.003037; 1.003055; 0.997811; 0.996773; 0.999741; 1.000797; 1.000834; 1.002343; 1.004656; 1.002311; 1.001912; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1128.0; 08:40:03; (); (); (); (); (); (); 0.948447; 0.954879; 0.957107; 0.957322; 0.956439; 0.956988; 0.958779; 0.961838; 0.963416; 0.965660; 0.969777; 0.974249; 0.976908; 0.973907; 0.974503; 0.972270; 0.970029; 0.970097; 0.971080; 0.974013; 0.976823; 0.976400; 0.973390; 0.970848; 0.964854; 0.964472; 0.962383; 0.961508; 0.963777; 0.960839; 0.962070; 0.965073; 0.965487; 0.963904; 0.961300; 0.957833; 0.960657; 0.963968; 0.967823; 0.969349; 0.966270; 0.966143; 0.964853; 0.964438; 0.964950; 0.965792; 0.964666; 0.965134; 0.965058; 0.964650; 0.963925; 0.960857; 0.961880; 0.963702; 0.965438; 0.967895; 0.970291; 0.970409; 0.970826; 0.970825; 0.971200; 0.973751; 0.976591; 0.980165; 0.982118; 0.983846; 0.985808; 0.986635; 0.988498; 0.991843; 0.991615; 0.990681; 0.994084; 1.000722; 1.004734; 1.006145; 1.005190; 1.004615; 1.007390; 1.009334; 1.009737; 1.009846; 1.009838; 1.008520; 1.007686; 1.008279; 1.010147; 1.010323; 1.006653; 1.002148; 1.002988; 1.003144; 1.002189; 1.001300; 1.000857; 1.000784; 0.997832; 0.993823; 0.992319; 0.994321; 0.996515; 0.999313; 1.000383; 1.001370; 0.998991; 0.994927; 0.996246; 0.998350; 1.000546; 1.002691; 1.003130; 1.006051; 1.010744; 1.010640; 1.010932; 1.010705; 1.006886; 1.006378; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1129.6; 08:40:12; (); (); (); (); (); (); 0.953546; 0.954430; 0.952108; 0.951978; 0.954862; 0.957298; 0.961831; 0.966920; 0.972319; 0.974882; 0.978634; 0.977235; 0.975054; 0.974890; 0.975780; 0.975422; 0.976058; 0.979517; 0.979771; 0.976170; 0.973705; 0.968498; 0.962683; 0.958198; 0.956312; 0.956576; 0.959069; 0.960260; 0.963152; 0.964933; 0.962448; 0.962648; 0.962708; 0.964007; 0.966834; 0.970356; 0.973408; 0.978656; 0.981944; 0.982839; 0.985575; 0.989556; 0.991814; 0.988601; 0.986777; 0.986972; 0.986709; 0.985078; 0.984919; 0.985043; 0.986287; 0.985289; 0.979018; 0.978405; 0.977916; 0.976231; 0.973832; 0.972879; 0.978017; 0.984916; 0.991581; 0.998177; 1.002934; 1.005579; 1.004777; 1.005065; 1.010609; 1.020040; 1.026024; 1.025883; 1.028263; 1.031948; 1.033287; 1.030959; 1.029367; 1.028026; 1.025361; 1.023574; 1.024256; 1.027253; 1.027206; 1.027042; 1.025844; 1.023313; 1.023596; 1.025615; 1.028504; 1.030916; 1.032086; 1.031207; 1.030631; 1.028376; 1.028191; 1.028914; 1.030249; 1.031928; 1.031695; 1.033174; 1.034396; 1.033166; 1.027809; 1.022085; 1.019094; 1.017374; 1.016223; 1.016380; 1.021715; 1.019773; 1.015392; 1.012658; 1.011366; 1.009411; 1.006697; 1.006813; 1.007817; 1.010530; 1.013970; 1.016889; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1131.2; 08:40:21; (); (); (); (); (); (); 0.926438; 0.925754; 0.925185; 0.923118; 0.921517; 0.922039; 0.928242; 0.933338; 0.937330; 0.939862; 0.940885; 0.943463; 0.944625; 0.945634; 0.946454; 0.947973; 0.949265; 0.952668; 0.954447; 0.955258; 0.954717; 0.947463; 0.940352; 0.936645; 0.935017; 0.934717; 0.934457; 0.936005; 0.936777; 0.936979; 0.936675; 0.936108; 0.938179; 0.942470; 0.946059; 0.950950; 0.955626; 0.959655; 0.964889; 0.967136; 0.968258; 0.972021; 0.974895; 0.975472; 0.977558; 0.980149; 0.979557; 0.977124; 0.975115; 0.971271; 0.967269; 0.964513; 0.961965; 0.958858; 0.958447; 0.959594; 0.960534; 0.961343; 0.963809; 0.965953; 0.968504; 0.970135; 0.970718; 0.973593; 0.977192; 0.980004; 0.984288; 0.988110; 0.988617; 0.987767; 0.982305; 0.977802; 0.976177; 0.975342; 0.973684; 0.970267; 0.970972; 0.973808; 0.975391; 0.973913; 0.973544; 0.972872; 0.973304; 0.974644; 0.977108; 0.984141; 0.988716; 0.992705; 0.996193; 0.999939; 1.004052; 1.004194; 1.001162; 1.000661; 1.001094; 1.001381; 1.001603; 1.001898; 1.008277; 1.011191; 1.011329; 1.013406; 1.013706; 1.011907; 1.010647; 1.010186; 1.010922; 1.013255; 1.016019; 1.020104; 1.023990; 1.026317; 1.027909; 1.023611; 1.021684; 1.020682; 1.018539; 1.015135; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1132.8; 08:40:30; (); (); (); (); (); (); 0.923398; 0.923959; 0.926627; 0.931594; 0.933191; 0.933897; 0.935878; 0.940048; 0.945869; 0.951036; 0.949681; 0.947631; 0.947657; 0.950672; 0.956042; 0.961554; 0.965360; 0.969035; 0.973181; 0.973699; 0.974997; 0.977910; 0.979252; 0.976691; 0.976401; 0.981323; 0.987382; 0.992195; 0.993346; 0.989830; 0.987584; 0.990295; 0.987357; 0.987531; 0.990836; 0.993426; 0.988709; 0.989470; 0.994032; 0.997072; 0.996934; 0.994768; 0.993177; 0.994060; 0.995810; 0.995866; 0.991438; 0.990327; 0.987823; 0.983250; 0.979405; 0.978294; 0.975936; 0.973632; 0.973439; 0.974707; 0.975186; 0.976867; 0.977757; 0.977665; 0.977305; 0.977746; 0.979091; 0.981452; 0.984323; 0.988930; 0.994110; 0.994650; 0.993489; 0.992965; 0.992687; 0.991593; 0.990606; 0.990227; 0.987725; 0.987033; 0.987957; 0.987303; 0.987403; 0.987642; 0.984422; 0.982025; 0.983934; 0.984011; 0.980941; 0.980935; 0.982709; 0.985289; 0.989840; 0.994195; 0.993432; 0.991437; 0.990445; 0.991379; 0.993751; 0.997787; 1.001385; 1.004598; 1.006449; 1.010142; 1.010527; 1.010803; 1.009552; 1.007793; 1.010048; 1.012065; 1.012937; 1.012510; 1.010439; 1.004584; 0.995674; 0.988146; 0.984408; 0.982307; 0.980701; 0.978342; 0.971918; 0.967495; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
