Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-01-05; 09:12:08
File Name; D:\Mahlo\TR\180105091208FP 4576_257 GSM0_XMF2.txt

1722.7; 09:12:19; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.663387; 0.649908; 0.619335; 0.594342; 0.570774; 0.551206; 0.536572; 0.523386; 0.501225; 0.475882; 0.454627; 0.437121; 0.417335; 0.391348; 0.366798; 0.344898; 0.334810; 0.334016; 0.333585; 0.332879; 0.331889; 0.331153; 0.330784; 0.330854; 0.331264; 0.331704; 0.331984; 0.331885; 0.331913; 0.332476; 0.332807; 0.333220; 0.333584; 0.333535; 0.333763; 0.334223; 0.334131; 0.333580; 0.332946; 0.332266; 0.331427; 0.330547; 0.330051; 0.329752; 0.329439; 0.329113; 0.329140; 0.329321; 0.329657; 0.330334; 0.330903; 0.331479; 0.332198; 0.333014; 0.333785; 0.334336; 0.334782; 0.335132; 0.335644; 0.336038; 0.336399; 0.336839; 0.337158; 0.336985; 0.336442; 0.336020; 0.336082; 0.336377; 0.336496; 0.336605; 0.336696; 0.337034; 0.337323; 0.337566; 0.337870; 0.338013; 0.337977; 0.337896; 0.338252; 0.338601; 0.338763; 0.338974; 0.339008; 0.339103; 0.339272; 0.339272; 0.339358; 0.339485; 0.339319; 0.339118; 0.339034; 0.339235; 0.339426; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1727.0; 09:12:28; (); (); (); (); (); (); (); 0.328760; 0.329323; 0.329156; 0.329233; 0.328970; 0.328821; 0.328830; 0.331284; 0.333418; 0.334134; 0.333632; 0.333090; 0.332871; 0.331375; 0.330042; 0.329312; 0.328954; 0.328788; 0.328086; 0.327753; 0.327318; 0.326773; 0.325868; 0.324889; 0.324034; 0.323953; 0.324216; 0.324402; 0.324714; 0.325039; 0.325501; 0.326203; 0.326959; 0.327909; 0.328541; 0.328970; 0.329084; 0.329289; 0.329557; 0.329880; 0.329608; 0.329064; 0.328370; 0.328002; 0.327400; 0.326847; 0.326262; 0.325836; 0.325633; 0.325804; 0.326075; 0.326264; 0.326277; 0.326189; 0.326071; 0.326148; 0.326457; 0.327081; 0.327948; 0.329095; 0.330060; 0.330907; 0.331278; 0.331153; 0.330838; 0.330807; 0.330866; 0.331339; 0.332092; 0.332714; 0.333051; 0.332937; 0.332768; 0.332279; 0.331343; 0.330515; 0.329482; 0.328890; 0.328710; 0.328999; 0.329510; 0.330231; 0.330572; 0.331002; 0.331663; 0.332360; 0.333186; 0.333838; 0.334536; 0.335554; 0.336771; 0.338369; 0.340318; 0.341550; 0.342213; 0.342658; 0.342882; 0.343096; 0.343184; 0.343271; 0.343476; 0.343781; 0.344289; 0.344746; 0.345258; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1730.4; 09:12:36; (); (); (); (); (); (); (); 0.315300; 0.316752; 0.317875; 0.317913; 0.318523; 0.319000; 0.319718; 0.320846; 0.321016; 0.317109; 0.310355; 0.305070; 0.298993; 0.293309; 0.286831; 0.280536; 0.274115; 0.269543; 0.265695; 0.259963; 0.254365; 0.249300; 0.243768; 0.241322; 0.241926; 0.242911; 0.243604; 0.244588; 0.245259; 0.246210; 0.246985; 0.247743; 0.248020; 0.248258; 0.248421; 0.248471; 0.248410; 0.248298; 0.248065; 0.247815; 0.247648; 0.247220; 0.246829; 0.246154; 0.245152; 0.244130; 0.243332; 0.242627; 0.242053; 0.241800; 0.241545; 0.241329; 0.241221; 0.241072; 0.240846; 0.240573; 0.240585; 0.240577; 0.240931; 0.241600; 0.242574; 0.243518; 0.244164; 0.244429; 0.244106; 0.243769; 0.243515; 0.243211; 0.242982; 0.242954; 0.243235; 0.243641; 0.244027; 0.243967; 0.243614; 0.243108; 0.242868; 0.242627; 0.242601; 0.242870; 0.243359; 0.244084; 0.245159; 0.246154; 0.246847; 0.247656; 0.248486; 0.249105; 0.249698; 0.250218; 0.250455; 0.250495; 0.250682; 0.250885; 0.251042; 0.251092; 0.250867; 0.250785; 0.250735; 0.250241; 0.248972; 0.247516; 0.246325; 0.245535; 0.244797; 0.244216; 0.243637; 0.243066; 0.242398; 0.240345; 0.236855; 0.235344; 0.234483; 0.233420; 0.232199; 0.231280; 0.230138; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1733.8; 09:12:45; (); (); (); (); (); (); (); 0.228918; 0.229900; 0.230918; 0.231257; 0.231103; 0.230969; 0.231028; 0.231632; 0.233556; 0.234148; 0.233896; 0.233927; 0.233868; 0.233609; 0.233300; 0.232912; 0.232612; 0.232105; 0.231663; 0.231461; 0.231319; 0.231121; 0.231086; 0.231292; 0.231703; 0.232070; 0.232334; 0.232435; 0.232364; 0.231905; 0.231216; 0.231165; 0.231393; 0.231552; 0.231766; 0.232133; 0.232340; 0.232585; 0.232673; 0.232588; 0.232412; 0.231584; 0.231096; 0.231142; 0.231735; 0.232382; 0.232510; 0.232636; 0.232940; 0.232982; 0.232990; 0.233141; 0.233097; 0.232973; 0.232587; 0.232207; 0.232505; 0.233088; 0.233418; 0.233802; 0.234521; 0.235273; 0.235917; 0.236427; 0.237041; 0.237719; 0.238327; 0.238710; 0.238993; 0.239524; 0.240191; 0.240695; 0.240935; 0.241135; 0.241167; 0.240939; 0.240950; 0.241228; 0.241755; 0.242094; 0.242351; 0.242674; 0.243308; 0.244361; 0.245312; 0.246070; 0.246999; 0.248023; 0.249102; 0.250124; 0.251288; 0.251951; 0.252321; 0.252101; 0.252216; 0.251805; 0.251490; 0.250752; 0.249868; 0.248814; 0.247776; 0.246188; 0.244865; 0.243848; 0.243048; 0.240857; 0.239941; 0.238854; 0.237954; 0.234525; 0.233502; 0.233087; 0.232354; 0.231771; 0.231201; 0.230292; 0.230133; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1737.2; 09:12:54; (); (); (); (); (); (); (); (); 0.211180; 0.213155; 0.214397; 0.214658; 0.215477; 0.216183; 0.216941; 0.219264; 0.222167; 0.223354; 0.223561; 0.225299; 0.227186; 0.229283; 0.230229; 0.230494; 0.230683; 0.230390; 0.230775; 0.230652; 0.230394; 0.230484; 0.230388; 0.230834; 0.231004; 0.230972; 0.229948; 0.228559; 0.227808; 0.227686; 0.228183; 0.228544; 0.229135; 0.229516; 0.229756; 0.230378; 0.230890; 0.231147; 0.231269; 0.231611; 0.231920; 0.232482; 0.232683; 0.232308; 0.231720; 0.231410; 0.231579; 0.231713; 0.232277; 0.232866; 0.232938; 0.232767; 0.232144; 0.231250; 0.230444; 0.230177; 0.230177; 0.230583; 0.231391; 0.232279; 0.232616; 0.232508; 0.232429; 0.232122; 0.231881; 0.231956; 0.232362; 0.233201; 0.234498; 0.235610; 0.236333; 0.236813; 0.236794; 0.236222; 0.235483; 0.234803; 0.234470; 0.234541; 0.234980; 0.235248; 0.235553; 0.235582; 0.235521; 0.235489; 0.235380; 0.235374; 0.235630; 0.236214; 0.236775; 0.237577; 0.238728; 0.239511; 0.239931; 0.240041; 0.240140; 0.240231; 0.240320; 0.240138; 0.239881; 0.239731; 0.239242; 0.238504; 0.237687; 0.236942; 0.236103; 0.235401; 0.234713; 0.233465; 0.231384; 0.228504; 0.227394; 0.226518; 0.225576; 0.224146; 0.222379; 0.220683; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1740.6; 09:13:02; (); (); (); (); (); (); (); (); 0.217319; 0.217768; 0.218023; 0.219092; 0.220000; 0.220594; 0.220681; 0.223157; 0.224730; 0.224639; 0.224183; 0.223943; 0.223676; 0.223817; 0.224069; 0.224389; 0.224623; 0.224533; 0.223589; 0.222749; 0.221991; 0.221701; 0.221668; 0.221960; 0.222485; 0.223102; 0.223655; 0.224293; 0.224869; 0.225225; 0.225457; 0.225605; 0.226238; 0.227173; 0.228070; 0.229045; 0.229779; 0.229954; 0.229782; 0.229170; 0.228265; 0.227394; 0.226703; 0.225831; 0.224919; 0.224563; 0.224658; 0.224586; 0.224721; 0.224852; 0.224785; 0.224631; 0.224349; 0.223781; 0.223766; 0.223829; 0.224230; 0.224853; 0.225792; 0.226912; 0.227612; 0.228130; 0.228239; 0.227913; 0.227498; 0.227486; 0.227615; 0.228123; 0.228997; 0.229961; 0.230481; 0.230400; 0.229662; 0.228756; 0.227965; 0.227460; 0.227010; 0.227213; 0.228020; 0.228803; 0.229637; 0.230705; 0.231969; 0.233400; 0.234662; 0.235862; 0.237282; 0.238779; 0.240111; 0.241415; 0.242335; 0.243620; 0.243843; 0.243700; 0.243464; 0.242804; 0.242065; 0.240651; 0.239176; 0.237829; 0.236128; 0.235106; 0.233219; 0.232147; 0.230299; 0.228195; 0.225670; 0.222315; 0.218664; 0.217126; 0.215792; 0.214255; 0.213405; 0.211931; 0.209718; 0.207988; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1743.9; 09:13:11; (); (); (); (); (); (); (); (); 0.219244; 0.219253; 0.219328; 0.219870; 0.220883; 0.221556; 0.222116; 0.222688; 0.225354; 0.226260; 0.226002; 0.225709; 0.224953; 0.225157; 0.225245; 0.226303; 0.227233; 0.227717; 0.227714; 0.226888; 0.226718; 0.226408; 0.226600; 0.226477; 0.226389; 0.226343; 0.226280; 0.226452; 0.226422; 0.225994; 0.225364; 0.224694; 0.223914; 0.223768; 0.224175; 0.224684; 0.225020; 0.225067; 0.225013; 0.225154; 0.225345; 0.225265; 0.224876; 0.224641; 0.224429; 0.224072; 0.223769; 0.223993; 0.224059; 0.223862; 0.223200; 0.222893; 0.222554; 0.222058; 0.221689; 0.221764; 0.222111; 0.222763; 0.223471; 0.224423; 0.225956; 0.227156; 0.227976; 0.228809; 0.229677; 0.230456; 0.231173; 0.232343; 0.233553; 0.234302; 0.234773; 0.235177; 0.235579; 0.235684; 0.235563; 0.235325; 0.235442; 0.235432; 0.235181; 0.234700; 0.234700; 0.235095; 0.235572; 0.235710; 0.236145; 0.236489; 0.236917; 0.237059; 0.237462; 0.237627; 0.237669; 0.237522; 0.237806; 0.238274; 0.239009; 0.239062; 0.238852; 0.238869; 0.238934; 0.238326; 0.237732; 0.236887; 0.236351; 0.236026; 0.235853; 0.235586; 0.235317; 0.234493; 0.232294; 0.228623; 0.226988; 0.226081; 0.224717; 0.223292; 0.222301; 0.221066; 0.219978; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1747.3; 09:13:19; (); (); (); (); (); (); (); 0.232560; 0.234024; 0.235094; 0.235860; 0.236613; 0.237281; 0.238051; 0.240432; 0.241047; 0.240256; 0.239520; 0.239333; 0.239294; 0.239155; 0.239015; 0.238698; 0.238049; 0.237563; 0.237131; 0.236596; 0.235478; 0.234047; 0.233148; 0.233005; 0.232958; 0.232567; 0.232128; 0.232041; 0.231956; 0.231755; 0.231369; 0.230735; 0.230476; 0.230395; 0.230136; 0.230364; 0.231160; 0.231661; 0.231610; 0.231391; 0.231447; 0.231443; 0.231242; 0.230892; 0.230275; 0.229714; 0.229578; 0.229533; 0.229209; 0.229138; 0.228682; 0.227815; 0.227486; 0.227444; 0.227819; 0.228066; 0.228251; 0.228236; 0.228570; 0.229381; 0.230224; 0.231155; 0.231866; 0.232469; 0.232932; 0.233859; 0.234678; 0.235016; 0.235227; 0.235601; 0.236151; 0.236412; 0.236449; 0.236203; 0.235811; 0.235499; 0.234959; 0.234553; 0.234662; 0.234803; 0.235086; 0.235731; 0.236700; 0.237971; 0.239110; 0.240584; 0.242245; 0.243590; 0.244683; 0.245919; 0.247294; 0.248224; 0.249016; 0.249726; 0.250398; 0.250227; 0.249793; 0.248976; 0.247659; 0.246585; 0.245112; 0.243631; 0.242242; 0.241341; 0.240375; 0.238322; 0.237476; 0.235401; 0.233541; 0.228850; 0.226170; 0.225488; 0.224621; 0.223706; 0.222172; 0.220831; 0.219776; 0.218500; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1750.8; 09:13:28; (); (); (); (); (); (); (); 0.215005; 0.217612; 0.219232; 0.220546; 0.221592; 0.222418; 0.223338; 0.225062; 0.229090; 0.231454; 0.232036; 0.233019; 0.234415; 0.236036; 0.236304; 0.236219; 0.235865; 0.235481; 0.235474; 0.235417; 0.235137; 0.234715; 0.234000; 0.233830; 0.233875; 0.234279; 0.234319; 0.234214; 0.233877; 0.233705; 0.233538; 0.233456; 0.233433; 0.233792; 0.234172; 0.234722; 0.235394; 0.236212; 0.236753; 0.236941; 0.236691; 0.236073; 0.235211; 0.234027; 0.233004; 0.232629; 0.232441; 0.232171; 0.231175; 0.230183; 0.229342; 0.228368; 0.227510; 0.227096; 0.226685; 0.226642; 0.227393; 0.228566; 0.229745; 0.230766; 0.231622; 0.232757; 0.234230; 0.235818; 0.237052; 0.238257; 0.239156; 0.239792; 0.240310; 0.240993; 0.241409; 0.241504; 0.241580; 0.241895; 0.242044; 0.241856; 0.241345; 0.240716; 0.239935; 0.239412; 0.239063; 0.239005; 0.239056; 0.239394; 0.239847; 0.240579; 0.241340; 0.241607; 0.241628; 0.241652; 0.242043; 0.242738; 0.243180; 0.243508; 0.243874; 0.244578; 0.245524; 0.246101; 0.245893; 0.245295; 0.244663; 0.244135; 0.243606; 0.243388; 0.243595; 0.243471; 0.243034; 0.242542; 0.241712; 0.239430; 0.235777; 0.234578; 0.233604; 0.232850; 0.232150; 0.231106; 0.229549; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1754.2; 09:13:37; (); (); (); (); (); (); (); 0.222563; 0.223674; 0.225101; 0.225715; 0.226086; 0.227059; 0.228053; 0.230636; 0.231885; 0.231565; 0.230668; 0.229951; 0.229582; 0.229865; 0.229822; 0.229694; 0.229325; 0.228648; 0.228513; 0.228482; 0.227546; 0.226378; 0.225840; 0.225700; 0.226077; 0.226964; 0.227854; 0.228401; 0.228290; 0.228778; 0.229156; 0.229521; 0.229491; 0.229468; 0.229431; 0.230193; 0.231314; 0.232184; 0.232763; 0.232652; 0.231826; 0.231265; 0.230537; 0.229993; 0.229458; 0.229233; 0.229161; 0.229161; 0.228895; 0.228672; 0.228026; 0.227158; 0.226490; 0.225802; 0.225596; 0.225798; 0.226068; 0.226698; 0.227389; 0.227890; 0.228036; 0.228173; 0.228504; 0.229062; 0.229895; 0.230962; 0.232247; 0.233464; 0.234361; 0.234854; 0.235239; 0.235443; 0.235599; 0.235652; 0.235799; 0.235886; 0.235785; 0.235314; 0.234861; 0.234577; 0.234215; 0.233962; 0.234295; 0.235153; 0.235973; 0.236779; 0.237653; 0.238378; 0.239046; 0.239406; 0.240311; 0.241155; 0.242256; 0.243130; 0.243686; 0.244250; 0.244554; 0.243934; 0.242394; 0.240986; 0.239848; 0.238363; 0.237702; 0.236456; 0.235296; 0.234097; 0.232493; 0.231692; 0.228528; 0.225503; 0.224070; 0.223077; 0.222107; 0.221087; 0.220602; 0.219658; 0.219105; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1757.6; 09:13:45; (); (); (); (); (); (); (); 0.215875; 0.217139; 0.218390; 0.219600; 0.220967; 0.221919; 0.222890; 0.224494; 0.228185; 0.230419; 0.230450; 0.231119; 0.231419; 0.232152; 0.231937; 0.232296; 0.232479; 0.231909; 0.231063; 0.230356; 0.229450; 0.228933; 0.228262; 0.228363; 0.228627; 0.229804; 0.230342; 0.230653; 0.230865; 0.231590; 0.232207; 0.232989; 0.233779; 0.234792; 0.235971; 0.237427; 0.238634; 0.240104; 0.240996; 0.241200; 0.241050; 0.240867; 0.240460; 0.239858; 0.239101; 0.238335; 0.237898; 0.237546; 0.237014; 0.236351; 0.235517; 0.234817; 0.233997; 0.232954; 0.232128; 0.231676; 0.231487; 0.231448; 0.231728; 0.232272; 0.233013; 0.233371; 0.233742; 0.234153; 0.234797; 0.235467; 0.235865; 0.236375; 0.236981; 0.237479; 0.237658; 0.237610; 0.237330; 0.237043; 0.236504; 0.235910; 0.235633; 0.235733; 0.235709; 0.235668; 0.235700; 0.236034; 0.236199; 0.236390; 0.236993; 0.238446; 0.239685; 0.240879; 0.242377; 0.243964; 0.245154; 0.246007; 0.246531; 0.247241; 0.247938; 0.248453; 0.248544; 0.248159; 0.247394; 0.246116; 0.244344; 0.242738; 0.241236; 0.239779; 0.238254; 0.236766; 0.235386; 0.233956; 0.231905; 0.228531; 0.226095; 0.224850; 0.223663; 0.223182; 0.222738; 0.221973; 0.221099; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
