Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-01-05; 09:12:08
File Name; D:\Mahlo\TR\180105091208FP 4576_257 GSM0_THICKNESS2.txt

1722.7; 09:12:19; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.548181; 0.550042; 0.550920; 0.550736; 0.549522; 0.548217; 0.547560; 0.547422; 0.545693; 0.545095; 0.546366; 0.548360; 0.550050; 0.554378; 0.559095; 0.562354; 0.563662; 0.565334; 0.567327; 0.569990; 0.574466; 0.578928; 0.581277; 0.584564; 0.587187; 0.588925; 0.589641; 0.589334; 0.590458; 0.591227; 0.591635; 0.591674; 0.592649; 0.593706; 0.593245; 0.592216; 0.591542; 0.589900; 0.588416; 0.587932; 0.587907; 0.589765; 0.592244; 0.591955; 0.591260; 0.591821; 0.594319; 0.594678; 0.596088; 0.598604; 0.599995; 0.601285; 0.605244; 0.606913; 0.609019; 0.609718; 0.608982; 0.608165; 0.608743; 0.609842; 0.609407; 0.608484; 0.608156; 0.607882; 0.607784; 0.609126; 0.610266; 0.609980; 0.610832; 0.611139; 0.611135; 0.611652; 0.611959; 0.612280; 0.613905; 0.616459; 0.618419; 0.620207; 0.621941; 0.621451; 0.617842; 0.615460; 0.615556; 0.618067; 0.620902; 0.621405; 0.621867; 0.623005; 0.623674; 0.622735; 0.620297; 0.618819; 0.617893; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1727.0; 09:12:28; (); (); (); (); (); (); (); 0.548748; 0.555751; 0.559823; 0.562276; 0.563111; 0.564380; 0.566035; 0.569034; 0.570267; 0.571153; 0.574059; 0.576739; 0.577837; 0.579991; 0.582428; 0.581851; 0.580805; 0.579929; 0.579270; 0.579680; 0.578249; 0.575830; 0.574747; 0.575981; 0.577109; 0.576257; 0.575152; 0.574226; 0.572840; 0.572427; 0.571829; 0.572185; 0.572732; 0.572304; 0.572084; 0.573571; 0.577015; 0.579562; 0.579829; 0.580672; 0.582920; 0.583997; 0.586246; 0.588388; 0.587942; 0.589738; 0.589822; 0.590222; 0.591617; 0.592671; 0.593749; 0.594014; 0.595623; 0.596273; 0.594458; 0.594776; 0.596768; 0.597686; 0.599524; 0.603806; 0.606615; 0.608880; 0.610005; 0.611032; 0.612530; 0.612101; 0.612409; 0.613900; 0.617980; 0.624470; 0.625783; 0.623789; 0.625047; 0.625913; 0.624980; 0.623400; 0.623770; 0.625285; 0.625571; 0.625988; 0.629789; 0.630543; 0.629512; 0.627440; 0.625146; 0.625152; 0.627736; 0.627405; 0.626371; 0.626444; 0.627104; 0.627267; 0.627577; 0.629130; 0.628842; 0.626520; 0.625194; 0.625426; 0.625929; 0.626792; 0.627589; 0.627461; 0.627016; 0.625989; 0.625190; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1730.4; 09:12:36; (); (); (); (); (); (); (); 0.580179; 0.581374; 0.583337; 0.583933; 0.585077; 0.585635; 0.585388; 0.585718; 0.586791; 0.588341; 0.590009; 0.591236; 0.592165; 0.591288; 0.590948; 0.591436; 0.591422; 0.591265; 0.591403; 0.591563; 0.592292; 0.593326; 0.594674; 0.597513; 0.598632; 0.598711; 0.599030; 0.600735; 0.601441; 0.601932; 0.602479; 0.603010; 0.602988; 0.602812; 0.600726; 0.599398; 0.597382; 0.593910; 0.591073; 0.590702; 0.591687; 0.591686; 0.591670; 0.591390; 0.591797; 0.591723; 0.591568; 0.591883; 0.592422; 0.593507; 0.595642; 0.600586; 0.605247; 0.607884; 0.610588; 0.611968; 0.611040; 0.610202; 0.612902; 0.615970; 0.617639; 0.620005; 0.622364; 0.624982; 0.628562; 0.629776; 0.630335; 0.631323; 0.632775; 0.633542; 0.636545; 0.639598; 0.640738; 0.639268; 0.638039; 0.637499; 0.637190; 0.636826; 0.637407; 0.639271; 0.641010; 0.639981; 0.637628; 0.637240; 0.638457; 0.638606; 0.638079; 0.639373; 0.640629; 0.640446; 0.639445; 0.637325; 0.636393; 0.634803; 0.632472; 0.631242; 0.631713; 0.635220; 0.637069; 0.635520; 0.632457; 0.631696; 0.630137; 0.629350; 0.630084; 0.632083; 0.634386; 0.635682; 0.636023; 0.635412; 0.634195; 0.633617; 0.630669; 0.627898; 0.626693; 0.628237; 0.630209; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1733.8; 09:12:45; (); (); (); (); (); (); (); 0.558226; 0.561445; 0.568718; 0.574394; 0.576394; 0.577275; 0.578304; 0.579781; 0.580564; 0.581467; 0.582193; 0.582704; 0.584611; 0.586179; 0.590303; 0.593680; 0.594170; 0.592145; 0.588841; 0.590018; 0.591320; 0.591594; 0.591043; 0.590215; 0.590784; 0.591801; 0.592258; 0.591882; 0.591822; 0.592416; 0.592861; 0.594067; 0.596319; 0.596474; 0.593290; 0.591297; 0.592608; 0.595373; 0.598066; 0.602262; 0.606735; 0.610344; 0.612163; 0.613366; 0.611782; 0.610004; 0.609499; 0.610603; 0.613705; 0.618961; 0.620244; 0.621368; 0.622647; 0.622051; 0.618975; 0.616810; 0.616172; 0.617132; 0.619627; 0.622901; 0.625881; 0.625786; 0.626282; 0.627291; 0.626711; 0.628350; 0.628334; 0.629777; 0.632958; 0.636051; 0.636858; 0.637360; 0.636451; 0.634466; 0.633209; 0.631239; 0.630812; 0.629518; 0.628356; 0.628371; 0.628274; 0.627492; 0.626370; 0.625515; 0.624898; 0.624574; 0.625653; 0.627291; 0.628318; 0.627543; 0.627353; 0.626653; 0.626625; 0.625602; 0.622957; 0.620501; 0.620242; 0.620553; 0.620119; 0.620181; 0.620869; 0.619968; 0.618874; 0.618225; 0.618699; 0.619693; 0.622476; 0.626580; 0.630108; 0.633866; 0.636259; 0.636736; 0.636709; 0.636926; 0.636878; 0.636153; 0.637204; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1737.2; 09:12:54; (); (); (); (); (); (); (); (); 0.586410; 0.585206; 0.585575; 0.586843; 0.588671; 0.589547; 0.588545; 0.589204; 0.589673; 0.587760; 0.586850; 0.587188; 0.587479; 0.587273; 0.586084; 0.583579; 0.582856; 0.580937; 0.580009; 0.576843; 0.576034; 0.576406; 0.576544; 0.577979; 0.582465; 0.587083; 0.588954; 0.588813; 0.591082; 0.594732; 0.597255; 0.599703; 0.605069; 0.609609; 0.613662; 0.616608; 0.620037; 0.623656; 0.624219; 0.622767; 0.622007; 0.622641; 0.624718; 0.626287; 0.626306; 0.628712; 0.628453; 0.625816; 0.623789; 0.624185; 0.624904; 0.624690; 0.622079; 0.620899; 0.620801; 0.621943; 0.622399; 0.620587; 0.619149; 0.620092; 0.619437; 0.620727; 0.622899; 0.624054; 0.624975; 0.625825; 0.627995; 0.631345; 0.634518; 0.636760; 0.638034; 0.640725; 0.642998; 0.642966; 0.641865; 0.642468; 0.643427; 0.645562; 0.647701; 0.647169; 0.646811; 0.646088; 0.646756; 0.648517; 0.649698; 0.649521; 0.650744; 0.652379; 0.653984; 0.655529; 0.657057; 0.656055; 0.654944; 0.654851; 0.655999; 0.656590; 0.656672; 0.654493; 0.652338; 0.650664; 0.648807; 0.647263; 0.647485; 0.648487; 0.648436; 0.647120; 0.647718; 0.646830; 0.644715; 0.643187; 0.642801; 0.642248; 0.642342; 0.642790; 0.644078; 0.644261; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1740.6; 09:13:02; (); (); (); (); (); (); (); (); 0.582660; 0.585132; 0.587390; 0.589613; 0.591114; 0.593235; 0.595121; 0.595135; 0.595793; 0.595843; 0.595623; 0.595518; 0.596681; 0.597125; 0.596524; 0.594277; 0.590562; 0.586985; 0.585141; 0.582776; 0.580006; 0.577618; 0.579063; 0.579881; 0.580153; 0.581627; 0.582843; 0.582719; 0.583914; 0.586017; 0.589820; 0.594662; 0.599461; 0.601790; 0.603242; 0.603898; 0.603685; 0.602539; 0.603109; 0.604901; 0.606749; 0.608354; 0.609781; 0.610721; 0.610095; 0.608621; 0.607210; 0.606605; 0.608194; 0.610522; 0.614246; 0.617771; 0.619482; 0.619239; 0.618884; 0.618224; 0.616599; 0.615875; 0.618138; 0.621745; 0.626797; 0.632456; 0.635324; 0.636530; 0.636622; 0.634217; 0.634132; 0.635237; 0.637405; 0.641255; 0.644216; 0.648285; 0.648661; 0.648279; 0.648271; 0.645677; 0.642006; 0.639511; 0.639596; 0.642343; 0.645656; 0.646993; 0.647275; 0.646479; 0.645314; 0.643490; 0.641605; 0.641473; 0.641414; 0.642049; 0.645369; 0.648234; 0.650543; 0.652106; 0.652339; 0.650680; 0.649415; 0.652297; 0.653932; 0.654626; 0.656843; 0.656752; 0.656561; 0.655151; 0.653795; 0.652726; 0.652799; 0.650684; 0.649177; 0.648140; 0.648850; 0.649845; 0.647601; 0.645718; 0.644916; 0.642934; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1743.9; 09:13:11; (); (); (); (); (); (); (); (); 0.569358; 0.570524; 0.574314; 0.575426; 0.574185; 0.575192; 0.577314; 0.577312; 0.580647; 0.584008; 0.586721; 0.588560; 0.588040; 0.585384; 0.582552; 0.582142; 0.582487; 0.580852; 0.579578; 0.580675; 0.579668; 0.577944; 0.581189; 0.582247; 0.584242; 0.585078; 0.583826; 0.584234; 0.587076; 0.589215; 0.591478; 0.594330; 0.598561; 0.601946; 0.603621; 0.605018; 0.605636; 0.604962; 0.603406; 0.601287; 0.601337; 0.603301; 0.604619; 0.602832; 0.600100; 0.594961; 0.590269; 0.585668; 0.585032; 0.584595; 0.584168; 0.583423; 0.583169; 0.585256; 0.586595; 0.587098; 0.586606; 0.587701; 0.590655; 0.592332; 0.598536; 0.602809; 0.604552; 0.605537; 0.607029; 0.608853; 0.609636; 0.609405; 0.608328; 0.607953; 0.607619; 0.607134; 0.605710; 0.604759; 0.604457; 0.600432; 0.598580; 0.598139; 0.597961; 0.598192; 0.597300; 0.598625; 0.599499; 0.599510; 0.598797; 0.599200; 0.600588; 0.600879; 0.600895; 0.601644; 0.602343; 0.603969; 0.604575; 0.604178; 0.603721; 0.604204; 0.602826; 0.602318; 0.602231; 0.603154; 0.604494; 0.604556; 0.605908; 0.606038; 0.605896; 0.606698; 0.606724; 0.607036; 0.607916; 0.608925; 0.609083; 0.609420; 0.610456; 0.612099; 0.612597; 0.612444; 0.612485; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1747.3; 09:13:19; (); (); (); (); (); (); (); 0.534976; 0.537969; 0.540838; 0.541971; 0.544126; 0.545776; 0.545634; 0.548235; 0.550162; 0.551320; 0.551635; 0.551337; 0.552862; 0.551982; 0.552005; 0.552382; 0.551625; 0.550503; 0.552225; 0.553027; 0.554361; 0.557932; 0.558860; 0.561171; 0.563296; 0.564472; 0.566067; 0.568528; 0.572416; 0.573909; 0.575914; 0.579473; 0.581548; 0.580748; 0.581234; 0.581150; 0.580515; 0.582833; 0.584185; 0.586174; 0.588628; 0.590319; 0.590084; 0.589690; 0.590999; 0.591625; 0.591327; 0.591216; 0.591480; 0.592231; 0.593116; 0.591681; 0.588753; 0.586078; 0.584643; 0.584365; 0.584059; 0.584219; 0.585218; 0.584126; 0.583703; 0.583939; 0.583824; 0.583036; 0.582653; 0.583247; 0.585989; 0.590196; 0.592274; 0.592631; 0.592740; 0.594612; 0.596641; 0.597668; 0.599307; 0.599370; 0.598550; 0.599100; 0.601937; 0.602170; 0.603681; 0.604238; 0.603231; 0.603834; 0.606032; 0.608312; 0.609718; 0.610344; 0.611121; 0.613099; 0.616443; 0.620749; 0.622451; 0.623363; 0.626202; 0.626119; 0.627151; 0.628947; 0.628106; 0.625695; 0.624379; 0.624523; 0.624922; 0.624034; 0.623646; 0.623751; 0.622289; 0.623631; 0.623130; 0.621341; 0.621232; 0.620720; 0.619543; 0.620221; 0.622389; 0.623022; 0.622952; 0.623311; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1750.8; 09:13:28; (); (); (); (); (); (); (); 0.537522; 0.539111; 0.538882; 0.537237; 0.536733; 0.536419; 0.536785; 0.537633; 0.538657; 0.538018; 0.538269; 0.540347; 0.542262; 0.542520; 0.542599; 0.544164; 0.544769; 0.545134; 0.545638; 0.546522; 0.549300; 0.551769; 0.552967; 0.554633; 0.557287; 0.559954; 0.561917; 0.564208; 0.565853; 0.566310; 0.565563; 0.565474; 0.567671; 0.570880; 0.573013; 0.571324; 0.571234; 0.572748; 0.575176; 0.576509; 0.576870; 0.577416; 0.579504; 0.582513; 0.585946; 0.588682; 0.589823; 0.589885; 0.589510; 0.590766; 0.593373; 0.592613; 0.592716; 0.591714; 0.591033; 0.591232; 0.591178; 0.589467; 0.589300; 0.589239; 0.590214; 0.594010; 0.597910; 0.599700; 0.600841; 0.603817; 0.607024; 0.607870; 0.607884; 0.607694; 0.608943; 0.610709; 0.611369; 0.610288; 0.609970; 0.609815; 0.608887; 0.607862; 0.608864; 0.609708; 0.609314; 0.609062; 0.609738; 0.609814; 0.609524; 0.608442; 0.609018; 0.611513; 0.614196; 0.615687; 0.614957; 0.614242; 0.614973; 0.614614; 0.612541; 0.611077; 0.611472; 0.611499; 0.611234; 0.610419; 0.610375; 0.609004; 0.605898; 0.603087; 0.601071; 0.600657; 0.599762; 0.596729; 0.594469; 0.591809; 0.588654; 0.586505; 0.584465; 0.584639; 0.584576; 0.582750; 0.581070; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1754.2; 09:13:37; (); (); (); (); (); (); (); 0.520319; 0.520989; 0.521669; 0.521890; 0.522606; 0.524620; 0.527580; 0.530464; 0.532968; 0.534640; 0.537054; 0.539544; 0.542166; 0.542234; 0.542541; 0.543504; 0.545685; 0.548539; 0.550858; 0.552590; 0.553720; 0.553377; 0.553851; 0.556637; 0.557610; 0.558118; 0.560499; 0.565659; 0.568313; 0.567595; 0.568616; 0.570243; 0.571268; 0.572232; 0.573036; 0.573458; 0.574627; 0.574534; 0.573374; 0.574678; 0.576372; 0.577156; 0.576516; 0.575373; 0.576484; 0.578363; 0.579412; 0.580302; 0.582114; 0.584622; 0.585130; 0.585238; 0.586110; 0.588158; 0.591326; 0.591808; 0.590591; 0.590367; 0.593640; 0.598629; 0.600680; 0.601763; 0.602032; 0.601020; 0.600024; 0.602003; 0.604805; 0.605814; 0.605818; 0.606012; 0.606128; 0.608330; 0.609623; 0.609356; 0.607405; 0.605642; 0.603890; 0.602924; 0.603163; 0.603512; 0.604822; 0.606513; 0.607004; 0.605330; 0.602915; 0.603788; 0.603080; 0.602528; 0.603127; 0.603503; 0.604105; 0.606027; 0.606975; 0.606940; 0.605865; 0.605047; 0.603171; 0.604191; 0.605918; 0.607083; 0.607591; 0.608971; 0.609171; 0.608828; 0.610303; 0.613060; 0.613838; 0.613620; 0.615262; 0.616070; 0.616185; 0.616328; 0.616068; 0.618192; 0.619063; 0.619332; 0.619340; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
1757.6; 09:13:45; (); (); (); (); (); (); (); 0.528148; 0.531521; 0.532476; 0.532585; 0.533473; 0.534635; 0.535077; 0.535621; 0.538215; 0.540240; 0.542610; 0.545549; 0.549131; 0.551031; 0.550984; 0.550977; 0.551674; 0.553749; 0.555975; 0.557070; 0.559236; 0.562470; 0.564956; 0.567398; 0.569377; 0.571314; 0.572221; 0.573444; 0.576084; 0.577700; 0.580307; 0.580998; 0.580762; 0.581347; 0.583253; 0.583659; 0.584175; 0.583780; 0.582184; 0.582250; 0.583149; 0.584540; 0.585454; 0.587578; 0.590926; 0.591081; 0.591489; 0.595635; 0.599079; 0.599202; 0.599329; 0.600356; 0.602440; 0.605456; 0.607557; 0.607669; 0.608401; 0.608495; 0.607062; 0.606483; 0.608465; 0.610998; 0.612261; 0.614428; 0.617984; 0.622031; 0.622717; 0.623757; 0.624983; 0.625652; 0.626880; 0.628809; 0.629304; 0.629791; 0.629716; 0.629898; 0.630126; 0.629772; 0.628283; 0.627180; 0.627174; 0.628896; 0.629890; 0.629822; 0.629974; 0.631140; 0.631816; 0.634442; 0.635580; 0.636331; 0.637500; 0.637469; 0.634451; 0.633418; 0.633060; 0.631884; 0.631419; 0.632676; 0.633440; 0.632861; 0.630849; 0.630140; 0.629645; 0.629514; 0.627510; 0.627204; 0.628798; 0.629619; 0.627960; 0.625796; 0.625068; 0.623837; 0.620996; 0.620036; 0.621509; 0.620785; 0.617935; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
