Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-01-09; 13:14:15
File Name; D:\Mahlo\TR\180109131415FP 4576_257 GSM0_XMF2.txt

-85.0; 13:14:16; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5759.6; 13:14:27; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 3.639832; 3.643669; 3.663246; 3.678632; 3.692393; 3.702386; 3.710860; 3.719205; 3.728820; 3.740492; 3.753558; 3.764392; 3.774797; 3.786353; 3.797580; 3.806845; 3.812763; 3.808671; 3.805187; 3.802111; 3.798090; 3.793522; 3.789273; 3.784539; 3.779522; 3.774533; 3.769524; 3.765299; 3.760400; 3.754972; 3.751430; 3.748231; 3.744842; 3.741125; 3.737077; 3.734174; 3.731736; 3.728395; 3.725271; 3.722913; 3.719880; 3.716113; 3.712777; 3.709654; 3.706491; 3.702725; 3.698081; 3.693675; 3.689749; 3.684809; 3.679183; 3.673537; 3.667773; 3.662053; 3.655393; 3.648634; 3.642480; 3.635959; 3.627777; 3.620501; 3.613359; 3.605247; 3.597478; 3.588075; 3.578545; 3.570353; 3.561907; 3.555449; 3.549593; 3.543737; 3.539079; 3.534940; 3.531135; 3.528424; 3.526681; 3.525091; 3.523489; 3.523089; 3.523657; 3.525048; 3.526830; 3.528576; 3.529814; 3.530496; 3.530774; 3.530993; 3.531016; 3.531282; 3.531516; 3.531615; 3.532065; 3.532673; 3.533000; 3.532812; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5777.8; 13:15:11; (); (); (); (); (); (); 3.934971; 3.933921; 3.939728; 3.943829; 3.946163; 3.947812; 3.949039; 3.949770; 3.942335; 3.939366; 3.943196; 3.946304; 3.947849; 3.948253; 3.947363; 3.945134; 3.939372; 3.930200; 3.921522; 3.912887; 3.904482; 3.896654; 3.888460; 3.878279; 3.868486; 3.858613; 3.848140; 3.839957; 3.832570; 3.825014; 3.818835; 3.811976; 3.804797; 3.797215; 3.787145; 3.777848; 3.768739; 3.758327; 3.748099; 3.739259; 3.730011; 3.718988; 3.709413; 3.700197; 3.691234; 3.681684; 3.672610; 3.666077; 3.659265; 3.652203; 3.645629; 3.639316; 3.634190; 3.629617; 3.625048; 3.621005; 3.617689; 3.614206; 3.610016; 3.606096; 3.601684; 3.596554; 3.591907; 3.588054; 3.584359; 3.579807; 3.574845; 3.570402; 3.566138; 3.561189; 3.556826; 3.552373; 3.547292; 3.542237; 3.538229; 3.534797; 3.531307; 3.527181; 3.523211; 3.519317; 3.516204; 3.513693; 3.510931; 3.507846; 3.505134; 3.503248; 3.501704; 3.500885; 3.501116; 3.501914; 3.503296; 3.504886; 3.507505; 3.511597; 3.515985; 3.520708; 3.526498; 3.532038; 3.537988; 3.544607; 3.551054; 3.556873; 3.562105; 3.566968; 3.571015; 3.573901; 3.576387; 3.578725; 3.580097; 3.580345; 3.579544; 3.578507; 3.578025; 3.577521; 3.577020; 3.576086; 3.574546; 3.572831; 3.571682; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5781.1; 13:15:20; (); (); (); (); (); (); 3.902434; 3.884158; 3.867267; 3.856710; 3.847540; 3.838753; 3.829359; 3.809184; 3.790366; 3.771498; 3.760883; 3.752789; 3.744479; 3.737658; 3.732676; 3.729268; 3.726512; 3.724962; 3.724183; 3.723352; 3.722052; 3.720879; 3.719711; 3.718507; 3.717360; 3.715978; 3.714673; 3.713382; 3.711549; 3.708771; 3.705173; 3.701257; 3.696435; 3.690489; 3.684974; 3.679166; 3.673013; 3.666233; 3.657824; 3.649153; 3.641349; 3.633021; 3.622800; 3.612395; 3.603181; 3.593986; 3.583679; 3.573577; 3.564747; 3.555930; 3.546061; 3.537694; 3.529990; 3.521021; 3.513061; 3.505378; 3.497326; 3.490220; 3.484674; 3.479682; 3.474107; 3.469628; 3.465816; 3.462265; 3.459917; 3.458249; 3.457119; 3.456842; 3.457490; 3.458659; 3.460244; 3.461777; 3.463063; 3.464391; 3.466588; 3.469235; 3.472158; 3.475636; 3.479169; 3.482035; 3.484720; 3.487630; 3.490926; 3.494853; 3.498758; 3.502239; 3.506621; 3.512038; 3.516913; 3.521433; 3.526406; 3.531262; 3.535228; 3.538977; 3.543381; 3.547191; 3.550892; 3.554524; 3.556886; 3.558837; 3.561072; 3.562874; 3.563988; 3.564726; 3.565286; 3.565517; 3.565554; 3.565602; 3.565596; 3.565467; 3.567843; 3.572144; 3.572553; 3.573244; 3.573956; 3.574382; 3.574747; 3.575806; 3.576871; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5784.5; 13:15:28; (); (); (); (); (); (); 3.953555; 3.941794; 3.930218; 3.921146; 3.914702; 3.910024; 3.905016; 3.897245; 3.874728; 3.862219; 3.856862; 3.850517; 3.844720; 3.838719; 3.831749; 3.824842; 3.821751; 3.818266; 3.813351; 3.808318; 3.802601; 3.795967; 3.789971; 3.783483; 3.775474; 3.768516; 3.759919; 3.750509; 3.741823; 3.731438; 3.720837; 3.713368; 3.706760; 3.698790; 3.691677; 3.686247; 3.680760; 3.676014; 3.672878; 3.670143; 3.668324; 3.667878; 3.668944; 3.671004; 3.673521; 3.676612; 3.679611; 3.682278; 3.685178; 3.687855; 3.689946; 3.691234; 3.692300; 3.693152; 3.693982; 3.694539; 3.694649; 3.694507; 3.694048; 3.693327; 3.692668; 3.692004; 3.691411; 3.690360; 3.689161; 3.688189; 3.687043; 3.685267; 3.683429; 3.681328; 3.678605; 3.674768; 3.670766; 3.666321; 3.660481; 3.653720; 3.646361; 3.639266; 3.632092; 3.624974; 3.617397; 3.608613; 3.600314; 3.592489; 3.585123; 3.579876; 3.574459; 3.568811; 3.564566; 3.561496; 3.559791; 3.558953; 3.559629; 3.560930; 3.562512; 3.565080; 3.568656; 3.572398; 3.576284; 3.579915; 3.583143; 3.586035; 3.588899; 3.591626; 3.593054; 3.593838; 3.594001; 3.593092; 3.591957; 3.590092; 3.586907; 3.585794; 3.584759; 3.583146; 3.581689; 3.580356; 3.578380; 3.575477; 3.576871; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5788.0; 13:15:37; (); (); (); (); (); (); 3.856268; 3.847959; 3.840856; 3.834516; 3.828525; 3.822939; 3.816475; 3.798640; 3.787850; 3.782620; 3.776709; 3.769991; 3.762864; 3.754321; 3.745986; 3.740101; 3.733477; 3.726092; 3.720080; 3.713498; 3.707010; 3.700965; 3.693561; 3.685781; 3.680009; 3.673630; 3.666398; 3.659829; 3.652445; 3.644000; 3.637452; 3.632087; 3.625990; 3.620154; 3.614300; 3.607764; 3.602299; 3.597943; 3.594807; 3.592224; 3.589676; 3.588212; 3.587951; 3.588288; 3.589141; 3.590794; 3.592791; 3.595234; 3.597876; 3.601127; 3.603964; 3.606398; 3.608676; 3.612661; 3.613641; 3.614143; 3.613824; 3.612291; 3.609667; 3.606552; 3.602631; 3.597337; 3.591953; 3.586140; 3.578990; 3.571830; 3.564854; 3.558641; 3.550839; 3.544786; 3.538626; 3.533014; 3.529055; 3.526349; 3.524454; 3.523109; 3.522692; 3.523159; 3.523948; 3.524786; 3.525476; 3.526510; 3.528070; 3.530717; 3.533817; 3.536381; 3.539136; 3.541892; 3.544803; 3.547322; 3.549089; 3.550735; 3.552629; 3.554760; 3.557027; 3.558937; 3.560048; 3.560971; 3.561908; 3.562140; 3.561917; 3.561345; 3.559728; 3.556564; 3.553539; 3.550637; 3.547698; 3.544212; 3.540651; 3.537628; 3.536780; 3.537830; 3.536229; 3.534448; 3.532374; 3.530386; 3.528647; 3.527890; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5791.5; 13:15:46; (); (); (); (); (); (); 3.825784; 3.826471; 3.834223; 3.840417; 3.846209; 3.851058; 3.854730; 3.856763; 3.847527; 3.848441; 3.854766; 3.861072; 3.864738; 3.867913; 3.871052; 3.873064; 3.869014; 3.861133; 3.851769; 3.843478; 3.834896; 3.824728; 3.814784; 3.806423; 3.798539; 3.791338; 3.784025; 3.777778; 3.773628; 3.770302; 3.767981; 3.766616; 3.765777; 3.764918; 3.763461; 3.761471; 3.758968; 3.756029; 3.752754; 3.748773; 3.744274; 3.739825; 3.734573; 3.727541; 3.720771; 3.713581; 3.704940; 3.697274; 3.689634; 3.681032; 3.673816; 3.666966; 3.659748; 3.653457; 3.646165; 3.639296; 3.634262; 3.630293; 3.627211; 3.624948; 3.623432; 3.621599; 3.619910; 3.618876; 3.618114; 3.617585; 3.617137; 3.616527; 3.616254; 3.615931; 3.614810; 3.612489; 3.609238; 3.604762; 3.598646; 3.591519; 3.584746; 3.577404; 3.568489; 3.560576; 3.552433; 3.542943; 3.534682; 3.524955; 3.515294; 3.508396; 3.499754; 3.492104; 3.486627; 3.481765; 3.478943; 3.477321; 3.476668; 3.476822; 3.477519; 3.479097; 3.482018; 3.485435; 3.489904; 3.496369; 3.502906; 3.510084; 3.518602; 3.526228; 3.534744; 3.542637; 3.548955; 3.555240; 3.561541; 3.568221; 3.573871; 3.581547; 3.585426; 3.588547; 3.591529; 3.593803; 3.596328; 3.598655; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5794.9; 13:15:54; (); (); (); (); (); (); 3.901418; 3.891157; 3.882811; 3.875675; 3.867929; 3.860914; 3.855236; 3.837259; 3.822643; 3.813982; 3.806279; 3.798542; 3.790929; 3.782650; 3.774498; 3.768879; 3.762881; 3.756601; 3.750849; 3.745233; 3.740092; 3.734736; 3.728633; 3.722854; 3.717013; 3.710559; 3.703986; 3.698032; 3.691977; 3.685522; 3.679248; 3.674301; 3.669918; 3.665777; 3.661839; 3.658049; 3.654284; 3.650317; 3.647323; 3.643999; 3.639968; 3.636399; 3.632659; 3.628163; 3.623362; 3.619008; 3.614100; 3.608676; 3.602995; 3.596462; 3.590655; 3.584497; 3.577409; 3.571383; 3.565584; 3.558981; 3.552379; 3.546072; 3.540871; 3.535648; 3.529644; 3.524676; 3.519890; 3.514722; 3.509971; 3.506404; 3.503688; 3.501190; 3.499147; 3.497722; 3.496716; 3.495947; 3.495551; 3.495644; 3.496910; 3.499287; 3.501878; 3.505049; 3.509297; 3.513909; 3.517903; 3.521601; 3.525698; 3.529227; 3.532721; 3.536325; 3.539857; 3.543640; 3.546660; 3.548899; 3.550654; 3.551860; 3.552527; 3.552700; 3.552840; 3.552959; 3.553059; 3.553147; 3.553405; 3.553830; 3.554271; 3.555029; 3.555658; 3.554964; 3.554436; 3.554071; 3.553742; 3.553528; 3.553253; 3.552727; 3.552602; 3.552836; 3.552631; 3.552196; 3.551341; 3.550004; 3.548085; 3.546584; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5798.4; 13:16:03; (); (); (); (); (); (); 3.851445; 3.846456; 3.841741; 3.837503; 3.834677; 3.832563; 3.830338; 3.828361; 3.818220; 3.806479; 3.805130; 3.804640; 3.804202; 3.803383; 3.801847; 3.799592; 3.797206; 3.794687; 3.791833; 3.788347; 3.783442; 3.778264; 3.773981; 3.769058; 3.763015; 3.755955; 3.746802; 3.736630; 3.727288; 3.716661; 3.705953; 3.696373; 3.686782; 3.677266; 3.666560; 3.656562; 3.647963; 3.639275; 3.629903; 3.621991; 3.614066; 3.605579; 3.598853; 3.592908; 3.587246; 3.582802; 3.579181; 3.576347; 3.573632; 3.570534; 3.567271; 3.563660; 3.560738; 3.558001; 3.556103; 3.555163; 3.554171; 3.553221; 3.551907; 3.549781; 3.546602; 3.543267; 3.540293; 3.537464; 3.534622; 3.530791; 3.527195; 3.522854; 3.517621; 3.511750; 3.505361; 3.498435; 3.490534; 3.483171; 3.476394; 3.469586; 3.463436; 3.458009; 3.450692; 3.443451; 3.437651; 3.432029; 3.427567; 3.424013; 3.421786; 3.420595; 3.419836; 3.419299; 3.419004; 3.419128; 3.420039; 3.422032; 3.423970; 3.426271; 3.429921; 3.434120; 3.438348; 3.442669; 3.446681; 3.451019; 3.454643; 3.457628; 3.461475; 3.465251; 3.468251; 3.470837; 3.473219; 3.474886; 3.475650; 3.475500; 3.474690; 3.474510; 3.474840; 3.474693; 3.474333; 3.473695; 3.472767; 3.471026; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5801.8; 13:16:12; (); (); (); (); (); (); 3.763159; 3.747921; 3.736689; 3.727516; 3.718033; 3.709720; 3.700450; 3.678652; 3.662891; 3.651207; 3.641833; 3.634676; 3.627435; 3.620123; 3.614340; 3.610245; 3.607606; 3.605923; 3.604620; 3.603541; 3.602495; 3.602044; 3.601414; 3.600973; 3.600717; 3.600518; 3.599866; 3.598721; 3.597179; 3.594592; 3.591393; 3.588357; 3.585640; 3.582143; 3.577980; 3.573833; 3.569961; 3.566268; 3.562215; 3.558618; 3.555062; 3.551659; 3.548941; 3.547278; 3.546128; 3.545412; 3.545449; 3.546083; 3.547433; 3.549344; 3.550966; 3.552612; 3.554187; 3.555370; 3.556649; 3.557725; 3.557799; 3.557016; 3.555406; 3.553443; 3.551134; 3.547030; 3.542171; 3.537450; 3.531423; 3.525481; 3.520248; 3.514913; 3.509680; 3.503572; 3.497466; 3.492454; 3.487903; 3.483032; 3.478845; 3.476116; 3.474348; 3.472267; 3.470146; 3.468553; 3.466699; 3.464283; 3.461860; 3.460208; 3.458878; 3.457505; 3.456693; 3.456117; 3.455767; 3.455259; 3.453984; 3.452753; 3.451636; 3.450550; 3.450157; 3.450260; 3.451204; 3.452520; 3.454030; 3.455484; 3.456767; 3.458197; 3.458344; 3.454940; 3.451815; 3.448826; 3.445537; 3.442745; 3.439691; 3.436480; 3.433807; 3.432219; 3.429483; 3.426892; 3.423329; 3.418415; 3.413077; 3.408462; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5805.2; 13:16:21; (); (); (); (); (); (); 3.817142; 3.815574; 3.815656; 3.815245; 3.813999; 3.812654; 3.811533; 3.808294; 3.796269; 3.791339; 3.791263; 3.790802; 3.789754; 3.788023; 3.785686; 3.782871; 3.777163; 3.769173; 3.761427; 3.754027; 3.747272; 3.740057; 3.732872; 3.725844; 3.718717; 3.711530; 3.702781; 3.695240; 3.689056; 3.683017; 3.678858; 3.675857; 3.672617; 3.668465; 3.664483; 3.661523; 3.658423; 3.655146; 3.651801; 3.648643; 3.645516; 3.641341; 3.636803; 3.632370; 3.627195; 3.620511; 3.613529; 3.607197; 3.600561; 3.593621; 3.586583; 3.578757; 3.570729; 3.562041; 3.553253; 3.545682; 3.538753; 3.532267; 3.526340; 3.520837; 3.515600; 3.509520; 3.503057; 3.497730; 3.493452; 3.489438; 3.485890; 3.483149; 3.481177; 3.479296; 3.477624; 3.475484; 3.472973; 3.470510; 3.467729; 3.464910; 3.461999; 3.458376; 3.454317; 3.449766; 3.444512; 3.439178; 3.432983; 3.426339; 3.419891; 3.413869; 3.407660; 3.402102; 3.398956; 3.396988; 3.395868; 3.395563; 3.395914; 3.397150; 3.399670; 3.403620; 3.409114; 3.415073; 3.421720; 3.429484; 3.436168; 3.442483; 3.448749; 3.454449; 3.459838; 3.464269; 3.468115; 3.472851; 3.478374; 3.483650; 3.487896; 3.493011; 3.495691; 3.497120; 3.498865; 3.500874; 3.503510; 3.507754; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
