Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-01-09; 13:14:15
File Name; D:\Mahlo\TR\180109131415FP 4576_257 GSM0_THICKNESS2.txt

-85.0; 13:14:16; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5759.6; 13:14:27; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 0.590688; 0.588345; 0.587338; 0.587795; 0.589061; 0.589976; 0.590747; 0.589827; 0.590606; 0.591327; 0.591627; 0.593070; 0.594767; 0.596672; 0.596521; 0.595991; 0.597162; 0.597154; 0.596090; 0.595405; 0.596555; 0.599033; 0.601791; 0.604444; 0.605652; 0.604800; 0.601171; 0.598763; 0.598227; 0.601233; 0.605175; 0.609130; 0.612794; 0.616715; 0.617677; 0.616915; 0.616361; 0.615325; 0.612474; 0.613394; 0.616255; 0.620770; 0.623323; 0.625545; 0.625567; 0.623758; 0.621726; 0.621781; 0.623622; 0.628234; 0.631554; 0.634710; 0.639267; 0.641920; 0.645611; 0.648961; 0.651334; 0.652451; 0.652998; 0.655108; 0.657927; 0.659251; 0.657772; 0.656007; 0.654855; 0.655414; 0.654595; 0.654113; 0.655811; 0.655648; 0.655625; 0.655532; 0.656186; 0.656985; 0.657217; 0.659089; 0.663469; 0.666739; 0.667437; 0.667035; 0.668013; 0.668335; 0.667582; 0.666327; 0.666742; 0.667020; 0.667754; 0.668797; 0.669968; 0.670001; 0.667888; 0.665895; 0.665017; 0.666195; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5777.8; 13:15:11; (); (); (); (); (); (); 0.563436; 0.566980; 0.570644; 0.573632; 0.576687; 0.579153; 0.580226; 0.580589; 0.581599; 0.582807; 0.583299; 0.585231; 0.590742; 0.596877; 0.601444; 0.603436; 0.604099; 0.605227; 0.606638; 0.607378; 0.608538; 0.609475; 0.610926; 0.614280; 0.616858; 0.618784; 0.619344; 0.618729; 0.617182; 0.616074; 0.617143; 0.619613; 0.621398; 0.622157; 0.623790; 0.625204; 0.627220; 0.628861; 0.627366; 0.628550; 0.631988; 0.637248; 0.642087; 0.646284; 0.650094; 0.650884; 0.651624; 0.652629; 0.652709; 0.652625; 0.653508; 0.655544; 0.657887; 0.661237; 0.663694; 0.662348; 0.659599; 0.656995; 0.655253; 0.655124; 0.656587; 0.657958; 0.660605; 0.664096; 0.667501; 0.670747; 0.670486; 0.668802; 0.667274; 0.666739; 0.668160; 0.669382; 0.671338; 0.674273; 0.675131; 0.674554; 0.675601; 0.675171; 0.672510; 0.669633; 0.668479; 0.669205; 0.671614; 0.673527; 0.675063; 0.677092; 0.678224; 0.678217; 0.677876; 0.677869; 0.677715; 0.674924; 0.675101; 0.677449; 0.678264; 0.678024; 0.678163; 0.678813; 0.678784; 0.677440; 0.676337; 0.677201; 0.676026; 0.674944; 0.674717; 0.674890; 0.675925; 0.674029; 0.674679; 0.676627; 0.677579; 0.677759; 0.676972; 0.677944; 0.677850; 0.676882; 0.676726; 0.678874; 0.679030; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5781.1; 13:15:20; (); (); (); (); (); (); 0.597259; 0.596562; 0.597108; 0.599036; 0.600766; 0.601828; 0.601828; 0.601379; 0.602612; 0.603474; 0.603219; 0.603370; 0.603596; 0.603959; 0.603893; 0.604154; 0.605153; 0.605733; 0.604067; 0.604457; 0.603604; 0.602632; 0.603565; 0.603328; 0.604262; 0.606470; 0.608814; 0.611364; 0.613974; 0.615211; 0.618832; 0.620739; 0.621807; 0.624957; 0.623958; 0.626035; 0.628958; 0.631316; 0.636060; 0.638848; 0.640956; 0.642753; 0.642835; 0.640794; 0.640473; 0.639079; 0.638753; 0.638914; 0.638284; 0.639199; 0.639293; 0.640012; 0.639997; 0.639062; 0.638832; 0.639413; 0.639573; 0.642877; 0.648218; 0.650999; 0.656005; 0.660231; 0.664133; 0.669150; 0.674114; 0.678634; 0.682756; 0.686035; 0.688127; 0.690804; 0.693691; 0.697126; 0.699001; 0.700635; 0.701941; 0.698613; 0.697920; 0.696593; 0.694640; 0.692996; 0.691097; 0.688403; 0.688769; 0.690206; 0.691661; 0.692051; 0.691457; 0.690299; 0.689379; 0.689706; 0.691861; 0.693092; 0.694049; 0.696645; 0.699349; 0.700885; 0.703524; 0.702720; 0.701814; 0.701623; 0.701649; 0.701576; 0.700335; 0.699486; 0.699156; 0.699308; 0.700700; 0.702946; 0.701588; 0.700722; 0.701808; 0.701907; 0.702755; 0.702866; 0.701881; 0.701277; 0.702198; 0.704674; 0.705749; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5784.5; 13:15:28; (); (); (); (); (); (); 0.600928; 0.602087; 0.603131; 0.604157; 0.604456; 0.604598; 0.605106; 0.605752; 0.605867; 0.608585; 0.610040; 0.610208; 0.610770; 0.611868; 0.613704; 0.617464; 0.620367; 0.622380; 0.623504; 0.625652; 0.627506; 0.630038; 0.633356; 0.634175; 0.634002; 0.634738; 0.634909; 0.632869; 0.629180; 0.625246; 0.619814; 0.617443; 0.616530; 0.617737; 0.617231; 0.616944; 0.615227; 0.613179; 0.613867; 0.613828; 0.615956; 0.617641; 0.620336; 0.624629; 0.628892; 0.631564; 0.632032; 0.631177; 0.629293; 0.627562; 0.627202; 0.627318; 0.627286; 0.627652; 0.628864; 0.628920; 0.629589; 0.630087; 0.629901; 0.629039; 0.630105; 0.633023; 0.636909; 0.642061; 0.646732; 0.650695; 0.655317; 0.661302; 0.664820; 0.667437; 0.670081; 0.672516; 0.673825; 0.675949; 0.679036; 0.681443; 0.681089; 0.680873; 0.680877; 0.681098; 0.680492; 0.678125; 0.676046; 0.675222; 0.674637; 0.674774; 0.675860; 0.677247; 0.677168; 0.677673; 0.678423; 0.677891; 0.677050; 0.676709; 0.676477; 0.677796; 0.680473; 0.681615; 0.684980; 0.685889; 0.686039; 0.686577; 0.687397; 0.689129; 0.689512; 0.690016; 0.690745; 0.690354; 0.691288; 0.691773; 0.690716; 0.689790; 0.689644; 0.687220; 0.687628; 0.687489; 0.686533; 0.684201; 0.705749; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5788.0; 13:15:37; (); (); (); (); (); (); 0.598017; 0.597227; 0.600618; 0.602033; 0.601689; 0.600901; 0.600195; 0.601272; 0.602178; 0.605867; 0.609530; 0.612054; 0.612867; 0.612096; 0.614395; 0.615991; 0.615940; 0.614354; 0.615486; 0.617870; 0.620513; 0.623289; 0.625595; 0.625125; 0.624767; 0.623644; 0.622899; 0.624421; 0.627360; 0.627490; 0.628752; 0.630672; 0.632817; 0.632768; 0.631394; 0.630848; 0.631796; 0.632733; 0.638398; 0.640788; 0.643627; 0.645778; 0.646504; 0.646241; 0.646747; 0.647234; 0.647528; 0.648060; 0.650686; 0.652585; 0.651584; 0.650881; 0.648231; 0.643545; 0.643853; 0.643264; 0.643062; 0.644370; 0.648088; 0.653317; 0.655559; 0.656177; 0.656465; 0.656980; 0.660233; 0.662167; 0.666395; 0.671026; 0.674187; 0.674061; 0.674581; 0.675445; 0.675756; 0.674276; 0.671528; 0.672501; 0.674702; 0.676092; 0.676521; 0.676593; 0.679772; 0.679608; 0.679355; 0.680845; 0.682272; 0.682683; 0.683306; 0.683305; 0.683105; 0.682510; 0.681048; 0.680436; 0.681610; 0.683379; 0.683712; 0.683907; 0.685085; 0.684443; 0.682109; 0.681761; 0.681218; 0.680193; 0.681142; 0.681780; 0.683047; 0.685826; 0.687018; 0.685668; 0.685465; 0.684993; 0.683576; 0.681729; 0.682459; 0.683164; 0.683951; 0.685264; 0.685857; 0.685350; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5791.5; 13:15:46; (); (); (); (); (); (); 0.591053; 0.592301; 0.593521; 0.594626; 0.596777; 0.598395; 0.600613; 0.602269; 0.602356; 0.600855; 0.598769; 0.597408; 0.598563; 0.600379; 0.601070; 0.602261; 0.602900; 0.604256; 0.606512; 0.605619; 0.604795; 0.602776; 0.601638; 0.602636; 0.606916; 0.610380; 0.614609; 0.616090; 0.617186; 0.618524; 0.617318; 0.616995; 0.617784; 0.618793; 0.620200; 0.621799; 0.623320; 0.625736; 0.627456; 0.628058; 0.630123; 0.632148; 0.634427; 0.636200; 0.638064; 0.640818; 0.642608; 0.642329; 0.641476; 0.640197; 0.638320; 0.638918; 0.639102; 0.638714; 0.638462; 0.639381; 0.638471; 0.636095; 0.635925; 0.637132; 0.638593; 0.641540; 0.646175; 0.651263; 0.657079; 0.663608; 0.668298; 0.671783; 0.675943; 0.679552; 0.682260; 0.685036; 0.689356; 0.691255; 0.693625; 0.695905; 0.696151; 0.693370; 0.693107; 0.693533; 0.693772; 0.693609; 0.692520; 0.690590; 0.688931; 0.688795; 0.689384; 0.687827; 0.688761; 0.686923; 0.685558; 0.684866; 0.683763; 0.681529; 0.680908; 0.680737; 0.680137; 0.680181; 0.682161; 0.681558; 0.681539; 0.683321; 0.685090; 0.684039; 0.685003; 0.686874; 0.690050; 0.693775; 0.695751; 0.694391; 0.694388; 0.695847; 0.696995; 0.696930; 0.699189; 0.699092; 0.697662; 0.699830; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5794.9; 13:15:54; (); (); (); (); (); (); 0.606502; 0.605571; 0.603975; 0.602311; 0.601365; 0.601275; 0.600845; 0.602724; 0.602410; 0.600979; 0.600124; 0.598859; 0.597550; 0.599312; 0.600297; 0.600228; 0.600783; 0.601380; 0.601686; 0.603106; 0.605721; 0.607946; 0.607604; 0.609626; 0.612320; 0.613891; 0.614295; 0.616586; 0.618230; 0.620119; 0.622163; 0.623945; 0.625453; 0.627530; 0.629747; 0.630647; 0.629704; 0.633396; 0.635942; 0.637691; 0.641251; 0.643157; 0.642087; 0.641575; 0.640203; 0.639361; 0.640278; 0.642232; 0.642791; 0.639284; 0.638401; 0.638308; 0.636039; 0.634138; 0.632084; 0.631326; 0.633271; 0.635076; 0.636792; 0.640434; 0.643759; 0.644537; 0.645286; 0.648431; 0.652736; 0.658390; 0.663918; 0.669459; 0.675077; 0.677950; 0.679479; 0.681596; 0.683486; 0.683403; 0.683338; 0.685542; 0.689525; 0.692871; 0.694546; 0.695839; 0.694845; 0.695460; 0.694203; 0.693302; 0.695625; 0.695535; 0.695372; 0.695756; 0.696491; 0.696714; 0.696514; 0.695258; 0.694127; 0.693215; 0.692133; 0.692229; 0.690960; 0.689286; 0.687697; 0.687898; 0.688663; 0.688699; 0.688026; 0.689402; 0.691683; 0.693708; 0.694599; 0.697203; 0.698239; 0.698011; 0.698270; 0.698774; 0.701219; 0.702269; 0.701788; 0.703173; 0.705519; 0.709247; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5798.4; 13:16:03; (); (); (); (); (); (); 0.592849; 0.593835; 0.593862; 0.593173; 0.594942; 0.597518; 0.599313; 0.599467; 0.600588; 0.604132; 0.606180; 0.609142; 0.612734; 0.616529; 0.618680; 0.620902; 0.623452; 0.626125; 0.628525; 0.627798; 0.626595; 0.628260; 0.629913; 0.629303; 0.629463; 0.631749; 0.632511; 0.631090; 0.629246; 0.629138; 0.627598; 0.627251; 0.627727; 0.628600; 0.630519; 0.631309; 0.630085; 0.629843; 0.630921; 0.630082; 0.628407; 0.628292; 0.630039; 0.632258; 0.633365; 0.636943; 0.639762; 0.641059; 0.641041; 0.640677; 0.642783; 0.646274; 0.648220; 0.649934; 0.652374; 0.654695; 0.656685; 0.657970; 0.658350; 0.657943; 0.659729; 0.660182; 0.661418; 0.664091; 0.666849; 0.668732; 0.671950; 0.673739; 0.675458; 0.677355; 0.678803; 0.681277; 0.681980; 0.683716; 0.684044; 0.682637; 0.684967; 0.684885; 0.683995; 0.683132; 0.681665; 0.677582; 0.676883; 0.676187; 0.677344; 0.678335; 0.678121; 0.678718; 0.678621; 0.678276; 0.676903; 0.675481; 0.676405; 0.679439; 0.683625; 0.688267; 0.690897; 0.689910; 0.689105; 0.687672; 0.687276; 0.687553; 0.688270; 0.689780; 0.693891; 0.697506; 0.699032; 0.698405; 0.695821; 0.693032; 0.690665; 0.691968; 0.694891; 0.696649; 0.697561; 0.698166; 0.698065; 0.697659; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5801.8; 13:16:12; (); (); (); (); (); (); 0.602013; 0.601184; 0.600825; 0.599802; 0.599155; 0.600384; 0.601452; 0.602448; 0.605247; 0.607981; 0.609891; 0.610633; 0.609965; 0.609894; 0.609713; 0.610552; 0.612884; 0.613689; 0.615099; 0.618614; 0.620629; 0.620736; 0.623196; 0.623959; 0.622780; 0.621336; 0.621824; 0.623893; 0.626043; 0.627850; 0.628167; 0.628362; 0.629803; 0.630483; 0.626675; 0.626795; 0.629215; 0.630817; 0.633287; 0.636018; 0.639520; 0.642022; 0.641869; 0.642370; 0.643197; 0.645832; 0.648045; 0.649866; 0.652953; 0.656099; 0.654025; 0.650515; 0.646658; 0.644944; 0.645664; 0.645097; 0.645679; 0.646676; 0.646409; 0.645649; 0.644573; 0.643074; 0.640934; 0.639021; 0.642043; 0.647733; 0.653511; 0.658257; 0.658885; 0.658173; 0.658864; 0.659543; 0.659993; 0.660367; 0.662198; 0.663097; 0.664118; 0.666665; 0.669526; 0.670088; 0.670886; 0.669180; 0.669236; 0.670040; 0.670716; 0.671264; 0.671575; 0.674353; 0.677724; 0.680517; 0.684681; 0.686074; 0.687949; 0.690960; 0.690670; 0.688375; 0.689950; 0.690019; 0.688588; 0.687390; 0.688432; 0.688312; 0.686836; 0.685551; 0.684403; 0.683861; 0.686532; 0.687312; 0.685870; 0.686590; 0.690235; 0.691161; 0.692594; 0.695909; 0.699005; 0.700278; 0.702549; 0.705345; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5805.2; 13:16:21; (); (); (); (); (); (); 0.591445; 0.593545; 0.594184; 0.594767; 0.595583; 0.596170; 0.597053; 0.599077; 0.602541; 0.604795; 0.604437; 0.603965; 0.604177; 0.604173; 0.603921; 0.604152; 0.604709; 0.604565; 0.603759; 0.604846; 0.605859; 0.606518; 0.605850; 0.604969; 0.605219; 0.607781; 0.610908; 0.613242; 0.615071; 0.616171; 0.616102; 0.616998; 0.619741; 0.622001; 0.622173; 0.625235; 0.628190; 0.631580; 0.633147; 0.632440; 0.632332; 0.634345; 0.637354; 0.640837; 0.644573; 0.646554; 0.649022; 0.650132; 0.651896; 0.653297; 0.652425; 0.651664; 0.650362; 0.652371; 0.655425; 0.656204; 0.656641; 0.655827; 0.653072; 0.651026; 0.652305; 0.651292; 0.654552; 0.658981; 0.662470; 0.665217; 0.665999; 0.669132; 0.673890; 0.677878; 0.679157; 0.678046; 0.682265; 0.686329; 0.687772; 0.688524; 0.689868; 0.689306; 0.689838; 0.687152; 0.685961; 0.686690; 0.685237; 0.682395; 0.680543; 0.681215; 0.682326; 0.678240; 0.677318; 0.677757; 0.677333; 0.676122; 0.675960; 0.674742; 0.677337; 0.680373; 0.681192; 0.682443; 0.681984; 0.682153; 0.681481; 0.681244; 0.681658; 0.680310; 0.679934; 0.680404; 0.680035; 0.677602; 0.675451; 0.672071; 0.671053; 0.670755; 0.669467; 0.668998; 0.668272; 0.668160; 0.668764; 0.669542; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
5808.7; 13:16:29; (); (); (); (); (); (); 0.576336; 0.575924; 0.577253; 0.579394; 0.581869; 0.583691; 0.585657; 0.587450; 0.590540; 0.593958; 0.597451; 0.601453; 0.602616; 0.602935; 0.604873; 0.607944; 0.611000; 0.611875; 0.612015; 0.612033; 0.611700; 0.611069; 0.608735; 0.609249; 0.608936; 0.608142; 0.608452; 0.608286; 0.608795; 0.609368; 0.609173; 0.607780; 0.610567; 0.612192; 0.613884; 0.616494; 0.618259; 0.622058; 0.625590; 0.629531; 0.631948; 0.631721; 0.633046; 0.633923; 0.635280; 0.637493; 0.639869; 0.638614; 0.637866; 0.637283; 0.637005; 0.636735; 0.637365; 0.636445; 0.636428; 0.639062; 0.642298; 0.643697; 0.643366; 0.644542; 0.644770; 0.644965; 0.647335; 0.650748; 0.654781; 0.659304; 0.662783; 0.664803; 0.667120; 0.670133; 0.671162; 0.671998; 0.674343; 0.677355; 0.679032; 0.682237; 0.684076; 0.684511; 0.685637; 0.684737; 0.684239; 0.684257; 0.684714; 0.685530; 0.684899; 0.685556; 0.685366; 0.685142; 0.685081; 0.684904; 0.684361; 0.686007; 0.687117; 0.685263; 0.685578; 0.685760; 0.684095; 0.682554; 0.681516; 0.680913; 0.679793; 0.680430; 0.682255; 0.684576; 0.686677; 0.688979; 0.687690; 0.686460; 0.687031; 0.688321; 0.689650; 0.692498; 0.693887; 0.694489; 0.695327; 0.697922; 0.698618; 0.696482; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
