Roll Number; 0
Recipe Name; FP 4576_257 GSM
Start Time; 2018-01-09; 14:04:35
File Name; D:\Mahlo\TR\180109140435FP 4576_257 GSM0_XMF2.txt

6952.0; 14:04:47; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 8950.827026; 8857.624817; 8051.584625; 7213.923645; 6609.973907; 6103.162766; 5665.623856; 5289.078903; 4802.518463; 4233.143616; 3663.769531; 3013.055611; 2443.681335; 1874.306679; 1223.591900; 654.216766; 125.511253; 3.503300; 3.505066; 3.506733; 3.507894; 3.508526; 3.508844; 3.508467; 3.507615; 3.506499; 3.504892; 3.503147; 3.501995; 3.500970; 3.499699; 3.498349; 3.496810; 3.494948; 3.492702; 3.490696; 3.488520; 3.485445; 3.482695; 3.480023; 3.477146; 3.474881; 3.473014; 3.471065; 3.469337; 3.468076; 3.466921; 3.465584; 3.464258; 3.463105; 3.462140; 3.461733; 3.461916; 3.461967; 3.461511; 3.460878; 3.460074; 3.459380; 3.459009; 3.458747; 3.458204; 3.457473; 3.457202; 3.457161; 3.456797; 3.456255; 3.455296; 3.454085; 3.453353; 3.453434; 3.454018; 3.454812; 3.455623; 3.456220; 3.456579; 3.457043; 3.457800; 3.458943; 3.460126; 3.461763; 3.463519; 3.466064; 3.468898; 3.471037; 3.472895; 3.474633; 3.475941; 3.477085; 3.478067; 3.479224; 3.480531; 3.481825; 3.482785; 3.483176; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6956.3; 14:04:55; (); (); (); (); (); (); (); (); 3.615044; 3.615092; 3.615843; 3.616711; 3.616924; 3.616832; 3.615272; 3.608684; 3.601348; 3.592863; 3.584060; 3.575571; 3.568830; 3.562455; 3.555828; 3.548812; 3.541713; 3.534322; 3.526016; 3.518582; 3.511645; 3.507571; 3.508371; 3.509062; 3.509678; 3.510503; 3.511421; 3.512078; 3.512496; 3.512998; 3.513535; 3.513919; 3.513972; 3.513473; 3.512549; 3.511187; 3.509740; 3.508589; 3.507850; 3.506893; 3.505435; 3.503978; 3.502960; 3.502099; 3.500996; 3.499737; 3.498580; 3.497260; 3.495588; 3.493643; 3.491190; 3.487704; 3.484078; 3.480022; 3.475296; 3.470404; 3.465911; 3.460731; 3.454556; 3.447738; 3.439366; 3.431446; 3.422210; 3.413291; 3.406149; 3.398741; 3.392269; 3.387214; 3.382615; 3.378629; 3.375449; 3.372806; 3.371594; 3.372036; 3.373637; 3.376762; 3.380945; 3.386254; 3.392702; 3.398699; 3.405159; 3.412770; 3.419653; 3.427490; 3.435152; 3.441746; 3.448921; 3.454239; 3.457618; 3.460539; 3.462927; 3.464750; 3.465671; 3.466392; 3.466698; 3.466460; 3.466273; 3.465824; 3.465054; 3.463968; 3.461975; 3.459281; 3.457548; 3.457548; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6959.6; 14:05:03; (); (); (); (); (); (); (); (); 3.652474; 3.648770; 3.641758; 3.636427; 3.632522; 3.629746; 3.627598; 3.625663; 3.622150; 3.618977; 3.616319; 3.613747; 3.611385; 3.609321; 3.607493; 3.605678; 3.607231; 3.610722; 3.614189; 3.617209; 3.619628; 3.621172; 3.622951; 3.625252; 3.627534; 3.629263; 3.630909; 3.632483; 3.633697; 3.634700; 3.635207; 3.635265; 3.634790; 3.634053; 3.633628; 3.633844; 3.634670; 3.635797; 3.637134; 3.638269; 3.639249; 3.640249; 3.641384; 3.642962; 3.645513; 3.648338; 3.651669; 3.655836; 3.659358; 3.662714; 3.665807; 3.668233; 3.670277; 3.671727; 3.672756; 3.673021; 3.672896; 3.672106; 3.670485; 3.667847; 3.664615; 3.660599; 3.656485; 3.652548; 3.647500; 3.641501; 3.635464; 3.630235; 3.625134; 3.619901; 3.615727; 3.611271; 3.606221; 3.601231; 3.596903; 3.592452; 3.587913; 3.584863; 3.582623; 3.580860; 3.579258; 3.577562; 3.576068; 3.574752; 3.573409; 3.572524; 3.572261; 3.572395; 3.573161; 3.574391; 3.575906; 3.577115; 3.577699; 3.577678; 3.577269; 3.576541; 3.575413; 3.573791; 3.572025; 3.570183; 3.567816; 3.564790; 3.561329; 3.556896; 3.550482; 3.544026; 3.539011; 3.535388; 3.532244; 3.528994; 3.526029; 3.523131; 3.518645; 3.515280; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6962.8; 14:05:12; (); (); (); (); (); (); (); (); 3.584117; 3.583306; 3.583232; 3.583749; 3.584331; 3.584826; 3.585479; 3.586243; 3.586651; 3.586422; 3.586105; 3.586094; 3.586821; 3.588070; 3.589361; 3.591119; 3.592600; 3.593595; 3.594227; 3.594492; 3.594590; 3.594529; 3.594480; 3.594495; 3.595392; 3.596698; 3.598060; 3.599279; 3.600118; 3.600877; 3.601339; 3.601907; 3.602808; 3.603951; 3.605682; 3.607454; 3.609413; 3.611366; 3.613437; 3.615303; 3.616822; 3.617938; 3.618523; 3.619048; 3.619732; 3.620648; 3.621476; 3.621703; 3.621512; 3.620773; 3.619201; 3.617509; 3.615544; 3.612938; 3.609778; 3.606398; 3.602758; 3.598567; 3.594542; 3.589875; 3.584120; 3.579065; 3.574299; 3.569181; 3.564776; 3.560681; 3.556298; 3.552814; 3.549577; 3.546633; 3.544472; 3.542822; 3.541801; 3.541595; 3.541967; 3.542810; 3.543766; 3.544663; 3.545680; 3.546936; 3.548209; 3.549273; 3.550356; 3.551135; 3.551609; 3.552150; 3.552219; 3.551671; 3.550567; 3.548932; 3.546828; 3.544905; 3.542897; 3.540032; 3.537445; 3.535286; 3.533438; 3.531371; 3.526771; 3.521448; 3.514694; 3.508272; 3.503524; 3.499547; 3.494610; 3.489935; 3.487437; 3.484980; 3.482589; 3.479308; 3.474946; 3.470008; 3.464479; 3.464002; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6966.2; 14:05:20; (); (); (); (); (); (); (); (); 3.558080; 3.561652; 3.567162; 3.571852; 3.575072; 3.577201; 3.579085; 3.580809; 3.583008; 3.585009; 3.586712; 3.588520; 3.589815; 3.590852; 3.591745; 3.592539; 3.590786; 3.587694; 3.585923; 3.585060; 3.584858; 3.585296; 3.586661; 3.589067; 3.591761; 3.595110; 3.599501; 3.604125; 3.609278; 3.615708; 3.621703; 3.627694; 3.633882; 3.638514; 3.642370; 3.646028; 3.648520; 3.650111; 3.651241; 3.651736; 3.651654; 3.651048; 3.649603; 3.647821; 3.646000; 3.643954; 3.641684; 3.640122; 3.639111; 3.638348; 3.637721; 3.637432; 3.637557; 3.637847; 3.638510; 3.639188; 3.639831; 3.640201; 3.639901; 3.639006; 3.637778; 3.636547; 3.634674; 3.631667; 3.628540; 3.624804; 3.621037; 3.616740; 3.611602; 3.607110; 3.602907; 3.598446; 3.594956; 3.592110; 3.590022; 3.588355; 3.586221; 3.584792; 3.584636; 3.585042; 3.586132; 3.587672; 3.589448; 3.591340; 3.593040; 3.594616; 3.596319; 3.598453; 3.601294; 3.603800; 3.606496; 3.609553; 3.611707; 3.613100; 3.613964; 3.614452; 3.615246; 3.616329; 3.617846; 3.619730; 3.621614; 3.623376; 3.624861; 3.626016; 3.626521; 3.626527; 3.626520; 3.626844; 3.627456; 3.628529; 3.629829; 3.631151; 3.632470; 3.633034; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6969.5; 14:05:28; (); (); (); (); (); (); (); (); 3.645980; 3.646421; 3.646547; 3.646839; 3.647448; 3.648542; 3.649852; 3.651967; 3.654019; 3.655688; 3.656504; 3.656945; 3.657072; 3.656751; 3.656395; 3.656470; 3.656938; 3.657570; 3.657877; 3.657480; 3.655738; 3.653131; 3.650494; 3.646897; 3.642848; 3.639805; 3.636863; 3.634323; 3.632369; 3.630700; 3.628879; 3.626340; 3.624096; 3.622221; 3.620968; 3.620771; 3.621740; 3.623765; 3.626903; 3.630522; 3.633521; 3.636014; 3.638109; 3.639906; 3.641407; 3.642522; 3.643392; 3.643541; 3.642746; 3.641295; 3.639193; 3.636244; 3.632810; 3.628518; 3.623591; 3.619387; 3.615321; 3.611149; 3.606173; 3.601410; 3.597493; 3.593443; 3.590793; 3.589005; 3.587284; 3.585678; 3.584517; 3.583612; 3.582624; 3.581502; 3.580265; 3.579101; 3.578733; 3.579026; 3.579732; 3.580882; 3.582307; 3.583717; 3.584816; 3.586134; 3.588254; 3.590722; 3.593097; 3.595927; 3.599053; 3.602786; 3.606382; 3.609319; 3.611842; 3.613920; 3.615296; 3.615878; 3.616007; 3.615776; 3.615257; 3.613805; 3.612109; 3.610543; 3.610205; 3.610212; 3.610170; 3.610105; 3.609964; 3.609921; 3.610093; 3.610873; 3.611458; 3.612045; 3.613193; 3.614768; 3.616828; 3.619302; 3.622325; 3.622915; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6972.8; 14:05:37; (); (); (); (); (); (); (); (); 3.584678; 3.583680; 3.530106; 3.517107; 3.521784; 3.526090; 3.529083; 3.530841; 3.529857; 3.528507; 3.527579; 3.527318; 3.527327; 3.527318; 3.527201; 3.527030; 3.527535; 3.564492; 3.577344; 3.578050; 3.579256; 3.581021; 3.583170; 3.585946; 3.589088; 3.591549; 3.592779; 3.593260; 3.593793; 3.594751; 3.595601; 3.596032; 3.596364; 3.596419; 3.596367; 3.595929; 3.594806; 3.593265; 3.591258; 3.588459; 3.585925; 3.583677; 3.581512; 3.579126; 3.576749; 3.574689; 3.572768; 3.571118; 3.569292; 3.567057; 3.565131; 3.563953; 3.563179; 3.562735; 3.562826; 3.563421; 3.564249; 3.565065; 3.566280; 3.567949; 3.569561; 3.571128; 3.573447; 3.575878; 3.578134; 3.580198; 3.581551; 3.582374; 3.582737; 3.582686; 3.582333; 3.582007; 3.581613; 3.580745; 3.578991; 3.576850; 3.574876; 3.571971; 3.568985; 3.566275; 3.563577; 3.561528; 3.559890; 3.558295; 3.556963; 3.555784; 3.554428; 3.553439; 3.553149; 3.553484; 3.554275; 3.555636; 3.556989; 3.558072; 3.559218; 3.560212; 3.560841; 3.561368; 3.562099; 3.563331; 3.564830; 3.565882; 3.566350; 3.566487; 3.566017; 3.565187; 3.563958; 3.563114; 3.562866; 3.562656; 3.562519; 3.562500; 3.562441; 3.562191; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6976.1; 14:05:45; (); (); (); (); (); (); (); (); 3.594235; 3.595016; 3.595749; 3.597133; 3.598907; 3.600542; 3.602330; 3.605486; 3.609242; 3.612839; 3.616695; 3.620368; 3.623794; 3.626500; 3.629489; 3.633808; 3.638678; 3.643858; 3.647996; 3.651828; 3.656011; 3.659331; 3.662068; 3.664943; 3.668222; 3.671598; 3.674467; 3.678381; 3.682204; 3.684559; 3.686358; 3.687452; 3.687922; 3.688139; 3.688256; 3.688116; 3.687669; 3.687024; 3.686319; 3.685460; 3.683905; 3.681891; 3.680270; 3.678957; 3.678340; 3.678399; 3.678615; 3.678826; 3.679066; 3.678936; 3.678476; 3.677824; 3.676302; 3.674198; 3.671885; 3.668772; 3.664350; 3.658673; 3.651930; 3.645434; 3.638319; 3.631053; 3.623870; 3.614839; 3.607273; 3.601119; 3.596234; 3.592146; 3.587731; 3.584100; 3.581588; 3.579991; 3.579065; 3.579033; 3.579618; 3.581238; 3.583440; 3.585415; 3.587475; 3.589559; 3.591104; 3.592409; 3.593731; 3.594502; 3.595245; 3.596415; 3.597881; 3.598895; 3.599174; 3.598535; 3.596765; 3.594739; 3.592741; 3.590934; 3.589175; 3.587193; 3.585108; 3.583072; 3.579919; 3.576183; 3.572212; 3.568131; 3.564190; 3.560175; 3.556826; 3.553908; 3.551760; 3.550288; 3.548640; 3.546668; 3.544342; 3.542143; 3.539211; 3.537672; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6979.4; 14:05:53; (); (); (); (); (); (); (); (); 3.569764; 3.571958; 3.575465; 3.578817; 3.581112; 3.582451; 3.583444; 3.584197; 3.585537; 3.586868; 3.587594; 3.587832; 3.587704; 3.587314; 3.586512; 3.585392; 3.582808; 3.579452; 3.576308; 3.573569; 3.571808; 3.570486; 3.569481; 3.568653; 3.568309; 3.568853; 3.570478; 3.573358; 3.577360; 3.581806; 3.586980; 3.592652; 3.598099; 3.602631; 3.606725; 3.611197; 3.615073; 3.618072; 3.622020; 3.625853; 3.628583; 3.630479; 3.631674; 3.632152; 3.631469; 3.630253; 3.629262; 3.628447; 3.627371; 3.625701; 3.623875; 3.621288; 3.618677; 3.616699; 3.614130; 3.612052; 3.610910; 3.609838; 3.608514; 3.606799; 3.605211; 3.603427; 3.601045; 3.598809; 3.597188; 3.595540; 3.593493; 3.591199; 3.588351; 3.584243; 3.579737; 3.574271; 3.567591; 3.561832; 3.556422; 3.550341; 3.544135; 3.538878; 3.533632; 3.528123; 3.522314; 3.517414; 3.513991; 3.511310; 3.509799; 3.509343; 3.510204; 3.512254; 3.515106; 3.519120; 3.523481; 3.528392; 3.534149; 3.539538; 3.545770; 3.552982; 3.559065; 3.565088; 3.570890; 3.575909; 3.581312; 3.585296; 3.587513; 3.589293; 3.590246; 3.589948; 3.589140; 3.588822; 3.589094; 3.588741; 3.588062; 3.586886; 3.584816; 3.582335; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6982.7; 14:06:02; (); (); (); (); (); (); (); (); 3.562244; 3.559314; 3.558142; 3.558240; 3.558620; 3.558770; 3.558580; 3.557000; 3.555942; 3.555147; 3.554446; 3.554616; 3.555259; 3.556138; 3.557299; 3.557673; 3.557344; 3.556038; 3.553779; 3.551078; 3.547980; 3.545523; 3.543034; 3.539827; 3.536677; 3.533303; 3.528857; 3.524254; 3.520549; 3.517479; 3.515197; 3.514144; 3.513830; 3.514061; 3.514925; 3.516525; 3.518151; 3.520161; 3.523276; 3.527420; 3.531606; 3.536224; 3.541788; 3.546719; 3.551256; 3.555991; 3.560384; 3.563891; 3.567355; 3.570791; 3.573093; 3.574712; 3.575711; 3.575578; 3.574552; 3.572659; 3.570523; 3.568378; 3.566184; 3.564211; 3.562349; 3.559963; 3.557348; 3.554996; 3.553156; 3.552168; 3.552212; 3.553063; 3.555036; 3.557415; 3.560293; 3.564004; 3.567686; 3.571872; 3.577068; 3.582376; 3.587349; 3.592782; 3.598371; 3.603732; 3.609057; 3.614140; 3.619547; 3.624398; 3.629209; 3.634540; 3.638636; 3.641889; 3.644205; 3.645344; 3.646095; 3.646413; 3.646266; 3.645696; 3.644892; 3.644232; 3.642689; 3.638872; 3.631342; 3.623962; 3.616517; 3.608294; 3.602492; 3.596361; 3.588989; 3.583496; 3.579036; 3.574991; 3.570411; 3.565790; 3.560397; 3.553990; 3.549254; 3.548767; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
6986.0; 14:06:10; (); (); (); (); (); (); (); (); 3.638092; 3.636488; 3.634509; 3.632618; 3.630835; 3.629096; 3.627293; 3.625302; 3.623143; 3.621092; 3.618963; 3.616687; 3.614251; 3.611836; 3.609695; 3.607325; 3.605272; 3.604046; 3.603270; 3.602509; 3.602469; 3.602908; 3.603379; 3.603687; 3.603971; 3.604579; 3.605520; 3.606069; 3.606487; 3.606834; 3.607493; 3.608759; 3.609863; 3.610684; 3.611340; 3.611824; 3.611976; 3.612107; 3.612333; 3.611872; 3.610931; 3.610159; 3.609646; 3.609163; 3.608689; 3.607959; 3.606842; 3.605521; 3.604073; 3.602083; 3.599949; 3.598347; 3.596222; 3.593691; 3.591636; 3.590120; 3.588364; 3.585976; 3.583978; 3.582239; 3.580609; 3.579441; 3.578370; 3.577080; 3.575671; 3.574089; 3.572211; 3.570129; 3.568138; 3.566327; 3.564623; 3.562599; 3.560168; 3.557229; 3.553601; 3.550036; 3.546199; 3.541729; 3.538229; 3.535607; 3.533570; 3.532348; 3.531467; 3.530753; 3.530239; 3.529880; 3.529942; 3.530844; 3.532733; 3.535501; 3.538857; 3.543502; 3.548603; 3.552451; 3.556202; 3.560207; 3.564294; 3.568022; 3.571809; 3.576403; 3.581376; 3.585561; 3.589634; 3.593742; 3.596623; 3.598846; 3.600722; 3.601952; 3.603025; 3.604593; 3.606190; 3.607982; 3.609885; 3.611301; (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); (); 
